#漢字	音標	解釋
#簡稱	/	湖州
#全稱	/	湖州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,12 2 1b 陽平 ꜁,42 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇
#版本	/	2022-01-05
#錄入人	/	Vô Danh
#參考資料	/	
#說明	/	
亦	ʔiᶽ3	
亨	hən1	～得力：上海的鐘錶店。文
亨	hã1	大～
享	ɕiã5	
京	tɕin1	
亭	din2	
亮	liã5	
人	zən2	文
人	ȵɦin2	白
什	zəʔ8	
仁	zən2	
仇	dʑiʏ2	姓，讎
今	tɕin1	
介	ka5	zei是～。白
介	tɕia5	文
仍	dzən2	？
仕	zɿ4	
他	tʰa1	
仗	dzã4	
付	fu5	
仙	ɕi1	
代	dei6	
令	lin5	
以	ʔiᶽ3	
仰	ȵiã3	
仲	dzoŋ6	
件	dʑi4	
任	zən6	文
任	ȵɦin2	姓。白
份	vən6	
仿	fɔ̃3	
企	tɕʰiᶽ3	
伊	ʔiᶽ1	
伍	ʔu3	文
伍	ŋ̩4	白
伏	bu6	蹲；～小雞：孵蛋；～太陽：曬太陽
伏	voʔ8	
伐	vaʔ8	
休	ɕiʏ1	
伢	ŋa²	～：我們
伯	paʔ7	
估	kəu3	
伴	bᴇ4	
伶	lɦin2	
伺	dzɿ2	
似	zɿ2	
伽	dʑia2	～：他們
佃	di2	
但	dᴇ2	
位	ʔuei5	
低	tiᶽ1	
住	dzɿ4	
佐	tsəu3	
佑	ʔiʏ5	
何	ɦəu2	
佘	zo2	
余	ɦiᶽ2	
佛	vəʔ8	
作	tsoʔ7	工～
佞	ȵɦin2	
你	ȵiᶽ3	文
佩	bei6	
佰	paʔ7	
佳	ka1	白
佳	tɕia1	文
併	pin3	
使	sɿ3	
來	lɦei2	
侈	tsʰɿ3	
例	lɦiəʔ8	
侍	zɿ6	
供	koŋ5	～给，～养
依	ʔiᶽ1	
侮	vu6	
侯	ɦiʏ2	
侵	tɕʰin1	
便	bi2	～宜
便	bi6	方～
係	ɕiᶽ1	
促	tsʰoʔ7	
俄	ŋɦəu2	
俊	tɕin5	
俏	tɕʰiɔ5	
俗	zoʔ8	
俘	fu1	
保	pɔ3	
信	ɕin5	
修	ɕiʏ1	
俯	fu3	
俱	dʑiᶽ2	
俸	voŋ4	
俾	pei5	
倉	tsʰɔ̃1	
個	kei5	文
個	kəu5	白
倍	bei6	
倒	tɔ3	打～
倒	tɔ5	～水
倔	dʑiəʔ8	
倘	tʰɔ̃3	
候	ɦiʏ2	
倚	ʔiᶽ1	
借	tɕia5	
倡	tsʰɔ̃5	
倣	fɔ̃3	
倦	dʑi6	
倪	ȵɦiᶽ2	
倫	lɦən2	
值	dzəʔ8	～錢小把戏：疼爱小孩
假	ka3	真～。白
假	ka5	～期。白
假	tɕia3	
假	tɕia5	文
偉	ʔuei3	
偏	pʰi1	
做	tsəu5	
停	din2	
健	dʑi6	
側	tsəʔ7	
側	tsʰəʔ7	
偵	tsən1	
偶	ŋøʏ3	配～，～然
偷	tʰøʏ1	
僞	ɦuei2	
傀	kʰuei1	
傅	fu5	
傍	bɔ̃2	
傍	bɔ̃4	～～看：比比看
