#漢字	音標	解釋
#簡稱	/	建德壽昌
#全稱	/	建德壽昌話
#聲母	/	
#韻母	/	
#聲調	/	112 1 1a 陰平 ꜀,52 2 1b 陽平 ꜁,324 3 2a 陰上 ꜂,53 4 2b 陽上 ꜃,334 5 3 去 ꜄,,55 7a 4a 上陰入 ꜆,12 8a 4c 陽入 ꜇,3 7b 4b 下陰入 ꜀,,334 1b 1c 陰平 ꜀,112 2b 1d 陽平 ꜁,55 3b 2b 上 ꜂,,,324 6 3b 去 ꜄,5 7c 4d 陰入 ꜆,13 8b 4e 陽入 ꜇
#版本	/	2021-10-14
#錄入人	/	淸竮塵
#參考資料	/	《徽語嚴州方言研究》
#說明	/	說明：文白讀調值不同
□	kuə5	～蛮：倔
□	lɤ̞5	稀薄
□	sɤ̞5	搞lu5～：玩儿
□	kɤ̞5	～水：碱
□	lɤ̞5	～口：吵嘴
□	tɑ̃5	随～便：随便
□	tɕʰyɑ̃5	亡狗～：一种棺材
□	mᴇɲ5	掷
□	sᴇɲ5	帮～：帮助
□	tieɲ5	吝惜
□	tieɲ5	沉淀
□	tɕʰieɲ5	～口：忌口
□	tɔm5	～争头：肘
□	n̩5	～下：门槛
□	sɿ7	家～：器具
□	pʰi7	量词，层
□	mi7	夜～：傍晚
□	ʊ7	三十夜～：除夕
□	ȵyɑ7	拿
□	tiɛ7	坛子
□	tɕiɛ7	～næ̃⁵⁵：垃圾
□	ɕiᴇ7	～着：知道
□	kiᴇ7	～子：结巴
□	kuə7	紧～：经常
□	xuə7	摔；扔
□	uə7	别，不要
□	tɕyə7	～lie²⁴：知了
□	mæ̃7	～～：伯母
□	tæ̃7	tɕiɛ⁵⁵～：垃圾
□	pɑ̃7	雀～：阴茎
□	sᴇɲ7	耳朵～：耳饰
□	tɔm7	桑叶～～：桑葚
□	məʔ8	那
□	məʔ8	～李：李子
□	səʔ8	这
□	kʰəʔ8	折使断
□	kʰəʔ8	卡，夹
□	liəʔ8	用棍子打
□	sɔʔ8	骂
□	ȵiɔʔ8	揉
□	pəʔ9	～屌：阴茎
□	pʰəʔ9	掰，迈
□	təʔ9	啄
□	tsəʔ9	勒
□	tiəʔ9	眨
□	uəʔ9	淹
□	uəʔ9	抓，划
□	tɕyəʔ9	吮吸
□	ɕyəʔ9	拧，转
□	tɔʔ9	砍
□	tsʰɔʔ9	看
□	tsʰɔʔ9	肏
□	tɕʰiɔʔ9	湿
□	tiɛ̃13=	～子：毽子
□	tɕʰiᴇ	起来。“起来”的合音
㞞	sɔm2	精液
㦿	kʰuə3	窗户
㪗	tʰəɯ3	～气：喘气
㶁	kuəʔ9	裂
㽺	ɕiəʔ9	差
䏘	pʰiəʔ9	女阴
䔖	lᴇɲ2	
一	iəʔ9	
丁	tieɲ11=	
七	tɕʰiəʔ9	
万	uə5	
丈	tsʰɑ̃4	
三	suə1	
上	sɑ̃4	动词
上	sɑ̃5	方位
下	xuə4	方位词；动词
下	ɕiɑ16=	
不	pəʔ17=	
与	y12=	
丐	kɛ13=	
丑	tsʰəɯ3	子～寅卯
專	tɕyei1	
專	tɕyɛ̃11=	
且	tɕʰi13=	
世	ɕi5	
丘	tɕʰiəɯ1	
丙	pieɲ13=	
業	ȵi3	
業	pieɲ13=	
叢	tsʰɔm12=	
東	tɔm1	
絲	sɿ1	
丞	tsʰᴇɲ12=	
丟	təɯ1	
兩	liɑ̃3	二～
兩	liɑ̃4	～个
兩	liɑ̃7	几～
嚴	ȵi2	
喪	sɑ̃1	婚～
喪	sɑ̃13=	～失
个	kɑ5	一～
个	səʔ9	一～；的
个	kʊ13=	～体
丫	uə1	
中	tɕiɔm1	～国
中	tɕiɔm1	～状元
丰	fɔm11=	
串	tɕʰyei7	一～
串	tɕʰyɛ̃13=	
臨	lieɲ2	
丸	uæ̃12=	
丹	tuə1	牡～
丹	tæ̃11=	人～
爲	uei1	介词
爲	uei12=	作～
主	tɕy3	
丽	li16=	
舉	tɕy3	
乃	nɛ13=	
久	tɕiəɯ3	
義	ȵi16=	
之	tsɿ11=	
烏	ʊ1	
乍	tɕyə5	
乎	xʊ1	傻～～
乎	xʊ11=	几～
乎	xʊ12=	之～者也
乏	fæ̃12=	
樂	lɔʔ18=	快～
樂	iɔʔ18=	音～
喬	tɕʰiɑ12=	
乖	kuɑ5	
乘	tsʰᴇɲ2	
乙	iəʔ17=	
九	tɕiəɯ3	
乞	tɕʰiəʔ17=	
也	iɛ3	
也	iɛ16=	
習	tɕiəʔ18=	
鄉	ɕiɑ̃1	
書	ɕy1	
買	mɑ4	
亂	lᴇɲ5	
乳	ɕy13=	
乾	kiᴇ1	饼～
乾	tɕʰiɛ̃12=	
了	lɤ̞3	揩～去
了	lɤ̞4	完
了	nəʔ9	助词
爭	tʰæ̃1	
爭	tsᴇɲ11=	
事	sɿ5	
二	n̩5	
二	əɯ16=	
于	y12=	
虧	kʰuei1	
雲	yɛ̃2	
互	ʊ16=	
五	n̩4	
井	tɕieɲ3	
亞	iɑ13=	
些	ɕiɛ3	
些	ɕiɛ7	
些	səʔ17=	
亡	uɑ̃12=	
交	kɤ̞1	～界
交	tɕɤ̞1	～关;非常
亥	xəʔ18=	
產	ɕyə3	～母：产妇
產	tsʰæ̃13=	生～
亨	xᴇɲ11=	
畝	m̩4	
享	ɕiɑ̃3	
京	tɕieɲ1	
亭	tʰieɲ2	
亮	liɑ̃5	
親	tɕʰieɲ1	～戚；～家
人	lᴇɲ12=	
什	sɔʔ18=	～么
仁	lᴇɲ12=	
僅	tɕieɲ13=	
仆	fʊ13=	前～后继
仆	pʰɔʔ17=	～人
仇	tsʰəɯ2	报～
仇	tsʰəɯ2	姓
今	kᴇɲ1	
今	tɕieɲ11=	
介	tɕiɛ13=	
仍	lᴇɲ12=	
从	tsʰɔm2	
仑	lᴇɲ12=	
倉	tsʰɑ̃1	
仕	sɿ4	
他	tʰɑ11=	
仗	tsɑ̃16=	
付	fʊ5	
仙	ɕi1	
代	tʰiɛ5	
令	lieɲ16=	
儀	ȵi12=	
仰	ȵiɑ̃4	
件	tɕʰi1	一～
件	tɕiɛ̃16=	文～
價	kuə5	
任	lᴇɲ16=	姓
任	lᴇɲ16=	责～
份	fᴇɲ5	
仿	fɑ̃12=	
仿	fɑ̃13=	～造
企	tɕʰi3	
企	tɕʰi13=	
伊	i11=	
伍	n̩4	
伏	pʰʊ5	
伏	fɔʔ8	
伐	fəʔ18=	
休	ɕiəɯ11=	
衆	tɕiɔm13=	
優	iəɯ11=	
伙	xʊ3	～食
會	uɛ5	开～
會	uɛ5	勿～：不会
會	kuei13=	～计
會	kʰuei13=	～计
傘	suə5	
偉	uei13=	
傳	tɕʰyei2	动词
傳	tɕʰyei5	名词
傷	sɑ̃1	
倫	lᴇɲ12=	
僞	uei16=	
伯	pəʔ9	
估	kʊ3	
伴	pʰiɛ4	
伶	lieɲ12=	
伸	sᴇɲ1	
伺	sɿ5	
似	sɿ16=	
佃	tiɛ̃16=	
但	tæ̃16=	
位	uei5	
低	ti1	
住	tɕy16=	
佐	tsʊ13=	
佑	y5	
體	tʰi13=	
佔	tɕi5	
何	xʊ2	
佘	sɤ̞12=	
余	y2	姓
余	y12=	
佛	fəʔ8	拜～
佛	fəʔ18=	
作	tsɔʔ9	
你	ȵi13=	
佩	pei16=	
佬	lɤ̞4	
佳	tɕiɑ11=	
佳	tɕiɑ13=	
使	sɿ13=	
侄	tsəʔ18=	
侈	tsɿ11=	
例	li16=	
侍	sɿ5	
供	tɕiɔm1	赡养
供	kɔm13=	～应
供	kɔm13=	上～
依	i1	
僥	ɕiɑ13=	
偵	tsᴇɲ11=	
側	ləʔ9	
僑	tɕʰiɑ12=	
侯	xəɯ12=	
侵	tɕʰieɲ11=	
便	pʰi2	～宜
便	pʰi3	副词
便	pʰi5	便宜
便	piɛ̃16=	方～
係	ɕi16=	关～
促	tsʰɔʔ17=	
俄	ŋʊ2	
俊	tɕieɲ13=	
俏	tɕʰɤ̞5	
俗	tsɔʔ18=	
俘	fʊ12=	
保	pəɯ3	
信	ɕieɲ5	
儉	tɕiɛ̃16=	
修	ɕiəɯ1	
俯	fʊ13=	
俱	tɕy16=	
俸	fɔm16=	
倂	pieɲ3	
倍	pʰiɛ4	
倒	tɤ̞3	打～；～出去
倔	tɕʰyəʔ17=	
候	xəɯ5	
借	tɕiᴇ5	
倡	tsʰɑ̃13=	
倦	tɕyɛ̃16=	
倪	ȵi12=	
債	tsɑ5	
值	tsəʔ8	
傾	tɕʰieɲ13=	
假	kuə3	真～
假	kuə5	放～
偏	pʰi1	
做	tsʊ5	
停	tʰieɲ2	
健	tɕiɛ̃16=	
偶	ŋəɯ4	配～
偶	ŋəɯ13=	～然
偷	tʰəɯ1	
償	sɑ̃2	
傀	kʰuei13=	
傅	fʊ5	
傍	pʰɑ̃12=	
傢	tɕiɑ11=	
儲	tɕy11=	
催	tɕʰiɛ1	
傲	ŋɤ̞5	
傻	sɑ1	
像	ɕiɑ̃4	
僧	tsᴇɲ11=	
僧	sᴇɲ11=	
僵	tɕiɑ̃1	
僻	pʰiəʔ17=	
儒	y12=	
儡	luei13=	
兒	n̩2	
兒	əɯ12=	
允	yɛ̃13=	
元	yɛ̃12=	
兄	ɕiɔm11=	
充	tɕʰiɔm1	
兆	tsɑ16=	
先	ɕi1	
光	kuɑ̃1	
克	kəʔ9	
免	miɛ̃13=	
兌	tuei13=	
兔	tʰʊ5	
黨	tɑ̃13=	
兜	təɯ1	
入	tsʰəʔ8	～死娘
入	ȵiəʔ8	装
入	ləʔ18=	
全	tɕʰiɛ̃12=	
八	pɤ̞7	
公	kɔm1	
六	lɔʔ8	
六	lɔʔ18=	
蘭	luə2	～花
蘭	lɤ̞2	马～头：野菜名
共	tɕʰiɔm3	同
共	kɔm16=	
關	kuə1	
興	ɕieɲ1	～汪
興	ɕieɲ5	高～
兵	pieɲ1	
其	tɕʰi12=	
具	tɕy16=	
典	ti3	
兹	tsʰɿ12=	
養	yɑ̃4	
兼	tɕiɛ̃11=	
獸	səɯ5	
冀	tɕi13=	
內	niɛ5	
岡	kɑ̃11=	
冊	tsʰəʔ17=	
再	tɕiɛ5	
冒	mɑ16=	
寫	ɕiᴇ3	
軍	tɕyɛ̃1	
農	nɔm2	人
農	lɔm2	人
農	nɔm12=	～民
農	lɔm12=	～民
冠	kuə1	鸡～
冠	kuæ̃13=	～军
冤	uei1	
冬	tɔm1	
馮	fɔm12=	
冰	pieɲ1	
冲	tɕʰiɔm1	
决	tɕyəʔ17=	
况	xuɑ̃13=	
冷	tæ̃4	
凍	tɔm5	
淨	ɕieɲ4	
準	tɕyɛ̃3	批～
凉	liɑ̃2	
凌	lieɲ2	
減	kuə3	
湊	tsʰəɯ5	
凝	ȵi12=	
几	tɕi3	茶
凡	fæ̃12=	
鳳	fɔm5	
凭	pʰieɲ12=	
凱	kʰæ̃13=	
凳	tᴇɲ5	
凶	ɕiɔm1	吉～，～恶
凹	ɑ7	
出	tɕʰyəʔ9	
擊	tɕiəʔ17=	
函	xæ̃12=	
鑿	sɔʔ8	
刀	tɤ̞1	
刁	tɤ̞1	
分	fᴇɲ1	
切	tɕʰiᴇ7	
刊	kʰæ̃11=	
刎	uᴇɲ13=	
刑	ieɲ12=	
划	uə2	～船
列	liəʔ18=	
劉	liəɯ2	
則	tsəʔ17=	
剛	kɑ̃11=	
創	tsʰɑ̃13=	
初	tsʰʊ1	
刪	ɕyə1	
判	pʰæ̃13=	
刨	pʰəɯ2	木工用具
利	li16=	
别	pʰi3	～农：别人
别	piəʔ18=	区～
刮	kuə7	
到	tɤ̞5	
制	tsɿ13=	～度
刷	ɕyei7	
券	tɕyɛ̃13=	国库～
券	tɕʰyɛ̃13=	金圆～
刺	tsʰɿ5	
刻	kəʔ9	时～
刻	kəʔ9	动词
劊	kuei13=	
劑	tɕi13=	
剃	tʰi5	
削	ɕiəʔ9	
前	ɕi2	
剮	kuɑ13=	
劍	tɕi5	
劍	tɕiɛ̃13=	
剜	uə1	
剝	pɔʔ9	
劇	tɕiəʔ18=	～烈
劇	tɕiəʔ18=	睦～
剩	sᴇɲ5	
剪	tɕi3	
副	fʊ5	
割	kiᴇ7	
割	kəʔ17=	
剿	tɕʰiɑ12=	
劃	uəʔ8	～洋火：划火柴
劃	uəʔ18=	计～
劈	pʰi7	
力	liəʔ8	
勸	tɕʰyei5	
辦	pʰɤ̞5	
功	kɔm1	
加	kuə1	
務	ʊ16=	
劣	liəʔ18=	
動	tʰɔm4	
助	sʊ5	
努	nʊ13=	
劫	tɕi7	
勵	li16=	
勁	tɕieɲ5	
勞	lɤ̞2	
勢	ɕi13=	
勃	pɔʔ18=	
勇	iɔm4	
勉	miɛ̃13=	
勋	ɕyɛ̃1	
勒	nəʔ8	
勘	kʰæ̃13=	
募	məɯ16=	
勤	tɕʰieɲ2	
勺	sɔʔ8	
勾	kəɯ1	
勿	uɔʔ9	不
勿	uəʔ18=	
勻	yɛ̃2	
包	pʊ1	～萝：玉米
包	pəɯ1	～子
匆	tsʰɔm1	
化	xuə5	
北	pəʔ9	
北	pəʔ17=	
匙	sɿ2	
匠	ɕiɑ̃5	
匡	kʰuɑ̃11=	
匣	xuə3	
匪	fi13=	
匯	uɛ5	～款
匹	pʰi7	
區	tɕʰy11=	
醫	i1	
匾	pi2	
匿	ȵiəʔ18=	
十	tsʰəʔ8	
千	tɕʰi1	
升	sᴇɲ1	
午	n̩4	
半	piɛ5	
華	ŋuə2	金～：地名
華	xuɑ12=	中～；姓
協	ɕiəʔ18=	
卑	pei11=	
卒	ləʔ9	
卓	tɕiɔʔ17=	
單	tuə1	～衣
單	ɕiɛ̃16=	姓
賣	mɑ5	
南	niɛ2	
博	pɔʔ9	
卜	pɔʔ17=	占～
占	tsæ̃13=	～卜
盧	lʊ12=	
卤	lʊ4	
卦	kuə5	
臥	ʊ16=	
衛	uei16=	
卯	mɑ13=	子丑寅～
印	ieɲ5	
危	uei1	
即	tɕiəʔ17=	
卻	tɕʰiɔʔ17=	
卵	lᴇɲ4	
卷	tɕyei5	名词
卸	ɕiᴇ13=	
卿	tɕʰieɲ11=	
廠	tsʰɑ̃3	
廳	tʰieɲ1	
厲	li5	
壓	uə7	
壓	iəʔ17=	镇～
厭	i5	
廁	tsʰəʔ17=	
厘	li7	量词
厚	kʰəɯ4	
原	yɛ̃12=	
廂	ɕiɑ̃1	
厴	i3	鳞
厥	tɕyəʔ17=	
厦	ɕiɑ16=	大～
厦	ɕiɑ16=	～门
廚	tɕʰy12=	
去	kʰəɯ5	
厾	tɔʔ9	
縣	ɕiɛ̃16=	
参	sᴇɲ1	人～
参	tsʰæ̃11=	～加
又	iəɯ16=	
叉	tɕʰyə1	
及	tɕʰiəʔ8	来勿～
及	tɕiəʔ18=	～格
友	iəɯ4	
雙	ɕyɑ̃1	量词
雙	ɕyɑ̃1	～生
反	fɤ̞3	
发	fɤ̞7	
发	fəʔ17=	
叔	ɕiɔʔ9	
取	tɕʰy3	
受	səɯ4	
變	pi5	
敘	ɕy16=	
叛	pʰæ̃13=	
叟	səɯ13=	
疊	tʰiᴇ3	
疊	tiəʔ18=	
口	kʰəɯ3	
古	kʊ3	
句	tɕy5	
另	lieɲ5	
叩	kʰəɯ13=	
叫	tɕɤ̞5	
召	tsɤ̞1	
可	kʰʊ13=	
台	tʰɛ12=	～州：地名
史	sɿ16=	
右	iəɯ16=	
葉	i3	
葉	iəʔ18=	
號	xɤ̞5	～码
司	sɿ1	
嘆	tʰæ̃13=	
吁	y16=	
吃	tɕʰiəʔ9	
各	kɔʔ17=	
吆	ɤ̞1	～牛：放牛
吆	yɑ2	叫，喊
合	xiᴇ3	合拢
合	kiᴇ7	合眼
合	kiᴇ7	把斗上的米擀平整
合	xəʔ18=	～作
吉	tɕiəʔ9	
吊	tɤ̞5	
同	tʰɔm2	
名	mieɲ2	
后	xəɯ4	皇～
吏	li16=	
吐	tʰʊ3	～痰
吐	tʰʊ3	呕～
向	ɕiɑ̃5	
嚇	xəʔ9	
吕	luei13=	
君	tɕyɛ̃11=	
吝	lieɲ12=	
吞	tʰiɛ1	
吟	ȵieɲ12=	
否	fəɯ13=	
含	ɕiᴇ2	衔
含	xæ̃12=	包～
听	tʰieɲ5	
启	tɕʰi13=	
吴	ŋʊ2	
吵	tsʰɤ̞3	
吸	ɕiəʔ9	
吹	tɕʰyei1	
吻	uᴇɲ13=	
吼	xəɯ11=	
呆	ŋiᴇ2	
告	kɤ̞5	
嘔	əɯ11=	
員	uei2	
呢	tæ̃5	语气词
周	tsəɯ1	
味	uei5	
呷	xuə7	大口喝
呼	xʊ1	
命	mieɲ5	
和	xʊ2	～气
和	ʊ5	暖～
咎	tɕiəɯ13=	
咏	yɛ̃13=	
咒	tsəɯ5	
咒	tɕiəɯ5	
咕	kʊ1	像声词
咕	kʊ2	卒卒～：卒子
咕	kʊ2	像声词
嚨	lɔm2	
咨	tsɿ11=	
咬	iɑ13=	
咳	kəʔ9	
哀	ɛ11=	
品	pʰieɲ13=	
哄	xɔm3	
哈	xɑ5	
響	ɕiɑ̃3	
啞	uə3	
哥	kʊ1	～弟
哥	kɑ7	～～
哪	nɑ13=	
哭	kʰɔʔ9	
哲	tsəʔ17=	
哽	tsʰæ̃5	噎
唆	sʊ1	
脣	tɕyɛ̃2	
脣	ɕyɛ̃2	
唐	tʰɑ̃2	
喚	xuæ̃13=	
售	tɕiəɯ16=	
唯	uei12=	
唱	tsʰɑ̃5	
啃	kʰᴇɲ13=	
商	sɑ̃1	
啊	ɑ	语气词
嗇	ɕiəʔ17=	
囉	lʊ11=	
啼	tʰi12=	
善	ɕiɛ̃16=	
喉	xəɯ12=	
喊	xæ̃13=	
喘	tɕʰyɛ̃13=	
喜	ɕi3	
喝	xəʔ17=	
喧	ɕiɛ̃11=	
噴	pʰᴇɲ1	～水
噴	pʰᴇɲ3	～香
喻	y12=	
嗅	ɕiəɯ13=	
嗓	sɑ̃13=	
嗜	sɿ5	
嗝	kiᴇ7	
嗽	səɯ5	
嘉	kuə1	
噓	ɕy11=	
囑	ɕiɔʔ17=	
嘴	tɕyei3	
器	tɕʰi13=	
囂	ɕiɑ11=	
嚷	lɑ̃13=	
嚼	ɕiəʔ8	
囊	lɑ̃13=	
囚	tɕʰiəɯ12=	
四	sɿ5	
回	uɛ2	
因	ieɲ11=	
囡	tæ̃2	女儿
团	tʰæ̃12=	～结
囥	kʰɑ̃5	藏放
園	uei2	
困	kʰuᴇɲ13=	～难
囱	tsʰɔm1	
圍	y2	～裙
圍	uei2	动词
固	kʊ5	
國	kuəʔ9	
圖	tʰʊ2	
圓	uei2	～桌
圓	ȵyei2	肉～：大肉丸子
圈	tɕʰyei1	圆～
土	tʰʊ3	
聖	sᴇɲ5	
在	tɕʰiɛ4	
在	ɕiɛ4	
在	tsɛ13=	
圭	kuei13=	
地	tʰi5	
壙	kʰuɑ̃5	
場	tsʰɑ̃12=	
址	tsɿ3	
均	tɕyɛ̃11=	
坎	kʰæ̃13=	
壞	uɑ1	形容词
壞	uɑ5	动词
坐	sʊ4	
坐	tsʊ16=	
坑	sæ̃1	
塊	kʰuɛ5	
堅	tɕiɛ̃11=	
壩	pɤ̞5	
塢	ʊ3	
墳	fᴇɲ2	
坡	pəɯ1	
坤	kʰuᴇɲ11=	
坦	tʰæ̃13=	
坪	pʰieɲ2	
坯	pʰiɛ1	
坼	tsəʔ9	㶁～：裂缝
垂	tɕʰyei2	
壟	lɔm2	山谷
壟	lɔm13=	～断
型	ieɲ12=	
垒	luei13=	
墾	kʰᴇɲ13=	
墊	tʰi5	
垮	kʰuɑ13=	
埂	kᴇɲ13=	
埃	ɛ11=	
埋	mɑ2	
城	sᴇɲ2	
域	yəʔ18=	
埠	pʰʊ5	
培	pʰei12=	
基	tɕi1	
堂	tʰɑ̃2	
堆	tiɛ1	
堡	pɑ13=	
堤	tʰi12=	
堪	kʰæ̃11=	
堵	tʊ3	
塌	tʰuə7	
塍	sᴇɲ2	
塑	sʊ5	
塔	tʰuə7	
塕	ɔm3	灰～：灰尘
塘	tʰɑ̃2	
塞	tsʰəʔ9	
填	tʰi2	
境	tɕieɲ13=	
墓	məɯ5	
牆	ɕiɑ̃2	
增	tsᴇɲ11=	
墟	ɕy13=	
墨	məʔ8	
墩	tᴇɲ1	
墰	tʰæ̃12=	
壁	piəʔ9	
壕	xɑ12=	
壤	lɑ̃13=	
士	sɿ16=	
壬	lᴇɲ16=	
壯	tɕyɑ̃5	
聲	sᴇɲ1	
殼	kʰɔʔ9	
壺	ʊ2	
處	tɕʰy13=	相～
處	tɕʰy13=	～所
備	pei16=	
夏	xuə5	立～
夏	ɕiɑ16=	姓
夕	ɕiəʔ18=	
外	uɑ5	
夜	iɑ5	
够	kəɯ5	
大	tʰʊ5	～细：大小
大	tʰɑ5	～家
大	tɑ16=	～概
大	tɑ16=	～夫
天	tʰi1	
太	tʰɑ5	
夫	fʊ11=	
央	iɑ̃1	
夯	xɑ̃5	
失	tsʰəʔ9	
頭	təɯ2	上～，下～
頭	tʰəɯ2	脑袋
夷	i12=	
夸	kʰuɑ11=	
夾	kʰuə3	
奪	tʰəʔ8	
奇	tɕʰi2	
奈	nɛ16=	
奉	fɔm16=	
奎	kʰuei11=	
奏	tsəɯ5	
契	tɕʰi5	
奔	pᴇɲ11=	
獎	tɕiɑ̃3	
獎	tɕiɑ̃13=	～状
套	tʰɤ̞5	
奠	tiɛ̃16=	
奢	sɑ11=	
奧	ɑ13=	
女	ȵy3	男～
女	nuə4	～婿
女	ȵy13=	
奴	nʊ12=	
奶	nɑ1	
奸	tɕi1	～臣
奸	tɕiɛ̃11=	强～
好	xɤ̞3	形容词
好	xɤ̞5	动词
如	y2	
妃	fi11=	
妄	uɑ̃16=	
婦	fʊ2	细新～：童养媳
婦	fʊ4	新～：媳妇
婦	fʊ16=	～女
媽	mɑ7	
妒	tʊ13=	
妓	tɕi16=	
妖	ɤ̞1	
妙	miɑ13=	
妥	tʰʊ5	
妨	fɑ̃12=	
妻	tɕʰi1	
妾	tɕʰiəʔ17=	
姊	tɕi3	
始	sɿ5	
姐	tɕiᴇ3	
姑	kʊ1	
姓	ɕieɲ5	
委	uei13=	
姘	pʰieɲ5	
姚	ɤ̞2	
姚	iɑ12=	
姜	tɕiɑ̃1	姓
姝	miɛ5	
姣	tɕɤ̞1	
姨	i2	
姻	ieɲ1	
姿	tsɿ11=	
威	uei1	
婁	ləɯ4	
嬌	tɕɤ̞1	
娘	ȵiɑ̃2	
娟	tɕyɛ̃11=	
娥	ŋʊ2	
娩	miɛ̃13=	
娛	y16=	
娶	tɕʰy13=	
婆	pʰəɯ2	
婆	pʰəɯ12=	
婚	xuᴇɲ1	
婢	pei11=	
嬰	ieɲ11=	
嬸	sᴇɲ3	
婿	ɕi5	
媒	miɛ2	
媳	ɕiəʔ17=	
嫁	kuə5	
嫂	sɤ̞3	
嫌	i2	
嫖	pʰɤ̞2	
嫡	tiəʔ17=	
嫩	lᴇɲ5	
嬉	ɕi1	
孀	ɕyɑ̃11=	
子	tsɿ3	
孔	kʰɔm3	
孕	yɛ̃16=	
字	sɿ5	
存	tsʰᴇɲ2	
孫	sᴇɲ1	
孝	xɤ̞5	做～
孝	ɕɤ̞5	～顺
孟	mᴇɲ16=	
季	tɕi13=	
孤	kʊ1	
學	xɔʔ8	
孩	xɛ12=	
孵	fʊ12=	
孽	ȵi3	
寧	ȵi12=	～波
寧	ȵi12=	～愿
宅	tsəʔ18=	
宇	y13=	
守	səɯ3	
安	iᴇ1	
宋	sɔm5	
完	uæ̃12=	
宏	xɔm12=	
宗	tsɔm1	
官	kuə1	
宙	tɕiəɯ13=	
定	tʰieɲ5	
宜	i2	
寶	pəɯ3	
實	tsʰəʔ8	
