#漢字	音標	解釋
哥	kɘu1	
哪	lʊ5	哪箇?
哭	kʰɔʔ7	
哲	tsəʔ7	
唇	sɘŋ2	
唐	tɑŋ2	
售	sɘi6	
唯	uɘi5	
唱	tsʰɑŋ5	
唾	tʰɘu3	唾液,唾沫
啄	tsɔʔ8	
商	sɑŋ1	
問	mɘŋ6	
啞	ʊ1	
啟	tɕʰɿ3	
啼	tɿ2	
喂	uɘi3	嘆詞
善	ɕi6	
喉	xɘi2	
喊	xᴀ5	
喘	tɕʰʏ5	
喜	ɕɿ3	
喝	xəʔ8	喝彩,吆喝
喧	ɕʏ1	
喪	sɑŋ1	婚喪
喪	sɑŋ5	喪失
喫	tɕʰiɛʔ7	
喬	tɕiaɔ2	
單	tᴀ1	單獨
單	ɕi6	姓
喩	ʮ1	
嗅	ɕiɘu5	
嗇	səʔ7	
嗓	sɑŋ5	
嗜	sɿ5	
嗣	sɿ1	
嗤	tsʰɿ1	
嗦	sɘu1	羅嗦
嗽	sɘi5	
嘉	kʊ1	
嘔	ɘi3	
嘗	sɑŋ2	
嘮	laɔ1	
嘴	tɕɿ3	
噎	iɛʔ7	噎住了
噓	sʮ1	吹噓
器	tɕʰɿ3	
噴	pʰɘŋ1	噴水
噴	pʰɘŋ5	噴香,噴嚏
嚇	xəʔ7	嚇一跳
嚇	xəʔ7	恐嚇
嚴	ȵi1	
嚼	ɕiᴀʔ8	
囂	ɕiaɔ1	
囊	nɑɡ1	
囑	tsɔʔ8	
囚	tɕiɘu2	
四	sɿ5	
回	uɘi2	
因	iɪŋ1	
囤	tɘŋ6	
囥	kʰɑŋ5	藏
囪	tsʰoŋ1	煙囪
困	kʰuɘŋ5	
固	ku5	
圈	tɕʰʏ1	圓圈
圈	tɕʏ6	豬圈
國	kuəʔ7	
圍	uɘi2	
園	ʏ2	
圓	tɕʏ2	
圖	tɘu2	
團	tʏ2	
團	tʏ2	飯團
土	tʰɘu3	
在	lai1	
地	tɿ6	
址	tsɿ1	
均	tɕyɲ1	
坍	tʰᴀ1	坍下來
坎	kʰᴀ3	
坐	tsɘu6	
坑	kʰɘŋ1	
坡	pʰɘu1	
坤	kʰuɘŋ1	
坦	tʰᴀ3	
坪	piɪŋ2	
坯	pʰai2	
坳	aɔ1	山坳
垂	ɕyɘi6	
型	ɕiɪŋ2	
垮	kʰuᴀ1	
埂	kɘŋ1	田埂
埋	mᴀ1	
城	tsɘŋ2	
域	yɔʔ8	
執	tsəʔ7	
培	pɘi2	
基	tɕɿ1	
堂	tɑŋ2	
堅	tɕi1	
堆	tai1	
堡	paɔ3	
堤	tɿ2	
堪	kʰʏ1	
堯	iaɔ2	
堰	i5	堤~，~塘
報	paɔ5	
場	tsɑŋ2	
堵	tɘu3	
塊	kʰuai5	
塌	tᴀ5	
塑	suɔʔ7	塑像
塔	tʰᴀʔ8	
塗	tɘu2	
塘	tɑŋ2	
塞	səʔ7	
塢	u1	
塡	ti2	
塡	ti6	墊錢
塵	tsɘŋ2	
境	tɕiɪŋ5	
墓	mɘu6	
增	tsɘŋ1	
墟	tsʰʮ1	墟市
墨	məʔ8	
墩	tɘŋ1	
墳	fɘŋ2	
墾	kʰəŋ3	
壁	piɛʔ7	
壇	tᴀ2	花壇
壓	ᴀʔ7	
壕	xaɔ2	
壘	lɘi6	
壞	ua6	
壟	lɘŋ1	田壟
壤	ȵiɑŋ5	土壤
壩	pʊ5	堤
壩	pʊ5	平川
士	sɿ6	
壯	tɕyɑŋ5	
壺	u2	
壽	sɘi6	
夏	ɕiᴀ6	姓
夏	ɕiᴀ6	春夏
夕	ɕiɛʔ7	
外	uᴀ5	
多	tɘu1	
夜	iᴀ2	
夠	kɘi5	足夠
夢	moŋ6	
夥	xɘu3	火
大	tɘu6	
大	tᴀ2	大夫
天	tʰi1	
太	tʰai5	
夫	fu1	
央	iɑŋ1	
夯	xɑŋ1	打夯
失	səʔ7	
夾	kᴀʔ7	
夾	kᴀʔ7	夾衣
夾	kᴀʔ7	夾菜
奇	tɕɿ2	
奈	nai5	
奉	foŋ3	
奎	kʰuɘi1	
奏	tsɘu5	
契	tɕʰiɛʔ7	契約
奔	pɘŋ1	
奔	pɘŋ1	奔頭
套	tʰaɔ5	
奚	ɕɿ1	
奠	ti5	
奢	səʔ7	
奧	aɔ5	
奪	təʔ8	
奮	fɘŋ3	
奴	nɘu2	
奶	nᴀ6	嬭
奸	ɕi1	
好	xaɔ3	好壞
好	xaɔ3	喜好
如	sʮ6	
妃	fɿ1	
妄	uɑŋ3	
妒	tu3	
妓	tɕɿ2	
妖	iaɔ1	
妙	miaɔ1	
妥	tʰɘu5	
妨	fɑŋ5	妨害
妹	mai5	
妻	tɕʰɿ1	
妾	tɕʰiɛʔ7	
姊	tsɿ5	
始	sɿ3	
姐	tɕiᴀ3	
姑	ku1	
姓	ɕiɪŋ5	
姘	pʰiɪŋ1	姘頭
姚	iaɔ2	
姜	tɕiɑŋ1	
姨	ɿ1	
姻	iɪŋ1	
姿	tsɿ3	
威	uɘi1	
娘	ȵiɑŋ1	
娛	ʮ2	
娠	sɘŋ1	
娶	tsʰʮ3	
婆	pɘu2	
婚	xuɘŋ1	
婦	fu2	
婿	ɕʮ1	女婿
媒	mai2	
媚	mɘi1	
媳	ɕiɛʔ7	息
媽	mᴀ2	
嫁	kʊ5	
嫂	saɔ3	
嫌	i2	
嫖	piaɔ2	
嫡	tiɛʔ7	
嫩	nɘŋ6	
嬉	ɕɿ5	
嬌	tɕiaɔ1	
嬯	tai1	
嬰	iɪŋ1	
嬸	sɘŋ1	
孀	ɕyɑŋ1	
子	tsɿ3	
孔	kʰoŋ5	
孕	yɲ5	
字	sɿ6	
存	sɘŋ2	白讀
存	tɕyɲ2	文讀
孝	ɕiaɔ5	
孟	moŋ5	
季	tɕɿ5	
孤	ku1	
孫	sɘŋ1	
孵	pu6	孵小雞
學	xɔʔ8	
孽	ȵiɛʔ8	
宇	ʮ6	
守	sɘi3	
安	ʏ1	
宋	soŋ5	
宏	xoŋ2	
宗	tsoŋ1	
官	kʏ1	
宙	tsɘi1	
定	tiɪŋ6	
宜	nɿ6	便宜
客	kʰəʔ7	
宣	ɕʏ1	
室	səʔ7	
宦	uᴀ5	
宮	koŋ1	
宰	tsai5	
害	xai6	
宴	i5	
宵	ɕiaɔ1	
家	kʊ1	
家	tɕiᴀ3	家具
容	ȵyŋ6	
宿	ɕiɘu3	星宿
宿	sɔʔ7	
寂	tɕɿ3	
寄	tɕɿ5	
寅	iɪŋ6	
密	miɛʔ8	
寇	kʰɘi5	
富	fu5	
寒	xʏ2	
寓	ʮ1	
寞	mɔʔ	
察	tsʰᴀʔ7	
寡	kʊ5	
寢	tɕʰiɪŋ5	
寥	liaɔ1	
實	səʔ8	
寧	ȵiɪŋ1	安寧
寧	ȵiɪŋ5	寧可
寨	tsᴀ2	
審	sɘŋ5	
寫	ɕiᴀ3	
寬	kʰʏ1	
寵	tsʰoŋ5	
寶	paɔ3	
寸	tsʰɘŋ5	
寺	sɿ6	
封	foŋ1	
射	sᴀ6	
射	sᴀ5	
將	tɕiɑŋ1	將來
將	tɕiɑŋ3	大將
專	tɕʏ1	
尊	tsɘŋ1	
尋	ɕiɪŋ2	
對	tɘi5	
導	taɔ6	
小	ɕiaɔ3	
少	saɔ3	多少
少	saɔ1	少年
尙	sɑŋ6	
尤	iɘu1	
尬	kᴀ3	尷尬
就	ɕiɘu6	
尷	kaɲ2	尷尬
尹	iɪŋ1	
尺	tsʰəʔ7	
尼	nɿ2	
尾	mɿ1	白讀
尾	uɘi1	文讀
