#漢字	音標	解釋
縫	foŋ6	一條縫
縮	sɔʔ7	
縱	tsoŋ3	縱橫
縱	tsoŋ5	放縱
縷	lʮ6	絲縷
總	tsoŋ3	
績	tɕiɛʔ7	
繁	fᴀ6	
織	tsəʔ7	
繞	ȵiaɔ6	繞線
繡	ɕiɘu5	
繩	sɘŋ2	
繪	xuɘi5	
繫	tɕɿ5	~鞵帶
繫	ɕɿ3	聯繫
繭	tɕi5	
繰	kʰaɔ1	
繳	tɕiaɔ1	
繼	tɕɿ5	
續	sɔʔ8	
纓	iɪŋ1	
纜	lᴀ5	
缸	kɑŋ1	
缺	tɕʰyɔʔ7	
缽	pɘu1	
罐	kʏ1	
罕	xʏ2	
罩	tsaɔ5	
罪	suɘi6	
置	tsɿ5	
罰	fᴀʔ8	
署	sʮ2	專署
罵	mʊ6	
罷	pᴀ3	
羅	lɘu1	
羅	lɘu1	羅嗦
羊	iaŋ2	
羌	tɕʰiɑŋ1	
美	mɘi1	
羔	kaɔ1	
羞	ɕiɘu3	
羣	tɕyɲ2	
羨	ɕi5	
義	ɿ2	
羹	kɘŋ1	
羽	ʮ1	
翁	oŋ1	
翅	tsʰɿ5	
翎	liɪŋ1	雁翎，翎毛
習	ɕiɛʔ8	
翠	tsʰuɘi5	
翡	fɘi5	
翰	xʏ2	
翻	fᴀ1	
翼	iɛʔ8	
耀	iaɔ2	
老	laɔ6	
考	kʰaɔ3	
而	æ6	
耍	ɕyᴀ3	
耐	nai5	
耕	kɘŋ1	
耗	xaɔ6	
耙	pʊ1	犁耙,耙地
耩	kɑŋ1	耩地
耳	nɿ1	
耽	tᴀ2	
耿	kɘŋ3	
聊	liaɔ2	
聒	kuɔʔ7	聒耳朵，聒噪
聖	sɘŋ5	
聘	pʰiɪŋ3	
聚	sʮ2	
聞	mɘŋ1	
聯	li2	
聰	tsʰoŋ1	
聲	sɘŋ1	
聶	ȵiɛʔ	姓
職	tsəʔ7	
聽	tʰiɪŋ1	聽見,聽話
聽	tʰiɪŋ5	聽其自然
聾	loŋ1	
肅	sɔʔ7	
肆	sɿ5	
肉	ȵiɔʔ8	
肋	ləʔ8	
肌	tɕɿ3	
肘	tsɘi2	
肚	tɘu6	魚肚,豬肚
肚	tɘu6	腹肚
肝	kʏ1	
股	ku3	
肢	tsɿ1	
肥	fɿ2	
肩	tɕi1	
肪	fɑŋ1	脂肪
肫	tsɘŋ1	肫肝，雞肫
肮	ɑŋ1	骯髒
肯	kʰɘŋ3	
育	yɔʔ7	
肺	fɿ5	
胃	uɘi6	
背	pai5	
背	pai6	背誦
胎	tʰai1	
胖	pɑŋ5	
胚	pʰai1	
胛	kᴀʔ8	肩胛
胞	paɔ1	
胡	u2	
胡	u2	鬍子
胳	kəʔ7	胳膊
胷	ɕyŋ1	
能	nɘŋ1	
脂	tsɿ1	
脅	ɕiɛʔ7	
脆	tsʰʮ5	文讀
脆	tsʰɿ5	白讀
脈	məʔ8	
脊	tɕiɛʔ7	
脫	tʰəʔ7	
脯	pu2	胷脯
脯	fu3	杏脯:蜜製曬乾的水果
脹	tsɑŋ5	
脾	pɿ2	
腎	sɘŋ5	
腐	fu2	
腑	fu3	
腔	tɕʰiɑŋ1	
腕	ʏ3	
腡	lɘu1	手指文
腥	ɕiɪŋ1	
腦	naɔ1	
腫	tsoŋ3	
腮	sai1	
腰	iaɔ1	
腳	tɕiᴀʔ7	
腸	tsɑŋ2	
腹	fɔʔ7	
腿	tʰɘi3	
膏	kaɔ1	
膏	kaɔ5	膏車,膏油
膘	piaɔ1	肥膘
膚	fu1	
膜	mɔʔ	
膝	tɕʰiɛʔ7	
膠	kaɔ1	
膨	pɘŋ2	膨脹
膩	ȵiɛʔ	
膽	tᴀ3	
膿	noŋ5	
臀	tɘŋ6	
臂	pʰɿ3	
臊	saɔ3	
臍	tɕɿ2	
臘	lᴀʔ8	
臣	tsɘŋ2	
臥	ŋɘu5	
臨	liɪŋ1	
自	sɿ2	
臭	tsʰɘi5	香臭
至	tsɿ3	
致	tsɿ3	
臺	tai2	
臼	tɕiɘu2	
舀	iaɔ6	舀水
舂	tsʰoŋ1	舂米
舅	tɕiɘu2	
興	ɕiɪŋ1	興旺
興	ɕiɪŋ1	
舉	tsʮ2	
舊	tɕiɘu6	
舌	səʔ8	
舍	sᴀ3	宿舍
舒	sʮ1	
舔	tʰi3	以舌取物
舜	ɕyɲ5	
舞	u6	
舟	tsɘi1	
航	xɑŋ2	
般	pᴀ1	
舵	tɘu6	
船	ɕʏ2	
艇	tʰiɪŋ3	
艦	kʰᴀ3	
良	liɑŋ1	
艱	tɕi2	
色	səʔ7	
艾	ŋai3	
芋	ʮ3	
芍	saɔ6	芍藥花
芒	mɑŋ1	
芒	mɑŋ1	麥芒兒，芒果
芙	fu1	芙蓉
芝	tsɿ1	
芥	kᴀ1	
芬	fɘŋ1	
芮	ɕyɘi6	
花	xʊ1	
芳	fɑŋ1	
芹	tɕiɪŋ2	
芽	ŋʊ1	
苔	tai2	青苔
苔	tʰai1	舌苔
苗	miaɔ1	
苟	kɘi3	
苦	kʰu3	
苧	tsʮ6	苧麻
英	iɪŋ1	
茂	mɘi1	
茄	tɕiᴀ2	茄子
茅	maɔ2	
茫	mɑŋ1	
茬	tsʰᴀ1	
茲	tsɿ1	
茴	uai2	
茶	tsʊ2	
茸	ȵyŋ1	參茸,鹿茸
荀	ɕyɲ5	
草	tsʰaɔ3	
草	tsʰaɔ3	雌性,草雞
荊	tɕiɪŋ1	
荒	xuɑŋ1	
荔	liɛʔ8	
荷	xɘu2	荷花
荷	xɘu2	薄荷
莊	tɕyɑŋ1	
莎	su2	莎草
莖	tɕiɪŋ1	
莠	iɘu2	
莧	xᴀ1	
莫	mɔʔ	
莽	mɑŋ1	
菊	tɕyɔʔ7	
菌	tɕyɲ1	
菖	tsʰɑŋ1	菖蒲
菜	tsʰai5	
菠	pu3	菠菜
菩	pu6	菩薩
華	ʊ2	中華
華	ʊ6	華山,姓
菱	liɪŋ1	
萄	taɔ2	
萌	moŋ2	~生，~芽
萍	piɪŋ2	
萎	uɘi5	
萬	fᴀ6	
落	luɔʔ8	
葉	iɛʔ8	
著	tsʮ1	顯著
著	tsᴀʔ7	著衣
著	tsᴀʔ7	睡著,附著
葛	kəʔ7	
董	toŋ5	
葦	uɘi6	
葫	u2	葫盧
葬	tsɑŋ5	
葵	kuɘi2	
葷	xuɘŋ1	
蒙	moŋ2	
蒜	ɕʏ1	
蒯	kʰua5	
蒲	pʰu2	
蒸	tsɘŋ1	
蒼	tsʰɑŋ1	
蒿	xaɔ1	
蓄	ɕyɔʔ7	儲蓄
蓉	yŋ1	芙蓉
蓋	kai5	
蓑	sɘu1	
蓖	pi1	蓖麻
蓬	poŋ2	蓬亂，蓬鬆
蓮	li1	
蔑	miɛʔ8	竹蔑
蔔	pu6	
蔗	tsᴀ3	
蔡	tsʰᴀ5	
蔣	tɕiɑŋ3	
蔥	tsʰoŋ1	
蔫	i1	食物不新鮮
蔫	i1	花萎
蔬	sɘu1	
蔽	pɿ6	
蕉	tɕiaɔ1	芭蕉,香蕉
蕊	luɘi5	
蕎	tɕiaɔ2	
蕩	tɑŋ6	放蕩
蕭	ɕiaɔ1	
薄	pɔʔ8	薄荷
薄	pu5	
薑	tɕiɑŋ1	
薓	sɘŋ1	
薛	ɕiɛʔ7	
薦	tɕi5	
薩	sᴀʔ8	
薪	ɕiɪŋ1	
薯	sʮ2	白薯
薰	ɕyɲ1	
薺	ɕɿ3	
藉	tɕiɛʔ8	狼藉
藍	lᴀ2	
藏	tsɑŋ2	隱藏
藏	tsɑŋ2	西藏
藐	miaɔ6	
藕	ŋɘi6	
藝	nɿ1	
藤	tɘŋ2	
藥	iᴀʔ8	
藩	fᴀ1	
藿	xu1	藿香
蘆	lɘu2	蘆葦
蘇	sɘu1	
蘚	ɕi3	
蘭	lᴀ1	
蘸	tsᴀ5	蘸醬油
虎	xu3	
虐	ȵiᴀʔ8	
處	tsʰʮ3	相處
處	tsʰʮ5	處所
虛	sʮ1	
虜	lɘu6	
虞	ʮ2	
號	xaɔ2	呼號
號	xaɔ6	號數
虧	kʰuɘi1	
虱	səʔ7	
虹	xoŋ2	彩虹,單用
虹	xoŋ2	
虻	mɑŋ1	牛虻
蚊	mɘŋ2	
蚌	pɑŋ2	
蚣	koŋ1	蜈蚣
蛀	tsʮ5	
蛆	tsʰʮ1	生蛆
蛇	sᴀ2	
蛋	tᴀ6	
蛙	ʊ1	
蛙	ua1	
蛛	tsʮ1	
蛻	tʰɘi5	
蛾	ŋɘu2	
蜀	sɔʔ8	
蜂	foŋ1	
蜇	tɕɿ1	蠍子蜇人
蜈	u2	蜈蚣
蜓	tiɪŋ2	
蜘	tsɿ1	
蜜	miɛʔ8	
蜻	tɕʰiɪŋ1	蜻蜓
蝕	səʔ8	
蝗	xuɑŋ2	
蝙	pi1	
蝟	uɘi1	
蝠	fɔʔ7	蝙蝠
蝦	xʊ1	魚蝦
蝦	xᴀ1	蝦腰
蝶	tiɛʔ8	
蝸	ɘu1	
螂	lɑŋ1	
螃	pɑŋ6	螃蟹
融	yŋ1	
螢	iɪŋ2	
螳	tɑŋ2	螳螂
螺	lɘu2	螺螄
蟀	ɕyai1	
蟄	tsəʔ7	驚蟄
蟆	mᴀ2	蝦蟆
蟒	mɑŋ1	
蟲	tsoŋ2	
蟹	xᴀ3	
蟻	mɿ2	
蠅	iɪŋ1	
蠍	ɕiɛʔ7	
蠓	moŋ1	蠓蟲
蠟	lᴀʔ8	
蠢	tɕʰyɲ3	
蠶	ɕʏ2	
蠻	mᴀ2	
血	ɕyɔʔ7	
行	xɑŋ2	行列,銀行
行	ɕiɪŋ2	行為
行	ɕiɪŋ6	品行
術	tɕyɔʔ8	
街	kᴀ1	
衙	iᴀ6	
衛	uɘi5	
衡	xɘŋ2	
衣	ɿ1	
表	piaɔ	
表	piaɔ	手錶
衫	sᴀ1	
衰	ɕyai1	
袁	ʏ2	
袋	tai6	
袍	paɔ2	
袖	ɕiɘu6	
被	pɿ2	
裁	sai2	
裂	liɛʔ8	
裏	lɿ6	
裏	lɿ6	裏面
裕	ʮ1	
裙	tɕyɲ2	
補	pu3	
裝	tɕyɑŋ1	
裳	sɑŋ2	衣裳
裴	pai2	
製	tsɿ5	~造
複	fɔʔ7	複數，重複
複	fɔʔ7	復原，恢復
褒	paɔ3	
褪	tʰɘi5	
褲	kʰu3	
褶	tsəʔ7	褶子,皺紋
襄	ɕiɑŋ1	
襖	aɔ3	
襟	tɕiɪŋ1	
襪	mᴀʔ8	
襯	tsʰɘŋ5	
襲	ɕiɛʔ7	
西	ɕɿ1	
要	iaɔ1	要求
要	iaɔ5	想要,重要
覆	fɔʔ7	反覆
見	tɕi5	
規	kuɘi1	
覓	miɛʔ8	
視	sɿ6	
親	tɕʰiɪŋ1	
親	tɕʰiɪŋ1	親家
覺	kaɔ5	睡覺
覺	tɕiᴀʔ7	知覺
覽	lᴀ6	
觀	kʰʏ2	參觀
觀	kʏ5	寺觀
角	kɔʔ7	
解	kᴀ3	解開
解	ɕiɛ5	姓
解	tɕiᴀ5	曉也
觸	tsʰɔʔ7	
言	i6	
訂	tiɪŋ5	訂約
訃	pɔʔ7	
計	tɕɿ5	
訊	ɕyɲ5	
討	tʰaɔ5	
訓	ɕyɲ5	
記	tɕɿ5	
訟	soŋ5	
訣	tɕyɔʔ8	
訪	fɑŋ3	
設	səʔ7	
許	ɕʮ1	
訴	sʮ2	告訴
訴	sɘu5	起訴
診	tsɘŋ5	
註	tsʮ5	~釋
詐	tsʊ5	
詔	tsaɔ3	
評	piɪŋ2	
詞	tsʰɿ6	
詠	yŋ1	
試	sɿ5	
詩	sɿ1	
詭	kuɘi3	
話	ʊ6	
該	kai1	
詳	ɕiaŋ6	
誅	tsʮ1	
誇	kʰuᴀ1	
認	ȵiɪŋ6	
誓	sɿ5	
誕	tᴀ6	
誘	iɘu3	
語	ʮ2	
誠	tsɘŋ2	
誣	u2	
誤	u6	
誦	soŋ5	
說	ɕyɔʔ7	說話
課	kʰɘu5	
誼	nɿ1	
調	tiaɔ2	調和
調	tiaɔ6	音調
調	tiaɔ6	調動
談	tᴀ2	
請	tɕʰiɪŋ3	
諒	liɑŋ5	
論	lɘŋ6	論語
論	lɘŋ6	議論
諜	tiɛʔ8	
諧	ɕiɛʔ7	
諫	kᴀ1	
諱	xuɘi5	
諷	foŋ3	
諸	tsʮ1	
諺	iɛʔ8	
諾	nuɔʔ7	
謀	mɘi1	
謂	uɘi5	
謄	tɘŋ2	
謊	xuɑŋ3	
謎	mɿ1	
謗	pɑŋ5	
謙	tɕʰi1	
講	kɑŋ3	
謝	ɕiᴀ6	
謠	iaɔ2	
謬	miɘu3	
謹	tɕiɪŋ6	
證	tsɘŋ5	
譌	ə6	
譏	tɕɿ1	
識	səʔ7	
譚	tʏ2	
譜	pʰu3	
警	tɕiɪŋ5	
譬	pʰɿ5	
譯	iɛʔ8	
議	ɿ2	
護	u2	
譽	ʮ2	榮譽
讀	tɔʔ8	
變	pi5	
讓	ȵiɑŋ6	
谷	kɔʔ7	山谷
豁	xuɔʔ7	豁然，豁嘴，豁口
豆	tɘi6	
豇	kɑŋ1	豇豆
豈	tɕʰɿ3	
豉	tsɿ2	
豌	ʏ1	豌豆
豎	sʮ6	
豐	foŋ1	
豔	i5	
豚	tɘŋ6	
象	ɕiɑŋ6	
豪	xaɔ2	
豫	ʮ2	
豬	tsʮ1	
豹	paɔ3	
豺	sai2	
貂	tiaɔ1	
貌	maɔ3	
貓	miaɔ1	
貝	pɘi5	
貞	tsɘŋ1	
負	fu5	
財	sai2	
貢	koŋ5	
貧	piɪŋ2	
貨	xɘu5	
販	fᴀ5	
貪	tʰʏ1	
貫	kuᴀ5	
責	tsəʔ8	
貳	æ6	
貴	kuɘi5	
貶	pi3	
買	mᴀ6	
貸	tai6	
費	fɿ5	費用
貼	tʰiɛʔ7	
貿	mɘi5	
賀	xɘu5	
賂	lɘu6	
賄	xuɘi5	
資	tsɿ3	
賈	kʊ3	姓
賊	səʔ8	
賓	piɪŋ1	
賜	tsʰɿ5	
賞	sɑŋ3	
賠	pai2	
賢	ɕi2	
賣	mᴀ6	
賤	ɕi5	
賦	fu5	
質	tsəʔ7	
賬	tsɑŋ5	帳
賭	tɘu3	
賴	lᴀ5	
賺	tsᴀ6	
購	kɘi5	
賽	sai5	
贈	tsɘŋ5	
贊	tsᴀ5	
贏	yɲ2	
贓	tsɑŋ1	
贖	sɔʔ8	
赤	tsʰəʔ7	
赦	səʔ7	
赫	xəʔ7	
走	tsɘi3	
赴	fɔʔ8	
起	tɕʰɿ3	
趁	tsʰɘŋ5	
超	tsʰaɔ1	
越	yɔʔ8	
趕	kʏ2	
趙	tsaɔ2	
趟	tʰɑŋ5	一趟
趣	tsʰʮ5	
足	tsɔʔ7	
趼	tɕi5	~子,老~
趾	tsɿ1	
跌	tiɛʔ7	
跑	paɔ2	
跛	pɘu3	跛足
距	tsʮ2	
跟	kɘŋ1	
跡	tɕiɛʔ7	
跨	kʰʊ5	
跪	kuɘi6	
路	lɘu6	
跳	tʰiaɔ5	
踏	tᴀʔ8	
踐	tɕi2	
踢	tʰiɛʔ7	
踱	tuɔʔ8	
蹄	tɿ2	
蹤	tsoŋ1	
蹭	tsʰɘŋ5	磨蹭
蹲	tɘŋ1	
躁	saɔ3	
躍	aɔʔ8	
身	sɘŋ1	
躬	koŋ1	
躺	tʰɑŋ3	踢
車	tsʰᴀ1	馬車
車	tsʮ1	車馬礮
軋	kᴀʔ8	被車軋
軌	kuɘi1	
軍	tɕyɲ1	
軒	ɕʏ1	
軟	ȵʏ6	
軸	tsɔʔ8	
較	tɕiaɔ5	
載	tsai5	年載
載	tsai1	載重
載	tsai1	滿載
輔	fu2	
輕	tɕʰiɪŋ1	輕重,年輕
輛	liɑŋ5	兩
輜	tsɿ1	
輝	xuɘi1	
輦	ȵi1	
輩	pɘi3	
輪	lɘŋ2	
輯	tɕiɛʔ8	編輯
輸	sʮ1	
輸	sʮ1	運輸
轄	ɕiᴀʔ7	管轄
轅	ʏ2	
轉	tɕʏ5	轉眼,轉送
轎	tɕiaɔ2	
轟	xoŋ1	亂轟轟，轟炸
轟	xoŋ1	
辛	ɕiɪŋ1	
辟	pʰiɛʔ7	
辣	lᴀʔ8	
辦	pᴀ6	
辨	pi6	
辭	tsɿ2	
辮	pi6	
辯	pi6	
辰	tsɘŋ2	
農	noŋ2	
迂	ʮ6	
迅	ɕyɲ5	
迎	iɪŋ2	
近	tɕiɪŋ6	
迫	pʰəʔ7	
述	ɕyɔʔ7	
迷	mɿ1	
逬	pɘŋ1	迸裂
追	tɕyɘi1	
退	tʰɘi5	
送	soŋ5	
逃	taɔ2	
逆	ȵiɛʔ8	順逆,逆風
透	tʰɘi5	
逐	tsɔʔ8	
途	tɘu2	
逗	tɘi5	
通	tʰoŋ1	
逛	kuɑŋ5	
逝	sɿ3	
逞	tsʰɘŋ5	逞能
速	sɔʔ7	
造	saɔ6	
逢	foŋ2	
連	li1	
進	tɕiɪŋ5	
逵	kuɘi1	
逸	iɛʔ7	
逼	piɛʔ7	
遇	ʮ5	
遊	iɘu2	
運	yɲ5	
遍	pi5	一遍
遍	pʰi5	遍地
過	kɘu5	~了他家了
過	kɘu5	
道	taɔ6	
達	tᴀʔ8	
違	uɘi2	
遜	ɕyɲ5	
遞	tɿ2	
遠	ʏ6	
遣	tɕʰi5	
適	səʔ7	
遭	tsaɔ1	
遮	tsᴀ1	
遯	tɘŋ6	
遲	tsɿ2	
遵	tsɘŋ1	
遷	tɕʰi1	
選	ɕʏ3	
遼	liaɔ2	
避	pɿ6	
邀	iaɔ1	
邁	mᴀ2	
還	uᴀ2	還元
還	uᴀ2	還有
邊	pi1	
那	lᴀʔ8	
邦	pɑŋ1	
邪	ɕiᴀ2	
邵	saɔ6	
郊	tɕiaɔ1	
郞	lɑŋ1	
郝	xaɔ5	姓
郡	tɕyɲ6	
部	pu2	
郭	kɔʔ7	
郵	iɘu2	
都	tɘu1	都城
都	tɘu1	都是
鄂	ɔʔ7	
鄕	ɕiɑŋ1	
鄒	tsɘi1	
鄙	pɿ3	
鄧	tɘŋ1	
鄭	tsɘŋ2	
鄰	liɪŋ2	
酉	iɘu1	
酌	tsɔʔ8	
配	pʰɘi5	
酒	tɕiɘu3	
酥	sɘu1	
酬	tsɘi2	
酵	ɕiaɔ5	
酷	kʰɔʔ7	
酸	ɕʏ1	
醃	i1	
醇	ɕyɲ6	酒味醇
醉	tɕɿ5	
醋	tsʰɘu5	
醒	ɕiɪŋ3	
醜	tsʰɘi3	
醫	ɿ1	
醬	tɕiɑŋ5	
釀	ȵiɑŋ5	
釁	ɕiɪŋ5	挑釁
采	tsʰai3	
釉	iɘu6	
釋	səʔ7	
重	tsoŋ6	重複
重	tsoŋ6	輕重
野	iᴀ1	
量	liɑŋ1	量長短
量	liɑŋ5	數量
金	tɕiɪŋ1	
釘	tiɪŋ1	鐵釘
釜	fu2	
針	tsɘŋ1	
釣	tiaɔ5	
釵	tsʰᴀ1	
鈍	tɘŋ6	
鈔	tsʰaɔ1	略取
鈔	tsʰaɔ1	
鈞	tɕyɲ1	
鈴	liɪŋ1	
鈸	pəʔ7	
鉗	tɕi2	
鉛	kʰᴀ1	
鉤	kɘi1	
鉸	tɕiaɔ3	鉸刀，鉸子
銀	iɪŋ2	
銅	toŋ2	
銘	miɪŋ1	
銜	xᴀʔ8	
銳	luɘi5	
銷	ɕiaɔ1	
銼	tsʰɘu5	
鋒	foŋ1	
鋤	sɘu2	
鋪	pʰu1	鋪設
鋪	pʰu5	店鋪
鋸	tsʮ5	鋸子,鋸木
鋼	kɑŋ1	
錄	lɔʔ8	
錐	tɕyɘi6	
錘	tsuɘi2	
錠	tiɪŋ6	鋌
錢	ɕi6	
錦	tɕiɪŋ1	
錨	maɔ1	
錫	ɕiɛʔ7	
錯	tsʰɘu5	錯誤
錯	tsʰɘu5	錯雜
鍁	ɕi1	鍬屬
鍋	kɘu1	
鍍	tɘu6	
鍘	sᴀʔ8	鍘刀
鍛	tʏ6	鍛煉
鍬	tɕʰiaɔ1	
鍵	tɕi3	
鍾	tsoŋ1	酒鐘
鎖	sɘu3	
鎭	tsɘŋ5	
鏟	tsʰᴀ3	
鏡	tɕiɪŋ5	
鏽	ɕiɘu3	
鐘	tsoŋ1	時鐘
鐙	tɘŋ1	馬鐙，鐙子
鐮	li5	
鐲	tsɔʔ8	鐲子
鐵	tʰiɛʔ7	
鑄	tsʰu5	
鑒	tɕi5	
鑯	tɕi1	
鑰	iᴀʔ8	鑰匙
鑲	ɕiɑŋ1	
鑷	ȵiɛʔ	鑷子
鑼	lɘu1	
鑽	tɕʏ1	動詞
鑽	tɕʏ1	木用工具
鑿	suɔʔ8	
長	tsɑŋ2	長短
長	tsɑŋ3	生長
門	mɘŋ1	
閂	ɕʏ1	
閃	sᴀ3	
閉	pɿ5	
開	kʰai1	
閏	ɕyɲ6	
閑	xᴀ2	
間	kᴀ1	中間
間	tɕi1	空間
間	tɕi5	間斷,間或
閣	kəʔ7	
閨	kuɘi1	
閩	miɪŋ1	閩越
閱	yɔʔ8	
閹	i1	
閻	ȵi2	
闊	kʰuɔʔ7	
闖	tɕʰyɑŋ5	搶
關	kuᴀ1	
阜	fu5	
阮	ʏ2	
防	pɑŋ2	
阻	tsɘu3	
阿	ᴀʔ7	阿膠,阿哥
附	fu5	
陌	mɔʔ8	陌生
降	xɑŋ2	降服,投降
降	tɕiɑŋ5	下降
限	xᴀ5	
陛	pɿ3	陛下
陝	ɕi1	陝西
陡	tɘi3	
院	ʏ3	
陣	tsɘŋ2	
除	tsʮ2	
陪	pai2	
陰	iɪŋ1	
陳	tsɘŋ2	
陵	liɪŋ1	
陶	taɔ2	
陷	ɕi5	
陸	lɔʔ8	
陽	iɑŋ2	
隆	loŋ1	
隊	tɘi6	
階	tɕiᴀ5	
隔	kəʔ7	
際	tɕɿ2	
障	tsɑŋ5	保障
隧	ɕyɘi2	
隨	sɘi6	
險	ɕi3	
隱	iɪŋ5	
隸	lɿ2	
隻	tsɿ1	?
雀	tɕiᴀʔ7	麻雀
雁	i5	
雄	ɕyŋ6	
雅	iᴀ6	
集	tɕiɛʔ8	
雇	ku1	
雌	tsʰɿ6	
雍	yŋ1	
雕	tiaɔ1	
雖	ɕyɘi5	
雙	ɕyɑŋ1	
雙	ɕyɑŋ1	雙生
雜	sᴀʔ8	
雞	tɕɿ1	
離	lɿ1	離別
離	lɿ2	離開半寸
難	nᴀ1	難易
難	nᴀ1	患難
雨	ʮ6	
雪	ɕiɛʔ7	
雲	yɲ2	
零	liɪŋ1	
雷	lɘi1	
雹	paɔ2	
電	ti6	
需	sʮ1	
霄	ɕiaɔ1	
震	tsɘŋ5	
霍	xuɔʔ7	
霜	ɕyɑŋ1	
霞	ɕiᴀ6	
霧	u6	
露	lɘu6	
霸	pʊ5	
靈	liɪŋ1	
靑	tɕʰiɪŋ1	
靖	ɕiɪŋ6	
靜	ɕiɪŋ6	
非	fɿ1	
靠	kʰaɔ5	
面	mi6	
革	kəʔ7	
靪	tiɪŋ1	靪鞵
靴	ɕyᴀ1	
鞍	ʏ1	
鞏	koŋ5	鞏固
鞘	tɕʰiaɔ3	刀鞘
鞦	tɕʰiɘu1	
鞭	pi1	
鞵	xᴀ2	
韁	tɕiɑŋ1	韁繩
韌	lɘŋ6	
韓	xʏ2	
韭	tɕiɘu1	
音	iɪŋ1	
韶	saɔ2	韶關
韻	yɲ2	
頁	iɛʔ8	
頂	tiɪŋ3	
頃	tɕʰiɪŋ5	
項	xɑŋ6	
順	ɕyɲ6	
須	sʮ1	
須	sʮ1	鬍鬚,觸鬚
頌	soŋ5	
預	ʮ2	
頑	uᴀ6	頑皮,頑固
頒	pᴀ1	
頓	tɘŋ5	
領	liɪŋ6	
頭	tɘi2	
頸	tɕiɪŋ5	
頻	piɪŋ2	頻繁
顆	kʰɘu1	一顆珠
題	tɿ2	
額	ŋəʔ8	
顏	ŋᴀ6	
願	ʏ5	
顚	ti3	
類	lɘi6	
顧	ku5	
顯	ɕi5	
風	foŋ1	
颼	sɘu1	
飄	pʰiaɔ1	
飛	fɿ1	
食	səʔ8	
飩	tɘŋ6	餛飩
飯	fᴀ6	
飼	sɿ6	
飽	paɔ3	
飾	səʔ7	
餃	tɕiaɔ5	餃子
餠	piɪŋ3	
餉	ɕiɑŋ3	
養	iɑŋ6	
餌	æ5	
餐	tsʰᴀ1	
餓	ŋəu6	
餘	ʮ1	
餛	xuɘŋ2	餛飩
館	kʏ3	
餿	sɘi1	
饅	mʏ2	饅頭
饑	tɕɿ3	
饑	tɕɿ1	饑荒
饒	ȵiaɔ1	
饞	sᴀ2	
首	sɘi3	
香	ɕiɑŋ1	
馨	ɕiɪŋ1	
馬	mʊ6	
馮	foŋ6	
馱	tɘu2	拿,馱起來
馱	tɘu6	馱子
馳	tsɿ2	
駁	pɔʔ7	
駐	tsʮ5	
駒	tsʮ1	
駕	tɕiᴀ1	
駛	sɿ1	
駝	tɘu2	
駭	xəʔ8	驚駭
駱	luɔʔ8	
騎	tɕɿ2	
騙	pʰi5	欺騙
騰	tɘŋ2	
騷	saɔ1	
騾	lɘu2	
驅	tsʰʮ1	
驕	tɕiaɔ1	
驗	i6	
驚	tɕiɪŋ1	
驟	tsɘi5	
驢	lʮ6	
骨	kuəʔ7	筋骨,頭骨
髒	tsɑŋ1	不乾淨
髒	tsɑŋ2	內臟
髓	ɕyɘi6	
體	tʰɿ3	
髙	kaɔ1	
髮	fᴀʔ7	頭髮
鬃	tsoŋ1	馬鬃
鬆	soŋ1	鬆緊
鬢	piɪŋ1	
鬥	tɘi5	鬥爭
鬧	naɔ6	
鬨	xoŋ5	起哄
鬮	tɕiɘu1	
鬼	kuɘi3	
魁	kuɘi2	
魂	xuɘŋ2	
魄	pʰəʔ7	
魏	uɘi5	
魔	mɘu2	
魚	ȵʮ1	
魯	lɘu6	
鮑	paɔ1	姓,鮑魚
鮮	ɕi1	新鮮
鯉	lɿ1	
鯨	tɕiɪŋ1	
鯰	ȵi2	鯰魚
鯽	tɕiɛʔ7	
鰓	sai1	
鰣	sɿ2	
鰭	tɕɿ2	
鰾	piaɔ1	
鱉	piɛʔ7	
鱖	kuɘi1	
鱗	liɪŋ1	
鳥	ȵiaɔ1	
鳩	tɕiɘu1	
鳳	foŋ6	
鳴	miɪŋ1	
鴉	iᴀ1	
鴨	ᴀʔ7	
鴻	xoŋ2	
鴿	kəʔ7	
鵝	ŋɘu1	
鵡	u1	鸚鵡
鵲	tɕʰiᴀʔ7	喜鵲
鶯	iɪŋ1	
鶴	xɔʔ8	
鷂	iaɔ2	鷂鷹
鷹	iɪŋ1	
鷺	lɘu3	鷺鷥
鸚	iɪŋ1	鸚鵡,鸚哥
鹵	lɘu6	
鹹	xᴀ2	
鹻	kᴀ3	
鹽	i2	
鹽	i3	醃
鹿	lɔʔ8	
麅	paɔ2	
麗	lɿ2	
麝	sᴀ6	麝香
麥	məʔ8	
麩	fu1	麥麩子
麪	mi5	麪粉
麻	mʊ1	
麼	iaɔ1	麼二三
黃	xuɑŋ2	
黎	lɿ2	
黑	xəʔ7	
默	məʔ8	
點	ti3	
黨	tɑŋ3	
黴	mai1	
鼎	tiɪŋ1	
鼓	ku3	
鼠	tsʰʮ1	
鼻	piɛʔ8	
齈	ȵyŋ5	多涕鼻疾
齊	ɕɿ2	
齋	tsᴀ1	
齒	tsʰɿ3	
龍	loŋ1	
龐	pɑŋ2	
龕	kʰʏ1	
龜	kuɘi1	
𣭲	ȵyŋ2	𣭲毛
