#漢字	音標	解釋
#簡稱	/	沁源
#全稱	/	沁源話
#聲母	/	
#韻母	/	
#聲調	/	324 1 1a 陰平 ꜀,33 2 1b 陽平 ꜁,,,53 5 3 去 ꜄,,31 7 4 入 ꜆
#版本	/	2022-03-07
#錄入人	/	鶩高赭紗匕
#參考資料	/	《山西沁源方言語音研究》
#說明	/	
偏	phiã1	
做	tsəʔ7	
健	tɕiã5	
偶	ŋiəu1	
偷	thei1	
償	tʂhʌ̃2	
傀	khuei1	
傅	fi5	
儲	tʂhi1	～蓄
催	tshuei1	
傲	ŋɔo5	
像	ɕiʌ̃5	
僧	sə̃1	
僵	tɕiʌ̃1	
僻	phiəʔ7	
儒	ʐi1	
儡	luei2	傀～
兒	ˀɚ2	
兀	ˀi5	～几天，指前几天
允	ˀyə̃1	
元	ˀyã2	
兄	ɕy1-	～弟
充	tʂhuə̃1	
兆	tʂɔo5	
先	ɕiã1	
光	kuə1	
克	khʌʔ7	
免	miã1	
兌	tuei5	
兖	ˀiã1	
黨	tʌ̃1	
兜	tei1	
兢	tɕiə̃1	
入	ʐuəʔ7	
全	tɕhyã2	
八	pʌʔ7	
公	kuə̃1	
六	liəu5	
六	luəʔ7	
兮	ɕi1	
蘭	lã2	
共	kuə̃5	
興	ɕiə̃1	～旺
興	fi5	
興	ɕiə̃5	高～
兵	piə̃1	
其	tɕhi2	
典	piã1	
養	ˀiʌ̃1	
兼	tɕiã1	
獸	ʂei5	
冀	tɕi5	
內	nei5	
岡	kʌ̃1	
冉	ʐã1	
冊	tshʌʔ7	
再	tsɛe5	
冒	mɔo5	
寫	ɕie1	
軍	tɕyə̃1	
農	nə̃2	
冠	kuã1	衣～
冠	kuã5	～军
冤	ˀyã1	
冬	tuə̃1	
馮	fə̃2	
冰	piə̃1	
冲	tʂhuə̃1	
决	tɕyəʔ7	
况	khuə5	
冷	lə̃1	
凍	tuə̃5	
淨	tɕiə̃5	
準	tʂuə̃1	
凉	liʌ̃2	
凉	liʌ̃5	～一～
凌	liə̃2	
減	tɕiã1	
湊	tshei5	
几	tɕi1	茶～，～个，～乎
凡	fã2	
鳳	fə̃5	
凭	phiə̃2	
凱	khɛe1	
凳	tə̃5	
凶	ɕyə̃1	吉～、～恶
出	tʂhuəʔ7	
擊	tɕiəʔ7	
函	xã2	
鑿	tsʌʔ7	
刀	tɔo1	
刁	tiɔo1	
刃	ʐə̃5	
分	fə̃1	
切	tɕhiəʔ7	～开
刈	ˀi5	
刎	və̃1	
划	xuɑ2	～船
划	xuɑ5	
列	liəʔ7	
劉	liəu2	
則	tsʌʔ7	
剛	kʌ̃1	
創	tʂhuə5	
初	tshei1	
刪	ʂã1	
判	phã5	
刨	pɔo5	～木头
利	li5	
别	pei5	圪～：（东西）别进缝里
别	piəʔ7	区～，～离
刮	kuʌʔ7-	～风
刮	kuɑ1=	～脸
到	tɔo5	
制	tʂʅ5	
刷	ʂuʌʔ7	
券	tɕhyã5	
刺	tshɿ5	
刻	khʌʔ7	用刀～
刻	khəʔ7	时～
劊	kuei5	
剁	tuə5	
劑	tɕi5	一～药
剃	thi5	
削	ɕyəʔ7	
前	tɕhiã2	
剮	kuɑ1	
劍	tɕiã5	
剔	thiəʔ7	
剜	vã1	
剝	pʌʔ7	
劇	tɕy5	～烈，戏～
剩	ʂʅ5-	～下
剩	ʂə̃5=	过～
剪	tɕiã1	
副	fi5	
割	kʌʔ7	
剿	tɕiɔo1	
劈	phiʌʔ7	
力	liəʔ7	
勸	tɕhyã5	
辦	pã5	
功	kuə̃1	
加	tɕiɑ1	
務	ˀi5	
劣	liəʔ7	
動	tuə̃5	
助	tsei5	
努	nei1	
劫	tɕiəʔ7	
勵	li5	
勁	tɕiə̃5	有～
勁	tɕiə̃5	～敌
勞	lɔo2	
勢	ʂʅ5	
勇	ˀyə̃1	
勉	miã1	
勋	ɕyə̃1	
勒	ləʔ7	
勘	khã1	～探
募	mi5	
勤	tɕhiə̃2	
勺	ʂʌʔ7	～子
勾	kiəu1	
勾	kiəu5	～当
勿	vʌʔ7	
勻	ˀyə̃2	
包	pɔo1	
化	xuɑ5	
北	pəʔ7-	～面
北	piəʔ7=	～京
匙	sɿ2	
匠	tɕiʌ̃5	
匡	khuə1	
匣	ɕiʌʔ7	箱～
匪	fei1	
匱	khuei5	
匹	phiəʔ7	
區	tɕhy1	～域
醫	ˀi1	
匾	piã1	
匿	mi5	
十	ʂəʔ7	
升	ʂʅ1-	一～
升	ʂə̃1=	毫～
午	ˀi1	
半	pã5	
華	xuɑ2	中～
華	xuɑ5	～山，姓～
協	ɕiəʔ7	
卑	pei1	
卒	tsuəʔ7	兵～
卓	tʂuəʔ7	
單	tã1	～独
單	ʂã5	姓
南	nã2	
博	pʌʔ7	
卜	pi1	
占	tʂã5	～卜
盧	lei2	
卤	lei1	
卦	kuɑ5	
臥	ˀuə5	
衛	vei5	
卯	mɔo1	
印	ˀiə̃5	
危	vei1	
即	tɕiəʔ7	
卻	tɕhiəʔ7	
卵	luã1	
卷	tɕyã1	～起
卸	ɕie5	
卿	tɕhiə̃1	
历	li5	
厲	li5	
厭	ˀiã5	
厘	li2	
厚	xiəu5	
原	ˀyã2	
廂	ɕiʌ̃1	
厥	tɕyəʔ7	
厦	sɑ5	
厦	ɕiɑ5	～门
厮	sɿ1	
去	tɕhy5	
縣	ɕiã5	
参	tshã1	
参	sə̃1	人～
又	ˀiəu5	
叉	tshɑ5	
及	tɕiəʔ7	
友	ˀiəu1	
雙	ʂuə1	
雙	tʂhuə5	～生生
反	fã1	
发	fʌʔ7	
叔	ʂuəʔ7	
取	tɕhy1	
受	ʂei5	
變	piã5	
敘	ɕy5	
叛	phã5	
叟	sei1	
疊	tiəʔ7	
口	khiəu1	
古	ki1	
句	tɕy5	
另	liə̃5	
叨	tɔo1	唠～
叩	khiəu5	
只	tsɿ1	～有
只	tʂəʔ7	
叫	tɕiɔo5	
可	khɨᴇ1	
台	thɛe2	
右	ˀiəu5	
葉	ˀiəʔ7	
號	xɔo2	呼～
號	xɔo5	
司	sɿ1	
嘆	thã5	
吁	ɕy1	
吆	ˀiɔo1	～喝
合	kʌʔ7	十～一升
吉	tɕiəʔ7	
吊	tiɔo5	
同	thuə̃2	
后	pɛe1	
后	xiəu5	
吏	li5	
吐	thi1	～痰
吐	thi5	呕～
向	ɕiʌ̃5	
嚇	ɕiɑ5	
吕	luei1	
君	tɕyə̃1	
吝	liə̃5	～啬
吞	thə̃1	
吟	ˀiə̃2	
吠	fei5	
否	fi1	
含	xã2	
听	thi1-	～见
启	tɕhi1	
吴	ˀi2	
吵	tshɔo1	
吸	ɕiəʔ7	
吹	tʂhi1-	～～
吹	tʂhuei1=	～牛
吻	və̃1	
吼	xiəu1	
吾	ˀi2	
呆	tɛe1	
呈	tʂhə̃2	
告	kɔo5	
嘔	ŋiəu1	
員	ˀyã2	
周	tʂei1	
呼	xi1	
和	xuə1	～气
和	xuə5	～面
咎	tɕiəu5	
咏	ˀyə̃1	
咨	tsɿ1	
咬	ȵiɔo1	
咳	khʌʔ7	～嗽
咸	ɕiã2	
哀	ŋɛe1	
品	phiə̃1	
哄	xuə̃1	
啞	ȵiɑ1	
哥	kɨᴇ1	
哪	nɑ1	
哭	khuəʔ7	
哲	tʂʌʔ7	
哽	kə̃1	
唆	suəʔ7	啰
脣	tʂhuə̃2	
唐	thʌ̃2	
嘮	lɔo1	～叨
喚	xuã5	
售	ʂei5	
唯	vei2	
唱	tʂhʌ̃5	
唾	thuə5	
啄	tʂuʌʔ7	
商	ʂʌ̃1	
嗇	sʌʔ7	吝～
囉	luəʔ7	～嗦
啼	thi2	
喂	vei5	
善	ʂã5	
喉	xiəu2	
喊	xã1	
喘	tʂhuã1	
喧	ɕyã1	
噴	phə̃1	～水、～香
喻	ˀy5	
嗅	ɕiəu5	
嗉	sei5	鸟～子
嗓	sʌ̃1	
嗜	sɿ5	
嗣	sɿ5	
嗤	tshɿ1	～笑
嗽	sei5	
嘉	tɕiɑ1	
噓	ɕy1	～～
囑	tʂuəʔ7	
嘴	tsuei1	
噍	tɕiɔo5	牛倒～
噎	ˀiəʔ7	～住了
器	tɕhi5	
囂	ɕiɔo1	
嚷	ʐʌ̃1	
嚼	tɕiɔo2	
囊	nʌ̃2	
四	sɿ5	
回	xuei2	
因	ˀiə̃1	
团	thuã2	
囤	thuə̃2	
園	ˀyã2	
困	khuə̃5	
囱	tshuə̃1	烟～
圍	vei2	
固	ki5	
國	kuəʔ7	
圖	thi2	
圓	ˀyã2	
圈	tɕhyã1	
圈	tɕyã5	猪～
土	thi1	
土	ʐʌ̃1	～攘
在	tsɛe5	
圭	kuei1	
地	ti5	
場	tʂhʌ̃1	
址	tsɿ1	
均	tɕyə̃1	
坍	thã1	
坐	tsuə5	
坑	khə̃1	
塊	khuɛe5	
堅	tɕiã1	
壩	pɑ5	
塢	ˀi1	
墳	fə̃2	
墜	tʂuei5	
坡	phɨᴇ1	
坤	khuə̃1	
坦	thã1	
坪	phiə̃2	
坯	phei1	
坳	ŋɔo5	
垂	tshuei2	
壠	luə̃1	
垒	luei1	
垛	tuə5	
墾	khə̃1	
墊	tiã5	
垮	khuɑ1	
埂	kə̃1	
埃	ŋɛe1	尘～
埋	mei2	
城	tʂhə̃2	
域	ˀyəʔ7	
埠	pi5	商～
培	phei2	
基	tɕi1	
堂	thʌ̃2	
堆	tuei1	
堡	pi1	
堤	thi1	
堪	khã1	
堰	ˀiã5	
堵	ti1	
塑	sei5	
塗	thi2	
塘	thʌ̃2	
塞	səʔ7	
填	thiã2	
境	tɕiə̃5	
墓	mi5	
牆	tɕhiʌ̃2	
增	tsə̃1	
墟	ɕy1	
墨	miəʔ7	
墩	tuə̃1	
壁	piʌʔ7	
壁	piəʔ7	
壇	thã2	
壕	xɔo2	
壤	ʐʌ̃1	
壬	ʐə̃5	
壯	tʂuə2	
聲	ʂʅ1-	大～
聲	ʂə̃1	
殼	khʌʔ7	
壺	xi2	
處	tʂhi1	相～
處	tʂhi5	～所
備	pi5	
复	fi5	
复	fəʔ7	～原
夏	ɕiɑ5	
夕	ɕiəʔ7	
外	vɛe5	
多	tɨᴇ1	
夜	ˀie5	
够	kiəu5	
大	tɑ5	
大	tɛe5	～夫
天	thiã1	
夫	fi1	
央	ˀiʌ̃1	
夯	xʌ̃1	打～
失	ʂəʔ7	
頭	thei2	
夷	ˀi2	
夾	tɕiʌʔ7	
奇	tɕhi2	
奈	nɛe5	
奉	fə̃5	
奮	fə̃5	
奎	khuei2	
奏	tsei5	
契	tɕhi5	～约
獎	tɕiʌ̃1	
套	thɔo5	
奚	ɕi1	
奠	tiã5	
奢	ʂɨᴇ1	
奧	ŋɔo5	
女	ȵy1	
奴	nei2	
奶	nɛe1	
奸	tɕiã1	
好	xɔo1	～坏
好	xɔo5	喜～
如	ʐi2	
妃	fei1	
妄	ˀuə5	
婦	fi5	
媽	mɑ1	
妒	ti5	
妓	tɕi5	
妖	ˀiɔo1	
妗	tɕiə̃5	
妙	miɔo5	
妥	thuə1	
妨	fuə2	～害
妹	mei5	
妻	tɕhi1	
妾	tɕhiəʔ7	
姊	tsɿ1	
始	sɿ1	
姐	tɕie1	
姑	ki1	
姓	liɔo5	
姓	ɕiə̃5	
姓	ȵiʌʔ7	
委	vei1	
姘	phiə̃5	
姚	ˀiɔo2	
姨	ˀi2	
姬	tɕi1	
姻	ˀiə̃1	
姿	tsɿ1	
威	vei1	
嬌	tɕiɔo1	
娘	ɳuə2	老～
娘	ȵiʌ̃2	
娠	tʂhə̃2	妊～
娩	miã1	分～
娛	ˀy2	
娶	tɕhy1	
婆	phɨᴇ2	
婚	xuə̃1	
婢	pi5	
嬰	ˀiə̃1	
嬸	ʂə̃1	
婿	ɕy5	女～
媒	mei2	
媚	mei5	
媳	ɕiəʔ7	
嫁	tɕiɑ5	
嫂	sɔo1	
嫌	ɕiã2	
嫖	phiɔo2	～赌
嫡	tiəʔ7	
嫩	nə̃5	
嬉	ɕi1	
孀	ʂuə1	
子	tsɿ1	
子	ˀiʌ̃5	
孔	khuə̃1	
孕	ˀyə̃5	
存	tshuə̃2	
孫	suə̃1	
孝	ɕiɔo5	
孟	mə̃5	
孤	ki1	
孩	xɛe2	
孽	ȵiəʔ7	
宅	tsʌʔ7	
宇	ˀy1	
守	ʂei1	
安	ŋã1	
宋	suə̃5	
完	vã2	
宏	xuə̃2	
宕	tʌ̃5	延～
宗	tsuə̃1	
官	kuã1	
宙	tʂei5	
宛	vã1	
宜	ˀi2	
寶	pɔo1	
實	ʂəʔ7	
寵	tʂhuə̃1	
審	ʂə̃1	
客	khʌʔ7=	～气
宣	ɕyã1	
室	ʂəʔ7	
宦	xuã5	
宪	ɕiã5	
宰	tsɛe1	
害	xɛe5	
宴	ˀiã5	
宵	ɕiɔo1	
家	tɕiɑ1	
家	tɕiɑ1	～具
容	ˀyə̃2	
寬	khuã1	
賓	piə̃1	
宿	ɕiəu5	星～
宿	ɕyəʔ7	
寂	tɕiəʔ7	
寄	tɕi5	
寅	ˀiə̃1	
密	miəʔ7	
寇	khiəu5	
富	fi5	
寐	mei5	
寒	xã2	
寓	ˀy5	
寢	tɕhiə̃1	
寞	məʔ7	
察	tshʌʔ7	
寡	kuɑ1	
寥	liɔo2	
寨	tsɛe5	
寸	tshuə̃5	
對	tuei5	
寺	sɿ5	
尋	ɕiə̃2	
導	tɔo1	
壽	ʂei5	
射	ʂɨᴇ5	
將	tɕiʌ̃1	～来
將	tɕiʌ̃5	大～
尊	tsuə̃1	
小	ɕiɔo1	
少	ʂɔo1	
少	ʂɔo5	～年
尔	ˀɚ1	
尖	tɕiã1	
尘	tʂhə̃2	
尚	ʂʌ̃5	
嘗	ʂʌ̃2	
尤	ˀiəu2	
尥	liɔo5	～蹶子
堯	ˀiɔo2	
就	tɕiəu5	
尷	kã1	～尬
屍	sɿ1	
尹	ˀiə̃1	
尺	tʂhəʔ7	
尼	ȵi2	
尽	tɕiə̃5	
尾	vei1	追～
尿	niɔo5	
局	tɕyəʔ7	
屁	pi5	
層	tshə̃2	
居	tɕy1	
屈	tɕhyəʔ7	
屉	thei5	抽～
屆	tɕie5	
屎	sɿ1	
屏	phiə̃2	
屑	ɕie5	木～，不～
展	tʂã1	
屬	ʂuəʔ7	
屠	thi2	
屢	luei1	
履	luei1	
屯	thuə̃2	
山	sã1	
歲	suei5	
豈	tɕhi1	
岐	tɕhi2	
岑	tshə̃2	
岔	tshɑ5	
崗	kʌ̃1	
島	tɔo1	
岭	liə̃1	
岳	ˀyəʔ7	
岸	ŋã5	
峽	ɕiʌʔ7	
崇	tshuə̃2	
崔	tshuei1	
崖	ȵie2	□[tɕi5]～：直立的崖
崖	ˀiɑ2=	山～
崩	pə̃1	
崩	pə̃5	～裂
嵌	tɕhiã5	
嵩	suə̃1	
川	tʂhuã1	
州	tʂei1	
巡	ɕyə̃2	
巢	tshɔo2	
工	kuə̃1	
左	tsɨᴇ1	
巧	tɕhiɔo1	
巨	tɕy5	
鞏	kuə̃1	
巫	ˀi1	
差	tshɑ1	～别
差	tshɛe1	出～
差	tshɑ5	～不多
己	tɕi1	
已	ˀi1	
巳	sɿ5	辰～
巴	pɑ1	
巷	ɕiʌ̃5	
巾	tɕiə̃1	
市	sɿ5	
布	pi5	
帥	ʂuɛe5	
帆	fã1	
師	sɿ1	
希	ɕi1	
帳	tʂʌ̃5	
帖	thiəʔ7	
帚	tʂi5	笤～
帝	ti5	
帶	tɛe5	
席	ɕiəʔ7	
幫	puə1	
常	tʂhʌ̃2	
帽	mɔo5	
幅	fəʔ7	
幔	mã5	
干	kã1	
干	kã5	～活
平	phiə̃1	
平	phiə̃2	
年	ȵiã2	
并	piə̃5	
幸	ɕiə̃5	
幺	ˀiɔo1	～二三
幻	xuã5	
幼	ˀiəu5	
幽	ˀiəu1	
廣	kuə1	
慶	tɕhiə̃5	
庇	pi5	
牀	ʂuə1	～～：低凳子
牀	tʂhuə2	
序	ɕy5	
廬	lei2	～山，茅～
庫	khi5	
應	ˀiə̃5	
底	ti1	
店	tiã5	
廟	miɔo5	
庚	kə̃1	
府	fi1	
龐	phuə2	
廢	fei5	
度	ti5	
座	tsuə5	
庵	ŋã1	
庶	ʂi5	
康	khʌ̃1	
庸	ˀyə̃1	
廓	khuəʔ7	
廖	liɔo5	
廯	ɕiã1	
延	ˀiã2	
建	tɕiã5	
開	khɛe1	
异	ˀi5	
弃	tɕhi5	
弄	luə̃5	
弊	pi5	
式	ʂəʔ7	
弓	kuə̃1	
引	ˀiə̃1	
弘	xuə̃2	
弟	ti5	
張	tʂʌ̃1	
弥	mi2	
弦	ɕiã2	
弭	mi2	
彎	vã1	
弱	ʐʌʔ7	
彈	thã2	～琴
彈	tã5	子～
强	tɕhiʌ̃1	勉～
强	tɕhiʌ̃2	
强	tɕiʌ̃5	倔～
弼	piəʔ7	
歸	kuei1	
當	tʌ̃1	
當	tʌ̃5	典～
录	luəʔ7	
彩	tshɛe1	
彪	piɔo1	
彬	piə̃1	
彭	phə̃2	
影	ˀi1	～子
影	ˀiə̃1	电～
役	ˀiəʔ7	
彼	pi1	
往	ˀuə1	
征	tʂə̃1	
徑	tɕiə̃5	
待	tɛe5	
律	luəʔ7	
徐	ɕy2	
徒	thi2	
得	təʔ7	
徙	ɕi1	
御	ˀy5	
循	ɕyə̃2	
微	vei1	
德	təʔ7	
徹	tʂhʌʔ7	
徽	xuei1	
心	ɕiə̃1	
必	piəʔ7	
憶	ˀi5	
忌	tɕi5	
忍	ʐə̃1	
忖	tshuə̃1	
志	tsɿ5	
忘	ˀuə5	
忙	muə2	
忠	tʂuə̃1	
忡	tʂhuə̃2	
憂	ˀiəu1	
快	khuɛe5	
念	ȵiã5	
忽	xuʌʔ7	
忿	fə̃5	
態	thɛe5	
慫	suə̃2	
慪	ŋiəu5	～气
怒	nei5	
怕	phɑ5	
怖	pi5	
思	sɿ1	
怠	tɛe5	
急	tɕiəʔ7	
性	ɕiə̃5	
怨	ˀyã5	
怪	kuɛe5	
怯	tɕhiəʔ7	
總	tsuə̃1	
恃	sɿ5	
恐	khuə̃1	
恆	xə̃2	
恕	ʂi5	
恢	xuei1	
恤	ɕyəʔ7	
恨	xə̃5	
恭	kuə̃1	
息	ɕiəʔ7	
恰	tɕhiɑ5	
懇	khə̃1	
恶	ˀi5	
恶	ŋʌʔ7	
惱	nɔo1	
悄	tɕhiɔo1	
悉	ɕiəʔ7	
悔	xuei1	
悟	ˀi5	
悠	ˀiəu1	
患	xuã5	
悅	ˀyəʔ7	
懸	ɕyã2	
悲	pei1	
情	tɕhiə̃2	
驚	tɕiə̃1	
惜	ɕiəʔ7	
惟	vei2	
惠	xuei5	
懼	tɕy5	
慘	tshã1	
懲	tʂhə̃1	
慚	tshã2	
慣	kuã5	
惰	tuə5	
想	ɕiʌ̃1	
惹	ʐɨᴇ1	
愁	tshei2	
愈	ˀy5	
愉	ˀy2	
愚	ˀy2	
感	kã1	
憤	fə̃5	
愧	khuei5	
願	ˀyã5	
慈	tshɿ2	
慌	xuə1	
慎	ʂə̃5	
慕	mi5	
慢	mã5	
慧	xuei5	
慨	khɛe1	
慰	vei5	
慷	khʌ̃1	～慨
憋	piəʔ7	
憎	tsə̃5	
憨	xã1	
懂	tuə̃1	
懈	ɕie5	
懊	ŋɔo5	～恼
懶	lã1	
懵	mə̃1	～懂
戈	kəʔ7	
戊	ˀi5	
戌	ɕyəʔ7	
戍	ʂi5	
戲	ɕi5	
成	tʂhə̃2	
我	ŋɨᴇ1	
戒	tɕie5	
或	xuəʔ7	
戰	tʂã5	
戚	tɕhiəʔ7	
戟	tɕiəʔ7	
截	tɕiəʔ7	
戳	tʂhuəʔ7	
戴	tɛe5	
戶	xi5	
房	fuə2	
所	sei1	
扁	pã1	～担
扁	piã1	
扇	ʂã1	动词
扇	ʂã5	～子
手	ʂei1	
才	tshɛe2	
扎	tsʌʔ7	用针～
扑	phʌʔ7	
打	tɑ1	
扔	ʐə̃1	
托	thuʌʔ7	
扛	khʌ̃2	
扣	khiəu5	～住
執	tʂəʔ7	
擴	khuəʔ7	
掃	sɔo1	～地
掃	sɔo5	～帚
揚	ˀiʌ̃2	
扭	ȵiəu1	
扮	pã5	
扯	tʂhɨᴇ1	
擾	ʐɔo1	
扳	pã1	
扶	fi2	
批	pi1	
扼	ŋʌʔ7	
找	tsɔo1	
承	tʂhə̃2	
抄	tshɔo1	～写
把	pɑ1	
把	pɑ5	
抑	ˀi5	
投	thei2	
抖	tei1	
抗	khʌ̃5	
折	tʂʌʔ7	～断
折	ʂʌʔ7	弄～了
折	tʂəʔ7	～叠
撫	fi1	
抛	phɔo1	
摳	khiəu1	
搶	tɕhiʌ̃1	
護	xi5	
報	pɔo5	
披	pi1	
抬	thɛe2	
抱	pi5	
抵	ti1	
抹	mʌʔ7	
押	ȵiɑ1	
抽	tʂhei1	
拄	tʂi1	
擔	tã1	～任
擔	tã1	
拇	mi1	
拈	ȵiã1	～起来
拉	lʌʔ7	
拌	pã5	
拎	liə̃2	
拐	kuɛe1	
拒	tɕy5	
拓	thʌʔ7	～本
拖	tʰɨᴇ1	
拘	tɕy1	
拙	tʂuəʔ7	
招	tʂɔo1	
拜	pɛe5	
擬	ȵi1	
攏	luə̃1	
