#漢字	音標	解釋
□	ɕioŋ2	喜歡
弓	koŋ1	
弔	tiau5	
引	in3	
弘	xoŋ2	
弟	ti5	
弦	ɕyɛn2	
弱	zo2	
張	tsaŋ1	
強	tɕʰiaŋ2	
彎	uan1	
彗	xuei5	
彙	nuei5	
形	ɕin2	
彪	piau1	
彭	pʰən2	
彼	pi3	
往	uaŋ3	
征	tsən1	
待	tai5	
很	xən3	
律	nuᶹ2	
後	xəu5	
徐	ɕy2	
得	tæ̞2	
徙	ɕi3	
從	tsʰoŋ2	
微	uei2	
徵	tsən1	
徽	xuei1	
心	ɕin1	
必	pi2	
忌	tɕi5	
忍	zən3	
志	tsɿ5	
忘	uaŋ2	
忘	uaŋ5	
忙	maŋ2	
快	kʰuai5	
念	niɛn5	
忽	fuᶹ2	
怒	nuᶹ5	
怕	pʰᴀ5	
思	sɿ1	
急	tɕi2	
性	ɕin5	
怪	kuai5	
恐	kʰoŋ3	
恆	xən2	
恤	ɕi2	
耻	tsʰɿ3	
恨	xən5	
恩	ŋən1	
恭	koŋ1	
息	ɕi2	
恰	tɕʰiᴀ2	
悲	pei1	
悴	tsʰuei5	
悶	mən5	
情	tɕʰin2	
惜	ɕi2	
惟	uei2	
惠	xuei5	
惡	ŋo2	
慘	tsʰan3	
想	ɕiaŋ3	
惹	ze3	
愁	tsʰəu2	
意	i5	
愚	y2	
感	kan3	
愾	kʰai5	
愿	yɛn5	
慢	man5	
慣	kuan5	
慶	tɕʰin5	
憂	iəu1	
憲	ɕiɛn5	
憶	i5	
懇	kʰən3	
應	in5	
懷	xuai2	
懸	ɕyɛn2	
戌	ɕiu2	
成	tsʰən2	
我	ŋo3	
戒	tɕiai5	
或	xuæ̞2	
戚	tɕʰi2	
戲	ɕi5	
戳	tsʰo2	
戳	to2	白
戶	fuᶹ5	
房	faŋ2	
所	so3	
扇	san5	
手	səu3	
才	tsʰai2	
打	tᴀ3	
扯	tɕʰie3	
扶	fuᶹ2	
找	tsau3	
承	tsʰən2	
技	tɕi5	
把	pᴀ3	
抓	tsuᴀ1	
抗	kʰaŋ5	
折	tsei2	
披	pʰei1	
押	iᴀ2	
抽	tsʰəu1	
拂	fuᶹ2	
拆	tsʰæ̞2	
拈	niɛn1	
拉	nᴀ1	
拍	pʰæ̞2	
拔	pʰᴀ2	
拖	tʰo1	
拘	tɕy1	
招	tsau1	
拜	pai5	
括	kuᴀ2	
拳	tɕʰyɛn2	
拼	pʰin1	
拿	nᴀ2	
指	tsɿ3	
挑	tʰiau1	
挖	uᴀ1	
挾	ɕiᴀ2	
挺	tʰin3	
捉	tso2	
捏	nie2	
捏	ȵie2	老,参考于《四川方言音系》与《黔江县志》的简表
捐	tɕyɛn1	
捲	tɕyɛn3	
捶	tsʰuei2	
掀	ɕyɛn1	
掃	sau3	
排	pʰai2	
掘	tɕʰiu2	
採	tsʰai3	
接	tɕie2	
推	tʰuei1	
擲	tsɿ2	
提	tʰi2	
插	tsʰᴀ2	
換	xuan5	
握	o2	
揣	tsʰuai3	
搓	tsʰo1	
摇	iau2	
搭	tᴀ2	
摆	pai3	
摘	tsæ̞2	
摧	tsʰuei1	
撇	pʰie2	
撑	tsʰən1	
撒	sᴀ3	
撞	tsʰuaŋ3	
撞	tsuaŋ5	文
撤	tsʰei2	
撲	pʰuᶹ2	
擇	tsʰæ̞2	
擦	tsʰᴀ2	
擴	kʰuæ̞2	
攏	noŋ3	
支	tsɿ1	
收	səu1	
改	kai3	
放	faŋ5	
政	tsən5	
故	kuᶹ5	
效	ɕiau5	
敏	min3	
救	tɕiəu5	
敗	pai5	
教	tɕiau5	1
教	tɕiau1	2
敝	pi5	
敢	kan3	
散	san5	
敦	tən1	
敲	kʰau1	
敲	tɕʰiau1	文
數	suᶹ3	1
數	suᶹ5	2
文	uən2	
斗	təu3	
料	niau5	
斜	ɕiᴀ2	
斤	tɕin1	
斬	tsan3	
斯	sɿ1	
新	ɕin1	
斷	tuan5	
方	faŋ1	
於	y2	
施	sɿ1	
旁	pʰaŋ2	
旋	ɕyɛn2	
族	tɕʰiu2	
旗	tɕʰi2	
日	zɿ2	
旦	tan5	
早	tsau3	
旬	ɕyn2	
旭	ɕiu2	
旱	xan5	
旺	uaŋ5	
昂	ŋaŋ2	
昆	kʰuən1	
昌	tsʰaŋ1	
明	min2	
昏	xuən1	
星	ɕin1	
春	tsʰuən1	
昨	tso2	
昭	tsau1	
是	sɿ5	
時	sɿ2	
晉	tɕin5	
晏	ŋan5	1
晏	iɛn5	2
曬	sai5	
晚	uan3	
晨	sən2	
普	pʰuᶹ3	
暫	tsan5	
暄	ɕyɛn1	
暑	suᶹ3	
暖	nuan3	
暗	ŋan5	
暴	pau5	
曉	ɕiau3	
曝	pau5	
曠	kʰuaŋ5	
曰	ye2	
曲	tɕʰiu2	
更	kən5	1
更	kən1	2
書	suᶹ1	
曹	tsʰau2	
曾	tsən1	
替	tʰi5	
最	tsuei5	
會	xuei5	
會	kʰuai5	~計
月	ye2	
有	iəu3	
朋	pʰoŋ2	
服	fuᶹ2	
朗	naŋ3	
望	uaŋ5	
朝	tsau1	
木	muᶹ2	
未	uei5	
末	mo2	
本	pən3	
朱	tsuᶹ1	
朶	to3	
杉	sᴀ1	
李	ni3	
杏	xən5	
杏	ɕin5	文
村	tsʰən1	
杜	tuᶹ5	
杯	pei1	
東	toŋ1	
松	soŋ1	
板	pan3	
枉	uaŋ3	
林	nin2	
果	ko3	
枯	kʰuᶹ1	
架	tɕiᴀ5	
某	məu3	
染	zan3	
柔	zəu2	
查	tsʰᴀ2	
柱	tsuᶹ5	
柴	tsʰai2	
栗	ni2	
校	ɕiau5	
根	kən1	
格	kæ̞2	
栽	tsai1	
桂	kuei5	
桃	tʰau2	
桅	uei2	
桌	tso2	
桑	saŋ1	
桶	tʰoŋ3	
梅	mei2	
條	tʰiau2	
梯	tʰi1	
棉	miɛn2	
棍	kuən5	
棒	paŋ5	
棚	pʰoŋ2	
棧	tsan5	
森	sən1	
棲	tɕʰi1	
植	tsɿ2	
椿	tsʰuən1	
椿	tsuaŋ1	
楚	tsʰuᶹ3	
業	nie2	
極	tɕi2	
楷	kʰai3	
概	kʰai5	
榮	yn2	
樣	iaŋ5	
樓	nəu2	
標	piau1	
樞	tɕʰy1	
橫	xuən2	
櫻	ŋən1	白
樹	suᶹ5	
橋	tɕʰiau2	
橘	tɕiu2	
橙	tsʰən2	
檢	tɕiɛn3	
櫃	kuei5	
櫻	in1	
權	tɕʰyɛn2	
欠	tɕʰiɛn5	
次	tsʰɿ5	
欣	ɕin1	
欲	iu2	
欵	kʰuan3	
欺	tɕʰi1	
欽	tɕʰin1	
歇	ɕie2	
歌	ko1	
歎	tʰan5	
歐	ŋəu1	
歡	xuan1	
正	tsən5	
此	tsʰɿ3	
步	puᶹ5	
武	vuᶹ3	
歪	uai1	
歲	suei5	
歷	ni2	
歸	kuei1	
死	sɿ3	
殊	suᶹ1	
殖	tsɿ2	
殺	sᴀ2	
殼	kʰo2	
毁	xuei3	
母	muᶹ3	
比	pi3	
毛	mau2	
民	min2	
氣	tɕʰi5	
水	suei3	
氷	pin1	
永	yn3	
求	tɕʰiəu2	
汗	xan5	
江	tɕiaŋ1	
汪	uaŋ1	
沉	tsʰən2	
沙	sᴀ1	
没	muᶹ2	
河	xo2	
治	tsɿ5	
沾	tsan1	
沿	yɛn2	
况	kʰuaŋ5	
泉	tɕʰyɛn2	
泌	mi2	
法	fᴀ2	
波	po1	
泣	ɕi2	
泥	ni2	
注	tsuᶹ5	
泰	tʰai5	
洗	ɕi3	
洛	no2	
洞	toŋ5	
津	tɕin1	
活	xo2	
派	pʰai5	
流	niəu2	
測	tsʰæ̞2	
浮	fəu2	
海	xai3	
消	ɕiau1	
涯	iᴀ2	
涯	ŋai2	
淆	ɕiau2	
深	sən1	
淵	yɛn1	
混	xuən5	
清	tɕʰin1	
減	tɕiɛn3	
溫	uən1	
渴	kʰo2	
湊	tsʰəu5	
湯	tʰaŋ1	
溝	kəu1	
溪	tɕʰi1	
溺	ni2	
滅	mie2	
滑	xuᴀ2	
滯	tsʰɿ5	
滴	ti2	
滚	kuən3	
滿	man3	
漏	nəu5	
演	iɛn3	
漢	xan5	
漸	tɕiɛn5	
潑	pʰo2	~水
潭	tʰan2	
潮	tsʰau2	
激	tɕi2	
濁	tsʰo2	
瀑	pau5	
火	xo3	
灰	xuei1	
災	tsai1	
炒	tsʰau3	
炸	tsᴀ2	1
炸	tsᴀ5	2
烏	vuᶹ1	
烟	iɛn1	
熱	zæ̞2	
焦	tɕiau1	
然	zan2	
照	tsau5	
煮	tsuᶹ3	
熊	ɕioŋ2	
熟	suᶹ2	
燈	tən1	
燎	niau2	
燒	sau1	
營	yn2	
燭	tsuᶹ2	
爬	pʰᴀ2	
爬	pᴀ1	白
爭	tsən1	
愛	ŋai5	
爲	uei5	
爲	uei2	行~
父	fuᶹ5	
爹	tie1	
爽	tɕiᴀ2	
爾	ɚ3	
牀	tsʰuaŋ2	
片	pʰiɛn5	
牌	pʰai2	
牙	iᴀ2	
牛	niəu2	
牢	nau2	
特	tʰæ̞2	
犬	tɕʰyɛn3	
犯	fan5	
狀	tsuaŋ5	
狂	kʰuaŋ2	
狗	kəu3	
狹	ɕiᴀ2	
猛	moŋ3	
猜	tsʰai1	
豬	tsuᶹ1	
猶	iəu2	
獄	iu2	
獅	sɿ1	
獲	xuæ̞2	
獸	səu5	
玄	ɕyɛn2	
玉	y5	
王	uaŋ2	
玩	uan2	
現	ɕiɛn5	
玻	po1	
珍	tsən1	
班	pan1	
理	ni3	
瑞	suei5	
環	xuan2	
璽	ɕi3	
瓊	tɕʰyn2	
瓜	kuᴀ1	
瓦	uᴀ3	
瓶	pʰin2	
甚	sən5	
甜	tʰiɛn2	
生	sən1	
産	tsʰan3	
用	ioŋ5	
甩	suai3	
由	iəu2	
甲	tɕiᴀ2	
申	sən1	
男	nan2	
畏	uei5	
留	niəu2	
畜	ɕiu2	
畝	məu3	
略	nio2	
畫	xuᴀ5	
當	taŋ1	1
當	taŋ5	2
疑	ni2	
疫	iu2	
病	pin5	
痛	tʰoŋ5	
瘦	səu5	
瘧	nio2	
癬	ɕyɛn3	
白	pæ̞2	
百	pæ̞2	
的	ti2	
的	ti3	
皆	kai1	
皖	kʰuan3	
皮	pʰi2	
皺	tsoŋ5	
盆	pʰən2	
盈	in2	
盍	xo2	
盒	xo2	
盜	tau5	
盟	min2	
監	tɕiɛn1	
盤	pʰan2	
目	muᶹ2	
相	ɕiaŋ1	~信
盼	pʰan5	
看	kʰan1	
看	kʰan5	2
真	tsən1	
眼	iɛn3	
着	tso2	
睡	suei5	
瞎	ɕiᴀ2	
矢	sɿ3	
矣	i3	
知	tsɿ1	
短	tuan3	
矮	ŋai3	
石	sɿ2	
研	niɛn1	
破	pʰo5	
硬	ŋən5	
硯	niɛn5	
碑	pei1	
碗	uan3	
碟	tie2	
碧	pi2	
確	tɕʰio2	
磚	tsuan1	
磨	mo2	1
磨	mo5	2
礮	pʰau5	
示	sɿ5	
社	ɕie5	
神	sən2	
祥	tɕʰiaŋ2	
祭	tɕi5	
稟	pin3	
禍	xo5	
福	fuᶹ2	
私	sɿ1	
秃	tʰuᶹ2	
秋	tɕʰiəu1	
科	kʰo1	
秘	pei5	
租	tsuᶹ1	
秦	tɕʰin2	
秩	tsʰɿ2	
移	i2	
税	suei5	
稚	uei2	
稻	tau5	
稿	kau3	
積	tɕi2	
穩	uən3	
穴	ɕie2	
空	kʰoŋ1	1
空	kʰoŋ5	2
突	tʰuᶹ2	
窄	tsæ̞2	
窗	tsʰaŋ1	
窩	o1	
窮	tɕʰioŋ2	
立	ni2	
站	tsan5	
竭	tɕie2	
端	tuan1	
竹	tsuᶹ2	
笑	ɕiau5	
笛	ti2	
笛	tie2	
符	fuᶹ2	
第	ti5	
筆	pi2	
等	tən3	
筍	sən3	
筐	tɕʰiaŋ1	
答	tᴀ2	
策	tsʰæ̞2	
箍	kʰuᶹ1	
算	suan5	
管	kuan3	
節	tɕie2	
篆	tsuan5	
篤	tuᶹ2	
篩	sai1	
籠	noŋ2	
米	mi3	
粉	fən3	
粗	tsʰuᶹ1	
粹	tsʰuei5	
糙	tsʰau5	
糞	fən5	
糟	tsau1	
糧	niaŋ2	
系	ɕi5	
糾	tɕiəu1	
約	io2	
紅	xoŋ2	
納	nᴀ2	
紐	niəu3	
純	suən2	
紙	tsɿ3	
素	suᶹ5	
累	nuei5	1
累	nuei3	2
細	ɕi5	
紹	sau5	
結	tɕie2	
絶	tɕye2	
絞	tɕiau3	
絨	zoŋ2	
統	tʰoŋ3	
經	tɕin1	
綠	nuᶹ2	
綢	tsʰəu2	
綱	kaŋ1	
綻	tsan5	
緊	tɕin3	
緝	tɕi2	
緣	yɛn2	
緩	xuan3	
縛	po2	
縣	ɕiɛn5	
縮	so2	
縷	nəu3	
總	tsoŋ3	
繆	miəu5	
繞	zau3	
繩	suən2	
繭	tɕiɛn3	
缸	kaŋ1	
缺	tɕʰye2	
罩	tsau5	
罪	tsuei5	
罷	pᴀ5	
羅	no2	
羊	iaŋ2	
美	mei3	
群	tɕʰyn2	
義	ni5	
羽	y3	
翁	oŋ1	
翅	tsɿ5	
習	ɕi2	
翠	tsʰuei5	
翻	fan1	
老	nau3	
考	kʰau3	
而	ɚ2	
耍	suᴀ3	
耐	nai5	
耕	kən1	
耳	ɚ3	
聊	niau2	
聚	tɕy5	
聞	uən2	
聯	niɛn2	
聲	sən1	
聶	nie2	
職	tsɿ2	
聽	tʰin1	2
聽	tʰin5	
肅	ɕiu2	
肉	zuᶹ2	
肋	næ̞2	
肚	tuᶹ3	1
肚	tuᶹ5	2
肥	fei2	
肯	kʰən3	
育	iu2	
肴	ɕiau2	
肺	fei5	
胆	tan3	
背	pei5	
胖	pʰaŋ5	
胡	fuᶹ2	
胸	ɕioŋ1	
