#漢字	音標	解釋
□	kʰu2	鼾睡时声
割	kuʔ7	
劈	pʰia5	
劈	pʰeʔ7	
力	leʔ7	
勸	tɕʰĩ5	
辦	pan5	
功	keŋ1	
加	ka1	
務	vu5	
動	tʰeŋ2	
勁	tɕiŋ5	
勞	lau2	
勤	tɕʰiŋ2	
勺	soʔ7	勺子
勾	keu1	
包	pau1	
化	hua5	
北	peʔ7	
匙	sɿ2	
匠	ɕiɔŋ3	
匹	pʰeʔ7	一匹布
匹	pʰeʔ7	一匹马
區	tsʰi1	区域
醫	ji2	
匾	pĩ3	
十	seʔ7	
千	tɕʰĩ1	
升	seŋ1	
半	puan5	
卒	tsuʔ7	兵卒
單	tan1	
賣	mai5	
南	nɐn2	
博	poʔ7	
卜	fu1	
卦	ka3	
衛	vei2	
印	jiŋ5	
卷	tɕĩ3	
卷	tɕĩ3	卷起
廠	tsʰɔŋ3	
廳	tʰ1iaŋ1	
历	leʔ7	
厲	li5	
壓	ʔeʔ7	
厚	heu2	
原	jĩ2	
厦	ha5	偏厦,前廊后厦
厦	ha5	厦门
縣	ɕĩ5	
参	sen1	人参
又	jiu5	
叉	tsʰa5	
及	tɕieʔ7	
友	jiu3	
雙	sɔŋ1	双生
反	fɐn3	
发	feʔ7	发财
叔	suʔ3	
變	pĩ5	
口	heu3	
古	ku3	
只	tsaʔ3	
只	tsi3	只有
叫	tɕiɐu5	
可	kʰɔ3	
台	tʰai2	
右	jiu5	
葉	jeʔ7	
號	hau5	呼号
各	kuʔ7	
吉	tɕieʔ7	
同	tʰeŋ2	
名	miaŋ2	
后	heu5	
吐	tʰu5	吐痰
吐	tʰu5	呕吐
向	ɕiɔŋ5	
嚇	ha5	
嚇	ha5	~一跳
嚇	haʔ7	恐吓
吞	tʰen1	
含	hen2	
聽	tʰ1iaŋ1	听见,听话
吳	vu2	
吹	tsʰei1	
員	jĩ2	
周	tsei1	
味	vei5	
命	miaŋ5	
和	hɔ2	和气
咬	ŋau1	
咸	han2	
品	pʰiŋ3	
響	ɕiɔŋ3	
啞	ʔa3	
哥	kɔ1	
哪	nai3	
商	sɔŋ1	
啼	tʰei3	
喉	heu2	
喊	han5	
喜	ɕi3	
嗽	seu5	咳嗽
嘴	tsei3	
器	tɕʰi5	
四	ɕi5	
团	ton2	
園	jĩ2	
囱	tsʰeŋ1	烟囱
國	kuʔ7	
圓	jĩ2	
圈	tɕʰĩ1	圆圈
土	tʰu3	
在	tsʰuei1	
地	tʰi5	
圳	tsen2	
場	tsʰɔŋ2	
均	tɕiŋ1	
坐	tsʰɔ1	
坑	haŋ1	
壩	pa5	堤坝
坡	pɔ1	
坦	tʰan1	
坪	pʰiaŋ2	
坳	ʔau5	山坳
垂	tsʰei2	
型	ɕiŋ2	
埋	mai2	
城	tsʰeŋ2	
基	tɕi5	
堂	tʰɔŋ2	
堆	tei1	
堵	tu3	
塍	seŋ2	田~
塔	taʔ7	
境	tɕiŋ5	
牆	tɕʰiɔŋ2	
增	tseŋ1	
墟	ɕi1	墟市
墨	meʔ7	
壁	pia5	
壁	peʔ7	
聲	saŋ1	
殼	kʰoʔ7	
壺	fu2	
備	pʰi5	
外	vei5	
多	tɔ1	
夜	jia5	
大	tʰai5	
天	tʰĩ1	
央	jiɔŋ1	
失	seʔ7	
頭	tʰeu2	
夾	kɔʔ7	
奇	tɕʰi2	
契	kʰei5	契约
奠	tʰĩ5	
女	ȵi3	
奴	nu2	
奶	nai3	
好	hau3	好坏
婦	fu1	
妹	mei5	
始	sɿ3	
姐	tɕi3	
姑	ku1	
姓	ɕiaŋ5	
委	vei3	
姜	tɕiɔŋ1	
姨	ji2	
姻	jiŋ5	
娘	ȵiɔŋ2	
婆	pʰɔ2	
婚	huan1	
婚	sɔŋ1	
嫁	ka5	
嫂	sei1	
嫂	sau3	
嫩	neŋ5	
字	tsʰɿ5	
存	tsʰeŋ2	
孫	seŋ1	
孤	ku1	
學	hoʔ7	
守	sei3	
安	ŋan1	
宋	seŋ5	
官	kɔŋ1	
寶	pau3	
審	sen3	
客	kʰaʔ7	
宣	ɕĩ1	
室	seʔ7	
害	huei5	
宵	ɕiau1	
家	ka1	
容	jiŋ2	
賓	pĩ1	
宿	ɕiu5	星宿
寄	tɕi5	
寅	jiŋ2	
密	meʔ7	
寓	ji5	
察	tsʰaʔ7	
寡	kua3	
寸	tsʰeŋ5	
對	tei5	
尋	tɕʰiŋ2	
壽	sei5	
封	feŋ1	
射	sa2	
射	sa5	
將	tɕiɔŋ5	大将
少	sau3	多少
尖	tɕĩ1	
塵	tsʰeŋ2	
嘗	sɔŋ2	
尺	tsʰaʔ3	
尼	ȵi2	
尾	mei5	
尿	niɐu5	
局	tɕʰioʔ7	
屁	pʰi5	
層	tsʰeŋ2	
屆	kai5	
屋	vuʔ7	
屎	sɿ3	
歲	sei5	
岔	tsʰa5	三岔路
峰	feŋ1	
川	tsʰon1	
巡	ɕiŋ2	
工	keŋ1	
左	tsʰɔ3	
巧	tɕʰiau3	
差	tsʰai1	出差
差	tsʰa2	差别,差不多
巷	huan5	
巾	tɕiŋ1	
市	sɿ5	
布	pu5	
帥	sai5	
師	sɿ2	
帳	tsɔŋ1	
帝	tʰi5	
帶	tai5	
席	ɕieʔ7	
幫	pɔŋ1	
常	tsʰɔŋ2	
帽	mau5	
幅	fuʔ7	
平	pʰiaŋ2	
年	ȵĩ2	
廣	kɔŋ3	
牀	tsʰɔŋ2	
序	ɕi5	
廬	lu2	茅庐,庐山
庫	kʰu5	
應	jiŋ5	
店	tʰĩ5	
廟	miau5	
度	tʰu3	
座	vei5	
庵	ʔɐn1	
康	kʰɔŋ3	
廊	lɔŋ2	
建	tɕĩ5	
開	huei1	
式	seʔ7	
弓	keŋ1	
引	jiŋ3	
弟	tʰei3	
張	tsɔŋ1	
彎	vɐn1	
弱	ȵioʔ7	
彈	tan2	
歸	kue1	
當	tɔŋ1	当时,应当
當	tɔŋ1	当作,典当
形	ɕiŋ2	
彩	tsʰai3	
彭	pʰeŋ2	
影	jiaŋ3	
征	tseŋ1	
律	leʔ7	
徐	ɕi5	
德	teʔ7	
心	ɕin1	
忍	ȵiŋ5	
志	tsɿ5	
念	ȵĩ5	
怕	pʰa5	
憐	lĩ2	
急	tɕieʔ7	
怨	jĩ5	
怪	kai5	
總	tseŋ3	
恐	kʰeŋ3	
恤	ɕieʔ7	
恩	ʔen1	
恶	ʔuʔ7	善恶
懸	ɕĩ2	
惜	ɕieʔ7	
慣	kuan3	
想	ɕiɔŋ3	
願	jĩ5	
慌	hɔŋ1	
慢	mɐn5	
懂	teŋ3	
懶	lɐn5	
戒	kai5	
戚	tɕʰieʔ7	
戴	tai5	
戶	fu5	
房	fuan2	
所	sɔ3	
扁	pĩ3	
手	sei3	
才	tsʰuei2	
打	ta3	
擴	kʰuoʔ7	扩充
掃	sau5	扫地
扮	puan5	
扯	tsʰa3	
扳	pɐn1	
批	piɛ3	
承	tsʰeŋ2	
把	pa3	把握,把守,一把
把	pa5	把柄
抓	tsau3	
抖	teu3	
折	tseʔ7	折叠
摳	kʰeu1	
搶	tɕʰiɔŋ3	
報	pau5	
抱	pen3	
抵	tei3	
抹	mɐʔ7	
押	ʔeʔ7	
拆	tsʰaʔ7	
拈	ȵĩ1	拈起来
拌	pʰuan5	
拍	pʰɐʔ7	
拐	kai3	
拔	pɐʔ7	
拖	tʰɔ1	
招	tsau3	
拜	pai5	
攔	lɐn2	
擇	tsaʔ7	择菜,选择
括	kua5	包括
拱	keŋ5	拱手
拳	tɕʰĩ2	
拴	tsʰon1	
拿	na1	
指	tsɿ2	
按	ʔan1	
挑	tʰɔ5	
挖	vaʔ7	
撓	nau1	
擋	tɔŋ3	阻挡
擠	tɕi3	
振	tseŋ5	
挺	tʰiŋ3	
捅	tʰeŋ3	捅破了
捉	tsoʔ7	
捏	neʔ7	
捐	jĩ1	
撈	lau2	
損	seŋ3	
据	tɕi5	
捺	naʔ7	
掀	ɕiau5	
掌	tsɔŋ5	
掐	kʰeʔ7	
排	pʰai2	
掠	lioʔ7	
接	tɕiɛ3	
控	kʰeŋ5	
推	tʰei5	
插	tsʰeʔ7	
揖	ja2	
握	voʔ7	
揩	kʰai1	
攪	ken3	
搛	tɕʰĩ2	~菜
搜	sei1	
搬	puan1	
搭	teʔ7	
搽	tsʰa2	
摆	pai3	
摇	jiau2	
攤	tʰɐn1	
摸	mɔ1	
撇	naʔ7	
撇	pʰeʔ7	撇捺
撇	pʰeʔ7	撇开
撑	tsʰaŋ1	
擦	tsʰeʔ7	
攀	pɐn1	
攢	tsʰɐn5	
收	sei1	
改	kai3	
放	fuan3	
救	tɕiu5	
教	kau1	教书
教	kau5	教育
敢	kɐn3	
敬	tɕiŋ5	
數	su3	动词
數	su5	名词
文	veŋ2	
斜	tɕʰia2	
斤	tɕiŋ1	
斧	fu3	
斬	tsɐn3	
斷	tʰon1	
新	ɕiŋ1	
方	fuan1	
旅	li3	
族	tsuʔ3	
旗	tɕʰi2	
日	ȵeʔ7	
旦	tan1	
舊	tɕʰiu5	
早	tsau3	
旱	huŋ1	
時	sɿ2	
曠	kʰɔŋ5	
旺	von5	
昌	tsʰɔŋ5	
明	miaŋ2	
易	jieʔ7	交易
易	ji5	难易
星	ɕiaŋ1	
映	jiaŋ5	
春	tsʰeŋ5	
晝	tsei5	
晏	ʔɐn5	晚也
曬	sai5	
曉	ɕiɐu5	
暈	jĩ1	
晨	seŋ2	
普	pʰu3	
景	tɕiŋ3	
暑	su3	
暖	non1	
曲	tɕʰioʔ7	曲折,歌曲
更	keŋ5	更加
曾	tseŋ1	
曾	tseŋ1	姓
月	ȵeʔ7	
有	jiu2	
朋	pʰeŋ2	
服	fu5	
望	vaŋ5	
朝	tsʰau2	朝代
木	muʔ7	
本	peŋ3	
機	tɕi5	
殺	saʔ7	
雜	tsʰeʔ7	
權	tɕʰĩ2	
杉	sɔŋ1	
李	li3	
材	tsʰuei2	
村	tsʰeŋ1	
杖	tsʰɔŋ5	
杞	tɕi5	
來	lai3	
楊	jiɔŋ2	
杭	hɐŋ2	
杯	pei1	
杷	pʰa2	枇~
松	tsʰeŋ2	
松	seŋ2	
板	pɐn3	
極	tɕieʔ7	
枇	pʰi2	~杷
枉	von5	
枕	tsen3	
林	lin2	
果	kɔ3	
棗	tsau3	
槍	tɕʰiɔŋ1	
楓	feŋ1	
柑	kɐn1	
染	ȵĩ5	
查	tsʰa2	山查
柱	tsu5	
柳	liu1	
柴	tsʰai2	
柿	sɿ5	
棟	teŋ5	
樹	su5	
樣	jiɔŋ5	
核	hoʔ7	果子核
根	ken1	
格	kaʔ7	
桂	kue5	
桃	tʰau2	
案	ʔɐn5	
桌	tsoʔ7	
桐	tʰeŋ2	
橋	tɕʰiau2	
桶	tʰeŋ3	
梅	mei1	
夢	meŋ5	
梧	vu2	梧桐
梨	li2	
梯	tʰuei2	
械	kai5	
梳	su1	
棉	mĩ2	
棋	tɕʰi2	
棍	kon5	
棚	pʰeŋ2	
椅	ji3	
椒	tɕiau1	
樓	leu2	
概	kai5	
榜	pɔŋ1	
榨	tsa5	榨油
榫	seŋ3	~头
榴	liu2	石榴
橫	vaŋ2	横直
櫻	jiŋ1	樱桃
橙	tsʰeŋ2	
橙	tsʰeŋ2	橙子
檐	jĩ2	
欠	tɕʰĩ5	
欺	tɕʰi1	
款	kʰɐn3	
歉	tɕʰĩ5	
歌	kɔ1	
正	tsaŋ1	正月
武	vu3	
死	ɕi3	
殃	jiɔŋ1	
殿	tʰĩ5	
毒	tʰoʔ7	
比	pi3	比较
畢	peʔ7	
斃	pi2	
毛	mau1	
毯	tʰɐn3	
气	ɕi5	
水	sei3	
永	jiŋ2	
汗	hɔŋ5	
江	kɔŋ1	
湯	tʰɔŋ1	
湯	sɿ2	
汪	vɔŋ2	一~水
汽	tɕʰi5	
沓	tʰeʔ7	一沓纸
沙	sa1	
溝	keu1	
漚	ʔeu3	久浸水中
河	hɔ2	
油	jiu2	
治	tsʰɿ3	
沼	tsau5	沼气
沾	tsan1	
沿	jĩ2	
法	feʔ7	方法,法子
泥	nei2	
注	tsu5	
淚	li5	
泳	jiŋ3	
潔	tɕieʔ7	
洋	jiɔŋ2	
洒	sa3	
洗	sei3	
洛	luʔ7	
洞	tʰeŋ5	
津	tɕiŋ5	
派	pʰai7	
流	leu5	
淺	tɕʰĩ3	
漿	tɕiɔŋ1	
渾	huan2	浑浊
濃	ȵiŋ2	
浙	tseʔ7	
浮	pʰu2	
海	hai3	
消	ɕiau1	
涕	tʰɔ5	鼻涕
潤	jiŋ5	
漲	tsɔŋ3	
澀	seʔ7	
淘	tʰau2	淘米
深	sen1	
混	huan2	相混,混沌
渣	tsa5	
溫	veŋ5	
港	kɐŋ3	港口
湖	fu2	
灣	vɐn1	
溼	seʔ7	
濺	tɕĩ5	
滑	vaʔ7	
滿	muan1	
漆	tɕʰieʔ7	
漱	su1	漱口
潭	tʰɐn2	
澄	tsʰeŋ2	
澡	tsau3	
火	hɔ3	
燈	teŋ1	
靈	liaŋ2	
竈	tsau5	
灸	tɕiu2	针灸
災	tsai1	
爐	lu2	
炎	jĩ2	
炒	tsʰau3	
炕	kʰɐŋ5	
炙	tsaʔ3	
炭	tʰan5	
炮	pʰau5	枪炮
炸	tsa1	炸弹
點	tĩ3	
爛	lan5	
烊	jiɔŋ2	
燭	tsuoʔ7	
烟	jĩ1	
烤	kʰau3	
燒	sau1	
焊	hɔŋ5	
焊	hɔŋ5	~铁壶
煎	tɕĩ1	
煤	mei2	
照	tsau5	
煮	tsu3	
熊	ɕiŋ2	
熏	ɕiŋ1	
熔	leŋ2	
熟	suʔ7	煮熟,熟悉
熨	jiŋ5	
熬	ŋau2	
燕	jĩ5	
爆	pau5	
爬	pʰa2	
爸	pa5	
爹	tia5	
片	pʰĩ5	
牌	pʰai2	
牙	ŋa2	
牢	lau2	
物	vuʔ7	
牯	ku3	
牽	tɕʰĩ1	
特	tʰeʔ7	
犁	lei2	
犯	fan5	
狀	tsɔŋ5	
狐	fu2	
狗	keu3	
獨	tʰuʔ7	
獅	sɿ2	
狼	lɔŋ2	
猜	tsʰai1	
豬	tsu1	
猫	miau2	
猴	heu2	
獺	tʰaʔ7	水獭
玄	ɕĩ2	
王	von2	
現	jĩ2	
玻	pɔ1	
珍	tseŋ1	
珠	tsu1	
班	pɐn5	
球	tɕʰiu2	
琉	liu3	琉璃
琴	tɕʰin2	
璃	li3	玻璃
璧	pʰaʔ7	
瓜	kua1	
瓠	fu2	~卢
瓣	pan5	
瓦	ŋa3	
瓶	pʰiŋ2	
甜	tʰĩ2	
生	saŋ1	
甥	saŋ1	
用	jiŋ5	
田	tʰĩ2	
甲	kɐʔ7	
電	tʰĩ5	
男	nɐn2	
畫	hua5	
界	kai5	
留	liu2	
略	lioʔ7	
疆	tɕiɔŋ5	
疑	ȵi2	
疤	pa1	
疫	ji2	
疹	tseŋ3	
疼	tʰeŋ5	
疾	tɕieʔ7	
病	pʰiaŋ5	
痔	tsɿ5	
痕	hen2	
痛	tʰeŋ5	
痢	li5	
痣	tsɿ5	
痱	mei5	
痹	pi5	麻痹
瘟	veŋ1	
瘦	sei5	
癩	leʔ7	
癬	ɕĩ3	
登	teŋ1	
白	pʰaʔ7	
百	pɐʔ7	
皇	hɔŋ2	
皮	pʰi1	
皺	tsei3	
盆	pʰeŋ2	
盞	tsɐn3	
鹽	jĩ2	
盒	hɔʔ7	烟盒
盖	kuei5	
盤	pʰuan2	
相	ɕiɔŋ5	
相	ɕiɔŋ3	相貌
盾	teŋ5	矛盾
省	seŋ3	省长
省	saŋ3	节省
眉	mi2	
看	kʰɔŋ5	
真	tsen1	
眨	tseʔ7	眨眼
眶	kʰɔŋ1	眼眶
眼	ŋɐn3	
着	tsoʔ7	着衣
着	tsʰoʔ7	睡着,附着
督	toʔ7	
瞎	haʔ7	
瞞	muan2	
矩	tɕi3	规矩
短	ton3	
矮	ʔai3	
石	saʔ7	
碼	ma1	码子
研	ȵĩ1	
磚	tson1	
硬	ŋaŋ5	
碎	sei5	
碑	pi1	
碓	tei5	
碗	vɐn3	
碗	vɔŋ3	
磕	kʰeʔ7	
磨	mɔ2	磨刀
磨	mɔ5	磨面
禮	li2	
社	sa3	
祖	tsu3	
祝	tsuʔ7	
神	seŋ2	
祠	tsʰɿ2	
祥	ɕiɔŋ2	
票	pʰiau5	车票
禁	tɕin5	
福	fuʔ7	
禾	hɔ2	
秀	ɕiu5	
私	si2	
稈	kɔŋ3	稻秆
秋	tɕʰei5	秋天
秋	tɕʰei5	秋千
種	tseŋ3	种类
種	tseŋ5	种树
科	kʰɔ1	
租	tsu1	
秤	tsʰeŋ5	一杆秤
秧	jiɔŋ1	
稱	tsʰeŋ1	称呼,称重量
税	sei5	
穩	veŋ3	
稼	ka5	
窮	tɕʰiŋ2	
空	kʰeŋ1	空虚
空	kʰeŋ5	空缺
突	tuʔ7	
竅	tɕʰiɐu5	
窖	kau5	
窗	tsʰɔŋ1	
窟	kʰuoʔ7	窟窿
站	tsʰɐn5	车站
章	tsɔŋ5	
端	ton1	
竹	tsuʔ7	
笊	tsau5	笊篱
笋	seŋ3	
笑	ɕiau5	
筆	peʔ7	
第	tʰi5	
籠	leŋ2	
等	teŋ3	
答	teʔ7	
篩	sai2	筛子
箏	tseŋ2	
筷	kʰai5	
签	tɕʰĩ1	
簡	tɕĩ3	
箍	ku1	
算	son5	
管	kon3	
籮	lɔ5	
箭	tɕĩ5	
箱	ɕiɔŋ1	
籃	lɐn2	
簧	hɔŋ2	
簸	pɔ5	簸一簸
米	mi3	
類	li5	
粉	feŋ3	
粒	teʔ7	
糞	feŋ5	
糧	tiɔŋ2	
糉	tseŋ5	
精	tɕiŋ1	
糖	tʰɔŋ2	
糟	tsau1	
糠	hɔŋ1	
糯	nɔ5	糯米
系	kei5	系鞋带
紝	jin5	
緊	tɕiŋ3	
累	lei5	
紅	heŋ2	
約	jioʔ7	
級	tɕieʔ7	
紉	jin5	缝~
紗	sa1	
納	naʔ7	
紙	tsi3	
紋	meŋ2	
線	ɕĩ5	
練	lĩ2	
組	tsu3	
細	sei5	
織	tseʔ7	
終	tseŋ1	
絆	puan5	
絨	jiŋ2	
結	tɕieʔ7	
繞	jan1	围~
絶	tɕʰieʔ7	
統	tʰeŋ3	
繡	ɕiu5	
績	tɕieʔ7	
續	ɕi5	
綠	ləuʔ7	
編	pĩ1	
縊	jiɛ3	
縮	soʔ7	
缺	tɕʰieʔ7	
网	muan5	
羅	lɔ5	
罰	feʔ7	
罩	tsau2	
羊	jiɔŋ2	
群	tɕʰiŋ2	
羹	keŋ1	
翻	fɐn1	
翼	jieʔ7	
老	lau3	
考	kʰau3	
耙	pʰa2	
耳	ȵi3	
耽	tɐn1	
聊	liɐu5	
聾	leŋ1	
聘	piŋ5	
肆	ɕi5	
肉	ȵioʔ7	
肚	tʰu3	腹肚
肚	tu3	鱼肚
肝	kɔŋ1	
腸	tsʰɔŋ2	
股	ku3	
膚	fu5	
肥	fei2	
肩	tɕĩ1	
肯	heŋ3	
育	jioʔ3	
肺	fei5	
腎	seŋ5	
腫	tseŋ3	
脹	tsɔŋ5	
胃	vei5	
膽	tɐn3	
背	pei5	
背	pʰei5	背诵
胎	tʰai2	
胛	kɐʔ7	肩胛
勝	seŋ5	胜败
胞	pau1	
胡	fu2	
胸	ɕiŋ1	
能	neŋ2	
脉	maʔ3	
臍	tɕʰi2	
腦	nau3	
膿	neŋ2	
脱	tʰɔʔ7	
脾	pʰi2	
臘	laʔ7	
腕	vɔŋ2	
腥	ɕiaŋ1	
腰	jiau1	
膏	kau1	
膜	mɔ2	
膝	tɕʰieʔ7	
自	tsʰi5	
舀	jiau3	舀水
舅	tɕʰiu5	
舌	saʔ7	
舒	su1	
舞	vu3	
般	puan1	
船	son2	
良	tiɔŋ2	
艾	ŋai5	
節	tɕieʔ7	
芋	ji5	
芒	mɔŋ2	
芒	muan2	麦芒儿
花	hua1	
芳	fuan1	
芹	tɕiŋ2	
芽	ŋa2	
藶	leʔ7	
莧	hɐn5	
苧	tsʰu1	~麻
苗	miau2	
苦	fu3	
英	jiŋ1	
范	fan2	
茅	mau2	
茶	tsʰa2	
草	tsʰau3	
荒	hɔŋ1	
荔	li3	荔枝
薺	tɕʰi3	
榮	jiŋ2	
葷	kʰon1	
蔭	jin1	屋子很荫
藥	jioʔ7	
荷	hɔ2	
荷	hɔ2	薄荷
蓮	lĩ2	
菊	tɕʰioʔ7	
菜	tsʰuei5	
菠	pɔ1	
菢	pʰau5	~小鸡
菩	pʰu2	菩萨
菱	liŋ2	
營	jiŋ1	
葛	kuʔ7	
葫	fu2	
葱	tsʰeŋ1	
葵	kʰue2	
蒜	son5	
蒲	pʰu2	
蒸	tseŋ1	
蓉	jiŋ2	
蓑	sɔ1	
蓖	pi2	蓖麻
藍	lɐn2	
蔗	tsa5	
蕉	tɕiau1	芭蕉,香蕉
薄	pʰoʔ7	
薯	su3	
藏	tsɐŋ5	西藏
藕	ŋeu3	
藿	hɔʔ7	藿香
虎	fu3	
蟲	tsʰeŋ2	
虱	seʔ7	
虹	kɔŋ5	天上的虹
虻	ma2	牛虻
蝦	ha2	鱼虾
蟻	nei2	
蚊	meŋ2	
蠶	tsʰɐn2	
蚣	keŋ1	蜈蚣
蚤	tsau3	
蛆	tɕʰi1	生蛆
蛇	sa3	
蛋	tʰɐn5	
蠻	mɐn2	
蟄	tseʔ7	惊蛰
蛾	ŋɔ2	
蜂	feŋ1	
蜈	vu2	蜈蚣
蜕	tʰei5	
蠅	jiŋ2	
蝙	pʰĩ2	蝙蝠
螺	lɔ5	~蛳
蟀	sai5	
蟆	ma2	虾蟆
蟒	mɐŋ2	
蟹	kʰai2	
血	ɕieʔ7	
行	huan2	行列,银行
街	kai1	
衣	ji5	
補	pu3	
表	piau3	
袁	jĩ2	
袋	tʰuei5	
袖	tɕʰiu5	
袜	meʔ7	
被	pʰi2	被卧
裝	tsɔŋ1	
裙	tɕʰiŋ2	
褲	fu5	
褯	tɕʰiɛ5	~子
西	ɕi5	
要	jiau5	想要,重要
要	jiau1	要求
規	kue1	
視	sɿ5	
覺	koʔ7	知觉
角	koʔ7	
解	kei3	讲解,解开
警	tɕiŋ3	
計	tɕi3	
訃	pʰu5	
認	ȵiŋ5	
討	tʰau3	
讓	ȵiɔŋ5	
記	tɕi5	
講	kɔŋ3	
論	leŋ5	议论
設	seʔ7	
訪	fuan3	
訣	tɕieʔ7	
證	tseŋ5	
詐	tsa5	
診	tseŋ3	
譯	jieʔ7	
試	sɿ2	
話	va5	
該	kuei1	
語	ji3	
請	tɕʰiaŋ3	
讀	tʰuʔ7	
課	kʰɔ5	
謙	tɕʰĩ2	
譜	pʰu3	
谷	koʔ7	
豆	tʰeu5	
象	ɕiɔŋ5	
豹	pau5	
豺	sai2	
貝	pei5	
財	tsʰuei2	
敗	pʰai7	
賬	tsɔŋ5	
貨	hɔ5	
質	tseʔ7	
販	fɐn5	
貪	tʰɐn1	
貳	ȵi5	贰心
貴	kue5	
貸	tai5	
費	fei5	费用
賀	hɔ5	
賒	sa1	
賭	tu3	
賠	pʰei2	
賺	tsʰaŋ1	
賺	tsʰɐn5	
賽	sai5	
贏	jiaŋ2	
走	tseu3	
起	ɕi3	
越	jieʔ7	
足	tsuʔ7	
躍	jioʔ7	
跌	tʰeʔ7	
跟	ken1	
跪	kʰue3	
路	lu5	
跳	tʰiau5	
踢	tʰeʔ7	
踱	tʰuʔ7	
身	seŋ2	
車	kei1	车马炮
車	tsʰa1	马车
軋	ʔaʔ7	被车轧
軋	ʔɐʔ7	被车轧
軌	kue3	
轉	tson3	
軛	ʔaʔ3	
輪	leŋ2	
軟	ȵiɔŋ1	
輕	tɕʰiaŋ1	轻重,年轻
轎	tɕʰiau5	
較	kau5	
輔	pʰu1	
輛	lĩ2	
輩	pei5	
輸	su1	
辣	laʔ7	
辮	pʰĩ5	
邊	pĩ1	
達	taʔ7	
過	kɔ5	
運	jĩ5	
近	tɕiŋ1	
還	vɐn2	还原
進	tɕiŋ5	
遠	jĩ3	
連	lĩ2	
追	tsei1	
退	tʰei5	
送	seŋ5	
逃	tʰau2	
選	ɕĩ3	
透	tʰeu3	
通	tʰeŋ1	
逼	peʔ7	
遍	pĩ5	一遍
道	tʰau5	
遮	tsa1	
那	nei5	
郵	jiu2	
鄰	lin2	
郊	kau1	
