#漢字	音標	解釋
#簡稱	/	淸末溫州
#全稱	/	淸末溫州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,331 2 1b 陽平 ꜁,45 3 2a 陰上 ꜂,34 4 2b 陽上 ꜃,42 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,223 7 4a 陰入 ꜆,112 8 4b 陽入 ꜇
#版本	/	2021-10-21
#錄入人	/	阿纓
#參考資料	/	《淸末溫州方言音系研究》《溫州方言入門》
#說明	/	
乃	na4	
久	tɕiau3	
義	n6	
之	tsɿ1	
烏	ʔu1	
乍	dzo6	
乍	zo6	
乎	ɦʋu2	
乎	vu2	
乏	ɦo8	
乒	pʰiŋ1	
乓	pʰʊŋ1	
乖	kʋa1	
乘	ziŋ2	
乙	ʔjiai7	
九	tɕiau3	
乞	tɕʰiai7	
也	ʔiɛ3	
也	ɦa8	副詞
習	zai8	
鄉	ɕie1	
書	ɕiɿ1	
乩	tɕiɿ1	
買	ba4	
亂	lø6	
乳	ʑiɿ4	～香
乾	dʑie2	～坤
亂	lø6	
了	ʔliɛ3	～滞:干净
了	ʔliɛ1	斷～～，全沒有
予	ɦy4	
爭	tsɛ1	相～
爭	dzɛ2	～吵
事	zɿ6	～干:事情
二	n6	
亍	tɕʰyo7	
雲	jyʊŋ2	
互	vu6	
五	ŋ4	
井	tsiŋ3	
亙	ɦaŋ6	
亞	ʔo5	
些	si1	
亞	ʔo5	
亟	tɕiai7	
亡	vɔ2	
亡	ɦɔ2	
亢	kʰɔ5	
交	kɔ1	
交	ɦɔ2	表完成的體標誌
亥	ɦe4	
亦	ji8	又
亦	jiai8	
產	tsʰa3	生～
產	sa3	～业
亨	hɛ1	
享	ɕie3	
京	tɕiaŋ1	
亭	diŋ2	
亮	lie6	
親	tsʰaŋ1	
亳	bo8	
褻	si7	
亶	ta3	
人	naŋ2	
人	zaŋ2	
人	ȵiaŋ2	主～家
什	zai8	
仁	ȵiaŋ2	
仁	zaŋ2	
仂	le8	
仃	tiŋ1	
仄	tse7	
仆	bu8	奴～
仇	dziu2	～敌
仇	dʑiau2	姓
今	tɕiaŋ1	
介	ka5	
仍	ziŋ2	
倉	tsʰɔ1	
仔	tsɿ3	
他	tʰa1	
他	tʰɔ1	
仗	tsie5	
仗	zie6	炮仗
仗	dzie4	
付	fʉ5	
仙	sie1	
仞	zaŋ6	
代	de6	
令	liŋ6	
令	liŋ2	
以	ji4	
儀	n6	
仰	ȵie4	
仲	dʑyʊŋ6	
件	dʑie4	
價	ko5	
任	zaŋ6	
任	ȵiaŋ2	
份	vaŋ6	
仿	hɔ3	
企	tɕʰiɿ3	
企	dʑiɿ4	
伉	kʰɔ5	和;跟
伊	ʔi1	
伋	tɕiai7	
伍	ŋ4	
伎	dʑiɿ6	
伏	vu8	
伐	ɦo8	
休	ɕiau1	
衆	tɕyʊŋ5	
伙	hu3	
會	ɦʋai6	
傳	dʑye2	～道
伢	ŋo2	～郎，掮客
傷	sie1	
伯	pa7	
估	kʰu1	
估	ku1	
伴	bø4	
伶	liŋ2	
伸	tɕʰyʊŋ1	
伸	saŋ1	
伺	zɿ6	
似	zɿ4	表程度更甚
伽	dʑia2	
伽	dʑiɿ2	～藍
佃	die2	
佃	die6	
但	da6	
佈	pʉ5	
佉	tɕia1	
位	ɦy6	
低	ti1	
住	dʑiɿ6	
佐	tsu5	
佑	jiau6	
體	tʰi3	
何	ɦʋu2	
何	ɡa2	～乜:什么
何	ɦa2	～樣，什麼
何	vu2	
佗	du2	抱在胸前:把渠-牢
佘	zi2	
余	ɦy2	
佚	jiai8	
佛	vai8	
作	tso7	
佝	hau1	
佞	ȵiaŋ6	
你	ȵi4	
佧	kʰa3	～佤族
佩	bai6	
佬	lɜ4	大好～
佳	ko1	
併	piŋ5	
佶	tɕiai7	
佹	tɕy3	
佾	jiai8	
使	sɿ5	天～
使	sɿ3	
侂	tʰo7	
侃	kʰø3	
侄	dzai8	
來	li2	走～：回來
來	le2	
侈	tsʰɿ3	
例	li8	
侍	zɿ6	
侏	tɕiɿ1	
侑	ʔjiau5	
侑	jiau6	
侔	mɜ2	
侖	laŋ2	
供	tɕyɔ1	口～、～给
供	kʊŋ1	～佛
供	tɕyɔ5	～養
依	ʔi1	
侮	vu4	
侯	ɦau2	
侵	tsʰaŋ1	
侶	lʉ4	
侷	dʑyo8	
便	bie6	不～
便	bi2	便宜
便	bie2	～宜
促	tsʰu7	
俄	ŋ2	
俅	dʑiau2	
俊	tɕyʊŋ5	
俏	tɕʰiɛ5	
俑	ʔjyɔ3	
俗	ʑyo8	
俗	jyo8	
俘	fu1	
俚	li4	
俜	pʰiŋ1	
保	pɜ3	
俞	ɦy2	
俟	zɿ4	
俠	jie8	
信	saŋ5	
倈	le2	几～:多少;我～:我们
倈	ʔle7	该～:这些
修	ɕiau1	
修	siu1	
俯	fʉ3	
俯	fu3	
俱	tɕy1	
俳	ba2	～優
俸	hʊŋ3	
俸	hʊŋ5	
俾	bi4	
倅	tsʰai5	
倆	lie4	伎～
倈	le2	複數尾碼
倉	tsʰɔ1	
個	ɡe*	助词，相当于普通话“的”
個	kai5	量词:一～城
個	kai7	代词，这: ～人
倌	kye1	
倍	bai4	
們	maŋ2	
倒	tɜ3	坍～
倒	tɜ5	～掉
倔	dʑye8	
倘	tʰɔ3	
候	ɦau6	时～
倚	ʔi3	
倜	tʰi7	
借	tsi5	
倡	tsʰie1	
倡	tsʰie5	
倥	kʰʊŋ1	
倦	dʑye6	
倨	tɕy5	
倩	tsʰie5	
倪	ȵi2	
倫	laŋ2	
倬	tɕyo7	
倭	ʔy1	
債	tsa5	
值	dzi8	
假	ko3	
假	ko5	放～
偈	dʑiɿ8	
偉	ɦy2	
偏	pʰie1	
偓	ʔo7	
偕	ka1	
做	tsu5	
停	diŋ2	
健	dʑie6	
側	tsi7	～轉
側	tse7	
側	tsʰe7	
偵	tsiŋ1	
偶	ŋau4	
偷	tʰau1	
僞	ȵy6	
傀	kʋʰai3	
傅	fʉ5	
傍	bɔ2	
傍	bɔ6	
傑	dʑie8	
傕	ko7	
傖	tsʰɔ1	
傖	tsʰie1	
傘	sa3	
備	bi6	
傣	ta3	
催	tsʰai1	
傭	jyʊŋ2	
傯	tsʊŋ3	
傲	ŋɜ6	
傳	dʑye2	宣～
傳	dʑye6	～記
債	tsa5	
傷	sie1	
傻	sa3	
傾	tɕʰyʊŋ1	
僂	lau2	
僂	lau4	
僅	dʑiaŋ6	
僉	tsʰie1	
像	dzie4	相～
像	zie4	形～
像	ȵie4	不～兵不～民
僑	dʑiɛ2	
僕	bo8	
僕	pʰu7	
僕	bu8	
僖	ɕiɿ1	
僚	liɛ2	
僝	za2	
僥	tɕiɛ3	
僧	saŋ1	
僭	tsie5	
僮	dʊŋ2	
僳	ɕyo7	
僵	tɕie1	
價	ko5	
僻	pʰi7	
僾	ʔe5	
儀	ȵi4	
儂	naŋ2	人
億	ʔi5	
儇	ɕye1	
儈	kʋai5	
儉	dʑie4	
儋	ta1	
儐	piŋ1	
儒	ʑiɿ2	
儔	dziu2	
儕	za2	
償	zie2	
儡	lai4	
優	ʔjiau1	
儲	dʑiɿ2	
儷	li6	
儺	no2	
儻	tʰɔ3	
儼	le2	
儼	ȵie4	
兒	n2	
兀	ŋø8	
允	ʔjyʊŋ3	
元	ȵye2	
兄	ɕyʊŋ1	
充	tɕʰyʊŋ1	
兆	dʑiɛ4	
先	sie1	
光	kɔ1	
克	kʰe7	
兌	tai5	
兌	dai6	
免	mie4	
兌	dai6	
兒	n2	
兔	tʰʉ5	
兕	zɿ4	
兗	jie4	
黨	tɔ3	
兜	tau1	
兢	tɕiaŋ1	
入	zai8	
內	nai6	
全	ʑye2	
兩	lɛ4	
兩	lie4	幾～
八	po7	
八	pɔ7	
公	kʊŋ1	
六	lu8	
六	liu8	
兮	ji2	
蘭	la2	
共	dʑyɔ6	～样: 一样
關	kʋa1	
興	ɕiaŋ1	～旺
兵	piŋ1	
其	dʑiɿ2	
具	dʑy6	
典	tie3	
養	ʔie3	牧～
兼	tɕie1	
獸	siu5	
冀	tɕiɿ5	
內	nai6	
冇	ʔnau3	「無有」合音
冉	zie4	
冊	tsʰa7	
冊	tsʰa7	
再	tse5	
冒	mɜ6	
冓	kau5	
冕	mie4	
冗	zʊŋ4	
寫	si3	
軍	tɕyʊŋ1	
農	nʊŋ2	
冠	kye1	～冕
冠	kye5	～軍
冢	tɕyɔ3	
冤	ʔye1	
冥	miŋ2	
冪	mi8	
冬	tʊŋ1	
冰	piŋ1	
冱	vu6	
决	tɕye7	
况	ɕyɔ5	
冶	ji4	
冷	lɛ2	
冷	lɛ4	
冼	si3	
冽	lie8	
淨	ziŋ6	
準	tɕyʊŋ3	
凉	lie2	
凋	tiɛ1	
凌	liŋ2	
凍	tʊŋ5	
減	ka3	
湊	tsʰau5	
凓	lie8	
凖	tɕyʊŋ3	
凜	liŋ4	
凝	ȵiaŋ2	
几	tɕiɿ1	～～乎：几乎
几	ke3	～个
凡	va2	
凭	biŋ2	
凰	ɦɔ2	
凱	kʰe3	
凳	taŋ5	
凶	ɕyɔ1	
凶	ɕiaŋ1	白
凸	dø8	
凹	ɕiai7	
凹	ʔɔ1	
出	tɕʰye7	
出	tɕʰiɿ5	
擊	tɕiai7	
函	ɦa2	
刀	tɜ1	
刁	tiɛ1	
刃	ȵiaŋ6	
刃	zaŋ6	
分	faŋ1	
切	tsʰie7	
切	tɕʰie7	
刈	ȵi6	
刊	kʰø1	
刎	vaŋ4	
刑	jiaŋ2	
划	ɦo2	～船
刖	ȵye8	
列	li8	
創	tsʰɔ5	
初	tsʰu1	
判	pʰø5	
別	pie7	～針
別	bie8	特～；～扭
刨	bɔ2	
利	li6	
刪	sa1	
别	bie8	分～;
刮	ko7	
到	tɜ5	
刳	kʰu1	
制	tsi5	
刷	sø7	
券	tɕʰye5	
刺	tsʰi5	
刺	tsʰi7	刺絨衫
刺	tsʰɿ5	
刻	kʰe7	
劊	kʋʰai5	
剁	tu5	
剃	tʰi5	
則	tse7	
剉	tsʰai5	
剉	tsʰo5	
削	ɕia7	
剌	la8	
前	zie2	
剎	sa7	
剔	tʰi7	
剖	pʰɜ3	
剗	tsʰa5	
剛	kɔ1	
剝	po7	
剟	tø7	
剝	po7	
剩	dziŋ6	
剪	tsie3	
剫	do8	拉扯;撕
剮	ko3	
剮	ku3	
副	fʉ5	
割	kye7	
剳	tsa7	
剴	kʰe3	
創	tsʰɔ1	～傷
創	tsʰɔ5	～造
剽	pʰiɛ3	
剽	biɛ2	
剿	tsʰɔ1	
剿	tɕiɛ3	
劃	va8	計～
劄	tsa7	
劇	dʑiai8	
劈	pʰi7	
劉	liu2	
劊	kʋai5	
劊	kʋʰai5	
劌	tɕy5	
劍	tɕie5	
劐	ho7	
劑	tsi5	
劚	tɕyo7	
力	li8	
勸	tɕʰye5	
辦	ba6	
功	kʊŋ1	
加	ko1	
劣	le8	
動	dʊŋ4	
助	zu6	
努	nu4	
劫	tɕie7	
劬	dʑy2	
劭	jiɛ6	
勵	li6	
勞	lɜ2	
劻	tɕʰyɔ1	
劾	ɦø8	
勢	si5	
勁	tɕiaŋ5	
勁	dʑiaŋ6	力
勃	bø8	
敕	tsʰi7	
勇	ʔjyɔ3	
勇	jyɔ4	
勉	mie4	
勒	le8	
動	dʊŋ4	
勘	kʰø5	
務	vʉ6	
勝	siŋ5	
勞	lɜ2	
募	mo6	
募	mu6	
勢	si5	
勤	dʑiaŋ2	
勩	ji6	摩損
勱	ma6	
勳	ɕyʊŋ1	
勵	li6	
勷	sie1	
勸	tɕʰye5	
勺	ʑia8	
勻	jyʊŋ2	
勾	kau1	
匄	kʰa5	给
包	pɔ1	
匆	tsʰʊŋ1	
匋	dɜ2	
匍	bu2	
匐	vu8	
化	ho5	
北	pai7	
匙	zi2	
匜	ji2	
匝	tsø7	
匠	zie6	
匡	tɕʰyɔ1	
匣	ɦa8	
匪	fi3	
匭	tɕy3	
匯	vai6	～款
匯	vai4	～集
匱	dʑy6	
匹	pʰie7	
醫	ʔi1	
匾	pie3	
匿	ȵiai8	
區	ʔau1	姓
區	tɕʰy1	
十	zai8	
千	tsʰie1	
卅	sa7	
升	siŋ1	
午	ŋ4	
卉	ɕy5	
半	pø1	后～
半	pø5	
華	ɦo2	
卑	pai1	
卒	tsai7	
卒	tsʰø7	～中，中風
卓	tɕyo7	
協	jie8	
單	ta1	
賣	ba6	
南	nø2	
南	ʔna1	～無阿彌陀佛
博	po7	
卜	pu7	
占	tsie1	
卡	kʰa3	
卣	jiau4	
卦	ko5	
卬	ŋɔ2	
卯	mɔ4	
印	ʔjiaŋ5	
危	ȵy2	
即	tɕie7	
卻	tɕia7	
卵	laŋ4	
卵	lø4	男陰
卷	tɕyʊŋ3	白
卷	tɕye3	
卷	tɕye5	考～
卸	ɕia5	裝～
卸	si5	
卻	tɕia7	
卿	tɕʰiaŋ1	
厄	ʔa7	
廳	tʰiŋ1	
历	li8	
厲	li8	
壓	ʔa7	
厖	mɔ2	
厘	lie2	～儿:一点点
厘	li2	
厚	ɡau4	
厚	ɦau4	
厝	tsʰo7	
原	ȵye2	
廂	sie1	边～:旁边，附近
厥	tɕye7	
厭	ʔie5	
厲	li6	
去	kʰi5	翻来覆～
去	tɕʰy5	～世
去	kʰe5	損失
參	tsʰø1	
叄	sa1	
又	jiau6	
叉	tsʰo1	
叉	tsʰa1	～燒肉
及	dʑiai8	
友	jiau4	
雙	ɕyɔ1	
反	fa3	
反	pa3	
发	fo7	
叔	ɕiu7	
取	tɕʰiɿ3	～笑
受	ziu4	
變	pie5	
叛	bø6	
叛	bø4	
叟	sau3	
叢	zʊŋ2	
口	kʰau3	
古	ku3	
句	tɕy5	
句	kau1	高～麗
另	liŋ2	
另	liŋ6	
叨	tɜ1	嘮～
叨	tʰɜ1	～光
叩	kʰau5	
只	tsɿ1	～是
只	tsi7	顺～眼：右眼
只	tsɿ7	
叫	tɕiɛ5	
召	dʑiɛ6	
召	jiɛ6	姓
叭	pa1	喇～
叮	tiŋ1	
可	kʰo3	
台	de2	
台	tʰe1	台州
叱	tsʰi7	
史	sɿ3	
右	jiau6	
叵	pʰu3	
葉	jie8	
號	ɦɜ6	记～
司	sɿ1	
嘆	tʰa5	
叻	le8	石～，新加坡
吁	ɕy1	
吃	tɕʰiɿ7	
吃	tɕʰiai7	口～
各	ko7	
吆	ʔiɛ1	
合	ɦø8	同心～口
合	kø7	
吉	tɕiai7	
吊	tiɛ5	
同	dʊŋ2	
名	miŋ2	
后	ɦau4	
吏	li6	
吐	tʰʉ3	动词
吐	tʰʉ5	动词
向	ɕie5	
向	sie5	
吒	tso1	
吒	tso5	
嚇	ho7	
吕	dʉ4	
嗎	mo4	～哪
君	tɕyʊŋ1	
吝	liŋ6	
吞	tʰaŋ1	溫吞
吞	tʰø1	
吟	ȵiaŋ2	
吠	bi6	郊區稱狗叫
吠	vi6	文
吠	vi4	文
吡	pi3	
否	fɜ3	
吩	faŋ1	
吪	ŋ2	
含	ɡaŋ2	
含	ɦaŋ2	
含	ɦø2	
听	tʰiŋ1	
吭	ɦɔ2	
吮	ʑyʊŋ4	
吮	jyʊŋ4	
吳	ŋ2	
吵	tsʰɔ3	
吸	ɕiai7	
吹	tɕʰiɿ1	
吻	vaŋ4	
吼	hau5	
吾	ŋ2	
呂	lʉ4	
呃	ʔa7	
呆	te1	
呆	ŋe2	
呈	dziŋ2	
告	kɜ5	
呋	fu1	
呐	na8	～喊
呢	ne*	语气词，多见句末
呢	ȵi2	
呦	ʔjiau1	
周	tsiu1	
呱	ka1	～～叫
呱	ku1	
味	mi6	
味	vi6	文
呵	he1	
呵	ho1	
呶	nɔ2	
呷	ha7	～水
呼	hu1	
呼	fu1	
命	miŋ6	
呿	tɕʰy1	
咂	tsø7	
咄	tai7	責備；數落
咄	tø7	～～怪事
咆	bɔ2	
咋	tsa7	
咋	tso5	
和	ɦʋu2	
和	vu2	
和	vu6	唱～
咍	he1	
咎	dʑiau4	
咐	fʉ5	
咐	fu5	吩～
咒	tsiu5	
咒	tɕiu5	
咕	ku1	
咖	kʰa1	～啡
咥	sɿ5	
咩	me1	语气助词:许～，你是个王吗? (这样嘛， 你是个王吗? )
咫	tsɿ3	
咬	ŋɔ4	
咯	ko7	
咱	tsa7	
咱	tsa1	
咳	kʰø7	
咷	dɜ2	
咸	ɦa2	
咻	ɕiau1	
咽	ʔie7	
咽	ʔie1	
哀	ʔɛ1	
哀	ʔe1	
品	pʰiŋ3	
哄	hʊŋ3	～骗
哆	tu1	
哈	ha1	
哈	ha7	～爾蟆；～腰；～巴狗
哈	hø7	～氣
哉	tse1	
響	ɕie3	
啞	ʔo3	
哞	mɜ2	
員	jye2	
哢	ʔlʊŋ1	哢松，慫恿
哥	ku1	
哥	ko1	求三～拜四嫂
哦	ʔŋ1	呻吟
哨	sɔ5	
哪	na4	
哪	ȵia8	
哪	ʔna3	
哪	nɔ2	～吒，神名
哭	kʰu7	
哮	hɔ1	～咕
哲	tsie7	
哺	bu6	
哼	hɛ1	
哽	kɛ3	
唁	ȵie6	
唆	su1	挑～
唆	so1	
脣	jyʊŋ2	
唉	ʔa1	
唐	dɔ2	
唑	zo6	
唔	n2	没有
唕	zɜ4	
售	dziu2	
唯	ɦy2	
唯	ɦy4	
唱	tsʰie5	
唳	lai6	
唷	ʔyo1	叫阿～
唼	sa7	
唾	tʰai5	
啁	tɕiɛ1	～哳
啁	tɕiu1	
啃	kʰaŋ1	
啄	tɕyo7	
商	sie1	
啊	ʔa1	
問	maŋ6	
問	vaŋ6	
啐	tsʰai5	
啕	dɜ2	
啖	da4	
啜	tɕye7	
啞	ʔo3	
啟	tɕʰiɿ3	
啥	sa3	
啦	ʔla1	
啻	si5	不～：不止
啼	di2	
喀	kʰa7	
喂	ʔy5	
喃	nø2	
善	zie4	
喇	la8	
喇	ʔla1	～叭
喈	ka1	
喉	ɦau2	
喊	ha3	
喋	za8	唼～
喋	die8	
喏	no8	
喔	ʔo1	
喘	tɕʰye3	
喙	fai5	
喚	hye5	
喜	ɕiɿ3	
喝	hø7	
喟	kʋʰai5	
喧	ɕye1	
喪	sɔ1	
喪	sɔ5	～失
喬	dʑiɛ2	
單	ta1	
單	zie6	
單	zie4	～於
喲	ʔyo1	
喳	tso1	
喹	kʋʰai1	
喻	ɦy6	
嗅	ɕiau5	
嗅	hʊŋ5	白
嗆	tɕʰie5	
嗇	se7	
嗉	su5	
嗑	ɦø8	
嗒	ta7	
嗓	sɔ3	
嗖	sau1	
嗚	ʔu1	
嗜	zɿ6	
嗝	ka7	
嗟	tsi1	
嗡	ʔʊŋ1	
嗣	zɿ6	
嗤	tsʰɿ1	
嗥	ɦɜ2	
嗩	so3	
嗷	ŋɜ2	
嗽	sau5	
嗾	sau3	
嘈	zɜ2	
嘈	zɜ6	鴨子進食的動作
嘉	ko1	
嘌	pʰiɛ5	
嘍	lau2	
嘎	ɡa2	～～抖:发抖
嘔	ʔau3	
嘖	tsa7	
嘗	zie2	
嘛	mo2	助詞
嘩	ho1	
嘩	ɦo2	喧～
嘮	lɜ2	
嘯	sɔ5	
嘲	dʑiɛ2	
嘲	tɕiɛ1	～哳
嘴	tɕiɿ3	
嘵	ɕiɛ1	
嘹	liɛ2	
嘻	ɕiɿ1	
噀	sø5	
噁	ʔo3	～心
噆	tsø7	酸、堿剌痛傷口
噉	da4	
噍	tɕiɛ5	
噎	ʔie7	
噓	ɕy1	
噘	tɕye7	
噤	dʑiaŋ6	牙～牢：牙噤不開
噦	ʔyo7	
器	tɕʰiɿ5	
噩	ŋo8	
噪	tsɜ5	
噬	zi6	
噭	tɕiɛ5	
噯	ʔe3	打～
噱	dʑia8	～頭
噲	kʋʰa5	
噴	pʰaŋ1	
噴	pʰaŋ5	噴香
噸	tʰø3	氣味襲人
噻	se7	
嚀	ȵiaŋ2	
嚇	ha7	恐～
嚇	he5	恐嚇
嚇	ho7	
嚎	ɦɜ2	
嚨	lʊŋ2	
嚳	kʰu7	
嚴	ȵie2	
嚷	zie6	
嚼	ʑia8	
囂	ɕiɛ1	
囈	ȵi6	
囉	ʔlu1	
囊	nɔ2	
囑	tɕyo7	
囔	nɔ2	
囚	dziu2	
四	sɿ5	
回	ɦʋai2	
回	vai2	
囟	saŋ5	
因	ʔjiaŋ1	
囡	nø4	
团	dø2	
囤	dø2	～積
囤	dø4	倉～
囥	kʰɔ5	放置;收藏
囪	tsʰʊŋ1	
園	jye2	
困	kʋʰaŋ5	
圍	ɦy2	
固	ku5	
圖	dʉ2	
囿	ʔiu7	
囿	jiau6	
圃	pu3	
圃	pʰu3	
圄	ȵy4	
圇	laŋ2	
圈	tɕʰye1	
圉	ȵy4	
國	kʋai7	
圍	ɦy2	
園	jye2	
圓	jye2	
圖	dʉ2	
團	dø2	
圜	va2	
圞	lø2	
土	tʰʉ3	
聖	siŋ5	
在	zɿ4	
在	ze4	徛～圣殿上(站在圣殿上)
圩	vu2	
圬	ʔu1	
圭	tɕy1	
圯	tsʰɿ3	
地	di6	
圳	tɕyʊŋ5	
場	dzie2	
圾	dʑiai8	
址	tsɿ3	
均	tɕyʊŋ1	
坊	hɔ1	
坌	baŋ2	坌塵
坍	tʰa1	
坎	kʰø3	持重物撞击人或物: ～死
壞	ɦʋa6	
坐	zo4	
坑	kʰɛ1	
坒	bi2	量詞一層，一～磚
坒	bi4	量詞一層
塊	kʋʰai5	
堅	tɕie1	
坛	da2	
墳	vaŋ2	
坡	pu1	
坡	pʰu1	
坤	kʋʰaŋ1	
坦	tʰa3	
坦	da6	草～
坪	biŋ2	
坯	pʰai1	
坳	ʔɔ1	
坷	kʰu1	
坺	bai8	土塊
坻	dzi2	
坼	tsʰa7	
垂	dʑiɿ2	
垃	ʔla1	
型	jiaŋ2	
垓	ke1	
垛	to3	
垝	tɕy3	
垟	jie2	田野
垠	ȵiaŋ2	
垡	ɦo8	
垢	kau3	
垣	jye2	
墊	die6	
垮	kʰo1	
墶	ta7	动态尾助词, 相当于普通话“着”
垵	ʔø3	
埂	kɛ3	
埃	ʔa1	
埋	ba2	
埋	ma2	
埋	ma8	
埋	mo2	～怨
城	ziŋ2	
埒	le8	
埔	pʰu3	
域	jy8	
埠	bʉ6	
埤	bi2	
埭	da6	量詞，一趟一行
埭	de6	
執	tsai7	
埸	jiai8	
培	bai2	
培	bai4	～土
基	tɕiɿ1	
堂	dɔ2	
堅	tɕie1	
堆	tai1	
堊	ʔo7	
堙	ʔie1	
堝	ku1	
堞	die8	
堠	ɦau6	
堡	pɜ3	
堤	di2	
堪	kʰø1	
堯	ȵia2	
堰	ʔie5	
報	pɜ5	
場	dzie2	
堵	tʉ3	
堵	du4	垢物積聚
堿	ka3	
堿	ka5	
塊	kʋʰai5	
塋	jyʊŋ2	
塌	tʰa7	
塍	ziŋ2	
塑	sʉ5	
塒	zɿ2	
塔	tʰa7	
