#漢字	音標	解釋
□	xɑ1	弯:~腰
吼	xəu3	
吾	vu2	
呆	tai1	书~子
呆	tai1	笨
呈	tsʰen2	
告	kau5	
嘔	ŋəu3	
員	yᴇ2	
嗆	tɕʰiaŋ5	
呢	ni2	
周	tsəu1	~年
周	tsəu1	姓
味	uei5	
呼	fu1	
命	min5	
和	xo2	~平
和	xo2	~面
咎	tɕiəu5	
咐	fu5	
咒	tsəu5	
嚨	noŋ2	
咨	tsɿ1	
咬	ŋau3	
咳	kʰə7	
咸	xan2	~丰
咸	xan2	咸淡
咽	iᴇ5	
哀	ŋai1	
品	pʰin3	
哄	xoŋ3	~骗
哄	xoŋ5	起
響	ɕiaŋ3	
啞	ia3	
噦	io7	
哥	ku1	
哨	sau5	
哪	nɑ2	~吒
哪	nɑ3	哪里
哭	kʰʉ7	
哮	ɕiau5	
哲	tsæ7	
哼	xen1	
哽	ken3	
唆	su1	
脣	suən2	
唉	ŋai1	
唐	tʰaŋ2	
嘮	nau2	
喚	xuan5	
售	səu5	
唯	uei2	
唱	tsʰaŋ5	
唾	tʰu5	
啃	kʰen3	
啄	tsua7	
商	saŋ1	
嗇	sæ7	
囉	nu1	
啼	tʰi2	
喂	uei5	
善	san5	
喉	xəu2	
喊	xan3	叫~
喊	xan3	呻吟
喘	tsʰuai3	
喜	ɕi3	
喝	xə7	
喝	xʉ7	
喧	ɕyᴇ1	
噴	fen5-	~水
噴	pʰen5	~香
喻	y5	
嗅	ɕiəu5	~觉
嗅	ɕiəu5	闻
嗉	su5	
嗓	saŋ3	
嗜	sɿ5	
嗝	kə7	
嗣	sɿ5	后~
嗽	səu5	
嘉	tɕia1	
嘘	ɕy1	
囑	sʉ7	
嘴	tsuei3	
嘻	ɕi1	
噎	ie7	
器	tɕʰi5	
囂	ɕiau1	
嚷	zaŋ3	
囊	naŋ2	
囚	ɕiəu2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰuan2	~结
团	tʰuan2	糯米~子
囥	kʰaŋ5	
園	yᴇ2	
困	kʰuən5	
囱	tsʰoŋ1	
圍	uei2	
固	ku5	
國	kue7	
圖	tʰu2	
圓	yᴇ2	
圈	tɕʰyᴇ1	圆~
土	tʰu3	
聖	sen5	
在	tsai5	
圭	kuei1	
地	ti5	
圳	tsen5	
場	tsʰaŋ2	
址	tsɿ3	
均	tɕyn1	
坊	faŋ3	作~
坍	tʰan1	
坎	kʰan3	
壞	xuai5	
坐	tsu5	
坑	kʰen1	
塊	kʰuai3	
堅	tɕiᴇ1	
坛	tʰan2	
壩	pɑ5	大~
壩	pɑ5	平地把刀~
塢	vu1	
墳	fen2	
墜	tsuei5	
坡	pʰu1	
坤	kʰuən1	
坦	tʰan3	
坪	pʰin2	
坯	pʰei1	
坳	ŋau5	
垂	tsʰuei2	
垃	nɑ1	
壟	noŋ3	
型	ɕin2	
垒	nuei3	
垢	kəu5	
墾	kʰen3	~荒
墊	tiᴇ5	
垮	kʰɑ3	
埂	ken5	
埃	ŋai1	
埋	pʰai2	
城	tsʰen2	
域	io7	
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堆	tuei1	
堡	pau3	
堤	tʰi1	
堪	kʰan1	
堰	iᴇ5	
堵	tu3	
塌	tʰæ7	
塑	su5	
塔	tʰæ7	
塘	tʰaŋ2	
塞	sæ7	
填	tʰiᴇ2	
境	tɕin3	
墅	su5	
墓	mu5	
牆	tɕʰiaŋ2	
增	tsen1	
墟	ɕy1	
墨	mæ7	
墩	ten1	
墮	tu5	
壁	pie7	
壅	ioŋ1	
壇	tʰan2	
壕	xau2	
壤	zaŋ3	
士	sɿ5	
壬	zen2	
壯	tsuaŋ5	
聲	sen1	
殼	kʰə7	
壺	fu2	
壹	ie7	
處	tsʰu3	~理
處	tsʰu5	~所
備	pi5-	
備	pei5=	
复	fʉ7	~兴
复	fʉ7	恢
夏	ɕia5	姓
夏	ɕia5	春
夕	ɕie7	
外	uai5	
多	tu1	
夜	i5	
够	kəu5	往上~
够	kəu5	足
大	toŋ3-	
大	tɑ5=	
天	tʰiᴇ1	
太	tʰai5	
夫	fu1	
夭	iau1	
央	iaŋ1	
夯	xaŋ1	
失	sɘ7	
頭	tʰəu2	
夷	i2	
夸	kʰɑ1	
夾	tɕiæ7	
奪	tʉ7	
奇	tɕi1	~数
奇	tɕʰi2	好~
奈	nai5	
奉	foŋ5	
奮	fen5	
奎	kʰuei2	
奏	tsəu5	
契	tɕʰi5	
奔	pen1	
獎	tɕiaŋ3	
套	tʰau5	
奚	tɕʰi1	
奠	tiᴇ5	
奢	sei1	
奧	ŋau5	
女	ny3	
奴	nu2	
奶	nai3	
奸	tɕiᴇ1	
好	xau3	~坏
好	xau5	爱~
如	zu2	
妃	fei1	
妄	uaŋ5	
妝	tsuaŋ1	
婦	fu5	
媽	mɑ1	
妒	tu5	
妓	tɕi5	
妖	iau1	
妗	tɕin1	
妙	miau5	
妥	tʰu3	
妨	faŋ2	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰie5	
姊	tsɿ3	
始	sɿ3	
姐	tɕi3	
姑	ku1	
姓	ɕin5	
委	uei3	
姘	pʰin1	
姚	iau2	
姜	tɕiaŋ1	
姥	nau3	
姨	i2	
姬	tɕi1	
姻	in1	
姿	tsɿ1	
威	uei1	
娃	ɑ2	
嬌	tɕiau1	
嬌	tɕiau5=	
娑	su1	
娘	niaŋ2	
娠	sen2	
娩	miᴇ3	
娛	y2	
娶	tɕʰy3	
娼	tsʰaŋ1	
婆	pʰu2	
婊	piau3	
婚	xuən1	
婢	pi5	
婪	nan2	
嬰	in1	
嬸	sen3	
婿	ɕi5	
媒	mei2	
媚	mei5	
媳	ɕie7	
嫁	tɕia5	
嫂	sau3	
嫌	ɕiᴇ2	
嫖	pʰiau2	
嫡	tie7	
嫩	nen5	
嬉	ɕi1	
子	tsɿ3	
孔	kʰoŋ3	
孕	zuən5	
字	tsɿ5	
存	tsʰen2	
孫	sen1	
孝	ɕiau5	
孟	moŋ5	
季	tɕi5	
孤	ku1	
學	ɕiʉ7	
孩	xai2	
孵	fu1	
孽	nie7	
寧	nin5	~可
寧	nin2	安
宅	tsæ7	
宇	y3	
守	səu3	
安	ŋan1	
宋	soŋ5	
完	uan2	
宏	xoŋ2	
宕	taŋ5	
宗	tsoŋ1	
官	kuan1	
宙	tsəu5	
定	tin5	
宛	uan3	
宜	ni2	
寶	pau3	
實	sɘ7	
寵	tsʰoŋ3	
審	sen3	
客	kʰə7	
宣	ɕyᴇ1	
室	sɘ7	
宦	xuan5	
宪	ɕiᴇ5	
宮	koŋ1	
宰	tsai3	
害	xai5	
宴	iᴇ5	
宵	ɕiau1	
家	tɕia1	
容	ioŋ2	
寬	kʰuan1	
賓	pin1	
宿	sʉ7	
宿	ɕiəu5	星~
寂	tɕie7	
寄	tɕi5	
寅	in2	
密	mie7	
寇	kʰəu5	
富	fu5	
寐	mei5	
寒	xan2	
寓	y5	
寞	mʉ7	
察	tsʰæ7	
寡	kɑ3	
寢	tɕʰin3	
寥	niau2	
寨	tsai5	
寸	tsʰen5	
對	tuei5	
寺	sɿ5	
尋	ɕyn2	
導	tʰau3	
壽	səu5	
封	foŋ1	
射	sei5	~箭
射	sei5	发~
將	tɕiaŋ1	~来
將	tɕiaŋ5	大~
尊	tsen1	
小	ɕiau3	
少	sau5	~年
少	sau3	多~
尔	ɚ3	
尖	tɕiᴇ1	
塵	tsʰen2	
尚	saŋ5	
嘗	saŋ2	
尤	iəu2	
堯	iau2	
就	tɕiəu5	
尷	kan1	
屍	sɿ1	~陈
屍	sɿ1	死~
尹	yn3	
尺	tsʰɘ7	
尼	ni2	
尽	tɕin5	~前头(最前面)
尽	tɕin5	~量
尾	uei3	
尿	niau5	
局	tɕʰiʉ7	
屁	pʰi5	
層	tsʰen2	
屄	pʰi1	
居	tɕy1	
屈	tɕʰiʉ7	
屉	tʰi5	
屆	tɕie5	
屋	o7	
屎	sɿ3	
屏	pʰin2	
屑	ɕie7	
展	tsan3	
屬	sʉ7	
屠	tʰu2	
屢	nəu2	
履	ny3	
屯	ten5	
山	san1	
嶼	y3	
歲	suei5	
豈	tɕʰi3	
岐	tɕʰi2	
岑	tsʰen2	
岔	tsʰɑ5	
崗	kaŋ1	
島	tau3	
巖	ŋai2	
嶺	nin3	
岳	io7	五~
岳	io7	姓
岸	ŋan5	
峙	tsɿ5	
峽	ɕiæ7	
峰	foŋ1	
崇	tsʰoŋ2	
崔	tsʰuei1	
崖	ŋai2	
崩	pen1	
嵌	kʰan5	
嵩	soŋ1	
巍	uei2	
川	tsʰuan1	
州	tsəu1	
巡	ɕyn2	
巢	tsʰau2	
工	koŋ1	
左	tsu3	
巧	tɕʰiau3	
鞏	koŋ3	
巫	u1	
差	tsʰɑ1	~别
差	tsʰɑ1	~多少
差	tsʰai1	出~
差	tsʰɿ1	参~
己	tɕi3	
已	i3	
巳	sɿ5	
巴	pɑ1	
巷	xaŋ5	
巾	tɕin1	
市	sɿ5	
布	pu5	~料
布	pu5	公~
帥	suai5	
帆	fan1	
師	sɿ1	
希	ɕi1	
帳	tsaŋ5	
帕	pʰɑ5	
帖	tʰie7	
帘	niᴇ2	
帚	tsəu3	
帛	pæ7	
帝	ti5	
帶	tai5	
席	ɕie7	
幫	paŋ1	
帷	uei2	
常	saŋ2	
帽	mau5	
幅	fʉ7	
幔	pʰan5	
幕	mʉ7	
幣	pi5	
干	kan1	天~地支
干	kan1	干湿
干	kan5	干部
平	pʰin2	
年	niᴇ2	
并	pin5	~且
并	pin5	合
幸	ɕin5	
幺	iau1	
幻	xuan5	
幼	iəu5	
幽	iəu1	
廣	kuaŋ3	
莊	tsuaŋ1	
慶	tɕʰin5	
庇	pi5	
牀	tsʰuaŋ2	
序	ɕy2	
廬	nu2	
庫	kʰu5	
應	in5	~该
應	in5	答~
底	ti3	
店	tiᴇ5	
廟	miau5	
庚	ken1	
府	fu3	
龐	pʰaŋ2	
廢	fei5	
度	tu5	~量
度	tu5	忖~
座	tsu5	
庭	tʰin2	
庵	ŋan1	
庶	su5	
康	kʰaŋ1	
庸	ioŋ1	
廉	niᴇ2	
廊	naŋ2	
廓	kʰue7-	
廖	niau5	人名左傳有辛伯廖,又力救切
廖	niau5	姓
延	iᴇ2	
廷	tʰin2	
建	tɕiᴇ5	
廿	niᴇ5	
開	kʰai1	
弃	tɕʰi5	
弄	noŋ5	
弊	pi5	
式	sɿ5	
弓	koŋ1	
引	in3	
弗	fʉ7	
弘	xoŋ2	
弟	ti5	
張	tsaŋ1	
弥	mi2	
弦	ɕyᴇ2	
彎	uan1	
弱	zʉ7	
彈	tʰan2	~琴
彈	tan5	子~
强	tɕʰiaŋ2	勉
强	tɕʰiaŋ2	坚~
弼	pie7	
歸	kuei1	
當	taŋ5	~铺
當	taŋ1	应~
录	nʉ7	
形	ɕin2	
彩	tsʰai3	
彪	piau1	
彬	pin1	
彭	pʰen2	
影	in3	
彷	faŋ3	
役	ie7	
彼	pi3	
彿	fʉ7	
往	uaŋ3	
征	tsen1	~兵
征	tsen1	~求
徑	tɕin5	
待	tai5	
很	xen3	
徊	xuei2	
律	nʉ7	
徐	ɕy2	
徒	tʰu2	
得	tæ7	
徘	pʰai2	
徙	ɕi2	
徛	i3	
御	y5	~用
御	y5	驾~
循	ɕyn2	
微	uei2	
德	tæ7	
徹	tsʰæ7	
徽	xuei1	
心	ɕin1	
必	pie7	
憶	i5	
忌	tɕi5	
忍	zen3	
忏	tsʰan5	
忖	tsʰen3	
志	tsɿ5	~气
志	tsɿ5	地方~
忘	uaŋ5	
忙	maŋ2	
忠	tsoŋ1	
憂	iəu1	
快	kʰuai5	
念	niᴇ5	
忽	xʉ7	
忿	fen5	
懷	xuai2	
態	tʰai5	
慫	soŋ3	
慪	ŋəu5	
悵	tsʰaŋ5	
怎	tsen3	
怒	nu5	
怕	pʰɑ5	
怖	pu5	
憐	niᴇ2	
思	sɿ1	~想
思	sɿ1	意~
怠	tai5	
怡	i2	
急	tɕie7	
性	ɕin5	
怨	yᴇ5	
怪	kuai5	
怯	tɕʰie5	
怱	tsʰoŋ1	
總	tsoŋ3	
恃	sɿ5	
戀	niᴇ5	
恐	kʰoŋ3	
恆	xen2	
恕	su5	
恢	xuei1	
恤	ɕie7	
恨	xen5	
恩	ŋen1	
恭	koŋ1	
息	ɕie7	
恰	tɕʰiæ7	
懇	kʰen3	诚~
恶	ŋə7	~毒
恶	ŋə7	凶~
惻	tsʰæ7	
惱	nau3	
悄	tɕʰiau1	
悉	ɕie7	
悔	xuei3	
悟	vu5	
悠	iəu1	
患	xuan5	
悦	io7	
懸	ɕyᴇ2	
憫	min2	
悲	pei1	
悴	tsʰuei5	
悽	tɕʰi1	
情	tɕʰin2	
驚	tɕin1	
惑	xə7	
惜	ɕie7	
惟	uei2	
惠	xuei5	
懼	tɕy5	
慘	tsʰan3	
懲	tsʰen2	
慚	tsʰan2	
慣	kuan5	
惰	tu5	
想	ɕiaŋ3	
惹	zei3	
愁	tsʰəu2	
愈	y5	
愉	y2	
意	i5	
愕	ŋə7	
愚	y2	
感	kan3	
憤	fen5	
愧	kʰuei5	
願	yᴇ5	
慈	tsʰɿ2	
慌	xuaŋ1	
慎	sen5	
慕	mu5	
慢	pʰan5	
慧	xuei5	
慨	kʰai5	
慰	uei5	
慷	kʰaŋ1	
憋	pie7	
憎	tsen1	
憠	tɕiʉ7	
憨	xan1	
憾	xan5	
懂	toŋ3	
懈	ɕie2	
懊	ŋau5	~悔
懊	ŋau5	~恼
懶	nan3	
懵	moŋ3	
戈	ku1	
戊	u5	
戌	ɕiʉ7	
戍	su5	
戎	zoŋ2	
戲	ɕi5	
成	tsʰen2	
我	ŋəu1-	
我	ŋu3=	
戒	tɕie5	
或	xə7	
戰	tsan5	
戚	tɕʰie7	
戟	tɕie7	
戥	ten3	
截	tɕʰie7	
戳	tsʰʉ7	
戴	tai5	
戶	fu5	
戽	fu5	
房	faŋ2	
所	su3	
扁	piᴇ3	
扇	san5	
手	səu3	
才	tsʰai2	人~
才	tsʰai2	刚~
扎	tsæ7	~紧
扎	tsæ7	针~
扑	pʰʉ7	
打	tɑ3	
扔	zen1	
托	tʰʉ7	
扛	kʰaŋ2	
扣	kʰəu5	
扦	tɕʰiᴇ1	
執	tsɘ7	
擴	kʰue7-	
掃	sau3	~地
掃	sau5	扫~
揚	iaŋ2	
扭	niəu3	
扮	pan5	
扯	tsʰei3	
擾	zau3	
扳	pan1	
扶	fu2	
批	pʰei1-	
扼	ŋə7	
扽	ten5	
找	tsau3	
承	tsʰen2	
技	tɕi5	
抄	tsʰau1	
把	pɑ3	~握
抑	ie7	
抓	tsɑ1	
投	tʰəu2	
抖	tʰəu3	
抗	kʰaŋ5	
折	tsæ7	
折	sə7	
撫	fu3	
抛	pʰau1	
摳	kʰəu1	
搶	tɕʰiaŋ3	
護	fu5	
報	pau5	
披	pʰei1	
抬	tʰai2	
抱	pau1-	
抱	pau5=	
抵	ti3	
抹	mæ7	~布
抹	mʉ7	~杀
押	iæ7	
抽	tsʰəu1	
抿	min3	
拄	tsu3	
擔	tan1	~任
擔	tan5	~子
拆	tsʰæ7	
拇	mu3	
拈	niᴇ1	
拉	nɑ1	
拌	pan5	
拍	pʰæ7	
拎	nin1	
拒	tɕy5	
拓	tʰʉ7	
拔	pæ7	
拖	tʰu1	
拗	ŋau5	
拘	tɕy1	
拙	tsʉ7	
招	tsau1	
拜	pai5	
擬	ni3	
攏	noŋ3	
揀	tɕiᴇ3	
擁	ioŋ3	
攔	nan2	
撥	pʉ7	
擇	tsʰæ7	
括	kʰue7=	
拯	tsen3	
拱	koŋ3	
拳	tɕʰyᴇ2	
拴	suan1	
拷	kʰau3	
拼	pʰin1	
拽	ie7	
拾	sɘ7	
拿	nɑ2	
持	tsʰɿ2	
挂	kɑ5	
指	tsɿ3	
按	ŋan5	
挑	tʰiau1	
挖	ɑ1	
挾	tɕiæ7	
撓	zau2	
擋	taŋ5	
擠	tɕi3	
揮	xuei1	
挨	ŋai1	
挪	nu2	
振	tsen3	
挺	tʰin3	
挽	uan3	
捅	tʰoŋ3	
捆	kʰuən3	
捉	tsʉ7	
捋	nʉ7	
捍	xan5	
捎	sau1	
捏	nie7	
捐	tɕyᴇ1	
捕	pu3	
撈	nau1	
損	sen3	
換	xuan5	
搗	tau3	
