#漢字	音標	解釋#('hak_whhb', '五華橫陂客家話', '五華橫陂', '#8B0000', None, None, '來源：魏宇文《五華方言同音字彙》，<u>阿纓</u>提供，<u>osfans</u>校對', '44 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,31 3 2 上 ꜂,,53 5 3 去 ꜄,,1 7 4a 陰入 ꜆,5 8 4b 陽入 ꜇', None, None)
井	tsiaŋ3	
些	sia1	
亞	a1	～洲
交	kau1	
亥	hoi3	
亦	it8	
亨	haŋ1	
亨	ʂu3	
享	ʂoŋ3	
京	kin1	
亭	tʰin2	
亮	lioŋ5	
人	ŋin2	
仁	in2	
仇	kʰiu2	姓
仇	tsʰiu2	
今	kin1	
介	kai5	
仍	in2	
他	tʰa1	
仗	tʂoŋ5	
付	fu5	
仙	sen1	
代	tʰoi3	
令	lin3	
以	i1	
仰	ŋioŋ3	～慕
仲	uŋ3	
件	kʰen3	
任	ŋim3	姓；責～
份	fun3	
伊	i2	
伍	ŋ3	
伏	fuk8	
伐	fat8	
休	ʂiu1	
伢	ŋa2	
伯	pak7	
估	kʰu1	～計
伴	pʰan3	
伶	lin2	
伸	ʂin1	
似	sɿ3	
佃	tʰen3	
但	tan5	
位	vi3	
低	tai1	
住	tʂʰu3	
佐	tso3	
佑	iu3	
何	ho2	
余	i2	
佛	fut8	
作	tsok7	
佞	ŋin5	
你	ni1	
佢	ki2	他
佩	pʰi5	
佰	pak7	
佳	ka1	
使	sɿ3	
來	loi2	
侈	tʂʰi1	奢～
侉	kʰa1	
例	li3	
侖	lun2	
供	kiuŋ1	～給
供	kiuŋ5	～人，生小孩
依	i1	
侮	vu1	
侯	heu2	
侵	tsʰim1	
便	pʰen1	～宜
便	pʰen3	大～
便	pʰen5	方～
促	tsʰək7	
俄	ŋo1	
俅	kʰiu2	
俊	tsun3	
俏	tsʰiau5	
俑	iuŋ3	
俗	siuk8	風～
俘	fu1	
保	pau3	
信	sin5	
修	siu1	
俸	fuŋ3	
俾	pi1	
倉	tsʰoŋ1	
個	kʰi1	
倍	pʰi3	
倒	tau3	顛～；水
倔	kʰiuk7	～强
候	heu3	
借	tsia5	
倡	tʂʰoŋ5	～議
倦	kʰen3	
倪	ŋi2	
倫	lun2	
倭	vo1	
值	tʂʰit8	
假	ka3	真～；～期
偉	vi3	
偏	pʰen1	
做	tso5	
停	tʰin2	
健	kʰen3	
側	tset7	
偵	tʂin1	
偶	neu3	配～；～然
偷	tʰeu1	
傀	kui3	
傅	fu5	
傍	pʰoŋ2	
傑	kʰet8	
傘	san3	文
備	pʰi3	
催	tsʰi1	
傭	iuŋ3	
傲	ŋau3	
傳	tʂʰon3	～記
傳	tʂʰon2	
債	tsai5	
傻	so2	
傾	kʰin1	
僅	kiun3	
像	sioŋ3	文
像	tsʰioŋ5	白
僑	kʰiau2	
僕	pʰuk7	～倒
僞	ŋui3	
僥	hiau1	
僧	tsen1	
僵	kioŋ1	
僻	pʰut7	
儀	ŋi2	
儂	nuŋ1	
億	i5	
儉	kʰiam3	
儒	i2	
償	ʂoŋ2	
儡	lui3	
優	iu2	
儲	ʂu2	～蓄
儼	ŋiam3	～然
兀	fut7	
允	iun1	～許
元	ŋien2	
兄	hiuŋ1	
充	tʂʰuŋ1	
兆	tʂʰau3	
先	sen1	
