#漢字	音標	解釋#('hak_whhb', '五華橫陂客家話', '五華橫陂', '#8B0000', None, None, '來源：魏宇文《五華方言同音字彙》，<u>阿纓</u>提供，<u>osfans</u>校對', '44 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,31 3 2 上 ꜂,,53 5 3 去 ꜄,,1 7 4a 陰入 ꜆,5 8 4b 陽入 ꜇', None, None)
掇	tot7	～東西，提，拿
授	ʂu3	
掉	tiau5	
掌	tʂoŋ3	
掏	tʰau2	
排	pʰai2	
掘	kʰiuk7	
掛	ka5	
掠	liok8	
探	tʰam5	偵～
接	tsiap7	
控	kʰuŋ5	
推	tʰui1	
掩	iam3	
措	tsʰɿ5	
掮	ken1	
揀	kan3	
揇	nam3	抱
揉	iu2	
描	miau1	
提	tʰi2	
插	tsʰap7	
揚	ioŋ2	
換	fon3	
揞	em1	用手覆蓋
握	vok7	
揩	kʰai3	
揪	tsʰiu1	
揭	ket7	
揮	fi1	
援	ien1	
損	sun3	
搓	tsʰai1	～衫，揉洗衣服
搖	iau2	
搛	kiam1	
搜	sau1	
搞	kau3	
搡	soŋ1	
搧	hien5	
搨	tʰap8	
搬	pan1	
搭	tap7	
搶	tsʰioŋ3	
搽	tsʰa2	
摔	soi1	
摘	tsak7	
摟	leu3	
摩	mo2	
摳	kʰeu1	
摸	mo1	
摹	mo2	
撇	pʰet7	～開
撈	lau2	
撍	tsem3	～印，蓋印
撐	tsʰaŋ3	吃得太飽
撐	tsʰaŋ5	～船
撒	sa3	
撓	ŋiau2	
撕	sɿ1	
撙	tsun1	
撞	tsʰoŋ3	
撣	tʰan3	
撩	liau1	～起來
撫	vu3	
播	po5	
撮	tsot7	一～米，小堆
撰	tsʰon5	～寫
撲	pʰok7	
撳	kʰim5	
撼	ham3	
擀	kon3	
擁	iuŋ3	
擇	tʰok8	～菜
擇	tsʰet8	
擊	kit7	
擋	toŋ3	阻～
操	tsʰau1	～作
擎	kʰiaŋ2	
擒	kʰim2	
擔	tam1	～任，～挑擔
擔	tam3	
據	ki3	
擠	tsi1	
擦	tsʰat7	
擬	ni3	
擱	kok7	
擴	kʰok7	～大
擺	pai3	
擾	iau1	～亂
攀	pʰan1	
攋	lai3	
攏	luŋ1	
攔	lan2	
攘	ioŋ3	
攙	tsʰam1	
攝	ŋiap7	～影
攤	tʰan1	
攬	lam3	
支	tʂi1	
改	koi3	
攻	kuŋ1	
放	foŋ5	
放	hoŋ5	～床，起床
政	tʂin5	
故	ku5	
效	hau3	～果
敏	men1	
救	kʰiu2	
救	kiu5	
敗	pʰai3	
敘	si3	
教	kau1	～書
教	kau5	～育
敞	tʂʰoŋ3	
敢	kam3	
散	san3	～文
散	san5	分文～
敦	tun1	～厚
敨	tʰeu3	～氣，喘氣
敬	kin5	
敲	kʰau1	
整	tʂaŋ3	～東西，修東西
敵	tʰit8	
敷	pʰu1	
數	sɿ5	
斂	liam3	
斃	pi5	
文	vun2	
斑	pan1	
料	liau3	～li，料子
料	liau5	材～
斜	sia2	
斟	tʂim1	
斤	kin1	
斧	pu3	
斫	tok8	～豬肉
斬	tsam3	
斯	sɿ1	
新	sin1	
斷	tʰon1	白
斷	ton5	～絶
方	foŋ1	
於	i1	
施	ʂi1	
旁	pʰoŋ2	
旅	li3	
旋	sen2	
族	tsʰək8	
旗	kʰi2	
既	ki5	
日	ŋit7	
旦	tan5	
旨	tʂi3	
早	tsau3	
旬	sun2	
旱	hon1	
旺	voŋ3	
昂	ŋoŋ1	
昆	kʰun1	
昌	tʂʰoŋ1	
明	mun1	
昏	fun1	
易	it8	交～
易	i5	難～
昔	sit7	
星	sin1	
映	iaŋ3	
春	tʂʰun1	
昧	mi3	
昨	tsʰok8	
昭	tʂau1	
時	ʂi2	
晃	foŋ3	
晉	tsin3	～升
晌	ʂoŋ3	
晏	ien5	
晚	van1	
晝	tsiu5	
晦	fi3	
晨	ʂin2	
普	pʰu1	
景	kin3	
晴	tsʰiaŋ1	
晴	tsʰiaŋ2	
晶	tsin1	
智	tʂi5	
暇	ha2	
暑	tʂʰu3	
暖	non1	
暗	am5	
暢	tʂʰoŋ3	
暫	tsʰiam3	
暴	pʰau3	
曆	lit8	～史
曉	hiau3	～得，會
曛	hiun1	
曝	puk7	
曠	kʰoŋ5	
曬	sai5	
曰	iet8	
曲	kʰiuk7	
更	kaŋ1	五～天
更	ken3	～加
書	ʂu1	
曹	tsʰau2	
曾	tsen1	姓
曾	tsʰen2	～經
替	tʰi5	
最	tsui5	
會	fi3	
會	kʰai5	～計
月	ŋiet8	
有	iu1	
朋	pʰen2	
服	fuk8	
朔	sok7	
朗	loŋ3	
望	moŋ3	白
望	moŋ5	
朝	tʂau1	食～，吃早飯
朝	tʂʰau2	～代
期	kʰi2	
朦	muŋ2	
木	muk7	
未	vi3	
末	mat8	
本	pun3	
朵	to3	
朽	ʂiu3	
杆	kon1	
杈	tsʰa1	
杉	tsʰam5	～樹
杌	fut7	
李	li3	
杏	hen3	
材	tsʰoi2	
村	tsʰun1	
杖	tʂʰoŋ3	
杠	koŋ5	
杭	hoŋ1	
杯	pi1	
東	tuŋ1	
杷	pʰa2	
松	səŋ1	輕～
松	tsʰiuŋ2	～樹
板	pan1	
板	pan3	
枉	voŋ3	
枕	tʂim3	
林	lim2	
枚	moi2	
果	ko3	
枝	ki1	一～花
枝	tʂi1	
枯	kʰu1	
架	ka5	
柄	piaŋ5	
柏	pak7	
某	meu1	
柑	kam1	
柒	tsʰit7	
染	ŋiam3	
柔	iu2	
柚	iu3	
查	tsʰa2	
柩	kiu5	
柱	tʂʰu1	
柳	liu3	
柴	tsʰai2	
柵	tsʰap8	鐵～欄
柿	sɿ3	
栗	lit8	
校	kau3	～對；上～
株	tʂu1	
核	het8	～心
核	hak8	～卵，睾丸
根	ken1	
格	kak7	
栽	tsai1	
桂	kui5	
桃	tʰau2	
桃	koŋ5	
案	on5	
桉	on5	～樹
桌	tsok7	
桐	tʰuŋ2	
桑	soŋ1	
桓	fan2	
桔	kit7	
桶	tʰuŋ3	
梁	lioŋ2	
梅	moi2	
梓	tsɿ3	
梗	kaŋ3	菜～
條	tʰiau2	
梢	sau1	
梧	ŋ2	
梨	li2	
梭	so1	
梯	tʰoi1	
械	hai5	
梳	so1	
棉	men2	
棋	kʰi2	
棍	kun5	
棒	puŋ3	
棕	tsəŋ5	
棗	tsau3	
棚	pʰaŋ2	
棟	tuŋ5	
棠	tʰoŋ2	
棧	tsʰan3	
森	sem1	
棰	tʂʰui2	
棲	tsʰi1	
棵	kʰo1	
棺	kon1	
椅	i3	
植	tʂʰit8	
椏	a1	
椒	tsiau1	
椴	tʰon3	
椿	tʂʰun1	～樹
楂	tsa1	
楊	ioŋ2	
楓	fuŋ1	
楚	tsʰɿ3	
楝	len3	苦～樹
楞	lin2	
楣	mi2	
業	ŋiap8	
極	kʰit8	積～
楷	kʰai3	
概	kʰai3	
榆	i3	
榛	tʂin1	
榜	poŋ3	
榨	tsa5	～油
榫	sun3	～頭
榮	iuŋ2	
榴	liu2	
榻	tʰap7	
構	keu5	
槌	tʂʰui2	鼓～
槍	tsʰioŋ1	
槐	fai2	
槳	tsioŋ2	
槽	tsʰau2	水～
樂	lok8	
樓	leu2	
標	pʰiau1	
樟	tʂoŋ1	
模	mo2	
樣	ioŋ3	
樵	tsʰiau2	
樸	pʰok7	
樹	ʂu3	
樺	fa2	
樽	tsun1	
橋	kʰiau2	
橘	kit7	
橙	tʂʰaŋ2	
機	ki1	
橢	tʰo3	
橫	vaŋ2	～陂，地名；～直
檀	tʰan2	
檁	lin2	
檜	kʰai5	
檢	kiam3	
檳	pun1	～榔
檻	kʰiam1	白
櫃	kʰui5	
櫈	ten5	
櫓	lu1	
櫻	in1	～桃
欄	lan2	
權	kʰen2	
欛	pa5	
欠	kʰiam5	
次	tsʰɿ5	
欣	hin1	
欲	iuk8	
欺	kʰi1	
欽	kʰim1	
款	kʰan3	貨～
歇	ʂet7	
歌	ko1	
歎	tʰan5	
歐	eu1	
歡	fon1	
止	tʂi3	
正	tʂaŋ1	～月
正	tʂaŋ5	行～來
此	tsʰɿ3	
步	pʰu3	
武	vu1	
歪	vai1	
歲	soi5	
歸	kui1	
死	si3	
殃	ioŋ1	
殆	tʰoi3	
殉	sun2	
殊	ʂu2	
殕	pʰu2	生～，發霉
殖	tʂʰit8	
殘	tsʰan2	
殮	liam3	
殯	pun1	
殲	siam2	～來
段	tʰon3	
殷	in1	
殺	sat7	
殼	hok7	
殿	tʰen3	
毀	fi5	
毅	ŋi3	
毆	eu3	
母	mu1	
每	mi1	
毒	tʰuk8	
比	pi3	
毛	mau1	
毫	hau2	
毯	tʰan3	
氈	tʂen1	
氏	ʂi5	
民	mun1	
氣	hi5	
氨	on1	～水
水	ʂui3	
永	iun1	
汀	tʰin1	
汀	sioŋ1	
汁	tʂip7	
求	kʰiu2	
汆	tsʰon1	～湯，煮湯
汗	hon3	
汙	vu1	
汞	kuŋ5	
江	koŋ1	
池	tʂʰi2	
汪	voŋ1	
決	ket7	
汽	hi5	
沁	sim1	
沃	vok7	
沈	ʂim3	
沉	tʂʰim2	
沌	tun5	
沒	mut8	
沖	tʂʰuŋ1	
沙	sa1	
沛	pʰi5	
沫	mat8	泡～
河	ho2	
沸	pi5	～水，開水
油	iu2	
治	tʂʰi3	
沼	tʂau5	
沾	tʂam1	
沿	ien2	
況	kʰoŋ3	
泄	set7	～漏
泅	tsʰiu2	～水
泉	tsʰan2	
泊	pʰok7	
泌	pi5	
泔	kam1	～泔欖
法	fap7	
泛	fam5	
泡	pʰau1	三月～，一種野果
泡	pʰau5	～菜
波	po1	
泣	kʰip7	
泥	nai2	
注	tʂu5	
泰	tʰai5	
泵	paŋ1	水～
洇	ien1	
洋	ioŋ2	
洗	se3	
洛	lok8	
洞	tʰuŋ3	
津	tsin1	
洲	tsiu1	
活	fat8	
洽	kiap7	～談
派	pʰai5	
浙	tʂet7	～江
浜	paŋ1	
浩	hau1	
浪	loŋ3	
浮	feu2	
浴	iuk8	
海	hoi3	
浸	tsʰim5	
消	siau1	
涉	sap8	
涎	ien2	
涮	son5	～洗
液	it8	
涼	lioŋ2	
淆	ŋau2	
淋	lim2	～菜，澆菜
淑	ʂuk7	
淒	tsʰi1	
淘	tʰau2	～米
淚	lui3	
淡	tʰam1	咸～
淡	tʰam3	～水，地名
淨	tsʰiaŋ3	
淩	lin2	～角
淪	lun2	
淫	ŋin2	
淮	fai2	
深	tʂʰim1	
淳	ʂun2	
淵	ien1	
混	fun3	相～
淹	iam1	
淺	tsʰen3	
添	tʰiam1	
清	tsʰin1	
減	kam3	
渡	tʰu3	
渣	tsa1	
測	tsʰet7	
港	koŋ3	
港	hoŋ3	～幣
渴	hot7	
渺	miau3	
渾	fun3	～濁
湊	tsʰeu5	
湖	fu2	
湛	kʰam1	～紅，地名
湧	iuŋ3	
湯	tʰoŋ1	
溉	kʰai3	
源	ŋien2	
溜	liu1	
溜	liu2	
溝	keu1	
溪	hai1	
溫	vun1	
溺	ŋiok8	
溻	tap7	汗～濕衫褲
滂	pʰoŋ2	
滄	tsʰoŋ1	
滅	met8	
滋	tsɿ1	
滌	tʰit7	
滑	vat8	
滓	tsai3	
滔	tʰau1	
滬	fu5	
滴	tit7	
滸	fu3	水～
滾	kʰun3	
滿	man1	
漁	ŋ2	
漂	pʰiau1	
漂	pʰiau5	～亮
漏	leu3	
演	ien1	
漚	eu5	
漢	hon5	
漫	man3	
漱	seu5	
漲	tʂoŋ5	
漸	tsʰiam3	
漿	tsioŋ1	
潑	pʰat7	
潔	ket7	
潘	pʰan1	
潛	siam2	～力
潤	iun3	
潭	tʰam2	
潮	tʂʰau2	
潰	kʰui5	
潲	sau5	～水，豬食
澀	sep7	
澄	tʂʰaŋ2	
澇	lau2	
澗	kan3	
澡	tsʰau5	
澤	tsʰet8	
澳	au5	
激	kit7	
濁	tsʰək8	
濃	nuŋ1	
濕	ʂip7	
濟	tsi5	
濤	tʰau2	
濫	lam3	
濺	tsʰen3	
濾	li3	
瀉	sia5	
瀑	puk7	
瀛	iun3	
灌	kon5	
灑	sa3	
灒	tsan5	
灘	tʰan1	
灘	tsun3	
灣	van1	
火	fo3	
灰	hoi1	
灶	tsau5	
災	tsai1	
炊	tʂʰui1	
炎	iam2	
炒	tsʰau3	
炕	kʰoŋ5	
炙	tʂak7	
炙	kiu5	針～
炭	tʰan5	
炮	pʰau5	
炳	piaŋ3	
炸	tsa5	用油～；～彈
烈	let8	
烊	ioŋ2	
烏	vu1	
烤	kʰau3	
烯	ien2	
烹	pʰuŋ1	
焉	ien1	
焗	kuk8	～油
焚	fun2	
無	vu2	
焦	tsiau1	
焰	iam3	
然	ien2	
煎	tsen1	～堆，一種食品
煙	ien1	
煥	fon3	
照	tʂau5	
煨	voi1	～番薯
煩	fam1	
煩	fan2	
煮	tʂu3	
煲	pau1	
煽	hien5	
熄	sit7	
熊	iuŋ2	
熏	hiun1	
熙	hi1	
熟	ʂuk8	
熥	tʰuŋ1	
熬	ŋau2	
熱	ŋiet8	
燈	ten1	
燉	tun1	
燎	liau3	火～眉毛
燎	liau2	
燒	ʂau1	
燕	ien5	
燙	tʰoŋ3	
營	iaŋ2	
燦	tsʰan5	
燩	hok7	～炍，煎
燭	tʂuk7	
爆	pʰau5	
爐	lu2	
爛	lan3	
爬	pʰa2	
爭	tsaŋ1	
爲	vi2	作～；～什么
爵	tsiok7	
父	fu3	
爸	pa1	
爹	tia1	
爺	ia2	
爽	soŋ3	
爾	ni1	
牆	sioŋ2	
片	pʰen3	
版	pan3	
牌	pʰai2	
牒	tʰiap8	
牘	tʰuk8	
牙	ŋa2	
牛	ŋiu2	
牡	meu1	～丹
牢	lau2	
牧	muk7	
物	fut8	
牯	ku3	牛～，公牛
牲	sen1	
牸	tsʰɿ5	牛～
特	tʰit8	
牽	kʰen1	
犀	si1	
犁	lai2	
犒	kʰau5	
犢	tʰuk8	牛～
犧	hi1	
犬	kʰen3	
犯	fam3	
狀	tsʰoŋ3	
狂	kʰoŋ2	
狄	tʰit8	
狐	fu2	
狗	keu3	
狠	hen1	
狡	kau3	
狸	li2	
狹	hiap7	
狼	loŋ2	
猛	maŋ1	
猜	tsʰai1	
猝	tsut7	倉～
猴	heu2	
猶	iu2	
猾	vat8	狡～
獄	ŋiuk8	
獅	sɿ1	
獎	tsioŋ2	
獨	tʰuk8	
獯	hiun1	
獲	fet8	
獲	vok7	
獵	liap8	
獸	tsʰu5	野～
獺	tʰap7	
獻	hien5	
玄	hien2	
率	lut8	速～
率	sut7	～領
玉	ŋiuk8	
王	voŋ2	
玻	po1	
珊	san1	
珍	tʂin1	
珠	tʂu1	
班	pan1	
珺	kiun1	
現	hien3	
理	li1	
琉	liu2	
琛	tʂʰim1	
琢	tʂok7	
琨	kʰun1	
琴	kʰim2	
琶	pʰa2	
瑞	ʂui3	
瑣	so3	～碎
瑤	iau2	
瑩	in2	
璃	li2	玻～
環	fan2	
璿	sen2	
瓊	kʰiun2	
瓖	sioŋ1	
瓜	ka1	西～
瓠	fu2	
瓢	pʰiau2	
瓣	pʰan5	
瓤	noŋ2	瓜～
瓦	ŋa3	
瓶	pʰun2	
瓷	tsʰɿ2	
甌	eu1	
甕	uŋ5	
甘	kam1	
甚	ʂim3	
甜	tʰiam2	
生	saŋ1	～還
產	san3	
甥	saŋ1	外～
用	iuŋ3	
甩	sai3	
甬	iuŋ3	
田	tʰen2	
由	iu2	
甲	kap7	
申	ʂin1	
男	nam2	
界	kai5	
畏	vi3	
留	liu2	
畜	ʂuk7	～牧
畝	meu1	
畢	put7	
略	liok8	
番	pʰan1	～禺，地名
番	fan1	～薯
畫	fa3	～li，畫兒
畫	fa5	～圖
異	i3	
當	toŋ1	～時
當	toŋ5	
疆	kioŋ1	
疊	tʰiap8	
疏	so1	
疑	ŋi2	
疔	taŋ1	
疝	san1	
疤	pa1	
疥	kai5	
疲	pʰi2	
疹	tʂin1	
疼	tʰuŋ5	
疾	tsʰit8	
疿	pi5	
痂	ka1	
病	pʰiaŋ3	
症	tʂin5	
痕	hen3	
痛	tʰuŋ5	
痢	li3	
痰	tʰam2	
痳	ma2	
痹	pi1	麻～
瘊	heu2	～子
瘋	fuŋ1	
瘍	ioŋ2	潰～
瘟	vun1	
瘡	tsʰoŋ1	
瘦	seu5	
瘧	ŋiok7	～疾
瘴	tʂoŋ5	～氣
瘸	kʰio2	
療	liau2	
癡	tʂʰi1	
癢	ioŋ1	
癩	lat7	疤～
癩	lai3	
癬	sen3	牛皮～
癱	tʰan1	
癲	ten1	
癸	kʰui2	
登	ten1	
發	pot7	～炍，一種米制食品
發	fat7	
白	pʰak8	
百	pak7	
皂	tsʰau5	
的	tit7	
皆	kai1	
皇	foŋ2	
皖	von3	
皮	pʰi2	
皺	tsiu5	
皿	men1	
盅	tʂuŋ1	
盆	pʰun2	
盈	in2	
益	it7	
盒	hap8	
盔	kʰui1	
盛	ʂin3	興～
盛	tʂʰin2	～滿
盜	tʰau3	
盞	tsan3	燈～
盟	men2	
盡	tsʰin3	
監	kam1	
監	kam5	
盤	pʰan2	
盦	am3	～～僕，俯臥
盧	lu2	
目	muk7	
盲	maŋ2	
直	tʂʰit8	
相	sioŋ1	
盼	pʰan3	
盾	tʰun3	
省	sen3	反～；節～
眉	mi2	
看	kʰon5	～見
真	tʂin1	
眠	mun1	～床
眨	pen3	～眼
眩	hien2	
眶	kʰioŋ1	
眷	kʰen3	
眼	ŋan3	
睏	kʰun5	
睛	tsin1	
睜	tsaŋ1	
睡	ʂoi3	
督	tuk7	
睬	tsʰai3	
睱	ha2	
瞄	miau1	
瞎	hat7	～眼
瞘	kʰeu1	眼～
瞞	man2	
瞧	tsʰiau2	
瞪	ten1	～眼
瞳	tʰuŋ2	
瞻	tʂiam1	
瞿	kʰi5	
矛	mau2	～盾
矢	tʂʰi1	
知	ti1	
知	tʂi5	～識
矩	ki3	埠～
短	ton3	
矮	ai3	
石	ʂak8	
砍	kʰam3	
研	ŋan1	
砣	tʰo2	秤～
砧	tsem1	～板
破	pʰo5	
硃	tʂu1	
硝	siau1	
硫	liu2	
硬	ŋaŋ3	
硯	ien5	
碎	sui5	～石
碑	pi1	
碓	toi5	
碗	von3	
碟	tʰiap8	
碧	put7	
碰	pʰuŋ5	～到
碳	tʰan5	
確	kʰok7	
碼	ma1	
碾	tsʰen5	～米
磁	tsʰɿ2	
磅	poŋ3	地～
磉	soŋ1	
磊	toi1	～花燒，酒名
磐	pʰan2	～石
磕	kʰap8	～頭
磚	tʂon1	
磡	kʰam5	
磨	mo2	～刀
磨	mo5	石～
磬	kʰin5	
磷	lim1	
礅	tun1	石～
礓	kioŋ1	
礙	ŋoi5	
礦	kaŋ3	～石
礦	kʰoŋ5	文，煤～
示	ʂi3	
社	ʂa1	
祀	sɿ5	
祈	kʰi2	
祐	iu3	
祖	tsɿ3	
祝	tʂuk7	
神	ʂin2	
祠	tsʰɿ2	
祥	sioŋ2	
票	pʰiau5	
祭	tsi5	
祿	luk7	
禁	kim5	
福	fuk7	
禦	ŋi3	
禪	ʂam2	～讓
禮	li1	
禱	tau3	～告
禽	kʰim2	
禾	vo2	
禿	tʰut8	
秀	siu5	
私	sɿ1	
秉	pun3	
秋	tsʰiu1	
科	kʰo1	
秒	miau3	
秘	pi5	
租	tsɿ1	
秤	tʂʰin5	
秧	ioŋ1	
秩	tʂit7	
秫	ʂut8	
移	i2	
稀	hi1	
稅	ʂoi5	
稈	kon3	
程	tʂʰaŋ2	姓
稗	pʰai3	
稙	tʂʰit8	
稚	tʂʰi1	幼～
稟	pun3	
稠	tsʰu2	
種	tʂuŋ3	～類
種	tʂuŋ5	～樹
稱	tʂʰin1	～呼
稱	tʂʰin5	
稻	tʰau1	
稼	ka5	
稿	kau3	
穀	kuk7	
穆	muk7	
穎	in3	
穗	fi3	
穢	voi5	
穩	vun3	
穴	ʂet8	
究	kiu5	
空	kʰuŋ1	～虚
穿	tʂʰon1	
突	tʰut7	
窖	kau5	
窗	tsəŋ5	
窘	tsiuŋ3	～迫
窩	vo1	
窪	va1	
窮	kʰiuŋ2	
窰	iau2	
窺	kʰui1	
竄	tʂʰon5	
竅	kʰiau5	
立	lip8	～正
站	tsʰam3	
竟	kin5	
章	tʂoŋ1	
童	tʰuŋ2	
端	ton1	
競	kin5	
竹	tʂuk7	
竿	kon1	
笊	tsau5	～撈，～籬
笑	siau5	
笙	sen1	
笠	lip7	
符	pʰu2	
笨	pun5	
第	tʰi3	
筆	put7	
等	ten3	
筋	kin1	
筍	sun2	
筏	fat8	
筐	kʰioŋ1	
筒	tʰuŋ2	
答	tap7	
策	tsʰet7	
筧	kan3	竹～
筵	ien2	
筷	kʰai5	
箅	pi5	
箋	tsen1	
箏	tsaŋ1	
算	son5	
管	kon3	
箭	tsen5	
箱	sioŋ1	
節	tset7	
範	fam3	姓
範	fam5	師～
篅	tʂʰon3	
篆	tʂʰon3	
篇	pʰen1	
築	tʂuk7	
篙	kau1	竹～
篡	tsʰon5	～改
篤	tuk7	
篩	si1	
篷	pʰuŋ2	
簡	kan3	
簧	voŋ2	
簪	tʂam1	
簸	poi5	～箕
簽	tsʰiam1	
簾	liam2	
簿	pʰu1	
籃	lam2	
籌	tsʰu2	
籍	tsʰit8	
籠	luŋ1	
籬	li2	
籮	lo2	
米	mi3	
粉	fun3	
粗	tsʰɿ1	
粘	ŋiam2	～貼
粟	siuk7	
粥	tʂuk7	
粱	lioŋ2	
粳	kaŋ1	～米
粵	iet8	
粹	tsʰui5	純～
糉	tsəŋ5	
精	tsin1	
糍	tsʰi2	～巴
糕	kau1	
糖	tʰoŋ2	
糙	tsʰau5	
糞	pun5	
糟	tsau1	酒～
糠	hoŋ1	米～
糧	lioŋ2	
糯	no5	～米
糴	tʰak8	
系	he5	
糾	keu1	～纏
紀	ki3	～律
約	iok7	
紉	iun5	縫～
紋	vun2	
紐	neu3	
純	ʂun2	
紗	sa1	
紙	tʂi3	
級	kʰip7	
紛	fun1	
素	sɿ5	
紡	foŋ3	
索	sok7	
紫	tsɿ3	
紮	tsat7	
累	lui5	
細	se5	
紹	ʂau5	
終	tʂuŋ1	
組	tsɿ1	
絆	pʰan3	
結	ket7	
絛	tit7	～綸
絞	kau3	
絡	lok8	
給	kip7	供～
絨	iuŋ2	
絮	si5	
統	tʰuŋ3	
絲	sɿ1	
絕	tsʰet8	
絹	ken1	
綁	poŋ3	
經	kin1	～驗～；～綫
綜	tsəŋ1	
綢	tsʰu2	
維	vi2	
綱	koŋ1	
網	mioŋ3	
綴	tʂui5	點～
綻	tsan5	破～
綿	men2	
緊	kin3	
緋	fi1	
綠	liuk8	
緖	si3	
線	sen5	
緝	sip8	
緞	tʰon3	
緣	ien2	
編	pʰen1	
緩	fon3	
緬	men3	
緯	vi3	
練	len3	
縈	iaŋ1	～錢，繞
縊	it7	
縣	ien3	
縮	sək7	
縱	tsəŋ1	～横
縱	tsiuŋ3	放～
縷	leu3	
總	tsəŋ3	
績	tsit7	
繁	fan2	
織	tʂit7	
繞	ŋiau3	
繡	siu5	
繪	fi3	
繰	tsʰiau1	～衫脚
繳	kiau3	～費
繼	ki5	
纂	tsʰon5	編～
續	siuk8	
纏	tsʰen2	
纓	in1	
缸	koŋ1	
缺	kʰet7	
缽	pat7	
罐	kon5	
罕	hon3	
罩	tsau5	
罪	tsʰi3	
罰	fat8	
署	tʂʰu3	專～
罵	ma5	
罷	pʰa3	
羅	lo2	
羊	ioŋ2	
羌	kioŋ1	
美	mi1	
羔	kau1	
羞	siu1	
羣	kʰiun2	
羨	sen3	～慕
義	ŋi3	
羹	kaŋ1	
翁	uŋ1	
習	sip8	
翔	sioŋ2	
翠	tsʰi5	
翡	fi1	
翰	hon5	
翹	kʰiau5	
翻	fan1	
翼	it8	雞
耀	iau5	
老	lau3	
考	kʰau3	
者	tʂa3	
而	lu2	～且
耐	nai3	
耕	kaŋ1	
耗	hau5	
耘	iun2	
耙	pʰa2	
耳	ŋi3	
耶	ia1	
耽	tam1	
耿	ken3	
聊	liau2	
聖	ʂin5	神～
聘	pʰun5	～請
聚	tsʰi5	
聞	vun2	
聯	len2	
聰	tsəŋ5	
聲	ʂaŋ1	
聶	ŋiap7	
職	tʂit7	
聽	tʰaŋ1	～話
聾	luŋ1	
肄	i3	～業
肅	siuk7	
肉	ŋiuk7	
肋	let8	
肌	ki1	
肖	siau1	
肘	tsiu3	
肚	tu3	豬～；腹～
肝	kon1	
股	ku3	
肢	tʂi1	
肥	pʰi2	
肩	ken1	
肮	oŋ1	
肯	kʰen3	文
肯	hen3	白
肴	ŋau2	
肺	pʰi5	
胃	vi3	
背	pʰoi3	
背	poi5	
胎	tʰoi1	
胛	kap7	肩～
胞	pau1	
胡	fu2	
胳	kok7	
胸	hiuŋ1	
能	nen2	
脂	tʂi1	
脅	hiap7	
脆	tsʰoi5	
脈	mak7	
脊	tsit7	
脫	tʰot7	
脯	pʰu2	
脹	tʂoŋ5	
脾	pʰi2	
腆	tʰen3	～肚
腎	ʂin3	
腑	fu3	
腔	kʰioŋ1	
腕	von3	
腥	siaŋ1	
腦	nau3	
腩	nam1	牛～
腫	tʂuŋ3	
腮	sai1	
腰	iau1	
腱	kʰen3	
腳	kiok7	
腸	tʂʰoŋ2	
腹	fuk7	
腿	tʰui3	
膏	kau1	
膘	piau1	
膝	tsʰit7	
膠	kau1	
膨	pʰaŋ2	
膩	ni5	
膽	tam3	
膿	nuŋ1	
臀	tʰun2	
臂	pi3	
臃	iuŋ1	
臉	len1	
臊	sau1	～氣
臍	tsʰi2	
臘	lap7	
臣	tʂʰin2	
臥	ŋo5	
臨	lim2	
自	tsʰɿ3	
臭	tsʰu5	
致	tʂi5	
臺	tʰoi2	～球
臻	tʂin1	
臼	kʰiu1	
舀	iau3	～水
舂	tʂuŋ1	～米
舅	kʰiu1	
與	i1	
興	ʂin1	～旺
興	ʂin5	高～
舉	ki3	
舊	kʰiu5	
舌	ʂet8	
舍	ʂa3	
舍	ʂa5	
舐	tʰe1	～東西
舒	ʂu1	
舜	ʂun5	
舞	vu3	
舟	tsiu1	
航	hoŋ1	
般	pan1	
舵	tʰo2	
船	ʂon2	
艇	tʰiaŋ3	
艦	kam5	
良	lioŋ2	
艱	ken1	
色	set7	
艷	iam3	
艾	ŋioi5	
芍	ʂok7	～藥花
芒	moŋ1	～果
芝	tʂi1	
芥	kai5	
芬	fun1	
芭	pa1	
芮	iui5	姓
花	fa1	
芳	foŋ1	
芸	iun2	
芹	kʰiun2	
芽	ŋa2	
苔	tʰoi2	舌～
苗	miau1	
苟	keu3	
若	iok8	
苦	kʰu3	～難
苦	fu3	～瓜
苧	tʂʰu1	
英	in1	
茂	meu3	
茄	ka1	番～，西紅柿
茅	mau2	
茫	moŋ2	
茲	tsɿ1	
茴	fi2	～香
茵	in1	
茶	tsʰa2	
茸	iuŋ2	
茹	ku1	
荀	sun2	
荃	tsʰen2	
草	tsʰau3	
荊	kin1	
荒	foŋ1	
荔	li3	～枝
荷	kʰai1	～擔，挑擔
荷	ho2	
莊	tsoŋ1	
莖	kin1	
莧	han3	～菜
莽	maŋ1	
菊	kʰiuk7	
菌	kʰun1	細～
菖	tʂʰoŋ1	
菜	tsʰoi5	
菠	po1	
菩	pʰu2	
華	fa2	
萄	tʰau2	
萊	loi2	
萌	men2	
萍	pʰun2	
萎	vi1	
萬	van3	
落	lok8	
葉	iap8	
著	tʂʰok8	附～；做～；做對
著	tʂok7	～衫，穿衣
著	tʂu5	
葛	kot7	
董	tuŋ3	
葦	vi3	
葬	tsoŋ5	
葵	kʰui2	
葷	fun1	
蒂	ti5	
蒓	ʂun2	
蒙	muŋ2	
蒜	son5	
蒸	tʂin1	
蒼	tsʰoŋ1	
