#漢字	音標	解釋
㔶	kaŋ3	盖子
剛	tɕiaŋ1	
創	tsʰɔŋ5	
初	tsʰe1	
刣	tʰai6	~鱼,原文记作治
刨	pau6	
别	piɛʔ8	~人
刮	kuaʔ7	
到	tau5	
制	tɕiɛ5	
刷	sɔʔ7	
刺	tɕʰiɛ5	
刻	kʰɛʔ7	
剃	tʰiɛ5	
削	ɕia5	
前	sɛŋ2	
剝	pʰɔʔ7	
劇	ky5	戏~
剪	tsɛŋ3	
割	kaʔ7	
力	leʔ8	
勸	kʰuɔŋ5	
辦	pɛŋ6	
加	ka1	
動	tuŋ6	
劫	tɕiɛʔ7	
勁	kieŋ5	有~
勃	puaʔ8	
勤	kʰyŋ2	
勺	sɔʔ7	
匀	yŋ2	
化	hua5	
北	pɛʔ7	
匠	tɕʰiɔŋ6	
匹	pʰeʔ7	
區	kʰy1	
醫	i1	
十	sɛʔ8	
千	tsʰɛŋ1	
升	ɕieŋ1	单位
半	puaŋ5	
卒	tɕyʔ7	
卓	tɔ5	
單	taŋ1	简~
賣	me3	
南	naŋ2	
博	pɔʔ7	
印	ieŋ5	
卵	lɔŋ6	
卷	kuɔŋ3	动
历	lyʔ8	
厭	iɛŋ5	
厚	kau6	
原	ŋuɔŋ2	
廚	ty2	
去	kʰyɛ5	来~
去	kʰeʔ7	
縣	yɛŋ6	
参	sɛŋ1	人~
雙	suŋ1	
反	huaŋ3	
发	huaʔ7	
叔	suʔ7	
取	tɕʰy3	
受	ɕieu6	
變	piɛŋ5	
疊	tʰɛʔ8	
口	kʰɛu3	
句	kyɛ5	
只	tɕi3	
叫	kiɛu5	
台	tɔi2	戏~
號	hɔ6	
司	su1	
各	kɔʔ7	
吉	keʔ7	
名	miaŋ2	
后	hɛu6	
向	ɕiɔŋ5	
吞	tʰɔŋ1	
吠	pue6	
否	pʰɛu3	
含	kaŋ2	
含	haŋ2	
聽	tʰiaŋ1	
啓	kʰiɛ3	
吳	ŋu2	
吸	keʔ7	
吹	tɕʰyɛ1	
告	kɛu5	
周	tɕieu1	
命	miaŋ6	
咒	tɕieu5	
咬	ka6	
品	pʰieŋ3	
啞	a3	~巴
哥	kɔ1	
哲	tsɛʔ7	
脣	ɕyŋ2	
唐	tɔŋ2	
唱	tɕʰiɔŋ5	
啄	tɔʔ7	
啼	te2	哭
善	ɕiɛŋ6	
喜	hi3	
嗽	sau5	
器	kʰi5	
四	ɕi5	
囝	kiaŋ3	
回	hue2	
因	ieŋ1	
团	tɔŋ2	
囥	kʰɔŋ5	藏放
園	huɔŋ2	
困	kʰuŋ5	
圍	ue2	
國	kuɔʔ7	
圓	yɛŋ2	
土	tʰu3	
在	tsai6	
地	ti6	天~
場	tiɔŋ2	
均	kyŋ1	
坐	sɔi6	
坑	kʰaŋ1	
塊	kɔi5	
墳	huŋ2	
坦	tiaŋ2	名
壟	lɛŋ2	
型	hieŋ2	
墾	kʰɛŋ3	
埋	mai2	
城	ɕiaŋ2	
域	iɛʔ8	
基	ki1	
堆	tɔi1	
塑	su5	
塔	tʰaʔ7	
塞	sɛʔ7	名
填	tɛŋ2	
牆	tɕʰiɔŋ2	
墨	mɛʔ8	
墿	tyɛ6	
壁	pia5	
壯	tsɔŋ5	
聲	ɕiaŋ1	
殼	kʰɔʔ7	
外	ȵia6	
多	tɔ1	
夜	ia6	
够	kɛu5	
大	tai6	~小
天	tʰiɛŋ1	
夫	hu1	
夫	huɔ1	
頭	tʰau2	脑袋
夸	kʰua1	
奪	tɔʔ8	
奇	ki2	
奧	ɛu5	
女	ȵy3	
奶	ne3	娘~
奸	kaŋ1	
好	hau3	形
婦	pu6	
妖	iɛu1	
妹	mɔi5	
妻	tsʰe1	
姊	tɕi3	
姓	ɕieŋ5	
姜	kiɔŋ1	
姨	i2	
娘	ȵiɔŋ2	
婆	pɔ2	
婿	sai5	
嫁	ka5	
嫩	nɔŋ6	
嬉	hi1	玩儿
子	tsu3	
字	tɕi6	
存	tsɔŋ2	
孫	sɔŋ1	~子
孝	hau5	
孟	meŋ3	
學	hɔʔ8	
宅	tsɛʔ8	
安	aŋ1	
宋	suŋ5	
官	kuaŋ1	
定	tiaŋ1	
寶	pɔ3	
實	seʔ8	
審	seŋ3	
客	kʰa5	
害	hai6	
宴	iɛŋ5	
家	ka1	
容	iuŋ2	
寬	kʰuaŋ1	
賓	pieŋ1	
宿	suʔ7	
寄	kia5	
密	meʔ8	
富	hu5	
寒	haŋ2	
寒	kaŋ2	冷
寡	kua3	
寨	tsai6	
對	tɔi5	
尋	ɕyŋ2	
封	huŋ1	
射	ɕia6	
少	tɕiɛu3	多~
尖	tɕiɛŋ1	
塵	tieŋ2	
嘗	ɕiɔŋ2	
屍	ɕi1	
尺	tɕʰyɛ5	
尾	mɔi3	~巴
尿	ȵiɛu6	
局	kiɔʔ8	
層	tɕiɛŋ2	
屈	kʰuʔ7	
屋	uʔ7	
屎	sai3	
屑	ɕiɛʔ7	
屬	ɕiɔʔ8	
屢	ly3	
山	saŋ1	
歲	hue5	
嶺	liaŋ2	
岳	ŋɔʔ8	
岸	ŋaŋ6	
川	tɕyɛŋ1	
工	kuŋ1	
左	tsɔ3	
巨	ky2	
巫	hu1	
己	ki3	
巾	kyŋ1	
市	tɕʰi6	
布	puɔ5	
帥	sɔi5	
師	su1	
希	ɕi1	
帳	tiɔŋ5	蚊~
帖	tʰɛʔ7	
帘	liɛŋ2	
帚	tɕieu3	
帶	tai5	名
席	tɕʰyɛ6	草~
席	seʔ8	
幫	pɔŋ1	
帽	mɔ6	
平	paŋ2	
平	pieŋ2	
年	ȵiɛŋ2	
幸	hɛŋ6	
幻	uaŋ6	
幽	ieu1	
幾	ky3	~个
慶	kʰieŋ5	
牀	tsʰɔŋ2	
應	ieŋ5	答~
底	te3	
店	tɛŋ5	
廟	miɛu6	
府	hu3	
座	sɔi6	
庵	aŋ1	
康	kʰɔŋ1	
延	iɛŋ2	
建	kyɛŋ5	
開	kʰai1	
開	kʰy1	
异	i6	
弄	lɛŋ6	名
弓	kiuŋ1	
引	ieŋ3	
弟	tʰiɛ6	
張	tiɔŋ1	量
弦	ɕyɛŋ2	
弦	hyɛŋ2	
彎	uaŋ1	
歸	kue1	
當	tɔŋ5	~铺
录	liɔʔ8	
形	hieŋ2	
彪	piɛu1	
彭	pʰaŋ2	
影	iaŋ3	
役	iɛʔ8	
征	tɕieŋ1	
很	hɛŋ3	
律	lyʔ8	
徐	ɕy2	
得	tɛʔ7	晓~
徛	kʰia6	站
微	hue1	
心	seŋ1	
忍	ȵyŋ3	
志	tɕi5	
忙	mɔŋ2	
忠	tsuŋ1	
快	kʰe5	
念	nɛŋ6	
忽	huʔ7	
懷	huai2	
懷	kue2	
急	keʔ7	
怨	uɔŋ5	
怪	kuai5	
總	tsuŋ3	
恨	hɛŋ6	
恩	ɛŋ1	
恭	kiuŋ1	
息	seʔ7	
懇	kʰɛŋ3	
恶	ɔʔ7	形
懸	kɛŋ2	高
驚	kiaŋ1	
惜	seʔ7	
愁	tsʰɛu2	
慈	tsu2	
慌	huɔŋ1	
慢	mɛŋ6	
懂	tuŋ3	
懶	tiaŋ3	
戊	mɔ6	
戲	ɕie5	
戲	hiɛ5	
我	ua3	
戒	kai5	
或	hɛʔ8	
戰	tɕiɛŋ5	
戚	tsʰeʔ7	
房	huɔŋ2	
扁	piɛŋ3	
扇	ɕiɛŋ1	名
扇	ɕiaŋ5	动
手	tɕʰieu3	
打	ta3	
托	tʰɔʔ7	
擴	kʰɔʔ7	
掃	sau5	动
扶	hu1	
批	pʰi1	
找	tsau3	
承	ɕieŋ2	
把	pa3	
抓	tsau1	~牌
抓	tsa1	
折	ɕiɛʔ8	亏本
搶	tɕʰiɔŋ3	
報	pɔ5	
披	pʰi1	
抱	pɔ1	
抽	tʰieu1	
擔	taŋ5	名
擔	taŋ1	
拆	tʰia5	
拇	mu3	
拔	pɛʔ8	
拖	tʰa1	
拜	pai5	
攔	laŋ2	
撥	puaʔ7	
擇	tsɛʔ8	
拳	kuŋ2	
持	tɕi2	
挂	kua5	
指	tsai3	
指	tɕi3	
挖	uaʔ7	
挾	kiaʔ7	~菜
掉	tieu5	
掌	tɕiɔŋ3	
排	pe2	
接	tɕiɛʔ7	
推	tʰɔi1	
插	tsʰaʔ7	
換	uaŋ6	
揭	kʰiɛʔ7	
搓	tsʰɔ1	
搜	sau5	
搬	puaŋ2	
搭	taʔ7	
摆	pe3	
攤	tʰaŋ1	
摘	tia5	
撑	tʰaŋ1	
撕	ɕiɛ1	
撕	su1	
撞	tɔŋ6	
撮	tsʰɔʔ7	
操	tsʰɛu1	早~
擦	tsʰaʔ7	
改	kai3	
放	puŋ5	
放	huɔŋ5	
政	tɕieŋ5	
敵	teʔ8	
救	kieu5	
教	kau5	动
教	ka5	动
敢	kaŋ3	
㪗	tʰau3	展开
數	su5	动
數	su5	名
敲	kʰau1	
文	uŋ2	
齋	tsai1	
斗	tau3	一~
料	lɛu6	
斜	tɕʰia2	
斤	kyŋ1	~两
斧	puɔ3	
斬	tsaŋ3	
斷	tɔŋ6	拗~
新	seŋ1	
方	huɔŋ1	
施	su1	
旋	ɕ̃yɛŋ6	头旋
族	tsuʔ8	
旗	ki2	
無	mɔ2	
無	u2	
日	neʔ8	~头
舊	ku6	
早	tsa3	
時	ɕi2	
旺	uɔŋ6	
明	mieŋ2	
昏	huɔŋ1	
易	iɛ6	容易
春	tɕʰyŋ1	
是	ɕiɛ6	
晝	tau5	
曬	sa5	
曉	ɕiɛu3	
晚	uaŋ3	
晴	saŋ2	
智	tɕi5	
暑	ɕyɛ3	
暗	aŋ5	
暝	maŋ2	夜晚,原文记作冥
曲	kʰyɛʔ7	
更	kɛŋ1	
月	ŋuɔʔ8	
有	u6	
有	ieu3	
朋	pɛŋ2	
服	huʔ8	
望	uɔŋ6	
木	muʔ8	
未	mi6	
末	muaʔ8	
本	puɔŋ3	
术	syʔ7	
朱	tɕyɛ1	
朶	tɔ3	耳~
機	ki1	
殺	saʔ7	
雜	tsaʔ8	
李	li3	姓
杏	hɛŋ6	
村	tsʰɔŋ1	
條	tɛu2	
來	li2	
來	lai2	
杭	hɔŋ2	
杯	pɔi1	
杰	kiɛʔ8	
松	suŋ1	~树
板	pɛŋ3	
極	keʔ8	
林	lieŋ2	
果	kuɔ3	
枝	tɕiɛ1	
枝	ki1	
棗	tsɔ3	
柄	paŋ3	
染	ȵiɛŋ3	
櫃	kue6	
查	tsa2	调~
柱	tʰieu6	
柳	lieu2	
柴	tsʰa2	
標	piɛu1	
欄	laŋ2	
樹	tsʰa2	
樹	ɕy6	
栗	leʔ8	
樣	iɔŋ6	
根	kɛŋ1	
格	ka5	
桂	kyɛ5	
桃	tʰɔ2	
桌	tɔ5	
桑	sɔŋ1	
橋	kiɛu2	
樁	tsɔŋ1	
桶	tʰuŋ3	
夢	muŋ5	
梨	li2	
梯	tʰai1	
梳	se1	
棋	ki2	
棍	kuŋ5	
棒	pɔŋ6	
棕	tsuŋ1	
棚	pɛŋ2	
椅	iɛ3	
椒	tɕiɛu1	
椽	tʰyɛŋ2	
楚	tsʰu3	
楦	ɕyɛŋ5	
樓	lau2	
樓	lɛu2	
榜	pɔŋ3	
槌	tʰy2	
橫	huaŋ2	
櫻	ieŋ1	
樵	tsʰa2	原文记作柴
橘	keʔ7	
欠	kʰiɛŋ5	
次	tsʰu5	
歡	huaŋ1	
欣	ɕiɛŋ1	
歇	ɕiɛʔ7	
歌	kɔ1	
止	tɕi3	
正	tɕiaŋ5	~反
此	tsʰu3	
步	puɔ6	
武	u3	
歪	uai1	
死	ɕi3	
殿	tɛŋ6	
母	mu3	
每	mɔi3	
毒	tuʔ8	
比	pi3	
毛	mɔ2	
氏	ɕiɛ6	
民	mieŋ2	
气	kʰi5	
水	tɕy3	
永	iuŋ3	
汁	tsɛʔ7	
漢	haŋ5	
汗	kaŋ6	
江	kɔŋ1	
池	tiɛ2	
沉	tieŋ2	
沙	sa1	
沝	tɕy3	水
沫	muaʔ8	
河	ɔ2	
油	ieu2	
治	tʰai6	~鱼
泉	ɕ̃yɛŋ2	
法	huaʔ7	
波	pɔ1	
泥	ne2	
泥	ȵi2	
洗	se3	
洞	tuŋ6	
津	tɕyŋ1	
活	uaʔ8	
派	pʰai5	
流	lau2	
淺	tɕʰiɛŋ3	
漿	tɕiɔŋ5	
測	tsʰɛ7	
濟	tɕiɛ5	
渾	huŋ3	
濃	nuŋ2	
浙	tɕiɛʔ7	
浪	lɔŋ6	
浮	pʰu2	
浴	yɛ6	
海	hɔi3	
浸	tɕieŋ5	
涂	tʰu2	
消	ɕiɛu1	
涉	ɕiaʔ8	
漲	tiɔŋ5	
澀	sɛʔ7	
淡	taŋ2	
深	tɕʰieŋ1	
添	tʰiɛŋ1	
清	tɕʰieŋ1	
渣	tsa1	
溫	uɔŋ1	
渴	kʰaʔ7	
灣	uaŋ1	
源	ŋuɔŋ2	
溪	kʰe1	
滋	tsu1	
滑	huaʔ8	
滚	kuŋ3	
滿	muaŋ3	
灘	tʰaŋ1	
滴	teʔ7	
漏	lau6	
潭	tʰaŋ2	
灌	kuaŋ5	
火	hɔi3	
滅	miɛʔ8	
燈	tɛŋ1	
灰	hue1	
靈	lieŋ2	
竈	tsau5	
災	tsai1	
炒	tsʰa3	
炭	tʰaŋ5	
炮	pʰau5	
點	tɛŋ3	
爛	laŋ6	
烘	huŋ1	
燭	tɕyɛ5	
烟	iɛŋ1	
煩	huaŋ2	
燒	ɕiɛu1	
燙	tʰɔŋ5	
熱	ȵiɛʔ8	
焦	tɕiɛu1	
煠	saʔ8	煮
煤	mɔi2	
照	tɕiɛu5	
煮	tɕy3	
熊	ɕiuŋ2	
熏	ɕyŋ1	
熟	suʔ8	
熬	ŋɛu2	
燕	iɛŋ5	~子
爬	pa2	
愛	ai5	
爺	ia3	
爹	tia1	
爽	sɔŋ3	
片	paŋ2	
片	pʰiɛŋ6	
版	pɛŋ3	
牌	pe2	
牙	ŋa2	
牛	ŋu2	
牡	mɔ3	
牢	lɔ2	
物	uʔ8	
牯	ku3	
牽	kʰɛŋ1	
特	tɛʔ8	
犧	ɕi1	
犁	le2	
犬	kʰɛŋ3	
狀	tsɔŋ6	
狂	uɔŋ6	
狗	kɛu3	
狹	ɛʔ8	
獵	liɛʔ8	
猛	meŋ3	
猜	tsʰɔi1	
豬	ty1	
獻	ɕiɛŋ5	
猴	kau2	
玄	ɕyɛŋ2	
玉	ȵiɔʔ8	
王	uɔŋ2	
環	kʰuaŋ2	
環	uaŋ2	
現	ɕiɛŋ6	
珠	tɕyɛ1	
班	paŋ1	
琢	tɔʔ7	
琴	kʰieŋ2	
瓊	kʰieŋ2	
瓜	kua1	
瓦	ŋua6	名
瓶	pieŋ2	
甕	uŋ5	
甘	kaŋ1	
甜	tɛŋ2	
生	tsʰaŋ1	
生	sɛŋ1	
生	saŋ1	
用	iuŋ6	
甲	kaʔ7	
男	naŋ2	
畫	ua6	
暢	tʰiɔŋ5	
留	lieu2	
畜	huʔ7	~生
番	huaŋ1	
疏	su1	
療	lieu2	
瘡	tsʰɔŋ1	
病	paŋ6	
痒	ɕiɔŋ6	
痒	iɔŋ3	
痕	hɛŋ2	
痣	tɕy5	
痰	taŋ2	
痱	pue5	
癬	tɕʰiaŋ3	
登	tɛŋ1	
白	pa6	
百	pa5	
皮	pʰɔi2	
皺	tsɛu5	
益	ieʔ7	
盞	tsaŋ3	
鹽	iɛŋ2	名
鹽	ɕiɛŋ5	腌
盒	haʔ8	
盖	kai5	
盤	puaŋ2	
目	muʔ8	
直	teʔ8	
眉	mi2	
真	tɕieŋ1	
眼	ŋɛŋ3	
睏	kʰuŋ5	睡
督	tuʔ7	
知	tɕiɛ1	
短	tɔi3	
矮	e3	
石	ɕyɛ6	
磚	tɕyɛŋ1	
破	pʰua5	
破	pʰɔ5	
礎	tsʰu3	
硬	ŋɛŋ6	
碎	sɔi6	
碓	tai5	
碗	uaŋ3	
碟	tiɛʔ8	
碧	peʔ7	
磡	kʰaŋ5	
磨	mua2	动
磨	mɔ6	名词
禮	le3	
祖	tsu3	
神	seŋ2	
祠	su2	
票	pʰiɛu5	
祭	tɕiɛ5	
福	huʔ7	
离	liɛ2	
秃	tʰuʔ7	
秋	tɕʰieu1	
種	tsuŋ5	动
租	tsu1	
秤	tɕʰieŋ5	
秦	tɕieŋ2	
秧	ɔŋ1	
積	tɕeʔ7	
移	iɛ2	
税	ɕyɛ5	
稗	pʰe5	
稠	tʰieu2	
穩	uŋ3	
穴	ɕiaʔ8	
窮	kiuŋ2	
空	kʰuŋ1	有~
穿	tɕʰyɛŋ1	
突	tʰuɔʔ8	
窟	kʰuʔ7	
窠	kʰuɔ1	
豎	ɕy6	
端	tɔŋ1	
竹	tuʔ7	
笋	ɕyŋ3	
笑	tɕʰiɛu5	
筆	peʔ7	
笠	leʔ8	
符	huɔ2	
笨	puŋ6	
籠	luŋ2	
籠	lɛŋ2	
筋	kyŋ1	
筑	tuʔ7	
答	taʔ7	
篩	tʰai1	
簡	kaŋ3	
箍	kʰau1	
箕	ki1	粪~
算	sɔŋ5	
管	kuaŋ3	
籮	la2	
簫	ɕiɛu1	
箬	ȵyɛ6	
箭	tɕiɛŋ5	
箱	ɕiɔŋ1	
箸	ty6	
篇	pʰiɛŋ1	
籃	laŋ2	
籬	liɛ2	
篷	puŋ2	
篾	miɛʔ8	
簟	tɛŋ6	
簪	tsaŋ1	
簸	pua5	
簿	puɔ6	
米	mi3	名
粉	huŋ2	
粒	laʔ8	
粗	tsʰu1	
糶	tʰiɛu5	
粟	tɕʰyɛ5	
粟	suʔ7	
粥	tsuʔ7	
糞	huŋ5	
糧	liɔŋ2	
糉	tsuŋ5	
精	tɕieŋ1	
糊	kʰu2	
糍	ɕi2	
糖	tʰɔŋ2	
糟	tsau1	
糯	nɔ6	
素	su5	
索	sɔ5	
緊	kieŋ3	
紫	tɕiɛ3	
紅	ɛŋ2	
約	iaʔ7	
紀	ki3	
納	naʔ8	
紙	tɕia3	
紡	huɔŋ3	
紡	pʰuŋ3	
紐	ȵieu3	
線	ɕiɛŋ5	
組	tsu3	
細	se5	小
織	tseʔ7	
終	tsuŋ1	
經	kieŋ1	
絨	iuŋ2	
結	kiɛʔ7	
絶	tɕyɛʔ8	
繩	ɕieŋ2	
綢	tʰieu2	
綠	lyɛ6	
縛	puɔ6	
縫	puŋ2	动
纏	tiɛŋ2	~脚
縮	suʔ7	
缸	kɔŋ1	
缺	kʰyɛʔ7	
缺	tɕʰyɛʔ7	
缽	puaʔ7	
网	mɔŋ3	
羅	lɔ2	
罰	huaʔ8	
罷	pa6	
罩	tsau5	
罪	tsɔi6	
置	ti5	
署	ɕy6	
翠	tsʰue5	
翻	huaŋ1	
老	lau3	
耕	kɛŋ1	
耙	pa2	犁~
耳	ȵi3	~朵
耽	taŋ1	
聶	ȵiɛʔ7	
肉	nuʔ8	
肌	tɕi1	
肝	kaŋ1	
腸	tɔŋ2	
肥	pue2	
肩	kiɛŋ1	
肯	kʰɛŋ3	
育	iɔʔ7	
肺	hiɛ5	
腫	tsuŋ3	
脹	tiɔŋ5	
膽	taŋ3	
胎	tʰai1	
胡	hu2	
胸	ɕiuŋ1	
能	nɛŋ2	
脂	tsu1	
脉	ma6	
脊	tɕia5	
臍	tsai2	
腦	nau3	
膿	nuŋ2	
脱	tʰɔʔ7	
腡	lɔi2	
脾	pʰi2	
腔	kʰuŋ1	
腹	pu6	
腹	puʔ7	
腿	tʰai3	
臀	tɔŋ2	
自	tsu6	
臭	tsʰau5	
舀	iɛu3	
舂	tsuŋ1	
舅	ku6	
舅	kieu6	
舌	ɕiɛʔ8	
舒	ɕy1	
舞	u3	
舵	tɔ6	
船	ɕyŋ2	
色	sɛʔ7	
藝	ȵiɛ6	
艾	ŋai6	植物
節	tsɛʔ7	
節	tɕiɛʔ7	
芋	y6	
芝	tɕiɛ1	
芥	ka3	~菜
芥	kua3	
花	hua1	
芳	huɔŋ1	
苧	te6	
苏	su1	
苗	miɛu2	
范	huaŋ6	姓
茄	kyɛ2	
莖	tɕieŋ1	
茶	ta2	
草	tsʰau3	
榮	iuŋ2	
藥	yɛ6	
荷	hɔ2	
蓮	liɛŋ2	
获	uɔ6	
鶯	ieŋ1	
菊	kiɔʔ7	
菜	tsʰai5	
菱	lieŋ2	
營	iuŋ2	
蕭	ɕiɛu1	
薩	saʔ7	
落	lɔʔ8	
著	tyɛ5	~衣
著	tyɛ6	睏~
葛	kaʔ7	
葬	tsɔŋ5	
葱	tsʰuŋ1	
蒸	tɕieŋ1	
蓆	tɕʰyɛ6	草~,原文记作席
蔡	tsʰai5	
蔬	su1	
薄	pɔ6	厚~
薛	ɕyɛʔ7	
薸	pʰiɛu2	浮萍
藕	ŋɛu3	
藤	tieŋ2	
虎	hu3	
虚	ɕy1	
蟲	tʰɛŋ2	
虱	sɛʔ7	
蝦	ha2	
蟻	ȵia3	
蚊	uŋ2	~虫
蠶	tɕʰiɛŋ2	
蛇	ɕia2	
蛛	tɕyɛ1	
蟄	teʔ8	
蜀	seʔ7	原文记作一
蜂	pʰuŋ1	
蠟	laʔ8	
融	iuŋ1	
螺	lɔi2	
蟋	syʔ7	
蠓	muɔŋ2	~虫,原文记作蚊
血	hɛʔ7	
行	hɛŋ6	~为
街	ke1	
衣	i1	
表	piɛu3	
衫	saŋ1	
襖	ɔ3	
袋	tɔi6	
袜	muaʔ8	
被	pʰɔi6	名
裝	tsɔŋ1	
裙	kuŋ2	
褲	kʰu5	
裹	kuɔ3	
西	se1	
見	kiɛŋ5	
角	kɔ5	动物的
角	kɛʔ7	
解	kai3	~开
言	ȵiɛŋ2	
計	kiɛ5	
認	ȵieŋ6	
討	tɔ3	
讓	ȵiaŋ6	
訓	ɕyŋ5	
記	ki5	
講	kɔŋ3	
許	ɕy3	
識	seʔ7	
訴	su5	
詞	su2	
話	ua6	
請	tɕiaŋ3	
讀	tuʔ8	
談	taŋ2	
謀	mɛu2	
謬	miɛu6	
譚	tʰaŋ2	
譜	pʰuɔ3	
谷	kuʔ7	
豆	tau6	
豪	hɛu2	
貌	mau6	
財	tsai2	发~
責	tsɛʔ7	
賢	ɕiɛŋ2	
敗	pai6	
賬	tiɔŋ5	
貨	huɔ5	
貪	tʰaŋ1	
貧	pieŋ2	
貼	tʰɛʔ7	
貴	kue5	
賊	tsʰɛʔ8	
贓	tsɔŋ1	
資	tsu1	
賭	tu3	
賜	tsʰu5	
賠	pɔi2	
賽	sɔi5	
贏	iaŋ2	
走	tsau3	
趙	tɕiɛu6	
趁	tʰieŋ5	原文记作赚
越	yɛʔ8	
足	tɕiɔʔ7	
趾	tɕi3	
跟	kɛŋ1	
跪	kue6	
路	lu6	
踏	taʔ8	
踢	tʰeʔ7	
身	seŋ1	
車	tɕʰia1	汽~
轉	tyɛŋ3	~身
軛	a5	
輪	lyŋ2	
軟	ȵyɛŋ3	
輕	kʰieŋ1	
載	tsai5	动
轎	kiɛu6	
輸	ɕyɛ1	~赢
輸	ɕy1	运~
辛	seŋ1	
辣	laʔ8	
邊	piɛŋ1	
達	taʔ8	
過	kuɔ5	
迎	ȵieŋ2	
運	yŋ6	
近	kyŋ6	
還	huaŋ2	动
進	tɕieŋ5	
遠	yɛŋ3	
遠	huɔŋ6	
連	liɛŋ2	
遲	ti2	
追	tɕy1	
退	tʰɔi5	
送	suŋ5	
適	seʔ7	
遞	te6	
通	tʰuŋ1	
速	suʔ7	
造	tsau6	
逼	peʔ7	
遁	tyŋ6	
遇	ȵy6	
道	tau6	
遮	tɕia1	
避	pi3	
鄧	tɛŋ6	
邦	pɔŋ1	
鄰	lieŋ2	
郎	lɔŋ2	
鄭	taŋ6	
郡	kyŋ6	
郭	kɔʔ7	
酉	ieu3	
配	pʰɔi5	
酒	tɕieu5	
酥	su1	
醬	tɕiɔŋ5	
酸	sɔŋ1	
醉	tɕy5	
醋	tsʰu5	
醒	tsʰaŋ3	
重	tɛŋ6	形
重	tsuŋ2	重~
量	liɔŋ1	动
金	kieŋ1	
針	tsɛŋ1	
釘	tieŋ1	名
釣	tiɛu5	
釵	tsʰai1	
钟	tsuŋ1	
鉤	kau1	
鉗	kʰiɛŋ2	
鑽	tsɔŋ5	名
鐵	tʰiɛʔ7	
銅	tɛŋ2	
鍘	tsaʔ8	
銃	tsʰuŋ5	
銀	ȵyŋ2	
鋪	pʰuɔ1	十里
鎖	sɔ3	
鋤	tʰy6	
錫	seʔ7	
鑼	lɔ2	
錘	tʰy2	
鋸	ky5	
鍬	tɕʰieu1	
鎮	tieŋ5	
鏡	kiaŋ5	
鐲	sɔ6	
長	tɔŋ2	~短
