#漢字	音標	解釋
#簡稱	/	羅田大河岸
#全稱	/	羅田大河岸話
#聲母	/	
#韻母	/	
#聲調	/	21 1 1a 陰平 ꜀,42 2 1b 陽平 ꜁,45 3 2 上 ꜂,,21 5 3a 陰去 ꜄,33 6 3b 陽去 ꜅,213 7 4 入 ꜆
#版本	/	2022-03-17
#錄入人	/	鶩高赭紗匕
#參考資料	/	《湖北羅田(大河岸)方言同音字匯》
#說明	/	
儀	ȵi2	
仰	ȵiɑŋ3	
件	tɕian6	
價	tɕiɑ5	
任	ʯen6	
份	fen6	
伊	i6	称呼母亲
伍	u3	
伏	fu2	三～天
伏	pu6	
伐	fɑ6	
休	ɕiəu1	
衆	tʂoŋ5	
優	iəu1	
伙	xo2	弟兄～的:弟兄们
伙	xo3	搅～:合伙
會	khuai5	～计
會	xuei6	开～
傘	san3	
傳	tʂhʯan2	
傳	tʂʯan6	～记
伢	ŋɑ2	细～儿:小孩子
傷	ʂɑŋ1	
伯	pe7	称呼父亲
伴	pan6	
伸	tʂhen1	～手
伸	ʂen1	～直
佃	tian6	
位	uei6	
低	ti1	
住	tʂʯ6	
佐	tso3	
佑	iəu6	
體	thi3	
余	ʯ2	
佛	fu7	
作	tso7	农～物
佣	ioŋ6	～
使	sɿ2	
侄	tʂʅ6	～儿
侍	sɿ6	
供	koŋ1	
供	koŋ5	～祖人:供奉祖先
依	i1	
俠	ɕiɑ2	
側	tshe7	～边儿
便	pian6	方～
促	tshəu7	
俊	tɕin5	～俏
俏	tɕhiau5	
俗	səu6	
保	pau3	
信	ɕin5	
儉	tɕian6	
修	ɕiəu1	
倍	pi6	
倒	tau3	颠～
倒	tau5	～水
倔	tʂʯe7	～犟
借	tɕie5	
借	tɕhie5	～口
倦	tʂʯan6	
債	tsai5	
假	tɕiɑ3	真～
偏	phian1	
做	tsəu5	
停	thin2	
健	tɕian5	
偶	ŋəu3	
偷	thəu1	
傢	kɑ1	
催	tɕhi1-	
傲	ŋau6	
傻	ʂɑ3	
像	ɕiɑŋ5	～片
像	tɕiɑŋ6	好～:很像
僻	phi5	
兒	ɚ2	
兄	ɕioŋ1	
充	tʂhoŋ1	
兆	ʂau6	～头:预兆
先	ɕian1	
光	kuɑŋ1	
光	kuɑŋ5	～烫:形容锄头好用
免	mian3	
兌	ti5	
兔	thəu5	
兜	təu1	～儿:口袋
入	ʯ7	～门儿
八	pɑ7	
公	koŋ1	
六	liəu2	
蘭	lan2	
共	koŋ6	
關	kuan1	
興	ɕin1	～旺
興	ɕin5	高～
兵	pin1	
具	tʂʯ6	
典	tian3	
養	iɑŋ3	
獸	ʂəu5	
冊	tshe7	书～
冒	mau6	
寫	ɕie3	
農	loŋ2	
冠	kuan1	
冠	kuan5	～军
冥	min2	
冬	toŋ1	
冰	pin1	
冲	tʂhoŋ1	张家～:村名
决	tʂʯe7	
冷	len3	
凍	toŋ5	
淨	tɕin6	
準	tʂʯen3	
凉	liɑŋ2	
凌	lin6	～冰吊儿:冰
減	tɕian3	
湊	tshəu5	
凝	ȵin6	～固
几	tɕi3	
凡	fan2	
鳳	foŋ6	～山:镇名
凱	khai3	
凳	ten5	
凶	ɕioŋ1	
出	tʂhʯ7	
凼	tɑŋ5	阳沟～:室内用于囤水、排水的沟
鑿	tso6	～子
刀	tau1	
分	fen1	
切	tɕhie7	～开
划	xuɑ2	～水:游泳
劉	liəu2	
創	tshɑŋ5	
初	tshəu1	
判	phan5	
刨	phau2	～土:挖地
刨	pau6	～子:推刮木料，使之平滑的工具
利	li6	
别	pie6	区～
刮	kuɑ7	
到	tau5	
制	tʂʅ5	
刷	ʂʯɑ7	
刺	tshɿ5	
刻	tɕhio7	尖～
刻	khe7	一～儿:片刻之间
剁	to5	
劑	tɕi5	
剃	thi5	
削	ɕio7	
前	tɕhian2	
剮	kuɑ3	喝茶～油
剮	kuɑ7	衣裳～破啰:划破
剖	pho3	
剜	uan2	
剝	po7	～栗子
劇	tʂʯ5	
剩	ʂen6	
剪	tɕian3	
副	fu5	
割	ko7	
劈	phi7	～柴
力	li7	
勸	tʂhʯan5	
辦	pan6	
功	koŋ1	
加	tɕiɑ1	
務	u6	
動	toŋ6	
助	tsəu6	
努	ləu3	
勁	tɕin5	
勞	lau2	
勢	ʂʅ5	
勇	ioŋ3	
勒	le7	
勤	tɕhioŋ2-	～快
勤	tɕhin2=	～奋
勾	kəu5	～当
包	pau1	
化	xuɑ5	
北	pe7	
匙	tʂhʅ3	
匠	tɕiɑŋ6	
匡	khuɑŋ1	～河:地名
匣	ɕiɑ6	～子
匣	tɕiɑ7	
匪	fei3	
匹	phi2	一～布
匹	phi5	马～
區	tʂhʯ1	
醫	i1	
千	tɕhian1	
升	ʂen1	
午	u3	
半	pan5	
卒	tsəu7	
單	tan1	
賣	mai6	
南	lan2	
博	po7	～士:木匠
占	tʂan1	
占	tʂan5	～用
占	tʂan6	～倒:占领
卡	khɑ3	～刺
印	in5	
危	uei2	
卵	lan3	
卷	tʂʯan3	
卸	ɕie5	～下来
廠	tʂhɑŋ3	
历	li7	
壓	ŋɑ7-	～倒
壓	iɑ7=	～力
厭	ian5	～人:讨人厌
厚	xəu6	
原	ʯan2	
去	tɕi5-	出～
去	tʂhʯ5	～年
縣	ɕian6	
参	tshan1	
参	sen1	人～
又	iəu6	
叉	tshɑ7	～腰
雙	ʂʯɑŋ1	
反	fan3	
发	fɑ7	头～
叔	ʂəu7	面称父亲的弟弟或丈夫的弟弟
取	tɕhi3	
變	pian5	
叛	phan5	
疊	tie7	
口	khəu3	
古	ku3	挖～:指老人们讲过去的事
句	tʂʯ5	
只	tʂʅ3	～有
只	tʂʅ7	一～
叫	tɕiau5	
召	tʂau1	～唤
可	kho3	
台	thai2	墁～儿:台阶
右	iəu6	
司	sɿ1	
嘆	than5	～气
吁	ʯ1	～气:顺气
各	ko7	
合	xo6	双手～十
吉	tɕi7	
吉	tɕie7	
吊	tiau5	～丧
同	thoŋ2	
名	min2	
吐	thəu3	～痰
吐	thəu5	呕～
向	ɕiɑŋ5	～阳
吞	then1	
含	xan2	～口水
听	thin5	
吵	tshau3	～嘴:吵架
吹	tʂhʯ1	
吼	xəu3	～叫
吼	xoŋ3	～两声
呆	tai1	
告	kau5	
嘔	ŋəu1	作～
周	tʂəu1	抓～
味	uei6	好有～儿:有意思
呼	xu1	
命	min6	
咀	tɕi3	姚家～:地名
和	xo2	
咒	tʂəu5	骂
咕	khu6	～之巴哝:形容说话含糊、不清楚
咬	ŋau3	
咳	khe7	
咸	xan2-	～淡
咸	ɕian2=	～阳
咽	ie1	～喉咙
咽	ian5	吞～
哄	xoŋ3	
響	ɕiɑŋ3	～马:强盗
哐	khuɑŋ3	～散:彻底散架
啞	ŋɑ3	
哥	ko1	
哪	lɑ3	～个
哭	khu7	
哽	ken3	
唆	so1	调～:怂恿
脣	tʂhʯen2	
唐	thɑŋ2	
唦	ʂe6	句末语气词
唱	tʂhɑŋ5	
啃	khen3	
啄	tso7	～木鸟
商	ʂɑŋ1	
啤	phi2	
嘖	tse5	不耐烦时发出的声音
啮	ŋe6	咬
喂	ʯ5	
善	ʂan6	
喉	xəu2	
喊	xan3	
喘	tʂhʯan3	～气
喜	ɕi3	
喝	xo7	～水
喫	tɕhi7	～饭:吃饭
喳	tʂɑ1	
噴	fen5	～水
噴	phoŋ5	香～了的:形容很香
嗉	səu5	鸡～子
嗽	səu5	咳～
嘈	tshau2	
嘚	te6	复数标记
囑	tʂəu7	
嘴	tɕi3	
噎	i7	打～儿:打饱嗝
噎	ie7=	～倒啰:哽住了
器	tɕhi5	
噪	tsau6	～人:吵人
嚇	xe7	～倒啰
嚼	tɕio6	嘴儿～～的:形容唠叨
嚼	tɕhio6	紧～个么事唦:不停地说什么呢
嚼	tɕiau6	乱～:瞎说
四	sɿ5	
回	xuei2	
因	in1	
团	than2	～脸:圆脸
囤	then6	
囥	khɑŋ5	藏
困	khuen5	
囱	tʂhoŋ2	烟～
圍	uei2	
固	ku5	
國	kue7	
圖	thəu2	
圓	ʯan2	
圈	tʂhʯan1	花～
圈	tʂʯan6	猪～
土	thəu3	
在	tsai6	
地	ti6	
場	tʂhɑŋ3	
址	tʂʅ3	
坎	khan3	
壞	xuai6	
坐	tso6	
坑	khen1	
塊	khuai3	几～钱
塊	khuai5	一～肉
坛	than2	
墳	fen2	
坡	pho1	
坨	tho2	泥巴～儿
坪	phin3	
坳	ŋau5	山～儿
垂	tʂhʯei2	
垒	li3	
墾	khen3	
墊	tian6	
垮	khuɑ3	
埂	ken3	田～
埋	mai2	
城	tʂhen2	
埯	ian3	
基	tɕi1	
堂	thɑŋ2	
堆	ti1	
塹	tɕhian5	上丘田与下丘田之间落差形成的坡度
堡	pau3	滕家～:地名
堰	ian5	塘～:池塘
堵	təu3	
壪	uan1	地名
塌	thɑ7	～方
塔	thɑ7	
塘	thɑŋ2	水～:水池
塞	se7	
填	thian2	
墓	mo6	
牆	tɕhiɑŋ2	
增	tsen1	
墩	ten1	
壁	pi7	隔～:邻居
壅	ioŋ1	～塞
壩	pɑ5	堤～
壯	tsɑŋ5	
聲	ʂen1	
殼	kho7	
壺	xu2	
處	tʂhʯ3	相处
處	tʂhʯ5	～所
复	fu7	～杂
夏	ɕiɑ6	
夕	ɕi7	
外	uai6	
多	to1	
夜	ie6	
够	kəu5	
大	tɑ6	对母亲或伯父妻室的称呼
大	tai6	～家
天	thian1	
太	thai5	面称祖父母
夯	xɑŋ6	打～
失	ʂʅ7	～误事:耽误
頭	thəu2	
夸	khuɑ1	
夾	kɑ7-	～倒
夾	tɕiɑ7=	～带
奪	to6	
契	tɕhi5	
奔	pen1	～跑
獎	tɕiɑŋ3	
套	thau5	
奠	tian6	
奤	thai3	～声昂气的:说话与本地人不同，有故意撇腔的意思
女	ɳʯ3	
女	mi5	～儿:猫
奶	lai1	面称祖母
奶	lai3	
奸	tɕian1	吝啬
她	thɑ1	
婦	fu5	
媽	mɑ5	
妖	iau1	
妙	miau6	
妥	tho3	～当
妨	fɑŋ2	
妹	mi6	
妾	tɕhie7	
姊	tsɿ3	
始	ʂʅ3	
姐	tɕie3	
姑	ku1	
姓	ɕin5	
委	uei3	
姚	iau2	
姨	i2	
威	uei1	
嬌	tɕiau1	
娘	ȵiɑŋ2	
婆	pho2	
婚	xuen1	
嬸	ʂen3	～娘
婿	ɕi6	
媒	mi2	做～
媳	ɕi7	
嫁	kɑ5-	～女儿
嫁	tɕiɑ5=	出～
嫂	sau3	
嫌	ɕian2	讨人～:讨人厌
嫡	ti7	
嫩	len6	～喜了的:形容很嫩
子	tsɿ3	
孔	khoŋ3	钻～儿
字	tsɿ6	
存	tshen2	
孫	sen1	
孝	ɕiau5	
孟	moŋ6	
季	tɕi5	
學	ɕio6	
孽	ȵie7	作～
它	thɑ1	
守	ʂəu3	
安	ŋan1	
完	uan2	
宗	tsoŋ1	
官	kuan1	
定	tin6	
宜	ȵi2	合～:合适
寶	pau3	
實	ʂʅ6	
客	khe7	过～:招待客人
宣	ɕian1	
室	ʂʅ7	
宰	tsai3	
害	xai6	
宵	ɕiau1	
家	kɑ1-	称呼外公外婆
家	tɕiɑ1=	挨～挨户
容	ioŋ2	
寬	khuan1	
宿	ɕiəu3	住一～:住一晚
宿	ɕiəu5	星～
宿	səu7	～舍
寄	tɕi5	
密	mi7	
富	fu5	
寒	xan2	～□tɕin21:蚯蚓
察	tshɑ7	观～
寡	kuɑ3	～汉条:单身汉
寨	tsai6	黄狮～:地名
寸	tshen5	
對	ti5	
寺	sɿ6	
尋	tɕhin2-	～钱:赚钱
尋	ɕin2=	～人启事
壽	ʂəu6	
封	foŋ1	
射	ʂe6	
小	ɕiau3	
少	ʂau3	多～
少	ʂau5	～年
尔	li3	第二人称代词
尔	n3	第二人称单数
尕	kɑ1	女子～:女孩子
尘	tʂhen2	
就	tɕiəu6	
尺	tʂhʅ7	
尼	ȵi2	
尾	uei3	
尿	ȵiau6	
局	tʂʯ7	
屁	phi5	
層	tshen2	
屉	thi5	
屋	u7	
屎	ʂʅ3	
屏	phin2	
屐	tɕi7	木～儿:木制拖鞋
屑	ɕie7	不～
展	tʂan3	
屙	ŋo1	～屎
屢	li3	
屯	then6	
山	san1	
歲	ɕi5-	几～
歲	sei5=	压～钱
岔	tʂhɑ5	～路
崗	kɑŋ5	
岭	lin3	
岳	io7	～老头:岳父
岸	ŋan6	
峽	ɕiɑ2	
崖	ŋai2	山～
崩	pen1	垮～风:塌方
崴	uai3	
嵌	khan1	
川	tʂhʯan1	
工	koŋ1	
左	tso3	
巧	tɕhiau3	
差	tʂhɑ1	
巴	pɑ1	
市	ʂʅ6	
布	pu5	
帥	ʂʯai5	丢车保～:象棋用语
帆	fan2	～布鞋
師	sɿ1	
帳	tʂɑŋ5	
帕	phe7	
帖	thie7	～儿
帘	lian2	
帚	tʂəu6	扫～
帶	tai5	
席	ɕi6	
幫	pɑŋ1	
常	tʂhɑŋ2	
帽	mau6	
幅	fu7	
幕	mo6	～布
幕	mo7	
干	kan1	
干	kan5	
年	ȵian2	
幸	ɕin6	
幺	iau1	～二三:一二三;老～:面称弟兄中排行最末的
廣	kuɑŋ3	
慶	tɕhin5	
牀	tshɑŋ2	
庫	khu5	
應	ɕin5	～当
應	in5	～七:儿女守孝，最多守七个七，即四十九天
底	ti2	
店	tian5	
廟	miau6	
度	təu6	
座	tso6	
庵	ŋan1	
康	khɑŋ1	
廯	ɕian3	
建	tɕian5	
開	khai1	
弄	loŋ5	～儿:小巷子
弄	loŋ6	动词
弓	koŋ1	弹～
引	in3	
弟	ti6	
彎	uan1	
弱	ȵio7	
彈	than2	～棉花
彈	tan6	～弓
强	tɕhiɑŋ2	
彀	kəu5	往上～
當	tɑŋ1	～时
當	tɑŋ5	
录	ləu7	
彩	tshai3	
影	in3	
徹	tʂhe5	
往	uɑŋ3	
很	xen3	
徐	ɕi2	姓
徒	thəu2	
得	te1	
德	te1	
心	ɕin1	
憶	i5	
忍	ʯen3	
志	tʂʅ5	
忘	uɑŋ6	
忙	mɑŋ2	
忽	xu7	忽然:～兜地打个大炸雷(忽然打个炸雷)
忿	fen5	气～～的:生气的样子
懷	xuai2	
慫	soŋ3	
慪	ŋəu5	～气:生闷气
怕	phɑ5	
憐	lian2	
思	sɿ1	
急	tɕi7	
怨	ʯan5	埋～
怪	kuai5	古～
總	tsoŋ3	
恨	xen6	
恩	ŋen1	
恰	tɕhiɑ7	
恶	ŋo7	善～
惱	lau3	～火:生气
悄	tɕhiau3	
悔	xuei5	
懸	ʂʯan2	～鸟儿:蝉
情	tɕhin2	说～
惑	xue6	
惜	ɕi7	
惠	xuei5	
慘	tshan3	
慚	tshan2	
慣	kuan5	～□ʂʅ45:娇惯
想	ɕiɑŋ3	
惹	ʯe3	
愁	tshəu2	发～
意	i5	
愚	ʯ2	
感	kan3	
愧	khuei5	
願	ʯan6	
慈	tshɿ2	
慌	xuɑŋ1	
慢	man6	
慧	xuei5	
憋	pie7	
憨	xan1	
懂	toŋ3	
懶	lan3	
懵	moŋ3	
戲	ɕi5	唱～
成	tʂhen2	
我	ŋo3	
戰	tʂan5	
戚	tɕhi7	亲～
截	tɕie6	几～儿
截	tɕie7	～成两半
戳	tsho6	
戴	tai5	
戶	xu6	
戽	xu5	～田:将草踩进泥巴地里，也说“～脚”
房	fɑŋ2	
扁	pian3	
扇	ʂan5	
手	ʂəu3	
才	tshai2	
扎	tsɑ7	～针
扑	phu7	～倒
打	tɑ3	
托	tho1	
扣	khəu5	～倒:系上
擴	kho7	
掃	sau3	打～
掃	sau5	～帚
扭	ȵiəu2	～软:软弱无力
扭	ȵiəu3	～头:转过脸来
扭	ȵiəu5	～下子:摇摆
扮	pan6	
扯	tʂhe3	～皮拉筋:互相找麻烦
擾	ʐau3	
扳	pan1	
扳	pan3	动词，往下或往里拉
扶	fu2	
批	phi1	
找	tʂau3	
承	tʂhen2	
技	tɕi6	
抄	tshau1	
把	pɑ3	
抓	tʂʯɑ1	
投	thəu2	
抖	təu3	
抗	khɑŋ5	
折	tʂe7	
折	tʂe7	～断
折	ʂe7	～了:断了
摳	ŋəu1-	抓取
摳	khəu1=	～～缩缩:小气、吝啬
搶	tɕhiɑŋ3	
護	xu6	
報	pau5	
披	phi1	
抬	thai2	～嫁菲:抬嫁妆
抱	pau6	
抵	ti2	
抹	mo3	～掉
抹	mɑ7	～桌子
抹	mo7	
抻	tʂhen1	～敨:干净、整洁
抽	tʂhəu1	
抿	min3	～嘴
拄	tʂhʯ3	
擔	tan1	
擔	tan6	挑一～柴
拆	tshe7	
拈	ȵian1	
拉	lɑ1	
拌	pen6	～菜
拍	phe7	
拐	kuai3	好～:很调皮
拔	pɑ6	
拖	tho1	
招	tʂau1	
拜	pai5	
攏	loŋ3	
揀	tɕian3	
擁	ioŋ5	
攔	lan2	
擇	tse6	～菜:采集菜
擇	tshe6	～菜:挑选菜
括	kuɑ7	
拱	koŋ3	～卒
拳	tʂhʯan2	
拴	ʂʯan1	～牛
拼	phin1	
拽	tʂʯai5	拉、扯
拾	ʂʅ6	～粪
拿	lɑ2	
挂	kuɑ5	
指	tʂʅ3	
按	ŋan5	
挎	khuɑ5	～包
挑	thiau1	
挖	uɑ7	～土
挾	ɕie6	～倒:搀扶
挾	kɑ7	～菜:拈菜
擋	tɑŋ3	
掙	tsen1	
擠	tɕi3	
揮	xuei1	
挨	ŋai1	
挪	lo2	
挫	tsho5	
挺	thin3	
挽	uan3	～袖子
捅	thoŋ1	
捆	khuen3	
捉	tso7	～鱼儿
捎	sau1	
捏	ȵie7	
捐	tʂʯan1	
撈	lau5-	～钱:偷钱
撈	lau1=	打～
撿	tɕian3	
換	xuan6	
捧	phoŋ3	
据	tʂʯ5	
捱	ŋai2	
捲	tʂʯan3	
捶	tʂhʯ2	
捶	tʂhʯei2	
捻	ȵian3	
掀	ɕian1	
掂	tian5	
掇	to7	～凳子
掉	thiau3	～头
掉	tiau5	落
掌	tʂɑŋ3	
掏	thau1	取
掐	khɑ7	
排	phai2	
掠	lio7	
探	than5	
接	tɕie7	
推	thi1	
掫	tʂəu3	托起
掭	thian5	
揉	ʐəu3	
揍	tsəu5	打
描	miau2	～红
提	thi2	
插	tshɑ7	～秧
揖	i7	作～儿:拱手行礼
揞	ian6	～灰:撒灰
揩	khai1	
揪	tɕiəu1	～巴:将头发盘成髻
揪	tɕiəu5	一把～住
揭	tɕie7	
攬	lɑŋ3-	～柴:把柴收拢
攬	lan3	大包大～
擱	ko7	
摟	ləu3	
攪	tɕiau3	～伙:合作
搊	tshəu3	把凳子～起来:从凳子的一端或一侧用力使之翻倒
搓	tsho1	
搛	khan2	
搜	səu1	
搞	kau3	
搣	mie3	～断
搣	mie7	～栗子:掰开熟栗子的壳
搧	ʂan1	
搬	pan1	
搭	tɑ7	～车:乘车
搲	uɑ3	～米
搽	tʂhɑ2	
摁	ŋen5	
摆	pai3	
摇	iau2	
攤	than1	
摘	tse7	
摞	lo6	～起来
摸	mo7	
撇	phie7	
撑	tshen5	
撒	sɑ3	～肥
撞	tshɑŋ6	碰～
播	po1	
撮	tso7	一～毛
撮	tʂho7	～虾子:捞虾
撰	tʂʯan6	
擀	kan3	
操	tshau1	
擦	tshɑ7	
擩	ȵiau5	插、塞
攀	phan1	～亲
攢	tsan3	
攮	lɑŋ3	
支	tʂʅ1	
收	ʂəu1	
改	kai3	
放	fɑŋ5	
故	ku5	
效	ɕiau6	
敵	ti7	
敏	min3	
救	tɕiəu5	
教	tɕiau1	～书先生
教	tɕiau5	～子有方
敞	tʂhɑŋ3	
敢	kan3	
散	san3	
散	san5	
敨	thəu3	抻～:干净、整洁
敬	tɕin5	
數	səu3	动词
數	səu5	名词
敲	khau1-	～门
敲	tɕhiau3=	～竹杠子:敲诈
整	ken3	～天
文	uen2	
斑	pan1	
斗	təu3	几～米
斗	təu5	打～
料	liau6	
斜	ɕiɑ3-	～倒:歪着
斜	ɕie2=	～坡
斤	tɕin1	
斥	tʂhʅ5	刺～皮:调皮
斧	fu3	～头
斬	tsan3	
斷	tan6	
斯	sɿ1	
新	ɕin1	
方	fɑŋ1	
施	ʂʅ1	～凉:乘凉
旁	phɑŋ2	
旅	li3	
旋	ɕian2	～转
族	tshəu7-	家～
族	tshəu6=	民～
日	ɚ7	
旦	tan6	
舊	tɕiəu6	
早	tsau3	
旱	xan6	
時	ʂʅ2	背～:不走运
旺	uɑŋ6	火～
昂	ŋɑŋ2	～头
昆	khuen1	
昌	tʂhɑŋ1	
明	min2	
昏	xuen1	
易	i6	容～
星	ɕin1	
映	in5	～山红:杜鹃花
春	tʂhʯen1	
昧	mi6	
昨	tso6	
是	ʂʅ6	
晝	tʂəu5	下～:下午
顯	ɕian3	
晃	uɑŋ5	～人:光亮刺眼
晃	xuɑŋ6	
晏	ŋan5-	～昼:上午
晏	ian5=	姓
曬	sai5	
曉	ɕiau3	
暈	xuen1	～车
晚	uan3	
晦	xuei5	～气:不吉利
晨	tʂhen2	
普	phu3	
景	tɕin3	
晴	tɕhin2	
智	tʂʅ5	
暑	ʂʯ3	
暖	lɑŋ3-	～和
暖	lan3	
暗	ŋan5	
暴	pau6	
曲	tɕhiəu7	
更	ken1	～换
更	ken5	～加
曹	tshau2	姓
替	thi5	
最	tɕi5	～好:程度副词
月	ʯe7	
有	iəu3	
服	fu6	
朗	lɑŋ3	
望	uɑŋ6	
朝	tʂau1	明～儿:明天
朝	tʂhau2	～代
期	tɕhi1	
木	mo7	
本	pen3	
术	ʂʯ7	白～
朵	to3	
機	tɕi1	
朽	ɕiəu3	～木:枯木
雜	tsɑ6	～物
權	tʂhʯan2	
杆	kan3	
杈	tʂhɑ1	扬～:用来戳草的农具
杈	tʂhɑ5	树～
杉	ʂɑ1	～树
李	li3	
杏	ɕin6	～子
材	tshai2	
村	tshen1	
杖	tʂɑŋ6	擀面～
杠	kɑŋ5	
條	thiau2	
來	lai2	
楊	iɑŋ2	
杪	miau3	树～儿:树梢
杯	pei1	
杰	tɕie6	
杵	tʂhʯ3	打～:支撑物件的棍杈
松	soŋ1	～紧
松	tshoŋ2	～树
板	pan3	木～
極	tɕi7	～好的:很好
枉	uɑŋ2	冤～
枉	uɑŋ3	～然
枕	tʂen3	
林	lin2	
果	ko3	
枝	tʂʅ1	
棗	tsau3	
楓	foŋ1	
枯	khu1	
架	kɑ5-	豆～儿:架豆角蔓儿的架子
架	tɕiɑ5=	搭～子
枹	phau1	～树
柄	pin5	
柏	pe7	
某	mau3	
柑	kan1	
染	ʯan3	～布
柔	ʐəu3	
櫃	kuei6	～头儿:老板
查	tʂhɑ2	
柩	tɕiəu6	棺～:棺材
柱	tʂʯ6	
柳	liəu3	
柴	tshai2	
柿	tsɿ6	～儿:柿子
櫟	li7	～子树儿
欄	lan2	牛～屋儿:牛圈
樹	ʂʯ6	
栓	ʂʯan1	脑血～
栗	li7	
