#漢字	音標	解釋
□	iai2	俗称发生性关系
托	tʰuo2	~儿所，摩~
托	tʰuo1	手承物
扛	kʰaŋ2	
扣	kʰa5	
執	tsɿ2	
擴	kʰuo7	
掃	sau5	~地
掃	sau5	~帚
揚	iaŋ2	
扭	niou3	
扮	pã6	
扯	tsʰɔ3	
擾	iau3	
扳	pã1	
扶	fu2	
批	pʰi1	
找	tsau3	
承	sai2	又读
承	tsʰəŋ2	又读
技	tʃi5	
抄	tsʰau1	
把	pa3	~东西拿过来
把	puo3	~握，~守，~柄
抑	i5	
抓	tsuo1	
投	tʰou2	
抖	ta3	
抗	kʰaŋ5	
折	ʃie2	~本
折	tʃie7	~叠
折	tʃie7	~起
撫	fu3	
抛	pʰau1	
摳	kʰa1	
搶	tʃʰiaŋ3	
護	fu6	
報	pau5	
披	pʰi1	
抬	tua2	
抱	pʰau3	
抵	ti3	
抹	muo7	
抹	muo7	~布，~桌子
押	ɔ7	
抽	tʃʰiou1	
抿	min3	
擔	tã1	~任
擔	tã5	挑~
拆	tsʰa7	
拇	mu3	
拈	niẽ2	
拉	na1	
拌	pã5	
拍	pʰa7	
拐	kua3	
拒	tʃy5	
拖	tʰuo1	
拘	tʃy1	
招	tsau1	
拜	pa5	
擬	ni3	
攏	nəŋ3	
擁	ioŋ3	
攔	nã2	
撥	puo2	
擇	tsa2	~菜，又读
擇	tsa7	~菜，又读
擇	tsə2	选~
括	kʰuo7	~号
括	kua2	包~
拱	koŋ5	
拳	tʃʰyẽ2	
拴	suã1	
拼	pʰai1	
拼	pʰai1	~起
持	tsʰɿ2	
挂	kuo5	
指	tsɿ3	~挥
指	tʃi3	手~头
按	ã5	
挖	uo7	
擋	taŋ3	
擠	tʃi3	
揮	huei1	
挪	nuo2	
振	tsəŋ5	
挺	tʰin3	
挽	uã3	
捅	tʰəŋ3	
捆	kʰuəŋ3	
捉	tsuo7	
捎	sau1	
捏	nie7	
捐	tʃyẽ1	
撈	nau2	
損	səŋ3	
換	fã6	
捧	pʰəŋ3	
据	tʃy5	
捱	a2	
捷	tʃie2	
捺	na2	
捻	niẽ3	
掀	ʃyẽ1	
掂	tiẽ1	
授	ʃiou6	
掌	tsaŋ3	
掏	tʰau1	
掐	kʰɔ7	
排	pa2	
探	tʰã5	
接	tʃie2	~受
接	tʃie7	~受
控	kʰoŋ5	
推	tʰei1	
掩	iẽ3	
措	tsʰuo5	
掭	tʰiẽ5	
掰	pã1	
撣	tã3	
揉	iou2	
描	miau2	
提	ti2	又读
提	tʰi2	又读
插	tsʰuo7	
揖	i7	
握	u6	
揩	kʰa1	
援	yẽ2	
攬	nã3	
攙	tsʰã1	
摟	na3	
攪	tʃiau2	
搓	tsʰuo1	
搜	sa1	
搜	sa1	~集
搞	kau3	
搬	pã1	
搭	ta2	
搽	tsuo2	
攝	sə2	
摆	pa3	
摇	iau2	
攤	tʰã1	
摘	tsa7	
摩	muo1	
摸	muo1	
摹	muo2	
撇	pʰie2	
撑	tsʰəŋ1	
撒	sɔ7	
撕	sɿ1	
撤	tsʰa7	
撮	tsʰuo2	
攆	niẽ3	
擀	kã3	
操	tsʰau1	
擒	tʃʰin2	
擦	tsʰɔ7	
攀	pʰã1	
攢	tsã3	
支	tsɿ1	~持
支	tʃi1	一~笔
收	ʃiou1	
改	ka3	
攻	koŋ1	
放	faŋ5	
政	tsai5	
故	ku5	
效	ʃiau5	
敵	ti2	
敏	min3	
救	tʃiou5	
教	tʃiau1	~书
教	tʃiau5	~育，~他去
敢	kã3	
散	sã5	
散	sã3	鞋带~了
敦	təŋ1	
敬	tʃin5	
數	su3	动词
數	su5	名词
敲	kʰau1	
整	tsai3	
敷	fu1	又读
敷	fu2	又读
文	uəŋ2	
齋	tsua1	
斑	pã1	
斗	ta3	
斗	tou5	
料	niau6	
斜	ʃia2	
斟	tsəŋ1	
斤	tʃin1	
斥	tsʰɿ2	
斧	fu3	
斬	tsã3	
斷	tʰuã3	~了
斷	tuã6	判~
斯	sɿ1	
新	ʃin1	
方	faŋ1	
施	sɿ1	
旁	paŋ2	
旅	ny3	
旋	ʃyẽ2	~转
旋	ʃyẽ5	~风
族	tsu2	
旗	tʃi2	
既	tʃi5	
日	ni7	
日	i2	~出
旦	tã5	元~，又读
旦	tã6	元~，又读
舊	tʃiou6	
旨	tsɿ3	
早	tsau3	
旬	səŋ2	
旱	hã6	
時	ʃi2	
曠	kʰuaŋ5	
旺	uaŋ6	
昂	aŋ5	
昆	kʰuəŋ1	
昌	tsʰaŋ1	
明	mai2	~白，又读
明	mã2	~白，又读
昏	fəŋ1	
易	i2	姓，又读
易	i7	姓，又读
易	i5	难~
星	sai1	~~
星	ʃin1	~期
映	in5	
春	tʃʰyŋ1	
昭	tsau1	
是	ʃi3	
顯	ʃiẽ3	
晃	faŋ3	
晉	tʃin5	
晌	saŋ3	
晏	ã5	
曬	sua5	
曉	ʃiau3	
暈	yŋ1	
晨	ʃin2	
普	pʰu3	
景	tʃin3	
晴	tsai2	
晶	tʃin1	
智	tsɿ5	
暫	tsã6	
暑	tʃʰy3	
暖	nuã3	
暗	ã5	又读
暗	ã6	又读
暮	mu6	
暴	pau5	
曝	pau5	
曲	tʃʰy2	~折，歌~
曲	tʃʰy2	弯~
更	kəŋ1	~换，五~
更	kəŋ5	~加
曹	tsʰau2	
曾	tsʰəŋ2	
曾	tsəŋ1	姓
替	tʰi5	
最	tsei5	
月	ye2	又读
月	ye7	又读
有	iou3	
朋	pəŋ2	
服	fu2	
朔	suo2	
朗	naŋ3	
望	maŋ6	
朝	tsau2	
期	tʃi2	时~，到~
期	tʃʰi2	星~
木	mu2	~刻
木	mou7	单念
未	uei6	
末	muo2	
本	pəŋ3	
术	su2	
术	su2	算~，又读
术	ʃiau2	算~，又读
朱	tʃy1	
朴	pʰu2	
朶	tu3	
機	tʃi1	
殺	suo7	
雜	tsɔ2	
權	tʃʰyẽ2	
杆	kã3	
杈	tsʰɔ1	
李	ni3	
杏	ʃin5	
材	tsua2	
村	tsʰəŋ1	
杖	tsaŋ5	
杜	tu6	
杞	tʃi3	
束	su2	
杠	kaŋ5	
條	tiau2	
來	na2	
楊	iaŋ2	
杭	haŋ2	
杯	pei1	
杰	tʃie2	
杷	puo2	
松	səŋ1	~紧
松	soŋ1	~树
板	pã3	
極	tʃi2	
構	ka5	
枇	pi2	
枉	uaŋ3	
析	ʃi2	
枕	tʃin3	
林	nin2	
枚	mei2	
果	kuo3	
枝	tsɿ1	
棗	tsau3	
槍	tʃʰiaŋ1	
楓	fəŋ1	
枯	kʰu1	
架	ka5	
某	mou3	
柑	kuã1	
染	niẽ3	
柔	iou2	
柚	iou6	
櫃	kuei6	
查	tsuo2	
查	tsuo1	山~
柬	tʃiẽ3	
柱	tʃʰy3	
柳	niou3	
柴	tsua2	
柿	sɿ6	
標	piau1	
棧	tsã6	
棟	təŋ6	
欄	nã2	
樹	ʃy6	
栖	ʃi1	
栗	ni2	
校	ʃiau5	~对
校	ʃiau5	上~
校	ʃiau5	学~
株	tsu1	
