#漢字	音標	解釋
㪕	tsʰɔu5	〜起棍子
共	kuəŋ5	
關	kuan1	
興	ɕiəŋ1	〜旺,高〜
兵	piəŋ1	
其	tɕʰi2	
具	tɕy5	
典	tian3	
兹	tsɿ1	
養	iɑŋ3	
兼	tɕian1	
獸	ʃəu5	
冀	tɕi5	
内	nei5	
岡	kɑŋ1	
冉	ian5	
册	tsʰə3	
再	tsai5	
冒	mɔu5	
冗	yəŋ5	
寫	ʃiə3	
軍	tɕyən1	
農	nuəŋ1	
冠	kuan5	〜军
冠	kuan1	衣〜
冢	tsuəŋ3	
冤	yan1	
冬	tuəŋ1	
馮	fəŋ2	
冰	piəŋ1	
冲	tsʰuəŋ1	
決	tɕyə5	
况	kʰuɑŋ5	
冷	ləŋ3	
凍	tuəŋ5	
淨	tʃiəŋ2	
準	tsuən3	
涼	liɑŋ1	
凌	liəŋ5	
減	tɕian3	
湊	tsʰəu5	
凝	niəŋ5	
凝	iəŋ5	汤〜成冻了
几	tɕi2	〜个
几	tɕi3	〜乎
几	tɕi2	茶~
凡	fan2	
鳳	fəŋ5	
凭	pʰiəŋ2	
凱	kʰai3	
凳	təŋ5	
凶	ɕyəŋ1	
出	tʃʰy3	
擊	tɕi3	
函	xan2	
鑿	tsuə5	
刀	tɔu1	
刁	tiɔu1	
刃	iən2	
分	fən1	
切	tʃʰiə3	
刊	kʰan3	
刎	uən3	
刑	ɕiəŋ2	
划	xua2	
列	liə5	
劉	liəu2	
則	tsə3	
剛	kɑŋ1	
創	tsʰuɑŋ3	
初	tɕʰu1	
删	san3	
判	pʰan5	
刨	pʰɔu2	〜地
利	li5	
别	piə2	区〜
别	piə2	离〜
刮	kʰua3	
到	tɔu5	
制	tʃɿ5	
刷	sua3	
券	tɕʰyan5	
刺	tsʰɿ3	动词
刺	tsʰɿ5	名词
刻	kʰə3	时〜,用刀〜
劊	kuei5	
刴	tuə5	
劑	tʃɿ3	
剃	tʰi2	
削	ʃyə3	
前	tɕʰian5	
剮	kua3	
劍	tɕian5	
剔	tʰi3	
剖	pʰɔu3	
剖	pʰəu3	
剜	uan1	
剝	pə3	
劇	tɕy5	〜烈
剩	ʃəŋ2	
剪	tɕian3	
副	fu5	
割	ka3	
剿	tsɔu3	
劄	tsa3	用针扎
劈	pʰi3	
劐	xuə2	用刀〜开
力	li5	
勸	tɕʰyan5	
辦	pan2	
功	kuəŋ1	
加	tɕia1	
務	u2	
劣	lə3	
動	tuəŋ2	
助	tsu5	
努	nu3	
劫	tɕiə2	
勵	li5	
勁	tɕiən5	
勁	tɕiəŋ5	〜敌
勞	lɔu5	
勃	pə2	
勇	yəŋ3	
勉	mian3	
勳	ɕyən5	
勒	lə3	
勘	kʰan3	
募	mu5	
勤	tɕʰiən1	
勺	ʃyə2	~子
勾	kəu1	
勿	u5	
匀	yən5	
包	pɔu1	
匆	tsʰuəŋ1	
化	xua5	
北	pə3	
匙	tsʰɿ3	汤〜
匠	tʃɑŋ5	
匡	kʰuɑŋ1	
匣	ɕia2	箱〜
匪	fei3	
匹	pʰi3	
區	tɕʰy1	
醫	i1	
匾	pian3	
匿	ni5	
十	ʃɿ2	
千	tɕʰian1	
升	ʃəŋ1	
午	u3	
半	pan5	
華	xua5	
協	ɕiə2	
卑	pei1	
卒	tsu2	兵〜
卓	tsuə3	
單	tan1	〜独
單	ɕian5	姓
賣	mai2	
南	nan5	
博	pə1	
卜	pʰu3	
占	tɕian5	
卤	lu3	
卦	kua5	
臥	uə1	
衛	uei5	
卯	mɔu3	
印	iən5	
危	uei1	
即	tʃɿ3	
卻	tɕʰyə3	
卵	lan1	
卷	tɕyan3	〜起
卷	tɕyan5	试〜
卸	ʃiə5	
卿	tɕʰiəŋ1	
廠	tʃʰɑŋ3	
廳	tʰiəŋ1	
历	li5	
厲	li5	
壓	ia3	
厭	ian5	
廁	tsʰɿ5	〜所
厘	li5	
厚	xəu2	
原	yan2	
廂	ʃɑŋ1	
厥	tʃyə2	
厦	sa5	〜屋
厦	sa5	〜门
廚	tʃʰy2	
厮	sɿ1	
去	tɕʰy5	来〜,〜皮
縣	ɕian5	
参	tsʰan1	〜加
参	tsʰən2	〜差
参	sən1	人~
又	iəu5	
叉	tsʰa5	
及	tɕi2	
友	iəu3	
雙	suɑŋ1	〜生
反	fan3	
发	fa3	
叔	ʃy3	
取	tʃʰy3	
受	ʃəu5	
變	pian5	
敍	ʃy5	
叛	pʰan5	
叟	səu3	
疊	tiə2	
口	kʰəu3	
古	ku3	
句	tɕy2	
另	liəŋ5	
叨	tɔu1	唠〜
叩	kʰəu5	〜头
只	tsɿ3	(〜有)
叫	tɕiɔu5	
召	tʃɔu5	
可	kʰuə5	
台	tʰai2	天〜
史	sɿ3	
右	iəu5	
葉	iə3	
號	xɔu5	〜数
號	xɔu2	呼〜
司	sɿ1	
嘆	tʰan5	
吁	ɕy2	
吃	tʃʰɿ3	
各	kuə3	
吆	iɔu5	〜喝
合	xuə3	
吉	tɕi3	
吊	tiɔu5	
同	tʰuəŋ2	
名	miəŋ1	
后	xəu5	
吏	li5	
吐	tʰu3	呕〜
向	ɕiɑŋ5	
嚇	ɕia5	〜一跳
呂	ly3	
君	tɕyən1	
吝	liən1	
吞	tʰən1	
吟	iən2	
吠	fei5	
吣	tsʰən5	猫〜
否	fəu3	
含	xan2	
聽	tʰiəŋ1	
啓	tɕʰi3	
吳	u2	
吵	tsʰɔu3	
吸	ɕy3-	
吹	tsʰuei1	
吻	uən3	
吼	xəu3	
吾	u2	
呆	tai1	
呈	tʃʰəŋ2	
告	kɔu5	
嘔	əu3	
員	yan2	
周	tʃəu1	
味	uei2	
呼	xu1	
命	miəŋ1	
和	xuə2	~气
和	xuə5	〜面
咎	tɕiəu1	
詠	yəŋ3	
咒	tʃəu5	
咨	tsɿ2	
咬	iɔu3	
咳	kʰə3	
咸	ɕian2	
咽	ian5	
哀	ai1	
品	pʰiən3	
哄	xuəŋ3	〜骗
哄	xuəŋ5	起〜
響	ɕiɑŋ3	
啞	ia3	
哥	kuə1	
哪	na3	
哭	kʰu3	
哲	tʃiə2	
哽	kəŋ3	骨〜在喉
脣	tsʰuən2	
唐	tʰɑŋ2	
嘮	lɔu1	〜叨
喚	xuan2	
售	tʃʰəu5-	
售	ʃəu5=	
唯	uei5	
唱	tʃʰɑŋ5	
唾	tʰu5	
啃	kʰən3	
商	ʃɑŋ1	
嗇	sə3	吝~
囉	luə1	
啼	tʰi2	
善	ɕian5	
喉	xəu2	
喊	xan3	
喘	tsʰuan3	
喜	ɕi3	
喝	xa3	
喝	xə1	〜采,吆〜
噴	pʰən1	〜香,〜嚏,〜水
喻	y5	
嗅	ɕiəu5	
嗉	su5	
嗓	sɑŋ3	
嗜	sɿ5	
嗣	sɿ5	
嗤	tsʰɿ2	
嗽	səu5	咳〜
嘉	tɕia5	
嘘	xu2	吹〜
囑	tsu3	
嘴	tsei3	
噍	tʃyə2	牛倒〜
噎	iə3	~住了
器	tɕʰi5	
嚇	xə5	恐~
囂	ɕiɔu3	
嚷	iɑŋ1	
嚼	tʃyə2	
囊	nɑŋ1	
囚	tʃʰəu2	
四	sɿ5	
回	xuei2	
因	iən1	
团	tʰan2	
囤	tʰən2	
園	yan1	
困	kʰuən5	
囱	tsʰuəŋ3	
圍	uei1	
固	ku5	
國	kuə3	
圓	yan2	
圈	tɕʰyan1	圆〜
圈	tɕyan2	猪〜
聖	ʃəŋ5	
在	tsai5	
圭	kuei5	
地	ti2	
場	tʃʰɑŋ2	
址	tsɿ3	
均	tɕyən1	
坍	tʰan1	
坎	kʰan3	
壞	xuai2	
坐	tsuə2	
坑	kʰəŋ1	
塊	kʰuai5	
堅	tɕian1	
坛	tʰan2	
壩	pa2	
塢	u1	
墜	tsuei5	
坡	pʰə1	
坤	kʰuən1	
坦	tʰan3	
坪	pʰiəŋ2	
坯	pʰei1	土〜
坳	ɔu5	山坳
垂	tsʰuei2	
壟	luəŋ3	
型	ɕiəŋ2	
垒	lei3	
垜	tuə2	
墾	kʰən3	
墊	tian2	
垮	kʰua3	
埂	kəŋ3	田〜
埃	ai1	
城	tʃʰəŋ2	
域	y5	
埠	pu2	
埯	an3	〜种
培	pʰei5	
基	tɕi1	
堂	tʰɑŋ2	
堆	tei1	
堡	pɔu3	
堤	ti1	
堪	kʰan3	
堰	ian5	
塌	tʰa3	
塑	su5	
塔	tʰa3	
塘	tʰɑŋ2	
塞	sə3	
填	tʰian2	
境	tɕiəŋ3	
墓	mu5	
牆	tʃʰɑŋ2	
增	tsəŋ1	
墟	ɕy3	
墨	mə5	
墩	tən1	
壁	pi3	
壅	yəŋ3	
壕	xɔu2	
壤	iɑŋ1	土〜
士	sɿ5	
壬	iən1	
壯	tsuɑŋ5	
聲	ʃəŋ1	
殼	tɕʰyə3	纸壳
壺	xu2	
處	tʃʰy5	相〜,〜所
備	pei5	
复	fu2	〜兴
复	fu3	〜杂
夏	ɕia5	姓,春夏
夕	ʃɿ3	
外	uai5	
多	tuə1	
夜	iə5	
够	kəu5	
大	ta5	
大	tai2	〜夫
天	tʰian1	
太	tʰai5	
夫	fu1	
央	iɑŋ1	
夯	xəŋ1	打〜
失	ʃɿ3	
頭	tʰəu2	
夷	i2	
夸	kʰua1	
夾	tɕia3	
奪	tuə2	
奇	tɕʰi2	
奈	nai5	
奉	fəŋ5	
奮	fən5	
奎	kʰuei2	
奏	tsəu5	
契	tɕʰi5	〜约
奔	pən5	
獎	tʃɑŋ3	
套	tʰɔu5	
奚	ɕi1	
奠	tian5	
奢	ʃiə2	
奧	ɔu5	
女	ny3	
奴	nu3	
奶	nai3	
奸	tɕian1	
好	xɔu3	〜坏
好	xɔu5	喜〜
如	y2	
妃	fei3	
妄	uɑŋ3	
婦	fu2	
媽	ma5	大〜,称呼大伯母
媽	ma1	称呼自己的母亲
妒	tu2	
妓	tɕi5	
妖	iɔu1	
妙	miɔu5	
妥	tʰuə3	
妨	fɑŋ2	〜害
妹	mei2	
妻	tʃʰɿ1	
妾	tʃʰiə5	
姊	tsɿ3	
始	sɿ2	
姐	tʃiə3	
姑	ku1	
姓	ʃiəŋ2	
委	uei3	
姘	pʰiən1	
姚	iɔu2	
姜	tɕiɑŋ1	
姨	i1	
姻	iən1	
姿	tsɿ1	
威	uei1	
嬌	tɕiɔu3	
娘	niɑŋ2	
娠	ʃən1	
娩	mian3	分〜
娛	u5	
娛	y5	
娶	tʃʰy3	
婆	pʰə2	
婚	xuən1	
婢	pei1	
嬰	iəŋ1	
嬸	ʃən3	
婿	ʃy5	
媒	mei1	
媚	mei1	
媳	ʃɿ3	
嫁	tɕia5	
嫂	sɔu3	
嫌	ɕian2	
嫖	pʰiɔu3	〜赌
嫡	ti2	
嫩	lən2	
嬉	ɕi1	
孀	suɑŋ1	
子	tsɿ3	
孔	kʰuəŋ3	
孕	yən5	
字	tsɿ5	
存	tsʰən2	
孫	sən1	
孝	ɕiɔu5	
孟	məŋ5	
季	tɕi5	
孤	ku1	
學	ɕyə2	
孩	xai2	
孵	fu2	
孽	niə5	
寧	niəŋ2	安〜,〜可
宇	y3	
守	ʃəu3	
安	an1	
宋	suəŋ5	
完	uan2	
宏	xuəŋ2	
宕	tɑŋ5	延〜
宗	tsuəŋ1	
官	kuan1	
宙	tʃəu2	
定	tiəŋ5	
宜	i2	
寶	pɔu3	
實	ʃɿ2	
寵	tsʰuəŋ3	
審	ʃən3	
客	kʰə3	
宣	ɕyan3	
室	ʃɿ5	
宦	xuan3	
宪	ɕian5	
宮	kuəŋ1	
害	xai5	
宴	ian5	
宵	ʃɔu1	
家	tɕia1	
容	yəŋ2	
寬	kʰuan1	
賓	piən1	
宿	ʃy3	
宿	ʃəu5	星〜
寂	tʃɿ2	
寄	tɕi5	
寅	iən2	
密	mi5	
寇	kʰəu5	
富	fu5	
寐	mei2	
寒	xan2	
寓	y2	
寢	tʃʰən1	
寞	mə5	
察	tsʰa2	
寡	kua3	
寥	liɔu1	
寨	tsai2	
寸	tsʰən2	
對	tei5	
寺	sɿ5	
尋	ʃiən2	
尋	ɕyən2	
導	tɔu5	
壽	ʃəu5	
封	fəŋ1	
射	ʃiə5	
將	tʃɑŋ1	~来
將	tʃɑŋ5	大〜
尊	tsən1	
小	ʃɔu3	
少	ʃɔu5	〜年
少	ʃɔu3	多〜
尔	ɚ3	
尖	tɕian1	
塵	tʃʰən1	
尚	ʃɑŋ5	
嘗	tʃʰɑŋ2	
尤	iəu1	
尥	liɔu5	马〜蹶子
堯	iɔu2	
尬	ka5	
就	tʃəu5	
尷	kan1	〜尬
屍	sɿ1	
尹	iən3	
尺	tʃʰɿ3	
尼	ni1	
尽	tɕiən3	
尾	uei3	
尿	niɔu2	
局	tɕy2	
屁	pʰi5	
層	tsʰəŋ2	
居	tɕy1	
屈	tɕʰy3	
屉	tʰi5	(笼〜)
屆	tɕie5	
屋	u3	
屎	sɿ3	
屏	pʰiəŋ2	圆〜
屐	tɕi1	木〜
屑	ʃɔu1	不〜,木〜
展	tɕian3	
屬	su3	
屠	tʰu3	
屢	ly5	
履	ly3	
屯	tʰən2	
山	san1	
歲	sei5	
豈	tɕʰi2	
岔	tsʰa5	
崗	kɑŋ1	山〜
崗	kɑŋ3	站〜
島	tɔu3	
巖	ian1	
嶺	liəŋ3	
岳	yə5	
岸	an5	
峽	ɕia3	
峰	fəŋ1	
崇	tsʰuəŋ3	
崔	tsʰei1	姓
崖	iə1	
崩	pəŋ1	
嵌	tɕʰian5	
嵩	suəŋ1	
川	tsʰuan1	
州	tʃəu1	
巡	ʃyən2	
巢	tsʰɔu2	
工	kuəŋ1	
左	tsuə5	
巧	tɕʰiɔu3	
巨	tɕy5	
鞏	kuəŋ3	
巫	u1	
差	tsʰa5	〜不多
差	tsʰai1	出〜
差	tsʰɿ1	参〜
己	tɕi3	
己	i3	
巳	sɿ5	
巴	pa5	
巷	ɕiɑŋ5	
巾	tɕiən1	
幣	pi5	
市	sɿ2	
布	pu5	
帥	suai5	
帆	fan1	
師	sɿ1	
希	ɕi1	
帳	tʃɑŋ5	
帕	pʰa5	
帖	tʰiə3	碑〜,请〜
帘	lian2	
帚	tʃy5	
帛	pə2	
帝	ti5	
帶	tai5	
席	ʃɿ2	
幫	pɑŋ1	
常	tʃʰɑŋ2	
帽	mɔu5	
幅	fu3	
幔	man5	
幕	mu5	
干	kan1	〜湿
平	pʰiəŋ2	
年	nian1	
并	piəŋ5	
幸	ɕiəŋ5	
幺	iɔu5	〜二三
幻	xuan2	
幼	iəu5	
幽	iəu1	
廣	kuɑŋ3	
莊	tsuɑŋ1	
慶	tɕʰiəŋ5	
庇	pi5	
牀	tsʰuɑŋ2	
序	ʃy5	
廬	lu3	
庫	kʰu5	
應	iəŋ1	〜当,〜用,〜对,响〜
底	ti3	
店	tian5	
廟	miɔu2	
府	fu3	
龐	pʰɑŋ2	
廢	fei5	
度	tu2	
座	tsuə5	
庵	an1	
庶	ʃy2	
康	kʰɑŋ1	
庸	yəŋ1	
廉	lian2	
廊	lɑŋ2	
廓	kʰuə5	
廖	liɔu1	
延	ian1	
廷	tʰiəŋ2	
建	tɕian5	
開	kʰai1	
异	i2	
弃	tɕʰi2	
弄	nuəŋ2	
式	ʃɿ3	
弓	kuəŋ1	
引	iən3	
弘	xuəŋ2	
弟	ti5	
張	tʃɑŋ1	
弥	ni5	
弦	ɕian2	
彎	uan1	
弱	yə5	
彈	tʰan2	〜琴
彈	tan5	子~
强	tɕʰiɑŋ3	勉〜,倔〜
弼	pi5	
彀	kəu1	往上〜
歸	kuei1	
當	tɑŋ1	~时,应〜
當	tɑŋ5	〜作,典〜
录	lu5	
形	ɕiəŋ2	
彩	tsʰai3	
彪	piɔu1	
彬	piən1	
彭	pʰəŋ2	
影	iəŋ3	
彷	fɑŋ3	~佛
役	i2	
彼	pi5	
往	uɑŋ3	
征	tʃəŋ1	
徑	tɕiəŋ1	
待	tai5	
很	xən3	
律	ly5	
徐	ʃy2	
得	tə3	
徙	ʃɿ3	
御	y5	
循	ʃyən3	
微	uei3	
德	tə3	
徹	tʃʰiə5	
徽	xuei1	
心	ʃiən1	
必	pi3	
憶	i5	
忌	tɕi5	
忍	iən3	
志	tʃɿ5	
忘	uɑŋ3	
忙	mɑŋ1	
忠	tsuəŋ1	
憂	iəu1	
快	kʰuai5	
念	nian2	
忽	xu1	
忿	fən5	
懷	xuai2	
態	tʰai2	
慫	suəŋ5	
慪	əu3	~气
怒	nu3	
怕	pʰa5	
怖	pu5	
憐	lian2	
思	sɿ1	
怠	tai5	
急	tɕi3	
性	ʃiəŋ2	
怨	yan1	
怪	kuai5	
怯	tɕʰiə5	畏〜
總	tsuəŋ3	
恃	sɿ2	
戀	lian2	
恐	kʰuəŋ3	
恆	xəŋ2	
恕	ʃy5	
恢	xuei1	
恤	ɕy3	
恨	xən2	
恩	ən1	
恭	kuəŋ5	
息	ʃɿ3	
恰	tɕʰia3	
恶	u5	可〜
恶	uə5	善~
惱	nɔu3	
悄	tʃʰɔu1	静~~
悉	ʃɿ3	
悔	xuei3	
悟	u5	
悠	iəu1	
患	xuan2	
悦	yə5	
懸	ɕyan2	
憫	miən3	
悲	pei1	
情	tʃʰiəŋ2	
驚	tɕiəŋ1	
惑	xuə5=	
惜	ʃɿ3	
惠	xuei5	
懼	tɕy5	
慘	tsʰan1	
懲	tʃʰəŋ2	
慚	tsʰan2	
慣	kuan5	
惰	tuə2	
想	ʃɑŋ3	
惹	iə3	
愀	tʃʰɔu2	傻
愁	tsʰəu2	
愈	y5	病〜
愉	y2	
意	i5	
愚	y5	
感	kan3	
憤	fən5	
愧	kʰuei2	
願	yan5	
慈	tsʰɿ2	
慌	xuɑŋ1	
慎	ʃən3	
慕	mu5	
慢	man2	
慧	xuei5	
慨	kʰai3	
慰	uei3	
慷	kʰɑŋ1	〜慨
憋	piə3	
憎	tsəŋ5	
憨	xan1	
憾	xan2	
懂	tuəŋ3	
懈	ɕie2	
懊	ɔu5	~恼,~悔
懶	lan3	
懵	məŋ3	
戈	kə3	
戊	u5	
戌	ʃy1	
戍	ʃy5	
戎	yəŋ1	
戲	ɕi5	
成	tʃʰəŋ2	
我	uə3	
戒	tɕie5	
或	xə5-	
戰	tɕian5	
戚	tʃʰɿ3	
戟	tɕi3	
截	tʃiə2	
戳	tsʰuə5	动词
戳	tʃʰyə2	邮〜
戴	tai5	
戶	xu2	
房	fɑŋ2	
所	suə3	
扁	pian3	
扇	ɕian1	动词
扇	ɕian5	名词
手	ʃəu3	
才	tsʰai2	
扎	tsa3	
扑	pʰu3	
打	ta3	
扔	ləŋ1	
托	tuə3	手承物
扛	kʰɑŋ5	
扣	kʰəu5	~住
執	tʃɿ3	
擴	kʰuə5	〜充
掃	sɔu3	〜地,〜帚
揚	iɑŋ1	
扭	niəu3	
扮	pan5	
扯	tʃʰiə3	
擾	iɔu1	
扳	pan1	
扶	fu1	
批	pʰi1	
扼	ə3	
扽	tən5	
找	tsɔu3	
承	tʃʰəŋ2	
技	tɕi5	
抄	tsʰɔu1	略取,〜写
把	pa5	〜握
把	pa3	一〜
把	pa5	柄
抑	i1	
抓	tsua1	
投	tʰəu3	
抖	təu3	
抗	kʰɑŋ5	
折	tʃiə2	〜断,〜叠
折	ʃiə2	弄〜了
撫	fu2	
抛	pʰɔu1	
摳	kʰəu1	
搶	tʃʰɑŋ3	
護	xu2	
報	pɔu5	
披	pʰei1	
抬	tʰai2	
抱	pu5-	
抱	pɔu5=	
抵	ti3	
抹	ma3	〜布,〜桌子
抹	mə3	涂〜
押	ia3	
抽	tʃʰəu1	
抿	mi3	
拄	tʃy3	
擔	tan1	~任
擔	tan5	扁〜
拆	tsʰə3	~开
拇	mu3	
拈	nian3	〜起来
拉	la3	
拌	pan2	
拍	pʰə3	
拐	kuai3	
拓	tʰa3	〜本
拔	pa2	
拖	tʰuə1	
拘	tɕy1	
拙	tsuə3	
招	tʃɔu1	
拜	pai5	
擬	ni5	
攏	luəŋ3	
揀	tɕian3	
擁	yəŋ3	
攔	lan3	
撥	pə3	
擇	tsə2	〜菜,选〜
括	kuə3	
拯	tʃəŋ3	〜救
拱	kuəŋ3	
拳	tɕʰyan2	
拴	suan1	
拼	pʰiən1	
拽	tsuai5	拖
拾	ʃɿ2	(〜起来)
拿	na1	
持	tʃʰɿ2	
挂	kua5	
指	tsɿ3	
按	an5	
挑	tʰiɔu1	
挖	ua3	
挾	ɕiə2	〜菜
撓	nɔu1	
擋	tɑŋ3	阻〜
擠	tʃɿ3	
揮	xuei1	
挨	ie1	
挪	nuə1	
振	tʃən5	
挺	tʰiəŋ3	
挽	uan3	
捆	kʰuən3	
捉	tsuə3	
捋	lu3	〜袖子
捎	sɔu1	〜带
捏	niə5	
捐	tɕyan1	
捕	pʰu3	
撈	lɔu1	
損	ʃyən3	
換	xuan2	
捧	pʰəŋ3	
据	tɕy5	
据	tɕy5	割〜
捱	ie1	
捷	tʃiə2	
捺	na2	撇〜
掀	ɕian1	
掂	tian1	〜掇
掇	tɔu5	两手〜起
授	ʃəu5	
掉	tiɔu2	
掌	tʃɑŋ3	
掏	tʰɔu1	〜出来
掐	tɕʰia3	
排	pʰai2	
掘	tɕyə1	
掠	lyə5	
探	tʰan5	
接	tʃiə3	
控	kʰuəŋ3	
推	tʰei1	
掩	ian3	
措	tsʰuə5	
掫	tsəu1	往上〜
掬	tɕy3	
擲	tʃɿ5	
撣	tʰan3	鸡毛~子
揈	xuəŋ1	
揉	iəu1	
描	miɔu1	
提	tʰi2	
插	tsʰa3	
揖	i3	作〜
揞	an3	〜药
握	uə5	
揢	tɕʰia1	
揣	tsʰuai5	〜度
揩	kʰai3	
揪	tʃəu1	
揭	tɕiə3	
援	yan2	
攬	lan3	
攙	tsʰan2	
擱	kuə3	
摟	ləu3	〜取
摟	ləu3	抱
攪	kɔu3	
攪	tɕiɔu3	
搉	tɕyə3	击,~蒜
搊	tsəu1	〜起来
搓	tsʰuə1	
搛	tɕian1	〜菜
搜	səu1	
搞	kɔu3	
搡	sɑŋ3	
搨	tʰa3	
搬	pan1	
搭	ta3	
攜	ɕie2	
攝	ʃiə3	
摆	pai3	
摇	iɔu2	
攤	tʰan1	
摘	tsə3	
摩	mə1	
摸	mə5	
摹	mə1	
