#漢字	音標	解釋
䉪	lui	一種捕魚工具、深䉪,地名
催	tsʰui1	
傭	jʊŋ4	
傲	ŋau	
傳	tsʰan4	白讀
傳	tsʰyn4	傳播
傳	tsyn	傳奇
債	tsai1	
傷	siuŋ1	
傻	su4	
傾	kʰɪŋ1	
僅	kɐn	
像	tsiuŋ	
僑	kʰiu4	
僕	pʊk	
僚	liu4	
僥	hiu1	僥倖
僥	jau4	僬僥,短人,西南夷別名
僧	tsɐŋ1	
僮	hʊŋ4	書僮
僮	tsuŋ	僮族
僱	ku1	
僵	kiuŋ1	
價	ka1	
僻	pʰɪk	
儀	ji4	
億	jɪk	
儉	kim	
儒	ji4	
儘	tsɐn	
償	siuŋ4	
儡	lui1	
儡	lui5	
優	jou1	
儲	tsʰi1	
儲	tsʰi5	
儸	lu4	
儼	jam4	
兀	ŋɐt	
允	wɐn1	
允	wɐn5	
允	wɐn	姓氏
元	jan4	
兄	hɪŋ1	
充	tsʰʊŋ1	
兆	siu	
兇	hʊŋ1	
先	sin1	
先	sin	頭先,變調
光	kuɐŋ1	
克	hɐk	
兑	tui1	
免	min5	
免	min	
兒	ji4	
兔	hou1	
兜	tou1	
兢	kɪŋ1	
入	jɐp	
内	nui	
全	tsʰyn4	
兩	liuŋ	
八	pat	八卦
八	pit7b	數字八
公	kʊŋ1	
公	kʊŋ5	變調
六	lʊk	
兮	hei4	
共	kʊŋ	
兵	pɪŋ1	
其	kʰei4	
具	kui	
典	tin	
兼	kim1	
冀	kʰei1	
冇	mau1	沒有
冉	jam1	
冉	jam5	
册	tsʰɐk7b	
再	tsui1	
冑	tsu	
冒	mau	冒犯
冒	mɐk	冒頓
冕	min5	
冕	min	
冚	hɐm	全部
冚	hɐm5	冚家鏟
冠	kun1	
冢	tsʰʊŋ	
冤	jan1	
冥	mɪŋ4	
冬	tʊŋ1	
冰	pɪŋ1	
冶	ja5	
冷	lɐŋ1	
冽	lit	
准	tsɐn	
凋	tiu1	
凌	lɛŋ4	雪凌,冰錐
凌	lɪŋ4	
凍	tʊŋ1	
凜	lɐm1	
凝	jɪŋ4	
几	kei1	
凡	fan4	
凰	wɐŋ4	
凱	hui	
凳	tɐŋ1	
凶	hʊŋ1	
凸	tɐt	
凹	nɐp	
出	tsʰɐt	
函	ham4	
刀	tau1	
刁	tiu1	
刃	jɐn	
分	fɐn1	分開
分	fɐn	本分
切	tsʰei1	一切
切	tsʰit7b	急切
刊	hun1	
刎	mɐn1	
刎	mɐn5	
刑	jɪŋ4	
划	wa1	划船
列	lyt	
初	tsʰu1	
判	pʰun1	
别	pit	
刨	pʰiu4	
利	lei	
删	san1	
刮	kuat7b	
到	tau1	
制	tsei1	
刷	tsʰat9	名詞,變調
刷	tsʰat7b	
券	kyn1	
券	kʰyn1	
刺	tsʰi1	
刻	hɐk	
剃	hei1	
則	tsɐk	
削	siuk7b	
剋	hɐk	
前	tsʰin4	
刹	sat7b	
剔	hɪk	
剖	fou	
剛	kuŋ1	
剝	muk	
剩	sɪŋ	文讀
剩	tsɪŋ	
剪	tsin	
副	fu1	
割	kut7b	
創	tsʰuŋ1	
剷	tsʰan	
劃	wɐk	
劇	kʰɛk	
劇	kʰɛk9	
劈	pʰɪk	
劉	lou4	
劍	kim1	
劑	tsei1	
力	lɪk	
功	kʊŋ1	
加	ka1	
劣	lyt	
助	tsu	
努	nou	
劫	kip7b	
劭	siu	
劾	hɐt	
勁	kɪŋ	
勃	put	
勇	jʊŋ5	
勉	min5	
勉	min1	
勒	lɐk	
動	tʊŋ	
勘	hɐm1	
務	mou	
勛	fɐn1	
勝	sɪŋ1	
勞	lau4	
募	mou	
勢	sei1	
勢	sei5	手勢,變調
勤	kʰɐn4	
勵	lei	
勸	hyn1	
勺	tsiuk7b	
匀	wɐn4	
勾	kou1	勾當
勾	ŋou1	勾劃
勿	mɐt	
包	piu1	
包	piu5	量詞,變調
匆	tsʰʊŋ1	
匈	hʊŋ1	
匍	pʰou4	
匐	fʊk	
化	fa1	
北	pɐk	
匙	si4	茶匙,湯匙,一本作“瓷”
匙	si4	鑰匙
匠	tsiuŋ	
匣	hap	
匪	fei	
匯	wui	
匱	kuei	
匹	pʰɐt	
匾	pin	
匿	nei	
匿	nɪk	躲藏
匿	nɪk	匿名
區	kʰui1	區別
區	ŋou1	姓區
十	sɐp	
千	tsʰin1	
卅	sa1	
升	sɪŋ1	
午	m	
卉	wei	
半	pun1	
卑	pei1	
卒	tsɐt	士卒
卓	tsʰiuk7b	
協	hip7b	
南	nam4	
博	puk	
博	puk7b	
卜	pɐk	萝卜
卜	pʊk	
卜	puk	
占	tsim1	
卡	kʰa	
卦	kua1	
卬	ŋuk9	我哋
卯	mau5	
印	jɐn1	
危	ŋei4	
即	tsɪk	
即	tsɪk7b	又音
卵	lɐn	
卷	kyn	卷曲
卷	kyn	試卷
卸	sia1	
卻	kʰiuk7b	
卿	hɪŋ1	
厄	ŋɐk	
厘	lei4	
厚	hou1	
厝	tsʰou1	
原	jan4	
厥	kʰiuk9	佢哋
厭	jam1	
厲	lei	
去	hui1	
參	tsʰam1	參加
參	tsʰɐm1	參差
參	sam1	三的大寫
參	sɐm1	人參
又	jiu	
叉	tsʰa1	
叉	tsʰa5	變調
及	kʰɐp	
友	jou5	
反	fan	
叒	jiuk	
叔	sʊk	
叕	tsit7b	
取	tsʰui	
受	su	
叛	pun	
叟	sou	
叢	tsʰʊŋ4	
口	hou	
古	ku	
句	kui1	
另	lɪŋ	
叨	tau1	嘮叨
叨	hau1	叨擾
叩	kʰou1	
只	tsi	
叫	kiu1	
召	siu	召南
召	tsiu	召喚
叭	pit7b	
叮	tɛŋ1	
叮	tɪŋ1	
可	hɐk	可汗
可	hu	可以
台	hui1	天台,地名
台	hui4	台山,地名
台	ji4	
叱	tsʰɪk	叱石,地名
史	si	
右	jou	
司	si1	
叻	lɛk	聰明
叼	tiu1	
吁	hui1	
吃	kɐt	口吃
吃	hɛk7b	吃飯
各	kuk	
各	kuk7b	
吆	jau1	
合	kɐp	一合
合	hɐp	合格
吉	kɐt	
吊	tiu1	
同	hʊŋ4	
名	mɛŋ	你叫乜名?
名	mɛŋ4	名聲,白讀
名	mɪŋ4	
后	hou	
吏	lei	
吐	hou1	
向	hiuŋ1	
吒	tsʰɐk	叱吒
吒	tsa1	哪吒
吔	ja1	
君	kuɐn1	
吝	lɐn	
吞	hɐn1	
吟	jɐm4	
吠	fei	
否	fou	否定
否	pʰei	否極泰來
吧	pa	
吩	fɐn1	
含	hɐm4	
吭	huŋ1	吭聲
吭	huŋ4	引吭高歌
吱	tsi1	
吳	m̩4	
吵	tsʰau	
呐	nap	
吸	kʰɐp	
吹	tsʰui1	
吻	mɐn1	
吻	mɐn5	
吼	hou1	
吾	m̩4	
呀	ŋa1	
呂	lui	姓氏
呂	lui5	
呃	ŋɐk	
呆	ŋui4	
呈	tsʰɪŋ4	
告	kau1	報告
呢	nɛ1	語氣助詞
呢	nɛ5	語氣助詞
呢	nei4	呢喃
周	tsu1	
呱	kua1	
味	mei	
呵	hu1	
呻	sɐn1	
呼	fu1	
命	mɛŋ	一條命
命	mɪŋ	
咀	tsui	
咄	tɐt	
咆	pʰiu4	
和	wa4	和諧
和	wa	唱和
咎	kɐu1	
咐	fu1	
咒	tsou1	
咕	ku1	
咖	ka1	
咚	tʊŋ1	
咦	ji	
咩	mia1	
咪	mei1	
咫	tsi	
咬	ŋiu	
咯	kuk7b	咯咯笑
咯	hɐk7b	咯血
咯	lu1	
咱	tsa1	
咳	hui4	
咳	kʰɐt	咳嗽
咸	ham4	
咻	hui	噢咻
咻	jou1	一傅眾咻
咽	jan1	
咽	jat7b	哽咽
哀	ŋui1	
品	pɐn	
哄	hʊŋ1	
哇	wa1	
哈	ha1	
哉	tsui1	
哎	ʔai	
哞	mɐu4	
員	jan4	
哥	ku1	
哥	ku5	變調
哦	ŋu4	
哨	sau1	
哩	lei1	哩嚕
哩	lei4	
哪	na1	天哪
哪	na5	哪吒
哪	nai5	哪,哪裏
哭	hʊk	
哮	hiu1	
哲	tsit7b	
哺	pou	
哼	hɐŋ1	哼歌
哼	ŋ̍1	
哽	kɐŋ	
唉	ʔai	
唐	huŋ4	
唔	m̩5	
唥	lɐŋ	唥衫,羊毛衫
唥	lɐŋ	
唧	tsɪk	
唬	fu	
售	su	
唯	wei4	
唱	tsʰiuŋ1	
唷	ju1	
唸	tin1	
唸	nim	吟誦
唾	hu1	
啁	tsɐu1	
啃	hɐŋ	
啄	tiuk7b	
商	siuŋ1	
啊	ʔa1	
問	mɐn	
啕	hau4	
啜	tsyt7b	
啞	ŋa1	嘔啞
啞	ŋa	聾啞
啞	ŋɐk	啞然而笑
啟	kʰei	
啡	fɛ1	
啤	pɛ1	
啦	la1	
啪	pʰɐk	
啲	nit	一些
啼	hei4	
啾	tsɐu1	
喀	hɐk	
喂	wei1	
喃	nam4	
善	sin	
喇	la1	喇叭
喇	la4	語氣詞
喇	la5	喇嘛
喉	hou4	
喊	ham1	
喋	tip	
喔	wu1	
喘	tsʰyn	
喙	fei1	
喚	wun	
喜	hei	
喝	hut7b	
喟	wei	
喧	hyn1	
喪	suŋ1	
喫	hɛk7b	喫飯
喬	kʰiu4	
單	tan1	單純
單	sin4	單于
單	sin	姓單
喲	ju1	
喳	tsa1	
喵	miu1	
喻	ji	
嗅	tsʰɐu1	
嗆	tsʰiuŋ1	
嗇	sɪk	
嗎	ma1	是嗎
嗎	ma5	嗎啡
嗑	hɐp	
嗓	suŋ	
嗖	sou1	
嗚	wu1	
嗜	si1	
嗡	jʊŋ1	
嗣	tsi	
嗤	tsʰi1	
嗦	su1	
嗨	hui1	
嗯	m̩1	
嗯	m	
嗶	pɐt	
嗽	sou1	
嘀	tɪk	
嘅	kɛ1	
嘅	kə1	語流變讀
嘆	han1	
嘈	tsʰau4	
嘉	ka1	
嘍	lou4	
嘎	kat7b	
嘔	ŋou1	嘔氣
嘔	ŋou	嘔啞
嘔	ŋou	嘔吐
嘖	tsɐk	
嘗	siuŋ4	
嘛	ma5	喇嘛
嘟	tou1	
嘩	wa1	
嘩	wa4	
嘮	lau4	
嘯	siu1	
嘰	kei1	
嘲	tsau	
嘴	tsui	
嘶	sei1	
嘹	liu4	
嘻	hei1	
嘿	hɐk	嘿嘿
嘿	mɐk	通「默」
噎	jat7b	
嘘	hui1	噓寒問暖
噢	ŋau1	
器	hei1	
噩	ŋuk	
噪	tsʰau1	
噬	sei	
噴	pʰɐn1	
噸	tɐn1	
噹	tuŋ1	
嚀	nɪŋ4	
嚅	ji4	
嚇	hɐk7b	
嚎	hau4	
嚏	hei1	
嚐	siuŋ4	
嚕	lou1	
嚕	lou5	
嚟	lei4	
嚥	jan1	
嚨	lʊŋ4	
嚮	hiuŋ1	
嚮	hiuŋ	
嚴	jam4	
嚷	jiuŋ	
嚼	tsiuk7b	
囁	tsip7b	
囂	hiu1	
囉	lu1	囉嗦
囉	lu4	嘍囉
囊	nuŋ4	
囊	nuŋ	腳瓜囊
囑	tsʊk	
囚	tsʰɐu4	
四	sei1	
回	wui4	
因	jɐn1	
囡	nam5	困難
囱	tsʰʊŋ1	
囫	fɐt	
困	kʰuɐn1	
固	ku1	
圃	pʰou	
圇	lɐn4	
圈	kyn	豬圈
圈	hin1	圓圈
國	kuɐk7b	
圍	wei4	
園	jan4	
圓	jan4	
圖	hou4	
團	hun4	
團	hun4	團年
土	hou	
在	tsʰui5	老派文讀
在	tsui	
圭	kuei1	
圮	pʰei	
地	tei	
圳	tsɐn1	
圾	sap	
址	tsi	
均	kuɐn1	
坊	fɐŋ1	街坊
坊	fɐŋ4	堤坊
坎	hɐm	
坏	pʰui1	
坐	tsʰu1	
坐	tsu	
坑	hɐŋ1	
坡	pu1	
坤	kʰuɐn1	
坦	han	
坪	pʰɪŋ4	
坭	nei4	紫坭,地名
坷	hu	
坼	tsʰɐk7b	
垂	sui4	
垃	lap	
型	jɪŋ4	
垠	ŋɐn4	
垢	kou1	
垣	fun4	
垮	kʰua1	
埂	kɐŋ	
埃	ŋui1	
埋	mai4	
城	sɛŋ4	白讀
城	sɪŋ4	
埔	pou1	
埕	tsʰɪŋ4	
域	wɪk	
埠	pou	埠頭
埠	fou	商埠
埡	ŋa1	
執	tsɐp	
培	pʰui4	
基	kei1	
堂	huŋ4	
堅	kin1	
堆	tui1	
堆	tui5	變調;沙堆,地名
堊	ŋuk7b	
堡	pau	
堤	hei4	
堪	hɐm1	
堯	jau4	
堰	jan	
報	pau1	
場	tsʰiuŋ4	
堵	tou	
塊	fai1	
塌	hap7b	
塑	sou1	塑造
塑	suk7b	塑料
塔	hap7b	
塗	hou4	
塘	huŋ4	
塚	tsʰʊŋ	
塞	tsʰui1	塞外
塞	sɐk	塞車
塢	ŋou1	船塢
塢	wu	山塢
填	hin4	
塭	wɐn1	
塵	tsʰɐn4	
塹	tsʰim1	
塾	sʊk	
境	kɪŋ	
墅	ja5	
墅	sui	
墊	tin1	
墊	tsin1	白讀
墓	mou	
墜	tsui	
增	tsɐŋ1	
墟	hui1	
墟	hui4	
墨	mɐk	
墩	tɐn1	
墮	tu	
墳	fɐn4	
墾	hɐn	
壁	pɪk7b	
壇	han4	
壑	huk7b	
壑	kʰuk7b	
壓	ŋat7b	
壘	lɐt	神荼鬱壘
壘	lui	深壘,地名
壘	lui5	堡壘
壞	wai	
壟	lʊŋ5	
壤	jiuŋ	
壩	pa1	
士	si	
壬	jɐm4	
壯	tsuŋ1	
壹	jɐt	
壺	wu4	
壼	kʰuɐn	
壽	su	
夏	ha	
夕	tsɪk	
外	ŋui	
夙	sʊk	
多	tu1	
夜	ja	
够	kou1	
夢	mʊŋ	
夥	fu	
大	tai	
天	hin1	
太	hai1	
夫	fu1	農夫
夫	fu4	
夭	jau1	
央	jiuŋ1	
失	sɐt	
夷	ji4	
夸	kʰua1	
夾	kip7b	
夾	kip9	變調
奄	jam1	奄有
奄	jam	奄奄一息
奇	kei1	奇數
奇	kʰei4	奇怪
奈	nai	又音
奈	nui	
奉	fʊŋ	
奏	tsou1	
奐	wun	
契	kʰei1	契約
契	kʰit7b	契丹
契	sit7b	
奔	pɐn1	
奕	jɪk	
套	hau1	
奘	tsuŋ	
奚	hei4	
奠	tin	
奢	tsʰia1	
奧	ŋau1	
奪	tut	
奮	fɐn1	
奮	fɐn	
女	nui	
奴	nou4	
奶	nai5	
奸	kan1	
她	ha1	
奼	tsʰa1	
好	hau1	好客
好	hau	友好
如	ji4	古代第一人稱
妃	fei1	
妄	muŋ	
妍	jan4	
妒	tou	
妓	kei	
妖	jau	
妙	miu	
妝	tsuŋ1	
妞	nou	
妣	pei	
妥	hu1	
妥	hu5	
妨	fɐŋ4	
妮	nei4	
妳	nei1	
妹	mui	
妹	mui5	
妻	tsʰei1	
妾	tsʰip7b	
姆	mou5	
姊	tsei	姐姐,白讀
姊	tsi	
始	tsʰi	
姗	san1	
姐	tsia	
姐	tsia5	變調
姑	ku1	
姒	tsʰi1	
姓	sɪŋ1	
委	wei1	虛與委蛇,委委佗佗
委	wei	委託
姚	jau4	
姜	kiuŋ1	
姦	kan1	
姨	ji4	
姪	tsɐt	
姬	kei1	
姻	jɐn1	
姿	tsi1	
威	wei1	
娃	wa1	
娑	su1	
娓	mei	
娘	niuŋ4	
娛	ji4	
娜	na4	
娜	nu5	
娟	kyn1	
娥	ŋu4	
娶	tsʰou	娶老婆、娶新婦
娶	tsʰui	
婆	pʰu4	
婉	jan	
婚	fɐn1	
婢	pʰei1	
婢	pʰei	
婦	fu5	
婦	pʰou5	新婦,新娘
婪	lam4	
婷	hɪŋ4	
婺	mou	
婿	sei1	
媒	mui4	
媚	mei	
媧	wa1	
媲	pʰei1	
媳	sɪk	
媽	ma1	
媽	ma	
嫁	ka1	
嫂	sau	
嫉	tsɐt	
嫌	jam4	
嫗	ji	
嫣	jan1	
嫦	siuŋ4	
嫩	nɐn	
嫻	han4	
嬉	hei1	
嬌	kiu1	
嬛	hyn1	便嬛
嬛	kʰɪŋ4	美好
嬛	wan4	嫏嬛
嬷	ma1	
嬰	jɪŋ1	
嬸	sɐm	
子	tsi	
孔	hʊŋ	
孔	kʰʊŋ	又音
孕	jɐn	
字	tsi	
存	tsʰɐn4	
孜	tsi1	
孝	hiu1	
孟	mɐŋ	
孢	piu1	
季	kuei1	
孤	ku1	
孩	hai4	
孫	sɐn1	
孰	sʊk	
孵	fu1	
學	huk	
孺	ji4	
它	ha1	
宅	tsɐk	
宇	ji5	
守	su	
安	ŋun1	
宋	sʊŋ1	
完	jan4	
宏	wɐŋ4	
宕	tuŋ	
宗	tsʊŋ1	
官	kun1	
宙	tsu	
定	tɛŋ	落定,白讀
定	tɪŋ	安定
宛	jan1	大宛
宛	jan	宛然
宜	ji4	
客	hɐk	
宣	syn1	
室	sɐt	
宮	kʊŋ1	
宰	tsui	
害	hui	
宴	jan1	
宵	siu1	
家	ka1	家人
家	ka5	大家,變調
家	ku1	曹大家
宸	sɐn4	
容	jʊŋ4	
宿	sɐu1	星宿
宿	sʊk	住宿
寂	tsɪk	
寄	kei1	
寅	jɐn4	
密	mɐt	
寇	kʰou1	
富	fu1	
寐	mei	
寒	hun4	
寓	ji	
寞	muk	
察	tsʰat7b	
寡	kua	
寢	tsʰɐm	
寤	m	
寥	liu4	
實	sɐt	
寧	nɪŋ4	
寨	tsai	
審	sɐm	
寫	sia	
寬	fun1	
寮	liu4	
寰	wan4	
寵	tsʰʊŋ	
寶	pau	
寸	tsʰɐn1	
寺	tsi	
封	fʊŋ1	
射	ja	僕射
射	jɪk	
射	sia	發射
射	sɪk	
將	tsiuŋ1	將來
專	tsyn1	
尉	ji	尉遲
尉	wɐt	
尉	wei1	
尊	tsɐn1	
尋	tsʰɐm4	
對	tui1	
導	tau	
小	siu	
少	siu1	年少
少	siu	多少
尖	tsim1	
尚	siuŋ	
尤	jou4	
尬	kai1	
就	tsɐu	
尷	kam1	
尹	wɐn	姓氏
尹	wɐn5	
尺	tsʰɛk7b	
尺	tsʰɛk9	變調
尼	nei4	
尾	mei	
尿	niu	
局	kʊk	
屁	pʰei1	
居	kui1	
屆	kai1	
屈	wɐt	
屋	ŋʊk	
屍	si1	
屎	si	
屏	pɪŋ	屏除
屏	pʰɪŋ4	屏幕
屑	sit7b	
展	tsin	
屜	hei1	
屠	hou4	
屢	lui1	
屢	lui5	
層	tsʰɐŋ4	
履	lui5	
屬	sʊk	屬於
屬	tsʊk	屬文
屯	hɐn4	
屯	tsɐn1	
山	san1	
山	san5	變調;一字山,地名
屹	ŋɐt	
岌	kʰɐp	
岑	sɐm4	
岔	tsʰa1	
岡	kuŋ1	
岡	kuŋ5	變調
巖	ŋam4	
岱	tui	
岳	ŋuk	
岷	mɐn4	
岸	ŋun	
峇	pa1	
峙	si	
峨	ŋu4	
峪	jʊk	
峭	tsʰiu1	
峰	fʊŋ1	
島	tau	
峻	tsɐn1	
峽	hap	
崁	hɐm1	
崇	sʊŋ4	
崎	kʰei1	崎嶇
崎	kʰei4	長崎
崑	kʰuɐn1	
崔	tsʰui1	
崖	ŋai4	
崗	kuŋ1	
崗	kuŋ5	變調
崙	lɐn4	
崛	kuɐt	
崢	tsɐŋ1	
崩	pɐŋ1	
嵌	hɐm	
嵐	lam4	
嵩	sʊŋ1	
嵬	ŋei4	
嶄	tsam	
嶇	kʰui1	
嶸	wɪŋ4	
嶺	lɛŋ5	南嶺,白讀
嶺	lɪŋ1	嶺澳
嶺	lɪŋ5	嶺南
嶼	ji4	大嶼山,山名
嶼	tsui	島嶼
嶽	ŋuk	
巉	tsʰam4	
巍	ŋei4	
巒	lun4	
巔	tin1	
巖	ŋam4	
川	tsʰyn1	
州	tsu1	
巡	tsʰɐn4	
巢	tsʰau4	
工	kʊŋ1	
左	tsu	
巧	hiu	
巨	kui	
巫	mou4	
差	tsʰa1	差別
差	tsʰai1	出差
差	tsʰi1	參差
己	kei	
已	ji5	
巳	tsi	
巴	pa	
巷	huŋ	
巷	huŋ5	變調
巾	kɐn1	
市	si5	
布	pou1	
帆	fan4	
希	hei1	
帕	pʰɐk7b	
帖	hip7b	
帛	pɐk	
帝	tei1	
帥	sɐt	
帥	sui1	
師	si1	
席	tsɛk	涼席
席	tsɛk9	又音
席	tsɪk	席位
帳	tsiuŋ1	
帶	tai1	
帶	tai5	條帶,變調
帷	wei4	
常	siuŋ4	
帽	mau	
幅	fʊk	
幌	fɐŋ	
幔	man	
幕	muk	
幟	tsʰi1	
幢	tsʰuŋ4	幡幢
幢	tʊŋ	一幢樓
幢	huŋ4	海幢寺
幣	pei	
幫	puŋ1	
干	kun1	
平	pʰɛŋ4	便宜;平嶺,地名
平	pʰɪŋ4	
年	nin4	
并	pɪŋ	
幸	hɐŋ	
幹	kun1	
幻	wan	
幼	jou1	
幽	jou1	
幾	kei1	幾乎
幾	kei	幾個
广	jam	
庄	tsuŋ1	
庇	pei1	
牀	tsʰuŋ4	
序	tsui	
底	tei	
底	ti	白讀
店	tim1	
庚	kɐŋ1	
府	fu	
庠	tsʰuŋ4	
度	tou	度量衡
度	tuk	量度
座	tsu	
庫	fu1	
庭	hɪŋ4	
庵	ŋɐm	茶庵
庶	si1	
康	huŋ1	
庸	jʊŋ4	
廁	si1	
廂	siuŋ1	
厦	ha	
廉	lim4	
廊	luŋ4	
廓	kʰuɐk7b	
廖	liu	
廚	tsʰi4	
廚	tsʰui4	
厮	si1	
廟	miu	
廠	tsʰuŋ	
廢	fei1	
廣	kuɐŋ	
廩	lɐm5	
廬	lou4	
廳	hɛŋ1	
延	jan4	
廷	hɪŋ4	
建	kin1	
廿	ja	
弄	nʊŋ	
弇	jam	
弊	pei	
式	sɪk	
弓	kʊŋ1	
弔	tiu1	
引	jɐn	
引	jɐn5	
弗	fɐt	
弘	wɐŋ4	
弛	tsʰi4	
弟	tei	
弟	ti	白讀
弟	ti	老弟,白讀
弦	jan4	
弧	wu4	
弩	nou5	
弱	jiuk	
張	tsiuŋ1	
強	kiuŋ	倔強
強	kʰiuŋ1	勉強
強	kʰiuŋ5	勉強
強	kʰiuŋ4	強壯
彆	pit7b	
彈	tan	彈丸
彈	han4	彈劾
彌	mei4	
彌	nei4	
彎	wan1	
彗	wei	
彙	wui	
形	jɪŋ4	
彤	hʊŋ4	
彦	jan	
彩	tsʰui	
彪	piu1	
彬	pɐn1	
彭	pʰɐŋ4	
彰	tsiuŋ1	
影	jɛŋ	人影,白讀
影	jɪŋ	
彷	fɐŋ	
彷	pʰuŋ4	
役	jɪk	
彼	pei	
彿	fɐt	
往	wɐŋ5	
征	tsɪŋ1	
待	tui	
很	hɐn	
徉	jiuŋ4	
徊	wui4	
律	lɐt	效率
後	hou	
徐	tsʰui4	
徑	kɪŋ1	
徒	hou4	
得	tɐk	
