#漢字	音標	解釋
□	æ2	小~:男孩
向	ɕiaŋ5	
嚇	haʔ7	
嚇	həʔ7	
呂	lu3-	
呂	ly3=	
君	tɕyn1	
吝	lin5	
吟	in2	
吠	fəi5	
否	fəu3	
吨	tən1	
聽	tʰin1	
吭	kʰən1	
吮	suəʔ7	
啓	tɕʰi3	
吳	u2	
吵	tsʰɔ3	
吸	ɕiɪʔ7	
吹	tsʰuəi1	
吻	uən3	
吼	həi3	
呆	ɛ2	~板
呆	tɛ1	发~
呈	tsʰən2	
告	kɔ5	
呐	laʔ7-	
呐	la5=	
嘔	əi3	
員	yɪ2	
嗆	tɕʰiaŋ1	
嗆	tɕʰiaŋ5	
嗚	u1	
呢	li2	
周	tsəi1	
味	uəi5	
呼	hu1	
命	min5	
咀	tɕy3	
咂	tsaʔ7	
咆	pʰɔ2	
和	hø2	
和	hø5	应~
咎	tɕiø5	
詠	ioŋ3	
咒	tsəi5	
咕	ku1	
嚨	loŋ2	
咨	tsɿ1	
咬	ɔ3-	
咬	iɔ3=	
咳	kʰəʔ7	
咸	hæ2-	
咸	ɕiɪ2=	
咽	iɪ5	
哀	ɛ1	
品	pʰin3	
哄	hoŋ3	~骗
哄	hoŋ5	起~
哈	ha1	
響	ɕiaŋ3	
啞	ia3	
譁	hua2	
哥	kəu1	
哥	kø1	
哨	sɔ5	
哪	la3	
哭	kʰuəʔ7	
哮	ɕiɔ5	
哲	tsəʔ7	
哺	pu3	
哼	hən1	
哽	kən3	
唆	səu1	
脣	tɕʰiɪ2-	
脣	tɕʰyn2-	
脣	tsʰuen2=	
唐	tʰaŋ2	
嘮	lɔ5	
嗩	səu3	
喚	huæ5	
售	səi5	
唯	uəi3-	
唯	uəi2=	
唱	tsʰæ5-	
唱	tsʰaŋ5=	
唾	tʰəu5	
啃	kʰən3	
啄	tsuəʔ7	
商	saŋ1	
啤	pʰi2	
嗇	səʔ7	
啼	tʰi2	
喂	uəi5	
善	sæ5	
喇	la3	
喉	həi2	
喊	hæ3	
喘	tsʰuæ3	
喜	ɕi3	
喝	həʔ7	
喧	ɕyɪ1	
噴	pʰən1	
喻	y5	
嗅	ɕiø5	
嗑	kʰəʔ7	
嗓	saŋ3	
嗜	sɿ5	
嗝	kəʔ7	
嗣	sɿ5	
嗤	tsʰɿ1	
嗽	səi5	
嘀	tiɪʔ7	
嘉	tɕia1	
嘘	ɕy1	
囑	tsuəʔ7-	
囑	tsu3=	
嘲	tsʰɔ2	
嘴	tsəi3-	
嘴	tsuəi3=	
嘹	liɔ2	
噎	iɪʔ7	
器	tɕʰi5	
噩	əʔ7	
噪	tsɔ5	
噬	səʔ7	
噱	ɕyəʔ7	
嚎	hɔ2	
嚏	tʰi5	
囂	ɕiɔ1	
嚷	zaŋ1	
嚼	tɕiaʔ7	
囊	laŋ2	
囚	tɕʰiø2	
四	sɿ5	
回	huəi2	
因	in1	
团	tʰiø2-	
团	tʰø2=	
囤	tʰən2	
囤	tən5	
囫	huəʔ7	
園	yɪ2	
困	kʰuən5	
囱	tsʰoŋ1	
圍	uəi2	
固	ku5	
圖	tʰu2	
圃	pʰu3	
圓	yɪ2	
圈	tɕʰyɪ1	~子
圈	tɕʰyɪ1-	羊~
圈	tɕyɪ5=	羊~
土	tʰu3	
聖	sən5	
在	tsɛ5	
圩	uəi2	
地	ti5	
場	tsʰaŋ3=	
圾	tɕiɪʔ7	
址	tsɿ3	
均	tɕyn1	
坊	faŋ1	
坍	tʰæ1	
坎	kʰæ3	
壞	huɛ5	
坐	tsəu5	
坑	kʰən1	
塊	kʰuɛ5	
堅	tɕiɪ1	
坛	tʰø2-	
坛	tʰæ2=	
壩	pa5	
塢	u5	
墳	fən2	
墜	tsuəi5	
坡	pʰəu1	
坤	kʰuən1	
坦	tʰæ3	
坯	pʰəi1	
坷	kʰø3	
垂	tsʰuəi2	
垃	la1	
壟	loŋ3	
型	ɕin2	
垒	ləi3	
垢	kəi5	
墾	kʰən3	
墊	tiɪ5	
垮	kʰua3	
埂	kən3	
埃	ɛ1	
埋	mɛ2	
城	tsʰən2	
埝	liɪ5	
域	yəʔ7	
培	pʰəi2	
基	tɕi1	
堂	tʰaŋ2	
堆	təi1	
塹	tɕʰiɪ5	
墮	təu5	
堡	pɔ3	
堤	tʰi2	
堪	kʰæ1	
堰	iɪ5	
堵	tu3	
塌	tʰaʔ7	
塑	su5	
塔	tʰaʔ7	
塘	tʰaŋ2	
塞	səʔ7	~子
塞	sɛ5	要~
填	tʰiɪ2	
塾	suəʔ7	
境	tɕin5	
墅	su5	
墓	məu5	
牆	tɕʰiɛ2-	
牆	tɕʰiaŋ2=	
增	tsən1	
墨	məʔ7	
墩	tən1	
壁	piɪʔ7	
壤	zaŋ3	
士	sɿ5	
壯	tsuaŋ5	
聲	sən1	
殼	kʰəʔ7	
壺	hu2	
處	tsʰu3	~理
處	tsʰu5	~所
備	pəi5	
复	fəʔ7	
夏	ɕia5	
夕	ɕiɪʔ7	
外	uɛ5	
夙	su5	
多	təu1	
夜	iɛ5	
够	kəi5	
大	tɛ5-	~麦
大	ta5=	~小
天	tʰiɪ1	
太	tʰɛ5	
夫	fu1	
夭	iɔ1	
央	iaŋ1	
夯	haŋ1	
失	səʔ7	
頭	tʰəi2	
夷	i2	
夸	kʰua1	
夾	kaʔ7	
奪	tuəʔ7	
奇	tɕʰi2	
奈	lɛ5	
奉	foŋ5	
奮	fən5	
奎	kʰuəi2	
奏	tsəi5	
契	tɕʰiɪʔ7	
奔	pən1	
奕	iɪʔ7-	
奕	i5=	
獎	tɕiaŋ3	
套	tʰɔ5	
奚	ɕi1	
奠	tiɪ5	
奢	ɕiɪ1	
奧	ɔ5	
女	ly3	
奴	lu2	
奶	lɛ1-	
奶	lɛ3=	
奸	tɕiɪ1	
她	tʰa1	
好	hɔ3	~坏
好	hɔ5	爱~
妁	suəʔ7	
如	lu2	
妃	fəi1	
妄	uaŋ5	
妝	tsuaŋ1	
婦	fu5	
媽	ma1	
妒	tu5	
妓	tɕi5	
妖	iɔ1	
妙	miɔ5	
妥	tʰəu3	
妨	faŋ1-	
妨	faŋ2=	
妯	tsuəʔ7	
妹	məi1-	
妹	məi5=	
妻	tɕʰi1	
妾	tɕʰiɪʔ7	
姆	məu3	
姊	tsɿ3	
始	sɿ3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕin5	
委	uəi3	
姘	pʰin1	
姚	iɔ2	
姜	tɕiaŋ1	
姥	lɔ3	
姨	i2	
姬	tɕi1	
姻	in1	
姿	tsɿ1	
威	uəi1	
娃	ua2	
婁	ləi2	
嬌	tɕiɔ1	
娘	liɛ2-	
娘	liaŋ2=	
娜	laʔ7-	
娜	la5=	
娟	tɕyɪ1	
娥	əu2	
娥	ø2	
娩	miɪ3	
娛	y2	
娴	ɕiɪ2	
娶	tɕʰy3	
娼	tsʰaŋ1	
婆	pʰəu2	
婉	uæ3	
婊	piɔ3	
婚	huən1	
嬰	in1	
嬸	sən3	
婿	ɕy5	
媒	məi2	
媚	məi5	
媳	ɕiɪʔ7	
嫁	ka5-	
嫁	tɕia5=	
嫂	sɔ3	
嫌	ɕiɪ2	
嫖	pʰiɔ2	
嫡	tiɪʔ7	
嫩	lən5	
嬉	ɕi1	
子	tsɿ3	
子	tsəʔ7	词缀
孔	kʰoŋ3	
孕	yn5	
字	tsɿ5	
存	tsʰən2-	
存	tsʰuen2=	
孫	sən1-	
孫	suen1=	
孝	ɕiɔ5	
孟	moŋ5	
季	tɕi5	
孤	ku1	
學	ɕyəʔ7=	
學	həʔ7-	上~
孩	hɛ2	
孿	lø2	
孰	su2	
孵	fu1	
孺	lu3	
孽	liɪʔ7	
寧	lin5	~可
寧	lin2	江~
它	tʰa1	
宅	tsəʔ7	
宇	y3	
守	səi3	
安	ø1-	
安	æ1=	
宋	soŋ5	
完	uæ2	
宏	hoŋ2	
宗	tsoŋ1	
官	kuæ1	
宙	tsəi5	
定	tin5	
宛	uæ3	
宜	i2	
寶	pɔ3	
實	səʔ7	
寵	tsʰoŋ3	
審	sən3	
客	kʰəʔ7	
宣	ɕyɪ1	
室	səʔ7	
宪	ɕiɪ5	
宮	koŋ1	
宰	tsɛ3	
害	hɛ5	
宴	iɪ5	
宵	ɕiɔ1	
家	ka1-	
家	tɕia1=	
容	ioŋ2	
寬	kʰuæ1	
賓	pin1	
宿	sɛ5	~舍
宿	ɕiø5	~舍
宿	səʔ7	一~
寂	tɕi5	
寄	tɕi5	
寅	in2	
密	miɪʔ7	
寇	kʰəi5	
富	fu5	
寒	hæ2	
寓	y5	
寢	tɕʰin3	
寞	məʔ7	
察	tsʰaʔ7	
寡	kua3	
寥	liɔ2	
寨	tsɛ5	
寸	tsʰən5-	
寸	tsʰuen5=	
對	təi5	
寺	sɿ5	
尋	tɕʰin2-	
尋	ɕyn2=	
導	tɔ3	
壽	səi5	
封	foŋ1	
射	sɛ5	
將	tɕiɛ1-	
將	tɕiaŋ1=	
將	tɕiaŋ5	~士
尉	uəi5	
尊	tsən1	
小	ɕiɔ3	
少	sɔ5	~年
少	sɔ3	多~
尔	əi3	
尖	tɕiɪ1	
塵	tsʰən2	
尚	saŋ5	
嘗	tsʰæ2-	
嘗	tsʰaŋ2=	
尤	iø2	
堯	iɔ2	
就	tɕiø5	
屍	sɿ1	
尹	in3	
尺	tsʰəʔ7	
尼	li2	
尽	tɕin3	~管
尽	tɕin5	~头
尾	uəi3	
尿	səi1	
尿	liɔ5	
局	tɕyəʔ7	
屁	pʰi5	
層	tsʰən2	
居	tɕy1	
屈	tɕʰyəʔ7	
屉	tʰi5	
屆	tɕiɛ5	
屋	uəʔ7	
屎	sɿ3	
屏	pʰin2	~风
屏	pin3	~气
屑	ɕiɪʔ7	
展	tsæ3	
屙	ø1	
屬	suəʔ7-	
屬	su3=	
屠	tʰu2	
屢	ly3	
履	ly3	
屯	tʰən1	
屯	tʰən2	
山	sæ1	
屹	iɪʔ7	
歲	səi5-	
歲	suəi5=	
豈	tɕʰi3	
岑	tsʰən2	
岔	tsʰa5	
嶇	tɕʰy1	
崗	kaŋ1	~~子:山头
崗	kaŋ3	~位
嵐	læ2	
島	tɔ3	
巖	iɪ2	
嶺	lin3	
岳	yəʔ7	
岸	æ5	
峙	tsɿ5	
峽	ɕiaʔ7	
巒	lø2	
峭	tɕʰiɔ5	
峰	foŋ1	
峻	tɕyn5	
崇	tsʰoŋ2	
崎	tɕʰi2	
崔	tsʰəi1-	
崔	tsʰuəi1=	
崖	ia2	
崩	poŋ1	
嶄	tsæ3	
崽	tsɛ3	
嵇	tɕi1	
嵌	kʰæ5-	
嵌	tɕʰiɪ5=	
嵩	soŋ1	
巍	uəi1	
川	tsʰuæ1	
州	tsəi1	
巡	ɕyn2	
巢	tsʰɔ2	
工	koŋ1	
左	tsəu3	
巧	tɕʰiɔ3	
巨	tɕy5	
鞏	koŋ3	
巫	u1	
差	tsʰa1	~别
差	tsʰɛ1	出~
己	tɕi3	
已	i3	
巳	sɿ5	
巴	pa1	
巷	ɕiɛ5-	
巷	haŋ5-	
巷	ɕiaŋ5=	
巾	tɕin1	
幣	pi5	
市	sɿ5	
布	pu5	
帆	fæ1	
師	sɿ1	
希	ɕi1	
帳	tsæ5	
帕	pʰa5	
帖	tʰiɪʔ7	
帘	liɪ2	
帚	tsəi1	
帛	pəʔ7	
幟	tsəʔ7	
帝	ti5	
帶	tɛ5	
席	ɕiɪʔ7	
幫	paŋ1	
帷	uəi2	
常	tsʰæ2-	
常	tsʰaŋ2=	
帽	mɔ5	
幅	fəʔ7	
幌	huaŋ3	
幕	məu5	
幡	fæ1	
干	kø1-	
干	kæ5	~活
干	kæ1=	~净
平	pʰin2	
年	liɪ2	
并	pin5	
幸	ɕin5	
幺	iɔ1	
幻	huæ5	
幼	iø5	
幽	iø1	
廣	kuaŋ3	
莊	tsuaŋ1	
慶	tɕʰin5	
庇	pi5	
牀	tsʰuaŋ2	
序	ɕy5	
廬	lu2	
庫	kʰu5	
應	in1	~当
應	in5	答~
底	ti3	
店	tiɪ5	
廟	miɔ5	
庚	kən1	
府	fu3	
龐	pʰaŋ2	
廢	fəi5	
度	tu5	
座	tsəu5	
庭	tʰin2	
庵	iɪ1	
庶	su5	
康	kʰaŋ1	
庸	ioŋ1	
廉	liɪ2	
廊	laŋ2	
廓	kʰuəʔ7	
廖	liɔ5	
延	iɪ2	
廷	tʰin2	
建	tɕiɪ5	
開	kʰɛ1	
异	i5	
弃	tɕʰi5	
弄	loŋ5	
弊	pi5	
式	səʔ7	
弓	koŋ1	
引	in3	
弘	hoŋ2	
弛	tsʰɿ2	
弟	ti5	
張	tsæ1-	
張	tsaŋ1=	
弥	mi2	
弦	ɕiɪ2	
弧	hu2	
彎	uæ1	
弱	zuəʔ7	
彈	tʰæ2	~性
彈	tæ5	子~
强	tɕʰiaŋ2	
强	tɕiaŋ5	倔~
歸	kuəi1	
