#漢字	音標	解釋
□	æ2	小~:男孩
糙	tsʰɔ1	
糜	mi3	
糟	tsɔ1	
糯	ləu5	
系	tɕi5	~带子
系	ɕi5	关~
紊	uən3	
素	su5	
索	səʔ7	
緊	tɕin3	
紫	tsɿ3	
累	ləi3	~积
累	ləi5	劳~
絮	ɕy5	
繁	fæ2	
糾	tɕiø1	
紅	hoŋ2	
纤	tɕʰiɪ5	拉~,~维
約	iaʔ7-	
約	yəʔ7=	
級	tɕiɪʔ7	
紀	tɕi5	
紉	zən5	
緯	uəi3	
純	tsʰuen2	
紕	pʰi1	
紗	sa1	
綱	kaŋ1	
納	laʔ7-	
納	la5=	
縱	tsoŋ5	
紛	fən1	
紙	tsɿ3	
紋	uən2	
紡	faŋ3	
紐	liø3	
線	ɕiɪ5	
練	liɪ5	
組	tsu3	
紳	sən1	
細	ɕi5	
織	tsəʔ7	
終	tsoŋ1	
絆	pæ5	
紹	sɔ5	
經	tɕin1	
綁	paŋ3	
絨	ioŋ2	
結	tɕiɪʔ7	
繞	zɔ5	
繪	huəi5	
給	kəʔ7	
絡	ləʔ7	
絶	tɕyəʔ7	
絞	tɕiɔ3	
統	tʰoŋ3	
絹	tɕyɪ5	
繡	ɕiø5	
繼	tɕi5	
績	tɕiɪʔ7	
緒	ɕy5	
續	səʔ7-	
續	ɕy5=	
綽	tsʰuəʔ7	
繩	sən2	
維	uəi2	
綿	miɪ2	
繃	poŋ1	
綢	tsʰəi2	
綜	tsoŋ1	
綻	tsæ5	
綠	ləʔ7-	
綠	ly5=	
綴	tsuəi5	
纜	læ3	
緝	tɕʰiɪʔ7-	
緝	tɕiɪʔ7=	
緞	tø5	
緩	huæ3	
縷	ly3	
編	piɪ1	
緣	yɪ2	
縫	foŋ2	~纫
縫	foŋ5	~隙
纏	tsʰæ2	
纓	in1	
縮	səʔ7	
繆	miɔ5	
繚	liɔ2	
繮	tɕiaŋ1	
繳	tɕiɔ3	
缸	kaŋ1	
缺	tɕʰyəʔ7	
罐	kuæ5	
网	uaŋ3	
罕	hæ3	
羅	ləu2	
罰	faʔ7	
罷	pa5	
罩	tsɔ5	
罪	tsəi5-	
罪	tsuəi5=	
置	tsɿ5	
罱	læ3	
署	su3	
羈	tɕi1	
羊	iaŋ2	
美	məi3	
羔	kɔ1	
羞	ɕiø1	
羡	ɕiɪ5	
群	tɕʰyn2	
羮	kən1	
羲	ɕi1	
羽	y3	
翁	oŋ1	
翅	tsʰɿ5	
翔	ɕiaŋ2	
翹	tɕʰiɔ2-	
翹	tɕʰiɔ5=	
翟	tsəʔ7	
翠	tsʰəi5-	
翠	tsʰuəi5=	
翰	hæ5	
翻	fæ1	
翼	i5	
耀	iɔ5	
老	lɔ3	
考	kʰɔ3	
者	tsɛ3	
而	əi2	
耍	sua3	
耐	lɛ5	
耕	kən1	
耗	hɔ5	
耘	yn2	
耙	pʰa1	
耙	pʰa5	
耳	əi3	
耶	iɪʔ7	
耷	taʔ7	
聳	soŋ3	
耻	tsʰɿ3	
耽	tæ1	
耿	kən3	
聶	liɪʔ7	
聊	liɔ2	
聾	loŋ2	
職	tsəʔ7	
聯	liɪ2	
聘	pʰin5	
聚	tɕy5	
聰	tsʰoŋ1	
肅	səʔ7	
肆	sɿ5	
肇	tsɔ5	
肉	zəi5	
肋	ləʔ7	
肌	tɕi1	
肖	ɕiɔ5	~像
肘	tsəi3	
肚	tu5	
肛	kaŋ1	
肝	kæ1	
腸	tsʰæ2-	
腸	tsʰaŋ2=	
股	ku3	
肢	tsɿ1	
膚	fu1	
肥	fəi2	
骯	aŋ1	
肯	kʰən3	
肺	fəi5	
腎	sən5	
腫	tsoŋ3	
脹	tsæ5-	
脹	tsaŋ5=	
脅	ɕiɪʔ7	
胃	uəi5	
膽	tæ3	
背	pəi1	~负
背	pəi5	~后
胎	tʰɛ1	
胖	pʰaŋ5	
胚	pʰəi1	
勝	sən1-	
勝	sən5=	
胞	pɔ1	
胡	hu2	
胭	iɪ1	
胯	kʰua5	
胳	kəʔ7	
膠	tɕiɔ1	
胸	ɕioŋ1	
能	lən2	
脂	tsɿ1	
脆	tsʰəi5-	
脆	tsʰuəi5=	
脉	məʔ7	
脊	tɕiɪʔ7	
脏	tsaŋ5	心~
脏	tsaŋ1	肮~
臍	tɕʰi2	
腦	lɔ3	
膿	loŋ2	
脖	pəʔ7	
脚	tɕiaʔ7	
脱	tʰəʔ7	
臉	liɪ3	
脾	pʰi2	
臘	laʔ7	
腋	iɪʔ7	
腌	iɪ1	
腐	fu3	
腔	tɕʰiaŋ1	
腕	uæ5	
腥	ɕin1	
腭	əʔ7	
腮	sɛ1	
腰	iɔ1	
腹	fəʔ7	
膩	li5	
騰	tʰən2	
腿	tʰəi3	
膀	paŋ3	
膊	pəʔ7	
膏	kɔ1	
膘	piɔ1	
膛	tʰaŋ2	
膜	məu2	
膝	tɕʰiɪʔ7-	
膝	ɕiɪʔ7=	
膨	pʰoŋ2	
膳	sæ5	
臀	tʰən2	
臂	piɪʔ7	
臃	ioŋ1	
臆	i5	
臊	sɔ1	
臣	tsʰən2	
自	tsɿ5	
臭	tsʰəi5	
至	tsɿ5	
致	tsɿ5	
臻	tsən1	
臼	tɕiø5	
舀	iɔ3	
舅	tɕiø5	
輿	y2	
舌	səʔ7	
舍	ɕiɪ3	~得
舒	su1	
舔	tʰiɪ3	
舜	suen5	
舞	u3	
舟	tsəi1	
航	haŋ2	
般	pæ1	
艦	tɕiɪ5	
艙	tsʰaŋ1	
舵	təu5	
船	tɕʰyɪ2-	
船	tsʰuæ2=	
良	liaŋ2	
艱	tɕiɪ1	
色	səʔ7	
豔	iɪ5	
藝	i5	
艾	ɛ5	
節	tɕiɪʔ7	
芋	y5	
芒	uaŋ2-	
芒	maŋ2=	
蕪	u2	
芝	tsɿ1	
芥	kɛ5	
蘆	lu2	
芬	fən1	
芮	zuəi5	
芯	ɕin1	
花	hua1	
芳	faŋ1	
芸	yn2	
芹	tɕʰin2	
芽	ia2	
葦	uəi3	
蒼	tsʰaŋ1	
苏	su1	
苑	yɪ5	
苔	tʰɛ2	
苗	miɔ2	
苛	kʰəu1	
若	zuəʔ7-	
若	y5=	
苦	kʰu3	
英	in1	
蘋	pʰin2	
茁	tsuəʔ7	
茂	mɔ5	
范	fæ5	
茄	tɕʰia2	
茅	mɔ2	
莖	tɕin1	
繭	tɕiɪ3	
茫	maŋ2	
茬	tsʰa2	
茴	huəi2	
茵	in1	
茶	tsʰa2	
茸	ioŋ2	
茹	lu2	
荀	ɕyn2	
荆	tɕin1	
草	tsʰɔ3	
薦	tɕiɪ5	
荒	huaŋ1	
荔	liɪʔ7	
蕎	tɕʰiɔ2	
薈	huəi5	
薺	tɕi5	
蕩	taŋ5	
榮	ioŋ2	
葷	huən1	
熒	in2	
蔭	in1	
藥	iaʔ7	
荷	həu2	
荷	hø2	
莅	li5	
莉	li5	
莓	məi2	
莫	məʔ7	
蓮	liɪ2	
萵	əu1	
萵	ø1	
获	huəʔ7	
瑩	in2	
鶯	in1	
莽	maŋ3	
菊	tɕyəʔ7	
菌	tɕyn5	
菜	tsʰɛ5	
菠	pəu1	
菩	pʰu2	
菱	lin2	
萄	tʰɔ2	
萌	moŋ2	
萍	pʰin2	
萎	uəi3	
蘿	ləu2	
螢	in2	
營	in2	
蕭	ɕiɔ1	
薩	saʔ7	
落	ləʔ7	
著	tsu5	
葛	kəʔ7	
葡	pʰu2	
董	toŋ3	
葫	hu2	
葬	tsaŋ5	
葱	tsʰoŋ1	
葵	kʰuəi2	
蒂	ti5	
蔣	tɕiaŋ3	
蒙	moŋ2	
蒙	moŋ3	
蒜	suæ5	
蒲	pʰu2	
蒸	tsən1	
蒿	hɔ1	
蓄	ɕy5	
蓑	səu1	
蓖	pi5	
藍	læ2	
蓬	pʰoŋ2	
蔑	miɪʔ7	
蔓	mæ5	
蔗	tsɿ1	
蔚	uəi5	
蔡	tsʰɛ5	
蔫	liɪ1	
薔	tɕʰiaŋ2	
蔽	pi5	
蕉	tɕiɔ1	
蕊	zuəi3	
蘊	yn5	
蕾	ləi3	
薄	pəʔ7	
薛	ɕiɪʔ7-	
薛	ɕyəʔ7=	
薪	ɕin1	
薯	su3	
藉	tɕiɪʔ7	
藏	tsʰaŋ2	埋~
藏	tsaŋ5	西~
藐	miɔ3	
藕	əi3	
藤	tʰən2	
藻	tsɔ3	
蘑	məu2	
蘸	tsæ5	
虎	hu3	
虜	ləu3-	
虜	lu3=	
虐	liaʔ7	
慮	ly5	
虔	tɕʰiɪ2	
虚	ɕy1	
虞	y2	
蟲	tsʰoŋ2	
虱	səʔ7	
虹	hoŋ2	
虻	moŋ2	
雖	səi1	
蝦	ha1-	
蝦	ɕia1=	
蝕	səʔ7	
蟻	i3	
螞	ma3	
蚊	uən2	
蚌	paŋ5	河~
蠶	tsʰæ2	
蚤	tsɔ3	
蚱	tsa5	
蛀	tsu5	
蛆	tɕʰy1	
蛇	ɕiɪ2-	
蛇	səi2=	
蠱	ku3	
蛋	tæ5	
蛐	tɕʰyəʔ7	
蛔	huəi2	
蛙	ua1	
蛟	tɕiɔ1	
蛤	ha2	~蟆
蠻	mæ2	
螄	sɿ1	
蛹	ioŋ3	
蛾	əu2	
蛾	ø2	
蜀	suəʔ7	
蜂	foŋ1	
蜈	u2	
蜕	tʰəi5	
蝸	əu1	
蝸	ø1	
蜜	miɪʔ7	
蠟	laʔ7	
蠅	in2	
蟬	tsʰæ2	
蠍	ɕiɪʔ7	
蝗	huaŋ2	
蝴	hu2	
蝶	tiɪʔ7	
螃	pʰaŋ2	
融	ioŋ2	
螟	min2	
螺	ləu2	
蟀	suɛ5	
蟆	ma2	
蟋	ɕiɪʔ7	
蟑	tsæ1-	
蟑	tsaŋ1=	
蟒	maŋ3	
蟠	pʰæ2	
蟥	huaŋ2	
蟹	ɕiɛ5	
蟾	tsʰæ2	
蠢	tsʰuen3	
血	ɕyəʔ7	
衅	ɕin5	
行	ɕin2	~动
行	haŋ2	银~
衍	iɪ3	
銜	hæ2-	
銜	ɕiɪ2=	
街	kɛ1-	
街	tɕiɪ1-	
街	tɕiɛ1=	
衙	ia2	
衡	hən2	
衣	i1	
補	pu3	
表	piɔ3	
衫	sæ1	
襯	tsʰən5	
衰	suɛ1	
衷	tsoŋ1	
袁	yɪ2	
襖	ɔ3	
袋	tɛ5	
袍	pʰɔ2	
袖	ɕiø5	
袜	uaʔ7	
被	pəi5	
襲	ɕiɪʔ7	
袱	fəʔ7	
裁	tsʰɛ2	
裂	liɪʔ7	
裝	tsuaŋ1	
襠	taŋ1	
裔	i5	
裕	y5	
裘	tɕʰiø2	
裙	tɕʰyn2	
褲	kʰu5	
裳	saŋ5	
裴	pʰəi2	
裸	ləu3	
裹	kəu3	
裹	kø3	
褂	kua5	
褚	tsʰu3	
褥	yəʔ7	
褪	tʰən5-	
褪	tʰəi5=	
褶	tsəʔ7	
襟	tɕin1	
西	ɕi1	
要	iɔ1	~求
要	iɔ5	需~
覆	fəʔ7	
見	tɕiɪ5	
觀	kuæ1	
規	kuəi1	
覓	miɪʔ7	
視	sɿ5	
覽	læ3	
覺	kɔ5-	睡~
覺	tɕiɔ5=	睡~
角	tɕiaʔ7-	
角	kəʔ7-	
角	tɕyəʔ7-	
角	tɕiɔ3=	
解	kɛ3	
觸	tsʰuəʔ7	
言	iɪ2	
詹	tsæ1	
譽	y5	
謄	tʰən2	
警	tɕin3	
譬	pʰiɪʔ7	
計	tɕi5	
訂	tin5	
訃	fu5	
認	zən5	
譏	tɕi1	
討	tʰɔ3	
讓	zæ5-	
讓	zaŋ5=	
訕	sæ5	
訓	ɕyn5	
議	i5	
訊	ɕyn5	
記	tɕi5	
講	tɕiɛ3-	
講	tɕiaŋ3=	
諱	huəi5	
訝	ia5	
許	ɕy3	
訛	ø2	
論	lən5	
訟	soŋ5	
諷	foŋ3	
設	səʔ7	
訪	faŋ3	
訣	tɕyəʔ7	
證	tsən5	
評	pʰin2	
詛	tsu3	
識	səʔ7	
訴	su5	
診	tsən3	
謅	tsəi1	
詞	tsʰɿ2	
譯	iɪʔ7	
試	sɿ5	
詩	sɿ1	
誠	tsʰən2	
誅	tsu1	
話	hua5	
誕	tæ5	
詭	kuəi3	
詢	ɕyn2	
詣	i5	
該	kɛ1	
詳	ɕiaŋ2	
諢	huən5	
誡	tɕiɛ5	
語	y3	
誤	u5	
誘	iø5	
誨	huəi5	
誑	kʰuaŋ2	
説	suəʔ7	
誦	soŋ5	
請	tɕʰin3	
諸	tsu1	
諾	ləʔ7	
讀	təi5	
讀	təʔ7	
誹	fəi3	
課	kʰəu5	
課	kʰø5	
誰	suəi3	
調	tʰiɔ2	~整
調	tiɔ5	~查
諒	liaŋ5	
諄	tsuen1	
談	tʰæ2	
誼	i5	
謀	məu2	
謊	huaŋ3	
諫	tɕiɪ5	
諧	ɕiɪʔ7	
謔	ɕyəʔ7	
謂	uəi5	
讒	tsʰæ2	
諺	iɪ5	
謎	mi2	
謝	ɕiɛ5	
謡	iɔ2	
謗	paŋ5	
謙	tɕʰiɪ1	
謹	tɕin3	
謾	mæ5	
謬	miɔ5	
譚	tʰæ2	
譜	pʰu3	
譴	tɕʰiɪ3	
谷	kuəʔ7	
豁	huaʔ7	~口
豁	huəʔ7	~达
豆	təi5	
豇	kaŋ1	
豌	ø1-	
豌	uæ1=	
象	ɕiaŋ5	
豪	hɔ2	
豫	y5	
豹	pɔ5	
豺	tsʰɛ2	
貌	mɔ5	
貝	pəi5	
貞	tsən1	
負	fu5	
貢	koŋ5	
財	tsʰɛ2	
責	tsəʔ7	
賢	ɕiɪ2	
敗	pɛ5	
賬	tsaŋ5	
貨	həu5	
貨	hø5	
質	tsəʔ7	
販	fæ5	
貪	tʰæ1	
貧	pʰin2	
貶	piɪ3	
購	kəi5	
貯	tsʰu2	
貫	kuæ5	
賤	tɕiɪ5	
貼	tʰiɪʔ7	
貴	kuəi5	
貸	tɛ5	
貿	mɔ5	
費	fəi5	
賀	həu5	
賀	hø5	
賊	tsəʔ7	
賈	tɕia3	
賄	huəi5	
賃	lin5	
賂	ləʔ7	
贓	tsaŋ1	
資	tsɿ1	
賒	ɕiɪ1	
賦	fu5	
賭	tu3	
贖	suəʔ7	
賞	saŋ3	
賜	tsʰɿ5	
賠	pʰəi2	
賴	lɛ5	
贅	tsuəi5	
賺	tsuæ5	
賽	sɛ5	
贊	tsæ5	
贈	tsən5	
贏	in2	
贛	kæ5	
赤	tsʰəʔ7	
赦	səʔ7	
赫	həʔ7	
走	tsəi3	
赴	fu5	
趙	tsɔ5	
趕	kæ3	
起	tɕʰi3	
趁	tsʰən5	
超	tsʰɔ1	
越	yəʔ7	
趨	tɕʰy1	
趟	tʰaŋ5	
趣	tɕʰy5	
足	tsuəʔ7	
趴	pʰa1	
趾	tsɿ3	
躍	yəʔ7	
跌	tiɪʔ7	
跑	pʰɔ3	
跛	pəu3	
距	tɕy5	
跟	kən1	
跤	kɔ1-	
跤	tɕiɔ1=	
跨	kʰua5	
跪	kʰuəi3-	
跪	kuəi5=	
路	lu5	
跳	tʰiɔ5	
踐	tɕiɪ5	
蹺	tɕʰiɔ1	
跥	təu5	
踊	ioŋ3	
踏	tʰaʔ7	
踢	tʰiɪʔ7	
踩	tsʰɛ3	
蹤	tsoŋ1	
踱	tuəʔ7	
蹄	tʰi2	
蹈	tɔ3	
蹦	poŋ5	
蹩	piɪʔ7	
蹲	tən1	
蹶	tɕyəʔ7	
躁	tsɔ5	
身	sən1	
躬	koŋ1	
軀	tɕʰy1	
躱	təu3	
躺	tʰaŋ3	
車	tɕʰiɪ1-	
車	tsʰəi1=	
軋	kaʔ7-	
軋	tsaʔ7	
軋	ia5=	
軌	kuəi3	
軒	ɕyɪ1	
轉	tsuæ3	~变
轉	tsuæ5	~动
輪	lən2	
軟	yɪ3-	
軟	zuæ3=	
轟	hoŋ1	
軸	tsuəʔ7	
軼	i5	
輕	tɕʰin1	
載	tsɛ5	~人
載	tsɛ3	记~
轎	tɕiɔ5	
較	kɔ5-	
較	tɕiɔ5=	
輔	fu3	
輛	liaŋ5	
輩	pəi5	
輯	tɕiɪʔ7	
輸	su1	
轅	yɪ2	
轄	haʔ7	
轍	tsəʔ7	
辛	ɕin1	
辜	ku1	
辭	tsʰɿ2	
辟	piɪʔ7	
辟	pʰiɪʔ7	
辣	laʔ7	
辨	piɪ5	
辯	piɪ5	
辮	piɪ5	
辰	tsʰən2	
辱	yəʔ7	
邊	piɪ1	
遼	liɔ2	
達	taʔ7-	
達	ta2=	
遷	tɕʰiɪ1	
迂	y1	
迅	ɕyn5	
過	kø1	
過	kəu5	
過	kø5	
邁	mɛ5	
迎	in2	
運	yn5	
近	tɕin5	
返	fæ3	
還	huæ2	~是,~钱
這	ki5-	
這	tsəʔ7=	
進	tɕin5	
遠	yɪ3	
違	uəi2	
連	liɪ2	
遲	tsʰɿ2	
迢	tʰiɔ2	
迭	tiɪʔ7	
述	suəʔ7	
迷	mi2	
迹	tɕiɪʔ7	
追	tsuəi1	
退	tʰəi5	
送	soŋ5	
適	səʔ7	
逃	tʰɔ2	
逆	liɪʔ7	
選	ɕyɪ3	
遜	ɕyn5	
逍	ɕiɔ1	
透	tʰəi5	
逐	tsuəʔ7	
遞	ti5	
途	tʰu2	
逗	təi5	
通	tʰoŋ1	
逛	kuaŋ5	
逝	sɿ5	
逞	tsʰən3	
速	səʔ7	
造	tsɔ5	
逢	foŋ2	
逮	tɛ3	
逮	tɛ5	~捕
逵	kʰuəi2	
逸	iɪʔ7	
邏	ləu2	
逼	piɪʔ7	
逾	y2	
遂	suəi5	
遇	y5	
遍	pʰiɪ5	
遏	əʔ7	
道	tɔ5	
遺	i2	
遛	liø5	
遢	tʰaʔ7	
遣	tɕʰiɪ3	
遥	iɔ2	
遭	tsɔ1	
遮	tsəʔ7	
遵	tsən1	
避	pi5	
邀	iɔ1	
邑	iɪʔ7	
鄧	tən5	
邢	ɕin2	
邦	paŋ1	
邪	ɕiɛ2	
郵	iø2	
邱	tɕʰiø1	
邵	sɔ5	
鄒	tsəi1	
鄰	lin2	
郁	yəʔ7	
郊	tɕiɔ1	
郎	laŋ2	
鄭	tsən5	
郝	hɔ3	
部	pu5	
都	tu1	~市
都	təu1	~是
鄙	pi3	
酉	iø3	
酋	tɕʰiø2	
酌	tsuəʔ7	
配	pʰəi5	
酒	tɕiø3	
醞	yn5	
酣	hæ1	
酥	su1	
酬	tsʰəi2	
醬	tɕiaŋ5	
酵	kɔ5	
酷	kʰu5	
酸	suæ1=	
釀	liaŋ5	
醉	tsəi5-	
醉	tsuəi5=	
醋	tsʰu5	
醒	ɕin3	
采	tsʰɛ3	
釋	səʔ7	
里	li3	
重	tsʰoŋ2	~复
重	tsoŋ5	~量
野	iɛ3	
量	liaŋ5	数~
量	liaŋ2	测~
金	tɕin1	
鑑	tɕiɪ5	
針	tsən1	
釘	tin1	~子
釘	tin5	动词
釺	tɕʰiɪ1	
釣	tiɔ5	
釵	tsʰɛ1	
鈍	tən5	
鈔	tsʰɔ1	
钟	tsoŋ1	
鋼	kaŋ1	
鑰	iaʔ7	
欽	tɕʰin1	
鈞	tɕyn1	
鉤	kəi1	
錢	tɕʰiɪ2	
鉗	tɕʰiɪ2	
鉢	pəʔ7	
鑽	tsuæ1	~研
鑽	tsuæ5	~石
鐵	tʰiɪʔ7	
鈴	lin2	
鉛	kʰæ1-	
鉛	tɕʰiɪ1=	
鉚	mɔ3	
銬	kʰɔ5	
銅	tʰoŋ2	
鋁	ly3	
鎧	kʰɛ3	
鍘	tsaʔ7	
鏵	hua2	
銘	min2	
鉸	tɕiɔ3	
鏟	tsʰæ3	
銀	in2	
鑄	tsu5	
鋪	pʰu1	~张
鋪	pʰu5	店~
鏈	liɪ5	
鏗	kʰən1	
銷	ɕiɔ1	
鎖	səu3	
鋥	tsən5	
鋤	tsʰu2	
銼	tsʰəu5	
鋒	foŋ1	
銳	zuəi5	
錯	tsʰəu5	
錨	mɔ2	
錫	ɕiɪʔ7	
鑼	ləu2	
錘	tsʰuəi2	
錐	tsuəi1	
錦	tɕin3	
鍁	ɕiɪ1	
錠	tin5	
鍵	tɕiɪ5	
鋸	tɕy5	
鏘	tɕʰiaŋ1	
鍬	tɕʰiɔ1	
鍛	tiø5-	
鍛	tø5=	
鍍	tu5	
鏤	ləi5	
鎮	tsən5	
鑷	liɪʔ7	
鎳	liɪʔ7	
鎬	kɔ3	
鏢	piɔ1	
鏡	tɕin5	
鐐	liɔ5	
鐲	tsuəʔ7	
鐮	liɪ2	
鑲	ɕiaŋ1	
長	tsæ3-	~大
長	tsʰæ2	~短
長	tsaŋ3=	生~
門	mən2	
閂	suæ1	
閃	ɕiɪ3-	
閃	sæ3=	
閉	pi5	
問	uən5	
闖	tsʰuaŋ3	
閏	yn5	
闲	ɕiɪ2	
間	kæ1-	
間	tɕiɪ1=	
悶	mən1-	
悶	mən5=	
閘	tsaʔ7	
鬧	lɔ5	
閨	kuəi1	
聞	uən2	
閥	faʔ7	
閣	kəʔ7	
閡	həʔ7	
鬮	tɕiø1	
閲	yəʔ7	
閻	iɪ2	
闡	tsʰæ3	
闌	læ2	
闊	kʰuəʔ7	
隊	təi5	
阮	zuæ3	
阱	tɕin3	
防	faŋ2	
陽	iaŋ2	
陰	in1	
陣	tsən5	
階	kɛ1	
阻	tsu3	
附	fu5	
際	tɕi5	
陸	ləʔ7	
陳	tsʰən2	
陋	ləi5	
陌	məʔ7	
降	tɕiaŋ5	~落
降	ɕiaŋ2	投~
限	ɕiɪ5	
陝	sæ3	
陡	təi3	
院	yɪ5	
除	tsʰu2	
險	ɕiɪ3	
陪	pʰəi2	
陵	lin2	
陶	tʰɔ2	
陷	hæ5-	
陷	ɕiɪ5=	
隅	y2	
隆	loŋ2	
隋	suəi2	
隨	suəi2	
隱	in3	
隔	kəʔ7	
隙	ɕiɪʔ7	
障	tsæ5-	
障	tsaŋ5=	
隧	suəi5	
隶	li5	
難	læ2	困~
難	læ5	灾~
雀	tɕʰiaʔ7	
雁	iɪ5	
雄	ɕioŋ2	
雅	ia3	
集	tɕiɪʔ7	
雇	ku5	
雌	tsʰɿ2	
雍	ioŋ1	
雛	tsʰu2	
雕	tiɔ1	
雨	y3	
雪	ɕiɪʔ7	
雪	ɕyəʔ7	
零	lin2	
雷	ləi2	
雹	pɔ2	
霧	u5	
需	ɕy1	
霄	ɕiɔ1	
震	tsən5	
黴	məi2	
霍	huəʔ7	
霎	saʔ7	
霓	li2	
霜	suaŋ1	
霞	ɕia2	
露	lu5	
霸	pa5	
青	tɕʰin1	
靖	tɕin5	
非	fəi1	
靠	kʰɔ5	
面	miɪ5	
革	kəʔ7	
靳	tɕin5	
靴	ɕyɪ1	
靶	pa3	
鞋	hɛ2	
鞍	æ1	
鞠	tɕyəʔ7	
鞭	piɪ1	
韋	uəi2	
韌	zən5	
韓	hæ2	
韜	tʰɔ1	
韭	tɕiø3	
音	in1	
韻	yn5	
韶	sɔ2	
頁	iɪʔ7	
頂	tin3	
頃	tɕʰin3	
項	haŋ5-	
項	ɕiaŋ5=	
順	suen5	
须	ɕy1	
頑	uæ2	
顧	ku5	
頓	tən5	
頒	pæ1	
頌	soŋ5	
預	y5	
顱	lu2	
領	lin3	
頸	tɕin3	
頻	pʰin2	
穎	in3	
題	tʰi2	
顔	æ2-	
顔	iɪ2=	
額	əʔ7	
顛	tiɪ1	
顫	tsʰæ5	
顴	tɕʰyɪ2	
風	foŋ1	
飄	pʰiɔ1	
飛	fəi1	
食	səʔ7	
餐	tsʰæ1	
饥	tɕi1	
飩	tən5	
飯	fæ5	
飲	in3	
餞	tɕiɪ5	
飾	səʔ7	
飽	pɔ3	
飼	sɿ5	
饒	zɔ2	
餉	ɕiaŋ3	
餃	tɕiɔ3	
餅	pin3	
餓	əu5	
餓	ø5	
餛	huən2	
餡	hæ5	
館	kuæ3	
饋	kʰuəi5	
餿	səi1	
饞	tsʰæ2	
饅	mø2-	
饅	mæ2=	
首	səi3	
香	ɕiɛ1-	
香	ɕiaŋ1=	
馨	ɕin1	
馬	ma3	
馭	y5	
馱	tʰəu2	
馳	tsʰɿ2	
驅	tɕʰy1	
駁	pəʔ7	
驢	lu2-	
驢	ly2=	
駛	sɿ3	
駒	tɕy1	
駐	tsu5	
駝	tʰəu2	
駕	tɕia5	
駡	ma5	
驕	tɕiɔ1	
駱	ləʔ7	
駭	hɛ5	
騁	tsʰən3	
驗	iɪ5	
駿	tɕyn5	
騎	tɕʰi2	
騙	pʰiɪ5	
騷	sɔ1	
騸	sæ5	
騾	ləu2	
驟	tsəi5	
骨	kuəʔ7	
骷	kʰu1	
髏	ləi2	
髓	suəi3	
高	kɔ1	
鬃	tsoŋ1	
鬢	pin1	
鬼	kuəi3	
魁	kʰuəi2	
魂	huən2	
魅	məi5	
魏	uəi5	
魔	məu2	
魚	y2	
魯	lu3	
鮎	liɪ2	
鱸	lu2	
鮑	pɔ5	
鮮	ɕiɪ1	
鰱	liɪ2	
鯉	li3	
鯊	sa1	
鯽	tɕi5	
鰓	sɛ1	
鱷	əʔ7	
鰍	tɕʰiø1	
鯿	piɪ1	
鱉	piɪʔ7	
鰻	mø2	
鱔	ɕiɪ5-	
鱔	sæ5=	
鱗	lin2	
鳥	liɔ3	
雞	tɕi1	
鳴	min2	
鷗	əi1	
鴉	ia2	
鴇	pɔ3	
鴨	aʔ7	
鴦	iaŋ1	
鴛	yɪ1	
鴿	kəʔ7	
鴻	hoŋ2	
鵝	əu2	
鵝	ø2	
鵲	tɕʰiaʔ7	
鵪	æ1	
鵬	pʰoŋ2	
鶉	tsʰuen2	
鶴	həʔ7	
鷹	in1	
鹿	ləʔ7	
麝	sɛ5	
麥	məʔ7	
麻	ma2	
黃	huaŋ2	
黍	su3	
黎	li2	
黏	liɪ2	
黑	həʔ7	
默	məʔ7	
鼎	tin3	
鼓	ku3	
鼠	tsʰu3-	
鼠	tsʰuəi3-	
鼠	su3=	
鼻	piɪʔ7	
齁	həi1	
齊	tɕʰi2	
齒	tsʰɿ3	
齡	lin2	
齦	in2	
齪	tsʰuəʔ7	
齷	uəʔ7	
龍	loŋ2	
龔	koŋ1	
龜	kuəi1	
