#漢字	音標	解釋#('nan_lz_lz', '雷州話', '雷州', '#FF6600', None, None, '版本：V2.5 (2021-11-20)<br>來源：<u>Kiattan</u>', '24 1 1a 陰平 ꜀,22 2 1b 陽平 ꜁,41 3 2a 陰上 ꜂,33 4 2b 陽上 ꜃,21 5 3a 陰去 ꜄,453 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇')
扶	kʰaŋ1	訓“牽”
扶	hu2	
批	pʰoi1	
抄	tsʰau1	
把	pɛ3	
把	pa3	文，介詞（將）作
抗	kʰaŋ5	
折	a6	～斷
折	tsiɛk7	～斷
折	si6	～本
披	mua1	
抱	pʰo4	
抹	muak7	
抽	tsʰiu1	
拆	tʰia6	～開
拈	tsiam1	
拐	kuai3	
拔	puak7	
拖	tʰua1	
招	tsiau1	
拜	pai5	
括	kuak7	
拱	koŋ5	
拳	kʰiɛŋ2	
拿	lia6	訓“掠”
拿	na6	
指	ki3-	
指	tsi3	
挑	tʰio1	
挖	uak6	
挨	ŋai5	～著
捆	kʰuŋ3	
捉	lia4	
捋	luak7	
捏	tɛ2	
掀	hiɛŋ1	
掃	sau5	～地
掃	sau5	～帚
掌	tsio3	
排	pai2	
掛	kʰua5	
探	tʰam5	
接	tsiap7	
控	kʰoŋ5	
推	tʰui1	
揀	kai3	
提	tʰi2	
插	tsʰa6	
換	huaŋ4	
搖	iau2	
搖	io2	
搜	sɛu3	
搞	kau3	
搬	pua1	
搭	ta6	
搭	tap7=	
搶	tsʰiaŋ3	
摘	mo6	
摸	ma1	
撇	pʰiɛk7	
撈	lau6	
撐	tsʰaŋ1	
操	tsʰau1	體～
擔	ta1	擔～
擔	ta5	挑～
擦	tsʰua6	
擺	pai3	
攤	tʰaŋ6	
攪	kiau3	
支	tsi1	
收	siu1	
改	koi3	
放	paŋ5	
效	hiau4	
敏	miɛŋ3	
救	kiu5	
敗	pai5	
教	kiau5=	～育
教	ka5	～育
敢	ka3	
散	sua3	分～
敵	tik7	
數	siau5	
數	su6=	
斃	pi6	
料	liau1	
斜	sia2	
斤	kiɛŋ1	
斧	pɛu3	
斬	tsam3	
新	siɛŋ1	
斷	tui4	折～
方	paŋ1	
方	vaŋ1=	
旋	siɛŋ2	
旗	ki2	
日	jiɛk7	
早	tsa3	
旱	haŋ4	
旱	ua4	
昌	tsʰiaŋ1	
明	miŋ2	
昏	huŋ1	
易	ji6	容～
星	tsʰɛ1	
春	tsʰuŋ1	
是	si6	
是	su6=	
時	si2	
時	su2=	
晏	ua3	
晝	tsiu6	
暖	nuaŋ3	
暗	am5	
暗	im1	
暴	pau4	
曆	lɛ4	
曉	hiau3	
曬	pak8	
曲	kʰiak7	
書	tsu1	
書	si1=	
曹	tsʰau2	
曾	tsʰaŋ1	
替	tʰoi5	
替	tiɛk7	
最	tsui5	
會	hui6	開～
會	oi6	（訓）～不～
月	wɛ4	
有	iu6	
服	hok8	
望	mo1	
朝	tsiau1	今～
木	mok7	
末	muak7	
本	pui3	
本	puŋ3=	
朱	tsu1	
朵	tʰo3	
杆	kaŋ3	
杉	siam1	
杉	sam1	
李	li3	
村	tsʰui1	
杜	tʰu6	
杯	tsiaŋ1	
東	taŋ1	
東	toŋ1=	
松	soŋ2	～樹
板	pai3	
林	lim2	
果	kuɛ3	
枯	kʰu1	
柄	pɛ5	
柑	kam1=	
柑	ka1	
染	jiam3	
查	tsʰa2	調～
柱	tʰiau4	
柱	tsʰi1=	
柳	liu4	
柿	si6	
根	kiɛŋ1	
格	kɛ6	
桂	kui5	
桃	tʰo2	
案	ua5	
桌	tsʰo2	
桑	suaŋ1	
桶	tʰaŋ3	
梅	vuɛ2	
條	tiau2	
梨	li2	
梭	so1	
梯	tʰoi1	
械	hai6	
梳	soi1	
棉	mi4	
棕	tsoŋ1	
棚	pʰɛ2	
森	sɛm2	
森	sim2=	
椅	i3	
椒	tsiau1	
楊	jiaŋ2	
業	niap7	
極	kik8	
榨	tsa5	
榫	suŋ3	
榮	jioŋ2	
槍	tsʰio1	
樓	lau2	
標	pʰiau1	
樣	io1	
樹	tsʰiu1	
樹	si6=	
樽	tsuŋ1	
橋	kio2	
橘	kiɛk7	
橘	kik7	
機	ki1	
橫	huɛ2	～直
檢	kiam3	
櫃	kui5	
權	kʰiɛŋ2	
欠	kʰiam5	
次	tsʰu5	
欲	jiok8	
欺	kʰi1	
