#漢字	音標	解釋
钁	kiɔk7	~锄:锄头
倫	lɐn2	
僞	ŋɐi3	
伯	pak7	
估	ku3	
伴	pʰun6	
伶	lɐŋ2	
伸	sɐn1	
伺	si6	
似	tsʰi5	
佃	tʰin2	
但	tʰan6	
位	vɐi6	
低	tɐi1	
住	tsʰi6	
佐	tsɔ3	
佑	iɐu6	
體	tʰɐi3	
何	hɔ2	
佘	sa2	
余	i2	
佛	fɐt8	
作	tsɔk7	
你	ni5	
佢	kʰi2	第三人称
佣	iuŋ2	
佩	pʰui5	
佯	iɔŋ2	
佳	kai1	
使	sɐi3	
侄	tsʰɐt8	
侈	i2	
例	lɐi6	
侍	si6	
供	kuŋ1	
依	i1	
俠	hap8	
僥	hiu1	
偵	tsɐn1	
側	tsɐk7	
僑	kʰiu2	
儂	nuŋ2	
侮	mu1	
侯	hɐu2	
侵	tsʰɐm1	
便	pʰin6	方~
促	tsʰuk7	
俄	ŋɔ2	
俊	tsɐn5	
俏	siu1	
俗	tsʰuk8	
俘	fu1	
保	pau3	
信	sɐn5	
儼	nim2	
儉	kʰim6	
修	sɐu1	
俯	fu3	
俱	kʰi1	
俸	fuŋ6	
俾	pi1	
倍	pʰui5	
倒	tau3	
倔	vɐt7	
倘	tʰɔŋ3	
候	hɐu6	
倚	i6	
借	tsia5	
倡	tsʰɔŋ1	
倣	fɔŋ3	
倦	kʰin6	
倭	vɔ1	
債	tsai5	
值	tsʰɐk8	
傾	kʰɐŋ1	
假	ka5	放~
假	ka3	真~
偏	pʰin1	
做	tsu5	
停	tʰɐŋ2	
健	kʰin6	
偶	ŋɐu5	
偷	tʰɐu1	
償	sɔŋ2	
傀	kɐi3	
傍	pʰɔŋ2	
儲	tsʰi2	
催	tsʰui1	
傲	ŋau6	
傻	sɔ2	
像	siɔŋ5	
僧	tsɐŋ1	
僵	kʰiɔŋ1	
僻	pʰit7	
儒	i2	
儡	lui5	
兒	i2	
兀	kuɐt7	
允	vɐŋ5	
元	in2	
兄	hɐŋ1	
充	tsʰuŋ1	
兆	tsʰiu6	
先	sin1	
光	kɔŋ1	
克	kʰɐk7	
免	min5	
兑	tui5	
黨	tɔŋ3	
兜	tɐu1	
入	iɐp8	
全	tsʰin2	
八	pat7	
公	kuŋ1	
六	luk8	
兮	kʰɐi1	
蘭	lan2	
共	kʰuŋ6	
關	kan1	
興	hɐŋ1	
興	hɐŋ5	高~
兵	pɐŋ1	
其	kʰi2	
具	kʰi6	
典	tin3	
兹	tsi1	
養	iɔŋ5	
兼	kim1	
獸	tsʰɐu5	
冀	i6	
内	nui6	
岡	kɔŋ1	
冉	tsʰi2	
册	tsʰak7	
再	tsui3	
冒	mau6	
寫	sia3	
軍	kɐn1	
農	nuŋ2	
冠	kun5	
冤	in1	
馮	pʰuŋ2	
冰	pɐŋ2	
冲	tsʰuŋ1	
決	kʰit7	
况	kʰɔŋ5	
冷	laŋ5	
凍	tuŋ5	
冼	sin3	
冽	lit8	
淨	tsʰiaŋ6	
準	tsɐn3	
涼	liɔŋ2	
凌	lɐŋ2	
減	kam3	
湊	tsɐu5	
凝	nɐŋ2	
凝	kʰɐŋ2	
几	ki3	
凡	fan2	
鳳	fuŋ6	
凭	pʰuŋ2	
凱	kʰui3	
凳	tɐŋ5	
凶	huŋ1	
出	tsʰɐt7	
擊	kɐk7	
函	ham2	
鑿	tsʰɔk8	
刀	tau1	
刁	tiu1	
刃	iɐn5	
分	fɐn1	
切	tsʰit7	
刊	kʰan3	
刎	mɐn5	
刑	hɐŋ2	
划	vak8	
列	lit8	
劉	lɐu2	
則	tsɐk7	
剛	kɔŋ1	
創	tsʰɔŋ3	
初	tsʰɔ1	
删	san1	
判	pʰun6	
刨	pʰau2	
利	li6	
别	pʰit8	
刮	kat7	
到	tau5	
到	tau6	又
制	tsɐi5	
刷	tsʰat7	
券	kin3	
刺	tsʰi5	
刻	kʰɐk7	
劊	kʰui3	
刴	tɔk7	
劑	tsɐi1	
剃	tʰɐi5	
削	siɔk7	
前	tsʰin2	
剮	ka3	
劍	kim5	
剔	tʰɐk7	
剖	pɐu3	
剜	vun3	
剝	pɔk7	
劇	kʰiak7	
剩	sɐŋ6	
剪	tsin3	
副	fu5	
割	kut7	
剿	tsʰau2	
劈	pʰiak7	
力	lɐk8	
勸	hin5	
辦	pʰan6	
功	kuŋ1	
加	ka1	
務	mu6	
劣	lɐt7	
動	tʰuŋ6	
助	tsʰɔ6	
努	lu3	
劫	kip7	
勵	lɐi6	
勁	kɐŋ5	
勞	lau2	
勢	sɐi5	
勃	pʰut8	
勇	iuŋ3	
勉	min5	
勳	fɐn1	
勒	nɐk8	
勘	kʰam1	
募	mu6	
勤	kʰɐn2	
勺	sau3	
勾	kɐu1	
勿	mɐt7	
匀	vɐn2	
包	pau1	
匆	tsʰuŋ1	
匕	pi3	
化	fa5	
北	pʰɐk7	
匙	si2	
匠	tsʰiɔŋ6	
匡	kʰiɔŋ1	
匣	kap7	
匪	fi3	
匹	pʰɐt7	
區	kʰi1	
醫	i1	
匾	pin3	
匿	iɔk7	
十	sɐp8	
千	tsʰin1	
升	sɐŋ1	
午	m̩5	
半	pun5	
華	va2	
協	hip8	
卑	pi1	
卒	tsɐt7	
卓	tsiɔk7	
單	tan1	
單	sim1	姓
賣	mai6	
南	nam2	
博	pɔk7	
卜	pɐk8	
卜	pʰuk8	
占	tsim5	~领
盧	lu2	
卤	lu2	
卦	ka3	
卦	kua3	
臥	ŋɔ6	
衛	vɐi6	
卯	mau5	
印	iɐn5	
危	ŋɐi2	
即	tsɐk7	
卻	kʰiɔk7	
卵	lin5	
卷	kin3	
卸	sia5	
卿	hɐŋ1	
廠	tsʰɔŋ3	
厄	ak7	
廳	tʰiaŋ1	
历	lɐk8	
厲	li6	
壓	at7	
厭	im5	
廁	tsʰi5	
厘	li5	
厚	hɐu5	
原	in2	
廂	siɔŋ1	
厥	kʰit7	
厦	ha6	
廚	tsʰi2	
厮	si1	
去	hi5	
縣	in6	
参	tsʰam1	
参	sɐm1	
又	iɐu6	
叉	tsʰa1	
及	kʰɐp8	
友	iɐu5	
雙	suŋ1	
反	fan3	
发	fat7	
叔	suk7	
取	tsʰi3	
受	sɐu6	
變	pin5	
敍	si6	
叛	pan3	
叟	sɐu3	
疊	tʰip8	
口	hɐu3	
古	ku3	
句	ki5	
另	lɐŋ6	
叨	tau1	
叩	kʰɐu5	
只	tsit7	~有
只	tsit8	量词
叫	kiu5	
召	tsʰiu6	
可	kʰɔ3	
台	tʰui2	
史	si3	
右	iɐu6	
葉	ip8	
號	hau6	
司	si1	
嘆	tʰan5	
吁	i5	
吁	i6	
吃	ŋɐk7	
各	kɔk7	
吆	iu1	
合	hap8	
吉	kɐt7	
吊	tiu5	
同	tʰuŋ2	
名	miaŋ2	
后	hɐu6	
吏	li6	
吐	tʰu5	
向	hiɔŋ5	
嚇	hak7	
呂	li5	
君	kɐn1	
吝	lɐŋ6	
吞	tʰɐn1	
吟	iɐm2	
吠	fɐi5	
否	fɐu3	
含	ham2	
聽	tʰiaŋ5	
啓	kʰɐi5	
吳	m̩2	
吵	tsʰau2	
吸	kʰɐp7	
吹	tsʰui1	
吻	mɐn5	
吼	hau1	
吾	m̩2	
呆	ŋui2	
呈	tsʰɐŋ2	
告	kau5	
嘔	ɐu3	
員	in2	
呢	ni5	指示代词,这
呢	ni6	指示代词,这,又音
周	tsɐu1	
味	mi6	
呼	fu1	
命	miaŋ6	
和	vɔ2	
咎	kɐu5	
詠	vɐŋ6	
咒	tsɐu5	
咨	tsi1	
咫	tsi3	
咬	ŋau5	
咳	kʰɐt7	
咸	ham2	
咽	in1	
哀	ui1	
品	pʰɐn3	
哄	huŋ6	
響	hiɔŋ3	
啞	a1	
哥	kɔ1	
哪	na5	
哭	huk7	
哲	tsit7	
哽	kɐŋ1	
唆	sɔ1	
脣	sɐn2	
唐	tʰɔŋ2	
嘮	lau2	
喚	vun6	
售	tsʰɐu2	
唯	vɐi2	
唱	tsʰɔŋ5	
唾	tʰiɔ5	
唾	sui2	文
啄	tiɔk7	~木鸟
啄	tiɔŋ1	鸡~米
商	sɔŋ1	
嗇	lɔk7	
囉	lɔ1	
啼	tʰɐi2	
喂	vɐi5	
善	sin6	
喉	hɐu2	
喊	ham5	
喘	tsʰin3	
喜	hi3	
喝	hut7	
喧	sin1	
噴	pʰɐn5	
喻	i5	
嗅	tsʰɐu5	
嗉	sui3	
嗓	sɔŋ1	
嗔	tsɐn1	
嗜	si6	
嗟	tsia1	
嗣	tsʰi2	
嗤	tsʰɐt7	
嗰	kɔ3	指示代词,那
嗽	sɐu5	
嘉	ka1	
嘘	hi6	
囑	tsuk7	
嘴	tsui3	
噍	tsʰiu6	
噎	ɐk7	
器	hi5	
噩	ɔk7	
噪	tsʰau5	
囂	hiu1	
嚷	iɔŋ6	
嚼	tsiɔk7	
囊	nɔŋ2	
囚	tsʰɐu2	
四	si5	
回	fui2	
因	iɐn1	
团	tʰin2	
囤	tʰin2	
園	in2	
困	kʰuɐn5	
囱	tsʰuŋ1	
圍	vɐi2	
固	ku5	
國	kɔk7	
圖	tʰu2	
圓	in2	
圈	kʰin1	
土	tʰu3	
聖	sɐŋ5	
在	tsʰui5	
圭	kɐi1	
地	tʰi6	
場	tsʰɔŋ2	
址	tsi3	
均	kɐn1	
坊	fɔŋ3	
坎	kʰam3	
壞	vai6	
坐	tsʰɔ5	
坑	haŋ1	
塊	fai5	
堅	kin1	
坛	tʰan2	
壩	pa5	
塢	vu1	
墳	fɐn2	
墜	tsʰui6	
坡	pɔ1	
坤	kʰɐn1	
坦	tʰan3	
坪	pʰiaŋ2	
坯	pʰui1	
坳	au5	
垂	sui2	
壠	luŋ2	
型	hɐŋ2	
垒	lui5	
垜	tɔ3	
垢	kɐu5	
墾	kʰɐŋ3	
墊	tin5	
垮	kʰa1	
埂	kaŋ1	
埃	ai1	
埋	mai2	
城	saŋ2	
域	vak8	
埠	fɐu6	
培	pʰui2	
基	ki1	
堂	tʰɔŋ2	
堆	tui1	
墮	tʰɔ6	
堡	pau3	
堤	tʰɐi2	
堪	kʰam1	
堰	am1	
堵	tu3	
塌	tʰap7	
塑	sɔk7	
塔	tʰap7	
塘	tʰɔŋ2	
塞	sɐk7	
填	tʰin2	
境	kɐŋ5	
墓	mu6	
牆	tsʰiɔŋ2	
增	tsɐŋ1	
墟	hi1	
墨	mɐk8	
墩	tɐn1	
壁	piak7	
壅	iuŋ3	
壆	pɔk7	田~:田埂
壕	hau2	
壤	iɔŋ1	
士	si6	
壬	iɐm2	
壯	tsɔŋ5	
聲	saŋ1	
殼	hɔk7	
壺	fu2	
處	tsʰi5	
備	pʰi6	
复	fuk8	
夏	ha6	
夕	sɐk8	
外	ŋui6	
多	tɔ1	
夜	ia6	
够	kɐu5	
大	tʰai6	
天	tʰin1	
太	tʰai5	
夫	fu1	
夭	iu1	
央	iɔŋ1	
失	sɐt7	
頭	tʰɐu2	
夷	i2	
夸	kʰa1	
夾	kʰip8	
夾	kap7	~菜
奪	tʰit8	
奇	kʰi2	
奈	nai6	
奉	fuŋ6	
奮	fɐn3	
奎	kʰɐi2	
奏	tsɐu5	
契	kʰɐi5	
奔	pɐn1	
獎	tsiɔŋ3	
套	tʰau5	
奚	kʰɐi1	
奠	tʰin6	
奢	tsʰa1	
奧	au5	
女	ni5	
奴	lu2	
奶	nai5	
奸	kan1	
好	hau3	~坏
好	hau5	喜~
妁	tsiɔk7	
如	i2	
妃	fi1	
妄	mɔŋ3	
婦	fu6	~女
婦	pu5	新~:媳妇
媽	ma1	
妓	ki5	
妖	iu1	
妗	kʰɐm5	
妙	miu5	
妥	tʰɔ3	
妨	fɔŋ2	
妹	mui6	
妻	tsʰɐi1	
妾	tsʰip7	
姊	tsia3	以姐训~
始	tsʰi3	
姐	tsia3	
姑	ku1	
姓	siaŋ1	
委	vɐi3	
姗	san1	
姘	pʰɐŋ5	
姚	iu2	
姜	kiɔŋ1	
姨	i2	
姻	iɐn1	
姿	tsi1	
威	vɐi1	
嬌	kiu1	
娘	niɔŋ2	
娜	na6	
娠	sɐn2	
娩	min5	
娛	i2	
娶	tsʰi3	
婀	ɔ1	
婆	pʰɔ2	
婉	vun3	
婚	fɐn1	
婢	pʰi1	
嬰	iɐŋ1	
嬸	sɐm3	
婿	sɐi5	
媒	mui2	
媲	pʰi5	
媳	sɐk7	
嫁	ka5	
嫂	sau3	
嫌	him2	
嫖	pʰiu2	
嫡	tɐk7	
嫩	nin6	
嬉	hi1	
孀	sɔŋ1	
子	tsi3	
孔	huŋ3	
孕	iɐŋ6	
字	tsʰi6	
存	tsʰin2	
孫	sin1	
孝	hau6	
孟	maŋ6	
季	kɐi5	
孤	ku1	
學	hɔk8	
孩	hai2	
孵	pʰu6	以菢训~
孽	nip7	
寧	nɐŋ2	
宅	tsʰak8	
宇	i5	
守	sɐu3	
安	un1	
宋	suŋ5	
完	van2	
宏	fɐŋ2	
宕	tʰɔŋ1	
宗	tsuŋ1	
官	kun1	
宙	tsʰɐu6	
定	tʰɐŋ6	
宛	vun3	
宜	li2	
寶	pau3	
實	sɐt8	
寵	tsʰuŋ3	
審	sɐm3	
客	hak7	
宣	sin1	
室	sɐt7	
宦	fan6	
宪	hin5	
宮	kuŋ1	
宰	tsai3	
害	fui6	
宴	in5	
宵	siu1	
家	ka1	
容	iuŋ2	
寬	fun1	
賓	pɐn1	
宿	suk7	
寂	tsʰɐk8	
寄	ki5	
寅	iɐn2	
密	mɐt8	
寇	kʰɐu5	
富	fu5	
寒	fun2	
寓	i6	
寢	tsʰɐm3	
寞	mɔk7	
察	tsʰat7	
寡	ka3	
寥	liu2	
寨	tsʰai6	
寸	tsʰin5	
對	tui5	
寺	tsʰi6	
尋	tsʰɐm2	
導	tʰau3	
壽	sɐu6	
封	fuŋ1	
射	sa6	
將	tsiɔŋ1	~来
將	tsiɔŋ5	大~
尊	tsin1	
小	siu3	
少	siu5	~年
少	siu3	多~
尔	li5	
尖	tsim1	
塵	tsʰɐn2	
尚	sɔŋ6	
嘗	sɔŋ2	
尤	iɐu2	
堯	iu2	
尬	kai5	
就	tsʰɐu6	
尷	kam1	
屍	si1	
尹	vɐŋ5	
尺	tsʰak7	
尼	ni2	
尽	tsʰɐn6	
尾	mi5	
尿	niu6	
局	kʰuk8	
屁	pʰi5	
層	tsʰɐŋ2	
居	ki1	
屈	vɐt7	
屉	tʰɐi6	
屆	kai5	
屋	uk7	
屎	si3	
屏	pʰɐŋ2	
屐	kʰiak7	
屑	siu1	不~
屑	sip7	木~
展	tsin3	
屬	suk8	
屠	tʰu2	
屢	lui3	
履	li6	
屯	tʰin2	
山	san1	
歲	sui5	
豈	kʰi6	
岐	kʰi2	
岑	sɐm2	
岔	tsʰa1	
崗	kɔŋ1	
島	tau3	
巖	ŋam2	
嶺	liaŋ5	
岳	ŋɔk8	
岸	ŋun6	
峽	hap8	
峰	fuŋ1	
崇	tsʰuŋ2	
崎	kʰi2	
崔	tsʰui1	
崖	ŋai2	
崛	vɐt7	
崩	pɐŋ1	
嵌	him5	
嵩	suŋ1	
川	tsʰin1	
州	tsɐu1	
巡	sɐn2	
巢	tsʰau2	
工	kuŋ1	
左	tsɔ3	
巧	kʰau3	
巨	kʰi1	
鞏	kuŋ3	
巫	mu2	
差	tsʰa1	~别
差	tsʰai1	出~
己	ki3	
已	i5	
巳	ki5	
巴	pa1	
巷	hɔŋ6	
巾	kɐn1	
幣	pʰɐi6	
市	si5	
布	pu5	
帥	sui5	
帆	fan2	
師	si1	
希	hi1	
帳	tsɔŋ5	
帕	pʰak7	
帖	tʰip7	
帘	lim2	
帚	sau3	
帛	pʰak8	
帝	tɐi5	
帶	tai5	
席	tsʰiak8	~子
席	tsʰɐk8	主~
幫	pɔŋ1	
常	sɔŋ2	
帽	mau6	
幅	fuk8	
幕	mɔk7	
干	kun1	~犯;~燥
干	kun5	~部
平	pʰɐŋ2	
年	nin2	
并	pʰɐŋ5	
幸	hɐŋ6	
幻	fan6	
幼	iɐu1	
幽	iɐu1	
廣	kɔŋ3	
莊	tsɔŋ1	
慶	hɐŋ5	
庇	pi3	
牀	tsʰɔŋ2	
序	tsʰi6	
廬	lu2	
庫	kʰu5	
應	iɐŋ1	~该
應	iɐŋ5	~用
底	tɐi3	
店	tim5	
廟	miu6	
庚	kaŋ1	
府	fu3	
龐	pʰaŋ2	
廢	fɐi5	
度	tʰu6	
度	tɔk7	~量
座	tsʰɔ6	
庭	tʰɐŋ2	
庵	am1	
庶	si5	
康	kʰɔŋ1	
庸	iuŋ2	
廉	lim2	
廊	lɔŋ2	
廓	kɔk7	
廖	liu6	
延	in2	
廷	tʰɐŋ2	
建	kin5	
開	fui1	
异	i6	
弃	hi5	
弄	luŋ6	
弊	pɐi5	
式	sɐk7	
弓	kuŋ1	
引	iɐn5	
弗	fɐt8	
弘	huŋ2	
弛	tsʰi2	
弟	tʰɐi6	
張	tsɔŋ1	
弥	ni5	
弦	hin2	
彎	van1	
弱	iɔk7	
彈	tʰan2	~琴
彈	tʰan6	子~
强	kʰiɔŋ2	~弱
强	kʰiɔŋ5	勉~
弼	pʰɐk7	
歸	kɐi1	
當	tɔŋ1	~时
當	tɔŋ5	~作
录	luk8	
形	hɐŋ2	
彤	tʰuŋ2	
彦	ŋan2	
彩	tsʰui3	
彪	pʰiu1	
彬	pɐn1	
彭	pʰaŋ2	
彰	tsɔŋ1	
影	iaŋ3	
彷	fɔŋ3	
役	iɐk8	
徹	tsʰit8	
彼	pʰi3	
往	vɔŋ5	
征	tsɐŋ1	
徑	kaŋ5	
待	tʰui6	
徇	sɐn2	
很	hɐn3	
律	lɐt8	
徐	tsʰi2	
徒	tʰu2	
徠	lui2	
得	tɐk7	
徙	si1	
徛	kʰi5	站立
御	i6	
循	tʰɐn5	
微	mi2	
德	tɐk7	
徽	fɐi1	
心	sɐm1	
必	pit7	
憶	iɐk7	
忌	kʰi6	
忍	iɐn5	
志	tsi5	
忘	mɔŋ2	
忙	mɔŋ2	
忠	tsuŋ1	
憂	iɐu1	
快	fai5	
念	nim6	
忽	fɐt8	
忿	fɐn5	
懷	vai2	
態	tʰai5	
慫	tsuŋ3	
慪	ɐu5	
怒	nu6	
怕	pʰa5	
怖	pʰu5	
憐	lin2	
思	si1	
怠	tai5	
怡	i2	
急	kɐp7	
性	sɐŋ5	
怨	in5	
怪	kai3	
怯	hit7	
怵	sɐt7	
總	tsuŋ3	
恃	tsʰi6	
戀	lin3	
恐	kʰuŋ3	
恆	hɐŋ2	
恕	si6	
恢	fui1	
恤	iɐk7	
恨	hɐn6	
恩	ɐn1	
恭	kuŋ1	
息	sɐk7	
恰	kʰap7	
懇	kʰɐŋ3	
恶	vu5	可~
恶	ɔk7	善~
惱	nau3	
悄	siu1	
悉	sɐk7	
悔	fui5	
悟	m̩6	
悠	iɐu1	
患	fan6	
悦	it8	
懸	hin2	
憫	mɐn5	
悲	pi1	
情	tsʰɐŋ2	
驚	kiaŋ1	
惑	vak8	
惜	sɐk7	
惟	vɐi2	
惠	vɐi6	
懼	kʰi6	
慘	tsʰam3	
懲	tsʰɐŋ2	
愜	sia3	
慚	tsʰam2	
憚	tʰan6	
慣	kan5	
惰	tʰɔ6	
想	siɔŋ3	
惹	ia5	
愁	sɐu2	
愈	i6	
愉	i2	
意	i5	
愚	i2	
感	kam3	
憤	fɐn5	
愧	kʰɐi3	
願	in6	
慈	tsʰi2	
慌	fɔŋ1	
慎	sɐn5	
慕	mu6	
慢	man6	
慧	vɐi6	
慨	kʰui3	
慰	vɐi3	
慷	hɔŋ1	
憋	pɐi5	以闭训~
憎	tsɐŋ1	
憨	ham2	
憾	ham6	
懂	tuŋ3	
懈	hai6	
懊	au5	
懶	lan5	
懵	muŋ3	
戈	kʰɔ1	
戊	mu6	
戌	sɐt7	
戍	si5	
戎	iuŋ2	
戲	hi5	
成	sɐŋ2	
我	ŋɔ5	
戒	kai5	
或	vak8	
戰	tsin5	
戚	tsʰɐk7	
戟	kʰɐk7	
截	tsʰit8	
戳	tsʰɔk8	
戴	tai5	
戶	fu6	
戽	fu5	
戾	lui6	
房	fɔŋ2	
所	sɔ3	
扁	pin3	
扇	sin5	
手	sɐu3	
才	tsʰui2	
扎	tsat7	
扑	pʰɔk7	
打	ta3	
扔	iɐŋ2	
托	tʰɔk7	
扛	kɔŋ1	
扣	kʰɐu5	
執	tsɐp7	
擴	kʰɔŋ5	
掃	sau5	
揚	iɔŋ2	
扭	nɐu5	
扮	pʰan6	
扯	tsʰa3	
擾	iɐu3	
扳	pan3	
扶	fu2	
批	pʰɐi1	
扼	ak7	
扽	tɐn1	
找	tsau3	
承	sɐŋ2	
技	kʰi6	
抄	tsʰau1	
把	pa3	
抑	iɐk7	
抓	tsa1	
投	tʰɐu2	
抖	tɐu3	
抗	kʰɔŋ5	
折	tsit7	~断
撫	mu5	
抛	pʰau6	
摳	kʰɐu1	
搶	tsʰɔŋ3	
護	fu6	
報	pau5	
披	pʰi1	
抬	tʰui2	
抱	pʰau5	
抵	tɐi3	
抹	mat7	
押	ap7	
抽	tsʰɐu1	
抿	min2	
拄	tsi1	
擔	tam1	~任
擔	tam5	挑~
拆	tsʰak7	
拇	mu5	
拉	lai1	
拌	pʰun6	
拍	pʰak7	
拎	lɐŋ2	
拒	kʰi1	
拓	tʰap7	~本
拔	pʰat8	
拖	tʰɔ1	
拘	ki1	
拙	tsɔk7	
招	tsiu1	
拜	pai5	
擬	i5	
攏	luŋ3	
揀	kan3	
擁	iuŋ3	
攔	lan2	
撥	pʰut7	
擇	tsʰak8	
擇	tʰɔk8	~菜
括	kat7	
拯	tsɐu3	
拱	huŋ5	
拳	kʰin2	
拴	san1	
拼	pʰɐŋ5	
拾	sɐp8	
拿	na5	
持	tsʰi2	
指	tsi3	
按	un5	
挑	tʰiu1	
挖	vat7	
挾	hip7	
撓	iu2	
擋	tɔŋ3	
擠	tsɐi1	
揮	fɐi1	
挨	ai1	
挫	tsʰɔ5	
振	tsɐn5	
挺	tʰɐŋ2	
挽	van3	
捅	tʰuŋ6	
捆	kʰuɐn5	
捉	tsuk7	
捎	siu1	
捏	nip7	
捐	kin1	
捕	pʰu3	
撈	lau2	
損	sin3	
撿	kim3	
換	vun6	
搗	tau3	
捧	puŋ3	
捩	lui6	
据	ki5	
捷	tsʰip8	
捺	lai6	
掀	hin1	
掂	tim5	
掇	tit7	
授	sɐu6	
掉	tiu1	
掌	tsɔŋ3	
掏	tʰau2	
掐	lip7	
排	pʰai2	
掘	vɐt7	
掠	liɔk8	
探	tʰam5	
接	tsip7	
控	kʰuŋ5	
推	tʰui1	
掩	im3	
措	tsʰu5	
掬	kuk7	
擲	tsʰaŋ6	
撣	tʰan2	
揉	iɐu1	
描	miu2	
提	tʰɐi2	
插	tsʰap7	
揖	tsʰɐp7	
揞	ɐm1	
握	vɔk7	
揣	tsʰin3	
揭	kʰit7	
援	in2	
攬	lam5	
撳	kʰɐm6	
擱	kɔk7	
摟	lɐu5	
攪	kau3	
搉	kʰɔk7	击
搋	tsʰai1	~面:揉面
搓	tsʰɔ1	
搜	sau1	~集
搜	sɐu3	~查
搞	kau3	
搦	nɐk8	
搬	pun1	
搭	tap7	
攜	kʰɐi2	
搽	tsʰa2	
攝	nip7	
摆	pai3	
摇	iu2	
攤	tʰan1	
摒	pʰɐŋ5	
摔	sui1	
摘	tsak7	
摩	mɔ1	
摸	mɔ3	
摹	mu2	
摺	tsʰɐp8	
撇	pʰit7	
撑	tsʰaŋ5	
撒	sat7	
撕	si1	
撚	lin5	以指~碎
撞	tsʰɔŋ6	
撤	tsʰit8	
撩	liu2	
播	pɔ5	
撰	tsin3	
攆	lin5	
撼	ham6	
擅	sin6	
操	tsʰau1	
擎	kʰia2	
擒	kʰɐm2	
擘	mɐk7	掰
擦	tsʰat7	
攀	pʰan1	
攢	tsʰan6	
攘	iɔŋ1	
支	tsi1	
收	sɐu1	
攸	iɐu2	
改	kui3	
攻	kuŋ1	
放	fɔŋ5	
政	tsɐŋ5	
故	ku5	
效	hau6	
敵	tʰɐk8	
敏	mɐn5	
救	kɐu5	
教	kau5	
斂	lim5	
敝	pɐi5	
敢	kam3	
散	san3	~了
散	san5	分~
敦	tɐn1	
㪗	tʰɐu3	
敬	kɐŋ5	
數	su5	动词
數	su3	名词
敲	kʰau5	
整	tsɐŋ3	
敷	fu1	
文	mɐn2	
齋	tsai1	
斌	pɐn1	
斑	pan1	
斗	tɐu5	争~
斗	tɐu3	量词
料	liu6	
斛	fuk8	
斜	tsʰia2	
斟	tsɐm1	
斤	kɐn1	
斥	tsʰak7	
斧	pu3	
斬	tsam3	
斷	tʰin5	
斯	si1	
新	sɐn1	
方	fɔŋ1	
施	si1	
旁	pʰɔŋ2	
旅	li5	
旋	sim2	
族	tsʰuk8	
旗	kʰi2	
無	mu2	
既	ki5	
日	iɐt7	
旦	tan5	
舊	kʰɐu6	
旨	tsi3	
早	tsau3	
