#漢字	音標	解釋
䝼	ȶʰiŋ5	〜受
刷	ʂua3	
券	tʃʰuã5	
刺	tθʰɿ5	
刻	kʰei3	时〜,用刀〜
劊	kuei5	
刴	tuə5	
劑	ȶi5	
剃	ȶʰi5	
削	θyə3	
前	ȶʰiã2	
劍	tʃã5	
剔	ȶʰi3	
剖	pʰou1	
剜	uã1	
剝	pə3	
劇	tʃʮ5	〜烈
劇	tʃʮ5	戏〜
剩	ʃəŋ5	
剪	ȶiã3	
剮	kua3	
副	fu2	
割	ka3	
剿	tʃɔ3	
劄	ta3	用针〜
劈	pʰi3	
劐	xuə1	用刀子〜开
力	li5	
勸	tʃʰuã5	
辦	pã5	
功	kəŋ1	
加	tʃa1	
務	u5	
劣	liə5	
動	təŋ5	
助	tʂu5	
努	nu2	
劫	tʃə2	
勵	li5	
勁	tʃẽ5	〜敌
勁	tʃẽ5	有〜
勞	lɔ2	
勢	ʃɿ5	
勃	pə3	
勇	iŋ3	
勉	miã3	
勳	ʃuẽ1	
勒	lə3	
勘	kʰã3	〜探
募	mu5	
勤	tʃʰẽ2	
勺	ʃuə2	〜子
勾	kou1	〜画,〜结
勾	kou5	〜当
勿	u5	
匀	yẽ2	
包	pɔ1	
匆	tθʰəŋ1	
化	xua5	
北	pei3	
匙	tʂʰʅ3	汤〜,钥〜侈
匠	ȶiɑŋ5	
匡	kʰuɑŋ1	
匣	ʃa2	
匪	fei1	
匹	pʰi1	一〜布,一〜马
區	tʃʰʮ3	〜域
醫	i1	
匾	piã3	
匿	ȵi5	
十	ʃɿ2	
千	ȶʰiã1	
升	ʃəŋ1	
午	u3	
半	pã5	
華	xua2	〜山,姓
華	xua2	中〜
協	ʃə2	
卑	pei1	
卒	tθu2	兵〜
卓	tʂuə2	
單	tã1	~独
單	ʃã5	姓
賣	mɛ5	
南	nã2	
博	pə2	
卜	pə2	
占	tʃã1	〜卜
占	tʃã5	〜领
盧	lu2	
卤	lu3	
卦	kua5	
臥	uə5	
衛	uei2	
卯	mɔ3	
印	iẽ5	
危	uei3	
即	ȶi5	
卻	tʃʰuə3	
卵	luã2	
卷	tʃuã3	〜起来
卷	tʃuã5	试〜
卸	θiə5	
廠	tʃʰɑŋ3	
廳	ȶʰiŋ1	
历	li5	经〜
历	li5	阴〜
厲	li5	
壓	ia5	〜根
厭	iã2	
廁	tθʰə5	
厘	li2	
厚	xou5	
原	yã2	
廂	θiɑŋ1	
厦	ʃa5	〜门
厦	ʂa5	大〜
廚	tʃʰʮ2	
厮	θɿ1	
去	tʃʰʮ5	来〜,〜皮
縣	ʃã5	
参	tθʰã1	
参	ʂẽ1	人〜
又	iou5	
叉	tʂʰa1	
及	tʃɿ5	
友	iou3	
雙	ʂuɑŋ1	一〜鞋
雙	ʂuɑŋ5	生了一对〜,雙胞胎
反	fã3	
叔	ʃʮ3	
取	ȶʰy3	
受	ʃou5	
變	piã5	
敍	θy5	
叛	pʰã5	
疊	ȶiə2	
口	kʰou3	
古	ku3	
句	tʃʮ5	
另	liŋ1	
叨	tɔ1	唠~
叩	kʰou5	
只	tʂʅ3	〜有
只	tʂʅ1	一~鸡
叫	tʃɔ5	
召	tʃɔ1	
可	kʰuə3	
台	tʰɛ2	〜州
台	tʰɛ2	舞〜
史	ʂʅ3	
右	iou5	
葉	iə5	
號	xɔ5	〜码
號	xɔ2	呼〜
司	θɿ1	
嘆	tʰã5	
吁	y5	
吃	tʃʰɿ3	
各	kə3	
吆	iɔ1	〜喝
合	xuə2	〜起来
合	xuə2	十~一升
吉	tʃɿ3	
吊	ȶiɔ5	
同	tʰəŋ2	
名	miŋ2	
后	xou5	皇〜
吏	li5	
吐	tʰu3	〜痰
吐	tʰu3	呕〜
向	ʃɑŋ5	
嚇	ʃa5	〜一跳
嚇	xuə5	恐〜
呂	ly3	
君	tʃuẽ1	
吝	liẽ5	〜啬
吞	tʰuẽ1	
吟	iẽ1	
否	fɔ3	
含	xã2	
聽	ȶʰiŋ1	〜见,〜话
啓	tʃʰɿ3	
吳	u2	
吵	tʂʰɔ3	
吸	ʃɿ1	
吹	tʂʰuei1	
吻	uẽ3	
吼	xou2	
吾	u3	
呆	tɛ1	〜板
呆	tɛ1	〜着
呈	tʃʰəŋ2	
告	kɔ5	
嘔	ŋou3	〜吐
員	yã2	
周	tʃou1	
味	uei5	
呼	xu1	
命	miŋ5	
和	xuə2	〜气
和	xuə2	〜面
咎	tʃou3	
詠	iŋ3	
咒	tʃou5	
咨	tθɿ1	
咬	iɔ3	
咳	kʰuə3	〜嗽
咸	ʃã2	〜味
咽	iã5	吞〜
哀	ŋɛ1	
品	pʰiẽ3	
哄	xəŋ2	〜骗
哄	xəŋ5	起〜
哈	ʃa1	〜腰
響	ʃɑŋ3	
啞	ia3	
哥	kuə1	
哪	na3	
哭	kʰu3	
哲	tʃə3	
脣	tʃʰuẽ2	
唐	tʰɑŋ2	
嘮	lɔ5	〜叨
喚	xuã5	
售	ʃou5	
唯	uei2	
唱	tʃʰɑŋ5	
唾	tʰuə3	〜液,〜沫
啃	kʰẽ3	
啄	tʂuə2	
商	ʃɑŋ1	
嗇	θə5	吝〜
囉	luə5	〜嗦
啼	ȶʰi2	
喂	uei5	
善	ʃã5	
喉	xou2	
喊	xã3	
喘	tʃʰuã3	
喜	ʃɿ3	
喝	xa3	〜酒
喝	xuə5	〜彩,吆〜
喧	θyã3	
噴	pʰẽ1	〜水
噴	pʰẽ1	〜香,〜嚏
喻	y5	
嗅	θiou5	〜觉
嗉	θu5	鸟〜子
嗓	θɑŋ3	
嗜	ʂʅ5	
嗣	θɿ5	
嗤	tʂʰʅ1	〜笑
嗦	θuə1	啰〜
嗽	tθʰuə0	咳〜
嘉	tʃa3	
嘘	ʃʮ1	吹〜
囑	tʂu3	
嘴	tθuei3	
噎	iə3	
器	tʃʰɿ5	
囂	ʃɔ1	
嚼	ȶyə2	
囊	nɑŋ2	
囚	tʃʰou1	
四	θɿ5	
回	xuei2	
因	iẽ1	
团	tʰuã2	~结
囤	tʰuẽ2	
園	yã2	
困	kʰuẽ5	
囱	tθʰəŋ1	烟〜
圍	uei2	
固	ku5	
國	kuə3	
圖	tʰu2	
圓	yã2	
圈	tʃʰuã1	圆~
圈	tʃuã5	猪〜
土	tʰu3	
聖	ʃəŋ5	
在	tθɛ5	
圭	kuei1	
場	tʃʰɑŋ2	
址	tʂʅ3	
均	tʃuẽ1	
坍	tʰã1	〜塌
坎	kʰã3	
壞	xuɛ5	
坐	tθuə5	
坑	kʰəŋ1	
塊	kʰuɛ5	
堅	tʃã1	
坛	tʰã2	
壩	pa5	〜子
壩	pa5	堤〜
塢	u1	
墳	fẽ2	
墜	tʂuei5	
坡	pʰə1	
坤	kʰuẽ1	
坦	tʰã2	
坪	pʰiŋ2	
坯	pʰei1	
垂	tʂʰuei2	
壠	ləŋ3	
型	ʃəŋ2	
垒	lei3	
垜	tuə5	柴〜
墾	kʰẽ3	
墊	ȶiã5	〜钱
垮	kʰua3	
埂	kəŋ3	田〜
埃	ŋɛ1	尘〜
埋	mɛ2	
城	tʃʰəŋ2	
域	y5	
埠	pu5	商〜
埯	ŋã3	
培	pʰei2	
基	tʃɿ1	
堂	tʰɑŋ2	
堆	tuei1	
堡	pɔ3	
堤	ȶi1	
堪	kʰã3	
堰	iã5	
堵	tu3	
塌	tʰa3	
塑	θu5	〜像
塔	tʰa3	
塘	tʰɑŋ2	
塞	θei5	~外边疆
塞	θei3	动作,〜进去
填	ȶʰiã2	
境	tʃəŋ3	
墓	mu5	
牆	ȶʰiɑŋ2	
增	tθəŋ1	
墟	ʃʮ1	
墨	mei5	
墩	tuẽ1	
壁	pi5	
壕	xɔ2	
壤	iɑŋ1	土〜
士	ʂʅ5	
壬	iẽ5	
壯	tʂuɑŋ5	
聲	ʃəŋ1	
殼	kʰuə3	乌龟〜
壺	xu2	
處	tʃʰʮ5	〜所
處	tʂʰu3	相〜
備	pei5	
复	fu3	〜杂
复	fu3	〜原
复	fu5	〜印
复	fu5	〜兴
夏	ʃa5	姓
夏	ʃa5	春〜
夕	θi3	
外	uɛ5	
多	tuə1	
夜	iə5	
够	kou5	
大	ta5	
大	tɛ5	〜夫;〜黄(药名)
天	ȶʰiã1	
太	tʰɛ5	
夫	fu5	
央	iɑŋ1	
夯	xɑŋ1	
失	ʃɿ3	
頭	tʰou2	
夷	i2	
夸	kʰua1	
夾	tʃa3	〜住
奪	tuə2	
奇	tʃʰɿ2	
奈	nɛ5	
奉	fəŋ5	
奮	fẽ5	
奎	kʰuei2	
奏	tθou5	
契	tʃʰɿ3	〜约
奔	pẽ5	〜跑
奔	pẽ5	投〜
獎	ȶiɑŋ3	
套	tʰɔ5	
奚	ʃɿ1	
奠	ȶiã5	
奢	ʃə5	
奧	ŋɔ5	
女	ȵy3	
奴	nu2	
奶	nɛ3	
奸	tʃã1	
好	xɔ3	〜坏
好	xɔ5	喜〜
妃	fei1	
妄	uɑŋ5	
婦	fu5	
媽	ma1	
妒	tu5	
妓	tʃɿ5	
妖	iɔ1	
妗	tʃẽ3	舅母
妙	miɔ5	
妥	tʰuə3	
妨	fɑŋ1	〜害
妹	mei5	
妻	ȶʰi1	
妾	ȶʰiə5	
姊	tθɿ3	
始	ʂʅ3	
姐	ȶiə3	
姑	ku1	
姓	θiŋ5	
委	uei3	
姘	pʰiẽ5	〜头
姚	iɔ2	
姜	tʃɑŋ1	姓
姜	tʃɑŋ1	生〜
姨	i2	
姻	iẽ1	
姿	tθɿ1	
威	uei3	
嬌	tʃɔ1	
娘	ȵiɑŋ2	
娠	ʃẽ1	
娩	miã3	分~
娛	y5	
娛	u2	〜蚣
娶	ȶʰy3	
婆	pʰə2	
婚	xuẽ1	
婢	pei1	
嬰	iŋ1	
嬸	ʃẽ3	
婿	θy5	女〜
媒	mei2	
媚	mei5	
媳	θi3	
嫁	tʃa5	
嫂	θɔ3	
嫌	ʃã2	
嫖	pʰiɔ1	
嫡	ȶi5	
嫩	lẽ5	
嬉	ʃɿ1	
孀	ʂuɑŋ1	
子	tθɿ3	
孔	kʰəŋ3	
孕	yẽ5	
字	tθɿ5	
存	tθʰuẽ2	
孫	θuẽ1	
孝	ʃɔ5	
孟	məŋ5	
季	tʃɿ5	
孤	ku1	
學	ʃuə2	
孩	xɛ2	
孵	fu2	〜小鸡
孽	ȵiə5	
寧	ȵiŋ2	〜可
寧	ȵiŋ2	安〜
宅	tʃei2	
宇	y3	
守	ʃou3	
安	ŋã1	
宋	θəŋ5	
完	uã2	
宏	xəŋ2	
宗	tθəŋ1	
官	kuã1	
宙	tʃou5	
定	ȶiŋ5	
宛	yã5	
宜	i5	
寶	pɔ3	
實	ʃɿ2	
寵	tʂʰəŋ3	
審	ʃẽ3	
客	kʰei3	
宣	θyã3	
室	ʃɿ3	
宦	xuã5	
宪	ʃã5	
宮	kəŋ1	
宰	tθɛ3	
害	xɛ5	
宴	iã5	
宵	θiɔ1	
家	tʃa1	
容	iŋ2	
寬	kʰuã1	
賓	piẽ1	
宿	θy3	住宿
寂	tʃɿ5	
寄	tʃɿ5	
寅	iẽ3	
密	mi5	
寇	kʰou5	
富	fu5	
寐	mei5	
寒	xã2	
寓	y5	
寢	ȶʰiẽ1	
寞	mə5	
察	tʂʰa2	
寡	kua3	
寥	liɔ2	
寨	tʂɛ5	
寸	tθʰuẽ5	
對	tuei5	
寺	θɿ5	
尋	θyẽ2	
導	tɔ3	
壽	ʃou5	
封	fəŋ1	
射	ʃə5	
將	ȶiɑŋ3	〜来
將	ȶiɑŋ5	大〜
尊	tθuẽ1	
小	θiɔ3	
少	ʃɔ5	〜年
少	ʃɔ3	多〜
尔	ɭə3	
尖	ȶiã1	
塵	tʃʰẽ2	
尚	ʃɑŋ5	
嘗	tʃʰɑŋ2	
尤	iou2	
堯	iɔ2	
尬	ka5	尴〜
尬	liɔ5	马〜蹶子
就	ȶiou5	
尷	kã3	〜尬
屍	ʂʅ1	古代祭祀时代表死者受祭的人
尹	iẽ3	
尺	tʃʰɿ3	
尼	ȵi2	
尽	ȶiẽ5	〜底下,~前头
尽	ȶiẽ5	〜头
尾	uei3	文
尾	i1	白
尿	ȵiɔ5	
局	tʃʮ2	
屁	pʰi5	
層	tθʰəŋ2	
居	tʃʮ1	
屈	tʃʰʮ3	
屉	ȶʰi5	抽〜
屆	tʃɛ5	
屋	u3	
屍	ʂʅ1	〜体
屎	ʂʅ3	
屏	pʰiŋ2	〜风
屑	θiə5	不〜
屑	θiə5	木〜
展	tʃã3	
屬	ʂu3	
屠	tʰu2	
屢	ly3	
履	ly5	
屯	tʰuẽ2	
山	ʂã1	
歲	θuei5	
豈	tʃʰɿ3	
岐	tʃʰɿ2	
岔	tʂʰa5	三〜路
崗	kɑŋ1	
島	tɔ3	
巖	iã2	
嶺	liŋ3	
岳	yə5	五〜
岳	yə5	姓
岸	ŋã5	
峽	ʃa2	
峰	fəŋ1	
崇	tʂʰəŋ2	
崑	kʰuẽ1	~崙
崔	tθʰuei1	姓
崖	iɛ2	山〜
崩	pəŋ1	
嵌	tʃʰã5	
嵩	θəŋ1	
川	tʃʰuã1	
州	tʃou1	
巡	θyẽ2	
巢	tʂʰɔ2	
工	kəŋ1	
左	tθuə5	
巧	tʃʰɔ3	
巨	tʃʮ5	
鞏	kəŋ1	〜固
巫	u1	
差	tʂʰa1	〜别,〜不多
差	tʂʰɛ1	出〜
己	tʃɿ3	
已	i3	
巳	θɿ5	辰〜
巴	pa3	
巷	ʃɑŋ5	
巾	tʃẽ1	
幣	pi5	
市	ʂʅ5	
布	pu5	〜料
帥	ʂuɛ5	
帆	fã2	
師	ʂʅ1	
希	ʃɿ3	
帳	tʃɑŋ5	
帕	pʰa5	
帖	ȶʰiə3	碑〜,请〜
帘	liã2	
帚	tʃʮ1	扫〜
帝	ȶi5	
帶	tɛ5	
席	θi2	
幫	pɑŋ1	
常	tʃʰɑŋ2	
帽	mɔ5	
幅	fu2	
幔	mã5	
幕	mu5	
干	kã1	〜湿
干	kã5	〜部,树〜
干	kã1	天〜地支,〜涉
平	pʰiŋ2	
年	ȵiã2	
并	piŋ5	合〜
幸	ʃəŋ5	
幺	iɔ1	〜二三
幻	xuã5	
幼	iou1	
幽	iou1	
廣	kuɑŋ3	
莊	tʂuɑŋ1	
慶	tʃʰəŋ5	
庇	pi5	
牀	tʂʰuɑŋ2	
序	θy5	
廬	lu2	茅〜,〜山
庫	kʰu5	
應	iŋ2	〜当
應	iŋ3	〜用
應	iŋ5	〜对
應	iŋ3	响〜
底	ȶi1	
店	ȶiã5	
廟	miɔ5	
庚	kəŋ1	
府	fu3	
龐	pʰɑŋ2	
廢	fei5	
度	tu5	
座	tθuə5	
庭	ȶʰiŋ2	
庵	ŋã1	
康	kʰɑŋ1	
庸	iŋ1	
廉	liã2	
廊	lɑŋ2	
廖	liɔ5	姓
延	iã3	
廷	ȶʰiŋ2	
建	tʃã5	
開	kʰɛ1	
异	i5	
弃	tʃʰɿ5	
弃	ȶi5	
弄	nəŋ1	
弊	pi5	
式	ʃɿ5	
弓	kəŋ1	
引	iẽ3	
弘	xəŋ2	
弟	ȶi5	
張	tʃɑŋ1	
弥	mi2	
弦	ʃã2	
彎	uã1	
弱	yə5	
彈	tʰã2	〜琴
彈	tã5	子〜
强	tʃʰɑŋ3	〜大
强	tʃɑŋ5	倔〜
强	tʃʰɑŋ3	勉〜
弼	pi5	
彀	kou5	往上〜
歸	kuei1	
當	tɑŋ5	~作,典~
當	tɑŋ1	〜时,应〜
录	lu5	
彙	xuei5	词~,报
形	ʃəŋ2	
彩	tθʰɛ3	
彪	piɔ1	
彬	piẽ1	
彭	pʰəŋ2	
影	iŋ3	
役	i5	
徹	tʃʰə5	
彼	pi3	
往	uɑŋ3	
征	tʃəŋ1	
征	tʃəŋ1	~求,~税
待	tɛ5	
很	xẽ3	
律	ly5	
後	xou5	〜面
徐	θy2	
徒	tʰu2	
得	tei3	
徙	θi3	
御	y5	〜车,〜用
御	y5	防〜
循	θyẽ2	
微	uei1	
德	tei3	
徽	xuei1	
心	θiẽ1	
必	pi3	
憶	i5	
忌	tʃɿ5	
忍	iẽ3	
志	tʂʅ5	〜向
忘	uɑŋ5	
忙	mɑŋ2	
忠	tʂəŋ1	
憂	iou1	
快	kʰuɛ5	
忽	xu3	
懷	xuɛ2	
態	tʰɛ5	
慪	ŋou5	〜气
怒	nu5	
怕	pʰa5	
怖	pu5	恐〜
憐	liã2	
思	θɿ1	
怠	tɛ5	
急	tʃɿ3	
性	θiŋ5	
怨	yã5	
怪	kuɛ5	
怯	ȶʰiə5	
總	tθəŋ3	
恃	ʂʅ5	
戀	liã5	
恐	kʰəŋ3	
恆	xəŋ2	
恕	ʂu5	
恢	xuei1	
恤	θy5	
恨	xẽ5	
恩	ŋẽ1	
恭	kəŋ1	
息	θi3	
恰	tʃʰa3	
懇	kʰẽ3	
恶	uə5	善〜
恶	u5	恨,可〜
惱	nɔ3	
悄	ȶʰiɔ1	
悉	θi3	
悔	xuei3	
悟	u5	
悠	iou1	
患	xuã5	
悦	yə5	
懸	θyã2	
悲	pei1	
情	ȶʰiŋ2	
驚	tʃəŋ1	
惑	xuə5	
惜	θi3	
惟	uei2	
惠	xuei5	
懼	tʃʮ5	
慘	tθʰã2	
懲	tʃʰəŋ2	
慚	tθʰã2	
慣	kuã5	
惰	tuə5	
想	θiɑŋ3	
愁	tʂʰou2	
愈	y5	〜来〜好,病〜
愉	y2	
意	i5	
愚	y3	
感	kã3	
憤	fẽ5	
愧	kʰuei5	
願	yã5	
慈	tθʰɿ2	
慌	xuɑŋ1	
慎	ʃẽ5	
慕	mu5	
慢	mã5	
慧	xuei5	
慨	kʰɛ3	感〜,慷〜
慰	uei5	
憎	tθəŋ1	
憨	xã1	
憾	xã2	
懂	təŋ3	
懈	ʃɛ5	
懊	ŋɔ5	
懶	lã3	
懵	məŋ3	〜懂
戈	kuə3	
戌	θy5	
戎	iŋ2	
戲	ʃɿ5	
成	tʃʰəŋ2	
我	uə3	
戒	tʃɛ5	
或	xuə5	
戰	tʃã5	
戚	ȶʰi5	
截	ȶiə2	
戳	tʂʰuə2	
戴	tɛ5	
戶	xu5	
房	fɑŋ2	
所	ʂuə3	
扁	piã3	
扇	ʃã1	动词
扇	ʃã5	名词
手	ʃou3	
才	tθʰɛ2	〜能
才	tθʰɛ2	刚刚〜发生
扎	tʂa3	
扑	pʰu3	
打	ta3	
扔	ləŋ1	
托	tʰuə3	〜举
托	tʰuə3	委〜
扛	kʰɑŋ5	
扣	kʰou5	
執	tʃɿ3	
擴	kʰuə5	〜充
掃	θɔ5	~帚
掃	θɔ3	〜地
揚	iɑŋ2	
扭	ȵiou3	
扮	pã5	
扯	tʃʰə3	
擾	iɔ2	
扳	pã1	
扶	fu2	
批	pʰi1	
扼	ə5	
找	tʂɔ3	
承	tʃʰəŋ2	
技	tʃɿ5	
抄	tʂʰɔ1	〜写
把	pa3	〜握,〜手,一〜
把	pa5	刀〜
抑	i5	
抓	tʂua1	
投	tʰou2	
抖	tou3	
抗	kʰɑŋ5	
折	tʃə3	〜叠
折	tʃə3	〜断
折	ʃə2	弄〜了
撫	fu3	
抛	pʰɔ2	
摳	kʰou1	
搶	ȶʰiɑŋ3	
護	xu5	
報	pɔ5	
披	pʰi1	
抬	tʰɛ2	
抱	pɔ5	
抵	ȶi1	
抹	ma3	〜布,〜桌子
抹	mə3	〜掉
押	ia5	
抽	tʃʰou1	
抿	miẽ3	
擔	tã1	~任
擔	tã5	挑〜子
拆	tʃʰei3	
拇	mu3	
拈	ȵiã2	〜起来
拉	la3	
拌	pã5	
拍	pʰei3	
拎	liẽ1	〜东西
拐	kuɛ3	
拒	tʃʮ5	
拔	pa2	
拖	tʰuə1	
拘	tʃʮ1	
拙	tʂuə2	
招	tʃɔ1	
拜	pɛ5	
攏	ləŋ3	
揀	tʃã3	
擁	iŋ3	
攔	lã2	
撥	pə3	
擇	tʃei2	〜菜,选~
括	kʰuə3	包〜
拯	tʃəŋ3	
拱	kəŋ1	〜手
拳	tʃʰuã2	
拴	ʂuã1	
拼	pʰiẽ1	
拽	tʂuei5	生拉硬〜
拾	ʃɿ2	〜起来
