#漢字	音標	解釋
晦	xuɤɪ5	
晨	tsʰəŋ2	
普	pʰʋ̩3	
景	tɕiŋ3	
晰	ɕiəʔ7	
晴	tɕʰiŋ2	
晶	tɕiŋ5	
智	tsɿ5	
晾	liã6	
暫	tsʰẽ6	
暄	ɕiʊ̃1	
暇	ɕiɑ2	文
暑	tsʰʋ̩3	
暖	nʊ̃3	
暗	ʊ̃5	
暨	tɕiᶨ5	
暮	mɘʊ6	
暴	pǫ5	文
暴	pʰǫ6	白，~牙
曙	sʋ̩5	
曛	ɕyŋ1	
曜	iǫ5	
曝	pǫ5	文
曦	ɕiᶨ1	
曩	nã3	
曰	yɑ1	
曲	tɕʰiɔʔ7	
曳	iʔ7	
更	kəŋ1	
更	kəŋ5	
曹	tsʰǫ2	
曼	mẽ2	
曼	mẽ6	
曾	tsəŋ1	
曾	tsʰəŋ2	
替	tʰiᶨ5	
最	tsuɤɪ5	
月	iʊʔ8	
有	iɘʊ3	
朋	pʰɔŋ2	
服	fɔʔ8	
朔	suaʔ7	
朗	lã3	
望	ʋã6	
朝	tsǫ1	
朝	tsʰǫ2	
朝	tǫ1	今~
期	tɕʰiᶨ1	
期	tɕiᶨ1	周年
朦	mɔŋ2	
木	mɔʔ8	
未	ʋɤɪ6	
末	mʊʔ8	
本	pəŋ3	
札	tsɛʔ7	
朮	tsʰuəʔ8	
术	tsʰuəʔ8	
术	suəʔ8	
朱	tsʋ̩1	
朴	pʰiǫ2	
朴	pʰɔʔ7	~素
朶	tɘʊ3	
機	tɕiᶨ1	
朽	ɕiɘʊ3	
殺	sɛʔ7	
雜	tsɛʔ7	
權	tɕʰiʊ̃2	
杆	kʊ̃1	
杈	tsʰɑ5	
杈	tsʰɑ1	~草
杉	sẽ1	
杌	ŋəʔ8	
李	liᶨ3	
杏	ɕiŋ6	
材	tsʰᴇ2	
村	tsʰuəŋ1	
杓	saʔ8	
杖	tsʰã6	
杜	tʰʋ̩6	
杞	tɕiᶨ3	
杞	tɕʰiᶨ3	
束	sɔʔ7	
杠	kã5	
條	tʰiǫ2	
來	lᴇ2	
來	lɤɪ2	掘港童店白读，~不洎
楊	iã2	
杭	xã2	
杯	pɤɪ1	
杰	tɕʰiʔ8	
杲	kǫ3	~昃
杳	iǫ3	
杵	tsʰʋ̩3	
杷	pʰaʔ7	
松	sɔŋ1	
板	pẽ3	
極	tɕʰiəʔ8	
構	kɤɪ5	
枇	pʰiəʔ7	
枉	ʋã1	
析	ɕiəʔ7	
枒	ŋɑ6	量詞，瓣
枕	tsəŋ3	
林	liŋ2	
枚	mɤɪ2	
果	kɘʊ3	
枝	tsɿ1	
樞	sʋ̩1	
棗	tsǫ3	
槍	tɕʰiã1	
楓	fɔŋ1	
梟	ɕiǫ1	
枯	kʰʋ̩1	
枵	ɕiǫ1	
架	tɕiɑ5	文
架	kɑ5	白
枷	tɕiɑ1	文
枷	kɑ1	白
枷	kᴇ1	连~
枸	kɤɪ3	
柄	piŋ5	
柏	pɔʔ7	~树
某	mɤɪ3	
柑	kʊ̃1	
柒	tɕʰiəʔ7	
染	ʐĩ3	
柔	ʐɤɪ2	
柚	iɘʊ6	
櫃	kʰuɤɪ6	
檸	niŋ2	
查	tsʰɑ2	
查	tsɑ1	姓
柩	tɕʰiɘʊ6	
柬	tɕiẽ3	文
柬	kẽ3	白
柱	tsʰʋ̩6	
柲	pʰiəʔ8	门后横条
柳	lɤɪ3	
柳	luɤɪ3	又音
柴	sᴇ2	
柿	tsʰɿ6	~子
梔	tsɿ1	~子花
栅	sẽ1	
標	piǫ1	
棧	tsʰẽ6	客~
棟	tɔŋ3	
棟	tɔŋ5	
欄	lẽ2	
樹	sʋ̩6	
栖	tɕʰiᶨ1	
栗	liəʔ8	
栟	pəŋ1	~茶
校	tɕiǫ5	文
校	ɕiǫ6	文
校	kǫ5	白
栩	ɕyᶨ3	
株	tsʋ̩1	
樣	iã6	
核	xəʔ8	
核	xuəʔ8	~子
根	kəŋ1	
格	kəʔ7	
栽	tsᴇ1	
欒	lʊ̃2	
桁	xəŋ2	
桂	kuɤɪ5	
桃	tʰǫ2	
桅	ʋɤɪ2	
框	kʰuã1	
案	ʊ̃5	
桌	tsuaʔ7	
桐	tʰɔŋ2	
桑	sã1	
桓	xuẽ2	
椏	ŋɑ1	
檔	tã5	
橋	tɕʰiǫ2	
樺	xuɑ2	
槳	tɕiã3	
樁	tsuã1	
桶	tʰɔŋ3	
桿	kʊ̃3	
梁	liã2	
梅	mɤɪ2	
梆	pã1	
梓	tsɿ3	
梗	kəŋ3	
梢	sǫ1	
夢	mɔŋ6	
梧	ʋ̩2	
梨	liᶨ2	
梭	sɘʊ1	
梭	sɘʊ2	
梯	tʰiᶨ1	文
梯	tʰuɤɪ1	白
械	tɕiᴇ5	文
械	kᴇ5	白
梳	sʋ̩1	
梵	fẽ5	
檢	tɕĩ3	
欞	liŋ2	
棉	mĩ2	
棋	tɕʰiᶨ2	
棍	kuəŋ5	
棍	kʰuəŋ6	闷~
棒	pʰã6	
棕	tsɔŋ1	
棚	pʰɔŋ2	
棠	tʰã2	
森	səŋ1	
棱	ləŋ2	
棱	ləŋ6	
棵	kʰɘʊ1	
棺	kʊ̃1	
椅	iᶨ3	
植	tsʰəʔ8	
椎	tsuɤɪ1	
椎	tsʰuɤɪ2	
椒	tɕiǫ1	
橢	tʰɘʊ3	
椰	iɑ1	
椴	tʰʊ̃6	
椹	səŋ6	桑~
椽	tsʰʊ̃2	
椿	tsʰuəŋ1	
楂	tsɑ1	
楔	sɛʔ7	~子:小木片
楚	tsʰʋ̩3	
楝	lĩ6	
楝	lɤɪ6	~树
楞	ləŋ2	
楠	nʊ̃2	
楦	ɕiʊ̃5	鞋~子
楫	tɕʰiəʔ7	
楷	kʰᴇ3	
楹	iŋ2	
樓	lɤɪ2	
概	kᴇ5	
欖	lẽ3	
榆	yᶨ2	
櫸	tɕyᶨ3	
榔	lã2	
榕	iɔŋ2	
榛	tsəŋ1	
榜	pã3	
榨	tsɑ5	
榫	ɕyŋ3	
榷	tɕʰiaʔ7	~儿
榻	tʰɛʔ7	
榾	kuəʔ7	
槌	tsʰuɤɪ2	
槐	xuᴇ2	
檻	kʰẽ3	
檳	piŋ1	
槺	kʰã1	榔~:器物长大笨重
槽	tsʰǫ2	
樊	fẽ2	
樟	tsã1	
模	mɘʊ2	
橫	xɔŋ2	文，~向
橫	xɔŋ5	文，~潮:涌起的高潮
橫	xəŋ5	普，蛮~:凶暴
橫	ʋɔŋ2	白，~竖
橫	ʋɔŋ6	白，~匾
橫	ɔŋ2	老派
橫	ɔŋ6	老派
櫻	iŋ1	
樵	tɕʰiǫ2	
樽	tsuəŋ1	
橄	kẽ3	文
橄	kʊ̃3	白
橘	tɕyɘʔ7	
橙	tsʰəŋ2	
橡	tɕʰiã6	
櫥	tsʰʋ̩2	
櫓	lʋ̩3	
檀	tʰẽ2	
檐	ĩ2	
檗	pɔʔ7	黄~树
檁	liŋ3	
檬	mɔŋ2	
欠	tɕʰĩ5	
次	tsʰɿ5	
歡	xʊ̃1	
歡	xɘʊ1	~喜
欣	ɕiŋ1	
歐	ŋɤɪ1	
欲	iɔʔ7	文
欲	iɔʔ8	白
欸	ɤɪ1	
欸	ɤɪ2	诧异
欺	tɕʰiᶨ1	
款	kʰʊ̃3	
歇	ɕiʔ7	
歉	tɕʰĩ5	
歌	kɘʊ1	
止	tsɿ3	
正	tsəŋ1	
正	tsəŋ5	
此	tsʰɿ3	
步	pʰʋ̩6	
武	ʋ̩3	
歧	tɕʰiᶨ2	
歪	ʋᴇ1	文
歪	xuᴇ1	白
歹	tᴇ3	
死	sɿ3	
殲	tɕĩ1	
殲	tɕʰĩ1	
殁	məʔ8	
殃	iã1	
殄	tʰĩ3	
殆	tʰᴇ6	
殊	sʋ̩1	
殊	sʋ̩2	特~
殘	tsʰẽ2	
殞	yŋ3	
殮	lĩ6	
殖	tsʰəʔ8	
殯	piŋ5	
殪	iᶨ6	枯萎
毆	ŋɤɪ1	
段	tʰʊ̃6	
殷	iŋ1	
殿	tʰĩ6	
毁	xuɤɪ3	
轂	kʋ̩3	
毅	iᶨ6	
毌	kʰuɛʔ8	卡住，挂住
母	mɘʊ3	
母	miᶨ3	~猫儿
每	mɤɪ3	
毒	tʰɔʔ8	
毓	iɔʔ7	
比	piᶨ3	
畢	piəʔ7	
斃	piᶨ5	文
斃	pʰiᶨ6	白
毛	mǫ2	
毡	tɕĩ1	
毫	xǫ2	
毯	tʰẽ3	
毳	tsʰuɤɪ5	~毛:细毛
毻	tʰɘʊ5	脱毛
毽	tɕĩ5	
氅	tsʰã3	
氏	sɿ6	
氏	sɿ1	姓~
民	miŋ2	
氓	mã2	
气	tɕʰiᶨ5	
氛	fəŋ1	
氟	fəʔ7	
氫	tɕʰiŋ1	
氧	iã3	
氮	tʰẽ6	
氯	lɔʔ8	
氳	yŋ1	
水	suɤɪ3	
水	sɿ3	~门汀:水泥
永	iɔŋ3	文
永	yŋ3	白
氽	tʰəŋ3	漂浮;涌水
汀	tʰiŋ1	
汁	tsəʔ7	
求	tɕʰiɘʊ2	
汆	tsʰʊ̃1	
汇	xuɤɪ6	
漢	xẽ5	文
漢	xʊ̃5	白
汊	tsʰɑ5	
汔	tɕʰiəʔ7	
汕	sẽ5	
汗	xʊ̃6	
汛	ɕiŋ5	
汝	ʐʋ̩3	
汞	kɔŋ3	
江	tɕiã1	文，长~
江	kã1	白
池	tsʰɿ2	
污	ʋ̩1	
湯	tʰã1	
汨	miəʔ8	
汪	ʋã1	
汰	tʰᴇ5	
汲	tɕʰiəʔ8	~水
汴	pʰĩ6	
洶	ɕiɔŋ1	
汽	tɕʰiᶨ5	
沁	tɕʰiŋ5	
沃	ʋaʔ7	
沆	xã5	
沈	səŋ3	
沉	tsʰəŋ2	
沌	tʰəŋ6	
沏	tɕʰiʔ7	
沐	mɔʔ8	
沓	tɛʔ7	
沓	tʰɛʔ8	
沙	sɑ1	
沛	pʰɤɪ5	
溝	kɤɪ1	
没	məʔ8	
漚	ŋɤɪ5	
瀝	liəʔ8	
瀝	liᶨ1	~水
淪	ləŋ2	
滄	tsʰã1	
滬	xʋ̩6	
沫	mʊʔ8	
沭	suəʔ8	
沮	tɕyᶨ3	
沰	taʔ7	
河	xɘʊ2	
沸	fɤɪ5	
沸	fəʔ8	
油	iɘʊ2	
治	tsʰɿ6	
治	tsʰɿ2	~鱼
沼	tsǫ3	
沾	tɕĩ1	
沿	ĩ2	
泄	ɕiʔ7	
泉	tɕʰiʊ̃2	
泊	pʰaʔ8	~车子
泊	pʰɔʔ7	湖~
泌	piᶨ5	
泓	xɔŋ2	
泔	kʊ̃1	
法	fɛʔ7	
泛	fẽ5	
濘	niŋ6	
泡	pʰǫ1	
泡	pʰǫ5	
波	pɘʊ1	
泣	tɕʰiəʔ7	
泥	ȵiᶨ2	
注	tsʋ̩5	
淚	luɤɪ6	
淚	luɤɪ3	眼~
淚	liəʔ8	眼~水
泮	pʰʊ̃6	
泰	tʰᴇ5	
泳	iɔŋ3	文
泵	pã1	
泵	pã5	
瀉	ɕiɑ5	
潑	pʰʊʔ7	
澤	tsʰəʔ7	
澤	tsʰəʔ8	
潔	tɕiʔ7	
洇	iŋ5	
洋	iã2	
洎	tɕʰiᶨ6	来不~
洒	sɑ3	
洗	ɕiᶨ3	
洛	laʔ8	
洞	tʰɔŋ6	
津	tɕiŋ1	
洪	xɔŋ2	
洫	ɕyᶨ5	
洲	tsɤɪ1	
活	xʊʔ8	
活	ʊʔ8	
洼	ʋɑ5	
洽	tɕʰiaʔ7	
派	pʰᴇ5	
流	lɤɪ2	
淺	tɕʰĩ3	
漿	tɕiã1	
漿	tɕiã5	~子
澆	tɕiǫ1	
濁	tsʰuaʔ8	
測	tsʰəʔ7	
測	tsʰəʔ8	
濟	tɕiᶨ3	
濟	tɕiᶨ5	
瀏	lɤɪ2	
渾	xuəŋ2	
滸	xʋ̩3	
滸	ɕyᶨ3	~澪
濃	nɔŋ2	
浙	tɕiʔ7	
浚	tɕyŋ5	
浜	pã1	
浣	xʊ̃3	
浦	pʰʋ̩3	
浩	xǫ5	
浪	lã6	
浮	fʋ̩2	
浮	fɤɪ2	轻~:浮躁
浴	iɔʔ8	
海	xᴇ3	
浸	tɕiŋ5	
涂	tʰʋ̩2	
消	ɕiǫ1	
涉	ɕiʔ7	
涉	tɕʰiʔ8	
涌	iɔŋ3	
涎	sẽ2	
涎	ɕĩ2	
涓	tɕiʊ̃1	
涕	tʰiᶨ5	
濤	tʰǫ2	
澇	lǫ2	
澇	lǫ6	
漣	lĩ2	
渦	ɘʊ1	
滌	tʰiəʔ8	
潤	ʐəŋ6	
漲	tsã3	
漲	tsã5	
澀	səʔ7	
涮	suẽ5	
涯	iɑ2	文
液	iᴇ6	文
液	iəʔ8	白
涴	ɘʊ5	耐~:耐脏
涵	xʊ̃2	
涸	xɘʊ2	
淀	tiŋ5	
淄	tsɿ1	
淆	ɕiǫ2	
淇	tɕʰiᶨ2	
淋	liŋ2	
淌	tʰã3	
淖	nǫ6	
淘	tʰǫ2	
淞	sɔŋ1	
淡	tʰẽ6	
淤	yᶨ1	
淫	iŋ2	
淬	tsʰuɤɪ5	
淮	xuᴇ2	
深	səŋ1	
淳	tsʰuəŋ2	文
淳	suəŋ2	白
混	xuəŋ5	~日子
混	xuəŋ6	不认真做事
混	xuəŋ3	又音
混	xuəŋ2	水不清
淹	ŋẽ1	
添	tʰĩ1	
清	tɕʰiŋ1	
淵	iʊ̃1	
漸	tɕĩ5	
漸	tɕʰĩ6	
漁	yᶨ2	
滲	səŋ5	
渠	tɕʰyᶨ2	
渡	tʰʋ̩6	
渣	tsɑ1	
渤	pʰəʔ8	
渥	ɔʔ7	
溫	ʋəŋ1	
港	kã3	掘~
港	tɕiã3	老派文读音，掘~
渲	ɕiʊ̃1	
渳	miᶨ1	小口饮
渳	miᶨ5	小口饮
渴	kʰʊʔ7	
游	iɘʊ2	
渺	miǫ3	
湃	pʰᴇ5	
湍	tʰʊ̃1	
湖	xʋ̩2	
湘	ɕiã1	
湮	ĩ1	
灣	ʋẽ1	
溼	səʔ7	
溼	tsʰəʔ7	潮
潰	kʰuɤɪ5	
濺	tɕĩ5	
溉	kᴇ5	
溏	tʰã2	
源	iʊ̃2	
溜	lɤɪ1	
溢	iəʔ7	
溪	tɕʰiᶨ1	
溯	sʋ̩5	
溶	iɔŋ2	
溺	niəʔ8	
溺	ȵiǫ6	~布
溻	tʰɔʔ7	~湿
滂	pʰã2	
滇	tĩ1	
滋	tsɿ1	
滑	xuɛʔ8	
滑	ʋɛʔ8	黏~虫
滓	tsɿ3	
滔	tʰǫ1	
潷	piəʔ7	
滚	kuəŋ3	
滯	tsʰɿ5	
滿	mʊ̃3	
濾	lyᶨ6	文
濾	luɤɪ6	白
濫	lẽ6	
濱	piŋ1	
灘	tʰẽ1	
滴	tiəʔ7	
漂	pʰiǫ1	
漂	pʰiǫ5	
漆	tɕʰiəʔ7	
漉	lɔʔ8	
漏	lɤɪ6	
演	ĩ3	
漕	tsʰǫ2	
漠	maʔ8	
漩	ɕiʊ̃2	
漪	iᶨ1	
漫	mẽ6	
漫	mʊ̃6	水~出来了
漭	mã3	
漱	sʋ̩5	
漶	xuẽ1	
漷	kʰuaʔ8	液体摇晃
漺	suã3	
漺	suã6	
漾	iã6	
瀟	ɕiǫ1	
瀲	lĩ5	文
潘	pʰʊ̃1	
潛	tɕʰĩ2	
潢	xuã2	
潦	lǫ2	
潦	liǫ2	
潭	tʰʊ̃2	
潮	tsʰǫ2	
潼	tʰɔŋ2	
潽	pʰʋ̩1	粥~了
澄	tsʰəŋ2	
澄	tiŋ5	
澈	tɕʰiʔ7	
澎	pʰɔŋ2	
瀾	lẽ2	
澡	tsǫ3	
澪	liŋ2	地名，浒~
澱	tʰĩ6	
澳	ŋǫ5	
激	tɕiəʔ7	
瀨	lᴇ6	
瀕	piŋ1	
濠	xǫ2	
濩	xuaʔ8	
濮	pʰɔʔ7	
瀑	pǫ5	~布
瀚	xʊ̃5	
灌	kʊ̃5	
火	xɘʊ3	
滅	miəʔ8	文
滅	miʔ8	白，~门绝户
燈	təŋ1	
灰	xuɤɪ1	
灴	xɔŋ5	兴旺，热
靈	liŋ2	
竈	tsǫ5	
灼	tsaʔ7	
災	tsᴇ1	
燦	tsʰẽ5	
煬	iã2	火旺
爐	lʋ̩2	
炊	tsʰuɤɪ1	
炎	ĩ2	
炒	tsʰǫ3	
炕	kʰã5	
炕	xã5	给食品加热，将衣物烘干
燉	təŋ5	
炙	tsɿ5	
熗	tɕʰiã5	
炫	ɕiʊ̃6	
炬	tɕyᶨ5	文
炭	tʰẽ5	
炮	pʰǫ5	
炯	tɕiɔŋ3	
炷	tsʰʋ̩6	
炸	tsɑ5	~弹
點	tĩ3	
煉	lĩ6	
烀	xɘʊ1	把食物蒸熟
爍	saʔ7	
爛	lẽ6	
烈	liʔ8	
烊	iã6	打~
烘	xɔŋ1	
烙	laʔ8	
燭	tsɔʔ7	
烟	ĩ1	
烤	kʰǫ3	
煩	fẽ2	
燒	sǫ1	
燴	xuɤɪ6	
燙	tʰã5	
燼	tɕʰiŋ6	
熱	ʐiʔ8	
烹	pʰɔŋ1	
烽	fɔŋ2	
焉	ĩ1	
焊	xʊ̃6	
焐	ʋ̩5	
燜	məŋ6	
焗	tɕʰiɔʔ8	
焙	pʰɤɪ1	
焙	pʰɤɪ3	~火，用铁木棒等拨弄燃烧物
焚	fəŋ2	
焦	tɕiǫ1	
焯	tsʰaʔ7	
焰	ĩ5	
焵	kã5	煎，~饼儿
然	ʐĩ2	
煅	tʊ̃5	
煅	tʰʊ̃6	
煎	tɕĩ1	
煜	iɔʔ7	
煞	sɛʔ7	
煠	tsʰɛʔ8	油~
煤	mɤɪ2	
照	tsǫ5	
煨	ʋɤɪ1	
煮	tsʋ̩3	
煸	pĩ1	
煽	ɕĩ1	
熄	ɕiəʔ7	
熊	ɕiɔŋ2	
熏	ɕyŋ1	
熔	iɔŋ2	
熙	ɕiᶨ1	
熟	sɔʔ8	
熠	iəʔ8	
熨	yŋ6	
熨	yɘʔ8	
熬	ŋǫ2	
熹	ɕiᶨ1	
燃	ʐĩ2	
燕	ĩ5	
燠	iɔʔ7	暖和
燥	tsǫ5	
燧	tɕʰyᶨ6	
爆	pǫ5	~炸
爆	pʰǫ6	~灰
爊	ŋǫ1	~豝肉
爪	tsuɑ3	文
爪	tsǫ3	白
爬	pɑ1	
爬	pʰɑ2	
愛	ŋᴇ5	
爵	tɕʰiaʔ8	
父	fʋ̩6	
爺	iᶨ2	文，叔父
爺	iᴇ2	文
爺	iɑ2	白，~娘:父母
爺	i2	读书音，县太~
爸	pɑ5	
爸	pɑ1	又音
爹	tiɑ1	
爻	iǫ2	
爽	suã3	
爿	pẽ1	
爿	pʰẽ2	
片	pʰĩ5	
版	pẽ3	
牌	pʰᴇ2	
牘	tʰɔʔ8	
牒	tʰiəʔ8	文
牒	tʰiʔ8	白
牙	ŋɑ2	
牛	ȵiɘʊ2	文
牛	ŋɤɪ2	白
牡	mɤɪ3	
牢	lǫ2	
牦	mǫ2	
牧	mɔʔ8	
物	ʋəʔ8	
牯	kʰʋ̩1	~牛:公牛
牲	səŋ1	
牽	tɕʰĩ1	
特	tʰəʔ8	
犧	ɕiᶨ1	
犀	ɕiᶨ1	
犁	liᶨ2	
犄	tɕiᶨ1	
犢	tʰɔʔ8	
犒	kʰǫ5	
犟	tɕʰiã6	
犟	kʰã6	白，~头:倔强而不听劝说的人
犬	tɕʰiʊ̃3	
犯	fẽ6	
狀	tsʰuã6	
獷	kuã3	
猶	iɘʊ2	
狂	kʰuã2	
狄	tʰiəʔ8	
狐	xʋ̩2	
狗	kɤɪ3	
狙	tɕyᶨ1	
狠	xəŋ3	
狩	sɤɪ3	
獨	tʰɔʔ8	
狹	xɛʔ8	
狹	kʰɛʔ7	促~
狹	kʰuɛʔ7	促~
獅	sɿ1	
獄	iɔʔ8	
猻	suəŋ1	
狸	liᶨ2	
狼	lã2	
獵	liʔ8	
獼	miᶨ2	
猖	tsʰã1	
猛	mɔŋ3	
猜	tsʰᴇ1	
猢	xʋ̩2	
猥	ʋɤɪ3	
猩	ɕiŋ1	
豬	tsʋ̩1	
猫	mǫ2	
猫	miǫ2	熊~
蝟	ʋɤɪ5	
獻	ɕĩ5	
猴	xɤɪ2	
猾	xuɛʔ8	
猿	iʊ̃2	
獗	tɕiʊʔ7	
獺	tʰɛʔ7	
獾	xʊ̃1	
玄	ɕiʊ̃2	
率	liəʔ8	
率	suəʔ8	
率	suᴇ5	文
玉	yᶨ6	~米
玉	iɔʔ7	文
玉	iɔʔ8	白，~皇大帝
王	ʋã2	
玖	tɕiɘʊ3	
瑪	mɑ3	
玩	ʋẽ2	文
玩	ʊ̃2	白
玫	mɤɪ2	
環	kʰuẽ2	
現	ɕĩ6	
璽	ɕiᶨ3	
玻	pɘʊ1	
珀	pʰɔʔ7	
珊	sẽ1	
珍	tsəŋ1	
琺	fɛʔ7	
珠	tsʋ̩1	
班	pẽ1	
球	tɕʰiɘʊ2	
琅	lã2	
理	liᶨ3	
瑣	sɘʊ3	
琢	tsuaʔ7	
琪	tɕʰiᶨ2	
琴	tɕʰiŋ2	
琵	pʰiᶨ2	
琶	pʰɑ2	
瓊	tɕʰiɔŋ2	
瑕	ɕiɑ2	文
瑙	nǫ3	
瑚	xʋ̩2	
瑞	suɤɪ5	
瑟	səʔ7	
瑰	kuɤɪ1	
璀	tsʰuɤɪ3	
璃	liᶨ2	
璐	lʋ̩6	
璧	piəʔ7	
璺	məŋ6	裂缝
瓜	kuɑ1	
瓠	xʋ̩6	文
瓠	ʋ̩6	白，~子
瓢	pʰiǫ2	
瓣	pẽ5	
瓤	nã2	
瓤	ʐã2	
瓦	ʋɑ3	
瓭	tʊ̃1	酒~子
瓮	ʋɔŋ5	
瓮	ɔŋ5	老派
瓶	pʰiŋ2	
瓷	tsʰɿ2	
甃	tʊʔ7	
甑	tsəŋ5	
甘	kʊ̃1	
甚	səŋ2	
甚	səŋ6	
甚	xəŋ3	白，~底:什么
甜	tʰĩ2	
生	səŋ1	
甥	səŋ1	
用	iɔŋ6	
甩	suᴇ3	
甫	fʋ̩3	文，台~
甫	pʰʋ̩3	白
甬	iɔŋ3	
甭	pɔŋ2	
田	tʰĩ2	
由	iɘʊ2	
甲	kɛʔ7	二~
甲	kʰɛʔ7	指~
甲	tɕiɛʔ7	文
申	səŋ1	
電	tĩ5	文
電	tʰĩ6	白
男	nʊ̃2	
甸	tĩ5	同店
畫	xuɑ6	文
畫	ʋɑ6	白
暢	tsʰã5	
畈	ʋẽ5	
畈	fã5	~心荒地
界	tɕiᴇ5	文
界	kᴇ5	白，~碑
畏	ʋɤɪ5	
畔	pʰʊ̃6	河~
留	lɤɪ2	
畚	fəŋ5	~箕
畚	pəŋ1	用工具收集，~麦
畜	tsʰɔʔ7	
畜	ɕiɔʔ7	
略	lɛʔ8	
番	pʰʊ̃1	
番	fẽ1	
番	pʰɘʊ5	遍、次
畲	sɑ1	
畸	tɕiᶨ1	
疆	tɕiã1	
疏	sʋ̩1	
疑	iᶨ2	
癤	tɕiʔ7	
療	liǫ2	
疙	kəʔ7	
疚	tɕiɘʊ5	
疝	sẽ5	
瘧	nɛʔ8	
瘍	iã2	
疤	pɑ1	
疥	kᴇ5	~疮
疫	yɘʔ7	
疫	iɔʔ7	又音
瘡	tsʰuã1	
瘋	fɔŋ1	
疰	tsʋ̩5	~夏
疲	pʰiᶨ2	
疵	tsʰɿ3	
疸	tẽ1	一种病
疼	tʰəŋ2	
疾	tɕʰiəʔ8	
痂	tɕiɑ1	文
痂	kɑ1	白
病	pʰiŋ6	
症	tsəŋ1	
症	tsəŋ5	
痊	tɕʰiʊ̃2	
痒	iã3	
痔	tsʰɿ6	
痕	xəŋ2	
痘	tʰɤɪ6	
痛	tʰɔŋ5	
痞	pʰiᶨ3	
痢	liᶨ6	
痣	tsɿ5	
痧	sɑ1	
癆	lǫ2	
瘓	xʊ̃6	
痰	tʰẽ2	
痱	pʰiᶨ6	~子
癡	tsʰɿ1	
痹	pʰiᶨ2	麻~
瘀	yᶨ1	
瘌	lɛʔ8	
瘟	ʋəŋ1	
瘣	kʰuᴇ3	
瘤	lɤɪ2	
瘦	sɤɪ5	
瘩	tɛʔ7	
癟	piʔ7	
癱	tʰẽ1	
瘸	tɕʰyɑ2	~子
瘸	tɕʰyɑ3	~人，故意刁难欺负人
癮	iŋ3	
癃	lɔŋ2	
癌	ŋẽ2	
癜	tĩ5	
癩	lᴇ6	
癬	ɕiʊ̃3	
癲	tĩ1	
癸	kuɤɪ3	
登	təŋ1	
發	fɛʔ7	
白	pʰɔʔ8	
百	pɔʔ7	
皂	tsʰǫ6	
的	ti0	
的	tiəʔ7	
皆	tɕiᴇ1	文
皆	kᴇ1	白
皇	xuã2	
皈	kuɤɪ1	
皋	kǫ1	
皎	tɕiǫ3	文
皚	ŋᴇ2	
皓	xǫ5	
皖	ʊ̃3	
皙	ɕiəʔ7	
皮	pʰiᶨ2	
皺	tsɤɪ5	
皸	tɕyŋ1	
皴	tsʰuəŋ1	
皵	tɕʰiaʔ7	
皿	miŋ3	
盅	tsɔŋ1	
盆	pʰəŋ2	
盇	kʰʊʔ8	
盈	iŋ2	
益	iəʔ7	
盍	kʰʊʔ8	
盍	kʰʊ̃2	向前~，向前倾斜
盎	ŋã5	
盞	tsẽ3	
鹽	ĩ2	
監	tɕiẽ1	文
監	tɕiẽ5	文
監	kẽ1	白
監	kẽ5	白
盒	xʊʔ8	
盔	kʰuɤɪ1	
盖	kᴇ5	
盜	tʰǫ6	
盤	pʰʊ̃2	
盛	səŋ2	~饭
盛	səŋ6	~开
盟	mɔŋ2	
盥	kʊ̃5	
盦	ʊʔ7	
目	mɔʔ8	
盯	tiŋ1	
盲	mã2	
直	tsʰəʔ8	
相	ɕiã1	
相	ɕiã5	
盹	təŋ3	
盼	pʰẽ5	
盾	tʰəŋ6	
省	səŋ3	
省	ɕiŋ3	
眉	mɤɪ2	文
眉	miᶨ2	白，~毛
看	kʰʊ̃5	
看	kʰʊ̃1	~门
真	tsəŋ1	
眠	mĩ2	
眦	tsɿ5	
眨	tsɛʔ7	
眩	ɕiʊ̃6	
眯	miᶨ1	
眯	miᶨ2	
眵	tsʰɿ3	
眶	kʰuã1	
眷	tɕiʊ̃5	
眼	ŋẽ3	
着	tsǫ1	
着	tsaʔ7	~急
着	tsʰaʔ8	~火
睜	tsəŋ1	
睃	sɘʊ2	眼睛四处看
睏	kʰuəŋ5	
睞	lᴇ2	
瞼	tɕĩ3	
瞼	tɕʰĩ6	
睛	tɕiŋ1	
睡	suɤɪ5	
督	tɔʔ7	
睦	mɔʔ8	
睬	tsʰᴇ3	
睹	tʋ̩5	
睾	kǫ1	
睿	ʐuɤɪ6	
瞄	miǫ2	
瞅	tsʰɤɪ3	
瞌	kʰʊʔ7	
瞎	xɛʔ7	
瞑	miŋ2	
瞞	mʊ̃2	
瞟	piǫ1	
瞟	pʰiǫ3	
瞥	pʰiʔ7	
瞧	tɕʰiǫ2	
瞩	tsɔʔ7	
瞪	təŋ1	
瞬	suəŋ5	
瞳	tʰɔŋ2	
瞻	tɕĩ1	
瞿	tɕʰyᶨ2	
矛	mǫ2	
矜	tɕiŋ1	
矢	sɿ5	
矣	iᶨ3	
知	tsɿ1	
矩	tɕyᶨ3	
矯	tɕiǫ3	
矬	tsʰɘʊ2	
短	tʊ̃3	
矮	ŋᴇ3	
石	səʔ8	
矻	kʰuəʔ7	土块
礬	fẽ2	
礦	kʰuã5	
碼	mɑ3	
砂	sɑ1	
砉	xɔʔ7	~动
