#漢字	音標	解釋
□	kɛi3	~里
傲	ŋau6	~气
傻	sa3	~瓜
像	tɕʰiɔŋ6	好~
僧	səŋ1	唐~
兒	ɛ2b	~女
允	vin3	~许
兄	ɕiəŋ1	~弟
充	tsʰəŋ1	~实
先	ɕiɛn1	~后
光	kuɔŋ1	~头
免	miɛn3	~税
兑	ti5a	~现
黨	tɔŋ3	共产~
兜	tɛu1	~住
入	lɛ7	收~
全	tɕʰiɛn2a	~部
八	pa7	~只
公	kəŋ1	~家
六	liu8	~只
共	kʰəŋ6	~一本书
關	kuan1	~门
興	ɕin1	~旺
興	ɕin5a	高~
兵	pin1	士~
具	kʰui5a	家~
典	tiɛn3	~型
養	iɔŋ3	~大
兼	tɕiɛn1	~职
獸	sɛu6	野~
内	li6	~部
再	tsai5a	~来
寫	ɕia3	~字
軍	kuin1	~队
農	ləŋ2b	贫~
冤	viɛn1	~枉
冬	təŋ1	~天
馮	fəŋ2b	姓~
冰	pin1	冻~
冲	tsʰəŋ1	向前~
况	kʰuɔŋ5b	何
冷	laŋ3	~暖
凍	təŋ5a	~冰
淨	tɕʰiaŋ6	干~
準	tsən3	~备
減	kan3	加~
湊	tsʰɛu5b	~找
几	tɕi3	~只
几	tɕi3	茶~
凡	fan2b	~是
鳳	fəŋ6	~皇
凭	pʰin2a	
凳	təŋ5a	~子
凶	ɕiəŋ1	好~
出	tsʰu2b	~来
鑿	tsʰo7	~洞
刀	tau1	菜~
分	fən1	开
切	tɕʰiɛ7	~菜
划	fa8	~分
列	liɛ7	并~
則	tsɛ7	原~
剛	kɔŋ1	~~
創	tsʰɔŋ5b	~业
初	tsʰu1	~一
判	pʰɔn5b	披~
利	li6	~益
别	pʰiɛ8	~人
刮	kua7	~脸
制	tsɿ5a	~造
刷	sa7	~子
刺	tsʰɿ5b	~刀
刻	kʰɛ7	~苦
刴	to5a	~碎
削	ɕiə7	~皮
前	tɕʰiɛn2a	~面
劍	tɕiɛn5a	宝~
剝	pɔ7	~皮
劇	tɕi7	赣~
剩	sən6	~下
剪	tɕiɛn3	~刀
副	fu5a	一~
割	ko7	~禾
剿	tɕiɛu3	~一把
劈	pʰia7	~柴
力	li7	
勸	kʰuiɛn5b	~人
辦	pʰɔn6	~法
劣	liɛ7	~质
動	tʰəŋ6	走~
助	tsu5a	帮~
劫	tɕiɛ7	打~
勁	tɕin5a	有~
勇	iəŋ3	~敢
勤	tɕʰin2a	~快
匀	vin2b	~称
包	pau1	~工
化	fa5a	~肥
北	pɛ7	~京
匙	sɿ2b	钥~
匠	tɕʰiɔŋ6	木~
匪	fi3	土~
匹	pʰi7	一~
區	kʰui1	~别
醫	i1	~生
匾	piɛn1	木~
十	sɛ7	~只
千	tɕʰiɛn1	~万
升	sən1	~级
午	vu3	端~
半	pɔn5a	~年
華	fa2b	中~
協	ɕiɛ7	衣~
卒	tsɛ7	~子
單	sən6	姓~
單	tan1	表~
賣	mai6	~猪
南	lan2b	~边
博	po7	~士
占	tsən5a	~领
衛	vi6	保~
卯	mau3	~时
印	in5a	手~
危	vi2b	~险
卵	lɔn3	~子
卷	kun3	~起
廠	tsʰɔŋ3	工~
廳	tʰin1	大~
历	li7	黄~
厲	li6	~害
厭	iɛn5a	吃~
廁	tsʰɛ5a	~所
厚	hɛu6	~薄
原	viɛn2b	~因
厦	ha3	~屋
廚	tsʰu2a	~房
去	tɕʰiɛ5b	哪里~
縣	ɕiɛn6	~城
参	tsʰən1	~加
参	sən1	人~
又	iɛu6	~是
叉	tsʰa1	~子
及	tɕʰi7	~格
雙	sɔŋ1	~胞胎
反	fan3	对
发	fa7	~芽
叔	su2b	~~
取	tɕʰi3	争~
受	sɛu6	接~
變	piɛn5a	~化
叛	pʰɔn6	变
口	kʰɛu3	山~
句	kʰui5a	一~
另	lin6	~外
只	tsa7	一~
叫	tɕiɛu5a	大~
召	tsau6	号~
可	kʰo3	~以
台	tai2a	~湾
史	sɿ3	姓~
葉	iɛ7	~子
號	hau6	~称
吃	tɕia2b	~饭
各	kɔ7	~人
吉	tɕi7	~利
同	tʰəŋ2a	~意
名	miaŋ2b	~字
吐	tu3	~出
向	ɕiɔŋ5a	~南
嚇	ha5a	~人
呂	li3	~姓
吞	tʰən1	~下去
含	han2b	~着水
聽	tʰiaŋ5b	~话
啓	tɕi3	~事
吳	vu2b	姓~
吸	ɕi7	~管
吹	tɕʰi1	~牛
呆	ŋai2b	~板
呆	tai1	书~子
告	kau5a	~状
嘔	ŋɛu3	~吐
周	tsɛu1	姓~
味	vi6	有~
呼	fu1	称~
命	miaŋ6	~好
和	fo6	~起来
和	ho2b	~气
咒	tsɛu5a	~人家
咬	ŋau3	~人
咸	han2b	~淡
哀	ŋai1	默~
品	pʰin3	人~
哄	həŋ3	~骗
哄	fəŋ6	闹~
響	ɕiɔŋ3	~亮
啞	ŋa3	~巴
哥	ko1	~~
哪	la3	~个
哭	kʰu5b	爱~
哲	tsɛ7	~学
哽	kəŋ3	~着
脣	tsʰən2a	嘴~
唐	tʰɔŋ2a	姓~
售	sɛu6	~票
唱	tsʰɔŋ5b	歌
啃	kən3	~咬
喂	vi5a	~饭
善	sən6	~恶
喘	tsʰɔn3	~气
喜	ɕi3	~事
喝	ha7	~水
噴	pʰan1	~水
噴	pʰən1	~香
嗅	ɕiəŋ5a	~气味
嗓	sɔŋ3	~子
嘴	tɕi3	猪~
器	tɕʰi5b	机~
囂	ɕiɛu1	~张
嚼	tɕiɔ7	咬~
四	sɿ5a	~只
回	fi2b	~去
因	in1	原~
团	tʰɔn2a	~长
園	viɛn2b	菜~
困	kʰun5b	~难
囱	tsʰəŋ2a	烟~
圍	vɛi2b	~墙
國	kuɛ7	~家
圓	vin2b	~圈
圈	kʰun1	~墙
圈	kʰun1	圆~
土	tʰu3	泥~
聖	sən5a	神~
在	tsʰai6	~乎
地	ti6	~上
均	kuin1	平~
坎	kan3	心~
壞	fai6	~人
坑	kʰaŋ1	深~
塊	kʰuai3	一~
坛	tʰɔn2a	酒~
墳	fən2b	~墓
坡	po1	山~
坦	tʰan3	~护
坯	pʰi1	砖~
垂	tsʰɛi2b	~直
壠	ləŋ2b	田~
垮	kʰua3	~台
埂	kəŋ5a	田~
埋	mai2b	~了
基	tɕi1	地~
堆	ti1	~起来
堰	iɛn5a	~边
塑	sɔ7	~料
塔	tʰa7	宝~
塞	sɛ7	~住
境	tɕiaŋ5a	边~
牆	tɕʰiɔŋ2a	土~
墨	mɛ7	~水
壁	pia7	墙~
壅	iəŋ5a	~肥
士	sɿ6	~兵
壯	tsɔŋ5a	好~
聲	saŋ1	~音
壺	fu2b	茶~
處	tsʰu5b	~理
處	tsʰu5b	所
備	pi1	准~
外	ŋai6	~面
多	to1	几~
夜	ia6	半~
够	kɛu5a	能~
大	tʰai6	~小
天	tʰiɛn1	~地
太	tai5b	~好
夫	fu1	~妻
失	sɛ8	~了
頭	tʰɛu2a	~上
夸	kʰua1	~人家
夾	ka2b	~子
奪	tʰɔ7	争~
奇	tɕʰi2a	~怪
奈	lai6	~何
奏	tsɛu5a	节~
套	tʰau5b	~
奠	tʰiɛn6	~定
奧	ŋau5a	深~
女	ȵi3	~孩
奴	lu2b	~隶
奶	nai3	吃~
奸	kan1	汉~
好	hau3	~坏
好	hau3	~哭
如	lu2b	不~人
媽	ma1	姆~
妒	tu5a	~忌
妨	fɔŋ2b	~
妹	mi6	弟~
妻	tɕʰi1	夫~
姊	tsɿ3	~妹
始	sɿ3	开~
姐	tɕia3	~~
姑	ku1	~娘
姓	ɕiaŋ5a	~秦
委	vi3	~托
姜	tɕiɔŋ1	姓~
姨	i3	~娘
威	vɛi1	~风
嬌	tɕiɛu1	~气
娘	ȵiɔŋ2b	爷~
婆	pʰo2a	~~
婚	fən1	结~
嫂	sau3	大~
嫌	ɕiɛn2b	讨~
嫖	pʰiɛu6	赌
嫩	lən6	~草
子	tsɿ3	儿~
孔	kʰəŋ3	姓~
孕	vin6	杯~
字	tsʰɿ6	名~
存	tsʰən2a	~款
孫	sən1	~子
孝	hau6	戴~
孟	məŋ6	姓~
季	tɕi5a	~节
學	hɔ7	~戏
孩	hai2b	~子
孽	ȵiɛ7	作~
寧	lin2b	姓~
安	ŋɔn1	~全
宋	səŋ5a	姓~
完	vɔn2b	~了
宗	tsəŋ1	祖~
官	kuɔn1	当~
定	tʰin6	~亲
實	sɛ8	~际
客	kʰa7	~人
宣	ɕiɛn1	~布
宰	tsai3	~相
害	hai2a	~人
家	ka1	一~人
容	iəŋ2b	~易
寬	kʰuɔn1	~敞
賓	pin1	~馆
宿	ɕiu7	住~
寄	tɕi5a	~信
寅	in2b	~时
密	mi7	~封
富	fu5a	~人
寒	hɔn2b	~了
寢	tɕʰin3	~室
察	tsʰa8	警~
寡	kua3	~妇
寨	tsʰai6	大~
寸	tsʰən5b	尺~
寺	tsʰɿ6	~庙
尋	ɕin2b	~人
導	tau6	向~
壽	sɛu6	做~
封	fəŋ1	~山
射	sa6	~箭
將	tɕiɔŋ1	~来
將	tɕiɔŋ5a	大~
尊	tsən1	~敬
小	ɕiɛu3	~心
少	sɛu3	多~
少	sɛu5a	年~
尖	tɕiɛn1	~团
嘗	sɔŋ2a	~~
就	tɕʰiɛu6	~是
尷	kan1	~尬
屍	sɿ2a	~骨
尺	tsʰa7	~寸
尼	ȵi2b	~姑
尾	mi3	~巴
尿	ȵiɛu6	
局	tɕʰiu8	公安~
屁	pʰi5b	放~
層	tsʰəŋ2a	楼~
居	kui1	~住
屈	kʰui7	姓~
屋	vu7	~里
屎	sɿ5a	~尿
屐	tɕi7	木~
屑	ɕiɛ7	锯~
展	tsan3	~开
屬	su7	~相
屢	ly3	~次
山	san1	~水
歲	fi5a	~月
岔	tsʰa5b	分~
巖	ŋan2b	~石
岳	ŋɔ7	姓~
岸	ŋɔn6	~边
崇	tsəŋ2a	~拜
崔	tɕʰi1	姓~
崖	ŋa2b	山~
巡	ɕin2b	~逻
左	tso3	~边
巧	tɕʰiau3	凑~
巫	vu1	~婆
差	tsʰai1	出~
己	tɕi3	自~
已	i3	~经
巳	tsʰɿ6	~时
巷	hɔŋ6	~子
巾	tɕin1	手~
市	sɿ6	九江~
布	pu5a	~鞋
帥	sai5a	元~
師	sɿ2a	老~
帖	tʰiɛ7	字~
帚	tsu3	扫~
帝	tʰi6	皇~
帶	tai5a	~着
席	ɕi7	主~
幫	pɔŋ1	~忙
帽	mau6	~子
干	kɔn1	~净
干	kɔn5a	~部
平	pʰiaŋ2a	~整
年	ȵiɛn2b	~纪
并	pin5a	合~
幸	ɕin6	~高
幼	iɛu5a	~稚
廣	kuɔŋ3	~大
慶	tɕʰin5b	~六一
牀	tsʰɔŋ2a	木~
廬	li2b	~山
庫	fu5a	~水
應	in5a	~该
底	ti3	~部
店	tiɛn5a	商~
廟	miɛu6	~里
府	fu3	政~
龐	pɔŋ2a	姓~
廢	fi2b	~物
座	tsʰo6	~位
庵	ŋɔn1	尼姑~
廖	liau6	姓~
延	iɛn2b	~长
建	tɕiɛn5a	~设
開	kʰai1	~门
弄	ləŋ6	作~
式	sɿ7	~子
弓	kəŋ1	~
引	in3	~导
弟	tʰi6	~~
張	tsɔŋ1	姓~
弦	ɕiɛn2b	琴~
彎	van1	~的
弱	lɔ7	软~
彈	tʰan2a	~弓
彈	tʰan6	子~
强	tɕʰiɔŋ2a	~大
歸	kui1	当~
當	tɔŋ1	~时
當	tɔŋ5a	~作
录	lu7	~取
形	ɕin2b	~状
彩	tsʰai3	~色
彭	pʰən2a	姓~
影	iaŋ3	~子
徹	tsʰɛ7	~底
往	vɔŋ3	~常
往	tsʰɛu1	上~
征	tsən1	~求
徑	tɕiaŋ5a	~
待	tʰai6	接~
很	hən3	~好
律	li7	规~
徐	tɕʰi2b	姓~
徒	tʰu2a	~弟
得	tɛ7	~到
微	vi2b	稍~
徽	fɛi1	安~
心	ɕin1	~里
憶	i7	记~
忌	tɕʰi6	~口
忍	ȵin3	~住
忘	vɔŋ6	~记
忙	mɔŋ2b	~碌
快	kʰuai3	~点
念	ȵiɛn6	挂~
忽	fu7	疏~
態	tʰai6	表~
怕	pʰa5b	~鬼
憐	liɛn2b	可~
急	tɕi7	性~
性	ɕiaŋ5a	~格
怨	viɛn5a	埋~
怪	kuai5a	~事
總	tsəŋ3	~理
戀	liɛn6	~着
恆	həŋ2b	~心
恢	fi1	~复
恨	hən6	仇~
恩	nən1	有~
恶	ŋo7	善~
悔	fi3	后~
懸	ɕiɛn2b	~崖
悲	pɛi6	~伤
情	tɕʰin2a	人~
惑	fo8	迷~
惜	ɕi7	可~
惠	fi6	贤~
慘	tsʰɔn3	好~
慣	kuan5a	习~
想	ɕiɔŋ3	~像
惹	ia3	~祸
愁	tsʰɛu2a	~苦
愉	vi2b	~快
意	i5a	~思
愚	vi2b	~蠢
感	kɔn3	~谢
願	viɛn6	~意
慈	tsʰɿ2a	~母
慎	sən6	谨-
慢	man6	~车
慰	vɛi5a	向
憨	hɔn3	~宝
懶	lan3	~汉
懵	məŋ3	~懂
戊	vu6	~时
戌	ɕi7	~时
戲	ɕi5a	~台
成	tsʰən2a	办~
我	ŋo3	~的
戒	kai5a	~烟
戚	tɕʰi7	亲~
截	tɕiɛ7	拦~
戳	tsʰɔ8	~穿
戴	tai5a	~帽
戶	fu6	~口
房	fɔŋ2b	新~
所	so3	派出~
扇	sən5a	~子
手	sɛu3	~心
扎	tsa7	结~
打	ta3	~人
托	tʰɔ7	~人
扛	kʰɔŋ1	~走
扣	kʰɛu5b	~押
擴	kʰuo7	~大
掃	sau3	~荡
掃	sau5a	~帚
扮	pʰɔn1	打~
扯	tsʰa3	~蛋
扶	fu2b	~着
批	pʰi1	~斗
找	tsau3	~零钱
承	tsʰən2a	~认
技	tɕi6	~
抄	tsʰau1	~写
把	pa3	~握
抓	tsua1	~紧
抗	kʰɔŋ5b	反~
折	sɛ7	~本
折	tsɛ7	~起来
撫	fu3	~州
搶	tɕʰiɔŋ3	亲
報	pau5a	~纸
披	pʰi1	~衣裳
抬	tʰai2a	~起来
抱	pʰau6	~起来
抹	ma7	~布
抽	tsʰɛu1	~出
抿	min3	~嘴
拄	tsʰu3	~框
擔	tan1	~任
擔	tan5a	~子
拆	tsʰa7	~开
拉	la7	~车
拐	kuai3	~骗
拔	pʰa7	~起
拖	tʰo1	~地
拘	kui1	~留
招	tsau1	~亲
拜	pai5a	~年
擬	ȵi3	~人
攏	ləŋ3	合~
擁	iəŋ1	~护
攔	lan2b	~住
擇	tsʰɛ7	选~
括	kʰuɛ7	包~
拯	tsən3	包文~
拱	kəŋ3	~起来
拳	kʰun2a	~头
拼	pʰin1	~命
拿	la2b	~来
持	tsʰɿ2a	~
挂	kua5a	~号
指	tsɿ3	~着
按	ŋɔn5a	~时
挑	tʰiɛu1	
挖	va7	~洞
擠	tɕi3	~一~
挨	ŋai1	~近
挽	van3	手~手
捆	kʰun3	~起来
捉	tsɔ7	~住
捏	ȵiɛ2b	用手~
捐	tɕiɛn1	~款
損	sən3	失
換	vɔn6	~零钱
捧	pʰəŋ3	一~
据	kʰui1	根~
捱	ŋai2b	~打
捺	la7	撇~
掀	ɕiɛn1	~起来
掉	tiɛu5a	~头
掌	tsɔŋ3	手~
掐	kʰa2b	~人
排	pʰai2a	~队
探	tʰɔn2b	试~
接	tɕiɛ7	~受
推	ti1	~开
掩	iɛn3	门~着
撣	tan3	~灰
揉	lɛu2b	~~
提	tʰia6	~起
插	tsʰa7	~手
握	uɔ7	把
揩	kʰai1	~汗
揪	tɕiɛu1	~住
揭	tɕʰiɛ7	~开
攪	kau3	~动
搓	tsʰo1	~衣裳
搜	sɛu1	~集
搬	pɔn1	~石头
搭	ta7	~车
攝	sɛ7	~走
摆	pai3	摇~
攤	tʰan1	水果~
摔	sai1	~架
摘	tsa7	~下来
摸	mo2b	~鱼
撇	pʰiɛ7	~捺
撑	tsʰaŋ1	~起来
撒	sa2b	~手
撕	sɿ1	~开
撞	tsʰɔŋ1	碰~
撩	liɛu2b	~人
撮	tsʰɔ7	~箕
撮	tsɔ7	一~
撼	hɔn6	~动
操	tsʰau1	~写
擦	tsʰa7	摩~
收	sɛu1	~购
改	kai3	~正
放	fɔŋ5a	~走
故	ku5a	~事
敵	ti7	~人
救	tɕiɛu5a	~命
教	kau5a	~书
敢	kɔn3	勇~
散	san5a	分~
散	san3	带子~了
數	su3	~清楚
數	su5a	~字
敲	kʰau1	~门
整	tsaŋ3	平~
敷	fu1	~药
文	vən2b	~化
齋	tsai1	聊~
斗	tɛu3	升~
斗	tɛu5a	打~
料	liɛu6	材~
斛	fu7	禾~
斤	tɕin1	~两
斬	tsan3	~断
斷	tʰɔn5b	~定
斷	tʰɔn5b	~关系
斯	sɿ1	~文
方	fɔŋ1	姓~
施	sɛ1	~肥
旁	pʰɔŋ2a	~边
旋	ɕiɛn6	~涡
族	tsʰu8	民~
無	vu2b	~根~据
既	tɕi5a	~然
日	ȵi7	~子
旦	tʰan6	元~
舊	tɕʰiɛu6	~屋
早	tsau3	~上
旱	hɔn6	~灾
時	sɿ2b	~间
曠	kʰuɔŋ5b	~课
旺	vɔŋ6	兴~
昂	ŋɔŋ2b	~~
昆	kʰun1	~明
昌	tsʰɔŋ1	南~
明	miaŋ2b	~朝
易	i6	容~
星	ɕiaŋ1	火~
映	iaŋ5a	~壁上
春	tsʰən1	打~
昨	tso7	~日
是	sɿ6	不~
晝	tsɛu5a	下~
顯	ɕiɛn3	~示
晃	vɔŋ6	摇~
晏	ŋan5a	好~
曬	sa5a	~谷
曉	ɕiɛu3	~得
普	pʰu3	~通
晴	tɕʰiaŋ2a	天~
智	tsɿ1	~力
暫	tsʰan6	~时
暖	lɔn3	~
暗	ŋɔn5a	~了
曲	tɕʰiu2b	弯~
更	kəŋ5a	~好
更	kəŋ1	五~
曹	tsʰau2a	姓~
曾	tsən1	姓~
最	tsɛi5a	~好
月	ȵiɛ2b	一个~
有	iɛu3	~钱
朋	pʰəŋ2a	~友
服	fu7	~装
朗	lɔŋ3	开~
朝	tsʰau2a	~代
朝	tsau1	今~
木	mu7	~料
末	mɔ7	~尾
本	pən2b	一~
术	su7	武~
朱	tsu1	姓~
機	tɕi1	~器
殺	sa7	~人
雜	tsa7	~种
杉	sa1	~树
杌	vɛ7	~子
李	li3	姓~
杏	ɕin6	~子
村	tsʰən1	~长
杜	tʰu6	姓~
杞	tɕʰi3	构~
束	su7	结~
杠	kɔŋ5a	木~
條	tʰiɛu2a	~件
來	lai3	往~
楊	ioŋ2b	~树
杯	pi1	~子
杰	tɕʰiɛ7	~出
松	səŋ1	~繁
松	tsʰəŋ2a	~树
板	pan3	木~
極	tɕi7	积
枉	vɔŋ3	~然
枕	tsən3	~头
林	lin2b	树~
果	kuo3	苹~
枝	tsɿ1	树~
槍	tɕʰiɔŋ1	手~
枯	kʰu1	~田
架	ka5a	~子
柄	piaŋ5a	刀~
某	mɛu3	~人
染	ȵiɛn3	~布
櫃	kʰui6	~子
查	tsʰa2a	检~
柱	tsʰu6	~子
柳	liɛu3	姓~
柴	tsʰai2a	~草
柿	sɿ6	~子
梔	tsɿ1	~子
標	piɛu1	~准
樹	su6	松~
栗	li7	毛~
校	ɕiɛu6	~长
樣	iɔŋ6	~子
核	hɛ7	~心
根	kən1	~
格	kɛ7	~子
栽	tsai1	~树
桂	kui5a	~花
桃	tʰau2a	~子
桌	tsɔ7	~子
橋	tɕʰiɛu2a	石~
樁	tsɔŋ1	木~
桶	tʰəŋ3	水~
梅	mi2b	姓~
夢	məŋ6	做~
梨	li5a	~树
梯	tʰi1	楼~
械	kai5a	机~
檢	tɕiɛn3	~查
棉	miɛn2b	~花
棋	tɕʰi2a	象~
棍	kun5a	~子
棕	tsəŋ1	~树
棚	pʰəŋ2a	搭~
椅	i3	~子
椒	tɕiɛu1	辣~
椿	tsən1	~树
楚	tsʰu3	清~
楷	kʰai3	~书
樓	lɛu2b	~梯
概	kʰai5b	大~
榜	pɔŋ3	~样
榨	tsa5a	~油
槐	fai2b	~树
模	mu2b	~范
橫	vɔn2b	~直
櫻	in1	~桃
橘	kui7	~子
橙	tsʰən2a	~子
欠	tɕʰiɛn5b	~账
次	tsʰɿ5b	~要
歡	fɔn1	~喜
歐	ŋɛu1	~阳
欺	tɕʰi1	负
款	kʰuɔn3	贷~
歇	ɕiɛ7	~一~
正	tsən5a	~好
正	tsən8	月
步	pʰu6	脚~
歪	vai1	~斜
死	sɿ3	~活
殊	su2b	特~
殘	tsʰan2a	伤~
殮	liɛn6	大~
段	tʰɔn6	姓~
殷	in1	姓~
毁	fi3	烧
毅	i6	~力
母	mu3	公~
每	mi3	~只
毒	tʰu8	~药
比	pi3	~较
斃	pʰi6	枪~
毛	mau2b	姓~
毡	tsən1	牛皮~
毫	hau2b	~米
毯	tʰan3	~子
民	min2b	人~
气	tɕʰi5b	力~
水	fi3	修~
永	iəŋ3	~远
汁	tsɿ2b	墨~
求	tɕʰiɛu2a	~人家
汆	tsʰɔn1	~丸子
汇	fi6	~总
漢	hɔn5a	~族
汗	hɔn6	出~
汞	kən5a	蓝~
江	tɕiɔŋ1	姓~
池	tsʰɿ2a	水~
湯	tʰɔŋ1	菜~
汪	vɔŋ1	姓~
沈	sən3	姓~
沉	tsʰən2a	~下去
沙	sa1	~子
溝	kɛu1	水~
漚	ŋɛu5a	~暖
河	ho2b	~水
油	iɛu2b	~菜
治	tsɿ6	~理
沼	tsau3	~气
沾	tsən1	~水
泄	ɕiɛ7	~密
法	fa2b	办~
泡	pʰau5b	~水里
泡	pʰau1	灯~
泥	ȵi2b	~耙
注	tsu5a	~意
淚	li6	眼~
泳	iəŋ3	游~
瀉	ɕia5a	~药
潑	pʰo7	~水
洒	sa3	~水
洗	ɕi3	~手
洛	lo7	~阳
洞	tʰəŋ6	山~
津	tɕin1	天~
活	vɛ7	~鱼
派	pʰai5b	~人
流	liɛu2b	~动
淺	tɕʰiɛn3	探~
澆	tɕiɛu1	~水
測	tsʰɛ7	~量
濟	tɕi5a	经~
渾	fən2b	~水
濃	ləŋ2b	~淡
浙	tsɛ7	~江
浩	hau6	~大
浪	lɔŋ6	~花
浮	fɛu2b	轻~
海	hai3	上~
浸	tɕin5a	~水里
消	ɕiɛu1	息
涉	sa7	手~
涎	ɕiɛn2b	流~
濤	tʰau2a	浪~
澇	lau6	旱~
澗	kan1	山~
澀	sɛ7	~味
淡	tan6	咸~
深	sən1	~浅
混	fən6	~日子
淹	ŋan1	~死
添	tʰiɛn1	~加
添	tʰiɛn5b	~笔
清	tɕʰiaŋ1	~水
淵	viɛn1	深~
滲	sən5a	~水
渠	hɛ2a	我你~
渡	tʰu6	过~
渣	tsa1	豆~
溫	vən1	~度
港	kɔŋ3	~口
湖	fu2b	~里
溼	sɿ7	干~
溜	liɛu6	~走
滑	va7	路~
滚	kun3	打~
滿	mɔn6	~意
濫	lan6	用~了
漂	pʰiɛu3	~白
漂	pʰiɛu5b	~亮
漏	lɛu6	~雨
演	iɛn3	~戏
潘	pʰɔn1	姓~
潛	tsan5a	~水
潛	tɕʰiɛn2a	~力
潭	tʰɔn2a	龙~
潲	sau5a	~水
激	tɕi7	~动
火	fo3	烧~
滅	miɛ8	~火
灰	fi1	~尘
竈	tsau5a	~王爷
爐	lu2b	火~
炎	ȵiɛn2b	发~
炒	tsʰau3	~菜
炭	tʰan5b	~火
點	tiɛn3	~灯
爛	lan6	破~
烘	həŋ1	~手
燭	tsu7	蜡~
烟	iɛn1	~雾
煩	fan2b	心~
燒	sɛu1	~火
燙	tʰɔŋ5b	~衣裳
熱	ȵiɛ8	~天
焯	tsʰɔ7	~水
然	lən2b	白~
煎	tɕiɛn1	~饼
照	tsau5a	~亮
煮	tsu3	用水~
熄	ɕi7	
熊	ɕiəŋ2b	~猫
熏	fin1	~肉
熙	ɕi1	廉
熟	su8	生~
熨	vin5a	~斗
熬	ŋau2b	~夜
燕	iɛn5a	~子
爆	pau5a	~竹
爬	pʰa2a	走
愛	ŋai5a	~人
父	fu6	~母
爺	ia2b	~娘
爸	pa7	~~
爽	sɔŋ3	~快
片	pʰiɛn5b	一~
牌	pʰai2a	打~
牙	ŋa2b	~齿
牚	tsʰaŋ5b	门~
牛	ȵiɛu2b	水~
牢	lau2b	~记
物	vɛ7	度~
牽	tɕʰiɛn1	~手
特	tʰɛ7	~务
犁	tʰi2b	~把
犟	tɕiɔŋ5a	儡~
犯	fan6	~法
狀	tsʰɔŋ6	告~
狗	kɛu3	公~
猛	məŋ3	~火
猜	tsai1	~~
豬	tsu1	~婆
猫	mau1	乌~
獻	ɕiɛn5a	~丑
猴	hɛu2b	~子
獺	ta7	水~
玉	ȵiu7	~镯
王	vɔŋ2b	姓~
玩	van2b	~弄
現	ɕiɛn6	兑~
