#漢字	音標	解釋
占	tɕiɛ̃5	～卜
卦	kua5	
卯	mau3	
印	in5	
危	uei2	
即	tɕi6	
卷	kɛ̃5	
卸	ɕiɛ5	
卹	ɕi6	
卻	tɕʰio6	
卿	tɕʰin1	
厘	li2	
厚	ɣei6	
原	yɛ̃2	
厥	kɛ6	
去	tɕʰy5	(文)
參	tsʰan1	
參	sən1	人～
又	iəu6	
叉	tsʰa1	
及	tɕʰi6	
友	iəu3	
反	fan3	
叔	ɕy6	
取	tɕʰy3	
受	ʑiəu6	
叛	pʰuã5	
叟	sei3	
叢	dzuŋ2	
口	kʰei3	
古	ku3	
句	tɕy5	
另	lin6	
叨	tʰau1	嘮～
叩	kʰei5	
只	tsɿ3	
叫	tɕiau5	
召	dʑiau6	
台	dai2	
史	sɿ3	
右	iəu6	
司	sɿ1	
各	ko6	
吆	iau1	
合	xo6	
吉	tɕi6	
吊	tiau5	
同	duŋ2	
名	min2	
后	ɣei6	
吏	li6	
吐	tʰu3	
向	ɕiaŋ5	
君	kin1	
吝	lin5	
吞	tʰən1	
吟	in2	
吠	fu6	
否	fei3	
含	ɣan2	
吳	u2	
吵	tsʰau3	
吸	tɕi6	
吹	tsʰei1	
吻	uən3	
吼	xei3	
吾	u2	
呂	ly3	
呆	ŋai2	
呈	dʑin2	
告	kau5	
周	tɕiəu1	
味	uei6	
呼	fu1	
命	min6	
和	ɣo2	～氣
和	ɣo6	～面
咎	tɕiəu5	
咒	tɕiəu5	
咨	tsɿ1	
咬	ŋau3	
咸	ɣan2	
咽	iɛ̃5	
哀	ŋai1	
品	pʰin3	
哄	xuŋ3	～騙
員	yɛ̃2	
哥	ko1	
哪	la3	
哭	kʰu6	
哲	tɕiɛ6	
哽	kən3	
唆	so1	
唇	ʑin2	
唐	daŋ2	
售	dʑiəu6	
唯	uei2	
唱	tɕʰiaŋ5	
唾	tʰu5	
啄	tsa5	(白)
啄	tso6	(文)
商	ɕiaŋ1	
問	uən5	
啞	ŋa3	(白)
啞	ia3	(文)
啟	tɕʰi3	
啼	di2	
善	ʑiɛ̃6	
喉	ɣei2	
喊	xan3	
喘	tsʰuã3	
喚	fan5	
喜	ɕi3	
喝	xo6	
喧	ɕiɛ̃1	
喪	saŋ5	婚～；～失
喫	tɕʰi6	(文)
喫	tɕʰia6	(白)
喬	dʑiau2	
單	tan1	
單	ʑiɛ̃6	姓
喻	y5	
嗅	ɕyŋ5	用鼻子聞
嗇	sə6	
嗓	saŋ3	
嗜	sɿ5	
嗣	dzɿ2	
嗽	sei5	
嘆	tʰan5	
嘉	tɕia1	
嘔	ŋei3	
嘗	ʑiaŋ2	
嘮	lau1	～叨
嘴	tsei3	
噎	iɛ6	
噓	ɕy1	
器	tɕʰi5	
噴	pʰən5	～香
噴	fən5	～水
嚇	xa5	(白)收～，一種迷信活動
嚇	xə6	(文)
嚴	ȵiɛ̃2	
嚷	iaŋ6	
嚼	tɕio6	
囂	ɕiau1	
囉	lo1	
囊	laŋ2	
囑	ɕy6	
囚	dʑiəu2	
四	sɿ5	
回	vei2	
因	in1	
囤	dən6	
囪	tsʰuŋ1	
困	kʰuən5	
固	ku5	
圈	kʰɛ̃1	
國	kuə6	
圍	uei2	
園	yɛ̃2	
圓	yɛ̃2	
圖	du2	
團	duã2	
土	tʰu3	
在	dzai6	
圭	kuei1	
址	tsɿ3	
均	kin1	
坍	tʰan3	
