#漢字	音標	解釋
謬	miau5	
謹	tɕin3	
證	tɕin5	
識	ɕi6	
譚	dan2	
譜	pʰu3	
警	tɕin3	
譬	pʰi6	
譯	i6	
議	ȵi6	
護	vu6	
譽	y5	
讀	du6	
變	piɛ̃5	
讒	dzan2	
讓	iaŋ6	
谷	ku6	
豁	xo1	
豆	dei6	
豇	kaŋ1	
豈	tɕʰi3	
豉	ɕi1	
豌	uã1	
豎	ʑy6	
豐	xuŋ1	
豕	sɿ3	
豚	dən2	
象	ɕiaŋ5	
豪	ɣau2	
豫	y5	
豬	tɕy1	
豶	vən2	牡豕
豹	pau5	
豺	dzai2	
貂	tiau1	
貌	mau5	
貓	miau2	
貝	pei5	
貞	tɕin1	
負	fu5	
財	dzai2	
貢	kuŋ5	
貧	bin2	
貨	xo5	
販	fan5	
貪	tʰan1	
貫	kuã5	
責	tsə6	
貳	ə6	
貴	kuei5	
貶	piɛ̃3	
買	mai3	
貸	dai6	
費	fei5	
貼	tʰiɛ6	
貿	mei6	
賀	ɣo6	
賂	lo6	
賃	ȵin5	
賄	fei3	
資	tsɿ1	
賈	tɕia3	姓
賊	dzə5	
賒	ɕia1	(白)
賒	ɕiɛ1	(文)
賓	pin1	
賜	tsʰɿ5	
賞	ɕiaŋ3	
賠	bei2	
賢	ʑiɛ̃2	
賣	mai6	
賦	fu5	
質	tɕi6	
賬	tɕiaŋ5	
賭	tu3	
賴	lai6	
賺	dzuã6	
購	kei5	
賽	sai5	
贅	tsei5	
贈	dzən6	
贊	tsan5	
贏	in2	
贖	ɕiəu5	～回來
贖	su6	
赤	tɕʰi6	
赫	xə6	
走	tsei3	
赴	fu5	
起	tɕʰi3	
趁	tɕʰin5	
超	tɕʰiau1	
越	yɛ6	
趕	kan3	
趙	dʑiau6	
趟	tʰaŋ3	
趣	tsʰei5	
趨	tɕʰy1	
足	tsu6	
趾	tsɿ3	
跌	tiɛ6	
跑	pʰau3	
跛	po1	
距	tɕy5	
跟	kən1	
跡	tɕi6	
跨	kʰua1	(又)
跨	kʰua5	
跪	kʰuei3	
路	lu6	
跳	tʰiau5	
踏	tʰa6	
踐	tɕiɛ̃3	
踢	tʰi6	
踱	du6	
蹄	di2	
蹲	tsən1	
躁	tsʰau5	
躍	iau5	
躡	ȵiɛ5	
身	ɕin1	
躬	kuŋ1	
躺	tʰaŋ3	
車	tɕy1	～馬炮
車	tɕʰia1	(白)
車	tɕʰiɛ1	(文)
軋	ŋa5	～棉花
軌	kuei3	
軍	kin1	
軒	fyɛ̃1	
軛	ŋa5	牛～
軟	ʑyɛ̃3	
軸	tɕʰiəu6	
載	tsai5	
輔	fu3	
輕	tɕʰin1	
輛	liaŋ5	
輜	tsɿ1	
輝	fei1	
輦	ȵiɛ̃3	
輩	pei5	
輪	lən2	
輯	tɕi6	
輸	ɕy1	
轄	ɕia6	
轅	yɛ̃2	
轉	kɛ̃3	～眼
轉	kɛ̃5	～螺絲
轍	tɕʰiɛ6	
轎	dʑiau6	
轟	xuŋ1	
辛	ɕin1	
辣	la5	
辦	ban6	
辨	biɛ̃6	
辭	dzɿ2	
辮	piɛ̃1	
辯	biɛ̃6	
辰	ʑin2	
辱	y6	
農	luŋ2	
迂	y1	
迎	in2	
近	dʑin6	
迫	pʰə6	
述	ɕy6	
迷	mi2	
迸	pʰin5	
追	tsei1	
退	tʰei5	
送	suŋ5	
逃	dau2	
逆	ȵi6	
透	tʰei5	
逐	tɕʰy6	
途	du2	
逗	dei6	
通	tʰuŋ1	
逛	ɡuaŋ2	
逝	sɿ5	
逞	tɕʰin3	
速	su6	
造	tsʰau5	
逢	ɣuŋ2	
連	liɛ̃2	
進	tɕin5	
逵	ɡuei2	
逸	i6	
逼	pi6	
逾	y5	
遁	dən6	
遂	ɕy5	
遇	ȵy6	
遊	iəu2	
運	vyn6	
遍	pʰiɛ̃5	
過	ko5	
遐	ʑia2	
道	dau6	
達	ta6	
違	uei2	
遜	sən5	
遞	di6	
遠	yɛ̃3	
遣	tɕʰiɛ̃3	
適	ɕi6	
遭	tsau1	
遮	tɕia1	
遲	dzɿ2	
遵	tsən1	
遷	tɕʰiɛ̃1	
選	ɕiɛ̃3	
遼	liau2	
避	pʰi6	
邀	iau1	
還	ɣai2	～有
還	van2	～原
邊	piɛ̃1	
那	la5	
邦	paŋ1	
邪	dʑia2	(白)
邪	dʑiɛ2	(文)
邵	ɕiau5	
郁	iəu5	
郊	tɕiau1	
郎	laŋ2	
郡	ɡin6	
部	bu6	
郭	ko6	
郵	iəu2	
都	tu1	
鄂	ŋo6	
鄉	ɕiaŋ1	
鄒	tsei1	
鄙	pʰi3	
鄧	dən6	
鄭	dʑin6	
鄰	lin2	
酉	iəu3	
酌	tɕio6	
配	pʰei5	
酒	tɕiəu3	
酣	xan1	
酬	dʑiəu2	
酵	ɕiau5	
酷	ku6	
酸	suã1	
醃	ŋan5	～酸菜
醇	vin2	
醉	tsei5	
醋	tsʰu5	
醒	ɕin3	
醜	tɕʰiəu3	
醫	i1	
醬	tɕiaŋ5	
醮	tɕiau5	
釁	ɕin5	
釉	iəu5	
釋	ɕi6	
重	dzuŋ2	～複
重	dzuŋ6	輕～
野	ia3	(白)
野	iɛ3	(文)
量	liaŋ2	～長短
量	liaŋ6	數～
金	tɕin1	
釘	tin1	
釘	tin5	動詞
釜	fu3	
針	tɕin1	
釣	tiau5	
釵	tsʰa1	
鈍	dən6	
鈔	tsʰau1	
鈞	kin1	
鈴	lin2	
鈸	po6	
鉋	bau6	
鉗	dʑiɛ̃2	
鉛	tɕʰiɛ̃1	～印
鉛	yɛ̃2	
鉢	po6	
鉤	kei1	
銀	ȵin2	
銃	tsʰuŋ5	
銅	duŋ2	
銘	min2	
銜	ɣan2	
銳	dzo5	
銳	sei5	
銷	ɕiau1	
銹	ɕiəu5	
鋒	xuŋ1	
鋤	dzu2	
鋪	pʰu1	～設
鋪	pʰu5	店～
鋸	tɕy5	(文)
鋼	kaŋ1	
錄	lu6	
錐	tsei1	
錘	dzei2	(文)
錠	din6	
錢	dʑiɛ̃2	
錦	tɕin3	
錨	mau2	
錫	ɕi6	
錮	ku5	
錯	tsʰo5	
鍋	ko1	
鍍	du6	
鍘	tsʰə6	～刀
鍛	tuã5	
鍬	tɕʰiau1	
鍵	dʑiɛ̃6	
鍾	tsuŋ1	
鎖	so3	
鎮	tɕin5	
鏟	tsʰan3	
鏡	tɕin5	
鏨	dzan6	～花
鏵	va2	
鐘	tsuŋ1	
鐧	kan5	
鐮	liɛ̃2	
鐲	tɕy6	
鐵	tʰiɛ6	
鐸	tʰo6	
鑄	tɕy5	
鑑	kan5	
鑒	kan5	
鑰	io6	～匙
鑲	ɕiaŋ1	
鑼	lo2	
鑽	tsuã1	動詞
鑽	tsuã5	名詞
鑿	dzo5	
長	dʑiaŋ2	～短
長	tɕiaŋ3	生～
門	mən2	
閂	suã1	
閃	ɕiɛ̃3	
閉	pi5	
開	kʰai1	
閏	vyn6	
閑	ɣan2	(白)
間	kan1	中～
間	kan5	～斷
閘	tsa6	
閣	ko6	
閨	kuei1	
閩	min2	
閱	yɛ6	
閹	kei1	
閹	iɛ̃1	
閻	ȵiɛ̃2	
闊	kʰo6	
闖	tsʰaŋ3	
關	kuã1	
闢	pʰi6	
阜	fei5	
阮	ʑyɛ̃3	
防	vaŋ2	
阻	tsu3	
阿	a1	
阿	o1	～膠
附	fu5	
陋	lei6	
陌	pə6	
降	ɣaŋ2	(文)投～
降	ʑiaŋ2	(白)～伏
降	kaŋ5	(白)～班
降	tɕiaŋ5	(文)下～
限	ɣan6	
陛	bei6	
陝	ɕiɛ̃3	
陡	tei3	
院	yɛ̃1	
陣	dʑin6	
除	dʑy2	
陪	bei2	
陰	in1	
陳	dʑin2	
陵	lin2	
陶	dau2	
陷	ɣan6	
陸	liəu5	(白)
陸	lu6	(文)
陽	iaŋ1	姓
陽	iaŋ2	太～
隆	luŋ2	
隊	dei6	
階	kai1	
隔	kə6	
隘	ŋai6	
際	tɕi5	
障	tɕiaŋ5	
隧	ɕy5	
隨	dzei2	
險	ɕiɛ̃3	
隱	in3	
隴	luŋ3	
隸	li6	
隻	tɕi1	(文)
隻	tɕia5	(白)
隻	tɕia6	(白)(又)
雀	tɕʰio6	
雁	ŋan5	
雄	ʑyŋ2	
雅	ia3	
集	tɕi6	
雌	tsʰɿ1	
雍	yŋ1	
雕	tiau1	
雖	ɕy1	
雙	saŋ1	
雛	dzu2	
雜	tsa6	
雞	tɕi1	
離	li2	
難	an2	～易
難	an6	患～
雨	y3	
雪	ɕiɛ6	
雲	vyn2	
零	lin2	
雷	lei2	
雹	pʰau5	
電	diɛ̃6	
需	ɕy1	
霄	ɕiau1	
震	tɕin5	
霍	xo6	
霜	saŋ1	
霞	ʑia2	
露	lu6	
霸	pa5	
靈	lin2	
青	tɕʰin1	
靖	dʑin6	
靜	dʑin6	
非	fei1	
靠	kʰau5	
靡	mi2	
面	miɛ̃6	
革	kə6	
靴	fyɛ1	(又)
靴	ɕyɛ1	
鞋	ɣai2	
鞍	ŋan1	
鞏	kuŋ3	
鞘	ɕiau1	
鞭	piɛ̃1	
韌	ʑin6	
韓	ɣan2	
韭	tɕiəu3	
音	in1	
韶	ʑiau2	
韻	vyn5	
響	ɕiaŋ3	
頁	iɛ5	
頂	tin3	
頃	kʰin3	
項	ɣaŋ6	
順	vin6	
須	ɕy1	
頌	dzuŋ6	
預	y5	
頑	uã2	
頒	pan1	
頓	tən5	
頗	pʰo1	
領	lin3	
頭	dei2	
頸	tɕiaŋ3	(白)～骨
頸	tɕin5	(文)
頻	bin2	
顆	kʰo3	
題	di2	
額	ŋə6	
顏	ŋai2	
願	yɛ̃6	
顛	tiɛ̃1	
類	lei6	
顧	ku5	
顫	tɕiɛ̃5	
顯	ɕiɛ̃3	
顴	ɡɛ̃2	
風	xuŋ1	
颼	sei1	
飄	pʰiau1	
飛	fei1	
食	ɕi6	
飢	tɕi1	
飩	dən6	餛～
飯	van6	
飲	in3	～酒；～馬
飴	i2	
飺	dzɿ2	
飽	pau3	
飾	ɕi1	
餅	pin3	
餉	ɕiaŋ3	
養	iaŋ3	
餌	ə5	
餐	tsʰan1	
餓	ŋo6	
餘	y2	
餚	ʑiau2	
餛	vən6	～飩
餞	tɕiɛ̃5	
館	kuã3	
餾	liəu1	
餿	sei1	
饃	mo2	
饅	man6	
饑	tɕi1	
饒	iau2	
饞	dzan2	
首	ɕiəu3	
香	ɕiaŋ1	
馨	ɕin1	
馬	ma3	
馮	ɣuŋ2	
馱	do6	
馳	dzɿ2	
駁	po6	
駐	tɕy5	
駒	tɕy1	
駕	tɕia5	
駛	sɿ3	
駝	do2	
駱	lo6	
騎	dʑi2	
騙	pʰiɛ̃5	
騰	dən2	
騷	sau1	
騾	lo2	
驅	tɕʰy1	
驕	tɕiau1	
驗	liɛ̃6	
驚	tɕin1	
驟	tsʰei5	
驢	lu2	
骨	ku6	(文)
骨	kuei6	(白)桃子～
髒	tsaŋ1	
體	tʰi3	
高	kau1	
鬃	tsuŋ1	
鬍	u2	～子
鬚	ɕy1	
鬢	pin5	
鬥	tei5	～爭
鬧	lau5	
鬨	xuŋ3	
鬱	iəu5	
鬼	kuei3	
魁	kʰuei1	
魂	vən2	
魄	bə6	
魏	uei5	
魔	mo2	
魚	y2	
魯	lu3	
鮑	pau1	
鮮	ɕiɛ̃3	
鯉	li3	
鯨	tɕin1	
鯽	tɕi6	
鰓	sai1	
鰥	kuã1	
鰭	dʑi2	
鱉	piɛ6	
鱖	kuei5	
鱗	lin2	
鳥	tiau3	(白)
鳥	ȵiau3	(文)
鳩	tɕiəu1	
鳳	ɣuŋ6	
鳴	min2	
鴉	ia1	
鴨	ŋa6	(白)
鴨	ia6	(文)
鴻	ɣuŋ2	
鴿	ko6	
鵝	ŋo2	
鵡	u3	
鵲	tɕʰio6	
鶯	in1	
鶴	xo6	
鷂	iau1	
鷂	iau2	～鷹
鷹	in1	
鸕	lu2	
鸚	in1	
鸞	luã2	
鹹	ɣan2	
鹽	iɛ̃2	
鹿	lu6	
麗	li6	
麝	ʑia6	(白)～子：麝香
麝	ʑiɛ6	(白)～香
麥	mə5	
麩	fu1	
麵	miɛ̃6	
麻	ma2	
麾	fei3	
黃	vaŋ2	
黍	ɕy3	
黎	li2	
黏	ȵia1	～手
黑	xə6	
默	mə6	
點	tiɛ̃3	
黢	tɕʰy1	～黑
黨	taŋ3	
鼎	tin3	
鼓	ku3	
鼠	ɕy3	
鼻	bi6	
鼾	xan1	
齊	dʑi2	
齋	tsai1	
齒	tsʰɿ3	
龍	luŋ2	
龐	baŋ2	
龕	kʰan1	
龜	kuei1	
𩮈	tɕiəu1	
