#漢字	音標	解釋
粟	su5	
粤	ye5	
粥	tʂɤu1	
糞	fən5	
糧	liɑŋ1	
粱	liɑŋ1	
粳	tɕin1	粳米
粹	tsʰuei5	纯粹
精	tɕin1	
糉	tsuən5	
糕	kɔo1	
糖	tʰɑŋ1	
糗	tɕʰiɤu3	面煮糗了
糙	tsʰɔo1	粗糙,糙米
糜	mi1	粥
糟	tsɔo1	
糠	kʰɑŋ1	
糯	luə5	糯米
糰	tʰuɛ̃1	
系	ɕi5	
系	tɕi5	系鞋带
系	ɕi1	连系
紝	ʐən5	缝紝
素	su5	
索	suə5	绳索
緊	tɕin3	
紫	tsɿ3	
累	luei5	极困
累	luei5	累积
累	luei5	连累
絮	ɕy5	
綑	kʰuən3	
繁	fɛ̃1	
纂	tsuɛ̃1	
纂	tsuɛ̃5	编纂
纔	tsʰɛi1	
糾	tɕiɤu1	纠缠
糾	tɕiɤu1	纠正
紅	xuən1	
紂	tʂɤu5	宙纣
約	ye5	
級	tɕi1	
紀	tɕi5	纪律
緯	vei3	
純	tʂʰuən1	
紗	ʂa1	
綱	kɑŋ1	
納	na5	
縱	tsuən5	放纵
縱	tsuən5	纵横
紛	fən1	
紙	tʂʅ5	
紋	vən1	
紡	fɑŋ3	
紐	ȵiɤu3	
線	ɕiɛ̃5	
練	liɛ̃5	
組	tsu3	
細	ɕi5	
織	tʂʅ5	
終	tʂuən1	
縐	tʂɤu5	
絆	pɛ̃5	
紹	ʂɔo5	
經	tɕin1	经纬,经线
綁	pɑŋ3	
絨	ʐuən1	
結	tɕie1	
繞	ʐɔo3	围绕
繞	ʐɔo5	绕线
繪	xuei5	
給	kei5	给你,供给
絡	luə5	
絶	tɕye1	
絞	tɕiɔo3	
統	tʰuən5	
絹	tɕyɛ̃3	
繡	çiɤu5	
綏	suei1	
繼	tɕi5	
績	tɕi5	
緒	ɕy5	
續	ɕy5	
綽	tʂʰuə1	宽绰
繩	ʂən1	
維	vei1	
綿	miɛ̃1	
綢	tʂʰɤu1	
綜	tsuən1	织布机上的综
綻	tʂɛ̃5	破绽
綠	ly5	
綴	tʂuei5	点缀
緬	miɛ̃3	
纜	lɛ̃3	
緝	tɕi1	缉鞋口
緞	tuɛ̃5	
緩	nuɛ̃5	
縷	ly5	丝缕
編	piɛ̃1	
緣	yɛ̃1	
縛	fu5	
縫	fən1	一条缝
縫	fən1	缝衣服
纏	tʂʰɛ̃1	
縊	ʑi5	
纓	in1	
縮	suə1	
繮	tɕiɑŋ1	缰绳
繰	tɕʰiɔo1	缲边
繳	tɕiɔo3	上缴
缸	kɑŋ1	
缺	tɕʰye5	
罐	kuɛ̃5	
网	vɑŋ3	
罕	xɛ̃3	
羅	luə1	
罰	fa1	
罷	pa5	
罩	tʂɔo5	
罪	tsuei5	
置	tʂʅ5	
署	ʂu5	
署	ʂu5	专署
羊	iɑŋ1	
羌	tɕiɑŋ1	
美	mei5	
羔	kɔo1	
羞	çiɤu1	
羡	ɕiɛ̃5	
群	tɕʰyn1	
羶	ʂɛ̃1	
羹	kən1	
羽	ʑy5	
翁	vən1	
翅	tʂʰʅ5	
翎	lin1	
翠	tsʰuei5	
翡	fei3	翡翠
翰	xɛ̃5	
翻	fɛ̃1	
翼	ʑi5	
耀	iɔo5	
老	lɔo3	
考	kʰɔo3	
者	tʂə3	
而	ɐ3	
耍	ʂua3	
耐	nɛi5	
耕	kən1	
耗	xɔo5	
耙	pʰa5	犁耙,耙地
耬	lɤu5	播种用的农具
耩	tɕiɑŋ3	耩地
耳	ɐ3	
耶	ie1	
耻	tʂʰʅ5	
耽	tɛ̃1	
耿	kən5	
聶	ȵie5	姓
聊	liɔo1	
聾	luən1	
職	tʂʅ1	
聒	kuə5	聒耳朵
聯	liɛ̃1	
聘	pʰin5	
聚	tɕy5	
聰	tsʰuən1	
肅	su5	
肆	sɿ5	
肆	ʑi5	肄业
肉	ʐɤu5	
肋	lə5	
肌	tɕi1	
肘	tʂɤu3	
肚	tu5	腹肚
肚	tu5	鱼肚,猪肚
肝	kɛ̃1	
腸	tʂʰɑŋ1	
股	ku3	
肢	tʂʅ1	
膚	fu1	
肥	fei1	
肩	tɕiɛ̃1	
肪	fɑŋ1	脂肪
骯	ɑŋ1	肮脏
肯	kʰən3	
育	ʑy5	
肴	iɔo1	
肺	fei5	
腎	ʂən5	
腫	tʂuən3	
脹	tʂɑŋ5	
脅	ɕie1	
胃	vei5	
膽	tɛ̃3	
背	pei5	
背	pei5	背诵
胎	tʰɛi3	
胖	pʰɑŋ5	
胚	pei1	胚胎
胛	tɕia3	肩胛
勝	ʂən5	胜任
勝	ʂən5	胜败
胞	pɔo1	
胡	xu1	
胳	kə5	胳臂
膠	tɕiɔo1	
胸	ɕyn1	
能	nən1	
脂	tʂʅ1	
脆	tsʰuei5	
脉	mə5	
脊	tɕi1	
臍	tɕʰi1	
腦	nɔo3	
膿	nuən1	
脚	tɕye5	
脯	pʰu1	
脯	pʰu3	杏脯
脱	tʰuə5	
臉	liɛ̃3	
脾	pʰi1	
腆	tiɛ̃5	腆肚子
臘	la5	
腋	ie5	
腌	iɛ̃1	
腐	fu3	
腑	fu3	
腔	tɕʰiɑŋ1	
腕	vɛ̃5	
腡	luə1	手指文
腥	ɕin1	
腮	sɛi1	
腰	iɔo1	
腱	tɕiɛ̃5	
腹	fu5	
膩	ni5	
騰	tʰən1	
腿	tʰuei5	
膏	kɔo1	
膏	kɔo5	膏油
膜	mə1	
膝	ɕi1	
膨	pʰən1	膨胀
膳	ʂɛ̃5	
臀	tʰuən1	
臂	pi5	
臊	sɔo3	臊气
臕	piɔo1	肥臕
臟	tsɑŋ1	
臣	tʂʰən1	
自	tsɿ5	
臭	tʂʰɤu5	香臭
至	tʂʅ5	
致	tʂʅ5	
臺	tʰɛi1	
臻	tʂən1	
臼	tɕiɤu5	
舀	iɔo3	舀水
舂	tʂʰuən1	舂米
舅	tɕiɤu5	
舌	ʂə1	
舍	ʂə3	
舍	ʂə5	
舐	ʂʅ5	以舌取物
舒	ʂu1	
舔	tiɛ̃3	以舌取物
舜	ʂuən5	
舞	vu5	
舟	tʂɤu1	
航	xɑŋ1	
般	pɛ̃1	
艦	tɕiɛ̃5	
舵	tuə5	
船	tʂʰuɛ̃1	
艇	tʰin3	
良	liɑŋ1	
艱	tɕiɛ̃1	
色	sə5	
豔	iɛ̃5	
藝	ʑi5	
艾	ɛi5	
節	tɕie5	
芋	ʑy5	
芍	ʂɔo1	
芒	mɑŋ1	
芒	mɑŋ1	麦芒儿
芙	fu1	
芝	tʂʅ1	
芥	kɛi5	
蘆	lu1	芦苇
芬	fən1	
芭	pa1	
芮	ʐuei5	姓
花	xua1	
芳	fɑŋ1	
芹	tɕʰin1	
芽	ia1	
葦	vei3	芦苇
莧	ɕiɛ̃5	苋菜
蒼	tsʰɑŋ1	
苏	su1	
苔	tʰɛi1	苔藓
苗	miɔo1	
苘	tɕʰin3	苘麻
苟	kɤu3	
若	ʐuə5	
苦	kʰu3	
英	in1	
苶	ȵie1	发苶
茂	mɔo5	
范	fɛ̃5	
茄	tɕʰie1	茄子
茅	mɔo1	
莖	tɕin5	
塋	in1	
繭	tɕiɛ̃3	
茫	mɑŋ1	
茬	tʂʰa1	
茴	xuei1	茴香
茶	tʂʰa1	
茸	ʐuən1	参茸
荀	ɕyn1	
荆	tɕin1	
草	tsʰɔo3	
薦	tɕiɛ̃5	
荒	xuɑŋ1	
荔	li5	
蕎	tɕʰiɔo1	
薺	tɕi5	
蕩	tɑŋ5	放荡
榮	ʐuən1	
葷	xuən1	
滎	in1	荥阳
蔭	in1	屋子很荫
藥	ye5	
荷	xə1	荷花
荷	xə1	薄荷
莎	ʂa1	莎草
莝	tsʰuə5	切碎的草
莠	iɤu3	
莫	mə5	
蓮	liɛ̃1	
获	xuə5	
鶯	in1	
蓴	tʂʰuən1	莼菜
莽	mɑŋ3	
菊	tɕy5	
菌	tɕyn3	
菖	tʂʰɑŋ1	菖蒲
菜	tsʰɛi5	
菠	pə1	菠菜
菢	pɔo5	菢小鸡
菩	pʰu1	菩萨
菱	lin1	
萄	tʰɔo1	
萌	mən1	
萍	pʰin1	
萎	vei3	气萎
螢	in1	
營	in1	
蕭	ɕiɔo1	
薩	sa5	
落	luə5	
著	tʂu5	显著
葚	ʂən5	桑葚
葛	kə5	
董	tuən3	
葬	tsɑŋ5	
葱	tsʰuən1	
葵	kʰuei1	
蒙	mən5	
蒜	suɛ̃5	
蒲	pʰu1	
蒿	xɔo1	蓬蒿
蓄	ɕy5	储蓄
蓉	ʐuən1	芙蓉
蓑	suə1	
蓖	pi5	蓖麻
藍	lɛ̃1	
蓬	pʰən5	
蔓	mɛ̃5	瓜蔓子
蔗	tʂə5	
蔡	tsʰɛi5	
蔫	iɛ̃1	
蔫	ȵiɛ̃1	花萎
蔬	ʂu1	
藹	ɛi5	和蔼
蔽	pi5	
蕉	tɕiɔo1	芭蕉,香蕉
薄	pə1	
薄	pə5	薄荷
薅	xɔo1	除田草
薑	tɕiɑŋ1	
薛	ɕye1	
薪	ɕin1	
薯	ʂu5	白薯
薰	ɕyn1	
藉	tɕie5	借故
藉	tɕi1	狼藉
藋	tiɔo5	灰藋菜
藏	tsɑŋ5	西藏
藏	tsʰɑŋ1	隐藏
藐	miɔo5	
藕	ɤu3	
藤	tʰən1	
藩	fɛ̃1	
藿	xuə5	藿香
蘂	ʐuei5	
蘸	tʂɛ̃5	蘸酱油
虎	xu3	
虜	lu5	
虐	nye5	
慮	ly5	
虔	tɕʰiɛ̃1	
虚	ɕy1	
虞	ʑy1	
虢	kuə5	虞虢
蟲	tʂʰuən1	
虱	ʂə5	
虹	xuən1	
虹	xuən5	天上的虹
虻	mən1	牛虻
雖	suei1	
蝦	xa1	虾蟆
蝦	ɕia1	鱼虾
蝕	ʂʅ1	
蟻	ʑi5	
蚊	vən1	
蚌	pɑŋ5	
蠶	tsʰɛ̃1	
蚣	kuən1	蜈蚣
蚤	tsɔo3	
蚶	xɛ̃1	蚶子
蛀	tʂu5	
蛆	tɕʰy1	生蛆
蛇	ʂə1	
蛋	tɛ̃5	
蟶	tʂʰən1	蛏子
蛙	va1	
蛛	tʂu1	
蛤	kə5	蛤蜊
蠻	mɛ̃1	
蟄	tʂə1	惊蛰
蛾	ə1	
蜀	ʂu5	
蜇	tʂə1	蝎子蜇人
蜈	vu1	蜈蚣
蜋	lɑŋ1	
蜓	tʰin1	蜻蜓
蜕	tʰuei5	蛇蜕皮
蝸	kua1	
蜘	tʂʅ1	蜘蛛
蜜	mi5	
蠟	la5	
蜻	tɕʰin1	蜻蜓
蠅	in1	
蟬	tʂʰɛ̃1	
蠍	ɕie1	
蝗	xuɑŋ1	
蝙	piɛ̃1	
蝠	fu1	
蝶	tie1	
螃	pʰɑŋ1	螃蟹
融	ʐuən1	
螳	tʰɑŋ1	螳螂
螺	luə1	螺蛳
蟀	ʂuɛi5	
蟆	ma1	虾蟆
蟒	mɑŋ3	
蟢	ɕi3	
蟹	ɕie5	
蟾	tʂʰɛ̃1	蟾酥
蠓	mən3	蠓虫
蠢	tʂʰuən5	
血	ɕie5	
衅	ɕin5	挑衅
衆	tʂuən5	
行	ɕin1	品行
行	ɕin1	行为
行	xɑŋ1	行列,银行
銜	ɕiɛ̃1	
街	kɛi1	
衙	ia1	
衡	xən1	
衣	ʑi1	
補	pu3	
表	piɔo3	
衫	ʂɛ̃1	
襯	tʂʰən5	
衰	ʂuɛi1	
袁	yɛ̃1	
襖	ɔo3	
袋	tɛi5	
袍	pʰɔo1	
袖	çiɤu5	
袜	va5	
被	pi3	被卧
被	pei5	被打,被迫
襲	ɕi1	
裁	tsʰɛi1	
裂	lie5	
裝	tʂuɑŋ1	
裌	tɕia5	裌衣
裏	li3	
裕	ʑy5	
裙	tɕʰyn1	
褲	kʰu5	
裳	tʂʰɑŋ1	衣裳
裴	pʰei1	
裸	luə3	裸体
裹	kuə5	
製	tʂʅ5	
複	fu5	
褒	pɔo3	褒奖
褚	tʂʰu3	姓
褥	ʐu5	
褪	tʰuei5	
褯	tɕie5	褯子
褶	tʂə3	褶子,皱纹
襄	ɕiɑŋ1	
襟	tɕin1	
襻	pʰɛ̃5	组襻
西	ɕi1	
要	iɔo1	要求
要	iɔo5	重要
覆	fu5	反覆
見	tɕiɛ̃5	
觀	kuɛ̃1	参观
觀	kuɛ̃5	寺观
規	kuei1	
覓	mi5	
視	ʂʅ5	
覽	lɛ̃3	
覺	tɕiɔo5	睡觉
覺	tɕye1	知觉
角	tɕye1	
解	ɕie5	姓
解	tɕie3	晓也
解	kɛi3	讲解
觸	tʂʰu5	
言	iɛ̃1	
譽	ʑy5	荣誉
謄	tʰən1	
誌	tʂʅ5	
誓	ʂʅ5	
警	tɕin3	
譬	pʰi5	
計	tɕi5	
訂	tin5	订约
訃	fu5	
認	ʐən5	
譏	tɕi1	
討	tʰɔo3	
讓	ʐɑŋ5	
訖	tɕʰi5	
訓	ɕyn5	
議	ʑi5	
訊	ɕyn5	
記	tɕi5	
講	tɕiɑŋ3	
諱	xuei5	
許	ɕy3	
訛	ə1	
論	luən5	议论
論	luən1	论语
訟	suən5	
諷	fən5	
設	ʂə5	
訪	fɑŋ5	
訣	tɕye1	
證	tʂən5	
評	pʰin1	
識	ʂʅ1	
詐	tʂa5	
訴	su5	
診	tʂən3	
詞	tsʰɿ1	
詔	tʂɔo1	
譯	ʑi5	
試	ʂʅ5	
詩	ʂʅ1	
誠	tʂʰən1	
誅	tʂu1	
話	xua5	
誕	tɛ̃5	
詭	kuei3	
該	kɛi1	
詳	ɕiɑŋ1	
誣	vu1	
語	ʑy3	
誤	vu5	
誘	iɤu3	
説	ʂuə5	说话
誦	suən5	
請	tɕʰin5	
諸	tʂu1	
諾	nuə5	
讀	tu1	
課	kʰə5	
誰	fei1	
調	tʰiɔo1	调和
調	tiɔo5	调动
調	tiɔo5	音调
諒	liɑŋ5	
談	tʰɛ̃1	
誼	ʑi5	
謀	mu1	
諜	tie1	
謊	xuɑŋ3	
諫	tɕiɛ̃5	
諧	ɕie1	
謂	vei5	
讒	tʂʰɛ̃1	
諺	iɛ̃5	
謎	mi1	
謝	ɕie5	
謡	iɔo1	
謗	pɑŋ5	
謙	tɕʰiɛ̃1	
謹	tɕin3	
謬	miɤu5	
譚	tʰɛ̃1	
譜	pʰu3	
谷	ku5	
豁	xuə1	豁嘴
豆	tɤu5	
豇	tɕiɑŋ1	豇豆
豉	tʂʰʅ5	豆豉
豌	vɛ̃3	豌豆
豕	ʂʅ3	
豚	tʰuən1	
象	ɕiɑŋ5	
豪	xɔo1	
豫	ʑy5	
豹	pɔo5	
豺	tʂʰɛi1	
貂	tiɔo1	
貌	mɔo5	
猫	mɔo1	
貝	pei5	
貞	tʂən1	
負	fu5	
貢	kuən5	
財	tsʰɛi1	
責	tsə1	
賢	ɕiɛ̃1	
敗	pɛi5	
賬	tʂɑŋ5	
貨	xuə5	
質	tʂʅ5	
販	fɛ̃5	
貪	tʰɛ̃1	
貧	pʰin1	
貶	piɛ̃3	
購	kɤu5	
貫	kuɛ̃5	
貳	ɐ5	贰心
賤	tɕiɛ̃5	
貼	tie5	
貴	kuei5	
貸	tɛi5	
貿	mɔo5	
費	fei5	费用
賀	xə5	
賊	tsei1	
賈	tɕia3	姓
賄	xuei5	
賃	lin5	租赁
賂	lu5	
贓	tsɑŋ1	
資	tsɿ1	
賒	ʂə1	
賦	fu5	
賭	tu3	
贖	ʂu1	
賞	ʂɑŋ3	
賜	tsʰɿ5	
賠	pʰei1	
賴	lɛi5	
贅	tʂuei5	
賺	tʂuɛ̃5	
賽	sɛi5	
贊	tsɛ̃5	
贈	tsən5	
贏	in1	
赤	tʂʰʅ5	
赦	ʂə5	
赫	xɔo5	
走	tsɤu3	
赴	fu5	
趙	tʂɔo5	
趕	kɛ̃3	
起	tɕʰi5	
趁	tʂʰən5	
超	tʂʰɔo1	
越	ye5	
趨	tɕʰy1	
趟	tʰɑŋ5	一趟
趣	tɕʰy5	
足	tsu1	
趼	tɕiɛ̃3	
趾	tʂʅ5	
躍	ye5	
跌	tie5	
跑	pʰɔo3	
跗	fu1	跗面
跛	pə5	跛足
距	tɕy5	
跟	kən1	
跨	kʰua5	
跪	kuei5	
路	lu5	
跳	tʰiɔo5	
踐	tɕiɛ̃5	
踏	ta5	
踒	və1	踒了脚
踢	tʰi5	
蹤	tsuən1	
踱	tuə1	
蹄	tʰi1	
躡	ȵie5	蹑脚走
躡	ȵie5	镊子
蹭	tsʰən5	磨蹭
蹲	tuən1	
躁	tsɔo5	
身	ʂən1	
躬	kuən1	
躱	tuə3	
躺	tʰɑŋ3	
車	tʂʰə1	车马炮
車	tʂʰə1	马车
軋	tʂa5	被车轧
軌	kuei5	
軒	ɕyɛ̃1	
轉	tʂuɛ̃3	转眼,转送
轉	tʂuɛ̃5	转螺丝,转圆圈
軛	ə5	
輪	luən1	
軟	ʐuɛ̃3	
轟	xuən1	
軸	tʂɤu5	
輕	tɕʰin1	年轻
載	tsɛi3	年载
載	tsɛi5	满载
載	tsɛi5	载重
轎	tɕiɔo5	
較	tɕiɔo5	
輔	fu3	
輛	liɑŋ5	
輦	ȵiɛ̃3	
輩	pei5	
輝	xuei1	
輞	vɑŋ3	车辋
輜	tsɿ1	辎重
輯	tɕi1	编辑
輸	ʂu1	
輸	ʂu1	运输
轡	pʰei5	
轅	yɛ̃1	
轄	ɕia1	管辖
轍	tʂʰə5	
辛	ɕin1	
辭	tsʰɿ1	
辟	pʰi5	
辣	la5	
辨	piɛ̃5	
辯	piɛ̃5	
辮	piɛ̃5	
辰	tʂʰən1	
辱	ʐu5	
邊	piɛ̃1	
遼	liɔo1	
達	ta1	
遷	tɕʰiɛ̃1	
迂	ʑy1	
迅	ɕyn5	
過	kuə5	
邁	mɛi5	
迎	in1	
運	yn5	
近	tɕin5	
還	xɛ̃1	还有
還	xuɛ̃1	还原
進	tɕin5	
遠	yɛ̃3	
違	vei1	
連	liɛ̃1	
遲	tʂʰʅ1	
迥	tɕyn3	迥然不同
迫	pə5	
述	ʂu5	
迷	mi1	
迸	pən5	迸裂
迹	tɕi5	
追	tʂuei1	
退	tʰuei5	
送	suən5	
適	ʂʅ5	
逃	tʰɔo1	
逆	ȵi5	顺逆,逆风
選	ɕyɛ̃3	
遜	ɕyn5	
透	tʰɤu5	
逐	tʂu1	
遞	ti5	
途	tʰu1	
逗	tɤu5	
通	tuən1?	
逛	kuɑŋ5	
逝	ʂʅ5	
逞	tʂʰən3	逞能
速	su5	
造	tsɔo5	建造
逢	fən1	
逩	pən1	
逵	kʰuei1	
逸	ʑi5	
逼	pi5	
逾	ʑy1	
遁	tuən5	
遂	suei5	
遇	ʑy5	
遍	piɛ̃5	一遍
遍	piɛ̃5	遍地
遐	ɕia1	
道	tɔo5	
遺	ʑi1	
遣	tɕʰiɛ̃5	
遭	tsɔo1	
遮	tʂə1	
遵	tsuən1	
避	pi5	
邀	iɔo1	
鄧	tʰən5	
那	na1	
邦	pɑŋ1	
邪	ɕie1	
郵	iɤu1	
邵	ʂɔo5	
鄒	tsɤu1	
鄰	lin1	
郁	ʑy5	
郊	tɕiɔo1	
郎	lɑŋ1	
鄭	tʂən5	
郝	xɔo5	姓
郡	tɕyn5	
部	pu5	
郭	kuə5	
都	tu1	都城,都是
鄂	ə5	
鄙	pi5	
酉	iɤu3	
酌	tʂuə1	
配	pʰei5	
酒	tɕiɤu3	
酣	xɛ̃1	
酥	su1	
酪	luə5	
酬	tʂʰɤu1	
醬	tɕiɑŋ5	
酵	tɕiɔo5	
酷	kʰu5	
酸	suɛ̃1	
釅	iɛ̃5	酽茶
釀	ȵiɑŋ5	
醃	iɛ̃1	
醇	tʂʰuən1	酒味醇
醉	tsuei5	
醋	tsʰu5	
醒	ɕin5	
醜	tʂʰɤu3	
醭	pu1	醋生白醭
醮	tɕiɔo5	打醮,再醮
采	tsʰɛi3	
釉	iɤu5	
釋	ʂʅ5	
里	li3	
重	tʂuən5	轻重
重	tʂuən5	重复
野	ie3	
量	liɑŋ5	数量
量	liɑŋ5	长短
金	tɕin1	
釜	fu3	
鑑	tɕiɛ̃5	
銃	tʂʰuən5	放銃
銲	xɛ̃5	銲铁壶
錄	lu5	
錶	piɔo3	
鏨	tsɛ̃5	錾花
鍊	liɛ̃5	
鏊	ɔo5	烙饼用具
鐘	tʂuən1	
鑞	la5	猎
針	tʂən1	
釘	tin5	钉住
釘	tin5	铁钉
釤	ʂɛ̃1	大镰
釣	tiɔo5	
釵	tʂʰɛi1	
鈍	tuən5	
鈔	tʂʰɔo1	
鋼	kɑŋ1	
鋼	kɑŋ1	刀钝了,钢钢
鑰	ye5	钥匙
欽	tɕʰin1	
鈞	tɕyn1	
鉤	kɤu1	
鈀	pa5	钯子
錢	tɕʰiɛ̃1	
鉗	tɕiɛ̃1	
鉢	pə5	
鈸	pə5	
鑽	tsuɛ̃1	动词
鑽	tsuɛ̃5	木工用具
鐵	tie5	
鈴	lin1	
鉛	tɕʰiɛ̃1	
鐸	tuə1	
鐃	nɔo1	
鐺	tʂʰən1	烙饼用具
銅	tʰuən1	
鍘	tʂa1	铡刀
鏵	xua1	
銘	min1	
鉸	tɕiɔo3	
鏟	tʂʰɛ̃5	
銀	in1	
鑄	tʂu5	
鋪	pʰu5	店铺
鋪	pʰu3	铺设
銷	ɕiɔo1	
鎖	suə3	
鋥	tsən5	锃光
鋤	tʂʰu1	
鍋	kuə3	
鏽	çiɤu5	铁锈
銼	tsʰuə5	
鐧	tɕiɛ̃5	车锏
銳	ʐuei5	
鋦	tɕy1	锔碗
錯	tsʰuə5	错误
錯	tsʰuə5	错杂
錨	mɔo1	
錛	pən1	
錫	ɕi1	
錮	ku5	锢露锅
鑼	luə1	
錘	tʂʰuei1	
錐	tʂuei1	
錦	tɕin3	
錠	tin5	
鍵	tɕiɛ̃5	
鋸	tɕy5	锯子,锯木头
鍬	tɕʰiɔo1	
鍾	tʂuən1	
鍛	tuɛ̃5	锻造
鍍	tu5	
鎮	tʂən5	
鎔	ʐuən1	
鏡	tɕin5	
镢	tɕye1	镢头
鐙	tən1	鞍镫
鑊	xuə5	锅
鐲	tʂuə1	镯子
鐮	liɛ̃1	
鑲	ɕiɑŋ1	
長	tʂɑŋ3	生长
長	tʂʰɑŋ1	长短
閲	ye5	
門	mən1	
閂	ʂuɛ̃1	
閃	ʂɛ̃3	
閉	pi5	
問	vən5	
闖	tʂʰuɑŋ5	
閏	ʐuən5	
闲	ɕiɛ̃1	
間	tɕiɛ̃1	空间,中间
間	tɕiɛ̃5	间断,间或
悶	mən5	
閘	tʂa1	
鬧	nɔo5	
閨	kuei1	
聞	vən1	
閩	min3	
閣	kə5	
鬮	tɕiɤu1	拈阄
閹	iɛ̃1	
閻	iɛ̃1	
闊	kʰuə5	
阜	fu5	
隊	tuei5	
阮	ʐuɛ̃3	
防	fɑŋ1	
陽	iɑŋ1	
陰	in1	
陣	tʂən5	
階	tɕie1	
阻	tsu3	
阿	a5	阿胶,阿哥
附	fu5	
際	tɕi5	
陸	lu5	
隴	luən3	
陳	tʂʰən1	
陘	ɕin1	井陉
陋	lɤu5	
陌	mə5	陌生
降	tɕiɑŋ5	下降
降	tɕiɑŋ5	投降
限	ɕiɛ̃5	
陝	ʂɛ̃5	陕西
陛	pi5	
陡	tɤu3	
院	yɛ̃5	
除	tʂʰu1	
險	ɕiɛ̃3	
陪	pʰei1	
陵	lin1	
陶	tʰɔo1	
陷	ɕiɛ̃5	
隆	luən1	
隨	suei1	
隱	in3	
隔	kə1	
隘	ɛi5	
障	tʂɑŋ5	保障
隧	suei5	隧道
隶	li5	
隻	tʂʅ1	
難	nɛ̃5	患难
難	nɛ̃1	难易
雀	tɕʰye1	麻雀
雁	iɛ̃5	
雄	ɕyn1	
雅	ia3	
集	tɕi1	
雇	ku5	
雉	tʂʅ5	雉鸡
雌	tsʰɿ1	
雍	yn1	
雛	tʂʰu5	
雕	tiɔo1	
雨	ʑy3	
雪	ɕye5	
雲	yn1	
零	lin1	
雷	luei1	
雹	pɔo5	
霧	vu5	
需	ɕy1	
霄	ɕiɔo1	
震	tʂən5	
黴	mei1	
霍	xuə5	
霜	ʂuɑŋ1	
霞	ɕia1	
露	lu5	
霸	pa5	
青	tɕʰin1	
靖	tɕin5	
靜	tɕin5	
非	fei1	
靠	kʰɔo5	
靡	mi3	
面	miɛ̃5	
靨	ie5	酒靥
革	kə1	
靪	tin1	
靭	ʐən5	
靴	ɕye1	
靿	ɔo5	靴靿
鞋	xɛi1	
鞍	ɛ̃1	
鞘	tɕʰiɔo5	刀鞘
鞦	tɕʰiɤu1	牛鞦
鞦	tɕʰiɤu1	秋千
鞭	piɛ̃1	
韓	xɛ̃1	
韭	tɕiɤu3	
音	in1	
韻	yn5	
韶	ʂɔo1	韶关
頁	ie5	
頂	tin5	
頃	tɕʰin3	
項	ɕiɑŋ5	
順	ʂuən5	
须	ɕy1	
頑	vɛ̃1	顽固
顧	ku5	
頓	tuən5	
頒	pɛ̃1	
頌	suən5	
預	ʑy5	
領	lin5	
頗	pʰə1	
頸	tɕin5	
頻	pʰin1	频繁
穎	in3	
顆	kʰə1	一夥珠
題	tʰi1	
顔	iɛ̃1	
額	ə1	
顛	tiɛ̃1	
顫	tʂʰɛ̃5	
顴	tɕʰyɛ̃1	颧骨
風	fən1	
颼	sɤu1	
飄	pʰiɔo1	
飛	fei1	
食	ʂʅ1	
飢	tɕi1	飢餓
餈	tsʰɿ1	餈巴
餐	tsʰɛ̃1	
餧	vei5	
饑	tɕi1	饑荒
飩	tuən5	馄饨
飭	tʂʰʅ1	
飯	fɛ̃5	
飲	in5	米汤
飲	in3	饮马
飲	in5	饮酒
餞	tɕiɛ̃5	饯行
飾	ʂʅ5	
飽	pɔo5	
飼	sɿ5	
飴	ʑi1	高粱饴
餌	ɐ5	
饒	ʐɔo1	
餉	ɕiɑŋ3	
餃	tɕiɔo5	饺子
餅	pin3	
餑	pə5	面饽
餓	və5	
餘	ʑy1	
餜	kuə5	
餛	xuən1	馄饨
餡	ɕiɛ̃5	
館	kuɛ̃3	
餿	sɤu1	饭馊了
饞	tʂʰɛ̃1	
饃	mə1	
餾	liɤu5	
饅	mɛ̃1	馒头
首	ʂɤu3	
香	ɕiɑŋ1	
馨	ɕin1	
騇	ʂə5	母的牛马
騲	tsʰɔo3	
馬	ma3	
馱	tuə1	拿,驮起来
馱	tʰuə1	驮子
馳	tʂʰʅ1	
驅	tɕʰy1	
駁	pə1	
驢	ly1	
駛	ʂʅ3	
駒	tɕy1	
駐	tʂu5	
駝	tuə5	
駕	tɕia5	
駡	ma5	
驕	tɕiɔo1	
駱	luə5	
駭	xɛi5	惊骇
驗	iɛ̃5	
騎	tɕʰi1	
騙	pʰiɛ̃5	欺骗
騙	pʰiɛ̃5	骗马
騷	sɔo1	
騾	luə1	
驟	tʂɤu5	
骨	ku5	胯骨
髒	tsɑŋ1	不干净
髓	suei3	
高	kɔo1	
髻	tɕi5	
髽	tʂua1	髽髻
鬃	tsuən1	马鬃
鬆	suən1	
鬢	pin5	
鬚	ɕy1	
鬥	tɤu5	
鬨	xuən5	
鬼	kuei5	
魁	kʰuei1	
魂	xuən1	
魄	pə5	
魘	iɛ̃3	
魏	vei5	
魔	mə1	
魚	ʑy1	
魯	lu3	
鮎	ȵiɛ̃1	鲇鱼
鮑	pɔo1	鲍鱼
鮮	ɕiɛ̃1	新鲜
鮮	ɕiɛ̃3	鲜少
鯗	ɕiɑŋ3	
鯉	li3	
鰣	ʂʅ1	
鯽	tɕi5	
鯨	tɕin1	
鰓	sɛi1	
鰭	tɕʰi1	
鰥	kuɛ̃1	鳏寡
鰾	piɔo5	
鱉	ie1	
