#漢字	音標	解釋
叫	tɕiɔo5	
召	tʂɔo5	
可	kə3	
台	tʰɛi1	天台
史	ʂʅ3	
右	iɤu5	
葉	ie5	
號	xɔo5	号数
號	xɔo5	呼号
司	sɿ1	
嘆	tʰɛ̃5	
吃	tʂʰʅ5	
各	kə5	
吆	iɔo3	吆喝
合	xə1	十合一升
吉	tɕi1	
吊	tiɔo5	
同	tʰuən1	
名	min1	
后	xɤu5	
吏	li5	
吐	tʰu3	吐痰
吐	tʰu5	呕吐
向	ɕiɑŋ5	
嚇	xə5	
嚇	xa5	吓一跳
呂	ly3	
君	tɕyn1	
吝	lin5	吝啬
吞	tʰuən1	
吟	in1	
吠	fei5	
吣	tɕʰin5	猫吣
否	fu3	
含	xɛ̃1	
聽	tʰin1	听见,听话
聽	tʰin5	听其自然,听任
吳	vu1	
吵	tʂʰɔo3	
吸	ɕi5	
吹	tʂʰuei1	
吻	vən5	
吼	xɤu3	
吾	vu1	
呆	tɛi1	
呈	tʂʰən1	
告	kɔo5	
嘔	ɤu5	呕吐
員	yɛ̃1	
周	tʂɤu1	
味	vei5	
呼	xu1	
命	min5	
和	xə1	和气
和	xuə1	和面
咎	tɕiɤu3	
詠	yn5	
咒	tʂɤu5	
咨	tsɿ1	
咬	iɔo3	
咳	kʰə5	咳嗽
咸	xɛ̃1	
咽	iɛ̃5	
哀	ɛi1	
品	pʰin3	
哄	xuən5	哄骗
響	ɕiɑŋ3	
啞	ia3	
噦	xuei5	干哕
哥	kə1	
哪	na3	哪个
哭	kʰu5	
哲	tʂə1	
哽	kən5	骨哽在喉
唆	suə1	囉唆
脣	tʂʰuən1	
唐	tʰɑŋ1	
嘮	lɔo1	唠叨
喚	xuɛ̃5	
售	ʂɤu5	
唯	vei3	
唱	tʂʰɑŋ5	
唾	tʰuə5	唾液
啄	tʂuə1	
商	ʂɑŋ1	
啓	tɕʰi5	
嗇	sə5	吝啬
啼	tʰi1	
善	ʂɛ̃5	
喉	xɤu1	
喊	xɛ̃3	
喘	tʂʰuɛ̃3	
喜	ɕi3	
喝	xə5	吆喝
喝	xə5	喝酒
喧	ɕyɛ̃1	
噴	pʰən1	喷水
噴	pʰən3	喷嚏
喻	ʑy5	
嗅	ɕiɤu5	用鼻子闻
嗅	çiɤu5	用鼻嗅
嗉	su5	嗉子
嗓	sɑŋ3	
嗜	ʂʅ5	
嗣	sɿ5	
嗤	tʂʰʅ3	嗤笑
嗽	sɤu5	咳嗽
嘉	tɕia1	
囑	tʂu5	
嘴	tsuei5	
噇	tʂʰuɑŋ1	
噍	tɕiɔo5	牛倒噍
噎	ie5	噎住了
嘘	ɕy1	吹噓
器	ɕiɔo1	
器	tɕʰi5	
嚷	ʐɑŋ3	
嚼	tɕye1	
囉	luə1	囉唆
囊	nɑŋ1	
囚	tɕʰiɤu1	
四	sɿ5	
回	xuei1	
因	in1	
囤	tʰuən1	
囥	kʰɑŋ5	藏
園	yɛ̃1	
困	kʰuən5	
囱	tsʰuən1	烟囱
圍	vei1	
固	ku5	
國	kuə5	
圖	tʰu1	
圓	yɛ̃1	
圈	tɕʰyɛ̃1	圆圈
圈	tɕyɛ̃5	猪圈
團	tʰuɛ̃1	
土	tʰu3	
聖	ʂən5	
在	tsɛi5	
圭	kuei1	
地	ti5	
場	tʂʰɑŋ5	
址	tʂʅ5	
均	tɕyn1	
坍	tɛ̃1	坍下来
坎	kʰɛ̃3	
壞	xuɛi5	
坐	tsuə5	
坑	kʰən1	
塊	kʰuɛi5	
堅	tɕiɛ̃1	
坛	tʰɛ̃1	
壩	pa5	堤坝
塢	vu3	
墳	fən1	
墜	tʂuei5	与堕异
坡	pʰə1	
坤	kʰuən3	
坦	tʰɛ̃3	
坪	pʰin1	
坯	pʰi1	土坯
坳	ɔo5	山坳
垂	tʂʰuei1	
型	ɕin1	
垒	luei5	
垜	tuə3	柴垛
墾	kʰən3	
墊	tiɛ̃5	垫钱
垮	kʰua3	
垻	pa5	平川
埂	kən3	田埂
埃	ɛi1	尘埃
埋	mɛi1	
城	tʂʰən1	
域	ʑy5	
埠	pu5	商埠
埯	ɛ̃1	坑
培	pʰei1	
基	tɕi1	
堂	tʰɑŋ1	
堆	tuei1	
堡	pɔo3	
堤	ti1	
堪	kʰɛ̃1	
堰	iɛ̃5	
堵	tu5	
塌	tʰa5	
塑	su5	塑像
塔	tʰa3	
塘	tʰɑŋ1	
塞	sə5	
填	tʰiɛ̃1	
