#漢字	音標	解釋
□	ŋiap5	ŋiap5len3闪电,原文为左目右聂
把	pa3	量词,座(房子)
抿	min3	牙抿:牙刷
拄	tu3	支撑
擔	tam1	
拔	pʰat7	
拖	tʰo1	
拜	pai3	
捉	tsoʔ6	
掌	tʃiaŋ3	脚掌:脚跟(霞北,长乐,大溪用后掌)
提	tʰeʔ7	(训)拿,原文为扌带
支	ki1	量词,块(手帕)
放	piɔŋ3	放棋:下棋,天放:忘记
斑	pæn1	斑皮:麻脸
斗	teu3	斗手:帮忙,门斗:门槛
斟	tsim1	斟茶:倒茶
新	sin1	
日	ŋit5	日头
舊	kʰiu4	旧年
早	tso3	小早:明天
早	tʃiu3	食清早顿:吃早饭
旱	hon1	
時	ʃi2	时节:时候
星	sen1	星过弓:流星
昨	tsʰa1	昨日:昨天
晝	tʃiu3	当昼,下昼
晡	pʰu1	三十暗晡:除夕
晡	pu1	食暗晡顿:吃晚饭
晴	tsʰiaŋ2	
暖	non1	
暗	am3	
月	ŋiat7	原文为:月ʃiat7 月娘ŋiat1niɔŋ2
雜	tsʰap7	
條	tʰeu2	霜条:冰棍
杯	pue1	
松	tsʰiuŋ1	
枋	piɔŋ1	洗衫枋:搓板儿
枵	iau1	饿
架	ka3	量词,辆(车)
柏	paʔ6	
柑	kam1	
櫃	kʰui4	
柱	tʃʰy1	柱子
欄	lan2	牛栏:牛棚
桁	haŋ2	檩条
桌	tsoʔ6	桌柜拖:抽屉
桑	sɔŋ1	
桶	tʰuŋ3	拔桶:吊桶
桷	koʔ6	椽子
梁	liɔŋ2	屋梁:屋脊
梨	li2	番梨:菠萝
棋	kʰi2	放棋,捉棋:下棋
棕	tsuŋ1	
椅	dzi3	交椅:靠背椅子
椒	tseu1	椒子:辣椒
樓	leu2	
橘	kit5	
檑	lui2	松柏檑:松球
檨	suaĩ1	芒果
正	tʃiaŋ1	新正:春节
正	tsin3	正手:右手
毋	m̩4	毋甘:舍不得(原文为呣)
毒	tʰeu4	毒杀
毛	mɔ2	
毛	mu1	目眉毛:眉毛
气	kʰi3	
水	fi3	烧水:热水
汁	tʃip5	米汁:泔水(原文汁为tip5)
溝	keu1	
河	ho2	河溪:银河
油	dziu2	番子油:煤油
治	tʃʰi2	杀
泥	ni2	
洗	se3	
浴	dzyʔ7	洗浴
浸	tsim3	浸濛:起雾
涵	ham2	涵空:阴沟
深	tsʰim1	
清	tsʰin1	清早头:清早,干净:清气
清	tsʰiaŋ1	光溜溜的:清清
渠	ky2	渠大家:他们
渴	kʰat5	嘴渴:口渴
溪	kʰe1	
滕	tʰen2	滕茶:倒茶
滚	kun3	滚水
濫	lam4	头滥废:最坏
瀾	lan4	澜衣:围嘴巾
濛	mɔŋ2	
火	fo3	
燈	ten1	灯火:油气灯
灰	fue1	灰卵:松花蛋
竈	tso3	灶下:厨房
炊	tsʰe1	蒸
炎	dzam4	火炎虫:萤火虫(长乐,大溪,霞北用火炎公)
炸	tsa1	
燭	tʃuʔ6	蜡烛:洋蜡
烟	dzæn1	火烟:炊烟
燒	ʃieu1	烧暖:暖和
熱	niat7	闹热
熱	ŋiat7	翕热:闷热
焦	tsau1	干燥:焦土
煎	tsæn1	
煠	sap7	用开水煮肉
爪	tsiau3	爪岫:鸟窝
爺	dza2	阿爷:父亲
爸	pa1	阿爸
爹	ta1	阿爹:祖父
片	pʰæn3	左片,右片
牙	ŋa2	牙蕉:香蕉
牛	ŋiu2	
牯	ku3	牯头:公猪,牛牯:公牛
狗	keu3	
豬	tʃy1	
現	hian4	
珠	tʃu1	目珠:眼睛
理	li3	做生理人:生意人
瓜	kua1	金瓜:南瓜
瓦	ŋuã3	瓦片
甌	eu1	酒杯
瓶	pʰen2	
甘	kam1	
生	saŋ1	后生:儿子,惊生分:怕见生人
生	sen1	做生理人:生意人
田	tʰæn2	埘田:插秧
電	tʰæn4	电火:手电筒,电油:电池
男	nam2	男子人:男人
畜	hiuʔ6	家畜
番	huan1	番子油,番子火
番	fan1	又
疕	pʰi3	结疕:结痂
疾	tsʰit7	痛
病	pʰiaŋ4	病子:害喜
痧	sa1	发痧:中暑
痱	pui3	
癩	tʰai1	癞哥:麻风
白	pʰaʔ7	白火:汽灯
皮	pʰi2	
盆	pʰun2	面盆:脸盆
盞	tsan3	灯盏:油灯
盤	pʰan2	
目	muʔ6	
盲	miaŋ2	青盲:盲人
眉	mi2	目眉
眠	min2	眠床
着	tsoʔ6	着衣:穿衣
睡	fe4	
知	ti1	知道
短	ton3	
矮	e3	
石	ʃiaʔ7	
砧	tiam1	案板
破	pʰo3	
票	pʰeu3	纸票:钞票
禾	vɔ2	禾必子:麻雀(原文ɔ和o都有)
稈	kon3	稻草
空	kʰuŋ1	
窗	tsʰuŋ1	
竭	kʰiat8	浓稠:竭粥
竹	tʃuʔ6	
笑	seu3	见笑:丢人.惭愧
筆	pit5	毛笔(霞北,大溪,长乐用水笔)
笠	liʔ7	笠婆:斗笠
籠	luŋ2	笼床:蒸笼
籠	liuŋ2	火笼:手炉
筒	tʰuŋ2	薰筒:旱烟筒
篩	tsʰe1	米筛:筛子
箍	kʰeu1	圆篾,量词,元(钱)
箕	kʰi2	箕头:炊帚
管	kuan3	管子:瓶子
箸	tʃʰy4	
簍	lui3	箸篓:筷笼(原文为箸累)
篙	ko1	竹篙
米	mi3	
粗	tʃʰu1	
精	tsiaŋ1	美
粿	kue3	油炸粿:油条
糖	tʰɔŋ2	乌糖:红糖
糜	mue2	
糯	nu4	
索	soʔ6	索子:绳子
紅	fuŋ2	红菜头
紙	tʃi3	粗纸:手纸,纸票,纸字
紙	tʃʰi3	纸鴞:风筝
線	sian3	面线
細	se3	细子:小孩
細	ɕe3	担杂细:货郎(原文为tse3)
結	kiat5	
缶	fui2	陶瓷
缸	kɔŋ1	屎缸:厕所
罐	kuan3	电罐:热水瓶
罔	mɔŋ3	罔讲:闲谈
羹	ken1	调羹:汤匙
翕	hip5	翕热:闷热
翼	dzit7	翅膀
老	lo3	
耳	ŋi3	耳子:耳朵
聾	luŋ2	臭耳聋:聋子
肚	tu3	腹肚:肚子,大屎肚:怀孕贬称
肥	pʰui2	肥胖
背	pe1	背手:左手
脊	tsiaʔ6	背脊:背部
臍	tsi2	腹脐:肚脐
腦	nau1	头脑皮,头脑毛
脚	kioʔ6	脚踏车
腎	kʰin1	鸡腎:鸡胗
腐	fu4	
腹	puʔ5	屎腹头:屁股
膝	tsʰit5	膝头:膝盖
自	tsʰɿ1	自家人:自己人
臭	tʃʰiu3	
舅	kʰiu1	阿舅
舌	ʃet4	大舌:口吃
舷	fin2	旁边,边缘:溪舷,舷头(应为唇)
節	tsiat5	
花	fa1	鸡髻花:鸡冠花
茄	kʰeu2	
茶	tʃʰia2	茶米:茶叶
菜	tsʰue3	菜头
落	loʔ7	落雨:下雨
葩	pʰau1	量词,盏(灯)
葬	tsɔŋ3	出葬:出葬
葱	tsʰuŋ1	北葱:洋葱
蒔	ʃit6	蒔田:插秧
蓑	sui1	棕蓑:蓑衣
蕉	tseu1	
蕊	lui3	量词,朵(花)
蕹	vuŋ3	蕹菜:空心菜
薄	pʰoʔ7	薄:薄茶,薄酒
薯	ʃy2	番薯
薰	fun1	烟草
蟲	tʃʰiuŋ2	
虱	set5	狗虱:跳蚤
虹	kʰiuŋ4	彩虹(原文为共)
蟻	ŋi3	黄蚁:蚂蚁
蜂	pʰuŋ1	
蠟	lap7	肥皂
蠅	dzin2	乌蝇:苍蝇
蟹	he3	老蟹
蠓	muŋ1	蚊子
衣	dzi1	
表	piau3	
衫	sam1	
袖	tsʰiu4	衫袖:袖子
裝	tsɔŋ1	盛饭
西	se1	
見	kian3	
角	koʔ6	角子菜:菠菜
討	tʰɔ3	讨暗:傍晚
討	tʰu3	讨新妇:娶媳妇
講	kɔŋ3	讲白贼:撒谎
識	sit5	晓得,懂得
調	tʰæu1	
谷	kuʔ6	
豆	tʰeu4	番豆:花生,豆油:酱油
貼	tʰæp5	屎贴子:尿布
賊	tsʰet7	
走	tseu3	跑
起	kʰi3	起风:刮风
趁	tʰan3	趁钱:赚钱
跛	pai3	跛脚:瘸子
踏	tap5	
蹽	leu2	跋涉,蹽水:涉水
身	ʃin1	
車	tʃʰa1	
輛	liɔŋ2	量词,辆(车)
過	ko3	
透	tʰeu3	透夜:通宵
道	tʰo4	
郎	lɔŋ2	
酒	tsiu3	
釅	ŋiam2	浓:酽茶,酽酒
里	le3	外里:外边
金	kim1	
钟	tʃiuŋ1	
錢	tsʰian2	
銃	tʃʰiuŋ3	
銀	ŋyn2	白银,大银:银元
鏈	len3	
鍋	vo1	
镢	kioʔ6	镢头:锄头
鐳	lui1	钱
鐮	liam2	镰子:镰刀
長	tʃiɔŋ2	
門	mun2	
間	kæn1	单间屋子
鬧	nau4	闹热
闊	kʰuat5	宽阔
阿	a1	
隔	kaʔ5	隔壁
雀	tsʰiaʔ5	楼雀:麻雀
雨	vu3	西北雨:雷阵雨
雷	lui2	
霧	vu4	雾濛
霜	sɔŋ1	
青	tsʰiaŋ1	
面	mian3	
鞋	he2	
须	ʃy1	嘴须:胡须
頓	tun3	
頸	kiaŋ3	颈骨:脖子
風	fuŋ1	
食	ʃet7	天狗食日:日食
飯	pʰon4	
飲	dzim3	米汤
骨	kut5	
高	ko1	
髻	ki3	鸡髻:鸡冠
魚	m̩2	
鰍	tsʰiu1	
鴞	dzeu1	纸鴞:风筝,鴞婆:老鹰
鳥	tæu3	
鳥	tsiau3	鸟岫:鸟窝(原文记作爪岫)
雞	ke1	
鳴	miaŋ2	鸣雷:打雷
鵲	siaʔ6	阿鹊:喜鹊
鷹	en1	鹰子
麥	maʔ7	番麦:玉米
麻	ma2	乌麻:芝麻
黃	voŋ2	
鼠	tʃʰy3	
𠢕	ŋau2	能干
𡟓	ue1	𡟓奶:母亲
𡢃	kan3	妹子𡢃:童养媳
