#漢字	音標	解釋
䙡	kʰuei5	绳~子
前	tɕʰiæ̃2	
剮	kua3	
劍	tɕiæ̃3	
剖	pʰau2	
剜	væ̃1	
剝	pɤ1	
剩	ʂəŋ5	
剪	tɕiæ̃3	
副	fu5	
割	kuɤ1	
剺	li2	用刀划开
劁	tɕʰiau1	
劈	pʰi3	
劈	pʰia3	
劐	xuɤ1	~剥豁开
力	li1	
勸	tɕʰyæ̃5	
辦	pæ̃5	
功	kuəŋ1	
加	tɕia1	
務	vu5	
劣	lie1	
動	tʂʰua3	
動	tuəŋ5	
助	tʂu5	
努	nəu3	
劫	tɕie2	
勵	li5	
勁	tɕiəŋ5	
勞	lau2	
勢	ʂʅ5	
勇	yəŋ3	
勉	miæ̃3	
勳	ɕyəŋ2	
勒	lɛ1	~脦不干净
勤	tɕʰiəŋ2	
勺	ʂuɤ2	
勾	kəu1	
勿	vɤ1	
匀	yəŋ2	
包	pau1	
匆	tʂʰuəŋ1	
匕	pi1	
化	xua5	
北	pei1	
匙	sɿ2	
匠	tɕiaŋ5	
匣	ɕia2	
匪	fei3	土~娃娃~得很
匹	pʰi2	
區	tɕʰy1	
醫	i1	
匾	piæ̃3	
十	ʂʅ2	
千	tɕʰiæ̃1	
升	ʂəŋ1	
午	vu3	
半	pæ̃5	
半	paŋ5	~个
華	xua2	
協	ɕie2	
卑	pi1	
卒	tsu2	
卓	tʂuɤ2	
單	tæ̃1	
賣	mɛ5	
南	næ̃2	
博	pɤ1	
卜	pu3	萝~
卜	pɤ3	萝~
占	tʂæ̃5	
卡	kʰa3	
卡	tɕʰia3	发~跨过
盧	ləu2	
卦	kua5	
臥	vɤ5	
衛	vei5	
卯	mau3	
印	iəŋ5	
危	vei1	
即	tɕi2	
卻	tɕʰyo1	
卵	læ̃1	~子睾丸
卵	luæ̃3	青蛙~
卷	tɕyæ̃3	
卷	tɕyæ̃5	~子
卸	ɕie5	
廠	tʂʰaŋ3	
廳	tʰiəŋ1	
历	li1	
厲	li5	
壓	ȵia5	~力
厭	iæ̃5	
廁	tʂʰei1	
厖	maŋ1	身子等粗壮~墩墩子
厘	li2	
厚	xəu5	
原	yæ̃2	
厦	sa3	
廚	tʂʰu2	
去	tʂʰua3	
去	tɕʰi5	
去	tɕʰy5	~痛片
縣	ɕiæ̃5	
参	tʂʰæ̃1	
参	səŋ1	人~
又	iəu5	
叉	tʂʰa1	
叉	pʰia3	
及	tɕi2	
友	iəu3	
雙	ʂuaŋ1	
雙	pʰia3	
反	fæ̃3	
发	fa1	
发	tʂaŋ2	
发	tʂuæ̃3	
叔	ʂu1	
取	tɕʰy3	
受	ʂəu5	
變	piæ̃5	
叛	pʰæ̃5	
疊	tie2	
口	kʰəu3	
古	ku3	
句	tɕy5	
另	liəŋ5	
叨	tau1	唠~
叩	kʰəu5	
只	luæ̃1	
只	tsɿ2	~有~要
只	tʂʅ1	一~
叫	səu3	
叫	tɕiau5	
召	tʂau1	
叭	pa1	
叮	səu3	
可	pʰia3	
可	kʰuɤ3	~以
可	kʰuɤ2	再又
台	tʰɛ2	
史	sɿ3	
右	iəu5	
葉	ie1	
號	xau5	
司	sɿ1	
嘆	tʰæ̃5	
叼	tiau1	夺
嘰	tɕi1	
吃	tʂʰʅ1	
各	kuɤ1	
合	ȵie2	
合	xuɤ2	
合	pʰia3	
合	vɛ3	
吉	tɕi1	
吊	tiau5	
同	tʰuəŋ2	
名	miəŋ2	
后	xəu5	
吐	tʰu3	~痰
向	ɕiaŋ5	
嚇	xa5	~人
呂	ly3	
呂	y3	
君	tɕyəŋ1	
吞	tʰəŋ1	
否	fu3	
吧	pia1	拟声词~嗒~嗒
吨	tuəŋ5	
含	xæ̃2	
聽	tʰiəŋ1	
吭	kʰəŋ1	
吱	tsɿ1	
吳	vu2	
吵	tʂʰau3	
吷	tɕyo2	责骂
吸	ɕi1	
吹	tʂʰuei1	
吼	xəu3	
呆	tɛ1	
呆	tʂaŋ2	
告	kau5	
嘔	nəu3	~吐
員	yæ̃2	
嗆	tɕʰiaŋ3	
嗚	vu1	
呢	luæ̃1	
周	tʂəu1	
呱	kua1	拟声词
呲	tsʰɿ1	~牙咧嘴
味	vei5	
呴	kəu5	~~唤鸡声
呴	xəu1	喘气声
呸	pʰei1	
呼	xu1	
命	miəŋ5	
咂	tʂa1	
咋	tʂa2	做啥怎么的合音
和	xuɤ2	
咒	tʂəu5	
咕	ku1	~哝低语
咚	tuəŋ1	
噝	sɿ1	拟声词
咣	kuaŋ1	象声词
咥	tie2	吃的粗俗说法
咧	lie3	~嘴
咨	tsɿ1	
咬	ȵiau3	
咬	səu3	
咯	kʰa3	~痰
咱	tʂa2	
咽	iæ̃1	
咽	iæ̃5	
哀	nɛ1	
品	pʰiəŋ3	
哄	xuəŋ3	月色不明麻~~
哇	va1	
哈	xa1	~气
哈	xa3	~巴狗
響	ɕiaŋ3	
哐	kʰuaŋ1	象声词
啞	ia3	
哥	kuɤ2	
哪	na3	
哭	kʰu1	
哮	ɕiau5	
哼	xəŋ1	
唆	suɤ1	挑~
脣	tʂʰuəŋ2	
脣	ʂuəŋ2	
唉	ɛ1	
唐	tʰaŋ2	
嘮	lau1	~叨
嗩	suɤ3	~呐
喚	xuæ̃5	
唬	xu3	
售	ʂəu5	
唯	vei2	
唱	tʂʰaŋ5	
唵	næ̃3	吞食
唾	tʰuɤ5	
啃	kʰəŋ3	
啄	tʂuɤ1	~脉子啄木鸟
商	ʂaŋ1	
啊	a2	叹词表追问
啖	tæ̃5	~板诳骗
啥	sa5	
嗇	sei1	~皮吝啬鬼
囉	luɤ1	
啼	tʰi2	
善	ʂæ̃5	
喇	la3	~叭
喉	xəu2	
喊	xæ̃3	
喘	tʂʰuæ̃3	脱去粮食的外皮~米
喜	ɕi3	
喝	xuɤ1	
噴	pʰəŋ1	
喻	y5	
嗉	su5	鸡~子
嗍	suɤ1	吮吸
嗒	ta1	拟声词吧~吧~
嗓	saŋ3	
嗖	səu1	象声词吝啬
嗞	tsɿ1	
嗟	tɕia1	呼叹词
嗡	vəŋ1	
嗤	tsʰɿ3	~笑
嗲	tie3	~溜娇声娇气
嗵	tʰuəŋ1	象声词
嗽	səu5	
嗾	ʂəu1	~狗
嘘	ɕy1	吹~
嘠	ka1	拟声词
嘣	pəŋ1	咯~
嘭	pʰəŋ1	
囑	tʂu1	
嘲	tʂʰau2	
嘴	tʂuei3	
嘻	ɕi1	~~哈哈
噌	tʂʰəŋ1	象声词
噎	ie1	
噙	tɕʰiəŋ2	
噢	au5	
器	tɕʰi5	
噼	pʰi1	~里啪啦器物断裂树股~了
嚇	xei1	恐吓
嚎	xau2	哭
囂	ɕiau1	
嚷	ʐaŋ3	
嚼	tɕyo2	
囊	naŋ3	
囚	tɕʰiəu2	~犯男阴
囚	ɕiəu2	光线刺眼
四	sɿ5	
回	xuei2	
回	tʂʰua3	
囟	ɕiəŋ5	~门口
因	iəŋ1	
团	tʰuæ̃2	
囤	tuəŋ5	
園	yæ̃2	
圍	vei2	
固	ku5	
國	kuɤ1	
國	kuei1	
圖	tʰu2	
圓	yæ̃2	
圈	tɕʰyæ̃1	
圈	tɕyæ̃5	猪~
圈	kʰuæ̃5	绳~子
土	tʰu3	
聖	ʂəŋ5	
在	luæ̃1	
在	tʂɛ5	
地	ʐuæ̃0	
地	səu3	
地	ti5	
場	tʂʰaŋ2	
圿	tɕia1	垢~
址	tsɿ3	
均	tɕyəŋ1	
坊	faŋ1	马~塬
坌	pʰəŋ5	积聚沾染尘土桌子上~了些土
坎	kʰæ̃3	
壞	kuɛ3	
壞	xuɛ5	
坐	tʂuɤ5	
坑	kʰəŋ1	
塊	kʰuɛ3	
堅	tɕiæ̃1	
坛	tʰæ̃2	
壩	pa5	
墳	fəŋ2	
墜	tʂuei5	
坡	pʰɤ1	
坦	tʰæ̃3	缓
坨	tʰuɤ2	成块或成堆
坪	pʰiəŋ2	何~
坯	pʰi1	砖~子
垂	tʂʰuei2	
壟	luəŋ3	
型	ɕiəŋ2	
垒	luei3	
垢	kəu3	~圿
墾	kʰəŋ3	
墊	tiæ̃5	
垮	kʰua3	
埂	kəŋ3	地~
埋	mɛ2	
城	tʂʰəŋ2	
域	y5	
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堆	tuei1	
堡	pu3	~子
堰	iæ̃5	
堵	tu3	
塄	ləŋ2	
塌	tʰa1	
塑	su5	
塔	tʰa1	
塘	tʰaŋ2	~土
塞	sei1	
塞	tʂei1	~进去
塞	tʂɛ5	插入
填	tʰiæ̃2	
塬	yæ̃2	
塾	ʂu2	
墁	mæ̃5	~墙
境	tɕiəŋ5	
墒	ʂaŋ1	
墓	mu5	
牆	tɕʰiaŋ2	
牆	səu3	
增	tʂəŋ1	
墨	mei2	
墩	tuəŋ1	
墼	tɕi1	~子土坯
壁	pi1	
壅	yəŋ1	
壕	xau2	
壤	ʐaŋ3	
士	sɿ5	
壬	ʐəŋ2	
壯	tʂuaŋ5	
聲	ʂəŋ1	
殼	kʰuɤ1	
殼	tɕʰyo1	
壺	xu2	
處	tʂʰu3	~于
處	tʂʰu5	到~
備	pi5	
复	fu1	
夏	ɕia5	
夕	ɕi1	
外	tʂʰua3	
外	vɛ5	
外	vei5	~爷
多	tuɤ1	
夜	ie5	
够	kəu5	
大	ta5	
大	tɛ5	~夫
大	tʰuɤ2	羊群里的驴驹子是个~货
天	tʰiæ̃1	
太	tʰɛ5	
夫	fu1	
央	iaŋ1	
夯	xaŋ1	筑地基的一种石制工具也引申为冲撞堵塞
失	ʂʅ1	
頭	ʂau2	
頭	tʰəu2	
頭	tʂæ̃2	
頭	xei3	
夸	kʰua1	
夾	tɕia1	
奪	tuɤ2	
奇	tɕʰi2	
奈	nɛ5	
奉	fəŋ5	
奮	fəŋ5	
奎	kʰuei2	
奏	tʂəu5	
奓	tʂa5	翘起
奔	pəŋ1	挖~子奔跑
獎	tɕiaŋ3	
套	tʰau5	
奘	tʂuaŋ3	粗
奧	nau5	
女	ȵy3	
女	tʂuæ̃3	
女	mi3	~猫
奴	nəu2	
奶	nɛ3	
奸	tɕiæ̃1	
她	tʰa3	
好	xau3	~坏
好	xau5	~学
如	ʐu2	
妝	tʂuaŋ1	
婦	tʂuæ̃3	
婦	fu5	
媽	ma1	
妓	tɕi5	
妖	iau1	~怪~号绰号
妙	miau5	
妥	tʰuɤ3	
妨	faŋ1	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰie1	
姊	tsɿ3	
始	sɿ5	
姐	tɕie3	
姑	ku1	
姓	ɕiəŋ5	
委	vei3	
姚	iau2	
姜	tɕiaŋ1	
姨	i2	
姬	tɕi1	姓
姻	iəŋ1	
姿	tsɿ1	
威	vei1	
娃	va2	
娘	ȵiaŋ2	
娟	tɕyæ̃1	
娥	nuɤ2	
娛	y2	~乐
娛	vu5	~乐
娶	tɕʰy3	
娼	tʂʰaŋ1	
婆	pʰɤ2	
婚	xuəŋ1	
嬰	iəŋ1	
嬸	ʂəŋ3	
婷	tʰiəŋ2	
媒	mei2	
媚	mi2	崇洋~外
媳	ɕi1	
嫁	tɕia5	
嫂	sau3	
嫌	ɕiæ̃2	
嫖	pʰiau2	
嫩	nəŋ5	
子	ʂau2	
子	tsɿ3	
子	səu3	
子	tʰəŋ3	
孕	iəŋ5	
孕	yəŋ5	
字	tsɿ5	
存	tʂʰuəŋ2	
孫	suəŋ1	
孝	ɕiau5	
孟	məŋ5	
季	tɕi5	
孤	ku1	
學	ɕyo2	
孩	xɛ2	
孽	ȵie1	
寧	ȵiəŋ2	
寧	ȵiəŋ5	~老庄
它	tʰa3	
宅	tʂɛ2	
宇	y3	
守	ʂəu3	
安	næ̃1	
宋	suəŋ5	
完	væ̃2	
宏	xuəŋ2	
宗	tʂuəŋ1	
官	kuæ̃1	
定	tiəŋ5	
宜	ȵi2	
宜	i2	
寶	pau3	
實	pʰa1	
實	ʂʅ2	
寵	tʂʰuəŋ3	
審	ʂəŋ3	
客	kʰei1	
宣	ɕyæ̃1	
室	ʂʅ1	
宮	kuəŋ1	
宰	tʂɛ3	
害	xɛ5	
宴	iæ̃5	
宵	ɕiau1	
家	tɕia1	
家	ȵie2	
容	yəŋ2	
寬	kʰuæ̃1	
賓	piəŋ1	
宿	ɕy1	
宿	ɕiəu5	星~
寄	tɕi5	
寅	iəŋ2	
密	mi1	
寇	kʰəu5	
富	fu5	
寒	xæ̃2	
寢	tɕʰiəŋ3	
察	tʂʰa2	母猪
寡	kua3	
寨	tʂɛ5	~子坪
寸	tʂʰuəŋ5	
對	tuei5	
寺	sɿ5	
尋	ɕiəŋ2	
導	tau3	
導	tau5	
壽	ʂəu5	
封	fəŋ1	
將	tɕiaŋ1	
尊	tʂuəŋ1	
小	mæ̃1	
小	ɕiau3	
少	ʂau5	~年
少	ʂau3	多~
尖	tɕiæ̃1	
塵	tʂʰəŋ2	
尚	ʂaŋ5	
嘗	ʂaŋ2	
尤	iəu2	
尥	liau5	马~蹶子
就	tʂəu5	
就	tɕiəu5	
屍	sɿ1	
尺	tʂʰʅ1	
尽	tɕiəŋ5	
尾	i3	~巴
尿	ȵiau5	
局	tɕʰy2	
屁	pʰi5	
層	tʂʰəŋ2	
屄	pʰi1	女阴
居	tɕy1	
屈	tɕʰy1	
屉	tʰi5	驴~子拉套时衬在牲口脊背上的护垫
屋	vu1	
屎	sɿ3	
展	tʂæ̃3	
屬	ʂu2	~马
屬	ʂu3	~于
屠	tʰu2	
履	ly3	
歲	suei5	
岔	tʂʰa1	
岔	tʂʰa5	
崗	kaŋ1	
嶺	liəŋ3	
岳	yo1	
岸	næ̃5	
峁	mau3	
峽	ɕia2	
崇	tʂʰuəŋ2	
崔	tʂʰuei1	
崖	nɛ2	
崩	pəŋ1	
嶄	tʂæ̃3	
川	tʂʰuæ̃1	
州	tʂəu1	
巢	tʂʰau2	
工	kuəŋ1	
左	tʂuɤ3	
巧	tɕʰiau3	
巨	tɕy5	
巫	vu1	
差	tʂʰa1	
差	tʂʰɛ1	
已	i3	
巳	sɿ5	
巴	pa1	
巷	xaŋ1	
巾	tɕiəŋ1	
幣	pi5	
市	sɿ5	
布	pʰa1	
布	pu5	
帥	ʂuɛ5	
帆	fæ̃1	
師	sɿ1	
希	ɕi1	
帳	tʂaŋ5	
帕	pʰa1	
帖	tʰie1	
帘	liæ̃2	
帝	ti5	
帶	tɛ5	
席	ɕi2	
幫	paŋ1	
常	tʂʰaŋ2	
常	ʂaŋ2	姓
帽	mau5	
幂	mi5	罩积~了一层油
幌	xuaŋ3	~子
幕	mu1	
幡	fæ̃1	
干	kæ̃1	
干	kæ̃5	~活
平	pʰiəŋ2	
年	ȵiæ̃2	
并	piəŋ5	
幻	xuæ̃5	
幼	iəu5	
幽	iəu1	
廣	kuaŋ3	用铁锹等铲除堆积物
莊	tʂuaŋ1	
慶	tɕʰiəŋ5	
牀	tʂʰuaŋ2	
序	ɕy5	
廬	ləu2	
庫	kʰu5	
應	aŋ1	
應	iəŋ5	
底	ti3	
店	tiæ̃5	
廟	miau5	
府	fu3	
廢	fei5	
度	tu5	
座	tʂuɤ5	
庭	tʰiəŋ2	
康	kʰaŋ1	
廉	liæ̃2	
延	iæ̃2	
廷	tʰiəŋ2	
建	tɕiæ̃5	
開	kʰɛ1	
開	pʰia3	
异	i5	
弄	luəŋ5	
弊	pi5	
弓	kuəŋ1	
引	iəŋ3	
弛	tʂʰʅ2	
弟	ti5	
張	tʂaŋ1	
弥	mi2	补缀~绳子~补
弦	ɕiæ̃2	
弧	xu2	
彎	væ̃1	
彎	væ̃5	绕道
弱	ʐuɤ1	
彈	tʰæ̃2	~琴
彈	tæ̃5	炮~抖动车把人~地
强	tɕʰiaŋ2	
强	tɕʰiaŋ3	勉~
歸	kuei1	
當	taŋ1	~时
當	taŋ5	~作
彗	xuei5	
形	ɕiəŋ2	
彦	iæ̃5	
彩	tʂʰɛ3	
彬	piəŋ1	
彭	pʰəŋ2	
影	iəŋ3	缝补
往	vaŋ3	
征	tʂəŋ1	
待	tɛ5	
很	xəŋ3	
律	ly1	
徐	ɕy2	
徒	tʰu2	
得	tei1	
微	vei1	
德	tei1	
心	ɕiəŋ1	
必	pi1	
憶	i5	
忌	tɕi5	
忍	ʐəŋ3	
志	tsɿ3	
忘	vaŋ5	
忙	maŋ2	
憂	iəu1	
快	kʰuɛ5	
忽	xu1	
忿	fəŋ5	
懷	xuɛ2	
態	tʰɛ1	
怎	tʂəŋ3	
怒	nəu3	
怕	pʰa5	
憐	liæ̃2	
思	sɿ1	
急	tɕi2	
性	ɕiəŋ5	
怨	yæ̃5	
怪	kuɛ5	
怯	tɕʰie1	
總	tʂuəŋ3	
戀	liæ̃5	
戀	luæ̃5	
恆	xəŋ2	
恓	ɕi1	~惶
恢	xuei1	
恨	xəŋ5	
恩	nəŋ1	
恭	kuəŋ1	
恰	tɕʰia3	
懇	kʰəŋ3	
恶	vu5	可~
恶	nuɤ1	善~~水
惱	nau3	
悄	tɕʰiau1	
悉	ɕi1	
悔	xuei3	
悟	vu5	
悠	iəu1	
患	xuæ̃5	
悦	yo1	
懸	ɕyæ̃2	
悲	pei3	
情	tɕʰiəŋ2	
驚	tɕiəŋ1	
惑	xuei5	
惜	ɕie2	可~
惠	xuei5	
惠	ɕi5	姓
懼	tɕy5	
慘	tʂʰæ̃3	
懲	tʂʰəŋ2	
慚	tʂʰæ̃2	
慣	kuæ̃5	
想	ɕiaŋ3	
愁	tʂʰəu2	
愉	y2	
意	i5	
愚	y2	
感	ʂuəŋ2	
感	səu3	
感	kæ̃3	
愣	ləŋ5	
憤	fəŋ5	
愧	kʰuei5	
願	yæ̃5	
慈	tsʰɿ2	
慌	xuaŋ1	
慎	ʂəŋ5	
慕	mu5	
慢	mæ̃5	
慧	xuei5	
慰	vei5	
慰	y5	安~
憋	pie1	
憎	tʂəŋ5	
憨	xæ̃1	~娃娃
懂	tuəŋ3	
懶	læ̃3	
懵	məŋ5	笨
戊	vu5	
戌	ɕy1	
戎	ʐuəŋ2	
戲	ɕi5	
成	tʂʰəŋ2	
我	ŋuɤ3	
戒	tɕie5	
或	xuei2	
或	ʂuəŋ2	
或	tʂʰua3	
或	səu3	
戧	tɕʰiaŋ1	~风
戰	tʂæ̃5	
戥	təŋ3	~子
截	tɕie2	
戳	tʂʰuɤ1	
戴	tɛ5	
戶	xu5	
房	faŋ2	
所	ʂuɤ3	
扁	piæ̃3	
扇	ʂæ̃1	~子
扇	ʂæ̃5	~子
手	ʂəu3	
才	tʂʰɛ2	
扎	tʂa1	
扑	pʰu1	
打	mau1	
打	ta3	
扔	ɚ3	丢掉
托	tʰuɤ1	
扛	kaŋ3	
扣	kʰəu5	
扦	tɕʰiæ̃1	~子
執	tʂʅ1	
擴	kʰuɤ1	
捫	məŋ2	
掃	sau3	~地
掃	sau5	~帚
揚	iaŋ2	
扭	vɛ3	
扭	ȵiəu3	
扮	pæ̃5	
擾	ʐau3	
扳	pæ̃1	
扶	fu2	
批	pʰi3	
扼	nɛ2	~要
扽	təŋ5	
找	tʂau3	~钱
找	tʂau3	~人
承	tʂʰəŋ2	
技	tɕi5	
抄	tʂʰau1	
把	səu3	
把	pa3	~关~屎
把	pa5	瓜~
抓	tʂua1	
抓	tʂau1	羊~子一种抓取羊绒有铁齿形似梳子的工具
投	tʰəu2	
抖	təu3	
抗	kʰaŋ5	
撫	fu2	
抛	pʰau1	
摳	kʰəu1	
掄	lyəŋ2	
搶	tɕʰiaŋ3	
護	xu5	
報	pau5	
披	pʰei1	~衣服
抬	tʰɛ2	
抱	pau5	
抵	ti3	
抹	mɤ3	~墙
抹	ma1	揩脱去抓~布~帽子~纸牌
押	ia1	
抽	tʂʰəu1	
抿	miəŋ3	
拃	tʂa3	张开大拇指和中指两端的距离或用拃来量长度
拄	tʂu3	
擔	tæ̃1	动词
擔	tæ̃5	量词
拆	tʂʰei1	
拇	mu3	大~指
拉	ta1	
拉	la1	
拌	pæ̃5	
拍	pʰei1	
拐	kuɛ3	
拒	tɕy5	
拓	tʰa1	~章子盖印章
拓	tʰa3	姓
拔	pa2	
拖	tʰuɤ1	
拘	tɕy1	
拙	tʂuɤ1	
招	tʂau1	
拜	pɛ5	
