#漢字	音標	解釋
#簡稱	/	韶山大坪
#全稱	/	韶山大坪話
#聲母	/	
#韻母	/	
#聲調	/	33 1 1a 陰平 ꜀,13 2 1b 陽平 ꜁,42 3 2 上 ꜂,,45 5 3a 陰去 ꜄,21 6 3b 陽去 ꜅,24 7 4 入 ꜆
#版本	/	2022-01-12
#錄入人	/	跳跳老鼠
#參考資料	/	《韶山方言同音字匯兩種》
#說明	/	
㿭	tsʰɔ7	皴
關	kuã1	
興	çiən1	～旺
興	çiən5	高～
兵	piən1	
其	ɟi2	
具	dʯ6	
典	tĩ3	
兹	tsɿ1	
養	iaŋ3	
兼	cĩ1	
獸	siɯ5	
冀	ci5	
內	luai6	
岡	kaŋ1	
冊	tsʰiɛ7	
再	tsai5	
冒	mau6-	
冒	mau5=	
寫	siɔ3	
軍	tuən1	
農	nən2	
冠	kuɛ̃1	衣～
冠	kuɛ̃5	～军
冢	tən3	
冤	uɛ̃1	
冬	tən1	
馮	xən2	
冰	piən1	
冲	tʰən1	
决	tuɛ7	
况	kʰaŋ5	
冷	niɔ̃3-	
冷	niən3=	
凍	tən5	
淨	dziən6	
準	tuən3	标～；～确
凉	niaŋ2	
凌	niən2	
減	kã3	
湊	tsʰai5	
几	ci1	茶～
凡	ɣuã2	
鳳	ɣuən6	
凭	biən2	
凱	kʰuai3	
凳	tiɛ̃5	
凶	çiən1	吉～
出	tʰʯ7	
擊	ci7	
函	ɣã2	
鑿	tsʰʊ5	
刀	tau1	
刁	tiau1	
刃	iən6	
分	xuən1	～开
切	tsʰiɛ7	～开
刊	kʰuɛ̃1	
刎	uən3	
刑	ʝiən2	
划	ɣɔ2	～船
划	ɣɔ6	
列	liɛ7	
劉	liɯ2	
則	tsiɛ7	
剛	kaŋ1	
創	tsʰɔ̃5	又
創	tsʰaŋ5	
初	tsʰɯ1	
刪	suã1	
判	pʰiɛ̃5	
刨	bau2	～地
刨	bau6	～子
利	li6	
别	pʰiɛ5-	区～；离～
别	pʰiɛ7=	区～；离～
刮	kua7	
到	tau5	
制	tʂʅ5	～度
刷	sua7	
券	tuɛ̃5	
刺	tsʰɿ5	
刻	cʰiɛ7	时～；～字
劊	kʰuei5	
剁	tʊ5	
劑	tsi5	
剃	tʰi5	
削	siʊ7	
前	dzĩ2	
剮	kɔ3	
劍	cĩ5	
剔	tʰi7	
剖	pʰʊ3	解～
剖	pʰʊ5	～开
剝	pʊ7	
劇	tʯ5	～烈；戏～
剩	ʝiən6	
剪	tsĩ3	
副	ɸu5	
割	kuɛ7	
剿	tsiau3	
劈	pʰiɔ7-	
劈	pʰi7=	
力	li5	
勸	tʰuɛ̃5	
辦	bã6	
功	kən1	
加	ciɔ1	
務	u6	
劣	liɛ7	
動	dən6	
助	dzɯ6	
努	lɯ3	
努	liɯ3	又
劫	ciɛ7	
勵	li5	
勁	ciən5	有～
勁	ciən5	～敌
勞	lau2	
勢	ʂʅ5	
勃	pʰʊ7	
勇	iən3	
勉	mĩ3	
勋	suən1	
勒	liɛ7	
勘	kʰuɛ̃5-	
勘	kʰã1=	
募	mʊ6	
勤	ɟiən2	
勺	çiʊ5	
勾	kai1	～当
勿	ɸu7	
勻	uən2	
包	pau1	
化	xɔ5	
北	piɛ7	
匙	tʂʰʅ3	钥～
匠	dziaŋ6	
匡	cʰiaŋ1	
匣	çia5	
匪	xuei3	
匹	pʰi7	
區	tʰʯ1	
醫	i1	
匾	pĩ3	
十	ʂʅ5	
千	tsʰĩ1	
升	sən1	
午	u3	
半	piɛ̃5	
華	ɣɔ2	中～；姓
協	çiɛ7	
卑	pai1	
卒	tsɯ7	兵～
卓	tsʊ7	
單	tã1	～独
賣	mã5	
南	nã2	
博	pʊ7	
卜	pu5	
占	tiɛ̃5	～卜；～领
盧	lɯ2	
盧	liɯ2	又
卤	lɯ3	
卤	liɯ3	又
卦	kɔ5	
臥	ŋʊ6-	
臥	ŋʊ5=	
衛	uei5	
卯	mau3	
印	iən5	
危	uei2	
即	tsi7	
卻	tʰʊ7	
卵	lʊ3	
卵	nuɛ̃3	～子
卷	tuɛ̃3	～起
卷	tuɛ̃5	书～
卸	siɔ5	又
卸	siɛ7	
卿	cʰiən1	
廠	tʰaŋ3	
廳	tʰiən1	
厲	li6	
壓	ia7	
厭	ɲĩ5	
廁	tsʰɿ5-	茅～
廁	tsiɛ7=	～所
厘	li2	
厚	ɣai6	
原	uɛ̃2	
廂	siaŋ1	
厥	tuɛ7	
厦	sɔ6	偏～
厦	ʝiɔ6	～门；偏～
廚	dʯ2	
厮	sɿ1	
去	cʰi5-	
去	tʰʯ5=	
縣	ɣuɛ̃6	
参	tsʰã1	
参	siɛ̃1	人～
又	iɯ6	
叉	tsʰɔ1	
及	cʰi5	
友	iɯ3	
雙	saŋ1	单～；～生
反	xuã3	
叔	siɯ7	
取	tsʰi3	
受	ʝiɯ6	
變	pĩ5	
敘	dzi6	
叛	pʰiɛ̃5	
叟	sai3	
疊	tiɛ7	
口	kʰai3	
古	ku3	
句	tʯ5	
另	niən6-	
另	niən5=	
叨	tau1	唠～
叨	tʰau1	～光
叩	kʰai5	
只	tɔ7-	
只	tʂʅ3	～有
叫	ciau5	
召	tau1	～之即来
召	dau6	号～
可	kʰʊ3	
台	dai2	天～
史	ʂʅ3	
右	iɯ6	
葉	iɛ7	
號	ɣau6	～数
司	sɿ1	
嘆	tʰã5	
吁	ʯ1	呼～
各	kʊ7	
合	xuɛ7	～作；升～
吉	ci7	
吊	tiau5	
同	dən2	
名	miɔ̃2-	
名	miən2=	
后	ɣai6	皇～
吏	li6	
吐	tʰɯ3	～痰，呕～
吐	tʰiɯ3	又，～痰，呕～
向	çiaŋ5	
嚇	xɔ7-	～一跳
嚇	çiɛ7	恐～；(文)～一跳
吕	lai3	
君	tuən1	
吝	niən5	
吞	tʰiɛ̃1	
吟	ɲiən2	
否	xuai3	
含	ɣã2	
听	tʰiɔ̃5-	～见
听	tʰiən5	～任；(文)～见
启	cʰi3	
吴	u2	
吵	tsʰau3	
吸	ci7	
吹	tʰʯ1-	
吹	tʰuei1=	
吻	uən3	
吼	xai5	
吾	u2	
吾	ŋʊ2	又
呆	ŋai2	
呈	dən2	
告	kau5	
嘔	ŋai3	
員	uɛ̃2	
周	tiɯ1	
味	uei6	
呼	βu2	
命	miɔ̃6-	
命	miən6=	
和	ɣʊ2	～气；～面
咎	ciɯ5	
咏	uən5	
咒	tiɯ5	
咨	tsɿ1	
咬	ŋau3	
咳	cʰiɛ7	
咸	ɣã2	～阳；甜～
咽	ɲĩ5	
哀	uai1	
品	pʰiən3	
哄	xən3	～骗
響	çiaŋ3	
啞	ŋɔ̃3	
哥	kʊ1	
哪	la3	～个
哭	kʰu7	
哲	tiɛ7	
哽	kɔ̃3-	～住
哽	kaŋ3=	～住
唆	sʊ1	啰～
脣	ʝiən2	
唐	daŋ2	
嘮	lau1	～叨
喚	xuɛ̃5	
售	diɯ6	
唯	uei2	
唱	tʰaŋ5	
啄	tsʊ7	
商	çiaŋ1	
囉	lʊ1	～唆
啼	di2	
喂	ʯ3-	饲
喂	uei5=	饲
善	ʝiɛ̃6	
喉	ɣai2	
喊	xã3	
喘	tʰuɛ̃3	
喜	çi3	
喝	xuɛ7	～酒；～采
喧	ʂuɛ̃1	
喫	cʰiɔ7-	～饭
喫	cʰi7=	～饭
噴	pʰiən5	～香
噴	xuən5	～水；～嚏
喻	ʯ5	
嗅	çiɯ5	～觉
嗅	çiən5	用鼻子闻
嗉	sɯ5	
嗓	saŋ3	
嗣	dzɿ2	
嗤	tʂʰʅ1	
嗽	sɯ5	咳～
嘉	ciɔ1	
噓	ʂʯ1	
囑	tiɯ7	
嘴	tsi3	
噎	i7	～住了
器	cʰi5	
囂	çiau1	
嚷	iaŋ5	
嚼	tsʰiʊ5-	
嚼	tsiʊ7=	
囊	naŋ2	
囚	dziɯ2	
四	sɿ5	
回	ɣuai2	
因	iən1	
团	duɛ̃2	
囤	duən2	
園	uɛ̃2	
困	kʰuən5	
囱	tsʰən1	
囱	tsʰuən1	又
圍	uei2	
固	ku5	
國	kuɛ7	
圖	dɯ2	
圖	diɯ2	又
圓	uɛ̃2	
圈	tʰuɛ̃1	圆～
土	tʰɯ3	
土	tʰiɯ3	又
聖	sən5	
在	dzai6	
圭	kuei1	
地	di6	
場	daŋ2	
址	tʂʅ3	
均	tuən1	
坎	kʰuɛ̃3	
壞	ɣua6	
坐	dzʊ6-	
坐	tsʊ5=	
坑	kʰɔ̃1-	
坑	kʰaŋ1=	
塊	kʰua3	
堅	cĩ1	
坛	dã2	
塢	u1	
墳	ɣuən2	
墜	dzi6	
坡	pʰʊ1	
坤	kʰuən1	
坦	tʰã3	
坪	biɔ̃2-	
坪	biən2=	
坯	pʰai1	
坳	ŋau5	
坼	tsʰiɛ7	
垂	duei2	
壟	nən3	
型	ʝiən2	
垒	lai3	
墾	cʰiɛ̃3-	
墾	kʰən3=	
墊	dĩ6	
垮	kʰua3	
垻	pɔ5	又，平川
垻	puɔ5	平川
埂	ciɛ̃3	
埃	ai1	
埋	mã1	
城	dən2	
域	ʯ3	
埠	bu6	
培	bai2	
基	ci1	
堂	daŋ2	
堆	tuai1	
堡	pau3	
堤	di2	
堪	kʰuɛ̃1	
堰	ɲĩ5	
堵	tɯ3	
堵	tiɯ3	又
塌	tʰa7	
塍	ʝiən2	
塑	sʊ7	～料
塔	tʰa7	
塘	daŋ2	
塞	siɛ7	
塡	dĩ2	
境	ciən5	
墓	mʊ6	
牆	dziaŋ2	
增	tsiɛ̃1	
墟	ʂʯ1	
墨	miɛ̃7	
墩	tən3	
墩	tuən3	又
壁	piɔ7-	
壁	pi7=	
壕	ɣau2	
壤	iaŋ6	
壩	pɔ5	又，堤～
壩	puɔ5	堤～
士	dzɿ6	
壬	iən2	
壯	tsaŋ5	
聲	siɔ̃1-	
聲	sən1=	
殼	kʰʊ7	
壺	βu2	
壻	si7	
處	tʰʯ3	相～
處	tʰʯ5	～所
備	bi6	
夏	ʝiɔ6	姓；春～
夕	si7	
外	uai6	
多	tʊ1	
夜	iɔ7	
够	kai5	
大	da6	～夫，～黄；(白)～小
大	ta5=	～小
天	tʰĩ1	
太	tʰa5	
夫	ɸu1	
央	iaŋ1	
夯	xã1	打～
失	ʂʅ7	
頭	dai2	
夷	i2	
夸	kʰɔ1	
夾	ka7	～道；～衣
奪	tuɛ7	
奇	ɟi2	
奈	la6	
奉	ɣuən6	
奮	xuən5	
奎	kuei1	又
奎	kʰuei1	
奏	tsai5	
契	cʰi5	～约
奔	piən1	～跑
奔	piən5	投～
獎	tsiaŋ3	
套	tʰau5	
奚	çi1	
奠	dĩ6	
奢	siɔ1	
奧	ŋau5	
女	ɳʯ3	
奴	lɯ2	
奴	liɯ2	又
奶	la3	
奸	kã1	
好	xau3	～坏
好	xau5	喜～
如	ʯ1	
妃	xuei1	
妄	uaŋ5	
婦	βu6-	
婦	ɸu5=	
媽	mɔ̃1	又
媽	muɔ̃1	
妓	ɟi6	
妖	iau1	
妙	miau5	
妥	tʰʊ3	
妨	ɣaŋ2	
妹	mai6-	
妹	mai5=	
妻	tsʰi1	
妾	tsʰiɛ7	
姆	m̩1	～妈
姊	tsɿ3	
始	ʂʅ3	
姐	tsiɔ3-	
姐	tsiɛ5=	
姑	ku1	
姓	siən5	
委	uei3	
姚	iau2	
姜	ciaŋ1	生～；姓
姨	i2	
姻	iən1	
姿	tsɿ1	
威	uei1	
嬌	ciau1	
娘	ɲiaŋ2	
娛	ʯ1	
娶	tsʰi5	
婆	bʊ2	
婚	xuən1	
婢	pi3	
嬰	iən1	
嬸	sən3	
媒	mai2	
媚	mĩ2	
媳	si7	
嫁	kɔ5-	
嫁	ciɔ5=	
嫂	sau3	
嫌	ʝĩ2	
嫖	biau2	
嫡	ti7	
嫩	nən6	
嬉	çi1	
孀	saŋ1	
子	tsɿ3	
孔	kʰən3	
孕	iən6	
字	dzɿ6	
存	dzuən2	
孫	suən1	
孝	çiau5	
孟	miɛ̃6-	
孟	mən5=	
季	ci5	
孤	ku1	
學	çiʊ7	
孩	ʝia2	
孵	ɸu1	
孽	ɲiɛ̃7	
寧	ɲiən2	安～
寧	ɲiən5	～可
宅	tsʰiɛ7	
宇	ʯ2	
守	siɯ3	
安	uɛ̃1-	
安	ŋã1=	
宋	sən5	
完	ɣuã2	
完	ɣuɛ̃2=	
宏	ɣuən2	
宗	tsuən1	
官	kuɛ̃1	
宙	diɯ6	
定	diən6	
宛	uɛ̃3	
宜	ɲĩ2	
寶	pau3	
實	ʂʅ5	
寵	tʰən3	
審	sən3	
客	cʰiɛ7	
宣	ʂuɛ̃1	
室	ʂʅ7	
宦	ɣuɛ̃6	
宪	çĩ5	
宮	kən1	
宰	tsai3	
害	ɣuai6	
宴	ɲĩ5	
宵	siau1	
家	kɔ1-	
家	ciɔ1=	
容	iən2	
寬	kʰuɛ̃1	
賓	piən1	
宿	sɯ7	
寂	tsʰi7	
寄	ci5	
寅	iən2	
密	mĩ5	
寇	kʰai5	
富	ɸu5	
寐	mai5	
寒	ɣuɛ̃2	
寓	ɳʯ6-	
寓	ɳʯ5=	
寢	tsʰiən3	
寞	mʊ5	
察	tsʰa7	
寡	kɔ3	
寥	liau2	
寨	dza6	
寸	tsʰuən5	
對	tuai5	
寺	dzɿ6	
尋	dziən2	
導	tʰau5	
壽	ʝiɯ6	
封	xuən1	
射	siɔ5	
將	tsiaŋ1	～来
將	tsiaŋ5	大～
尊	tsuən1	
小	siau3	
少	siau3	多～
少	siau5	～年
尔	ai3	
尖	tsĩ1	
尘	dən2	
尚	ʝiaŋ6	
嘗	ʝiaŋ2	
尤	iɯ2	
堯	iau2	
就	dziɯ6	
屍	ʂʅ1	～位
尹	uən3	
尺	tʰɔ7-	
尺	tʂʰʅ7=	
尼	ɲĩ2	
尽	dziən6	～可能
尾	uei3	
尿	ɲiau5	
局	tʯ5-	
局	tʯ7=	
屁	pʰi5	
層	dziɛ̃2	
居	tʯ1	
屈	tʰʯ5	
屉	tʰi7	
屆	ka5	
屋	u7	
屍	ʂʅ1	～体
屎	ʂʅ3	
屏	biən2	
屐	ci1	
屑	siɛ7	不～；木～
展	tiɛ̃3	
屬	siɯ5	
屠	dɯ2	
屠	diɯ2	又
屢	lai3	
履	li3	
屯	duən2	
山	sã1	
歲	si5-	
歲	sai5=	
豈	cʰi3	
岐	ɟi2	
岔	tsʰɔ5	
崗	kaŋ1	
島	tau3	
岩	ŋã2	
岭	niɔ̃3-	
岭	niən3=	
岳	iʊ7	姓
岸	uɛ̃6-	
岸	ŋã6=	
峽	çia5	
峯	xuən1	
崇	dzuən2	
崑	kʰuən1	
崔	tsʰuai1	姓
崖	iɔ1	
崙	nən2	
崩	piɛ̃1	
嵌	kʰã5	
嵩	suən1	
嶽	iʊ7	山～
川	tʰuɛ̃1	
州	tiɯ1	
巡	dzuən2	
巢	dzau2	
工	kən1	
左	tsʊ5-	
左	tsʊ3=	
巧	cʰiau3	
巨	dʯ6	
鞏	kən3	
差	tsʰa1	出～
差	tsʰɔ1	～别，～不多
己	ci3	
已	i3	
巳	dzɿ6	辰～
巴	pɔ1	又
巴	puɔ1	
巷	ɣaŋ6	
巾	ciən1	
幣	bi6	
市	dzɿ6	
布	pu5	
帥	suai5	
帆	ɣuã2	
師	sɿ1	
希	çi1	
帳	taŋ5	
帕	pʰɔ7	又
帕	pʰuɔ7	
帖	tʰiɛ7	
帘	nĩ2	
帚	tiɯ3	
帛	piɛ7	
帝	ti5	
帶	ta5	
席	si7	
幫	paŋ1	
常	ʝiaŋ2	
帽	mau6	
幅	ɸu7	
幔	mã6	
幕	mʊ6	
干	kuɛ̃1	～涉
干	kã5=	～部
平	biɔ̃2-	
平	biən2=	
年	ɲĩ2	
并	piən5	
幸	ʝiən6	
幹	kuɛ̃5-	～部
幺	iau1	
幻	ɣuã6-	
幻	xuã5=	
幼	iɯ5	
幽	iɯ1	
幾	ci3	～乎；～个
廣	kaŋ3	
莊	tsaŋ1	
慶	cʰiən5	
庇	pʰi3	
牀	dzaŋ2	
序	dzi6	
廬	lɯ2	
廬	liɯ2	又
庫	kʰu5	
應	iən5	～当；响～
底	ti3	
店	tĩ5	
廟	miau6	
庚	ciɛ̃1	
府	ɸu3	
龐	baŋ2	
廢	xuei5	
度	diɯ6	
座	dzʊ6-	
座	tsʊ5=	
庭	diən2	
庵	uɛ̃1	
庶	ʂʯ5	
康	kʰaŋ1	
庸	iən2	
廉	nĩ2	
廊	naŋ2	
廓	kʊ7	
廖	liau6	姓
延	ɲĩ2	
廷	diən2	
建	cĩ5	
開	kʰuai1	
异	i6	
弃	cʰi5	
弄	nən6	
弊	bi6	
式	ʂʅ5	
弓	kən1	
引	iən3	
弘	ɣuən2	
弟	di6	
張	taŋ1	
弥	mĩ2	
弦	ʝĩ2	
彎	uã1	
弱	ɲiʊ7	
彈	dã2	～琴
彈	dã6	子～
强	ɟiaŋ2	
强	cʰiaŋ3	勉～
弼	pʰi7	
歸	kuei1	
當	taŋ1	应～
當	taŋ5	～作
录	lɯ7	
录	liɯ7	又
形	ʝiən2	
彩	tsʰai3	
彪	piau1	
彬	piən1	
彭	biɛ̃2	
影	iɔ̃3-	
影	iən3=	
彷	xaŋ3	
役	ʯ3	
徹	tʰiɛ7	
彼	pi3	
彿	ɸu7	彷～
往	uaŋ3	
征	tən1	
徑	ciən5	
待	duai6	
很	çiɛ̃3	
律	li5	
後	ɣai6	前～
徐	dzi2	
徒	dɯ2	
徒	diɯ2	又
得	tiɛ7	
徙	si3	
徛	ɟi6	立
御	ʯ3	防～
御	ʯ5	～用
復	ɸu7	～原；～兴
循	dzuən2	
微	uei2	
徵	tən1	～求
德	tiɛ7	
徽	xuei1	
心	siən1	
必	pi7	
憶	i5	
忌	ɟi6	
忍	iən3	
志	tʂʅ5	
忘	uaŋ2	
忙	maŋ2	
忠	tən1	
憂	iɯ1	
快	kʰua5	
念	ɲĩ6	
忽	ɸu7	
忿	xuən5	
懷	ɣua2	
態	tʰa5	
慫	tsʰən3	
慪	ŋai5	～气
怒	lɯ6	
怒	liɯ6	又
怕	pʰɔ5	又
怕	pʰuɔ5	
怖	pu5	
憐	nĩ2	
思	sɿ1	
怠	dai6	
急	ci7	
性	siən5	
怨	uɛ̃5	
怪	kua5	
怯	cʰiɛ7	
怱	tsʰən1	
怱	tsʰuən1	又
總	tsən3	
戀	nĩ5	
恐	kʰən3	
恆	ʝiɛ̃2	
恕	ʂʯ5	
恢	xuai1	
恤	si7	
恨	ʝiɛ̃6	
恩	ɲiɛ̃1	
恭	kən1	
息	si7	
懇	cʰiɛ̃3-	
懇	kʰən3=	
恶	ʊ7	善～；厌～
惱	lau3	
悄	tsʰiau3	
悉	si7	
悔	xuei5	
悟	u6	
悟	ŋʊ6	又
悠	iɯ1	
患	ɣuã6-	
患	xuã5=	
悅	uɛ7	
懸	ɣuɛ̃2	
憫	miən3	
悲	pai1	
情	dziɔ̃2-	
情	dziən2=	
驚	ciən1	
惑	xuɛ7	
惜	si7	
惟	uei2	
惠	ɣuei6	
懼	dʯ6	
慘	tsʰã3	
慚	dzã2	
慣	kuã5	
惰	dʊ6-	
惰	tʊ5=	
想	siaŋ3	
惹	ɲiɔ̃3	
愁	dzai2	
愈	ʯ5	
愉	ʯ1	
意	i5	
愚	ɳʯ2	
感	kã3	
憤	xuən5	
愧	kʰuei5	
愼	ʝiən6	
願	uɛ̃6	
慈	dzɿ2	
慌	xaŋ2	
慕	mʊ6	
慢	mã6	
慧	ɣuei6	
慨	kʰuai5	
慰	uei5	
慷	kʰaŋ3	
憎	tsiɛ̃1	
懂	tən3	
懈	ɣa6-	
懈	ʝia6=	
懊	ŋau5	～恼
懶	nã3	
懵	maŋ3	
戈	kʊ1	
戊	u6	
戌	si7	
戍	ʂʯ5	
戎	iən2	
戲	çi5	
成	dən2	
我	ŋ̍3-	
我	ŋʊ3=	
戒	ka5	
或	xuɛ7	
戰	tiɛ̃5	
戚	tsʰi7	
戟	ci7	
截	tsʰiɛ5	
戳	tsʰʊ7	
戴	ta5	
戶	βu6-	
戶	ɸu5=	
戽	ɸu5	～水
房	ɣaŋ2	
所	sʊ3	
扁	pĩ3	
扇	siɛ̃5	
手	siɯ3	
才	dzai2	人～
扎	tsa7	用针～
扑	pʰʊ7	
打	ta3	
托	tʰʊ7	
扛	kaŋ5	
扣	kʰai5	
執	tʂʅ7	
擴	kʰʊ7	
掃	sau3	～地
掃	sau5	～帚
揚	iaŋ2	
扭	ɲiɯ3	
扮	pã5	～禾
扮	pʰã5	打～
扯	tʰɔ3	
擾	iau3	
扳	pã1	
扶	βu2	
批	pʰi1	
扼	ɲiɛ̃7	
找	tsau3	
承	dən2	
技	ɟi6	
抄	tsʰau1	
把	pɔ3	又，～握，一～
把	puɔ3	～握，一～
抑	i7	
抓	tsɔ1	
投	dai2	
抖	tai3	
抗	kʰaŋ5	
折	tiɛ7	～叠；～断
撫	ɸu3	
抛	pʰau1	
搶	tsʰiaŋ3	
護	βu6-	
護	ɸu5=	
報	pau5	
披	pʰi1	
抬	dai2	
抱	bau6	
抵	ti3	
抹	mɔ̃7	又，～布
抹	muɔ̃7	～布
押	ia7	
抽	tʰiɯ1	
抿	miən3	
擔	tã1	～任
擔	tã5	挑～
拆	tsʰɔ7-	～开
拆	tsʰiɛ7	
拇	mʊ3	
拈	ɲĩ1	～起来
拉	la1	
拌	biɛ̃6	
拐	kua3	
拒	dʯ6	
拔	pʰa5	
拖	tʰʊ1	
拘	tʯ5	
拙	tuɛ7	
招	tau1	
拜	pa5	
擬	ɲĩ3	
攏	nən3	
揀	kã3	
擁	iən5	
攔	nã2	
撥	piɛ7	
擇	tsʰiɛ7	
括	kua7	包～
拱	kən3	～手
拳	duɛ̃2	
拴	suã1	
拼	pʰiɛ̃5-	～命
拼	pʰiən5=	～命
拾	ʂʅ5	捡～
