#漢字	音標	解釋
□	tiɛ̃3	~子:毽子
映	ieɲ3	
昧	məʔ8	
昨	tsɔʔ8	
昭	tsɑ1	
是	sɿ6	
晝	tsəɯ3	
顯	ɕiɛ̃3	
晃	xuɑ̃1	
晉	tɕieɲ3	
晌	ɕiɑ̃3	
晏	iɛ̃3	
晚	uæ̃3	
晨	sᴇɲ2	
普	pʰʊ3	
景	tɕieɲ3	
暫	tsæ̃6	
暇	ɕiɑ6	
暑	ɕy3	
暮	məɯ6	
曆	liəʔ8	农~
曰	yəʔ8	
曲	tɕʰiɔʔ7	
曾	tsᴇɲ1	~经
朋	pʰᴇɲ2	
朔	sɔʔ7	
朗	lɑ̃6	
望	uɑ̃6	希~
未	uei6	
末	məʔ8	
朴	pʰɔʔ7	
朽	ɕiəɯ3	
雜	tsəʔ8	
權	tɕʰyɛ̃2	
杆	kæ̃3	
杜	tʊ6	
杞	tɕi6	
束	sɔʔ7	
杭	xɑ̃2	
杰	tɕiəʔ8	
極	tɕiəʔ8	
枇	pʰi2	
枉	uɑ̃3	
樞	tɕʰy1	
枯	kʊ1	
某	məɯ3	
柔	tsʰəɯ2	
査	tsʰɑ2	
柬	tɕiɛ̃3	
柱	tɕy6	
柴	tsʰɛ2	
棧	tsæ̃6	
栖	ɕi1	
校	tɕiɑ3	上~
校	ɕiɑ6	学~
株	tɕy1	
核	xəʔ8	~对
栽	tsɛ1	
桂	kuei3	
桐	tʰɔm2	
桓	xuæ̃2	
樺	xuɑ2	
檜	kuei3	
梓	tsɿ1	
梢	ɕiɑ1	
械	ɕiɛ6	
檢	tɕiɛ̃3	
棒	pɑ̃6	
棠	tʰɑ̃2	
森	sᴇɲ1	
棵	kʰʊ1	
植	tsəʔ8	
椿	tɕʰyɛ̃2	
楷	tɕʰiɛ1	
概	kɛ3	
欖	læ̃3	
楡	y2	
槐	xuɛ2	
檳	pieɲ1	
模	məɯ2	~范
樵	tɕiɑ1	
橄	kæ̃3	
橙	tsʰᴇɲ2	
橝	tʰæ̃2	
橡	ɕiɑ̃6	
次	tsʰɿ3	
欣	ɕieɲ1	
歐	əɯ1	
欲	y6	
歉	tɕʰiɛ̃3	
此	tsʰɿ3	
步	pʊ6	
歪	xuɛ1	
歷	liəʔ8	~来
殲	tɕʰiɛ̃1	
殃	iɑ̃1	
殉	ɕyɛ̃3	
殊	tɕy6	
殘	tsʰæ̃2	
殖	tsəʔ8	
毆	əɯ1	
段	tuæ̃6	
毅	ȵi6	
母	məɯ3	
毡	tsæ̃3	
氏	sɿ6	
永	yɛ̃3	
漢	xæ̃3	~族
汝	y3	
汞	kɔm3	
江	kɑ̃1	1
江	tɕiɑ̃1	2
污	ʊ1	
汪	uɑ̃1	
汴	piɛ̃6	
沂	i2	
沃	ɑ3	
沈	sᴇɲ3	
沛	pʰei3	
沒	məʔ8	
淪	lᴇɲ2	
滬	ʊ6	
沫	məʔ8	
沼	tsɑ1	
沾	tsæ̃1	
沿	iɛ̃2	
泉	tɕʰiɛ̃2	
泌	mi3	
法	fəʔ7	
泛	fæ̃3	
泣	tɕʰiəʔ7	
泰	tʰɛ3	
泳	yɛ̃3	
瀉	ɕiᴇ3	
澤	tsəʔ8	
潔	tɕiəʔ7	
洛	lɔʔ8	
津	tɕieɲ1	
活	uəʔ8	
洼	uɑ1	
洽	ɕiəʔ8	
濁	tɕiɔʔ8	
濟	tɕi3	
滸	xʊ3	
浜	pɑ̃1	
浦	pʰʊ3	
浩	xɑ6	
消	ɕiɑ1	
涉	tsəʔ8	
濤	tʰɑ1	
澇	lɑ2	
潤	lᴇɲ6	
澗	tɕiɛ̃1	
涯	iɑ2	
液	iəʔ8	
淆	iɑ3	
淑	ɕiɔʔ7	
淤	y1	
淫	ieɲ2	
淮	xuɛ2	
深	sᴇɲ1	
淹	iɛ̃3	
淵	yɛ̃1	
漸	tɕiɛ̃6	
渠	tɕʰy2	~道
渡	tʊ6	
渴	kʰəʔ7	
渺	miɑ3	
溼	səʔ7	
潰	kuei6	
溉	kɛ3	
準	tɕyɛ̃3	2~备
滂	pʰɑ̃2	
滋	tsʰɿ2	
滑	xuəʔ8	
滔	tʰɑ1	
滯	tsɿ3	
演	iɛ̃3	
漫	mæ̃6	
潘	pʰæ̃1	
潛	tɕʰiɛ̃2	
澄	tsʰᴇɲ2	
澡	tsɑ3	
澳	ɑ3	
激	tɕiəʔ7	
瀑	pɑ6	
灌	kuæ̃3	
灰	xuei1	
燦	tsʰɛ3	
炎	iɛ̃2	
炕	kʰɑ̃1	
炸	tsɑ3	~弹
烈	liəʔ8	
烙	lɔʔ8	
焉	iɛ̃2	
煥	xuæ̃3	
焙	pei6	
焚	fᴇɲ2	
然	iɛ̃2	
熄	ɕiəʔ7	
熔	iɔm2	
煕	ɕi1	
燎	liɑ2	
燕	iɛ̃3	~子
爆	pɑ6	
愛	ɛ3	
爵	tɕʰiəʔ7	
父	fʊ6	
牧	mɔʔ8	
物	uəʔ8	
特	təʔ8	
犧	ɕi1	
犀	tɕʰi1	
犬	tɕʰyɛ̃3	
猶	iəɯ2	
狄	tʰiəʔ8	
狐	ʊ2	
狡	tɕiɑ1	
獨	tɔʔ8	
猝	tsəʔ7	
猬	uei6	
獻	ɕiɛ̃3	
猴	xəɯ2	
猾	uəʔ8	
玄	ɕyɛ̃2	
率	ɕyɛ3	~领
率	liəʔ8	效~
玩	uæ̃6	
環	xuæ̃2	
璽	ɕi3	
珊	sæ̃1	
琉	liəɯ2	
瑣	sʊ3	
琢	tɕiɔʔ7	
琵	pʰi2	
瓊	tɕʰiɔm2	
瑕	ɕiɑ2	
瑞	tsʰuei6	
璧	piəʔ7	
瓜	kuɑ1	
瓣	pʰæ̃3	
甌	əɯ1	
瓷	tsʰɿ2	
甚	sᴇɲ6	
生	sᴇɲ1	
生	sᴇɲ1	医~
甫	pʰʊ3	
甬	iɔm3	
甲	tɕiəʔ7	~乙丙丁
電	tiɛ̃6	
暢	sɑ̃3	
界	kɑ3	
界	tɕiɛ3	
畏	uei3	
畜	ɕiɔʔ7	~牧
略	liɑ6	
畦	ɕi1	
番	fæ̃1	
疆	tɕiɑ̃1	
疏	sʊ1	
疑	ȵi2	
療	liɑ6	
瘧	ȵiɔʔ8	
瘍	iɑ̃3	
疥	kɑ3	
疫	yəʔ8	
疲	pʰi2	
疹	tsᴇɲ3	
疼	tʰᴇɲ2	
疾	tɕiəʔ8	
症	tsᴇɲ3	
痕	xᴇɲ2	
痢	li6	
痹	pʰi3	
瘸	tɕiɑ2	
登	tᴇɲ1	
的	tiəʔ7	目~
皆	tɕiɛ1	
皖	uæ̃3	
盂	y2	
盈	ieɲ2	
益	iəʔ7	
鹽	iɛ̃2	
盛	sᴇɲ6	兴~
盟	mieɲ2	
盡	tɕieɲ6	
盲	mɑ̃2	
盼	pʰæ̃3	
省	sᴇɲ3	反~
看	kʰᴇɲ3	2
看	kʰæ̃3	
眨	tsɑ1	
眶	kʰuɑ̃1	
眷	tɕyɛ̃3	
睡	tsʰuei6	
督	tɔʔ7	
睬	tsʰɛ3	
瞭	liɑ3	~解
瞳	tʰɔm2	
瞻	tsæ̃3	
瞿	tɕʰy2	
矛	məɯ2	
矢	sɿ1	
知	tsɿ1	
矯	tɕiɑ3	
礦	kʰuɑ̃3	
砍	kʰæ̃3	
硏	ȵiɛ̃2	~究
硯	iɛ̃3	
硫	liəɯ2	
鹼	tɕiɛ̃3	
磁	tsʰɿ2	
磷	lieɲ2	
祀	sɿ6	
祁	tɕʰi2	
祥	tɕʰiɑ̃2	
稟	pieɲ3	
祿	lɔʔ8	
禪	tsʰæ̃2	~宗
禹	y3	
禽	tɕʰieɲ2	
秉	pieɲ3	
秕	pi3	
秘	pi3	~密
秘	mi3	~书
秩	tsəʔ8	
移	i2	
穢	suei3	
稀	ɕi1	
稍	ɕiɤ̞1	
稚	tsʰɿ2	
稠	tsʰəɯ2	
穩	uᴇɲ3	
稻	tɑ6	
稼	tɕiɑ3	
稽	tɕi3	
穆	mɔʔ8	
穗	suei6	
究	tɕiəɯ3	研~
突	təʔ8	
窗	tɕʰyɑ̃1	
窩	ʊ1	
窺	kuei1	
站	tsæ̃6	车~
競	tɕieɲ3	
竟	tɕieɲ3	
童	tʰɔm2	
篤	tɔʔ7	
笙	sᴇɲ1	
箋	tɕʰiɛ̃1	
筏	fəʔ8	
筐	kʰuɑ̃1	
筑	tɕiɔʔ7	建~
策	tsʰəʔ7	
筷	kʰuɛ3	
簡	tɕiɛ̃3	
範	fæ̃6	
篡	tsʰæ̃1	
簧	uɑ̃2	
米	mi3	
类	nei6	
粵	yəʔ8	
粱	liɑ̃2	
粳	kᴇɲ3	
粹	tsʰuei3	
糜	mi2	
系	ɕi6	~统
累	luei3	~积
累	luei3	劳~
累	luei3	连~
繁	fæ̃2	
纔	tsʰɛ2	
糾	tɕiəɯ1	
級	tɕiəʔ7	
紀	tɕi3	~律
紉	lᴇɲ3	
緯	uei6	
綱	kɑ̃1	
納	nəʔ8	
縱	tsɔm3	
紛	fᴇɲ1	
組	tsʊ3	
絆	pæ̃6	
紹	sɑ6	介~
繪	kuei6	
給	tɕiəʔ7	
絡	lɔʔ8	
絹	tɕyɛ̃1	
繼	tɕi3	
績	tɕiəʔ7	
緖	ɕy6	~塘:地名
緖	tɕy1	光~
緖	tɕy6	情~
續	tsɔʔ8	
綽	tsʰəʔ7	
維	fi12	
綿	miɛ̃2	
綜	tsɔm3	
綴	tɕyəʔ7	
緬	miɛ̃6	
纜	læ̃3	
緝	tɕʰiəʔ7	通~
緞	tuæ̃6	
緩	uæ̃3	
縷	liəɯ3	
纓	ieɲ1	
繮	tɕiɑ̃1	
罐	kuæ̃3	
罕	xæ̃2	
罰	fəʔ8	
罷	pɑ6	~工
罪	tsuei6	
置	tsɿ3	
署	ɕy3	
羌	tɕʰiɑ̃1	
美	mei3	
羞	ɕiəɯ3	
羡	tɕiɛ̃6	
羣	tɕʰyɛ̃2	
羽	y3	
翁	ɔm1	
翅	tsɿ1	
翠	tsʰuei3	
翡	fi3	
翰	xæ̃6	
翼	iəʔ8	
耀	iɑ6	
老	lɑ3	~师
者	tɕiɛ3	
而	əɯ2	
耳	əɯ3	
耶	iɑ2	
恥	tsʰɿ3	
耿	kᴇɲ3	
聶	ȵiəʔ8	
聊	liɑ2	
肄	i2	
肋	ləʔ8	
肌	tɕi1	
肢	tsɿ1	
肤	fʊ1	
肪	fɑ̃3	
骯	ɑ̃1	
育	iɔʔ7	
肴	iɑ3	
腎	sᴇɲ6	
脅	ɕiəʔ8	
胃	uei6	
膽	tæ̃3	
勝	sᴇɲ3	~利
胳	kəʔ7	
能	lᴇɲ2	
脂	tsɿ1	
脆	tsʰuei3	
脯	pʰʊ3	果~
臉	liɛ̃3	
脾	pʰi2	
腋	iəʔ8	
腐	fʊ3	
腑	fʊ3	
腕	uæ̃3	
腹	fɔʔ8	
騰	tʰᴇɲ2	
膝	ɕiəʔ7	
膨	pʰæ̃2	
膳	ɕiɛ̃6	
臀	tʰᴇɲ2	
臂	pi3	
臟	tsɑ̃1	
致	tsɿ3	
臻	tsᴇɲ1	
舍	ɕiᴇ3	宿~
舜	ɕyɛ̃3	
航	xɑ̃2	
般	pæ̃1	
艦	tɕiɛ̃3	
船	tɕʰyɛ̃2	
艇	tʰieɲ3	
良	liɑ̃2	
艱	tɕiɛ̃1	
艳	iɛ̃3	
藝	ȵi6	
芒	mɑ̃2	~种
芝	tsɿ1	
芥	kɑ3	
芬	fᴇɲ1	
芭	pɑ1	
芳	fɑ̃1	
芹	tɕʰieɲ2	
葦	uei3	
蒼	tsʰɑ̃1	
苏	sʊ1	
若	iɔʔ8	
茂	məɯ6	
范	fæ̃6	姓
茄	tɕʰiᴇ2	~子
茄	tɕiɑ1	番~
塋	ieɲ2	
茫	mɑ̃2	
荀	ɕieɲ3	
荆	tɕieɲ3	
薦	tɕiɛ̃3	
榮	iɔm2	
滎	ieɲ2	
莫	mɔʔ8	
获	xuəʔ8	
鶯	ieɲ1	
蓴	ɕyɛ̃2	
莽	mɑ̃3	
菌	tɕyɛ̃3	
萌	mieɲ2	
萎	uei3	
螢	ieɲ2	
著	tɕy3	
董	tɔm3	
蔣	tɕiɑ̃3	
蒙	mɔm2	
蒯	kʰuɛ3	
蓄	ɕiɔʔ7	
蓖	pi3	
蓬	pʰɔm2	
蔡	tsʰɛ3	
蔬	sʊ1	
蔽	pi6	
蕨	tɕyəʔ7	
薄	tsᴇɲ1	
薄	pɔʔ8	
薛	ɕiəʔ7	
