#漢字	音標	解釋
㒼	maŋ2	亞㒼:勉強;差強人意
伸	sɐŋ1	
伺	si2	窺伺
伺	tsʰi2	伺候
似	tsʰi3	
伽	kʰɛ2	伽藍
伽	ka1	瑜伽
佃	tʰiŋ2	佃作
佃	tiŋ2	佃農
但	taŋ2	
佇	tsʰi3	
佈	pou5	
位	ʋɐi2	
低	tɐi1	
住	tsi2	
佐	tsɔ3	
佑	jɐu2	
佔	tsim5	
何	hɔ2	
佗	tʰɔ2	
佘	sɛ2	
余	ji2	
佚	jɐk8	
佛	fɐk8	佛教
佛	fɐk7a	仿佛
作	tsɔk7b	
佞	nɪŋ2	
佟	tʰʊŋ2	
你	nei3	
佣	jʊŋ2	
佣	jʊŋ1	
佩	pʰui5	
佬	lou3	
佰	pak7b	
佳	kai1	
併	pɪŋ5	合併
使	sɐi3	使用
使	si3	使者
侃	hɔŋ3	
侄	tsɐk8	
來	lɔi2	
侈	tsʰi3	
侉	kʰʷa3	
例	lɐi2	
侍	si2	
侏	tsi1	
侖	lɐŋ2	
侗	tʊŋ2	倥侗
侗	tʊŋ2	
侗	tʊŋ2	侗族
供	kʊŋ1	提供
供	kʊŋ5	供奉
依	ji1	
侮	mou3	
侯	hɐu2	
侵	tsʰɐm1	
侶	lui3	
便	piŋ2	便利;文讀:便利
便	pʰiɐŋ2	大腹便便;白讀:便宜
係	hɐi2	
促	tsʰʊk7a	
俄	ŋɔ2	
俊	tsɐŋ5	
俎	tsɔ3	
俏	tsʰiu5	
俐	lei2	
俑	jʊŋ3	
俗	tsʊk8	
俘	fu1	
保	pou3	
俟	si2	
俠	hap8	
信	ɬɐŋ5	
信	sɐŋ5	
修	ɬɐu1	
修	sɐu1	
俯	fu3	
俱	kui2	傢俱
俱	kʰui1	俱樂部
俸	fʊŋ2	
俾	pei3	
倆	liøŋ3	
倉	tsʰɔŋ1	
個	kɔ5	
倌	kuŋ1	
倍	pʰui3	
倏	sʊk7a	
們	muŋ2	
倒	tou3	
倒	tou5	
倒	tʰiau3	訓讀:打翻液體/倒出液體
倒	tʰiɐu3	訓讀:打翻液體/倒出液體
倔	kʷɐk8	
倖	hɐŋ2	
倘	tʰɔŋ3	
候	hɐu2	
倚	ji3	
倜	tʰɪk7a	
借	tsɛ5	
倡	tsʰiøŋ1	倡優
倡	tsʰiøŋ1	
倣	fɔŋ3	
倦	kiŋ2	
倩	siŋ2	
倪	ŋɐi2	
倫	lɐŋ2	
倭	ʋɔ1	
值	tsɪk8	
假	ka3	假如
假	ka5	放假;假期
偈	kɐi3	
偉	ʋɐi3	
偎	ʋui1	
偎	wui1	
偏	pʰiŋ1	
偕	kai1	
做	tsou2	
做	tsou5	
停	tʰɪŋ2	
健	kiŋ2	
健	kiŋ5	
側	tsɐk7a	
偵	tsɪŋ1	
偶	ŋɐu3	
偷	tʰɐu1	
傀	kʷɐi3	傀儡
傅	fu2	師傅
傅	fu2	傅粉施朱
傍	pɔŋ2	仿佛;傍身
傍	pʰɔŋ2	彷徨
傑	kik8	
傘	saŋ5	
傘	saŋ3	
備	pei2	
傢	ka1	
傣	tai3	
傣	tʰai5	
催	tsʰui1	
傭	jʊŋ2	
傲	ŋou2	
傳	tsʰiŋ2	傳播
傳	tsiŋ2	自傳
債	tsai5	
傷	siøŋ1	
傻	sɔ2	
傾	kʰɪŋ1	
僅	kɐŋ3	
僉	tsʰim1	
像	tsiøŋ2	
僑	kʰiu2	
僕	pʰʊk7b	
僚	liu2	
僞	ŋɐi2	
僥	jiu2	僬僥,短人,西南夷別名
僥	hiu3	僥倖
僧	tsɐŋ1	
僭	tsim5	
僮	tʰʊŋ2	書僮
僮	tsɔŋ2	僮族;〔~族〕:壯族
僱	ku5	
僵	kiøŋ1	
價	ka5	
僻	pʰɪk7a	
儀	ji2	
儂	nʊŋ2	
億	jɪk7a	
儆	kɪŋ3	
儉	kim2	
儒	ji2	
儘	tsɐŋ3	儘管
儘	tsɐŋ2	儘量
償	siøŋ2	
儡	lui3	
優	jɐu1	
儲	tsʰi3	
儸	lɔ2	
儼	jim3	
兀	ŋɐk8	
允	ʋɐŋ3	
元	jiŋ2	
兄	hɪŋ1	
充	tsʰʊŋ1	
兆	tsiu2	
兇	hʊŋ1	
先	ɬiŋ1	
先	siŋ1	
光	kɔŋ1	
克	hɐk7a	
兑	tui5	
免	miŋ3	
兒	ȵi2	
兔	tʰou5	
兗	jiŋ3	
兜	tɐu1	
兢	kɪŋ1	
入	ȵɐp8	
入	jɐp8	
内	nɔi2	
全	tsʰiŋ2	
兩	liøŋ3	兩個
兩	liøŋ3	十兩
八	pak7b	
公	kʊŋ1	
六	lʊk8	
兮	hɐi2	
共	kʊŋ2	
兵	pɪŋ1	
其	kʰei2	
具	kui2	
典	tiŋ3	
兼	kim1	
冀	kʰei5	
冉	jim3	
册	tsʰak7b	
再	tsɔi5	
冑	tsɐu2	
冒	mou2	冒犯
冕	miŋ3	
冗	jʊŋ3	
冠	kuŋ1	衣冠
冠	kuŋ5	冠軍
冢	tsʊŋ3	
冤	jiŋ1	
冥	mɪŋ2	
冪	mɪk8	
冬	tʊŋ1	
冰	pɪŋ1	
冶	jɛ3	
冷	laŋ3	
冷	lɛ3	『口語,表示人少,冷清或者生意蕭條;借自雷州話』
冼	ɬiŋ3	
冼	siŋ3	
冽	lik8	
凄	tsʰɐi1	
準	tsɐŋ3	
凋	tiu1	
凌	lɪŋ2	
凍	tʊŋ5	
凜	lɐm3	
凝	ȵɪŋ2	文讀
凝	jɪŋ2	文讀
凝	kʰɪŋ2	白讀
几	kei3	
凡	faŋ2	
凰	ʋɔŋ2	
凱	hɔi3	
凳	tɐŋ5	
凶	hʊŋ1	
凸	tɐk8	
凹	nɐp7a	
出	tsʰɐk7a	
函	ham2	
刀	tou1	
刁	tiu1	
刃	ȵɐŋ2	
刃	jɐŋ2	
分	fɐŋ1	分開
分	fɐŋ2	本分
切	tsʰɐi5	一切
切	tsʰik7b	急切
刊	hɔŋ3	
刎	mɐŋ3	
刑	jɪŋ2	
划	ʋak8	划船
划	ʋak8	划算
列	lik8	
初	tsʰɔ1	
判	pʰuŋ5	
别	pik8	
刨	pʰau2	
利	lei2	
删	saŋ1	
刮	kʷak7b	
到	tou5	
制	tsɐi5	
刷	tsʰak7b	
券	kiŋ5	
刺	tsʰi5	
刻	hɐk7a	
刴	tiøk7b	
剃	tʰɐi5	
則	tsɐk7a	
削	ɬiøk7b	
削	siøk7b	
剋	hɐk7a	
剌	lak8	
前	tsʰiŋ2	
刹	sak7b	
剔	tʰɪk7a	
剖	fɐu3	解剖
剖	pʰɐu3	剖腹產
剛	kɔŋ1	
剜	ʋuŋ3	
剜	wuŋ3	
剝	mɔk7a	
剩	sɪŋ2	文讀
剩	tsɪŋ2	白讀
剪	tsiŋ3	
剮	kʷa3	
副	fu5	
割	kɔk7b	
創	tsʰɔŋ5	創傷
創	tsʰɔŋ5	創造
剷	tsʰaŋ3	
剿	tsiu3	
劃	ʋak8	
劄	tsak7b	
劇	kʰiak8	
劇	kʰiɐk8	
劈	pʰɪk7a	文讀
劈	pʰiɐk7b	白讀
劈	pʰiak7b	白讀
劉	lɐu2	
劊	kʰui5	
劍	kim5	
劐	ʋɔk8	
劑	tsɐi1	
劖	tsʰam2	
力	lɪk8	
功	kʊŋ1	
加	ka1	
劣	lik8	
助	tsɔ2	
努	nou3	
劫	kip7b	
劭	siu2	
劾	hɐk8	
勁	kɪŋ5	衝勁
勁	kɪŋ2	勁抽
勃	puk8	
勇	jʊŋ3	
勉	miŋ3	
勒	lɐk8	
動	tʊŋ2	
勘	hɐm5	
務	mou2	
勛	fɐŋ1	
勝	sɪŋ5	勝任
勝	sɪŋ5	勝利
勞	lou2	勤勞
勞	lou2	慰勞
募	mou2	
勢	sɐi5	
勤	kʰɐŋ2	
勳	fɐŋ1	
勵	lɐi2	
勸	hiŋ5	
勺	tsiøk7b	
匀	ʋɐŋ2	文讀
匀	jɐŋ2	白讀
勾	ŋɐu1	勾劃
勿	mɐk8	
包	pau1	
匆	tsʰʊŋ1	
匈	hʊŋ1	
匍	pʰou2	
匐	fʊk8	
匕	pei5	
化	fa5	
北	pɐk7a	
匙	si2	鑰匙
匙	tsʰi2	茶匙,湯匙,一本作「瓷」
匠	tsiøŋ5	
匡	kʰʷaŋ1	
匣	hap8	
匪	fei3	
匯	ʋui2	
匯	wui2	
匱	kʰʷɐi5	
匹	pʰɐk7a	
匾	piŋ3	文讀
匾	piɐŋ3	白讀
匿	nɪk8	
匿	nɪk7a	
區	kʰui1	區別
區	ɐu1	區姓;姓氏
十	sɐp8	
千	tsʰiŋ1	
卅	ɬa1	
卅	sa1	
升	sɪŋ1	
午	ŋ̍3	
卉	ʋɐi3	
半	puŋ5	
卑	pei1	
卒	tsɐk7a	士卒;身先士卒
卒	tsʰʊk7a	倉卒
卓	tsʰiøk7b	
協	hip8	
南	nam2	
博	pɔk7b	
卜	pʊk7a	
占	tsim1	占卜
占	tsim5	占領
卡	kʰa1	
卦	kʷa5	
卯	mau3	
印	jɐŋ5	
危	ŋɐi2	
即	tsɪk7a	
卵	liŋ3	卵子
卵	lɐm1	卵脬『陰囊之意』
卷	kiŋ3	試卷
卷	kiŋ3	卷曲
卸	ɬɛ5	
卸	sɛ5	
卻	kʰiøk7b	
卿	hɪŋ1	
厄	ɐk7a	
厄	ak7b	
厘	lei2	
厚	hɐu3	
厝	tsʰou5	
原	jiŋ2	
厥	kʰik7b	
厭	jim5	
厲	lei2	
去	hui5	
厾	tʊk7a	捅、戳
參	sɐm1	人參
參	tsʰam1	參加
參	tsʰɐm1	參差
參	ɬam1	三的大寫
參	sam1	三的大寫
叄	ɬam1	
叄	sam1	
又	jɐu2	
叉	tsʰa1	
及	kɐp8	
友	jɐu3	
反	faŋ3	
叔	sʊk7a	
取	tsʰui3	
受	sɐu2	
叛	puŋ2	
叟	sɐu3	
叢	tsʰʊŋ2	
口	hɐu3	
古	ku3	
句	kui5	
另	lɪŋ2	
叨	tou1	叨擾
叨	tou1	嘮叨
叩	kʰɐu5	
只	tsi3	
叫	kiu5	
召	tsiu2	召喚
召	tsiu2	召南
叭	pʰa1	語氣助詞
叮	tɪŋ1	文讀
叮	tiɐŋ1	白讀
可	hɔ3	可以
可	hɔ3	可汗
台	ji2	古代第一人稱;喜悅,通「怡」
台	tʰɔi1	天台。地名
史	si3	
右	jɐu2	
叵	pʰɔ3	
司	si1	
叼	tiu1	
吁	hui1	吁唏
吃	kɐk7a	口吃;啞吃: 講話結巴
吃	hiɐk7b	吃飯
吃	hiak7b	吃飯
各	kɔk7b	
吆	jiu1	文讀
吆	ʔiɐu1	白讀
合	hɐp8	合格
吉	kɐk7a	
吊	tiu5	
同	tʰʊŋ2	
名	mɪŋ2	文讀
名	miɐŋ2	白讀
后	hɐu2	
吏	lei2	
吐	tʰou5	
向	hiøŋ5	
吒	tsa1	哪吒
吒	tsʰak7b	叱吒
吔	ja1	
君	kʷɐŋ1	
吝	lɐŋ2	
吞	tʰɐŋ1	
吟	ȵɐm2	吟詩
吟	jɐm2	吟詩
吟	ŋɐm2	吟吟沉沉
吠	fɐi2	
吣	tsʰɐm5	
否	fɐu3	否定
否	pʰei3	否極泰來
吧	pa1	酒吧;網吧
吧	pʰa1	語助詞;語氣助詞,同【叭】
吩	fɐŋ1	
含	hɐm2	
吭	hɔŋ2	引吭高歌
吭	hɐŋ1	吭聲
吱	tsi1	
吳	ŋ̍2	
吵	tsʰau3	
呐	nap8	
吸	kʰɐp7a	
吹	tsʰui1	
吻	mɐŋ3	
吼	hɐu5	
吾	ŋ̍2	
呀	a1	
呂	lui3	
呃	ak7a	
呃	ɐk7a	
呆	ŋɔi2	
呆	tai1	
呈	tsʰɪŋ2	
告	kou5	報告
告	kou5	忠告
呢	nɐi2	呢喃
呢	ni1	語氣助詞
周	tsɐu1	
呱	kʷa1	頂呱呱
呱	kʷa1	呱呱墜地
味	mei2	
呵	hɔ1	
呻	sɐŋ1	
呼	fu1	
命	mɪŋ2	文讀:生命
命	miɐŋ2	白讀:攞命
咀	tsui3	
咄	tɐk7a	
咆	pʰau2	
和	ʋɔ2	和諧
和	ʋɔ2	唱和
咎	kɐu5	
咐	fu5	
咒	tsɐu5	
咕	ku1	
咖	ka5	
咚	tʊŋ1	
咦	ji3	
咨	tsi1	
咩	mɛ1	
咪	mi1	
咫	tsi3	
咬	ŋau3	
咯	lɔ1	助詞
咯	kɔk7b	咯咯笑
咳	kʰɐk7a	咳嗽
咸	ham2	
咻	jɐu1	一傅眾咻
咽	jiŋ1	咽喉
咽	jiŋ5	狼吞虎咽
咽	jik7b	哽咽
哀	ɔi1	
品	pʰɐŋ3	
哄	hʊŋ3	哄騙
哄	hʊŋ1	亂哄哄
哄	hʊŋ5	起哄
哇	ʋa1	
哈	ha1	
哉	tsɔi1	
哎	ai1	
哞	mɐu2	
員	jiŋ2	
哥	kɔ1	
哦	ɔ2	吟哦;語氣助詞
哨	sau5	
哩	lei3	英哩
哩	li1	哩嚕
哪	na3	哪裡
哪	na2	天哪;哪吒
哪	na5	哪吒;天哪
哭	hʊk7a	
哮	hau1	
哲	tsik7b	
哺	pou3	
哼	hɐŋ1	哼歌
哼	hŋ̍1	感歎詞
哽	kɐŋ3	
唄	pui5	
唆	sɔ1	
脣	sɐŋ2	
唉	ai1	
唐	tʰɔŋ2	
唔	m̩2	
唧	tsɪk7a	
唬	fu3	
售	sɐu2	
唯	ʋɐi2	唯一
唯	ʋɐi2	唯唯諾諾
唱	tsʰiøŋ5	
唷	jɔ1	
唸	nim2	呻吟
唸	nim2	吟誦
唾	tʰɔ5	
啁	tsɐu1	
啃	hɐŋ3	
啄	tiøk7b	
商	siøŋ1	
啊	a1	
問	mɐŋ2	
啐	tsʰui5	
啓	kʰɐi3	
啕	tʰou2	
啜	tsik7b	
啞	a3	聾啞
啞	a3	嘔啞
啞	a3	啞然而笑
啟	kʰɐi3	
啡	fɛ1	
啤	pɛ1	
啦	la1	
啪	pʰa1	句末語氣助詞
啪	pʰak7a	擬聲字
啼	tʰɐi2	
啾	tsɐu1	
喀	kʰa1	
喂	ʋei3	語氣詞:接電話時第一個講的詞;表疑問
喂	wei3	語氣詞:接電話時第一個講的詞;表疑問
喃	nam2	
善	siŋ2	
喇	la5	喇叭
喉	hɐu2	
喊	ham5	
喋	tip8	
喘	tsʰiŋ3	
喙	fui5	
喚	ʋuŋ2	
喚	wuŋ2	
喜	hei3	
喝	hɔk7b	
喟	ʋɐi2	
喧	hiŋ1	
喧	siŋ1	
喪	ɬɔŋ1	喪事
喪	sɔŋ1	喪事
喪	ɬɔŋ5	喪失
喪	sɔŋ5	喪失
喫	hiɐk7b	
喫	hiak7b	
喬	kʰiu2	
單	taŋ1	單純
單	siŋ2	單姓
喱	lei1	
喲	jɔ1	
喳	tsa1	
喵	miau1	
喻	ji2	
嗅	tsʰɐu5	
嗆	tsʰiøŋ1	食急氣逆
嗆	tsʰiøŋ5	嗆鼻
嗇	sɪk7a	
嗉	ɬou5	
嗉	sou5	
嗎	ma1	助詞
嗎	ma3	嗎啡
嗑	hɐp7b	
嗓	sɔŋ3	
嗖	sɐu1	
嗚	ʋu1	
嗚	wu1	
嗜	si5	
嗟	tsɛ1	
嗡	jʊŋ1	
嗡	ʋʊŋ1	擬聲詞
嗡	wʊŋ1	擬聲詞
嗤	tsʰi1	
嗦	ɬɔk7b	動詞:吸
嗦	sɔk7b	動詞:吸
嗦	sɔ1	囉嗦
嗨	hai1	
嗨	hɐi1	
嗯	ŋ̍2	
嗶	pi1	擬聲字
嗽	ɬɐu5	
嗽	sɐu5	
嘀	tik7a	擬聲:嘀嗒
嘆	tʰaŋ5	
嘈	tsʰou2	
嘉	ka1	
嘍	lɐu2	
嘎	kak7b	
嘔	ɐu3	嘔吐
嘔	ɐu5	嘔氣
嘖	tsak7b	
嘗	siøŋ2	
嘛	ma2	喇嘛
嘟	tu1	
嘩	ʋa1	
嘮	lou2	
嘯	ɬiu5	
嘯	siu5	
嘰	kei1	
嘲	tsau1	
嘴	tsui3	
嘶	si1	
嘹	liu2	
嘻	hei1	
嘿	hei1	嘿嘿
嘿	mɐk8	通「默」
嘘	hui1	噓寒問暖
噢	ɔ1	
噦	ʋɐi5	
噦	jik8	
器	hei5	
噩	ɔk7b	
噪	tsʰou5	
噬	sɐi2	
噴	pʰɐŋ5	
噸	tɐŋ1	
噹	tɔŋ1	
嚀	nɪŋ2	
嚅	ji2	
嚇	hak7b	
嚎	hou2	
嚏	tʰɐi5	
嚐	siøŋ2	
嚕	lou1	
嚥	jiŋ5	
嚨	lʊŋ2	
嚮	hiøŋ5	
嚴	jim2	
嚼	tsiøk7b	
嚼	ȵai5	訓讀:咀嚼
囂	hiu1	
囈	ŋɐi2	
囉	lɔ1	囉嗦
囉	lɔ2	嘍囉
囊	nɔŋ2	
囑	tsʊk7a	
囚	tsʰɐu2	
四	ɬei5	
四	sei5	
回	ʋui2	
回	wui2	
因	jɐŋ1	
囤	tʰiŋ2	
囱	tʰʊŋ1	
囫	fɐk7a	
困	kʰʷɐŋ5	
固	ku5	
囿	jɐu2	
圃	pʰou3	
圄	ji3	
圇	lɐŋ2	
圈	hiŋ1	圓圈
國	kɔk7b	
圍	ʋɐi2	
園	jiŋ2	
圓	jiŋ2	
圖	tʰou2	
團	tʰiŋ2	
圜	ʋaŋ2	環繞
圜	jiŋ2	天體;圓、圓形
土	tʰou3	
在	tsɔi2	
圭	kʷɐi1	
圮	pʰei3	
地	tei2	
圳	tsɐŋ5	
圾	ɬap7b	
圾	sap7b	
址	tsi3	
坂	paŋ3	
均	kʰʷɐŋ1	
坊	fɔŋ1	街坊
坊	fɔŋ2	堤坊;防範、防止,通「防」
坍	tʰaŋ1	
坎	hɐm5	
壞	pʰui1	同「坯」
坐	tsɔ2	文讀
坐	tsʰɔ3	白讀
坑	haŋ1	
坡	pʰɔ1	
坤	kʰʷɐŋ1	
坦	tʰaŋ3	
坪	pʰɪŋ2	
坯	pʰui1	
坳	au5	
坷	hɔ3	
坼	tsʰak7b	
垂	sui2	
垃	lap8	
型	jɪŋ2	
垜	tɔ3	
垠	ŋɐŋ2	
垢	kɐu5	
垣	ʋuŋ2	
垣	wuŋ2	
垮	kʰʷa1	
垻	pa5	
埂	kɐŋ3	
埃	ai1	
埋	mai2	
城	sɪŋ2	
埔	pʰou3	
埕	tsʰɪŋ2	
域	ʋɪk8	
埠	fɐu2	商埠,外埠
埠	pou2	船埠,埠頭
埡	a5	
埯	ɐm1	同“垵”,量詞,表示數量“一點兒”
執	tsɐp7a	
培	pʰui2	
基	kei1	
堂	tʰɔŋ2	
堅	kiŋ1	
堆	tui1	
堊	ɔk7b	
堡	pou3	
堤	tʰɐi2	
堪	hɐm1	
堯	jiu2	
堰	jiŋ5	
報	pou5	
場	tsʰiøŋ2	
堵	tou3	
塊	fai5	
塋	jɪŋ2	
塌	tʰap7b	
塑	ɬɔk7b	
塑	sɔk7b	
塔	tʰap7b	
塗	tʰou2	
塘	tʰɔŋ2	
塚	tsʊŋ3	
塞	sɐk7a	塞車
塞	tsʰɔi5	塞外
塞	tʰɐk7a	訓讀:阻礙、阻塞
塢	ʋu1	山塢
塢	wu1	山塢
填	tʰiŋ2	
塭	ʋɐŋ1	
塵	tsʰɐŋ2	
塹	tsʰim5	
塾	sʊk8	
境	kɪŋ3	
墅	sui3	
墅	sui2	
墊	tʰim3	
墓	mou2	
墜	tsui2	
增	tsɐŋ1	
墟	hui1	
墨	mɐk8	
墩	tɐŋ1	
墩	tɐŋ3	語保赤坎老男音
墮	tɔ2	
墳	fɐŋ2	
墾	hɐŋ3	
壁	pɪk7a	
壅	jʊŋ1	文讀
壅	ʊŋ1	白讀:埋
壇	tʰaŋ2	
壑	hɔk7b	
壓	ak7b	
壕	hou2	
壘	lui3	堡壘
壘	lɐk8	神荼鬱壘;鬱壘
壚	lou2	
壞	ʋai2	
壟	lʊŋ3	
壤	jɔŋ3	
壩	pa5	
士	si2	
壬	jɐm2	
壯	tsɔŋ5	
壹	jɐk7a	
壺	fu2	
壽	sɐu2	
夏	ha2	
夔	kʰʷɐi2	
夕	tsɪk8	
外	ŋɔi2	
夙	ɬʊk7a	
夙	sʊk7a	
多	tɔ1	
夜	jɛ2	
够	kɐu5	
夢	mʊŋ2	
夥	fɔ3	
大	tai2	
天	tʰiŋ1	
太	tʰai5	
夫	fu1	農夫
夫	fu2	古代指示詞、代詞、助詞
夭	jiu1	
央	jiøŋ1	
夯	hɐŋ1	
失	sɐk7a	
夷	ji2	
夸	kʰʷa1	
夾	kap7b	夾硬;夾萬
夾	kiap8	文讀
夾	kiɐp8	文讀
奄	jim3	奄奄一息
奄	jim3	奄有
奇	kʰei2	奇怪
奇	kei1	奇數
奈	nɔi2	
奉	fʊŋ2	
奎	kʰʷɐi2	
奏	tsɐu5	
奐	ʋuŋ2	
奐	wuŋ2	
契	kʰɐi5	契約
契	kʰɐi5	契丹
契	kʰɐi5	殷商的始祖
奔	pɐŋ1	
奕	jɪk8	
套	tʰou5	
奘	tsɔŋ2	
奚	hɐi2	
奠	tiŋ2	
奢	tsʰɛ1	
奢	sɛ1	白讀,表「奢望」
奧	ou5	
奩	lim2	
奪	tik8	
奮	fɐŋ3	
女	nui3	
奴	nou2	
奶	nai3	
奸	kaŋ1	
她	tʰa1	
奼	tsʰa5	
好	hou3	友好
好	hou5	好客
如	ji2	
妃	fei1	
妄	mɔŋ3	
妊	ȵɐm2	
妊	jɐm2	
妍	jiŋ2	
妒	tou2	
妓	kei2	
妖	jiu1	
妗	kʰɐm3	
妙	miu2	
妝	tsɔŋ1	
妞	nɐu3	
妣	pei3	
妥	tʰɔ3	
妨	fɔŋ2	
妮	nɐi2	
妳	nei3	
妹	mui2	
妹	mui1	對年輕女性的稱呼
妻	tsʰɐi1	
妾	tsʰip7b	
姆	mou3	
姊	tsi3	
始	tsʰi3	
姗	saŋ1	
姐	tsɛ3	姐妹
姐	tsɛ1	口語/稱謂
姑	ku1	
姒	tsʰi3	
姓	ɬɪŋ5	
姓	sɪŋ5	
委	ʋɐi1	虛與委蛇,委委佗佗;委委佗佗
委	ʋɐi3	委託
姘	pʰɪŋ1	
姚	jiu2	
姜	kiøŋ1	
姣	kau3	姣好
姣	hau2	發姣
姥	lou3	天姥
姥	lou3	姥姥
姦	kaŋ1	
姨	ji2	姨媽
姨	ji1	姨仔/細姨/阿姨
姪	tsɐk8	
姬	kei1	
姻	jɐŋ1	
姿	tsi1	
威	ʋɐi1	
娃	ʋa1	
娑	sɔ1	
娓	mei3	
娘	niøŋ2	
娛	ji2	
娜	nɔ2	婀娜
娜	na2	安娜
娟	kiŋ1	
娠	sɐŋ2	妊娠
娠	sɐŋ1	妊娠
娣	tɐi2	
娥	ŋɔ2	
娩	miŋ3	
娶	tsʰui3	
娼	tsʰiøŋ1	
婆	pʰɔ2	
婉	jiŋ3	
婉	ʋuŋ3	
婊	piu3	
婚	fɐŋ1	
婢	pʰei3	
婦	fu3	文讀
婦	pʰou3	白讀
婪	lam2	
婷	tʰɪŋ2	
婺	mou2	
婿	ɬɐi5	
婿	sɐi5	
媒	mui2	
媚	mei2	
媧	ʋɔ1	
媲	pʰei5	
媳	sɪk7a	
媽	ma1	
媾	kɐu5	
嫁	ka5	
嫂	ɬou3	
嫂	sou3	
嫉	tsɐk8	
嫌	him2	
嫖	pʰiu2	
嫗	ji3	
嫡	tɪk8	
嫣	jiŋ1	
嫦	siøŋ2	
嫩	niŋ2	
嫲	ma2	
嫻	haŋ2	
嫽	liu2	
嬉	hei1	
嬋	sim2	
嬌	kiu1	
嬛	ʋaŋ2	嫏嬛
嬷	ma1	
嬰	jɪŋ1	
嬸	sɐm3	
孀	siøŋ1	
子	tsi3	
孑	kʰik7b	
孓	kʰik7b	
孔	hʊŋ3	
孕	jɐŋ2	
字	tsi2	
存	tsʰiŋ2	
孚	fu1	
孜	tsi1	
孝	hau5	
孟	maŋ2	
孢	pau1	
季	kʷɐi5	
孤	ku1	
孩	hai2	
孫	ɬiŋ1	
孫	siŋ1	
孰	sʊk8	
孳	tsi1	
孵	fu1	
學	hɔk8	
孺	ji2	
孽	nip8	
它	tʰa1	
宅	tsak8	
宇	ji3	
守	sɐu3	
安	ɔŋ1	
宋	ɬʊŋ5	
宋	sʊŋ5	
完	jiŋ2	
宏	hʊŋ2	
宕	tɔŋ2	
宗	tsʊŋ1	
官	kuŋ1	
宙	tsɐu2	
定	tɪŋ2	
宛	jiŋ3	宛然
宛	jiŋ1	大宛
宜	ji2	
客	hak7b	
宣	ɬiŋ1	
宣	siŋ1	
室	sɐk7a	
