#漢字	音標	解釋
㓾	tʂʰʅ2	~鱼:剖鱼
嵌	tɕʰin5	文
嵌	kʰan1	白，~进去
嶸	ʐoŋ2	
嵩	soŋ1	
嶂	tʂaŋ5	
嶙	nin2	
巔	tin1	
巍	uei1	
川	tʂʰʯan1	
州	tʂəu1	
巡	ɕin2	
巢	tsʰau2	
工	koŋ1	
左	tso3	
巧	tɕʰiau3	
巨	tʂʯ5	
鞏	koŋ3	
巫	u1	
差	tʂʰa1	
差	tʂʰai1	出~
差	tsʰɿ1	参~
己	tɕi3	
已	i3	
巳	sɿ6	
巴	pa1	
巷	xaŋ6	
巾	tɕin1	
幣	pei6	
幣	pi6	
市	ʂʅ5	
布	pu5	
帥	ʂʯai5	
帆	fan1	~船
帆	fan2	~布
師	sɿ1	
希	ɕi1	
帳	tʂaŋ5	
帕	pʰa5	
帖	tʰiɛ7	
帘	nin2	
帙	tʂʅ5	
帚	tʂəu3	
帛	po7	
帛	pɛ7	白
幟	tʂʅ7	
帝	ti5	
帶	tai5	
幀	tʂən1	
席	ɕi2	
幫	paŋ1	
帷	uei2	
常	tʂʰaŋ2	新
常	ʂaŋ2	老
幗	kuɛ7	
帽	mau6	
幂	mi7	
幄	o7	
幅	fu7	
幕	mu6	
幛	tʂaŋ5	
幡	fan1	
幢	tʂʯaŋ6	
干	kan1	~静
干	kan5	~活
平	pʰin2	
年	nin2	
并	pin6	文
并	pʰin6	白，~排
幸	ɕin6	
幻	xuan5	
幼	iəu5	
幽	iəu1	
廣	kuaŋ3	
莊	tʂʯaŋ1	
慶	tɕʰin5	
庇	pʰi5	
牀	tʂʰʯaŋ2	文
牀	tsʰaŋ2	白
序	ɕi6	
廬	nəu2	
庫	kʰu5	
應	in5	
底	ti3	
庖	pʰau2	
店	tin5	
廟	miau6	
庚	kən1	
府	fu3	
廢	fei5	
度	təu6	
度	to7	忖~
座	tso6	
庭	tʰin2	
庵	ŋan1	
庶	ʂʯ5	
庶	ʂəu7	
康	kʰaŋ1	
庸	ʐoŋ1	
庹	tʰo7	
廉	nin2	
廊	naŋ2	
廓	ko7	
廓	kʰo7	
廖	niau6	
廩	nin3	
延	in2	
廷	tʰin2	
建	tɕin5	
開	kʰai1	
弁	pin6	
异	i5	
弃	tɕʰi5	
弄	noŋ6	
弈	i5	
弊	pei6	
弊	pi6	
弋	i7	
式	ʂʅ5	
弑	ʂʅ5	
弓	koŋ1	
引	in3	
弗	fu7	
弘	xoŋ2	
弛	tʂʰʅ2	
弟	ti6	
張	tʂaŋ1	
弥	mi2	
弦	ɕin2	
弧	xu2	
弭	mi2	
彎	uan1	
弱	ʐo7	
彈	tʰan2	~琴
彈	tan6	炮~
强	tɕʰiaŋ2	~大
强	tɕiaŋ5	倔~
强	tɕʰiaŋ3	勉~
弼	pi7	
歸	kuei1	
當	taŋ1	~前
當	taŋ5	恰~
录	nəu7	
彗	xuei5	
彝	i2	
形	ɕin2	
彤	tʰoŋ2	
彩	tsʰai3	
彪	piau1	
彬	pin1	
彭	pʰən2	
彰	tʂaŋ1	
影	in3	
彷	pʰaŋ2	
役	i6	新
役	ʯ7	老
徹	tʂʰɛ7	
彼	pi3	
往	uaŋ3	
征	tʂən1	
徑	tɕin5	
待	tai1	
待	tai6	~客
徇	ɕin2	
很	xən3	
徉	iaŋ2	
徊	xuai2	
律	ni7	
徐	ɕi2	
徒	tʰəu2	
徠	nai2	
得	tɛ7	
徘	pʰai2	
徙	ɕi3	
徛	tɕi6	站
徜	tʂʰaŋ2	
御	ʯ5	
御	ʯ6	
徨	xuaŋ2	
循	ɕin2	
徭	iau2	
微	uei2	
德	tɛ7	
徽	xuei1	
心	ɕin1	
必	pi7	
憶	i5	
忌	tɕi5	
忍	ʐən3	
忍	ʯən3	又读
忏	tsʰan5	
忐	tʰan3	
忑	tʰɛ7	
忒	tʰɛ7	
忖	tsʰən5	
志	tʂʅ5	
忘	uaŋ6	
忙	maŋ2	
忝	tʰin3	
忠	tʂoŋ1	
忡	tʂʰoŋ1	
忤	u3	
憂	iəu1	
快	kʰuai5	
忱	tʂʰən2	
念	nin6	
忸	niəu3	
忻	ɕin1	
忽	xu7	
忾	kʰai5	
忿	fən5	
懷	xuai2	
態	tʰai5	
慫	soŋ3	
慪	ŋəu5	
悵	tʂʰaŋ5	
愴	tʂʰʯaŋ5	文
愴	tsʰaŋ5	白
怎	tsən3	
怏	iaŋ1	
怒	nəu6	
怔	tʂən5	
怕	pʰa5	
怖	pu5	
怙	xu6	
憐	nin2	
思	sɿ1	
怠	tai6	
怡	i2	
急	tɕi7	
怦	pʰoŋ1	
性	ɕin5	
怨	ʯan5	
怩	ni2	
怪	kuai5	
怫	fu7	
怯	tɕʰiɛ7	
怵	tʂʰəu7	
總	tsoŋ3	
恁	nən6	
恃	ʂʅ5	
恃	sɿ6	
戀	nin6	
恍	xuaŋ3	
恐	kʰoŋ3	
恆	xən2	
恕	ʂʯ5	
恙	iaŋ6	
恢	xuei1	
恣	tsɿ1	
恤	ɕi7	
恨	xən6	
恩	ŋən1	
恪	kʰɛ7	
恫	toŋ6	
恬	tʰin2	
恭	koŋ1	
息	ɕi7	
恰	tɕʰia7	文
恰	kʰa7	白
懇	kʰən3	
恶	ŋo7	
恶	u6	厌~
慟	tʰoŋ5	
惻	tsʰɛ7	
惱	nau3	
惲	ʯən6	
恿	ʐoŋ3	
悄	tɕʰiau1	
悉	ɕi7	
悍	xan6	
悔	xuei3	
悖	pei5	
悚	soŋ3	
悟	u6	
悠	iəu1	
患	xuan6	
悦	ʯɛ7	
您	nin2	
懸	ʂʯan2	
慳	tɕin1	
憫	min3	
悲	pei1	
悴	tsʰei5	
悸	tɕi5	
悻	ɕin6	
悼	tau6	
情	tɕʰin2	
惆	tʂʰəu2	
驚	tɕin1	
惋	uan3	
惑	xuɛ7	
惕	tʰi7	
惘	uaŋ3	
惚	xu7	
惜	ɕi7	
惟	uei2	
惠	xuei5	
惦	tin5	
懼	tʂʯ6	
慘	tsʰan3	
懲	tʂʰən3	
憊	pei6	
憊	pi6	
愜	tɕʰiɛ7	
慚	tsʰan2	
憚	tan6	
慣	kuan5	
惰	to6	
想	ɕiaŋ3	
惴	tʂʯei5	
惶	xuaŋ2	
惹	ʯe3	
惺	ɕin1	
愁	tsʰəu2	
愈	ʯ6	
愉	ʯ6	
愎	pi6	
意	i5	
愕	ŋo7	
愚	ʯ2	
感	kan3	
慍	ʯən5	
憤	fən5	
憒	kʰuei5	
愧	kʰuei5	
愫	səu5	
願	ʯan6	
慈	tsʰɿ2	
慌	xuaŋ1	
慎	ʂən6	
懾	ʂɛ7	
懾	niɛ7	
慕	mu6	
慢	man6	
慧	xuei5	
慨	kʰai5	
慰	uei5	
慷	kʰaŋ1	
憋	piɛ1	
憎	tsən5	
憔	tɕʰiau2	
憧	tʂʰoŋ1	
憨	xan1	
憩	tɕʰi5	
憬	tɕin3	
憾	xan6	
懂	toŋ3	
懈	ɕiai6	
懊	ŋau5	
懣	mən6	
懶	nan3	
懍	nin3	
懦	no6	
懵	moŋ2	
戇	tʂʯaŋ6	
戈	ko1	
戊	u6	
戌	ɕi7	
戍	ʂʯ5	
戎	ʐoŋ2	
戲	ɕi5	
成	tʂʰən2	
我	ŋo3	
戒	kai5	
戒	tɕiai5	
戕	tɕʰiaŋ1	
或	xuɛ7	
戧	tɕʰiaŋ5	
戰	tʂan5	
戚	tɕʰi7	
戛	tɕia7	
戟	tɕi7	
戡	kʰan1	
戥	tən3	
截	tɕiɛ7	
戮	nəu6	
戳	tʂʰo7	
戳	tsʰo6	~穿
戴	tai5	
戶	xu6	
戽	xu5	
戾	ni6	
房	faŋ2	
所	so3	
扁	pin3	
扇	ʂan5	
扈	xu6	
扉	fei1	
手	ʂəu3	
才	tsʰai2	
扎	tʂa7	
扑	pʰu7	
扒	pa1	
扒	pʰa2	~手
打	ta3	
扔	ʐən1	
托	tʰo7	
扚	ti7	用手指掐然后拔
扛	kʰaŋ2	
扣	kʰəu5	
執	tʂʅ7	
擴	kʰo7	
捫	mən2	
掃	sau3	~地
掃	sau5	~帚
揚	iaŋ2	
扭	niəu3	
扮	pan6	
扯	tʂʰe3	
擾	ʐau3	
扳	pan1	
扶	fu2	
批	pʰei1	
批	pʰi1	
扺	tʂʅ3	
扼	ŋɛ7	
扽	tən5	
找	tʂau3	
承	tʂʰən2	新
承	ʂən2	老
技	tɕi6	
抄	tʂʰau1	
抈	ʯe3	折断
抉	tʂʯɛ7	
把	pa3	~握
把	pa5	车~
抑	i7	
抒	ʂʯ1	
抓	tʂʯa1	
投	tʰəu2	
抖	təu3	
抗	kʰaŋ5	
折	tʂɛ7	
折	ʂɛ2	~本
撫	fu3	
抛	pʰau1	
摳	kʰəu1	~扳机
摳	ŋəu1	从口袋~钱
掄	nən1	
搶	tɕʰiaŋ3	
護	xu6	
報	pau5	
抨	pʰoŋ1	
披	pʰei1	
披	pʰi1	
抬	tʰai2	
抱	pau6	
抲	kʰa1	用虎口紧按
抵	tei3	
抵	ti3	
抹	ma1	
抹	mo3	
抹	ma7	
抻	tʂʰən1	
押	ia7	
抽	tʂʰəu1	
抿	min3	
拂	fu7	
拃	tʂa3	
拄	tʂʯ3	
拄	tʂʯ6	
擔	tan1	~当
擔	tan5	~子
拆	tsʰɛ7	
拇	mu3	
拈	nin1	文
拈	in1	白，~菜
拉	na1	
拊	fu3	
拌	pən5	~饭吃
拌	pan6	文
拌	pʰan3	白
拍	pʰɛ7	
拎	nin1	
拐	kuai3	
拒	tʂʯ5	
拓	tʰa6	
拓	tʰo7	
拔	pa7	
拖	tʰo1	
拗	ŋau5	
拗	niəu5	
拘	tʂʯ1	
拙	tʂo7	新
拙	tʂʯɛ7	老
招	tʂau1	
拜	pai5	
擬	ni3	
攏	noŋ3	
揀	tɕin3	
擁	ʐoŋ3	
攔	nan2	
擰	nin3	
撥	po7	
擇	tsɛ2	文
擇	tsʰɛ7	白，~择
括	kua7	
括	kʰo7	文
拭	ʂʅ5	
拮	tɕiɛ7	
拯	tʂən3	
拱	koŋ3	~手
拳	tʂʰʯan2	
拴	ʂʯan1	
拷	kʰau3	
拼	pʰin1	
拽	tʂʯai5	
拾	ʂʅ2	
拿	na2	
持	tʂʰʅ2	
挂	kʰua5	
指	tʂʅ3	~示
指	tʂʅ7	~甲
挈	tɕʰiɛ7	
按	ŋan5	
挎	kʰua5	
挑	tʰiau1	~担
挑	tʰiau3	~拨
挓	tʂa1	
挖	ua7	
摯	tʂʅ7	
攣	nan2	
撾	o1	
撻	tʰa7	
挾	ɕiɛ7	
撓	nau2	
擋	taŋ3	
掙	tsən1	~扎
掙	tsən5	~脱
揮	xuei1	
撏	ɕin2	
挨	ŋai1	~近
挨	ŋai2	~打
挪	no2	
挫	tsʰo5	
振	tʂən3	
挺	tʰin3	
挽	uan3	
捂	u3	
捅	tʰoŋ3	
捆	kʰuən3	
捉	tso7	
捋	ni3	
捌	pa7	
捍	xan6	
捎	ʂau1	
捏	niɛ7	文
捏	iɛ7	白
捐	tʂʯan1	
捕	pu3	
撈	nau1	
損	sən3	
撿	tɕin3	
換	xuan6	
搗	tau3	
捧	pʰoŋ3	
捭	pai6	
据	tʂʯ5	
捱	ŋai2	
捶	tʂʰʯei2	
捷	tɕiɛ7	
捺	na7	
捻	nin3	文
捻	in3	白，灯~子
捽	tsʰəu6	擦拭
掀	ɕin1	
掂	tin1	
掇	to7	
授	ʂəu6	
掉	tiau5	
掌	tʂaŋ3	
掏	tʰau1	
掐	tɕʰia1	文
掐	kʰa7	白
排	pʰai2	
掖	iɛ7	
掘	tʂʯɛ7	
掠	nio7	
探	tʰan5	
掣	tʂʰɛ7	
接	tɕiɛ7	
控	kʰoŋ5	
推	tʰei1	
推	tʰi1	
掩	in3	
措	tsʰo5	
掫	tsəu1	
掬	tʂʯ7	
掭	tʰin3	
掮	tɕʰin2	
掰	pai1	
摑	kʰua7	
擲	tʂʅ7	
撣	tan3	
摻	tsʰan1	
揉	ʐəu2	
揍	tsəu5	
描	miau2	
提	tʰi2	
插	tʂʰa7	
揖	i7	
揞	ŋan3	
揠	ia5	
握	o7	
揣	tʂʰʯai3	~测
揣	tʂʰʯai1	怀~
揩	kʰai1	
揪	tɕiəu1	
揭	tɕiɛ7	
揳	ɕiɛ7	
援	ʯan2	
攬	nan3	
撳	tsʰən3	按
攙	tsʰan1	
擱	ko7	
摟	nəu1	~裤子
摟	nəu3	~抱
攪	tɕiau3	文
攪	kau3	白，~动
搉	kʰo7	敲击
搊	tsʰəu1	托扶
搌	tsan3	
搏	po7	
搐	tʂʰəu7	
搒	pʰaŋ3	碰撞
搓	tsʰo1	
搔	sau1	
搕	kʰo7	
搜	səu1	
搞	kau3	
搠	so7	
搡	saŋ3	
搣	miɛ3	掰开，折断
搪	tʰaŋ2	
搬	pan1	
搭	ta7	
搲	ua3	舀
攜	ɕiɛ2	
搽	tʂʰa2	
摁	ŋən5	
攝	ʂɛ7	
摆	pai3	文
摆	pʰai3	白
摇	iau2	
擯	pin3	
擯	pin5	
攤	tʰan1	
摔	ʂʯai1	
摘	tsɛ7	
摛	tʂʰʅ1	伸出
摝	nəu7	从水中捞起
摞	no6	
摧	tsʰei1	
摩	mo2	
摸	mo1	
摹	mo2	
摺	tʂɛ7	
撂	niau6	
撅	tʂʯɛ7	
撇	pʰiɛ7	
撑	tsʰən1	
撒	sa7	
撒	sa1	~手
撒	sa3	播~
撕	sɿ1	
撞	tʂʰʯaŋ6	
撞	tʂʰʯaŋ2	又读
撤	tʂʰɛ7	
撩	niau2	
撬	tɕʰiau6	
播	po5	
撮	tʂʰo7	~箕
撮	tso7	一~毛
撰	tʂʯan6	
攆	nin3	文
攆	in3	白，~走
擷	ɕiɛ7	
撼	xan6	
擀	kan3	
擂	nei2	
擂	nei6	
擂	ni2	~肥
擂	ni6	~台
擅	ʂan6	
操	tsʰau1	
擎	tɕʰin2	
擒	tɕʰin2	
擘	po7	
擻	səu3	
擢	tʂo7	
擤	ɕin3	
擦	tsʰa7	
攀	pʰan1	
攢	tsan3	
攘	ʐaŋ3	
攥	tsan5	
攫	tʂʯɛ7	
支	tʂʅ1	
收	ʂəu1	
攸	iəu1	
改	kai3	
攻	koŋ1	
放	faŋ5	
政	tʂən5	
故	ku5	
效	ɕiau6	
敵	ti7	
敏	min3	
救	tɕiəu5	
敖	ŋau2	
教	tɕiau1	~书
教	tɕiau5	~学
斂	nin3	
敝	pei6	
敝	pi6	
敞	tʂʰaŋ3	
敢	kan3	
散	san5	发~
散	san3	松~
敥	in6	撒，扬
敦	tən1	
㪗	tʰəu3	展开
敬	tɕin5	
數	səu3	~钱
數	səu5	~目
敲	tɕʰiau1	文
敲	kʰau1	白
整	tʂən3	
敷	fu1	
敹	niau2	缝合
文	uən2	
齋	tʂai1	
斌	pin1	
斐	fei3	
斑	pan1	
斕	nan2	
斗	təu3	~量
斗	təu5	~争
料	niau6	
斛	xu2	
斜	ɕiɛ2	
斟	tʂən1	
斡	o5	
斢	tʰiau3	调换
斤	tɕin1	
斥	tʂʰʅ7	
斧	fu3	
斬	tsan3	
斯	sɿ1	
新	ɕin1	
方	faŋ1	
施	ʂʅ1	
施	ʂʅ7	
旁	pʰaŋ2	
旅	ni3	
旋	ɕin2	~转
旋	ɕin6	~风
旌	tɕin1	
族	tsəu7	
族	tsʰəu7	
旗	tɕʰi2	
無	u2	
既	tɕi5	
日	ɔɹ7	
旦	tan6	
舊	tɕiəu6	
旨	tʂʅ3	
早	tsau3	
旬	ɕin2	
旭	ɕiəu7	
旱	xan6	
時	ʂʅ2	
曠	kʰuaŋ5	
旺	uaŋ6	
昂	ŋaŋ2	
昆	kʰuən1	
昊	xau6	
昌	tʂʰaŋ1	
明	min2	文
明	mən2	白，~朝
昏	xuən1	
易	i6	
昔	ɕi7	
昕	ɕin1	
曇	tʰan2	
星	ɕin1	
映	in5	
春	tʂʰʯən1	
昧	mei6	
昧	mi6	
昨	tso7	
昭	tʂau1	
是	ʂʅ6	
昱	ʯ5	
昵	ni6	
晝	tʂəu5	
顯	ɕin3	
晁	tʂʰau2	
晃	xuaŋ3	~眼睛
晃	xuaŋ6	摇~
晉	tɕin5	
晌	ʂaŋ3	
晏	in5	文
晏	ŋan5	白
曬	sai5	
曉	ɕiau3	
曄	iɛ7	
暈	ʯən1	头~
暈	ʯən6	月~
暉	xuei1	
晗	xan2	
晚	uan3	
晤	u6	
晦	xuei5	
晨	tʂʰən2	新
晨	ʂən2	老
普	pʰu3	
景	tɕin3	
晰	ɕi7	
晴	tɕʰin2	
晶	tɕin1	
晷	kuei3	
智	tʂʅ5	
晾	niaŋ6	
暫	tsan6	
暄	ʂʯan1	
暇	ɕia2	
暑	ʂʯ3	
暖	nan3	
暗	ŋan5	
暝	min2	
曖	ŋai5	
暨	tɕi5	
暮	mu6	
暴	pau5	
曙	ʂʯ3	
曝	pau5	~光
曝	pʰu7	一~十寒
曦	ɕi1	
曰	ʯɛ7	
曲	tʂʰʯ7	
曳	iɛ7	
更	kən5	~加
更	kən1	打~
曹	tsʰau2	
曾	tsʰən2	~经
曾	tsən1	姓
替	tʰi5	
最	tsei5	
月	ʯɛ7	
有	iəu3	
朋	pʰoŋ2	
服	fu7	
朔	so7	
朕	tʂən5	
朗	naŋ3	
望	uaŋ6	
朝	tʂau1	~气
朝	tʂʰau2	~拜
期	tɕʰi1	
朦	moŋ2	
木	mu7	
未	uei6	
末	mo7	
本	pən3	
札	tʂa7	
术	ʂʯ7	
朱	tʂʯ1	
朴	pʰu7	~素
朴	pʰiau2	姓
朶	to3	
機	tɕi1	
朽	ɕiəu3	
殺	ʂa7	
雜	tsa2	
權	tʂʰʯan2	
杆	kan1	拉~
杆	kan3	笔~
杈	tʂʰa5	
杉	ʂa1	~树
杌	u7	
李	ni3	
杏	ɕin6	
材	tsʰai2	
村	tsʰən1	
杖	tʂaŋ6	
杜	təu6	
束	tʂʰəu7	
杠	kaŋ5	
條	tʰiau2	
來	nai2	
楊	iaŋ2	
杪	miau3	
杭	xaŋ2	
杯	pei1	
杰	tɕiɛ7	
杳	iau3	
杵	tʂʰʯ3	
杼	tʂʯ6	
松	soŋ1	
板	pan3	
極	tɕi7	
構	kəu5	
枉	uaŋ3	
析	ɕi7	
枕	tʂən3	
林	nin2	
枚	mei2	
枚	mi2	
果	ko3	
枝	tʂʅ1	
樞	ʂʯ1	
棗	tsau3	
櫪	ni7	
槍	tɕʰiaŋ1	
楓	foŋ1	
梟	ɕiau1	
枯	kʰu1	
架	tɕia5	文
架	ka4	白
枷	tɕia1	
枸	kəu3	
柄	pin3	
柏	pɛ7	
某	məu3	
柑	kan1	
柒	tɕʰi7	
染	ʯan3	
柔	ʐəu2	
柘	tʂa5	
柚	iəu6	
櫃	kuei6	
柞	tʂa5	
檸	nin2	
查	tʂʰa2	
柩	tɕiəu5	
柬	tɕin3	
柯	kʰo1	
柱	tʂʯ6	
柳	niəu3	
柴	tsʰai2	
柿	sɿ6	
梔	tʂʅ1	
栅	tʂa5	
標	piau1	
棧	tsan5	
櫛	tʂʅ7	
棟	toŋ5	
櫟	ni6	
欄	nan2	
樹	ʂʯ6	
栓	ʂʯan1	
栖	tɕʰi1	
栗	ni7	
校	tɕiau6	~对
校	ɕiau6	学~
栩	ʂʯ3	
株	tʂʯ1	
樣	iaŋ6	
核	xɛ7	
根	kən1	
格	kɛ7	
栽	tsai1	
欒	nan2	
桀	tɕiɛ7	
桂	kuei5	
桃	tʰau2	
桅	uei2	
框	kʰuaŋ1	
案	ŋan5	
桉	ŋan1	
桊	tʂʰʯan5	
桌	tʂo7	
桎	tʂʅ5	
桑	saŋ1	
桓	xuan2	
桔	tʂʯ7	
椏	ia1	
檔	taŋ3	~案
檔	taŋ5	排~
橋	tɕʰiau2	
檜	xuei5	
槳	tɕiaŋ3	
樁	tʂʯaŋ1	文
樁	tsaŋ1	白
桶	tʰoŋ3	
桷	ko7	
梁	niaŋ2	
梃	tʰin3	
梅	mei2	
梅	mi2	
梆	paŋ1	
梏	ku7	
梓	tsɿ3	
梗	kən3	
梢	sau1	
夢	moŋ6	
梧	u2	
梨	ni2	
梭	so1	
梯	tʰi1	
械	kai5	
械	tɕiai5	
梳	səu1	
梵	fan2	~高
梵	fan6	~文
檢	tɕin3	
欞	nin2	
棉	min2	
棋	tɕʰi2	
棍	kuən5	
棒	paŋ6	
棕	tsoŋ1	
棘	tɕi7	
棚	pʰoŋ2	
棠	tʰaŋ2	
森	sən1	
棱	nən2	
棱	nin2	
棵	kʰo1	
棺	kuan1	
椁	ko3	
椅	i3	
植	tʂʅ7	
椎	tʂʯei1	
椒	tɕiau1	
櫝	təu7	
橢	tʰo3	
椰	iɛ1	
椽	tʂʰʯan2	
楂	tʂa1	
楔	ɕiɛ7	
楚	tsʰəu3	
楞	nən6	
楠	nan2	
楣	mei2	
楣	mi2	
楤	tsʰoŋ1	
楦	ʂʯan1	
楷	kʰai3	
楹	in2	
樓	nəu2	
榀	pʰin3	
概	kʰai5	
欖	nan3	
榆	ʯ2	
櫚	ʯ3	
榔	naŋ2	
榕	ʐoŋ2	
榛	tʂən1	
榜	paŋ3	
榨	tʂa5	
榫	sən3	
榭	ɕiɛ6	
榴	niəu2	
榷	tɕʰio7	
榻	tʰa7	
槃	pʰan2	
槊	so7	
槌	tʂʰʯei2	
槐	xuai2	
檻	kʰan3	
檳	pin1	
槽	tsʰau2	
樊	fan2	
樟	tʂaŋ1	
模	mo2	~范
模	mu2	~子
橫	xən2	新
橫	xuən2	老
檣	tɕʰiaŋ2	
櫻	in1	
樽	tsən1	
橄	kan3	
橇	tɕʰiau1	
橘	tʂʯ7	
橙	tʂʰən2	
橛	tʂʯɛ7	
橡	ɕiaŋ6	文
橡	tɕiaŋ6	白，~树
櫥	tʂʰʯ2	
檀	tʰan2	
檄	ɕi7	
檐	in2	
檁	nin3	
檬	moŋ2	
欠	tɕʰin5	
次	tsʰɿ5	
歡	xuan1	
欣	ɕin1	
欤	ʯ2	
歐	ŋəu1	
欲	ʯ6	新
欲	iəu7	老
欸	ɛ1	叹词，表招呼
欸	ɛ2	叹词，表肯定
欸	ɛ3	叹词，表应答
欸	ɛ5	叹词，表差异
欸	ɛ7	叹词，表不以为然
欺	tɕʰi1	
款	kʰuan3	
歃	ʂa7	
歇	ɕiɛ7	
歉	tɕʰin5	
歌	ko1	
止	tʂʅ3	
正	tʂən1	~月
正	tʂən5	~确
此	tsʰɿ3	
步	pu6	
武	u3	
歧	tɕʰi2	
歪	uai1	
歹	tai3	
死	sɿ3	
殲	tɕʰin1	
殁	mo7	
殃	iaŋ1	
殄	tʰin3	
殆	tai6	
殤	ʂaŋ1	
殉	ɕin5	
殊	ʂʯ1	
殘	tsʰan2	
殍	pʰiau2	
殞	ʯən3	
殮	nin6	
殖	tʂʅ7	
殫	tan6	
殯	pin1	
毆	ŋəu1	
段	tan6	
殷	in1	
殿	tin6	
毁	xuei3	
轂	ku7	
毅	i6	
毋	u6	
母	mu3	
每	mei3	
毒	təu2	
毓	iəu7	
比	pi3	
畢	pi7	
毗	pʰi2	
斃	pi6	
毛	mau2	
毡	tʂan1	
毫	xau2	
毯	tʰan3	
毽	tɕin5	
氅	tʂʰaŋ3	
氏	ʂʅ5	
民	min2	
氓	maŋ2	
气	tɕʰi5	
氛	fən6	
氟	fu7	
氫	tɕʰin1	
氦	xai6	
氧	iaŋ3	
氨	ŋan1	
氮	tan6	
氯	nəu7	
水	ʂʯei3	
水	fei3	又读
永	ʐoŋ3	新
永	ʯən3	老
汀	tʰin1	
汁	tʂʅ7	
求	tɕʰiəu2	
汆	tsʰan1	
汇	xuei6	
汈	tiau1	
漢	xan5	
汊	tʂʰa5	
汐	ɕi7	
汕	ʂan5	
汗	xan6	
汛	ɕin5	
汝	ʯ3	
汞	koŋ3	
江	tɕiaŋ1	
池	tʂʰʅ2	
污	u1	
湯	tʰaŋ1	
汨	mi7	
汩	ku7	
汪	uaŋ1	
汰	tʰai5	
汴	pin6	
汶	uən6	
洶	ɕioŋ1	
汽	tɕʰi5	
汾	fən2	
沁	tɕʰin5	
沂	i2	
沃	o7	
沅	ʯan2	
沆	xaŋ2	
沈	ʂən3	
沉	tʂʰən2	
沌	tən5	
沏	tɕʰi5	
沐	mu7	
沓	ta7	
沔	min3	
沕	mi6	潜水
沙	ʂa1	
沛	pʰei5	
溝	kəu1	
没	mei7	
没	mo7	埋~
漚	ŋəu5	
瀝	ni7	
淪	nən2	
滄	tsʰaŋ1	
滬	xu6	
沫	mo7	
沮	tɕi3	
沱	tʰo2	
河	xo2	
沸	fei5	
油	iəu2	
治	tʂʅ5	
沼	tʂau3	
沽	ku1	
沾	tʂan1	
沿	in2	
泄	ɕiɛ5	
泅	tɕʰiəu2	
泉	tɕʰin2	
泊	pʰɛ7	
泌	mi7	
泓	xoŋ2	
法	fa7	
泗	sɿ5	
泛	fan5	
濘	nin6	
泡	pʰau5	~菜
泡	pʰau1	灯~
波	po1	
泣	tɕʰi5	
泥	ni2	文
泥	i2	白，~巴
注	tʂʯ5	
淚	nei6	
淚	ni6	
泯	min3	
泰	tʰai5	
泱	iaŋ1	
泳	ʐoŋ3	新
泳	ʯən5	老
泵	paŋ6	
瀘	nəu2	
泹	tan3	把蔬菜在热水里过一下
瀉	ɕiɛ5	
潑	pʰo7	
澤	tsʰɛ7	
涇	tɕin5	
潔	tɕiɛ7	
洄	xuei2	
洇	in5	
洋	iaŋ2	
洒	sa3	
洗	ɕi3	
洛	no7	
洞	toŋ6	
津	tɕin1	
洪	xoŋ2	
洱	ɔɹ3	
洲	tʂəu1	
活	xo2	
洼	ua5	
洽	tɕʰia7	
派	pʰai5	
流	niəu2	
浹	tɕia7	
淺	tɕʰin3	
漿	tɕiaŋ1	
澆	tɕiau1	
濁	tʂo7	
測	tsʰɛ7	
濟	tɕi3	~南
濟	tɕi5	~贫
瀏	niəu2	
滻	tsʰan3	
渾	xuən1	~水
渾	xuən2	~身
滸	xu3	
濃	noŋ2	
浙	tʂɛ7	
浚	tɕin5	
浜	paŋ1	
浞	tʂʯa7	
浠	ɕi1	
浣	xuan3	
浦	pʰu3	
浩	xau6	
浪	naŋ6	
浮	fəu2	
浮	fu2	文
浮	pʰu2	白
浴	ʯ6	新
浴	iəu7	老
海	xai3	
浸	tɕin5	
涂	tʰəu2	
涅	niɛ7	
消	ɕiau1	
涉	ʂɛ7	
涌	ʐoŋ3	
涎	ɕin2	
涕	tʰi2	
濤	tʰau1	
澇	nau6	
漣	nin2	
渦	o1	
溳	ʯən2	
渙	xuan6	
滌	ti7	
潤	ʯən5	
澗	tɕin5	
漲	tʂaŋ3	~水
漲	tʂaŋ5	头昏脑~
澀	sɛ7	
涪	fu2	
涮	ʂʯan5	
涯	ia2	
液	iɛ7	新
液	i7	老
涴	o7	
涵	xan2	
涾	tʰa7	烫
涿	tʂo7	
淀	tin6	
淄	tsɿ1	
淅	ɕi1	
淆	ɕiau1	
淋	nin2	
淌	tʰaŋ3	
淑	ʂəu7	
淖	nau6	
淘	tʰau2	
淙	tsʰoŋ2	
淞	soŋ1	
淡	tan6	
淤	ʯ1	
淦	kan5	
淫	in2	
淬	tsʰei5	
淮	xuai2	
深	ʂən1	
淳	tʂʰʯən2	
混	xuən6	~蛋
混	xuən3	搞~了
淹	ŋan1	
淹	in1	文
添	tʰin1	
清	tɕʰin1	
淵	ʯan1	
漬	tsɿ6	
瀆	təu7	
漸	tɕin6	
澠	min3	
漁	ʯ2	
滲	ʂən5	
滲	sən6	
渝	ʯ6	
渠	tʂʰʯ2	
渡	təu6	
渣	tʂa1	
渤	po7	
溫	uən1	
渭	uei5	
港	kaŋ3	
渴	kʰo7	
游	iəu2	
渺	miau3	
湃	pʰai5	
