#漢字	音標	解釋
□	moːŋ1	帶黏性的半透明網狀物:lou4-6zou1~(蛛網)|豬腸~(豬網油)
控	hoŋ3	遙~器
控	kʰoŋ3	
推	tʰui1	
掩	jim2	
措	tʰu3	
掬	kok7	
掭	tʰim3	
掮	kin4	
掰	ma2	
掾	jÿn6	
揀	kɔɑ̯n2	
揄	jy4	
揆	kʷai4	
揉	jau4	
揍	ɗau3	
揎	ɬÿn1	
描	miu1	
提	tai4	
插	tɕʰɒp8	
揖	jap7	
揚	ja4	
換	wun6	
揞	am2	
揠	ɔɑ̯t8	
握	ak7	
揣	tɕʰui2	~測
揩	kɔɑ̯i1	文讀
揩	hɔɑ̯i1	白讀,清洗(<*擦洗)
揪	tɕiu5	
揭	kʰit7	
揮	kʷʰai1	
揲	ɕᴇɐ̯t10	占卜;積累;取
揲	tᴇɐ̯t10	摺疊
揲	jᴇɐ̯t10	箕舌
援	jÿn4	
揶	jɛ4	
揸	ȵɔ1	白讀。字或作「摣」「抯」
揸	tɕɔ1	文讀
搆	kau3	
搉	kʷak7	~雞蛋
搋	tɕʰɔɑ̯i1	
搋	ȵɔɑ̯i1	
搌	tɕin2	
搌	tɕʰin2	
損	ɬÿn2	
搏	ɓoːk8	
搓	tʰɵ1	
搔	ɬɘu1	
摇	jiu4	
搗	ɗɘu2	
搛	kim1	
搜	ɬau1	
搞	kɒu2	
搠	ɕoːk8	
搡	ɬoːŋ2	
搥	tɕui4	
搦	nek7	
搧	ɕin1	
搬	ɓun1	
搭	ɗɒp8	
搴	jin1	
搶	tʰa2	
搽	tɕɔ4	
搿	kɒp8	
摀	wu2	
摁	an3	
摁	jan3	
摑	kʷa2	
摒	ɓeŋ3	
摔	ɬat7	
摘	ɗek7	
摜	kʷɔɑ̯n3	
摞	lœ6	
摟	lau2	
摣	ȵɔ1	白讀。字或作「揸」「抯」
摣	tɕɔ1	文讀
摧	tʰui1	
摩	mɵ1	音譯用:~托|~斯
摩	mɵ4	~擦
摭	tɕek7	
摯	tɕi3	
摳	kʰau1	
摳	ŋau3	
摶	tÿn4	
摸	mɵ1	
摸	moːk8	約~:大概
摹	mɵ1	臨~
摹	mu1	~仿
摺	tɕip7	
摻	tɕʰɒm1	
撅	kÿt7	打
撇	pʰit7	
撈	lau1	~佬
撈	lɒu1	打撈
撈	lɘu1	~生|~錢
撈	lu1	白讀,撈起
撈	ly1	白讀,撈去浮在液面的東西
撑	tɕʰa1	
撒	ɬɔɑ̯t8	
撓	ȵɒu1	
撕	ɬi1	
撖	ɒm5	
撙	ɗÿn2	勒住
撞	tɕoːŋ6	
撤	tɕʰit7	
撥	ɓut7	
撩	lᴇɐ̯u1	
撩	lᴇɐ̯u4	
撫	fu5	
撬	kɛa̯u6	
播	ɓɵ3	
撮	ɗÿt7	
撰	tɕÿn5	
撲	pʰoːk8	
撳	kam6	
撼	ɒm6	
撾	kʷɵ1	老~
撿	kim2	
擀	kɔɑ̯n2	
擁	oŋ2	~抱;~護;推
擂	lui4	
擄	lu5	
擅	ɕin6	
擇	tɕa6	
擊	kek7	
擋	ɗoːŋ2	
操	tʰɘu1	
擎	keŋ4	
擐	wɔɑ̯n1	
擒	tɕam4	
擒	kam4	異讀
擔	ɗɒm1	動詞
擔	ɗɒm3	名詞;量詞。一副擔子一次挑起的量爲一~|一個木傀戲班爲一~
擗	pʰek7	
擘	ma2	
據	ky2	
據	ky3	又讀
擠	ɗai1	
擢	tɕoːk10	
擣	ɗɘu2	
擤	ɬan3	
擦	tɕɔɑ̯t10	白讀
擦	tɕœa̯t10	白讀
擦	tʰɔɑ̯t8	搓(雙掌反復摩擦);摩挲;擦拭。本字「攃」或「礤」
擦	ȵœa̯t10	白讀
擦	tɕʰɔɑ̯t8	文讀
擬	ȵi5	
擱	koːk8	
擲	tɕek9	
擴	kʷʰoːŋ3	
擷	kʰit7	
擸	lɒp8	
擺	ɓɔɑ̯i2	
擻	ɬau2	
擼	lu5	
擾	ȵiu2	
攀	pʰɔɑ̯n1	
攄	tɕʰy2	
攄	tɕy5	
攉	kʰoːk8	
攏	loŋ5	
攔	lɔɑ̯n4	
攖	eŋ1	
攘	ȵa4	
攙	tɕʰɒm1	
攛	tʰÿn1	
攜	kʷai4	
攝	ɕip7	
攞	lɵ2	
攤	tʰɔɑ̯n1	
攥	ɗÿn3	
攪	kɒu2	
攬	lɒm2	
攮	noːŋ5	
支	tɕi1	
攴	pʰok7	
攵	pʰok7	
收	ɕau1	
攷	hɒu2	
攸	jau1	
改	kɔɑ̯i2	
攻	koŋ1	
放	foːŋ3	
政	tɕeŋ3	
故	ku3	
效	ȵɒu6	
敉	mi5	
敏	man5	
救	kau3	異讀
救	tɕau3	
敕	tɕʰek7	
敖	ŋɘu4	
敗	pɔɑ̯i6	
敘	ty5	
教	kɒu3	
敝	pi6	
敞	tʰoːŋ2	
敢	kɒm2	
散	ɬɔɑ̯n3	解~
散	ɬɔɑ̯n2	鬆~
敦	ɗan1	
敦	ɗÿn1	又讀
敫	kiu2	光閃耀
敬	keŋ3	
敲	hɒu1	
整	tɕeŋ2	
敵	tek9	
敷	fu1	
數	ɕoːk8	多次:~見不鮮
數	ɕɵ2	又讀,動詞
數	ɕu2	動詞,又讀
數	ɕu3	名詞
斂	lim5	
斃	pi6	
文	man4	
文	man1	貨幣單位,一圓錢
斌	ɓan1	
斐	fi2	
斑	ɓɔɑ̯n1	
斕	lɔɑ̯n4	
斗	ɗau2	
料	liu6	
斛	kok7	
斜	tɛ4	
斟	tɕam1	
斤	kan1	
斥	tɕʰek7	
斧	fu2	
斫	tɕa2	
斬	tɕɒm2	
斯	ɬi1	
新	ɬan1	
斷	ɗÿn3	決~,判~
斷	ɗÿn2	阻攔;阻止:佢人爭得極si3,~冇住
斷	tÿn5	斷開,斷裂
方	foːŋ1	
於	jy1	
施	ɕi1	
旁	poːŋ4	
旃	tɕin1	
旄	mɘu4	
旄	mɘu6	長毛;同「耋」
旅	ly5	
旆	pʰui3	
旋	ɕÿn4	見《玉林市志》《玉林话研究》
旋	ɬÿn4	見《广西通志·汉语方言志》
旋	tʰÿn4	見《平话研究》《玉林话语音研究》(朱小丽)
旋	tÿn6	表示動作當場當時發生,或就剛完成不久:~揩嘅碗|~作~喫(現做現喫)。因總是位于前字,本調不明,姑且記爲6(理論上本調是4)
旌	ɬeŋ1	
旎	ni5	
族	tok9	
旒	lau4	
旖	ji2	
旗	ki4	
既	ki3	
日	ȵat9	
旦	ɗɔɑ̯n3	
旨	tɕi2	
早	ɗɘu2	
旬	tan4	
旭	jok7	
旮	kɛ6	
旯	lɛ3	
旰	kɔɑ̯n3	
旱	ɔɑ̯n5	
旺	woːŋ6	
昀	jan4	
昂	ŋoːŋ4	
昃	tɕak7	
昆	kʷʰan1	
昇	ɕeŋ1	
昇	ɕøŋ1	白讀:~起身
昉	foːŋ2	李紹~:清朝北流清灣鎮才子
昊	ɘu6	
昌	tɕʰa1	
明	meŋ4	
昏	wun1	
昏	wan1	又讀
易	ek9	交~ ;姓
易	ji6	容~
昔	ɬek7	
昕	jan1	
昝	ɗɒm2	
星	ɬeŋ1	
映	eŋ2	
春	tɕʰan1	
昧	mui6	
昨	toːk10	
昭	tɕiu1	
是	ɕi5	
昱	jok7	
昴	mau5	
昵	nek9	
昶	tɕʰoːŋ2	
晁	tɕiu4	
時	ɕi4	「早時」「舊時」的「時」,也有人讀ji4*03
晃	kʷoːŋ2	
晉	ɗan3	
晌	ja2	
晏	ɔɑ̯n3	
曬	ɕɔɑ̯i3	
晗	ɒm4	
晚	mɔɑ̯n5	
晝	tɕau3	
晟	ɕeŋ6	
晡	ɓu1	
晤	ŋ̍6	
晦	wui3	
晨	ɕan4	
普	pʰu2	
景	keŋ2	
晰	ɬek7	
晴	teŋ4	
晶	ɗeŋ1	
晷	kʷai2	
智	tɕi3	
晾	loːŋ6	
暄	jÿn1	
暇	ɔ4	
暈	wan4	白讀
暈	wan1	文讀
暉	kʷʰai1	
暌	wui1	
暑	ɕy2	
暖	nÿn5	
暗	ɒm3	
暝	meŋ4	
暢	tɕʰa2	
暨	ki3	
暪	mun4	
暫	tɕɒm6	
暫	tɒm6	
暫	tim6	
暮	mu6	
暱	nek9	
暴	pɘu6	
暹	ɬim1	
暾	tʰan1	
曄	jɛa̯p10	
曆	lek9	
曇	tɒm4	
曉	ȵiu2	
曖	ɔɑ̯i3	
曙	ɕy2	
曚	moŋ1	(日將出前)天微明:天~~光
曛	wan1	
曜	jiu6	
曝	pɘu6	
曠	kʷʰoːŋ3	
曦	hi1	
曩	noːŋ5	
曬	ɕɔɑ̯i3	
曰	jœa̯t10	
曲	kʰok7	
曲	ŋok7	白讀:拐彎;使曲折
曳	jai6	
更	ka1	~替|五~
更	ka3	~加
曷	ɔɑ̯t10	
書	ɕy1	
曹	tɘu4	
曼	mɔɑ̯n6	
曾	ɗaŋ1	姓
曾	taŋ4	
替	tʰai3	
最	ɗui3	
會	wai6	
月	ȵœa̯t10	
有	jau5	
朊	ȵÿn5	
朋	paŋ4	
服	fok9	
朐	ky4	
朔	ɕoːk8	
朕	tɕam6	
朗	loːŋ6	
望	moːŋ6	
朝	tɕiu4	
朝	tɕiu1	
期	ki4	
朦	moŋ4	
朧	loŋ4	
木	mok9	
未	mi6	
末	mɔɑ̯t10	
本	ɓun2	
札	tɕɔɑ̯t8	
朮	tɕat9	
朱	tɕy1	
朶	ɗœ2	
朽	jau2	
杆	kɔɑ̯n2	
杈	tɕʰɔ1	
杉	tɕʰɒm1	
杌	ŋat9	
李	li5	
杏	a6	
材	tɔɑ̯i4	
村	tʰÿn1	
杓	ɓiu1	
杖	tɕa5	
杜	tu6	
杜	tu5	又讀
杞	ki2	
束	tɕʰok7	
杧	maŋ1	
杪	miu5	
杭	oːŋ4	
杯	ɓui1	
杰	kᴇɐ̯t10	
東	ɗoŋ1	
杲	kɘu2	
杳	miu5	
杵	tɕʰy2	
杷	pɔ4	
杼	tɕy5	
松	toŋ4	
板	ɓɔɑ̯n2	
枇	pi4	
枉	woːŋ2	
枋	foːŋ1	
析	ɬek7	
枒	ȵɔ4	
枕	tɕam2	
林	lam4	
枘	ȵui6	
枚	mui1	
果	kʷɵ2	
枝	tɕi1	
枯	wu1	白讀
枯	ku1	文讀
枯	kʰu1	文讀
枰	peŋ4	
枳	tɕi2	
枴	kʷɔɑ̯i2	
枵	hiu1	
架	kɔ3	
枷	kɔ1	
枸	kau2	
枼	jɛa̯p10	衣物單薄;單薄衣物的量詞
柁	tɵ4	
柃	leŋ4	
柄	ɓeŋ3	
柏	ɓa2	
某	mau5	
柑	kɒm1	
柒	tʰat7	
染	ȵim5	
柔	jau4	
柘	tɕɛ3	
柙	ɒp10	
柚	jau6	
柝	tʰoːk8	
柢	ɗai2	
查	tɕɔ4	
查	tɕɔ1	姓
柩	tɕau6	
柬	kɔɑ̯n2	
柯	kʰɵ1	
柰	nɔɑ̯i6	
柱	tɕy5	
柳	lau5	
柴	ɕɔɑ̯i4	
栅	ɕɔɑ̯n1	欄~:欄杆;~極
栅	tɕʰa2	~欄
柿	ɕi5	
柿	ɕi6	
梔	tɕi1	
栓	ɕɔɑ̯n1	
栗	lat9	
栗	lak9	又
栝	tʰim2	撥火棍
栝	kʷɔɑ̯t8	
校	kɒu3	~正
校	kɒu2	學~
栩	hy2	
株	tɕy1	
栲	hɒu2	
栳	lɘu5	
核	wat9	果核
核	at9	類似核的東西:~心|~酸
核	a6	~子:睾丸(老),陰莖(新)
根	kan1	
格	ka2	
栽	ɗɔɑ̯i1	
桀	kᴇɐ̯t10	
桁	a4	
桂	kʷai3	
桃	tɘu4	
桄	kʷoːŋ1	~榔
桄	kʷoːŋ3	
桅	ŋai4	
框	kʷʰoːŋ1	
框	kʷʰaŋ1	口語讀音
案	ɔɑ̯n3	
桉	ɔɑ̯n1	
桌	tɕoːk8	
桎	tɕat7	
桐	toŋ4	
桑	ɬoːŋ1	
桑	ɕoːŋ1	夏~菊:中藥方,誕生于二十世紀八十年代廣東
桓	wun4	
桔	kat7	
桕	tɕau5	
桫	ɬɵ1	
桴	fu1	
桶	tʰoŋ2	
桷	kak7	
桿	kɔɑ̯n2	
梁	la4	
梃	teŋ5	
梅	mui4	
梆	ɓaŋ1	~子:粵劇曲牌名
梏	kok7	
梓	ɗi2	
梔	tɕi1	
梗	kaŋ2	心肌~塞
梗	kʷa2	枝~
梘	kɔɑ̯n2	
條	tiu4	
梟	hiu1	
梢	ɕɒu1	
梧	ŋ̍4	
梨	li1	
梭	ɬœ1	
梯	tʰai1	
械	kɔɑ̯i3	
械	ɔɑ̯i5	白讀
械	ɔɑ̯i6	
梳	ɕɵ1	
梵	fɔɑ̯n6	
棄	hi3	
棉	min4	
棋	ki4	
棍	kʷan2	
棒	ɓoŋ2	棍~
棒	paŋ5	揮舞棍棒擊打
棕	ɗoŋ3	
棖	tɕa4	
棗	ɗɘu2	
棘	tɕʰek7	
棚	pa4	
棟	toŋ6	
棠	toːŋ4	
棣	tai6	~棠
棣	tɔɑ̯i6	~~:文雅安閒貌
棣	tʰai3	通達
棧	tɕɔɑ̯n6	
棬	kʰÿn1	
森	ɕam1	
棰	tɕui4	
棱	leŋ4	
棲	tʰai1	
棵	wɵ2	
棹	tɕɒu6	
棺	kun1	
棼	fan4	
椁	kʷoːk8	
椅	ji2	
椊	tʰœa̯t10	
椋	la4	
植	tɕek9	
椎	tɕui1	
椏	ɔ1	
椐	ky1	
椒	ɗiu1	
椰	jɛ6	
椴	tÿn6	
椹	ɕam6	同「葚」;木上生的菌
椹	tɕam1	同「砧」
椽	tɕÿn4	
楂	tɕɔ1	
楊	ja4	
楓	foŋ1	
楔	ɬit7	
楗	kin6	
楗	kÿn6	馬疲
楚	tɕʰɵ2	清~
楚	tɕʰu2	文讀:~國
楝	lin6	
楞	laŋ4	
楠	nɒm4	
楣	mi4	
楥	jÿn3	
楦	jÿn3	
楨	tɕeŋ1	
楫	ɗip7	
業	ȵɛa̯p10	
楮	tɕʰy2	
楱	tʰau3	
極	kek9	
楷	kɔɑ̯i1	
楸	tʰau1	
楹	ŋeŋ4	
榀	pʰan2	
概	kʰɔɑ̯i3	
榆	jy6	
榍	ɬit7	
榔	loːŋ4	
榕	joŋ4	
榘	ky2	
榛	ɗan1	
榜	ɓoːŋ2	
榧	fi2	
榨	tɕɔ3	
榪	mɔ6	
榫	ɬan2	
榭	tɛ6	
榮	weŋ4	
榱	tɕʰui1	
榴	lau4	
榷	kʰak7	
榻	tʰɒp8	
榿	hi1	
槁	kɘu2	
槊	ɕoːk8	
構	kau3	
槌	tɕui4	
槍	tʰa1	
槎	ɕɔ4	
槐	wɔɑ̯i4	
槐	wɔɑ̯i1	六~:地名,在容縣六王鎮
杠	koːŋ3	
槔	kɘu1	
槧	tʰim3	
槭	ɗok7	
槭	ɕa2	木葉落
槲	kok7	
槳	ɗa2	
槽	tɘu4	
槿	kan2	
樁	tɕoːŋ1	
樂	loːk10	快~
樂	ȵa6	音~
樂	ȵɒu6	喜愛:仁者~山|智者~水
樅	ɗoŋ1	~陽:地名,在安徽
樅	tʰoŋ1	樹名
樊	fɔɑ̯n4	
樓	lau4	
樗	ɕy1	
樘	toːŋ4	門框或窗框
樘	tɕʰa1	支柱,又用于人名
標	ɓiu1	
樞	ɕy1	
樟	tɕa1	
模	mu1	
樣	ja6	
樣	ja3	這樣;那樣
樣	jeŋ6	這樣;那樣
樨	ɬai1	
樳	tam4	
樵	ɗiu1	
樸	pʰoːk8	
樹	ɕy6	
樺	wɔ6	
樽	ɗÿn1	
樾	jœa̯t10	
橄	kɒm2	
橈	nɒu4	
橋	kiu4	
橐	tʰoːk8	
橘	kʷat7	
橙	tɕeŋ4	
橛	kÿt7	
機	ki1	
橡	ta6	
橢	tʰœ2	
橫	wa4	
檀	tɔɑ̯n4	
檁	lam5	
檉	tɕʰeŋ1	
檎	tɕam4	
檐	jim4	
檐	jɛa̯m4	頂部向外延伸;頭~(劉海)
檑	lui4	
檔	ɗoːŋ2	檔案
檔	ɗoːŋ3	大排檔
檗	ɓa2	
檜	kʷʰai3	
檠	keŋ4	
檢	kim2	
檣	ta4	
檁	lam6	
檫	tɕʰɔɑ̯t8	
檬	moŋ1	
檬	moŋ4	見《玉林市志》
檯	tɔɑ̯i4	
檳	ɓan1	
檸	neŋ4	
檻	kʰɒm2	
檾	kʷʰeŋ2	
櫃	kʷai6	
櫓	lu5	
櫚	ly4	
櫛	tɕit7	
櫝	tok9	
櫞	jÿn4	
櫟	lek9	
櫟	ja6	~陽:地名
櫥	tɕy4	
櫧	tɕy1	
櫪	lek9	
櫫	tɕy1	
櫬	tɕʰan3	
蘖	nᴇɐ̯t10	
蘖	nɛa̯p10	又讀
櫳	loŋ4	
櫸	ky2	
櫻	eŋ1	
櫼	ɗɛa̯m1	引自《廣西玉林話音系》(周成松,2003)。該文止給出的該字的韻母,聲母及聲調由錄入者推定。推定此字爲玉林話中[tem1]字,義爲「戳、刺」
欄	lɔɑ̯n4	
欄	lɔɑ̯n1	畜養牛、羊等牲畜的處所
權	kÿn4	
欏	lɵ4	
欒	lÿn4	
欖	lɒm2	
欛	ɓɔ3	
欞	leŋ4	
欠	jim3	
次	tʰi3	
欣	jan1	
欲	jok9	
欷	hi1	
欸	ɛ3	疑惑聲
欸	ɦei4	嘆息聲
欸	ei3	應答聲
欹	ki5	陡
欺	hi1	
欽	ham1	
款	wun2	
歃	ɕɒp8	
歆	ham1	
歇	jit7	
歉	kʰim2	
歌	kɵ1	
歎	tʰɔɑ̯n3	
歐	au1	
歙	hap7	
歙	ɕip7	~縣
歟	jy4	
歡	wun1	
止	tɕi2	
正	tɕeŋ1	~月
正	tɕeŋ3	
此	tʰi2	
步	pu6	
武	fu5	
武	mu5	異讀
歧	ki4	
歪	wɔɑ̯i1	
歪	mɔɑ̯i2	訓讀。可能和me2是一對doublet
歲	ɬui3	
歷	lek9	
歸	kʷai1	
歹	ɗɔɑ̯i2	
死	ɬi2	
殁	mɔɑ̯t10	
殁	mɔɑ̯t10	
殂	tu4	
殃	ja1	
殆	ɗai1	
殉	tan6	
殊	ɕy4	
殍	pʰiu2	
殖	tɕek9	
殘	tɔɑ̯n4	
殛	kek7	
殞	wan5	
殤	ɕa1	
殪	ji3	
殫	ɗɔɑ̯n1	
殮	lim5	
殯	ɓan3	
殳	ɕy4	
段	tÿn6	
殷	an1	
殺	ɕɔɑ̯t8	
殼	hak7	
殿	tin6	
毁	wai2	
毁	wai2	
毃	kʷak7	物體撞到頭部
毅	ŋai6	
毆	au3	
毋	fu4	
母	mu5	
每	mui5	
毒	tok9	
毓	jok7	
比	ɓi2	
毛	mɘu4	
毛	mɘu1	發~:發霉|雨~:微小的、可隨風飘的雨滴
毪	mu4	
毫	ɘu4	
毬	tɕau4	
毯	tʰɔɑ̯n2	
毳	tʰui3	
毹	ɕy1	
毽	kin6	
毿	ɬɒm1	
氅	tɕʰoːŋ2	
氆	pʰu2	
氈	tɕin1	
氌	lu5	
氍	ky4	
氏	ɕi6	
氐	ɗai2	
民	man4	
氕	pʰit7	
氖	nɔɑ̯i5	
氘	ɗɘu1	
氙	ɬin1	
氚	tɕʰÿn1	
氛	fan1	
氡	ɗoŋ1	
氣	hi3	
氤	an1	
氦	hɔɑ̯i3	
氧	ja5	
氨	ɔɑ̯n1	
氪	hak7	
氫	heŋ1	
氬	ɔɑ̯t8	
氮	tɒm5	
氯	lok9	
氰	teŋ4	
氳	wan1	
水	ɕui2	
氵	ɕui2	
永	weŋ5	
氽	tʰan2	
氾	fɒm4	地名;河流名;姓
氾	fɒm3	大水淹
汀	tʰeŋ1	
汁	tɕap7	
求	tɕau4	
求	kau4	異讀
汆	tʰÿn1	
汊	tɕʰɔ1	
汐	tek9	
汔	at9	
汗	ŋɔɑ̯n6	
汙	wu1	
污	wu1	
汜	ti5	
汝	ɕy5	
汞	koŋ3	
江	kaŋ1	
池	tɕi4	
污	wu1	
汨	mek9	
汩	kut9	
汪	woːŋ1	
汰	tʰɔɑ̯i3	
汲	kap7	白讀
汲	tɕap7	
汴	pin6	
汶	man6	
決	kʰÿt7	
汽	hi3	
沁	ɬam2	
沁	tʰam3	
沃	jok7	因「沃」是「澳」的二簡字,故也有人讀「澳」
沅	ȵÿn4	
沆	oːŋ5	
沈	ɕam2	
沉	tɕam4	
沌	tan6	
沏	tʰit7	
沐	mok9	
没	mɔɑ̯t10	
沓	tɒp10	
沔	min5	
沖	tɕʰoŋ1	沖泡:~劑(沖泡後服用的顆粒藥劑)|~糨|~藕粉;;山~
沖	tɕʰoŋ3	用水沖洗
沙	ɕɔ1	
沛	pʰui3	
沫	mɔɑ̯t10	
沭	ɕat9	
沮	ɗy1	河流
沮	ɗy2	~喪
沱	tɵ4	
沲	tɵ4	
河	ɵ4	
沸	fi3	
油	jau4	
治	tɕi6	
沼	tɕiu2	
沽	ku1	
沾	tɕim1	
沿	jÿn4	
况	kʷʰoːŋ3	
泄	ɬit7	
泉	tÿn4	
泊	poːk10	
泌	ɓi3	
泐	lak9	
泓	oŋ4	
泔	kɒm1	
法	fɔɑ̯t8	
泖	mau5	
泗	ɬi3	
泛	fɒm3	
泠	leŋ4	
泡	pʰɒu1	名詞:燈~、水~
泡	pʰɒu3	動詞:~茶
泡	pɘu5	泡沫
波	ɓɵ1	
泣	lap7	
泥	nai4	
注	tɕy3	
泫	jÿn4	
泮	pʰun3	
泯	man5	
泰	tʰɔɑ̯i3	
泱	ja1	
泳	weŋ6	
泳	weŋ5	新
泵	ɗam1	
洄	wui4	
洇	jan1	
洋	ja4	
洌	lᴇɐ̯t10	
洎	ki6	
洎	ki3	肉汁
洗	ɬai2	
洙	tɕy1	
洚	kaŋ3	
洛	loːk8	
洞	toŋ6	山~
津	ɗan1	
洧	wai5	
洩	jai6	
洪	oŋ4	
洫	kʷʰek7	
洮	tɘu4	
洮	jiu4	
洲	tɕau1	
洳	ɕy6	
洵	tan4	
洶	hoŋ1	
洹	wun4	
活	wɔɑ̯t10	
洽	hɒp8	
派	pʰɔɑ̯i2	
派	pʰɔɑ̯i3	又讀
流	lau4	
浖	lœa̯t10	小水溝;小溪流;洗涤、汲水、灌溉用的水渠
浙	tɕit7	
浜	ɓaŋ1	
浞	ɕoːk10	
浠	hi1	
浣	wun5	
浥	jap7	
浦	pʰu2	
浩	ɘu6	
浪	loːŋ6	
浮	fu4	白讀
浮	fau4	輕~|~躁
浯	ŋ̍4	
浴	jok9	
海	hɔɑ̯i2	
浸	ɗam3	
浹	ɗip7	
浼	mui5	
涂	tu4	
涅	nɛa̯p10	又讀
涅	nᴇɐ̯t10	
涇	keŋ1	
消	ɬiu1	
涉	ɕɛa̯p10	
涌	ȵoŋ2	同「湧」
涌	tɕʰoŋ1	地名用字,廣西多作「冲」,廣東多作「涌」,本字爲「潨」
涎	jin5	
涑	ɬok7	
涓	kÿn1	
涔	ɕam4	
涕	tʰai3	
涪	fau4	
涮	ɕɔɑ̯n3	刷洗:~淨|出力~;清洁用具:牙~|~掃
涯	ŋɔɑ̯i4	
液	ek9	
涵	ɒm4	
涸	oːk10	
涼	la4	
涿	ɗok7	
淅	ɬek7	
淆	ȵɒu4	
淇	ki4	
淋	lam4	
淌	tʰoːŋ2	
淑	ɕok7	
淒	tʰai1	
淘	tɘu4	
淙	toŋ4	
淚	lui6	
淝	fi4	
淞	ɬoŋ1	
淠	pʰai3	舟行貌;茂盛貌
淠	pʰi3	河流名
淡	tɒm5	
淥	lok9	
淦	kɒm3	
淨	teŋ6	
淪	lan4	
淫	jam4	
淬	tʰui3	
淮	wɔɑ̯i4	
深	ɕam1	
淳	ɕan4	
淵	jÿn1	
淶	lɔɑ̯i4	
混	kʷan2	
淹	jim2	
淺	tʰin2	
添	tʰim1	
淼	miu5	
清	tʰeŋ1	
渙	wun6	
渚	tɕy2	
減	kɒm2	
渝	jy6	
渠	ky4	
渡	tu6	
渣	tɕɔ1	
渤	pɔɑ̯t10	
渥	ak7	
渦	wɵ1	
渫	ɬit7	
測	tɕʰak7	
渭	wai6	
港	kaŋ2	
渲	ɬÿn3	
渴	hɔɑ̯t8	
游	jau4	
渺	miu5	
渾	wan4	~沌|~~噩噩
渾	wan5	
湃	pʰɔɑ̯i3	
湄	mi4	
湊	tʰau3	
湍	tʰÿn1	
湎	min5	
湓	pun4	
湔	ɗin1	
湖	wu4	
湘	ɬa1	
湛	tɕɒm5	
湞	tɕeŋ1	
湟	woːŋ4	
湣	man5	
湣	wun1	滑~:昏亂貌
湧	ȵoŋ2	
湫	ɗau1	
湮	jin1	
湯	tʰoːŋ1	
湲	jÿn4	
湽	ɗi1	
漵	ty5	
潙	kʷai1	
溉	kʰɔɑ̯i3	
溏	toːŋ4	
源	ȵÿn4	
準	tɕan2	
溘	hɒp8	
溜	lau3	順口~
溝	kau1	
溟	meŋ4	
溢	jat9	
溥	pʰu2	
溧	lᴇɐ̯t10	
溪	kʰai1	
溫	wan1	
溯	ɬu3	
溱	ɗan1	
溲	ɕau1	
溴	tɕʰau3	
溶	joŋ4	
溷	wan6	
溺	nek9	
溻	tʰɒp8	
溼	ɕap7	
溽	ȵok9	
滂	poːŋ4	
滄	tʰoːŋ1	
滅	mᴇɐ̯t10	
滇	ɗin1	
滋	ɗi1	
滌	tek9	
滎	weŋ4	
滏	fu5	
滑	wɔɑ̯t10	
滔	tʰɘu1	
滕	taŋ4	
滬	wu5	
滯	tɕai6	
滯	tai6	見《广西通志·汉语方言志》
滲	tɕʰɒm3	文讀
滲	ȵɒm3	白讀
滴	ɗek7	
滷	lu5	
滸	wu4	水~傳
滸	hy2	地名
滹	wu1	
滚	kʷan2	
滿	mun5	
漁	ȵy4	
漂	pʰiu1	~泊
漂	pʰiu3	~亮,~白
漆	tʰat7	
漉	lok9	
漏	lau6	
漏	lau4	勾~山|勾~洞
漓	li4	
演	jin5	
漕	tɘu4	
漚	au3	
漠	moːk10	
漢	hɔɑ̯n3	
漣	lin4	
漦	ɕɔɑ̯n4	黏液。~水:口水
漩	ɕÿn4	
漪	ji1	
漫	mɔɑ̯n6	
漬	ti6	
漭	moːŋ5	
漯	tʰɒp8	古河名,在山東
漯	lui5	古河名,發源于山西省神池縣東
漯	lœ6	市名,在河南省
漱	ɕu3	
漲	tɕa3	
漳	tɕa1	
漵	ty5	
漶	wun6	
漸	tim6	
漾	ja6	
漿	ɗa1	豆~
漿	ɗa3	糖~
潁	weŋ5	
潊	ty5	
潑	pʰut7	
潔	kit7	
潘	pʰun1	
潙	kʷai1	
潛	tim4	
潢	woːŋ4	
潤	ȵan6	
潦	lᴇɐ̯u2	筆跡潦草
潭	tɒm4	
潮	tɕiu4	
潯	tam4	
潰	kʷai6	
潲	ɕɒu3	
潷	ɓat7	
潸	ɕɔɑ̯n1	
潺	tɕɔɑ̯n4	
潼	toŋ4	
潿	wai4	
澀	tɕɒp8	又讀
澀	tɕɒp10	又讀
澀	ȵɒp8	白讀:粗糙
澄	tɕeŋ4	
澆	ȵiu4	
澇	lɘu1	
澈	tɕʰit7	
澉	kɒm2	
澌	ɬi1	
澍	ɕy6	時雨
澍	tɕy3	通「注」
澎	pa4	
澗	kɔɑ̯n3	
澠	min5	澠池
澠	ɕeŋ4	
澡	ɗɘu2	
澤	tɕa6	
澧	lai5	
澩	ɔ6	
澮	kʷai3	
澱	tin6	
澳	ɘu3	
澶	ɕin4	
澹	tɒm4	
激	kek7	
濁	tɕoːk10	
濂	lim4	
濃	noŋ4	
濉	ɬui1	
濕	ɕap7	
濘	neŋ6	
濛	moŋ1	~~雨:細雨
濞	pʰi3	
濟	ɗai3	
濠	ɘu4	
濡	ɕy4	
濤	tɘu4	
濫	lɒm6	
濮	ɓok7	
濯	tɕoːk10	
濱	ɓan1	
