#漢字	音標	解釋
□	moːŋ1	帶黏性的半透明網狀物:lou4-6zou1~(蛛網)|豬腸~(豬網油)
卅	ɬɒp8	
升	ɕeŋ1	
升	ɕøŋ1	白讀:米~
午	ŋ̍5	
卉	jui2	
半	ɓun3	
卑	ɓi1	
卒	ɗat7	
卓	tɕoːk8	
協	jip7	
南	nɒm4	
博	ɓoːk8	
卜	ɓok7	
卞	pin6	
卟	ɓok7	
占	tɕim1	
卡	kʰɔ1	
卣	jau5	
卦	kʷɔ3	
卩	ɗit7	
卮	tɕi1	
卯	mau5	
卯	mɒu5	又讀,市區、仁東口音無mou音節,所有mou倂入mau
印	an3	又讀
印	jan3	
印	jan2	印跡,痕跡
印	an2	又讀。印跡,痕跡
危	ŋai4	
即	ɗek7	
卵	lÿn5	
卷	kÿn2	
卸	ɬɛ3	
卺	tɕan2	
卻	kʰa2	
卿	heŋ1	
厄	a2	
厘	li1	
厙	ɕɛ3	
厚	au5	薄~
厚	au6	地名用音:六~(在北流大里)
厝	tʰu3	
原	ȵÿn4	
厥	kÿt7	
厭	jim3	
厲	lai6	
厴	jim2	
厶	mau5	同「某」
厶	ɬi1	同「私」
去	hy3	
參	tʰɒm1	~加
參	tɕʰɒm1	~差
參	ɕam1	人~
叄	ɬɒm1	
又	jau6	
叉	tɕʰɔ1	
及	tɕap9	
友	jau5	
反	fɔɑ̯n2	
叔	ɕok7	
取	tʰy2	
受	ɕau6	
叛	pʰun3	
叟	ɬau2	
叢	ɬoŋ1	見1959年字表
叢	toŋ4	見《玉林市志》
口	hau2	
古	ku2	
古	ku1	朱~力:巧克力
句	ky3	
另	leŋ6	
叨	ɗɘu1	
叩	kʰau3	
只	tɕi2	
叫	kiu3	
召	tɕiu6	
叭	ɓɔ1	
叮	ɗeŋ1	
可	hɵ2	
台	ji4	古越語第一人稱
台	tʰɔɑ̯i1	地名:天~|~州
叱	tɕʰek7	
史	ɕi2	
右	jau6	
叵	pʰɵ2	
司	ɬi1	
叻	lek7	
叼	ɗiu1	
吁	hy1	
吂	ma5	没有
吃	kʰᴇɐ̯t8	擬笑聲
吃	hek7	食用,本字爲「喫」
各	koːk8	
吆	ᴇɐ̯u1	白讀
吆	jiu1	文讀
合	ɒp10	
吉	kat7	
吊	ɗiu3	
同	toŋ4	
名	meŋ4	
后	au6	
吏	li6	
吐	tʰu3	
向	ja3	
吒	tɕɔ3	
吔	jɛ3	
吖	ɔ1	
君	kʷan1	
吝	lan6	
吞	tʰan1	
吟	ŋam4	白讀
吟	ȵam4	文讀
吠	fi6	
吡	ɓi2	
否	fau2	
否	pʰi2	否極泰來
吧	pʰɔ2	
吧	ɓɔ1	酒~,網~
吩	fan1	
含	ɒm4	
吭	oːŋ4	
吱	tɕi1	
吲	jan5	
吳	ŋ̍4	
吵	tɕʰɒu3	
呐	nɒp10	
吸	tɕap7	
吸	kʰap7	異讀
吹	tɕʰui1	
吻	man5	
吼	hau2	
吾	ŋ̍4	
呀	jɔ3	驚異聲
呀	jɵ3	驚異聲
呀	ja6	徵求同意的句尾語氣助詞
呂	ly5	
呃	ŋak7	
呆	ɗɔɑ̯i1	
呈	tɕeŋ4	
告	kɘu3	
呋	fu1	
呢	nɛ2	句尾語氣助詞。①「冇呢」用在句尾構成是非疑問句:我去北流,你去冇~?②詢問相應情形下“要怎麼樣”:我明日回北流,你~?|——見男嘅就喊伯公。——女嘅~?
呢	nɛ6	用在句尾詢問“在哪儿”:我隻鞋~?
呢	ni4	~絨
呤	leŋ4	
呦	jau1	
呦	jɒu1	
周	tɕau1	
呱	kœ1	
呲	ɗi3	
味	mi6	
呵	hɵ1	
呶	nɒu4	暄囂,熱鬧
呷	hɒp8	
呻	ɕan1	
呼	hɵ1	口語,多含戲謔意:嗚~(死)
呼	wu1	
命	meŋ6	
咀	ɗui2	
咂	ɕɒp8	
咄	ɗœa̯t8	大聲講話
咆	pɒu4	
和	wɵ4	
咎	kau3	
咐	fu3	
咒	tɕau3	
咕	ku4	
咖	kɔ1	~哩
咖	kʰɔ1	~啡
咚	ɗoŋ1	
咣	kʷoːŋ1	
咤	tɕɔ3	
咦	ji3	
咧	lɛ5	
咧	lɛ1	
咩	mɛ2	
咪	mi1	
咫	tɕi2	
咬	ȵɒu5	
咭	kʰᴇɐ̯t8	笑聲
咯	kok7	
咱	ȵan1	
咳	kʰat7	
咸	ɒm4	
咻	jau1	
咼	wɔɑ̯i1	同「歪」
咼	wɔ1	
咼	wɔ2	斜垂
咽	jin3	
咿	ji1	
