#漢字	音標	解釋
㨣	ŋoŋ5	拥
伯	pæ2	
伯	pæ7	
伯	piæ7	
估	ku3	
伴	pan6	
伶	lin2	
伸	ʂən1	
伺	tsʰɿ5	
似	sɿ6	
佃	tiɛn6	
但	tan6	
位	uei6	
低	ti1	
住	tʂʯ6	
佐	tso3	
佑	iəu6	
體	tʰi3	
何	xo2	
余	ʯ2	
佛	fu2	
作	tso7	
佝	kəu1	
佣	ioŋ5	
佩	pʰei5	
佬	lau3	
佯	tɕʰiaŋ2	
佳	tɕia1	
使	sɿ3	
使	ʂʅ3	
侃	kʰan3	
侄	tsɿ7	
侄	tʂʅ7	
侈	tsʰɿ3	
侈	tʂʰʅ3	
例	li6	
侏	tʂʯ1	
供	koŋ1	
供	koŋ5	
依	i1	
俠	ɕia2	
偵	tʂən1	
側	tsʰæ7	
僑	tɕʰiau2	
儈	kʰuai5	
侮	u3	
侯	xəu2	
侵	tɕʰin1	
便	pʰiɛn2	
便	kən3	
便	piɛn6	
促	tsʰəu7	
俄	ŋo2	
俄	o7	
俊	tɕin5	
俏	tɕʰiau5	
俗	səu7	
俘	fu1	
保	pau3	
儉	tɕiɛn3	
修	ɕiəu1	
俯	fu3	
俱	tʂʯ6	
倍	pi6	
倍	pei6	
倒	tau3	
倒	tau5	
倔	tʂʯæ7	
倘	tʰaŋ3	
候	xəu5	
借	tɕiɛ5	
借	tɕiæ5	
倡	tʂʰaŋ5	
倦	tʂʯan6	
倪	li2	
債	tʂai5	
值	tsɿ2	
值	tʂʅ2	
傾	tɕʰin3	
假	tɕia3	
偎	uei1	
偏	pʰiɛn5	
做	tsəu5	
停	tʰin2	
健	tɕiɛn6	
偶	ŋəu3	
偷	tʰəu1	
償	ʂaŋ3	
傅	fu5	
傍	paŋ6	
傢	tɕia1	
儲	tʂʰʯ2	
催	tsʰei1	
傲	ŋau6	
傻	ʂa3	
像	tɕʰiaŋ5	
像	tɕiaŋ6	
像	ɕiaŋ6	
僚	liau2	
僵	tɕiaŋ1	
僻	pʰi7	
儒	ʐʯ2	
兒	e2	
兒	ə2	
允	ʯəŋ3	
元	ʯan2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
兆	tʂau6	
先	ɕiɛn1	
光	kuaŋ1	
克	kʰæ7	
免	miɛn3	
兑	ti5	
兑	tei5	
兔	tʰəu5	
黨	taŋ3	
兜	təu1	
兢	tɕin5	
全	tɕʰiɛn2	
八	pa7	
公	koŋ1	
六	ləu7	
蘭	lan2	
共	koŋ6	
關	kuan1	
興	ɕin1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	tʂʯ6	
典	tiɛn3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiɛn1	
獸	ʂəu5	
内	li6	
内	lei6	
冇	mau6	
岡	kaŋ1	
冉	ʐʯan3	
册	tsʰæ7	
再	tsai5	
冒	mau6	
冕	miɛn3	
寫	ɕiɛ3	
寫	ɕiæ3	
軍	tʂʯəŋ1	
農	loŋ2	
冠	kuan1	
冠	kuan5	
冤	ʯan1	
冥	min2	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tʂʰoŋ1	
冲	tʂʰoŋ5	
決	tʂʯæ7	
况	kʰuaŋ5	
冶	iɛ3	
冶	iæ3	
冷	lən3	
凍	toŋ5	
冽	liɛ7	
冽	liæ7	
淨	tɕin5	
凄	tɕʰi1	
準	tʂʯəŋ3	
涼	liaŋ2	
凋	tiau1	
凌	lin2	
凌	lin6	
減	tɕiɛn3	
湊	tsʰəu5	
凝	lin2	
几	tɕi1	
几	tɕi3	
凡	fan2	
鳳	foŋ6	
鳧	fu2	
凱	kʰai3	
凰	xuaŋ2	
凳	tən5	
凶	ɕioŋ1	
凸	tʰəu2	
凹	ua5	
出	tʂʰʯ7	
擊	tɕi2	
函	xan2	
鑿	tso7	
鑿	tsʰo7	
刀	tau1	
刁	tiau1	
刃	ʐʯəŋ3	
分	fən1	
分	fən6	
切	tɕʰiɛ7	
切	tɕʰiæ7	
刈	i6	
刊	kʰan1	
刎	uəŋ3	
刑	ɕin2	
划	fa2	
划	xua2	
划	fa6	
划	xua6	
列	liɛ7	
列	liæ7	
劉	liəu2	
則	tsæ7	
剛	kaŋ1	
創	tʂʰaŋ5	
初	tʂʰəu1	
删	ʂan1	
判	pʰan5	
刨	pʰau2	
刨	pau6	
利	li6	
别	piɛ2	
别	piæ2	
刮	kua7	
到	tau5	
制	tsɿ3	
制	tʂʅ5	
刷	ʂʯa2	
券	tʂʯan3	
刹	ʂa7	
刺	tsʰɿ5	
刻	kʰæ7	
劊	kʰuai5	
刴	to5	
劑	tɕi5	
剃	tʰi5	
削	ɕio7	
剋	kʰiɛ3	
剋	kʰiæ3	
前	tɕʰiɛn2	
剮	kua3	
劍	tɕiɛn5	
剖	pʰo3	
剝	po7	
劇	tʂʯ6	
剩	ʂən6	
剪	tɕiɛn3	
副	fu5	
割	ko7	
剽	pʰiau2	
剿	tɕiau3	
劈	pʰi7	
力	li7	
勸	tʂʰʯan5	
辦	pan6	
功	koŋ1	
加	tɕia1	
劣	liɛ7	
劣	liæ7	
動	toŋ6	
助	tʂʰəu5	
助	tʂəu6	
努	ləu3	
劫	tɕiɛ7	
劫	tɕiæ7	
勵	li6	
勁	tɕin5	
勞	lau2	
勢	sɿ5	
勢	ʂʅ5	
勃	pʰu7	
勃	po7	
勇	ʐoŋ3	
勉	miɛn3	
勳	ʂʯəŋ1	
勒	læ2	
勘	kʰan1	
募	moŋ6	
勤	tɕʰin2	
勾	kəu1	
勿	u7	
匀	ʯəŋ2	
包	pau1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
匕	pi3	
化	fa5	
化	xua5	
北	pæ7	
北	piæ7	
匙	sɿ3	
匙	ʂʅ3	
匠	tɕiaŋ6	
匡	kʰuaŋ1	
匣	ɕia2	
匪	fei3	
匹	pʰi2	
區	tʂʰʯ1	
區	ŋəu1	
醫	i1	
匾	piɛn3	
十	sɿ2	
十	ʂʅ2	
千	tɕʰiɛn1	
升	ʂən1	
午	u3	
卉	xuei5	
半	pan5	
華	fa2	
華	xua2	
協	ɕiɛ2	
協	ɕiæ2	
卑	pei1	
卒	tsəu7	
卓	tʂo2	
單	tan1	
賣	mai5	
南	lan2	
博	po2	
卜	pʰu7	
卞	piɛn6	
占	tʂan5	
卡	kʰa3	
盧	ləu2	
卤	ləu3	
卦	kua5	
臥	o5	
衛	uei6	
卯	mau3	
危	uei2	
即	tɕi7	
卻	tɕʰio7	
卵	lan3	
卷	tʂʯan3	
卷	tʂʯan5	
卸	ɕiɛ5	
卸	ɕiæ5	
廠	tʂʰaŋ3	
厄	ŋæ7	
廳	tʰin1	
历	li7	
厲	li6	
壓	ia7	
厭	iɛn5	
廁	tsʰæ7	
厘	li2	
厚	xəu5	
原	ʯan2	
廂	ɕiaŋ1	
厦	ɕia6	
廚	tʂʰʯ2	
廄	tɕiəu5	
去	tɕʰi5	
縣	ɕiɛn6	
叄	san1	
参	tsʰan1	
参	tsʰən1	
参	ʂən1	
又	iəu6	
叉	tʂʰa1	
及	tɕi7	
友	iəu3	
雙	ʂʯaŋ1	
反	fan3	
发	fa7	
叔	ʂəu7	
受	ʂəu6	
變	piɛn5	
敍	ɕi6	
叛	pʰan5	
疊	tiɛ7	
疊	tiæ7	
口	kʰəu3	
古	ku3	
句	tʂʯ5	
另	lin6	
叨	fau1	
叩	kʰəu5	
叫	tɕiau5	
召	tʂau6	
叮	tin1	
可	kʰo3	
台	tʰai2	
史	sɿ3	
史	ʂʅ3	
右	iəu6	
葉	iɛ7	
葉	iæ7	
號	xau2	
號	xau6	
司	sɿ1	
嘆	tʰan5	
叼	tiau1	
嘰	tɕi1	
吁	ʯ5	
吃	tɕʰi7	
各	ko7	
合	xo2	
吉	tɕi7	
吊	tiau5	
同	foŋ2	
名	min2	
吏	li6	
吐	tʰəu3	
吐	tʰəu5	
向	ɕiaŋ5	
嚇	xæ7	
呂	ʯ3	
君	tʂʯəŋ1	
吝	lin6	
吞	tʰən1	
吟	in2	
吠	fei5	
吧	pa1	
吨	tən1	
含	xan2	
聽	tʰin1	
聽	tʰin5	
吭	kʰən1	
吮	ʂʯəŋ3	
啓	tɕʰi3	
吱	tsɿ1	
吱	tʂʅ1	
吳	u2	
吵	tʂʰau3	
吸	tɕi7	
吹	tʂʰʯei1	
吻	uəŋ3	
吼	xəu3	
呀	ia3	
呆	tai1	
呈	tʂʰən2	
告	kau5	
呐	la7	
嘔	ŋəu3	
員	ʯan2	
嗆	tɕʰiaŋ5	
嗚	u1	
呢	li2	
周	tʂəu1	
呱	kua1	
味	uei6	
呻	ʂən1	
呼	xu1	
命	min6	
咆	pʰau2	
和	xu2	
和	xo2	
和	xo6	
咎	tɕiəu6	
詠	ʯəŋ5	
咒	tʂəu5	
咕	ku1	
嚨	loŋ2	
咚	toŋ1	
嚀	lin2	
咧	liɛ7	
咧	liæ7	
咨	tsɿ1	
咪	mi1	
咬	ŋau3	
咳	kʰæ7	
咸	xan2	
咸	ɕiɛn2	
咽	iɛn1	
咽	iɛn6	
哀	ŋai1	
品	pʰin3	
哄	xoŋ1	
哄	xoŋ3	
哄	xoŋ5	
哆	to1	
哇	ua1	
哇	ua3	
哈	xa1	
哈	xa3	
哉	tsai1	
響	ɕiaŋ3	
啞	ŋa5	
啞	ia5	
噥	loŋ2	
哥	ko1	
哨	ʂau5	
哪	la3	
哭	kʰu7	
哲	tʂæ7	
哺	pʰu3	
哼	xən1	
哽	kən3	
唆	so1	
脣	tʂʰʯəŋ2	
唉	ŋai1	
唐	tʰaŋ2	
嗩	so3	
喚	xuan5	
唬	xu3	
售	ʂəu6	
唯	uei2	
唱	tʂʰaŋ5	
唾	tʰo5	
啃	kʰən3	
啄	tʂo7	
商	ʂaŋ1	
啕	fau2	
啡	fei1	
啤	pʰi2	
啮	liɛ7	
啮	liæ7	
囉	lo1	
嘯	ɕiau5	
啼	tʰi2	
喂	uei5	
善	ʂan6	
喇	la3	
喉	xəu2	
喊	xan3	
喘	tʂʰʯai3	
喜	ɕi3	
喝	xo7	
喧	ɕiɛn1	
噴	pʰən1	
噴	fən5	
喻	ʯ5	
嗅	ɕiəu5	
嗒	ta7	
嗓	saŋ3	
嗝	kiɛ3	
嗝	kiæ3	
嗡	ŋoŋ1	
嗡	oŋ1	
嗣	sɿ6	
嗤	tsʰɿ1	
嗤	tʂʰʅ1	
嗥	xau2	
嗦	so7	
嗽	səu5	
嘈	tsʰau2	
嘉	tɕia1	
嘘	ʂʯ1	
嘣	poŋ1	
囑	tʂəu7	
嘲	tʂʰau2	
嘴	tsei3	
嘶	sɿ1	
嘻	ɕi1	
噎	iɛ1	
噎	iæ1	
器	tɕʰi5	
噩	ŋo7	
嚎	xau2	
嚓	tsʰa7	
囂	ɕiau1	
嚷	laŋ2	
嚷	ʐʯaŋ3	
嚼	tɕio2	
嚼	tɕiau2	
囚	tɕʰiəu2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰan2	
園	ʯan2	
困	kʰuəŋ5	
囱	tsʰoŋ1	
圍	uei2	
固	ku5	
國	kuæ7	
圖	tʰəu2	
圓	ʯan2	
圈	tʂʰʯan1	
圈	tʂʯan6	
土	tʰəu3	
聖	ʂən5	
在	tsai6	
圭	kuei1	
地	ti6	
場	kæ2	
場	tʂʰaŋ2	
場	tʂʰaŋ3	
圾	tɕi2	
址	tsɿ3	
址	tʂʅ3	
均	tʂʯəŋ1	
坊	faŋ2	
坍	tʰan1	
坎	kʰan3	
壞	xuai6	
坐	tso6	
坑	kʰən1	
塊	kʰuai3	
堅	tɕiɛn1	
坛	tʰan2	
壩	pa5	
墳	fən2	
墜	tʂʯei6	
坡	pʰo1	
坤	kʰuəŋ1	
坦	tʰan3	
坪	pʰin2	
坯	pʰi1	
坯	pʰei1	
坳	ŋau5	
垂	tʂʰʯei2	
垃	la1	
壟	loŋ3	
型	ɕin2	
垒	lei3	
垜	to5	
垢	kəu5	
墾	kʰən3	
墊	tiɛn6	
垮	kʰua3	
埃	ŋai2	
埋	mai2	
埋	man2	
城	tʂʰən2	
域	liɛn2	
域	ʯ7	
埠	pu6	
培	pʰi2	
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堆	tei1	
墮	to6	
堡	pau3	
堤	tʰi2	
堪	kʰan1	
堰	iɛn5	
堵	təu3	
塑	ʂo2	
塔	tʰa7	
塘	tʰaŋ2	
塞	sai5	
塞	sæ7	
填	tʰiɛn2	
填	kən3	
塾	ʂəu7	
境	tɕin5	
牆	tɕʰiaŋ2	
增	tsən1	
墟	ʂʯ1	
墨	mæ7	
墩	tən1	
壁	pi7	
壅	ʐoŋ1	
壕	xau2	
壤	ʐʯaŋ3	
士	sɿ6	
士	ʂʅ6	
壯	tʂʯaŋ5	
聲	ʂən1	
殼	kʰo7	
壺	xu2	
處	tʂʰʯ3	
處	tʂʰʯ5	
備	pi6	
備	pei6	
复	fu2	
夏	ɕia6	
夕	ɕi7	
外	uai6	
多	to1	
夜	iɛ5	
夜	iæ5	
够	kəu5	
夥	xo3	
大	ta6	
天	tʰiɛn1	
太	tʰai5	
夫	fu1	
夭	iau1	
央	iaŋ1	
夯	xaŋ1	
頭	tʰəu2	
夸	kʰua1	
夾	ka7	
夾	tɕia7	
奪	to2	
奇	tɕi1	
奇	tɕʰi2	
奈	lai6	
奉	foŋ6	
奮	fən5	
奎	kʰuei2	
奏	tsəu5	
契	tɕʰi5	
奔	pən1	
獎	tɕiaŋ3	
套	fau5	
奠	tiɛn6	
奧	ŋau5	
女	ʯ3	
奴	ləu2	
奶	lai3	
奸	tɕiɛn1	
好	xau3	
好	xau5	
如	ʐʯ2	
妃	fei1	
妄	uaŋ5	
妝	tʂʯaŋ1	
婦	fu5	
媽	ma1	
妒	təu5	
妓	tɕi6	
妖	iau1	
妙	miau6	
妣	pʰi3	
妥	tʰo3	
妨	faŋ2	
妯	tʂəu2	
妹	mi6	
妹	mei6	
妻	tɕʰi1	
妾	tɕʰiɛ7	
妾	tɕʰiæ7	
姆	moŋ3	
姊	tsɿ3	
始	sɿ3	
始	ʂʅ3	
姐	tɕiɛ3	
姐	tɕiæ3	
姑	ku1	
姓	ɕin5	
委	uei3	
姚	iau2	
姜	tɕiaŋ1	
姥	lau3	
姨	i2	
姬	tɕi1	
姻	in1	
姿	tsɿ1	
威	uei1	
娃	ua2	
婁	ləu2	
嬈	ʐʯau2	
嬌	tɕiau1	
娑	so1	
娘	liaŋ2	
娘	ȵiaŋ2	
娟	tʂʯan1	
娥	ŋo2	
娥	o7	
娩	miɛn3	
娛	u2	
娛	ʯ2	
婆	pʰo2	
婊	piau3	
婚	xuəŋ1	
婪	lan2	
嬰	in1	
嬋	ʂan2	
嬸	ʂən3	
婿	ɕi5	
媒	mei2	
媚	mi6	
媚	mei6	
媳	ɕi7	
嫁	tɕia5	
嫂	sau3	
嫌	ɕiɛn2	
嫡	ti7	
嫦	ʂaŋ2	
嫩	lən6	
孀	ʂʯaŋ1	
子	tsɿ3	
孔	kʰoŋ3	
孕	ʯəŋ6	
字	tsɿ6	
存	tsʰən2	
孫	sən1	
孜	tsɿ1	
孝	ɕiau5	
孟	moŋ6	
季	tɕi5	
孤	ku1	
學	ɕio2	
孩	xai2	
孿	lan2	
孳	tsɿ1	
孵	fu1	
孽	ȵiɛ7	
孽	iɛ7	
孽	ȵiæ7	
孽	iæ7	
寧	lin2	
它	tʰa1	
宅	tʂæ2	
宇	ʯ3	
守	ʂəu3	
安	ŋan1	
宋	soŋ5	
完	uan2	
宏	xoŋ2	
宕	taŋ6	
宗	tsoŋ1	
官	kuan1	
宙	tʂəu6	
宜	ȵi2	
寶	pau3	
實	sɿ7	
實	ʂʅ7	
寵	tʂʰoŋ3	
審	ʂən3	
客	kʰæ7	
宣	ɕiɛn1	
室	sɿ7	
室	ʂʅ7	
宪	ɕiɛn5	
宮	koŋ1	
宰	tsai3	
害	xai6	
宴	iɛn5	
宵	ɕiau1	
家	ka1	
家	tɕia1	
容	ʐoŋ2	
寬	kʰuan1	
賓	pin1	
宿	səu7	
宿	ɕiəu7	
寂	tɕi7	
寄	tɕi5	
寅	in2	
密	mi7	
寇	kʰəu5	
富	fu5	
寒	xan2	
寓	ʯ5	
寢	tɕʰin3	
察	tʂʰa2	
寡	kua3	
寨	tʂai6	
寰	xuan2	
寸	tsʰən5	
對	tei5	
寺	sɿ6	
尋	ɕin2	
導	tau6	
壽	ʂəu6	
封	foŋ1	
射	sɛ6	
射	ʂɛ6	
將	tɕiaŋ1	
將	tɕiaŋ5	
尉	uei5	
尊	tsən1	
小	ɕiau3	
少	ʂau3	
少	ʂau5	
尔	e3	
尔	ə3	
尖	tɕiɛn1	
塵	tʂʰən2	
尚	ʂaŋ6	
嘗	ʂaŋ2	
尤	iəu2	
堯	iau2	
就	tɕiəu6	
屍	sɿ1	
屍	ʂʅ1	
尺	tsʰɿ5	
尺	tʂʰʅ7	
尼	li2	
尽	tɕin5	
尾	uei3	
尿	sei1	
尿	liau6	
屁	pʰi5	
層	tsʰən2	
居	tʂʯ1	
居	tʂʯ7	
屈	tʂʰʯ7	
屆	kai5	
屋	u7	
屌	tiau3	
屎	sɿ3	
屎	ʂʅ3	
屏	pʰin2	
屑	ɕiɛ7	
屑	ɕiæ7	
展	tʂan3	
屬	ʂəu7	
屠	tʰəu2	
屢	li3	
屯	tʰən2	
山	ʂan1	
歲	ɕi5	
歲	sei5	
豈	tɕʰi3	
岑	tsʰən2	
岔	tʂʰa5	
嶇	tʂʰʯ1	
崗	kaŋ1	
崗	kaŋ3	
島	tau3	
巖	ŋai2	
嶺	lin3	
岳	io7	
岸	ŋan6	
峽	ɕia2	
巒	lan2	
峭	tɕʰiau5	
峰	foŋ1	
峻	tɕin5	
崇	tʂʰoŋ2	
崔	tsʰei1	
崛	tʂʯæ7	
崩	poŋ1	
嶄	tʂan3	
崴	uai3	
嵌	kʰan1	
巍	uei1	
川	tʂʰʯan1	
州	tʂəu1	
巡	ɕin2	
巢	tʂʰau2	
工	koŋ1	
左	tso3	
巧	tɕʰiau3	
巨	tʂʯ6	
鞏	koŋ3	
巫	u1	
差	tsʰɿ1	
差	tʂʰa1	
差	tʂʰai1	
己	tɕi3	
已	i3	
巴	pa1	
巷	xaŋ6	
巾	tɕin1	
幣	pi6	
幣	pei6	
市	sɿ6	
市	ʂʅ6	
帥	ʂʯai5	
帆	fan2	
師	sɿ1	
師	ʂʅ1	
希	ɕi1	
帳	tʂaŋ5	
帕	pʰa5	
帖	tʰiɛ7	
帖	tʰiæ7	
帘	liɛn2	
帚	tʂəu3	
帝	ti5	
帶	tai5	
席	ɕi2	
幫	paŋ1	
帷	uei2	
常	ʂaŋ2	
幗	kuæ7	
帽	mau6	
幅	fu7	
幌	xuaŋ3	
幕	moŋ6	
幢	tʂʯaŋ6	
干	kan1	
平	pʰin2	
年	liɛn2	
年	ȵiɛn2	
并	pin5	
并	pin6	
幸	ɕin6	
幺	iau1	
幻	xuan6	
幼	iəu5	
幽	iəu1	
廣	kuaŋ3	
莊	tʂʯaŋ1	
慶	tɕʰin5	
庇	pʰi3	
牀	tʂʰʯaŋ2	
序	ɕi6	
庫	kʰu5	
應	in5	
底	ti3	
店	tiɛn5	
廟	miau6	
庚	kən1	
府	fu3	
龐	pʰaŋ2	
廢	fei5	
度	təu6	
座	tso6	
庭	tʰin2	
康	kʰaŋ1	
庸	ʐoŋ1	
廉	liɛn2	
廊	laŋ2	
廓	kʰo7	
廖	liau6	
延	iɛn2	
廷	tʰin2	
建	tɕiɛn5	
開	kʰai1	
异	i6	
弃	tɕʰi5	
弄	loŋ6	
弊	pi6	
弊	pei6	
式	sɿ5	
式	ʂʅ5	
弓	koŋ1	
引	in3	
弘	xoŋ2	
弛	tsʰɿ2	
弛	tʂʰʅ2	
弟	ti6	
張	tʂaŋ1	
弥	mi2	
弦	ɕiɛn2	
弧	xu2	
彎	uan1	
弱	ʐo7	
彈	tʰan2	
彈	tan3	
彈	tan6	
强	tɕʰiaŋ2	
强	tɕʰiaŋ3	
歸	kuei1	
當	taŋ1	
當	taŋ5	
录	ləu7	
形	ɕin2	
彩	tsʰai3	
彪	piau1	
彬	pin1	
彭	pʰən2	
彰	tʂaŋ1	
影	in3	
徹	tʂʰæ7	
彼	pi3	
彼	pei3	
往	uaŋ3	
征	tʂən1	
徑	tɕin5	
待	tai6	
很	xən3	
徊	xuai2	
律	li7	
徐	ɕi2	
徒	tʰəu2	
得	tæ7	
御	ʯ5	
循	ʂʯəŋ2	
微	uei2	
德	tæ2	
徽	xuei1	
心	ɕin1	
必	pi7	
忌	tɕi5	
忍	ʐʯəŋ3	
忏	tʂʰan5	
忖	tsʰən5	
志	tsɿ3	
志	tʂʅ5	
忘	uaŋ2	
忙	maŋ2	
忠	tʂoŋ1	
憂	iəu1	
快	kʰuai5	
忱	tʂʰən2	
念	liɛn6	
念	ȵiɛn6	
忽	xu7	
忿	fən6	
懷	xuai2	
態	tʰai5	
慫	soŋ3	
怎	tsən3	
怒	ləu6	
怕	pʰa5	
怖	pu5	
憐	liɛn2	
思	sɿ1	
怠	tai6	
急	tɕi7	
怦	pʰoŋ1	
性	ɕin5	
怨	ʯan5	
怪	kuai5	
怯	tɕʰiɛ7	
怯	tɕʰiæ7	
總	tsoŋ3	
戀	liɛn6	
恍	xuaŋ3	
恐	kʰoŋ3	
恆	xən2	
恕	ʂʯ5	
恙	iaŋ6	
恢	xuei1	
恣	tsɿ1	
恤	ɕi5	
恤	ʂʯ5	
恨	xən6	
恩	ŋən1	
恭	koŋ1	
息	ɕi7	
恰	kʰa7	
懇	kʰən3	
恶	u5	
恶	ŋo7	
惻	tsʰæ7	
惱	lau3	
悄	tɕʰiau1	
悉	ɕi7	
悍	xan6	
悔	xuei3	
悚	soŋ3	
悟	u6	
悠	iəu1	
患	xuan6	
悦	ʯæ7	
懸	ʂʯan2	
憫	min3	
悲	pei1	
悴	tsʰei5	
悼	tau6	
情	tɕʰin2	
驚	tɕin1	
惑	xuæ7	
惕	tʰi7	
惚	xu7	
惜	ɕi7	
惠	xuei5	
惦	tiɛn5	
慘	tsʰan3	
懲	tʂʰən3	
慚	tsʰan2	
慣	kuan5	
惰	to6	
想	ɕiaŋ3	
惶	xuaŋ2	
惹	ʐʯɛ3	
愁	tʂʰəu2	
愈	ʯ5	
愉	ʯ2	
意	i5	
愕	ŋo7	
愚	ʯ2	
感	kan3	
憤	fən6	
愧	kʰuei5	
願	ʯan6	
慈	tsʰɿ2	
慌	xuaŋ1	
慎	ʂən6	
慕	moŋ6	
慢	man6	
慧	xuei5	
慨	kʰai5	
慰	uei5	
慷	kʰaŋ1	
憋	piɛ1	
憋	piæ1	
憎	tsən1	
憔	tɕʰiau2	
憨	xan1	
憾	xan6	
懂	toŋ3	
懈	xai6	
懊	ŋau5	
懶	lan3	
懦	lo6	
戈	ko1	
戍	ʂʯ5	
戎	ʐoŋ2	
戲	ɕi5	
成	tʂʰən2	
我	ŋo3	
戒	kai5	
或	xuæ7	
戰	tʂan5	
戚	tɕʰi5	
戡	tən3	
截	tɕiɛ7	
截	tɕiæ7	
戮	ləu7	
戴	tai5	
戶	xu6	
房	faŋ2	
所	so3	
扁	piɛn3	
扇	ʂan5	
扉	fei1	
手	ʂəu3	
才	tsʰai2	
扎	tsa2	
扑	pʰu7	
扒	pʰa2	
打	ta3	
扔	ʐʯəŋ1	
托	tʰo7	
扛	kʰaŋ2	
扣	kʰəu5	
執	tsɿ7	
執	tʂʅ7	
擴	kʰo7	
擴	kʰuæ7	
掃	sau3	
掃	sau5	
揚	iaŋ2	
扭	liəu3	
扭	ȵiəu3	
扭	liəu5	
扭	ȵiəu5	
扮	pan5	
扯	tsʰɛ3	
扯	tʂʰɛ3	
擾	ʐʯau3	
扳	pan1	
扶	fu2	
扼	ŋæ7	
找	tʂau3	
承	tʂʰən2	
技	tɕi6	
抄	tʂʰau1	
把	pa3	
把	pa5	
抑	i7	
抒	ʂʯ1	
抓	tʂʯa1	
投	tʰəu2	
抖	təu3	
抖	tʰəu3	
抗	kʰaŋ5	
折	tʂæ7	
折	ʂæ7	
撫	fu3	
抛	pʰau1	
摳	kʰəu1	
摳	ŋəu5	
掄	lən2	
搶	tɕʰiaŋ3	
護	xu6	
報	pau5	
抨	pʰoŋ1	
抬	tʰai2	
抱	pau6	
抵	ti3	
抹	ma2	
抹	mo3	
抻	tʂʰən1	
押	ia7	
抽	tʂʰəu1	
抿	min3	
擔	tan1	
擔	tan5	
拆	tʂʰæ7	
拇	moŋ3	
拈	liɛn1	
拈	ȵiɛn1	
拉	la1	
拌	pan6	
拍	pʰæ7	
拎	lin1	
拐	kuai3	
拒	tʂʯ6	
