#漢字	音標	解釋
㮇	tʰiẽ5	~笔
斧	fu3	
斬	tsã3	
斷	tõ5	~绝
斯	sɿ1	
新	ɕin1	
方	fã1	
於	ʯ1	~此
施	ʂi1	
旁	pʰã2	
旅	li3	
旋	ɕiẽ2	
族	tsʰəu7	
旗	tɕʰi2	
無	u2	
既	tɕi5	
日	ʐi7	
旦	tã1	
舊	tɕiəu5	
旨	tʂʅ3	
早	tsau3	
旬	ɕin2	
旱	xã1	
時	ʂi2	
曠	kʰuã5	
旺	uã1	兴~
昆	kʰuən1	
昌	tʂʰã1	
明	min2	
昏	xuən1	
易	i5	难~
昔	ɕi7	
星	ɕin1	
映	in3	
春	tʂʰʯn1	
昧	mei5	
昨	tso7	
昭	tʂau1	
是	ʂi5	
晝	tʂəu1	
顯	ɕiẽ3	
晃	xuã5	~眼
晉	tɕin5	
晏	iẽ5	晚也
曬	sai5	
曉	ɕiau3	
暈	ʯn5	
晚	uã3	
晦	xuei5	
晨	tʂʰən2	
普	pʰu3	
景	tɕin3	
晴	tɕʰin2	
晶	tɕin1	
智	tʂʅ5	
暫	tsã5	
暇	ɕiɒ2	
暑	ʂʯ3	
暖	lõ3	
暮	mo5	
暴	pau5	
曰	ʐʯa7	
曲	tɕʰiəu7	~折
更	kən5	
更	kən1	~换
曹	tsʰau2	
曾	tsʰən2	~ 经
曾	tsən1	姓氏
替	tʰi5	
最	tsei5	
月	ʐʯa7	
有	iəu3	
朋	pʰoŋ2	
服	fu7	
朔	so7	
朗	lã3	
望	uã5	
朝	tʂʰau2	~代
朝	tʂau1	今 ~
期	tɕʰi2	时~
木	mo7	
未	uei5	
末	mo7	
本	pən3	
札	tsɒ7	
朴	pʰu7	
朶	to3	
機	tɕi1	
朽	ɕiəu3	
殺	sɒ7	
雜	tsɒ7	
權	tʂʰõ2	
杆	kã3	
杈	tsʰɒ1	枝~
杉	sɒ1	又音 sã
杉	sã1	又音 sɒ42
杌	u7	~子
李	li3	
杏	ɕin5	
材	tsʰai2	
村	tsʰən1	
杖	tʂã5	
杜	təu5	
杞	tɕʰi3	
束	səu7	
杠	kã5	
條	tʰiau2	
來	lai2	
楊	iã2	
杭	xã2	
杯	pei1	
杰	tɕie7	
杳	liau3	~ 无音信
杷	pʰɒ2	枇~
松	tsʰoŋ1	又音 soŋ42
松	soŋ1	又音 ts
板	pã3	
極	tɕi7	
構	kəu5	
枇	pʰi2	~ 杷
枉	uã1	
析	ɕi7	
枕	tʂən3	
枕	tʂən3	动词
林	lin2	
枚	mei2	
果	ko3	
枝	tʂʅ1	
樞	ʂʯ1	
棗	tsau3	
槍	tɕʰiã1	
楓	foŋ1	
枯	kʰu1	
枵	ɕiau1	
架	tɕiɒ3	
柄	pɒ5	
柄	pin5	
柏	pa7	
某	məu3	
柑	kã1	
染	ʐõ3	
柔	ʐəu2	
柚	iəu5	
櫃	kuei5	
查	tsʰɒ2	调~
柩	tɕiəu5	
柬	tɕiẽ3	
柱	sã3	
柱	tʂʯ5	
柳	liəu3	
柴	tsʰai2	
柿	tsɿ5	
梔	tʂʅ1	~子花
栅	tsʰa7	~栏
標	piau1	
棧	tsã5	
棟	toŋ5	
欄	lã2	
欄	lã3	
樹	ʂʯ5	
栗	li7	
校	ɕiau5	
校	tɕiau5	~对
株	tʂʯ1	
樣	iã5	
核	xa7	
根	kən1	
格	ka7	
栽	tsai1	
桂	kuei5	
桃	tʰau2	
桅	uei2	
桌	tso7	
桐	tʰoŋ2	
桑	sã2	
桓	xuõ2	
椏	iɒ1	~ 杈
橋	tɕʰiau2	
樺	xuɒ2	~ 树
檜	xuei5	
槳	tɕiã3	
桶	tʰoŋ3	
梁	liã2	
梅	mei2	
梓	tsɿ3	
梗	kən1	~米
梗	kən3	~子
梢	sau1	树~
夢	moŋ5	
梧	u2	~桐
梨	li2	
梭	so1	织布~
械	tɕiai5	
梳	ʂəu1	
梳	səu1	~头
檢	tɕiẽ3	
棉	miẽ2	
棋	tɕʰi2	
棍	kuən5	
棒	pã5	
棚	pʰoŋ2	
棠	tʰã2	
森	sən1	
棵	kʰo1	
棺	kuõ1	
椅	i3	
植	tʂʅ7	
椒	tɕiau1	
橢	tʰo3	~ 圆
椴	tõ5	
椶	tsoŋ1	
椿	tʂʯã1	
椿	tʂʰʯn1	~树
楂	tsɒ1	山~
楔	ɕie7	~子
楚	tsʰəu3	
楝	ȵiẽ5	~树
楞	lən1	~ 住
楣	mei2	
楦	ʂʯõ5	鞋~
楷	kʰai1	
樓	ləu2	
概	kai5	
欖	lã3	
榆	ʯ2	
榜	pã3	
榨	tsɒ5	~油
榫	sən3	~头
榴	liəu2	石 ~
榷	kʰo7	~一下
榻	tʰɒ7	
槌	tʂʰʯei2	
槐	xuai2	
檳	pin1	~榔
槽	tsʰau2	马~
樟	tʂã1	
模	mo2	
橫	xuən2	~直
橫	xən2	蛮 ~
櫻	in1	~桃
樵	tɕʰiau2	
橄	kã3	~榄
橘	tʂʯ7	
橙	tsən2	~子
橙	tʂʰən2	~子
橡	ɕiã3	~树
櫓	ləu3	
檀	tʰã2	
檏	pu7	
檐	iẽ2	
欛	pɒ5	
欠	tɕʰiẽ5	
次	tsʰɿ5	
歡	xuõ1	
欣	ɕin1	
歐	ŋəu1	
欲	ʯ7	
欺	tɕʰi1	
款	kʰuõ3	
歇	ɕie7	
歉	tɕʰiẽ1	
歌	ko1	
止	tʂʅ3	
正	tʂən1	~ 月
正	tʂən5	~确
此	tsʰɿ3	
步	pu5	
武	u3	
歪	uai1	
死	sɿ3	
殲	tɕiẽ1	~灭
殃	iã1	
殉	ɕin2	
殊	ʂʯ1	
殘	tsʰã2	
殖	tʂʅ7	
殯	pin1	
毆	ŋəu3	
段	tõ5	
殷	in1	
殿	tiẽ5	
毁	xuei3	
轂	ku7	
毅	i5	
母	mu3	
每	mei3	
毒	təu7	
比	pi3	~较
畢	pi7	
斃	pei5	
毛	mau2	
毡	tʂẽ1	
毫	xau2	
毯	tʰã3	
氏	ʂi5	
氏	ɕiɒ5	
民	min2	
气	tɕʰi5	
气	tʂã5	
水	ʂʯei3	
永	ʯn3	
汁	tʂʅ7	
求	tɕʰiəu2	
汆	tsʰõ1	~丸子
汇	xuei5	
漢	xã5	
汕	ʂẽ1	
汗	xã5	
汞	koŋ5	
江	tɕiã1	
池	tʂʰʅ2	
污	u1	
湯	tʰã1	
汪	uã1	一~水
汴	piẽ5	
汽	tɕʰi5	
沃	uo7	
沈	ʂən3	
沉	tʂʰən2	
沓	tʰɒ7	一~纸
沙	sɒ1	
沛	pʰei5	
溝	kəu1	
没	mɒ7	沉~
漚	ŋəu5	久浸水中
淪	lən2	
滬	xu5	
沫	mo7	
河	xo2	
油	iəu2	
治	tʂʅ5	
沼	tʂau1	~ 气
沾	tʂẽ1	
沿	iẽ2	
泄	ɕie5	~ 露
泉	tɕʰiẽ2	
泊	pa7	停~
泌	mi7	
法	fɒ7	方~
泛	fã1	
泡	pʰau1	
泡	pʰau5	~在水
波	po1	
泥	li2	
注	tʂʯ5	
淚	lei5	
泰	tʰai5	
泳	ioŋ3	
瀉	ɕie5	
潑	pʰo7	
澤	tsa7	
潔	tɕie7	
洇	in1	
洋	iã2	
洒	sɒ3	
洗	ɕi3	
洛	lo7	
洞	toŋ5	
津	tɕin1	
洪	xoŋ2	
洲	tʂəu1	
活	xuɒ7	
洼	uɒ1	~地
洽	ɕiɒ7	
派	pʰai5	
流	liəu2	
淺	tɕʰiẽ3	
漿	tɕiã1	
澆	tɕiau1	
濁	tso7	
濁	tʂo7	
測	tsʰa7	
濟	tɕi7	
渾	xuən2	~浊
滸	xu3	水~
濃	loŋ2	
浙	tʂa7	
浜	pã1	一条~
浦	pʰu3	
浩	xau5	
浪	lã5	
浮	fəu2	
浴	ʯ7	
海	xai3	
浸	tɕin5	
消	ɕiau1	
涉	ʂa7	
涌	ioŋ3	
涎	ɕiẽ2	
涕	tʰi5	鼻~
濤	tʰau2	
澇	lau5	旱
潤	ʯn5	
澗	tɕiẽ5	
漲	tʂã3	
澀	sa7	
涮	ʂuo7	~洗
涯	ŋai2	
涯	iɒ2	天~
液	tʰəu5	
液	i7	
涿	tso7	~县
淆	ɕiau3	
淋	lin2	~漓
淑	ʂəu7	
淘	tʰau2	~米
淡	tã5	
淤	ʯ1	
淫	in2	
淮	xuai2	
深	ʂən1	
混	xuən1	相~
淹	iẽ1	~死
添	tʰiẽ1	
清	tɕʰin1	
淵	ʐʯõ1	
漸	tɕiẽ5	
澠	miẽ3	~ 池
漁	ʯ2	
滲	ʂən1	水~ 透
渠	tʂʰʯ2	
渠	kʰe2	他
渡	təu5	
渣	tsɒ1	
溫	uən1	
渴	kʰɒ7	
游	iəu2	
渺	miau3	
湖	xu2	
湘	ɕiã1	
灣	uã1	
溼	ʂi7	
潰	kʰuei5	~脓
溉	kai5	灌~
源	ʯõ2	
溜	liəu5	
溪	ɕi1	
溺	li7	~死
滋	tsɿ1	
滑	xuɒ7	
滓	tsɿ3	
滔	tʰau1	
滚	kuən3	
滿	mõ3	
濾	li2	
濾	li5	
濫	lã3	
灘	tʰã1	
滴	ti7	
漂	pʰiau3	~洗
漂	pʰiau5	~亮
漆	tɕʰi7	
漏	ləu5	
演	iẽ3	
漫	mõ5	
漱	səu1	~ 口
潘	pʰõ1	
潛	tɕʰiẽ2	
潭	tʰã2	
潮	tʂʰau2	
潲	sau1	猪食
澄	tʂʰən2	
澄	tən3	水浑， ~一~
澡	tsau3	
激	tɕi7	
瀑	pʰu7	~布
瀚	xã5	
灌	kuõ5	
火	xo3	
滅	mie7	
燈	tən1	
灰	xuei1	
靈	lin2	
竈	tsau5	
灸	tɕiəu3	
災	tsai1	
燦	tsʰã1	
爐	ləu2	芦 ~
炊	tʂʰʯei1	
炎	iẽ2	
炒	tsʰau3	
炕	kʰã3	
炭	tʰã5	
炮	pʰau5	枪~
炸	tsɒ5	~弹
炸	tsɒ7	用油~
點	tiẽ3	
煉	ȵiẽ5	
爛	lã2	
烈	lie7	
烊	iã2	
烘	xoŋ1	~干
烙	lo7	
燭	tʂəu7	
烟	iẽ1	~酒
烤	kʰau3	
煩	fã2	
燒	ʂau1	
燙	tʰã5	
烹	pʰən1	
焉	iẽ1	心不在~
焊	xã5	~铁
煥	xo5	
煥	xuõ5	
焚	fən2	
焦	tɕiau1	
焯	tʂʰo7	~水
然	ʐo2	
然	xɒ7	
煎	tɕiẽ1	
煤	mei2	
照	tʂau5	
煨	uei1	
煮	tʂʯ3	
熄	ɕi7	
熊	ɕioŋ2	
熏	ʂʯn1	
熙	ɕi1	
熟	ʂəu7	煮~
熨	ʯn5	
熬	ŋau2	
燃	ʐo2	
燎	liau2	火~眉毛
燕	iẽ5	~子
爆	pau5	
爊	ŋau1	~ 白菜
爪	tʂʯɒ3	~子
爬	pʰɒ2	
愛	ŋai5	
爵	tɕio7	
父	fu5	
爺	ie2	叔叔
爸	pɒ1	
爹	tie1	
爽	ʂʯã3	
片	pʰiẽ5	
版	pã3	
牌	pʰai2	
牘	təu7	
牒	tie7	
牙	iɒ2	
牛	liəu2	
牡	məu3	
牢	lau2	
牧	mo7	
物	uɒ7	
物	tʰo7	
牯	ku3	
牲	sən1	
牽	tɕʰiẽ1	
特	tʰa7	
犧	ɕi1	
犀	ɕi1	~牛
犁	li2	
犢	təu7	牛~子
犍	tɕiẽ1	~子
犒	kʰau5	
犬	tʂʰʯõ3	
犯	fã1	
狀	tʂʯã5	
猶	iəu2	
狂	kʰuã2	
狄	ti7	
狐	xu2	
狗	kəu3	
狡	tɕiau3	
獨	təu7	
狹	ɕiɒ7	
獅	sɿ1	
獄	io7	
狸	li2	
狼	lã2	
獵	lie7	
猛	moŋ3	
猜	tsʰai1	
猝	tsʰəu2	仓 ~
猝	tsʰən2	仓~
豬	tʂʯ1	
猫	mau1	
猫	li2	
蝟	uei5	
獻	ɕiẽ5	
猴	xəu2	
猾	xuɒ7	狡~
獃	tai1	
獺	tʰɒ7	水~
玄	ʂʯõ2	
率	ʂʯai5	~领
率	li7	速~
玉	ʯ5	
王	uã2	
玩	uõ2	古~
環	xuõ2	
現	ɕiẽ5	
璽	ɕi1	
玻	po1	~璃
珊	sã1	
珍	tʂən1	
珠	tʂʯ1	
班	pã1	
球	tɕʰiəu2	
理	li3	
琉	liəu2	~ 璃
瑣	so3	~碎
琢	tso7	
琴	tɕʰin2	
琵	pʰi2	~琶
琶	pʰɒ2	琵~
瓊	tɕʰioŋ2	
瑕	ɕiɒ2	
瑞	ʂʯei2	
瑟	sɒ7	
璃	li2	玻~
璧	pi5	
瓜	kuɒ1	
瓠	kʰu1	~ 卢
瓠	xu5	~ 子
瓢	pʰiau2	
瓣	pã5	
瓤	ʐʯã2	瓜~
瓦	uɒ3	
瓮	oŋ5	
瓶	pʰin2	
瓷	tsʰɿ2	~ 器
甘	kã1	
甚	ʂən5	
甜	tʰiẽ2	
生	sən1	
甥	sən1	
用	kʰɒ3	
用	ioŋ5	
甫	fu3	
甬	ioŋ3	~道
田	tʰiẽ2	
由	iəu2	
甲	tɕiɒ7	
申	ʂən1	
電	tiẽ5	
男	lã2	
畫	xuɒ5	
暢	tʂʰã5	
界	tɕiai5	
畏	uei5	
留	liəu2	
畜	tsʰəu7	~生
畜	ɕiəu7	~牧
略	lio7	
番	fã1	几~
疆	tɕiã1	
疏	səu1	
疏	ʂəu1	~远
疏	ʂəu1	注~
疑	li2	~问
疑	i2=	~问
疔	tin1	
療	liau2	
疝	ʂã5	~ 气
瘧	io7	~疾
瘍	iã2	溃~
疤	pɒ1	
疥	kai5	
疫	ʯ7	
瘡	tsʰã1	
瘋	foŋ1	
疲	pʰi2	
疵	tsʰɿ2	吹毛求~
疹	tʂən3	
疾	loŋ5	
疾	tɕi7	
痂	tɕiɒ1	
病	pin5	
症	tʂən5	
痒	iã3	
痔	tʂʅ5	
痕	xən2	
痛	tʰoŋ3	
痢	li5	
痣	tʂʅ5	
痰	tʰã2	
痱	fei5	~子
痲	mɒ2	
癡	tʂʰʅ1	
癡	xã1	
痹	pi7	麻~
瘌	lɒ7	
瘟	uən1	
瘦	səu1	
瘴	tʂã5	~
癩	lai5	
癬	ɕiẽ3	
癸	kuei3	
登	tən1	
白	pa7	
百	pa7	
皂	tsau5	
的	tsʰo5	
的	ti7	目~
皆	tɕiai1	
皇	xuã2	
皖	uõ3	安徽
皮	pʰi2	
皺	tsəu1	
皺	tʂa7	
皺	tsoŋ5	~纹
皴	tsʰən1	脸~
皿	min3	
盂	ʯ2	
盅	tʂoŋ1	
盆	pʰən2	
盈	in2	
益	i5	
盞	tsã3	
監	tɕiẽ1	
盒	xɒ7	烟~
盔	kʰuei1	
盖	kai5	
盜	tau5	
盤	pʰõ2	
盛	tʂʰən2	~满了
盛	ʂən5	兴~
盟	moŋ3	
盬	ku3	~子
目	mo7	
盲	mã2	
直	tʂʅ7	
相	ɕiã1	互~
盼	pʰã5	
盾	tən5	
省	sən3	
眉	mei2	
看	kʰã1	~ 守
瞘	kʰəu1	眼~
真	tʂən1	
眠	miẽ2	
眨	tsɒ3	~眼
眨	tso3	~眼
眩	ɕiẽ5	
眶	kʰuã1	眼~
眷	tʂõ1	
眼	tən1	
眼	iẽ3	
着	tʂo7	
睜	tsən1	
睛	tɕin1	
睡	ʂʯei2	
督	təu7	
睬	tsʰai3	
瞎	ɕiɒ7	
瞞	mõ2	
瞧	tɕʰiau2	
瞪	tən1	
瞭	liau3	
瞳	tʰoŋ2	
瞻	tʂẽ1	
瞿	tʂʰʯ2	
矛	məu2	~盾
矛	miəu2	~子
矢	ʂi2	
知	tʂʅ1	
矩	tʂʯ3	规~
矯	tɕiau3	~诈
矬	tsʰo2	
短	tõ3	
矮	tsʰo2	
矮	ŋai3	
石	sã3	
石	ʂi7	
礬	fã2	
礦	kuã5	
砂	tʂʯ1	
砌	tɕʰi5	
砍	kʰã3	
砑	iɒ5	~平
研	ȵiẽ2	
磚	tʂõ1	
硯	ȵiẽ5	
破	pʰo5	
破	tʂã5	
礎	tsʰəu3	柱下石
硝	ɕiau1	
硫	liəu2	~ 磺
硬	ŋən5	
硬	in5	
確	kʰo7	
礙	ŋai5	
碎	tsʰo5	
碎	sei5	
碑	pei1	
碗	uõ3	
碟	tie7	
碧	pi7	
碾	ȵiẽ3	
磁	tsʰɿ2	~ 石
磉	sã3	
磕	kʰɒ7	
磨	mo2	
磨	mo5	石~
磷	lin2	
礓	tɕiã1	
示	ʂi5	
禮	li3	
社	ʂe5	
祀	sɿ5	祭~
祈	tɕʰi2	
祕	mi7	
祖	tsəu3	
祝	tʂəu7	
神	ʂən2	
祠	tsʰɿ2	
祥	tɕʰiã1	
票	pʰiau5	车~
祭	tɕi5	
禱	tau0	
禍	xo5	
稟	pin3	
禁	tɕin1	~不住
禁	tɕin5	~ 止
祿	ləu7	
禪	tʂʰẽ2	~宗
禪	ʂẽ5	~让
福	fu7	
禹	ʯ3	
离	li2	~别
禽	tɕʰin2	
禾	xo2	
秀	ɕiəu5	
私	sɿ1	
秃	tʰəu5	
稈	kã3	稻~
秉	pin3	
秋	tɕʰiəu1	
種	tʂoŋ5	动词
種	tʂoŋ3	名词
科	kʰo1	
秒	miau3	
租	tsəu1	
秤	tʂʰən1	
秦	tɕʰin2	
秧	iã1	
秩	tʂʅ7	
積	tɕi7	
稱	tʂʰən1	
移	i2	
稀	ɕi1	
程	tʂʰən2	
稍	sau1	
税	ʂʯei5	
稗	pai5	
稚	tʂʅ5	幼~
稠	tʂʰəu2	
穩	uən3	
稻	tau5	
稼	tɕiɒ3	
稽	tɕi1	
稿	kau3	
穆	mo7	
穗	sei5	
穗	suei5=	
穴	ɕie7	
究	tɕiəu1	
窮	tɕʰioŋ2	
空	kʰoŋ1	~虚
空	kʰoŋ5	~缺
穿	tʂʰõ1	
突	tʰəu7	
窄	tsa7	
竅	tɕʰiau5	
窖	iau2	
窖	tɕiau5	
窗	tsʰã1	
窘	tʂʯn5	
竄	tsʰõ5	
窩	uo1	
窟	kʰu7	~窿
窠	kʰo1	
立	li7	
豎	ʂʯ5	
站	tsã1	
競	tɕin5	
竟	tɕin5	
章	tʂã1	
童	tʰoŋ2	
端	tõ1	
竹	tsəu7	
竿	kã3	竹~
笋	sən3	
笑	ɕiau5	
筆	pi7	
笙	sən1	
笛	ti7	
笠	li7	
符	fu2	
笨	pən5	
第	ti5	
籠	loŋ2	
等	tən3	
筋	tɕin1	
筏	fɒ7	
筐	kʰuã1	
筑	tsəu7	
筒	tʰoŋ2	
答	tɒ7	
策	tsʰa7	
篩	sai1	~子
箏	tsən1	
筵	iẽ2	
筷	kʰuai5	
籌	tʂʰəu2	
签	tɕʰiẽ1	
簡	tɕiẽ3	
箍	kʰu1	
算	sõ5	
管	kuõ3	
簫	ɕiau1	
箭	tɕiẽ5	
箱	ɕiã1	
範	fã1	
篆	tʂõ5	
篇	pʰiẽ1	
簍	ləu3	
篙	kau1	进船竿
篡	tsʰõ5	
籃	lã2	
籬	li2	
篷	pʰoŋ2	
篾	mie7	竹~
簧	xuã2	锁~
簪	tsã1	
簰	pʰai2	~筏
簸	po5	
簿	pu5	
籍	tɕi7	
米	mi3	
粉	fən3	
粒	li7	
粗	tsʰəu1	
粘	tʂẽ1	~ 贴
糶	tʰiau5	
粟	səu7	又音ɕiəu53
粟	ɕiəu7	又 音 səu53
粤	ʐʯa7	
粥	tʂəu7	
糞	fən5	
糧	liã2	
粱	liã2	
粹	tsʰei5	纯~
糉	tsoŋ5	
精	tɕin1	
糕	kau1	
糖	tʰã2	
糙	tsʰau5	粗~
糟	tsau1	
糠	kʰã1	
糯	lo5	~米
糰	tʰõ2	
系	tɕi5	~ 鞋
系	ɕi0	联~
素	səu5	
索	so7	绳~
紥	tsɒ7	
緊	tɕin3	
紫	tsɿ3	
累	lei5	
絮	ɕi5	
繁	fã2	
纔	tsʰai2	
糾	tɕiau1	
糾	tɕiəu1	~正
紅	xoŋ2	
約	io7	
級	tɕi7	
紀	tɕi3	~ 律
紉	ʐən5	缝~
緯	uei5	
純	tʂʰʯn2	
紗	sɒ1	
綱	kã1	
納	lɒ7	
縱	tsoŋ1	~横
縱	tsoŋ5	放~
紛	fən1	
紙	tʂʅ3	
紋	lo2	
紋	uən2	
紋	tʂa7	
紡	fã3	
紐	liəu3	
線	ɕiẽ5	
練	ȵiẽ5	
組	tsəu3	
細	ɕi5	
織	tʂʅ7	
終	tʂoŋ1	
縐	tsəu1	
絆	põ5	
紹	ʂau5	
經	tɕin1	
綁	pã3	
絨	ioŋ2	
結	tɕie7	
繞	ʐau5	~线
繞	ʐau3	围~
繪	xuei5	
絡	lo7	
絶	tɕie7	
絞	tɕiau3	
統	tʰoŋ3	
絹	tʂõ1	
繡	ɕiəu5	
繼	tɕi5	
繼	səu1	~ 续
績	tɕi7	
緒	ɕi5	
續	səu7	
綽	tʂʰo7	宽~
繩	ʂən2	
維	uei2	
綿	miẽ2	
綢	tʂʰəu2	
綜	tsoŋ1	织布机上得
綻	tʂã5	
綠	ləu7	
緬	miẽ3	
纜	lã3	
緝	tɕi7	~ 鞋口
緩	xuõ3	
縷	li3	丝~
編	piẽ1	
緣	ʐõ2	
縛	fu7	
縫	foŋ2	动词
縫	foŋ5	名词
纏	tʂʰẽ2	
縊	i5	
纓	in1	
繮	tɕiã1	
繳	tɕiau3	上~
缸	kã1	
缺	tʂʰʯɒ7	
罐	kuõ5	
网	uã3	
罕	xã1	
羅	lo2	
罰	fɒ7	
罷	pɒ5	
罩	tsau5	
罪	tsei5	
置	tʂʅ5	
署	ʂʯ5	专~
羊	iã2	
羌	tɕʰiã1	
美	mei3	
羔	kau1	
羞	ɕiəu1	
羡	ɕiẽ5	
群	tʂʰʯn2	
羹	kən1	
羽	ʯ3	
翁	oŋ1	
翅	tʂʰʅ5	
翠	tsʰei5	
翡	fei5	~翠
翰	xã5	
翻	fã1	
翼	i5	
耀	iau5	
老	lau3	
考	kʰau3	
者	tʂe3	
而	ɚ2	
耍	ʂɒ3	
耐	lai5	
耕	kən1	
耗	xau5	
耙	pɒ5	犁~
耳	ɚ3	
耶	ie2	
耻	tʂʰʅ3	
耽	tã1	
耿	kən3	
聶	lie7	
聊	liau2	
聾	loŋ1	
職	tʂʅ7	
聯	ȵiẽ2	
聘	pʰin5	
聚	tɕi7	
聰	tsʰoŋ1	
肅	səu7	
肄	i5	~业
肆	sɿ5	
肉	ləu7	
肋	la7	
肌	tɕi1	
肘	tʂəu3	
肚	təu5	腹~
肚	təu3	鱼~
肝	kã1	
腸	tʂʰã2	
股	ku3	
肢	tʂʅ1	
膚	fu1	
肥	fei2	
肨	pʰã1	~ 肿
肩	tɕiẽ1	
肪	fã1	脂~
肯	kʰən3	
育	io7	
肴	iau2	
肺	fei5	
腎	ʂən5	
腫	tʂoŋ3	
脹	tʂã5	
脅	ɕie7	
胃	uei5	
膽	tã3	
背	pei5	
胎	tʰai1	
胖	pʰã3	
胚	pʰei1	~胎
胛	tɕiɒ7	肩~
勝	ʂən5	~败
胞	pau1	
胡	xu2	
胳	ka7	~膊
膠	tɕiau1	
胸	ɕioŋ2	
能	lən2	
脂	tʂʅ3	
脆	tsʰei1	
脉	ma7	
脊	tɕi7	
脏	tsã1	
臍	tɕʰi2	
腦	lau3	
膿	loŋ2	
脚	tɕio7	
脯	pʰu0	胸~
脱	tʰo7	
腡	lo2	
臉	ȵiẽ3	
脾	pʰi2	
腆	tiẽ3	~肚子
臘	lɒ7	
腌	iẽ1	
腐	fu3	
腑	fu3	
腔	tɕʰiã1	
腥	ɕin1	
腮	sai1	
腰	iau1	
腱	tɕiẽ5	
腹	fu7	
膩	li5	
騰	tʰən2	
腿	tʰei3	
膏	kau1	
膘	piau1	肥~
膜	mo7	
膝	ɕi7	
膞	tʂõ1	
膨	pʰən2	~胀
膳	ʂẽ5	
膻	ʂẽ1	
臀	tʰən2	
臂	pei5	
臊	sau1	~气
臣	tʂʰən2	
自	tsɿ5	
臭	tʂʰəu5	香~
至	tʂʅ5	
致	tʂʅ5	
臼	tɕiəu5	
舀	iau3	~水
舂	tʂʰoŋ1	~ 米
舅	tɕiəu5	
舌	ʂa7	
舍	ʂe5	
舒	ʂʯ1	
舔	tʰiẽ3	以舌取物
舜	ʂʯn5	
舟	tʂəu1	
航	xã2	
般	põ1	
艦	tɕiẽ5	
舵	to2	
船	tʂʰõ2	
船	uei2	~杆
艇	tʰin3	
良	liã2	
艱	tɕiẽ1	
色	sa7	
豔	iẽ1	
藝	i5	
艾	ŋai5	
節	tɕie7	
芋	ʯ5	
芍	ʂau2	~药
芒	mã2	麦~儿
芙	fu2	~ 蓉
芝	tʂʅ1	
芥	tɕiai5	~末
芬	fən1	
芭	pɒ1	
花	xuɒ1	
芳	fã2	
芹	tɕʰin2	
芽	iɒ2	
葦	ləu2	
葦	uei3	芦~
莧	ɕiẽ5	~菜
蒼	tsʰã1	
苏	səu1	
苔	tʰai1	青~
苗	miau2	
苟	kəu3	
若	ʯo7	
苦	kʰu3	
英	in1	
茂	mau5	
茂	məu5	
范	fã1	
茄	tɕʰie2	
茅	mau2	
繭	tɕiẽ3	
茫	mã2	
茬	tsʰɒ2	
茴	xuei2	~ 香
茶	tsʰɒ2	
茸	ioŋ2	参~
荀	ɕin2	
荆	tɕin1	
草	tsʰau3	
草	tsʰo5	
薦	tɕiẽ5	
荒	xuã1	
荔	li5	~枝
蕎	tɕʰiau2	
蕩	tã5	放~
榮	ioŋ2	
葷	xuən1	
蔭	in1	屋子很~
藥	io7	
荷	xo2	
莝	tsʰo5	~草
莠	iəu3	
莫	mo7	
蓮	ȵiẽ2	
获	xuo7	
获	xuã7	
鶯	in1	
蓴	tʂʰʯn2	~菜
莽	mã3	
菊	tɕiəu7	
菌	tʂʯn5	
菖	tʂʰã1	~蒲
菜	tsʰai5	
菠	po1	~菜
菢	pau5	~ 小鸡
菩	pʰu2	~萨
菱	lin2	
萄	tʰau2	
萌	moŋ2	
萍	pʰin2	
萎	uei3	气~
蘿	lo2	
螢	in2	
蕭	ɕiau1	
薩	sɒ7	
落	lo7	
著	tʂo7	
著	tʂʯ5	显~
葛	kɒ7	
董	toŋ3	
葬	tsã5	
葱	tsʰoŋ1	
葵	kʰuei2	
蔣	tɕiã3	
蒐	səu1	
蒙	moŋ2	
蒜	sõ5	
蒲	pʰu2	
蒸	tʂən1	
蒿	xau1	蓬~
蓄	ɕiəu7	储~
蓉	ioŋ2	芙~
蓑	so1	
蓖	pi7	
藍	lã2	
蓬	pʰoŋ2	
蔗	tʂa7	
蔡	tsʰai5	
蔫	iẽ1	食物不新鲜
蔬	səu1	
蔬	ʂəu1	
藹	ŋai5	和~
蔽	pei5	
蕉	tɕiau1	芭~
薄	po7	
薄	pɒ7	~荷
薅	xau1	除田草
薑	tɕiã1	
薛	ɕie7	
薪	ɕin1	
薯	ʂʯ5	白~
薰	ʂʯn1	
藉	tɕi7	狼~
藏	tsã5	西~
藏	tsʰã2	隐~
藐	miau3	
藕	ŋəu3	
藤	tʰən2	
藩	fã1	
藿	xo7	~香
蘸	tsã5	~酱油
虎	xu3	
虜	ləu3	
虐	io7	
慮	li2	
慮	li5	
虔	tɕʰiẽ2	
虚	ʂʯ1	
虞	ʯ2	
蟲	tʂʰoŋ2	
虱	sɒ7	
虹	xoŋ2	
虻	mã2	牛~
雖	sei1	
蝦	kʰɒ2	~ 蟆
蝦	ɕiɒ1	鱼~
蝕	ʂi7	
蟻	i3	
蚊	uən2	
蚌	pã5	
蠶	tsʰã2	
蚣	koŋ1	蜈~
蚤	tsau3	
蛀	tʂʯ5	
蛆	tɕʰi1	生~
蛇	ʂe2	
蛋	tã1	~糕
蛙	uɒ1	
蛛	tʂʯ1	
蠻	mã2	
