#漢字	音標	解釋
一	jaʔ8	jak⁵
鳳	foŋ	foŋ⁴⁴³
凳	tɐn	tɐn³⁴
凶	hoŋ	hoŋ²³
出	tʃʰaʔ8	tʃʰak⁵
擊	kək8	kək⁵
刀	tɐu	tɐu²³
分	fɐn	fɐn²³
切	tʃʰit7	tʃʰit³
划	weʔ7	wɛk³
列	lit7	ŋit³
初	tʃʰo	tʃʰo²³
判	pʰun	pʰun³⁴
别	pit7	pit³
刮	kwe	kwe³⁴
制	tʃoe	tʃɔe⁴⁴³
刷	(tʃʰe	(tʃʰe³⁴)
刺	tʃʰɐi	tʃʰɐi³⁴|tʃʰi³⁴
刻	haʔ8	hak⁵
剃	tʰoe	tʰɔe³⁴
削	ʃø	ʃe³⁴
前	tʃʰin	tʃʰin²¹
劍	kin	kin³⁴
剝	mɔʔ7	mɔk⁵
劇	kʰøʔ7	kʰɛk³
剩	ʃəŋ	ʃəŋ⁴⁴³
剪	tʃin	tʃin³⁵
副	fu	fu⁴⁴³
割	kwut7	kwut³
劈	pʰe	pʰe³⁴
力	lək7	ŋək³
勸	hun	hun³⁴
辦	pɛŋ	pɛŋ⁴⁴³
動	toŋ	toŋ⁴⁴³
勁	kəŋ	kəŋ⁴⁴³
勤	kʰɐn	kʰɐn²¹
勺	tʃø	tʃɛk³
勻	wɐn	wɐn²¹
包	pau	pau²³
化	fa	fa⁴⁴³
北	paʔ8	pak⁵
匠	tʃøŋ	tʃøŋ⁴⁴³
匹	pʰaʔ8	pʰak⁵
區	kʰɵ	kʰui²³
十	ʃap7	ʃɔk³
升	ʃəŋ	ʃəŋ²³
半	pun	pun⁴⁴³
華	wa	wa²¹
協	hit7	hit³
卒	tʃaʔ8	tʃak⁵
單	tɛŋ	tɛŋ²³
賣	mai	mai⁴⁴³
南	naŋ	naŋ²¹
占	tʃin	tʃin⁴⁴³
衛	woe	wɔe⁴⁴³
印	jɐn	jɐn³⁴
危	ŋoe	ŋɔe²¹
卷	kun	kun³⁵
廠	tʃʰɔŋ	tʃʰɔŋ³⁵
廳	tʰøŋ	tʰøŋ⁵⁵⁴
历	lək7	ŋək³
厭	jin	jin⁴⁴³
厚	hau	hau⁴⁴³
原	jun	jun²¹
去	hɵ	hui³⁴
縣	jun	jun⁴⁴³
参	ʃɐm	ʃɐm²³
及	kʰap7	kʰɔk³
雙	ʃoŋ	ʃøŋ²³
反	fɛŋ	fɛŋ³⁵
发	fe	fe³⁴
叔	ʃok8	ʃok⁵
取	tʃʰɵ	tʃʰui³⁵
變	pin	pin⁴⁴³
口	hau	hau³⁵
古	kwu	kwu³⁵
句	kɵ	kui⁴⁴³
叫	kiu	kiu⁴⁴³
可	ho	ho³⁵
台	tʰɵ	tʰui²¹
右	jau	jau⁴⁴³
葉	jit7	jit³
號	hɐu	hɐu⁴⁴³
吃	ŋaʔ8	ŋak⁵
各	ko	kɔ³⁴
吉	kaʔ8	kak⁵
名	møŋ	møŋ⁵⁵⁴|məŋ²¹
后	hau	hau⁴⁴³
向	høŋ	høŋ³⁴
吕	lɵ	ŋui³⁴
吞	tʰɐn	tʰɐn²³
含	hɐm	hɐm²¹
听	tʰøŋ	tʰøŋ²³|tʰəŋ²³
吴	n	ŋ²¹
吸	kʰap8	kʰɔk⁵
吹	tʃʰɵ	tʃʰui²³
味	mɐi	mɐi⁴⁴³
命	møŋ	møŋ⁵⁵⁴|məŋ⁴⁴³
咸	haŋ	haŋ²¹
品	pʰɐn	pʰɐn³⁴
響	høŋ	høŋ³⁵
啞	ŋa	ŋa³⁵
哭	hok8	hok⁵
脣	ʃɐn	ʃɐn²¹
唱	tʃʰøŋ	tʃʰøŋ³⁴
善	ʃin	ʃin⁴⁴³
喊	haŋ	haŋ³⁴
喜	hɐi	hɐi³⁵
嘴	tʃɵ	tʃui³⁵
器	hɐi	hɐi³⁴
四	ʃɐi	ʃɐi³⁴
回	wi	wɐi²¹|wui²¹
園	jun	jun²¹
困	kʰwɐn	kʰwɐn³⁴
圍	woe	wɔe²¹
國	kwo	kwɔ³⁴
圖	tʰɐu	tʰɐu²¹
圓	jun	jun²¹
圈	hun	hun²³
土	tʰɐu	tʰɐu³⁵
地	tɐi	tɐi⁴⁴³
均	kwɐn	kwɐn²³
壞	wai	wai⁴⁴³
坐	tʃʰo	tʃʰo³⁴|tʃo⁴⁴³
坑	hɛŋ	hɛŋ²³
塊	fai	fai⁴⁴³
墳	fɐn	fɐn²¹
垂	ʃɵ	ʃui²¹
墊	tin	tin⁴⁴³
埋	mai	mai²¹
城	ʃøŋ	ʃøŋ²¹|ʃəŋ²¹
塔	tʰa	tʰa³⁴
塞	ʃaʔ8	ʃak⁵
墨	maʔ7	mak³
墩	tɐn	tɐn²³
壁	pək8	pək⁵
壯	tʃɔŋ	tʃɔŋ⁴⁴³
聲	ʃøŋ	ʃøŋ⁵⁵⁴|ʃəŋ²³
殼	ho	hɔ³⁴
壺	fu	fu²¹
夏	ha	ha⁴⁴³
外	wi	wɐi⁴⁴³
多	to	to²³
夜	jø	je⁵⁵⁴
够	kau	kau⁴⁴³
大	tai	tai⁴⁴³
天	tʰin	tʰin²³
失	ʃaʔ8	ʃak⁵
頭	tʰau	tʰau²¹
夾	ka	ka⁴⁴³
奪	tut7	tut³
契	kʰoe	kʰɔe³⁴
女	nɵ1	nui³⁴
奴	nɐu	nɐu²¹
奸	kɛŋ	kɛŋ²³
好	hɐu	hɐu³⁵
如	jy	ji²¹
婦	pʰɐu	pʰɐu³⁴|fu⁴⁴³
妹	mɵ	mui⁴⁴³
姐	tʃø	tʃe³⁵
姓	ʃəŋ	ʃəŋ³⁴
姜	køŋ	køŋ²³
姨	ji	ji²¹
娘	nøŋ	nøŋ²¹
婆	pʰo	pʰo²¹
婚	fɐn	fɐn²³
嫁	ka	ka³⁴
嫂	ʃɐu	ʃɐu³⁵
嫌	hin	hin²¹
嫩	nun	nun⁴⁴³
子	tʃɐi	tʃɐi³⁵
孔	kʰoŋ	kʰoŋ³⁵
字	tʃɐi	tʃɐi⁴⁴³
孫	ʃun	ʃun²³
孝	hau	hau⁴⁴³
季	kwoe	kwɔe⁴⁴³
學	hɔʔ7	hɔk³
孽	jit7	jit³
安	wun	wun²³
宋	ʃoŋ	ʃoŋ³⁴
完	jun	jun²¹
官	kwun	kwun²³
定	tøŋ	təŋ⁴⁴³
寶	pɐu	pɐu³⁵
實	ʃaʔ7	ʃak³
客	he1	he³⁴
宮	koŋ	koŋ²³
害	fi	fɐi⁴⁴³
容	joŋ	joŋ²¹
寬	fun	fun²³
宿	ʃok8	ʃok⁵
寄	kɐi	kʰi⁴⁴³
密	maʔ7	mak³
富	fu	fu³⁴
寸	tʃʰun	tʃʰun³⁴
對	tɵ	tui⁴⁴³
寺	tʃɐi	tʃɐi⁴⁴³
尋	tʃʰɐm	tʃʰɐm²¹
壽	ʃau	ʃau⁴⁴³
封	foŋ	foŋ²³
射	ʃɵ	ʃe⁴⁴³
小	ʃiu	ʃiu³⁵
尖	tʃin	tʃin²³
嘗	ʃøŋ	ʃøŋ²¹
尺	tʃʰø	tʃʰe³⁴
尾	mɐi1	mɐi³⁴
局	kʰok7	kʰok³
屁	pʰɐi	pʰɐi³⁴
層	tʃʰɐn	tʃʰɐn²¹
屋	lok8	ŋok⁵
屬	ʃok7	ʃok³
山	ʃɛŋ	ʃɛŋ²³
歲	ʃɵ	ʃui³⁴
岩	ŋaŋ	ŋaŋ²¹
岸	wun	wun⁴⁴³
州	tʃau	tʃau²³
左	tʃo	tʃo³⁵
幣	poe	pɔe⁴⁴³
市	ʃi1	ʃi³⁴
布	pɐu	pɐu³⁴
師	ʃi	ʃi²³
希	hɐi	hɐi²³
帶	tai	tai³⁴
席	tʰo	tʃɛk³|tʃək³
幫	pɔŋ	pɔŋ²³
帽	mɐu	mɐu⁴⁴³
平	pʰøŋ	pʰøŋ²¹|pʰəŋ²¹
年	nin	nin²¹
幼	jau	jau⁴⁴³
慶	həŋ	həŋ³⁴
牀	tʃʰɔŋ	tʃʰɔŋ²¹
店	tin	tin³⁴
廟	miu	miu⁴⁴³
府	fu	fu³⁵
延	jin	jin²¹
建	kun	kun⁴⁴³
開	fi	fɐi²³
弄	loŋ	ŋoŋ⁴⁴³
式	ʃək8	ʃək⁵
引	jɐn1	jɐn³⁴
弟	toe	tɔe⁴⁴³
張	tʃøŋ	tʃøŋ²³
彎	wɛŋ	wɛŋ²³
弱	jøʔ7	jɛk³
彈	tʰɛŋ	tʰɛŋ²¹
形	jəŋ	jəŋ²¹
影	jəŋ	jəŋ³⁵
律	ŋaʔ7	ŋak³
徐	tʃʰɵ	tʃʰui²¹
得	taʔ8	tak⁵
心	ʃɐm	ʃɐm²³
忙	mɔŋ	mɔŋ²¹
快	fai	fai⁴⁴³
念	nin	nin⁴⁴³
懷	wai	wai²¹
急	kap8	kɔk⁵
怪	kwai	kwai⁴⁴³
恨	hɐn	hɐn⁴⁴³
恩	jɐn	jɐn²³
恭	koŋ	koŋ²³
息	ʃək8	ʃək⁵
恶	ŋo	ŋɔ³⁴
惜	ʃək8	ʃək⁵
慣	kwɛŋ	kwɛŋ³⁴|kwun⁴⁴³
想	ʃøŋ	ʃøŋ³⁵
愁	ʃau	ʃau²¹
意	ji	ji³⁴
感	kaŋ	kaŋ³⁵
慌	fɔŋ	fɔŋ²³
慢	mɛŋ	mɛŋ⁴⁴³
憋	pʰit7	pɔe⁴⁴³
懂	toŋ	toŋ³⁵
懶	lɛŋ1	ŋɛŋ³⁴
戲	hɐi	hɐi³⁴
戒	kai	kai³⁴
或	we	wɛk³
戰	tʃin	tʃin³⁴
截	tʃit7	tʃit³
戶	fu	fu⁴⁴³
房	fɔŋ	fɔŋ²¹
所	ʃo	ʃo³⁵
扁	pin	pin³⁵
扇	ʃin	ʃin³⁴
手	ʃau	ʃau³⁵
扎	tʃe	tʃe³⁴
打	ta	ta³⁵
托	tʰo	tʰɔ³⁴
扮	pɛŋ	pɛŋ⁴⁴³
找	tʃau	tʃau³⁵
抄	tʃʰau	tʃʰau²³
把	pa	pa³⁵
抓	tʃa	tʃa²³
抖	tau	tau³⁵
折	tʃit7	tʃit³
搶	tʃʰøŋ	tʃʰøŋ³⁵
抱	pʰɐu1	pʰɐu³⁴
抽	tʃʰau	tʃʰau²³
拆	tʃʰe	tʃʰe³⁴
拉	ŋai	ŋai²³
拍	pʰe	pʰe³⁴
拐	kwai	kwai³⁵
拖	tʰo	tʰo²³
拜	pai	pai³⁴
擁	joŋ	joŋ³⁵
撥	put7	put³
擇	tɔʔ	tɔk³|tʃɛk³
挂	kʰwa	kʰwa³⁴
指	tʃi	tʃi³⁵
挖	we1	we³⁴
挺	tʰəŋ	tʰəŋ³⁵
捏	nit7	nit³
換	wun	wun⁴⁴³
排	pʰai	pʰai²¹
接	tʃit7	tʃit³
插	tʃʰa	tʃʰa³⁴
握	ŋe	ŋe³⁴
搬	pun	pun²³
搭	ta	ta³⁴|tak³
摆	pai	pai³⁵
摇	jiu	jiu²¹
摘	tʃeʔ7	tʃɛk³
摸	mo	mo³⁵
撞	tʃʰɔŋ	tʃɔŋ⁴⁴³
撤	tʃʰit7	tʃʰit³
擦	tʃʰe	tʃʰe³⁴
改	kwi	kwɐi³⁵
放	fɔŋ	fɔŋ⁴⁴³
敢	kaŋ	kaŋ³⁵
數	ʃɐu	ʃɐu³⁵
數	ʃɐu	ʃɐu⁴⁴³
敲	hau	hau²³
整	tʃəŋ	tʃəŋ³⁵
料	liu	ŋiu⁴⁴³
斜	tʃø	tʃʰe²¹
斷	tʰun	tʰun³⁴|tun⁴⁴³
新	ʃɐn	ʃɐn²³
方	fɔŋ	fɔŋ²³
族	tʃʰok7	tʃʰok³
日	jaʔ7	jak³
舊	kau	kau⁴⁴³
早	tʃɐu	tʃɐu³⁵
時	ʃi	ʃi²¹
旺	wɔŋ	wɔŋ⁴⁴³
明	məŋ	məŋ²¹
星	ʃøŋ	ʃøŋ⁵⁵⁴|ʃəŋ²³
春	tʃʰɐn	tʃʰɐn²³
顯	hin	hin³⁵
曬	ʃai	ʃai³⁴
晚	mɛŋ1	mɛŋ³⁴
暖	nun1	nun³⁴
暗	ŋaŋ	ŋɐm³⁴
曲	kʰok8	kʰok⁵
更	kɛŋ	kɛŋ²³
月	jut7	jut³
有	jau1	jau³⁴
朋	pʰɛŋ	pʰɛŋ²¹
服	fok7	fok³
朝	tʃʰiu	tʃʰiu²¹
木	mok7	mok³
末	mut7	mut³
本	pun	pun³⁵
殺	ʃe	ʃe³⁴
雜	tʃaʔ7	tʃak³
權	kʰun	kʰun²¹
杉	tʃʰaŋ	tʃʰaŋ³⁵
李	lɐi1	ŋɐi³⁴
村	tʃʰun	tʃʰun²³
杜	tɐu	tɐu⁴⁴³
條	tʰiu	tʰiu²¹
來	lɵ	ŋui²¹
杯	pɵ	pui²³
杰	kit7	kit³
松	ʃoŋ	ʃoŋ²³
松	tʃʰoŋ	tʃʰoŋ²¹
板	pɛŋ	pɛŋ³⁵
極	kək7	kək³
林	lɐm	ŋɐm²¹
果	kwo	kwɔ³⁵
柄	pøŋ	pøŋ³⁴
染	jin1	jin³⁴
櫃	kwoe	kwɔe⁴⁴³
柱	tʃʰy	tʃʰi³⁴
柴	tʃʰai	tʃʰai²¹
柿	ʃoe	ʃɔe²¹
樹	ʃy	ʃi⁴⁴³
栗	ŋaʔ7	ŋak³
校	hau	hau⁴⁴³
樣	jøŋ	jøŋ⁴⁴³
根	kɐn	kɐn²³
格	ke	ke³⁴
桂	kwoe	kwɔe⁴⁴³
桃	tʰɐu	tʰɐu²¹
桌	tʃø	tʃe⁴⁴³
橋	kʰiu	kʰiu²¹
樁	tʃɔŋ	tʃɔŋ²³
桶	tʰoŋ	tʰoŋ³⁵
梗	kɛŋ	kɛŋ³⁵|kɐn³⁵
夢	moŋ	moŋ⁴⁴³
梨	lɐi	ŋɐi²¹
梯	tʰoe	tʰɔe²³
棉	min	min²¹
棋	kʰɐi	kʰɐi²¹
棒	pʰɛŋ1	pʰɛŋ³⁴
棚	pʰɛŋ	pʰɛŋ²¹
樓	lau	ŋau²¹
橫	wɛŋ	wɛŋ²¹
橘	kwaʔ8	kak⁵
欠	hin	hin⁴⁴³
歡	fun	fun²³
歇	hit7	hit³
歌	ko	ko²³
正	tʃəŋ	tʃəŋ³⁴
步	pɐu	pɐu⁴⁴³
武	mɐu1	mɐu³⁴
歪	wai	wai³⁵
死	ʃɐi	ʃɐi³⁵
母	mɐu1	mɐu³⁴
毒	tok7	tok³
比	pɐi	pɐi³⁵
毛	mɐu	mɐu²¹
毯	(tʃin	(tʃin⁵⁵⁴)
民	mɐn	mɐn²¹
气	hɐi	hɐi³⁴
水	ʃɵ	ʃui³⁵
永	wəŋ1	wəŋ³⁴
汁	tʃap8	tʃɔk⁵
漢	fun	fun⁴⁴³
汗	fun	fun⁴⁴³
江	kɔŋ	kɔŋ²³
池	tʃʰi	tʃʰi²¹
湯	tʰɔŋ	tʰɔŋ²³
沉	tʃʰɐm	tʃʰɐm²¹
沙	ʃa	ʃa²³
河	ho	ho²¹
油	jau	jau²¹
治	tʃi	tʃi⁴⁴³
法	fe1	fe³⁴
泥	noe	nɔe²¹
潑	pʰut7	pʰut³
洗	ʃoe	ʃɔe³⁵
洞	toŋ	toŋ⁴⁴³
活	wut7	wut³
派	pʰai1	pʰai³⁴
流	lau	ŋau²¹
淺	tʃʰin	tʃʰin³⁵
漿	tʃøŋ	tʃøŋ²³
測	tʃaʔ8	tʃak⁵
濃	noŋ	joŋ²¹|noŋ²¹
浪	ŋɔŋ	ŋɔŋ⁴⁴³
浮	pʰɐu	pʰɐu²¹|fau²¹
浴	jok7	jok³
海	fi	fɐi³⁵
浸	tʃɐm	tʃɐm³⁴
淡	tʰaŋ	tʰaŋ³⁴|taŋ⁴⁴³
深	ʃɐm	ʃɐm²³
添	tʰin	tʰin²³
清	tʃʰøŋ	tʃʰəŋ²³
渠	kʰɵ	kʰui²¹
溫	wɐn	wɐn²³
渴	fut7	fut³
溪	kʰoe	kʰɔe²³
滑	weʔ7	wɛk³
滾	kwɐn	kwɐn³⁵
滿	mun1	mun³⁴
潭	tʰaŋ	tʰaŋ²¹
火	fo	fɔ³⁵
滅	mit7	mit³
燈	tɐn	tɐn²³
灰	fi	fɐi²³
竈	tʃɐu	tʃɐu³⁴
炎	jin	jin²¹
炭	tʰɛŋ	tʰɛŋ³⁴
炮	pʰau	pʰau³⁴
點	tin	tin³⁵
爛	lɛŋ	ŋɛŋ⁴⁴³
烘	kʰoŋ	hoŋ⁴⁴³
燭	tʃok8	tʃok⁵
烟	jin	jin²³
燒	ʃiu	ʃiu²³
熱	jit7	jit³
焦	tʃiu	tʃiu²³
煤	mɵ	mui²¹
照	tʃiu	tʃiu⁴⁴³
熊	joŋ	joŋ²¹
熏	fɐn	fɐn²³
熟	ʃok7	ʃok³
熬	lɐu	ŋɐu²¹
爬	pʰa	pʰa²¹
愛	wi	wui⁴⁴³
父	fu	fu⁴⁴³
爺	jø	je²¹
片	pʰin	pʰin³⁴
牌	pʰai	pʰai²¹
牙	ŋa	ŋa²¹
牛	ŋau	ŋau²¹
物	maʔ7	mak³
牽	hin	hin²³
特	taʔ7	tak³
犁	ŋoe	ŋɔe²¹
犯	fɛŋ	fɛŋ⁴⁴³
狂	kʰwɔŋ	kʰwɔŋ²¹
狗	kau	kau³⁵
猛	mɛŋ1	mɛŋ³⁴
豬	tʃy	tʃi²³
貓	miu	miu⁵⁵⁴
玉	jok7	jok³
王	wɔŋ	wɔŋ²¹
現	hin	hin⁴⁴³
班	pɛŋ	pɛŋ²³
球	kʰau	kʰau²¹
琴	kʰɐm	kʰɐm²¹
瓜	kwa	kwa²³
瓦	ŋa1	ŋa³⁴
瓶	pʰøŋ	pʰøŋ⁵⁵⁴|pʰəŋ²¹
甘	kaŋ	kɐm²³
甜	tʰin	tʰin²¹
生	ʃɛŋ	ʃɛŋ²³
用	joŋ	joŋ⁴⁴³
田	tʰin	tʰin²¹
甲	ka	ka⁴⁴³
畫	wa	wa⁵⁵⁴
畜	tʃʰok8	tʃʰok⁵
瘡	tʃʰɔŋ	tʃʰɔŋ²³
病	pøŋ	pøŋ⁴⁴³|pəŋ⁴⁴³
痒	jøŋ1	jøŋ³⁴
痛	tʰoŋ	tʰoŋ³⁴
瘦	ʃau	ʃau³⁴
白	peʔ7	pɛk³
百	pe	pe³⁴
皮	pʰɐi	pʰɐi²¹
盆	pʰun	pʰun²¹
益	jək8	jək⁵
鹽	jin	jin²¹
監	kaŋ	kaŋ²³
盒	haʔ7	hak³
盖	kʰwi	kʰwɐi³⁴
盤	pʰun	pʰun²¹
目	mok7	mok³
直	tʃək7	tʃək³
省	ʃɛŋ	ʃɛŋ³⁵
眉	mɐi	mɐi²¹
看	fun	fun⁴⁴³
眼	ŋɛŋ1	ŋɛŋ³⁴
着	tʃø	tʃɛk³
瞎	haʔ7	hak³
知	tɐi	tɐi²³|tʃi²³
短	tun	tun³⁵
矮	ŋai	ŋai³⁵
石	ʃøʔ7	ʃɛk³
磚	tʃun	tʃun²³
破	pʰo	pʰo³⁴
硬	ŋɛŋ	ŋɛŋ⁴⁴³
碎	ʃɵ	ʃui³⁴
碑	pɐi	pɐi²³
碗	wun	wun³⁵
碟	tit7	tit³
磨	mo	mo²¹
磨	mo	mo⁴⁴³
神	ʃɐn	ʃɐn²¹
祠	tʃʰɐi	tʃʰɐi²¹
票	pʰiu	pʰiu³⁴
禍	wo1	wɔ⁴⁴³
福	fok8	fok⁵
種	tʃoŋ	tʃoŋ³⁴
租	tʃɐu	tʃɐu²³
秤	tʃʰəŋ	tʃʰəŋ³⁴
秧	jøŋ	jøŋ²³
積	tʃək8	tʃək⁵
移	ji	ji²¹
程	tʃʰəŋ	tʃəŋ²¹
窮	kʰoŋ	kʰoŋ²¹
窄	tʃe	tʃe³⁴
窗	tʃʰøŋ	tʃʰøŋ²³
立	lap7	ŋɔk³
豎	ʃy	ʃi⁴⁴³
章	tʃøŋ	tʃøŋ²³
端	tun	tun²³
竹	tʃok8	tʃok⁵
笋	ʃɐn	ʃɐn³⁵
笑	ʃiu	ʃiu³⁴
笔	paʔ8	pak⁵
笛	tø	tɛk³
等	tɐn	tɐn³⁵
筋	kɐn	kɐn²³
筐	hɔŋ	hɔŋ⁵⁵⁴
策	tʃʰe	tʃʰe³⁴
签	tʃʰin	tʃʰin²³
箍	kʰwu	kʰwu²³
算	ʃun	ʃun³⁴
簫	ʃiu	ʃiu²³
篾	mit7	mit³
簿	pɐu	pɐu⁴⁴³
米	moe	mɔe³⁴|mɐi³⁴
类	lɵ	ŋui⁴⁴³
粉	fɐn	fun³⁵
粥	tʃok8	tʃok⁵
糞	fɐn	fɐn³⁴
糉	tʃoŋ	tʃoŋ³⁵
糖	tʰɔŋ	tʰɔŋ²¹
糙	tʃʰɐu	tʃʰɐu³⁴
糠	hɔŋ	hɔŋ²³
系	hoe	hɔe⁴⁴³
索	ʃo1	ʃɔk³
緊	kɐn	kɐn³⁵
紫	tʃɐi	tʃɐi³⁵
紅	hoŋ	hoŋ²¹
約	jø	jɛk³
純	ʃɐn	ʃɐn²¹
紙	tʃi	tʃi³⁵
紡	fɔŋ	fɔŋ³⁵
線	ʃin	ʃin³⁴
織	tʃək8	tʃək⁵
終	tʃoŋ	tʃoŋ²³
經	kəŋ	kəŋ²³
綁	pɔŋ	pɔŋ³⁵
結	kit7	kit³
繞	jiu1	jiu³⁴
絕	tʃut7	tʃut³
統	tʰoŋ	tʰoŋ³⁵
繩	ʃəŋ	ʃəŋ²¹
綢	tʃʰau	tʃʰau²¹
綠	lok7	ŋok³
縛	fɔʔ7	fu⁴⁴³
縫	foŋ	foŋ²¹
纏	tʃʰin	tʃʰin²¹
縮	ʃok8	ʃok⁵
缺	kʰut7	kʰut³
网	məŋ1	mɔŋ³⁴
罰	feʔ7	fɛk³
罩	tʃau	tʃau⁴⁴³
罪	tʃɵ	tʃui⁴⁴³
翁	joŋ	joŋ²³
翻	fɛŋ	fɛŋ²³
老	lɐu1	ŋɐu³⁴
耕	kɛŋ	kɛŋ²³
耳	lɐi1	ŋɐi³⁴
聾	loŋ	ŋoŋ²¹
肉	jok7	jok³
肝	kwun	kwun²³
肥	fɐi	fɐi²¹
肩	kɛŋ	kɛŋ²³|kin²³
肯	hɐn	hɐn³⁵
育	jok7	jok³
肺	foe	fɔe³⁴
腫	tʃoŋ	tʃoŋ³⁵
胃	woe	wɔe⁴⁴³
膽	taŋ	taŋ³⁵
背	pɵ	pui⁴⁴³
胎	tʰɵ	tʰui²³
胖	pun	pun⁴⁴³
能	nɐn	nɐn²¹
腦	nɐu1	nɐu³⁴
膿	noŋ	noŋ²¹
脚	kø	ke³⁴
脫	tʰut7	tʰut³
腰	jiu	jiu²³
臭	tʃʰau	tʃʰau³⁴
舅	kau	kau⁵⁵⁴|kʰau³⁴
舌	ʃit7	ʃit³
船	ʃun	ʃun²¹
色	ʃək8	ʃək⁵
藝	ŋoe	ŋɔe⁴⁴³
節	tʃit7	tʃit³
芋	fu	fu⁵⁵⁴
花	fa	fa²³
苦	fu	fu³⁵
茄	kʰø	kʰe²¹
茶	tʃʰa	tʃʰa²¹
草	tʃʰɐu	tʃʰɐu³⁵
榮	jəŋ	jəŋ²¹
藥	jøʔ7	jɛk³
蓮	lin	ŋin²¹
菊	kʰok8	kʰok⁵
菜	tʃʰɵ	tʃʰui³⁴
營	jəŋ	jəŋ²¹
落	ŋɔʔ7	ŋɔk³
葱	tʃʰoŋ	tʃʰoŋ⁵⁵
藍	ŋaŋ	ŋaŋ²¹
蓬	pʰoŋ	foŋ²¹
薄	pɔʔ7	pɔk³
藕	lau1	ŋau³⁴
藤	tʰɐn	tʰɐn²¹
虎	fu	fu³⁵
蟲	tʃʰoŋ	tʃʰoŋ²¹
蝨	ʃaʔ8	ʃak⁵
蝦	ha	ha⁵⁵⁴
蟻	ŋoe1	ŋɔe³⁴
蚊	mɐn	mɐn²³
蠶	tʃʰaŋ	tʃʰaŋ²¹
蛇	ʃɵ	ʃe²¹
蜂	foŋ	foŋ²³
蠟	ŋaʔ7	ŋak³
蠅	jəŋ	jəŋ²¹
螺	lø	ŋe²¹
蟹	hai1	hai³⁴
血	hut7	hut³
