#漢字	音標	解釋
㜷	mɛi1	妈妈
冗	loŋ3	官话音
寫	ɕia3	
軍	tɕyn1	文
軍	kuɛn1	白
農	noŋ5	
農	noŋ2	
冠	kua5	
冠	kuan2	官话音
冤	yɛ1	
冥	min5	官话音
冬	toŋ1	
馮	foŋ5	官话音
冰	pɛn1	
冲	tsʰoŋ1	
决	tɕyɛ5	
况	kʰuaŋ5	
冷	lɛn3	
凍	toŋ5	冷
淨	tsɛn5	
凄	tɕʰi1	
準	tsoŋ3	
凉	liaŋ2	
凋	tiau1	
凌	lɛn2	
減	kɔ3	白
減	kan3	文
湊	tsʰɐø5	
凛	lɛn3	
几	tɕi3	
凡	fan5	官话音
凡	fɔ2	
鳳	foŋ2	官话音
凭	pɛn3	倚靠
凭	pʰin5	官话音
凱	kʰai3	
凰	xuaŋ5	
凳	tɛn5	
凶	ɕioŋ1	
出	tɕʰyɛ3	
擊	tɕi5	
函	xa2	
刀	tau1	
刁	tiau1	
分	poŋ1	～给
分	foŋ1	～钟
切	tɕʰiɛ3	
刈	i2	
刊	kʰan1	
刑	ɕin5	官话音
划	xua5	～算
划	xua2	
列	liɛ5	
劉	liou2	
剛	kaŋ1	
創	tsʰaŋ2	～造
創	tsʰaŋ5	
初	tsʰu1	
刪	suan1	
判	pʰɔ5	
利	li5	
别	piɛ5	
刮	kua1	
到	tau5	
制	tsɿ5	
刷	sua1	
刺	tsʰɿ2	
刻	kʰɛ3	
剁	tou5	
剃	tʰɛi5	
削	ɕyɛ5	
前	tɕʰiɛ2	
劍	tɕiɛ5	
剔	tʰi5	
剝	pou1	
劇	tɕy2	官话音
剩	ɕyn5	
剪	tɕiɛ3	
副	fu5	
剿	tɕiau3	
力	lɛi5	
勸	tɕʰyɛ5	
辦	pan5	怎么～
辦	pan2	～法
功	koŋ1	
加	kɔ1	
務	u5	
劣	lyɛ2	
動	toŋ5	
努	nu3	
勵	li5	
勁	tɕin2	
勞	lau2	白
勞	lau5	文
勢	sɿ5	
勃	pɔ5	
勇	ioŋ3	
勉	mian3	官话音
勋	ɕyn1	官话音
勘	kʰan1	官话音
勤	kʰɛn2	
勺	sɔ2	
勾	kɐø1	
勿	u2	官话音
勻	yn2	
包	pau1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
匐	fu5	
匕	pi5	
化	xua5	
北	pai3	
匙	sɿ1	锁～
匡	kʰuaŋ1	
匣	xua5	
匪	fɛi1	
匹	pi2	
區	tɕʰy1	
醫	i1	
匾	piɛ3	
匿	ȵi2	官话音
十	ɕiɛ5	
千	tɕʰiɛ1	
升	ɕin1	
午	u3	
卉	xuɛi2	官话音
半	pɔ5	
華	xua5	
協	ɕiɛ5	官话音
卑	pɛi1	
卓	tsɔ5	官话音
單	ta1	
賣	ma5	
南	nɔ2	
博	pɔ5	
卜	pu3	
卞	piɛ6	
占	tsan5	
盧	lu5	
卤	lu3	
衛	uɛi5	
卯	mau3	
印	in5	
危	uɛi5	～险
卻	tɕʰiɛ5	
卻	tɕʰiɛ2	
卵	lɔ3	
卷	tɕyɛ5	
卷	tɕyɛn3	又读
卸	ɕyɛ2	官调土音
廠	tsʰaŋ3	
廳	tʰɛn1	
历	liɛ5	
厲	li5	
壓	ia5	官话音
廁	tsɛ5	～所
厘	li5	
厚	xɐø5	白
厚	xou2	文
原	yɛ2	～先
原	yɛn5	～来
廂	ɕiaŋ1	
廚	tɕʰy2	
厮	sɿ1	
去	fɛ2	
縣	ɕyɛ5	
叄	sɔ1	
又	iou5	
叉	tsʰa1	
及	tɕʰiɛ5	
友	iou1	
雙	suaŋ1	
反	fɔ3	
发	fa3	
叔	sou3	
取	tɕʰy3	
受	ɕiou5	
變	piɛ5	
敘	su5	
叛	pɔ5	
叟	sɐø1	
疊	tiɛ5	
疊	tiɛ3	
口	kʰɐø3	
古	ku3	
句	tɕy5	
另	lɛn5	
叨	tau1	
叩	kʰɐø5	
只	tsa3	一～猪
叫	tɕiau5	
召	tsau1	
叭	pa1	喇～
叮	tɛn1	
可	kʰou3	
台	tai2	
史	sɿ3	
右	iou5	
葉	iɛ5	官话音
號	xau5	
司	sɿ1	
嘆	tʰan5	
叼	tiau1	
嘰	tɕi1	
吃	tɕʰia3	文
合	xɔ5	
吉	tɕiɛ5	
吊	tiau5	
同	toŋ2	
名	mɛn2	
后	xɐø5	
吏	li2	官话音
向	ɕiaŋ5	
嚇	xai3	
吕	ly3	
嗎	ma1	
君	kuɛn1	
吞	tʰuɛn1	
吟	in5	
吠	fɛi2	
吧	pa1	语气词
吨	tuɛn1	
吩	fɛn1	
含	xa2	
含	xan5	
听	tʰɛi1	白
听	tʰin2	文
启	tɕʰi3	
吴	u5	
吵	tsʰau3	
吹	tɕʰy1	
吻	uɛn3	
吼	xou3	
吾	ŋa5	
呆	ŋai2	
告	kau5	
呐	na2	～喊
嘔	ɐø3	
員	yɛ2	白
員	yɛn5	文
嗆	tɕʰiaŋ5	
呢	lɛ3	
呦	iou1	
周	tɕiou1	
呱	kua1	
味	uɛi5	
呵	xɔ1	
呸	pʰɛi3	
呻	ɕin1	
呼	xu1	
命	mɛn5	
咀	tɕy3	
和	xɔ5	官话音
咏	ioŋ3	
咐	fu5	
咒	tsɐø5	
咕	ku1	
咖	kʰa1	～啡
嚨	loŋ1	
咚	toŋ1	
噝	sɿ1	
咧	lia3	
咪	mi1	
咬	ŋau1	
咱	tsɛi1	我～（存疑）
咳	kʰai3	
咸	xɛn2	
咽	iɛ1	
哀	ŋai1	
品	pʰin3	官话音
哄	xoŋ3	
哇	ua1	
哈	xa1	
哉	tsai1	
響	ɕiaŋ3	
哎	ɛi3	
啞	ŋa3	
噲	kʰuai2	
喲	iou1	语气词
哥	kɵø1	
哦	ɔ5	
哨	sau5	
哪	pi3	～粒（谁）
哭	xou3	
哮	ɕiau2	
哲	tsɛ5	官话音
哺	pu3	
脣	suɛn5	
唉	ai1	～声叹气
唉	ai5	
唏	ɕi1	
唐	taŋ2	
唔	ŋ3	
喚	xuan2	官话音
售	sɐø5	
唯	uɛi5	
唱	tsʰuɵø5	
啃	kʰɛn3	～老
商	saŋ1	官话音
啡	fɛi1	
啤	pi2	
啦	la1	
嗇	sɛ5	
囉	lou1	～嗦
嘯	ɕiau2	
啻	kʰu2	
喂	uɛi5	
喃	nɔ2	
善	san2	
喇	la3	
喉	xɐø2	
喊	xɔ5	白
喜	tɕʰi3	～事
喜	ɕi3	
喝	xɔ1	官话音
喧	ɕyɛ1	
喱	li1	
噴	pʰɛn1	
喻	y5	
嗅	ɕiou5	
嗒	ta1	
嗜	sɿ2	
嗡	oŋ1	
嗣	sɿ2	
嗦	sɵø1	
嗲	tia3	
嗽	sɐø5	咳～
噓	ɕy1	
嘚	tɛ5	
嘛	ma1	
嘞	lɛ3	
嘣	poŋ1	
嘲	tsʰau2	
嘴	tɕy3	
嘶	sɿ1	
嘹	liau5	
嘻	ɕi1	
器	tɕʰi5	
噪	tsau5	
噬	sɿ5	
囂	ɕiau1	
囚	tɕʰiou5	官话音
四	sɿ5	
回	xuɛi2	
因	ɛn1	
团	tɔ2	
園	yɛ2	
困	kʰuɛn2	
圍	uɛi2	
圇	luɛn2	
固	ku5	
國	kuɛ5	
圖	tu2	
圖	tʰu2	又读
圃	pu1	
圓	yɛ2	
圈	kʰua1	
圈	tɕʰyɛ1	圆～
圜	yɛ2	
圞	lɔ2	圆
土	tʰɵø3	
聖	ɕin2	
圩	ɕy1	
地	ti5	
圳	tɕyn5	
圳	tsɛn2	深～
場	tsʰaŋ3	
址	tsɿ3	
均	tɕyn1	
坊	faŋ3	
坎	kʰan3	
壞	xuai5	
坐	tsʰou5	
坑	kʰɛn1	
塊	kʰua5	
堅	tɕian1	
坛	tɔ3	
坛	tʰan5	文，论～
壩	pa5	
墳	fɛn2	
墜	tsuɛi5	
坡	pʰɔ1	
坤	kʰuɛn1	
坦	tʰan3	官话音
坨	tɔ2	
坪	pɛn2	
坳	ŋau5	
坷	kʰɔ5	
垂	tɕʰy5	
壟	loŋ3	
型	ɕin5	
垌	toŋ5	
垒	luɛi3	
垚	iau2	
垢	kɐø5	
墾	kʰɛn3	
墊	tiɛ5	
垮	kʰua3	
埂	kɛn3	
埃	ŋai1	
埋	ma2	
城	tɕʰin5	
域	y2	
培	pʰɛi5	官话音
基	tɕi1	官话音
堂	taŋ2	
堆	tuɛi1	
塹	tɕʰiɛ5	
墮	tɔ2	官话音
堡	pau3	
堤	ti1	
堪	kʰan1	官话音
堰	iɛ5	
堵	tou3	
塌	tʰa1	
塑	su5	
塔	tʰa3	官话音
塘	taŋ2	
塞	sɛ5	官话音
塞	sai2	官话音
填	tiɛ2	
塾	su5	
境	kɛn5	
境	tɕin5	
墅	ɕy2	
墓	mu5	
牆	tɕʰiaŋ2	
增	tɕin1	
墟	ɕy1	
墨	mai5	
壁	pi5	
壤	ȵiaŋ3	
士	sɿ5	
壯	tsuaŋ5	结实
聲	ɕin1	
壺	xu2	
壹	iɛ5	
處	tɕy2	～所
處	tɕʰy3	～理
備	pɛi5	
复	fu5	
夏	xou5	理论音或已消失的老派音
夏	ɕia2	旧文今白
夕	ɕi1	
外	uai5	
多	tou1	
夜	ia5	
够	kɐø5	
大	ta5	
天	tʰiɛ1	
太	tʰai5	
夫	fu1	
夭	iau1	
央	iaŋ1	
失	sɿ5	官话音
頭	tɐø2	洗～
頭	tɐø3	钵～
夾	ka5	
奐	xuan2	官话音
奄	iɛ3	
奇	tɕʰi2	
奈	nai2	官话音
奉	foŋ2	
奮	fɛn2	官话音
奎	kʰuɛi2	
奏	tsɐø5	
契	tɕʰi2	官话音
奔	pɛn1	
奕	i2	
獎	tɕiaŋ3	
套	tʰau5	～入赴
奚	ɕi1	
奠	tiɛ5	
奢	sɛ1	官话音
奧	ŋau2	官话音
女	ȵy1	白
女	ȵy3	文
奴	nu5	～隶
奶	nai3	
奸	kan1	
她	kɛ1	
好	xɐø3	
如	lu5	
妃	fɛi1	
妄	uaŋ2	
妝	tsuaŋ1	
婦	fu2	～女
婦	fu1	～娘
媽	mɛi1	
妒	tu5	
妓	tɕi2	官话音
妖	iau1	官话音
妙	miau5	
妥	tʰɔ3	
妨	faŋ5	
妮	ȵi2	
妹	mi1	
妻	tɕʰi1	
妾	tɕʰiɛ2	
姆	mu3	
姊	tsɿ3	
始	tsʰɿ3	
姐	tɕia3	
姑	ku1	
姓	sɛn5	
委	uɛi3	
姚	iau2	
姜	tɕiaŋ1	
姥	lau3	官话音
姨	i2	
姬	tɕi1	
姻	iɛn1	官话音
威	uɛi1	
婁	lou5	官话音（～底，地名）
嬌	tɕiau1	
娘	ȵiaŋ2	
娟	tɕyɛ1	
娥	ŋɔ5	官话音
娴	ɕiɛ2	
娶	tɕʰy3	官话音
娼	tsʰaŋ1	
婆	pa3	老派，奶奶
婆	pou2	中新派，奶奶
婉	uan3	官话音
婊	piau3	
婚	xuɛn1	～姻
嬰	in1	官话音
嬸	ɕin3	
婷	tɛn2	
婺	u2	官话音
婿	ɕy5	
媒	mɛi2	
媳	sɛi3	
嫁	kɔ5	
嫂	sau3	
嫉	tɕi2	官话音
嫌	ɕiɛ2	
嫣	iɛ1	
嫦	tsʰaŋ5	
嫩	nuɛn5	
嬉	ɕi1	玩耍
子	tsa3	
孑	tɕiɛ5	
孔	kʰoŋ3	
孕	ioŋ5	
字	tsʰɿ5	
孫	ɕyn1	
孚	fu5	
孝	ɕiau5	
孟	moŋ2	
孢	pau2	
季	tɕi5	
孤	ku1	
學	xou1	
孿	lɔ2	
孽	ȵiɛ5	
寧	ȵin5	
宇	y3	
守	ɕiou3	
安	ŋan1	
宋	soŋ2	官话音
完	uan2	
宏	xoŋ5	官话音
宕	taŋ2	
宗	tsoŋ1	
官	kua1	
宙	tsou5	
定	tɛn5	
宜	ȵiɛ1	便～
宜	ȵi2	～章（地名）
寶	pau3	
實	ɕiɛ2	
寵	tsʰoŋ3	
審	ɕin3	
客	kʰai3	白
客	kʰɛ5	文
宣	ɕyɛ1	
室	ɕiɛ5	
宦	xuan2	官话音
宪	ɕiɛn2	～法
宮	koŋ1	
宰	tsai3	
害	xa5	白
害	xai2	文
宴	iɛ5	
宵	ɕiau1	
家	kɔ1	过人～
家	ka1	～娘
家	tɕia1	～庭
容	ioŋ2	
寬	kʰua1	
賓	pɛn1	
宿	su2	～舍
宿	ɕiou3	星～
寂	tɕi2	官话音
寄	tɕi5	
密	mi5	
密	mi2	
寇	kʰɐø5	
富	fu5	
寒	xan2	
寓	y5	
寢	tɕʰin3	官话音
寞	mɔ5	官话音
察	tsʰɔ2	
寡	kua3	
寥	liau2	
寨	tsʰa5	
寸	tɕʰyn5	
對	tuɛi5	～错
對	tuɛi2	～联
寺	tsɿ5	
尋	tɕʰin2	
導	tau3	～致
壽	ɕiou5	
封	foŋ1	
射	sɛ2	
將	tɕiaŋ2	大～
將	tɕiaŋ1	
尉	uɛi2	
尊	tɕyn1	
小	ɕiau3	
少	sau3	官话音
尔	ɛ3	
尕	ka1	
尖	tɕiɛ1	
尘	tɕʰin5	
尚	saŋ2	官话音
嘗	saŋ2	
尤	iou2	
尬	ka2	
就	tɕʰiou5	
屍	sɿ1	
尺	tsʰɿ5	官话音
尼	ȵi2	
尽	tɕin5	
尾	mi1	
尿	ȵiau5	
局	tɕy2	官话音
屁	pʰi5	
層	tsʰɛn2	
居	tɕy1	
屈	tɕʰy1	
屉	tʰi5	
屆	kai5	
屋	ɵø3	
屎	sɿ3	
屏	pʰin2	官话音
展	tsan3	官话音
屙	ou1	
屬	sou3	
屠	tu2	
屢	ly3	
履	ly3	
山	sɔ1	
歲	ɕy5	
豈	tɕʰi3	
岐	tɕʰi5	
岔	tsʰa5	
嶇	tɕʰy1	
崗	kaŋ1	
島	tau3	
岩	ŋɔ2	～泉，地名
岩	ŋan5	～石
岭	lɛn3	
岳	iɔ5	～阳，地名
岸	ŋan5	
峋	ɕyn5	
峒	toŋ2	
巒	lɔ2	
峨	ŋɔ5	官话音
峭	tɕʰiau5	
峯	foŋ1	
峻	tɕyn2	官话音
崀	laŋ2	
崇	tsʰoŋ5	官话音
崎	tɕʰi5	官话音
崔	tsʰuɛi1	官话音
崩	poŋ1	官话音
嶄	tsan3	～新
崴	uai3	
崽	tsa3	
嵇	tɕi1	
嵋	mɛi5	
嵌	tɕʰiɛ5	
嵩	soŋ1	
嶙	lɛn2	
嶲	ɕi1	
嶷	ȵi5	
巔	tiɛ1	
川	tɕyɛn1	
州	tɕiou1	
巡	ɕyn5	官话音
巢	tsʰau5	官话音
工	koŋ1	
左	tsou3	
巧	tɕʰiau3	～克力
巨	tɕy5	
鞏	koŋ3	
巫	u1	
差	tsʰai1	出～
差	tsʰa1	～一点
己	tɕi3	
已	i3	
巳	sɿ5	
巴	pa1	
巷	xaŋ5	
巾	kɛn1	
幣	pi5	
市	sɿ5	
布	pu5	
帥	suai2	官话音
帆	fɔ1	
帆	fan1	
師	sɿ1	
希	ɕi1	
帳	tsaŋ5	
帕	pʰɔ5	
帖	tʰiɛ5	～（请柬）
帘	liɛ2	
帝	ti2	文
帝	ti5	白
帶	tai5	
幀	tɕin1	
席	ɕiɛ5	
幫	paŋ1	
帷	uɛi5	官话音
常	tsʰaŋ5	文
常	saŋ5	白
帽	mau5	
幂	mi2	官话音
幅	fu5	
幌	xuaŋ3	
幕	mu2	
干	kɔ1	～燥
干	kan2	～部
干	kan5	
平	pɛn2	
年	ȵiɛ2	
并	pɛn5	
幸	ɕin2	～福
幺	iau1	
幻	xuan5	
幼	iou5	
幽	iou1	
廣	kuaŋ3	
莊	tsuaŋ1	
慶	tɕʰin5	
牀	tsʰaŋ2	
序	ɕy2	
廬	lu5	
庫	kʰu5	
應	ɛn5	
底	tɛi3	
店	tiɛ5	
廟	miau6	
庚	kɛn1	
府	fu3	
龐	pʰaŋ5	
廢	fɛi5	
度	tou5	
庭	tɛn2	
庶	ɕy2	官话音
康	kʰaŋ1	
庸	ioŋ1	
廉	liɛ2	
廊	laŋ5	官话音
廖	liau5	
延	iɛ2	
廷	tʰɛn5	朝～
建	tɕiɛn5	官话音
開	kʰai1	
弁	piɛ5	
异	i5	
弃	tɕʰi2	
弄	loŋ5	
弈	i2	
弊	pi5	
式	sɿ2	官话音
弓	koŋ1	
引	in3	官话音
弘	xoŋ5	官话音
弟	ti5	
張	tsaŋ1	
弥	mi5	
弦	ɕyɛ2	
弧	xu5	
弩	nu5	
彎	ua1	
弱	ȵiɔ5	
彈	tɔ2	
彈	tʰan5	
强	tɕʰiaŋ2	
强	tɕʰiaŋ3	勉～
弼	pi2	官话音
歸	kuɛi1	
當	taŋ2	～得（比得上）
當	taŋ1	～兵
录	lu5	官话音
彗	xuɛi5	
彝	i5	
形	ɕin2	
彤	toŋ2	
彩	tsʰai3	官话音
彪	piau1	
彬	pɛn1	
彭	poŋ2	白
彭	pʰɛn5	文
彰	tsaŋ1	
影	in3	
彷	faŋ3	
役	i2	
徹	tsʰɛ5	官话音
彼	pi3	
往	uaŋ3	
征	tɕin1	
徑	kɛn2	白
徑	tɕin2	文
待	tai2	官话音
徊	xuai5	官话音
律	ly5	
徐	tɕʰy5	
徒	tu2	
得	tɛi5	易～（容易）
得	tɛ5	文，～到
徘	pai5	官话音
徙	ɕi5	官话音
徛	tɕʰi1	站
循	ɕyn5	
微	uɛi1	
德	tɛ5	
徽	xuɛi1	
心	sɛn1	
必	pi5	
憶	i2	官话音
忌	tɕi2	
忍	in3	
忑	tʰɛ5	官话音
志	tsɿ2	
忘	uaŋ5	
忙	maŋ2	
忠	tsoŋ1	
憂	iou1	
快	kʰua5	
念	liɛ5	
懷	xuai5	
態	tʰai2	官话音
慫	soŋ2	
慪	ɐø5	～气
怏	iaŋ1	
怒	nu5	
怕	pʰa5	
怖	pu5	
憐	liɛ2	
思	sɿ1	
怡	i5	官话音
急	tɕiɛ3	着～
性	sɛn5	白
性	ɕin2	文
怨	yɛ5	
怪	kua5	
怯	tɕʰiɛ5	
總	tsoŋ3	
戀	liɛ5	
恐	xoŋ3	白，害怕
恐	kʰoŋ3	文，～龙
恆	xɛn5	官话音
恕	ɕy5	
恢	xuɛi1	官话音
恨	xɛn5	
恩	ɛn1	
恭	koŋ1	
恰	tɕʰia2	官话音
懇	kʰɛn3	
恶	u5	文
恶	ŋɔ3	白
惱	nau3	官话音
悄	tɕʰiau1	
悉	ɕi1	～心
悔	xuɛi5	
悖	pɛi2	官话音
悚	soŋ3	
悟	u3	官话音
悠	iou1	
患	xuan5	
悅	yɛ5	愉～
懸	ɕyɛ2	
憫	mɛn3	
悲	pɛi1	
悴	tɕʰy5	
悸	tɕin5	
情	tsʰɛn2	
驚	kɛn1	
惑	xuɛ5	
惕	tʰi2	
惜	ɕi1	可～
惟	uɛi5	
惠	xuɛi5	
惠	xuɛi2	～州
惦	tiɛ5	
懼	tɕʰy5	
慘	tsʰan3	官话音
懲	tsʰɛn3	官话音
憊	pɛi5	
慚	tsʰan5	官话音
慣	kua5	
惰	tɔ2	
想	ɕiaŋ3	
惶	uaŋ5	
惹	iɛ3	
惺	sɛn1	
愁	tɕʰiou2	
愈	y5	
愉	y5	
意	i5	
意	i2	
愐	mɛ3	想
愚	y5	
感	kɔ3	理论音或消失的老派音
感	kan3	今读
憤	fɛn5	
愧	kʰuɛi2	
願	yɛ5	
慈	tsʰɿ5	
慌	xuaŋ1	
慎	sɛn2	官话音
慢	mɔ5	
慧	xuɛi2	官话音
慨	kʰai1	
慰	uɛi2	官话音
慷	kʰaŋ1	
憔	tɕʰiau2	
憬	kʰɛn3	
懂	toŋ3	
懶	lɔ3	
懵	moŋ1	
懿	i5	
戎	ioŋ2	
戲	tɕʰi2	
成	tɕʰin5	
我	ŋa5	
戒	kai5	
或	xuɛ5	
戧	tɕʰiaŋ5	斜
戰	tsan2	官话音
戚	tɕʰiɛ5	
戟	tɕi5	
截	tɕiɛ5	
戴	tai5	
戶	xu2	官话音
戽	pʰu1	～水
房	faŋ2	
所	sɔ3	
扁	piɛ3	
扇	ɕiɛ5	
扈	xu2	
手	ɕiou3	
才	tsʰai2	
扎	tsa1	
扑	pʰu3	
扒	pʰa5	官话音
打	ta3	
扔	lɛn1	官话音
托	tʰou1	
扣	kʰɐø5	
扦	tɕʰiɛ1	
掃	sau3	打～
揚	iaŋ2	
扭	ȵiou3	
扮	pan2	官话音
扮	pɔ5	
扯	tsʰa3	
擾	iau3	
扶	fu2	
批	pʰi1	
扼	ŋɔ3	官话音
找	tsau3	～钱
承	tɕʰin2	
技	tɕʰi6	
抄	tsʰau1	
把	pa3	
抑	i2	
抒	ɕy1	～情
抖	tɐø3	
抗	kʰaŋ2	
撫	fu3	
抛	pʰau1	
摳	kʰɐø1	
搶	tɕʰiaŋ3	
護	xu5	
報	pau5	
披	pʰi1	
抬	ta2	白
抬	tʰai5	文
抱	pau5	
抵	ti3	～抗力
抹	ma1	
抻	tɕʰin1	
押	ia1	官话音
抽	tɕʰiou1	
抿	mɛn3	
拄	tɕʰy5	
擔	ta1	～心
拆	tsʰɛ5	官话音
拇	mu3	
拉	la1	
拌	pan2	搅～机
拌	pɔ5	～面
拍	pʰɛ5	
拎	lɛn1	
拐	kua3	
拒	tɕy2	官话音
拔	pa5	～河
