#漢字	音標	解釋
□	tɕyɛ1	圪~~:小而软且呈锥形的物体
剛	tɕiɔ1-	~~儿:刚才
初	tʂʰu1	~中
初	tʂʰu2	腊月~一
删	saŋ2	
判	pʰaŋ5	
刨	pʰau2	
利	li5	
别	piɛʔ3/piɛ3	
别	piɛ5	~扭
刮	kuʔ3/ku3	
到	teu5	
制	tsɿ5	
刷	ʂuʔ3/ʂu3	
券	tɕʰyaŋ5	
刺	tsʰɿ5	
刻	kʰɤʔ3/kʰɤ3	
劊	kʰuai5	
刴	tuɯ5	
劑	tɕi5	
剃	tʰi5	
剆	lɯ3	~动:触碰
削	ɕyəʔ3	
剌	lɑʔ3/lɑ3	
前	tɕʰiaŋ2	
剮	kua1	
劍	tɕiaŋ5	
剔	tʰiəʔ3	
剖	pʰau1	
剜	vaŋ1	
剝	pɑʔ3/pɑ3	~皮
劇	tɕy5	
剩	ʂeŋ5	
剪	tɕiaŋ3	
副	fu5	
割	kɤʔ3/kɤ3	
剿	tɕieu3	
劈	pʰiəʔ3	
劘	mi5	代字,拿刀捅
力	liəʔ3	
勸	tɕʰyaŋ5	
辦	paŋ5	
功	kuŋ1	
加	tɕia1	
務	vu5=	
務	mu5-	~住:作为目标
動	tuŋ5	
助	tʂu5	
努	nau3	
劫	tɕiɛʔ3/tɕiɛ3	
勵	li5	
勁	tɕiŋ5	
勞	leu2	
勢	ʂʅ5	
勃	pɤʔ3/pɤ3	
勇	yŋ3	
勉	miaŋ3	
勳	ɕyŋ1	
勒	lyəʔ3	
勘	kʰaŋ1	
募	mu5	
勤	tɕʰiŋ2	
勺	ʂeu2	
勾	kau1	
勿	vəʔ3	
勿	uəʔ3	
匀	yŋ2	
包	pau1	
匆	tsʰuŋ1	
匈	ɕyŋ2	
化	xua5	
北	piəʔ3	
匙	sɿ2	
匟	kʰɔ5	~板石:盘匟时候最上方铺的扁平石头
匠	tɕiɔ5	
匡	kʰɔ1	
匣	ɕiɑʔ3/ɕiɑ3	
匪	fei1	
匱	kʰuei5	
匹	pʰiəʔ3	
區	tɕʰy1	
醫	i1	
匾	piaŋ3	
十	ʂəʔ3	
十	ʂəʔ3	五~。连读变调阳入
千	tɕʰiaŋ1	
升	ʂeŋ1	
午	vu3	
半	paŋ5	
華	xua1	
華	xua5	~山
協	ɕiɛ2	
協	ɕiɛʔ3/ɕiɛ3	
卑	pei1	
卓	tʂʰuʔ3/tʂʰu3	
單	taŋ1	
單	ʂaŋ5	
賣	mai5	
南	naŋ2	
博	pɤʔ3/pɤ3	
卜	pɤʔ3/pɤ3	
占	tʂaŋ5	
卡	kʰa3=	
卡	tɕʰia3	关~;~子;发~
盧	lau2	
卤	lau3	
卦	kua5	
臥	vɯ5	
衛	vei5	
卯	mau3	
印	iŋ5	
危	vei1=	
危	vei2-	~房
即	tɕiəʔ3	
卻	tɕʰiɛʔ3/tɕʰiɛ3	
卵	luaŋ3	
卷	tɕyaŋ3	
卷	tɕyaŋ5	
卸	ɕiɛ5	
卿	tɕʰiŋ1	
廠	tʂʰɔ3	
廳	tʰiŋ1	
历	liəʔ3	
厲	li5	
壓	iɑʔ3/iɑ3	
壓	iɛʔ3/iɛ3	
壓	ia5=	电~
厭	iaŋ5	
廁	tsʰɤʔ3/tsʰɤ3	
厘	li2	
厚	xau5	
原	yaŋ2	
廂	ɕiɔ1	
厥	tɕyɛʔ3/tɕyɛ3	
厦	sa5	
廚	tʂʰu2	
厮	sɿ1=	
厮	sɿ2-	家~:家伙
去	tɕʰy5=	
去	kʰəʔ3-	~哪圪呀:去哪里
厾	tuəʔ3	
縣	ɕiaŋ5	
参	tsʰaŋ1	
又	iau5	
叉	tsʰa1	
及	tɕiəʔ3	
及	tɕiɛʔ3/tɕiɛ3	趁
友	iau3	
反	faŋ3	
发	fɑʔ3/fɑ3	
叔	ʂuəʔ3	
取	tɕʰy3	
受	ʂau5	
變	piaŋ5	
敍	ɕy5	
叛	pʰaŋ5	
叟	sau3	
疊	tiɛʔ3/tiɛ3	
口	kʰau3	
古	ku3	
句	tɕy5	
另	liŋ5	
叨	teu1	
叩	kʰau5	
只	tsɿ3	~有
只	tʂəʔ3	量词
叫	tɕieu5	
召	tʂeu1	
可	kʰɯ3	
可	kʰɯ5	正好
可	kʰəʔ3	程度副词,很:~大叻
台	tʰai2	
史	sɿ3	
右	iau5	
葉	iɛʔ3/iɛ3	
號	xeu2	
號	xeu5	
司	sɿ1	
吁	y5	
吃	tʂʰəʔ3	
各	kɤʔ3/kɤ3	
吆	ieu1	
合	kɤʔ3/kɤ3	
合	xɤʔ3/xɤ3	
吉	tɕiəʔ3	
吊	tieu5	
同	tʰuŋ2	
名	miŋ2	
后	xau5	
吏	li5	
吐	tʰu3	
向	ɕiɔ5	
嚇	xa5	
呂	ly3	
君	tɕyŋ1	
吝	liŋ5	
吟	iŋ2	
吠	fei5	
吣	tɕʰiŋ5	
否	fu3	
吨	tuŋ5	
含	xaŋ2	
聽	tʰiŋ1	
聽	tʰiŋ5	
吭	kʰeŋ1	~气
吭	kʰeŋ5	圪~
啓	tɕʰi3	
吳	vu2	
吵	tsʰau3	
吸	ɕiəʔ3	
吹	tʂʰuei1	
吼	xau3	
吾	vu3	
呆	tai1	
呈	tʂʰeŋ2	
告	keu5	
嘔	au3	
員	yaŋ2	
嗆	tɕʰiɔ1	
嗆	tɕʰiɔ5	
呡	miŋ3	
周	tʂau1	
味	vei5	
呵	xɯ1	~牙:哈欠
呵	xɯ1	短时间蒸,主要是加热
呼	xu1	
命	miŋ5	
咀	tsuei3	
咀	tɕy3=	~嚼
咄	tuɤʔ3/tuɤ3	
和	xuɯ2	
和	xuɯ5	~起来
和	xuaŋ5	借词:~他一样;连词:我~你
咎	tɕiau5	
詠	yŋ3	
咒	tʂau5	
咧	liɛ3	
咩	miɛ5	代字,~~:--种可吹出声音的玩具
咩	miɛ5	牛~子:小牛
咬	iau3	
咱	tsa2	
咳	kʰɤʔ3/kʰɤ3	
咸	xaŋ2-	
咸	ɕiaŋ2=	
咻	ɕiau3	代字,~净:形容衣服清爽干净,或者院子清净
咽	iaŋ5	
哀	ai1	
品	pʰiŋ3	
哄	xuŋ3	
哄	xuŋ5	
響	ɕiɔ3	
啞	ia3	
噦	yɛ1	
哥	kɯ1	
哨	sau5	
哭	kʰuəʔ3	
哲	tʂɤʔ3/tʂɤ3	
哼	xeŋ5	
哽	keŋ3	
唆	suɯ1	
脣	tʂʰuŋ2	
唐	tʰɔ2	
嘮	leu2	
喚	xuaŋ5	
唬	xu3	诈~
售	ʂau5	
唯	vei2	
唱	tʂʰɔ5	
唵	aŋ3	
唾	tʰuɯ5	
啃	kʰeŋ3	
啃	kʰuŋ3	
商	ʂɔ1	
啤	pʰi2	
嗇	sɤʔ3/sɤ3	
啼	tʰi2	
喃	ʐuaŋ5-	
喃	naŋ5=	
喃	zaŋ2-	~咬
善	ʂaŋ5	
喇	la3	~叭
喉	xau1	
喉	xuəʔ3	~咙:所指范围大,指嗓子
喊	xaŋ3	
喊	xaŋ5	
喋	tiɛʔ3/tiɛ3	
喘	tʂʰuaŋ3	
喜	ɕi3	
喝	xɤʔ3/xɤ3	
喧	ɕyaŋ1	
噴	pʰeŋ1	
喻	y5	
嗅	ɕiau5	
嗉	su5	
嗑	kʰuɯ5	
嗒	ta2	
嗓	sɔ3	~牙:臼齿
嗜	sɿ5	
嗣	sɿ5	
嗤	tʂʰʅ1	
嗽	sau5	
嘉	tɕia1	
嘘	ɕy1	
嘬	tsuɤʔ3/tsuɤ3	
嘴	tsuei3	
噍	tɕieu5	
噎	iɛʔ3/iɛ3	
噘	tɕyɛʔ3/tɕyɛ3	
器	tɕʰi5	
嚎	xeu2	
嚢	nɔ2=	
囂	ɕieu1	
嚷	ʐɔ3	吵
嚼	tɕieu2	
嚼	tɕyɛʔ3/tɕyɛ3	
囊	nɤ2-	~的:形容人胆小无能
囚	ɕiau3-	
囚	tɕʰiau2=	
四	sɿ5	
回	xuei2	
因	iŋ1	
团	tʰuaŋ2	
囤	tuŋ5	
園	yaŋ2	
困	kʰuŋ5	
囱	tsʰuŋ1	
圍	vei2	
固	ku5	
國	kuɤʔ3/kuɤ3	
圖	tʰu2	
圓	yaŋ2	
圈	tɕʰyaŋ3	
圈	tɕyaŋ5	
圐	kʰuəʔ3	~圙:圆圈
土	tʰu3	
聖	ʂeŋ5	
在	tsai5	
圪	kəʔ3	
圭	kuei1	
圮	pʰi3	
地	ti5	
場	tʂʰɔ3	
場	tʂʰɔ2	碾~;扬~
址	tsɿ3	
均	tɕyŋ1	
坌	peŋ5	
坎	kʰaŋ3	
壞	xuai5	
坐	tsuɯ5	
坑	tɕʰiŋ1	
坑	kʰeŋ1=	
坑	tɕʰiɛ1-	~窟:水坑
塊	kʰuai3-	
塊	kʰuai5=	
堅	tɕiaŋ1	
壩	pa5	
塢	vu5	
墳	feŋ2	
墜	tʂuei5	
坡	pʰɯ1	
坤	kʰuŋ1	
坨	tʰuɯ2	
坪	pʰiŋ2=	
坪	pʰi2-	蒺藜坪:地名
坯	pʰi1	
垂	tʂʰuei2	
壟	luŋ3	
型	ɕiŋ2	
垒	luei3	
垜	tuɯ5	
墾	kʰeŋ3	
墊	tiaŋ5	
垮	kʰua3	
埃	ai1	
埋	mei1	
埋	mai2	
城	tʂʰeŋ2	
域	yəʔ3	
埠	pu5	
培	pʰei3	
基	tɕi1	
堂	tʰɔ2	
堆	tuei1=	
堆	tsuei1-	一圪~:一堆
堎	leŋ2	有高低落差的地形,常用于村名:崔家~
墮	tuɯ5	
堡	pu1	
堤	ti1	
堪	kʰaŋ1	
堰	iaŋ5	
堵	tu3	
堵	tʂuəʔ3	代字,堵塞,不通
塌	tʰɑʔ3/tʰɑ3	
塑	su5	
塔	tʰɑʔ3/tʰɑ3	
塘	tʰɔ2	
塞	sɤʔ3/sɤ3	
塞	sai5=	
填	tʰiaŋ2	
境	tɕiŋ5	
墒	ʂɔ1	保~
墓	mu5	
墕	iaŋ1	
牆	tɕʰiɔ2	
增	tseŋ1	
墟	ɕy1	
墨	miəʔ3-	
墨	mei5=	~斗子
墩	tuŋ1	
壁	piəʔ3	
壕	xeu2	
壤	ʐɔ3	
士	sɿ5	
壬	ʐeŋ2	
聲	ʂeŋ1	
殼	kʰɤʔ3/kʰɤ3	
壺	xu2	
處	tʂʰu3	~理
處	tʂʰu5	办事~
備	pi5	
复	fəʔ3	
复	fuəʔ3	
夏	ɕia5	立~
夕	ɕiəʔ3	
外	vai5	
多	tɯ1	
夜	iɛ5	
够	kau5	
夥	xuɯ3	
大	lieu1	
大	tai5	
大	ta5	~学
天	tʰiaŋ1	
太	tʰai5	
夫	fu1	
央	iɔ1	
夯	xɔ5	
失	ʂəʔ3	
頭	tʰau2	
夷	i2	
夸	kʰua1	
夾	tɕiɑʔ3/tɕiɑ3	
奪	tuɤʔ3/tuɤ3	
奇	tɕʰi2	
奈	nai5	
奉	feŋ5	
奮	feŋ5	
奎	kʰuei1	
奏	tsau5	
契	tɕʰi5	
奓	tsa5	头发圪~转
奔	peŋ1	
奔	peŋ5	
獎	tɕiɔ3	
套	tʰeu5	
奚	ɕi1	
奠	tiaŋ5	
奢	ʂʅ1	
奧	eu5	
女	ny3	
奴	nau2	
奶	nai3	
奸	tɕiaŋ1	
她	tʰa1	
好	xeu3	
好	xeu5	
如	ʐu2=	
如	vu2-	~今:现在
妃	fei1	
妄	vɔ5	
婦	fu5	
婦	fu2	媳~子
媽	ma2	背称
媽	ma1	面称
妒	tu5	
妓	tɕi5	
妖	ieu1	
妗	tɕiŋ5	
妙	mieu5	
妥	tʰuɯ3	
妨	fɔ3	~主
妯	tʂuəʔ3	~娌
妹	mei5	
妻	tɕʰi1	
妾	tɕʰiɛʔ3/tɕʰiɛ3	
姊	tsɿ3	
始	sɿ3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕiŋ5	
委	vei3=	
委	i3-	~付:委托
姚	ieu2	
姜	tɕiɔ1	
姨	i2	
姻	iŋ1	
姿	tsɿ1	
威	vei1	
嬌	tɕieu1	
娉	pʰiŋ5	
娑	suɯ1	
娘	niɔ2	
娘	niɛ2-	入你~
娜	na2	
娠	tʂʰeŋ2	
娩	miaŋ3	
娛	y5-	
娛	y2	
娶	tɕʰy3	
婆	pʰɯ2	
婚	xuŋ1	
婢	pi5	
嬰	iŋ1	
嬸	ʂeŋ3	
婿	ɕi5	
媒	mei1	
媳	ɕiəʔ3	
嫁	tɕia5	
嫂	seu3	
嫌	ɕiaŋ2	
嫖	pʰieu2	
嫡	tiəʔ3	
嫩	neŋ5	
嬆	ɕi2	代字。可~:形容人长得好看
嬉	ɕi1	
子	tsɿ3	
子	tsəʔ3	儿~
孔	kʰuŋ3	
孕	iŋ5	
孕	yŋ5	
字	tsɿ5	
存	tsʰuŋ2	
孫	suŋ1	
孝	ɕiau5	
孟	meŋ5	
季	tɕi5	
孤	ku1	
學	ɕiɛʔ3/ɕiɛ3	
學	ɕieu2=	
孩	xai2	
孵	fu1	
孺	ʐu3	
孽	niɛʔ3/niɛ3	
寧	niŋ2	
寧	niŋ5	
它	tʰa1	
宇	y3	
守	ʂau3	
安	aŋ1	
安	aŋ2	准备:多~上些:多准备些;~预
宋	suŋ5	
完	vaŋ2	
宏	xuŋ2	
宕	tɔ5	
宗	tsuŋ1	
官	kuaŋ1	
宙	tʂau5	
定	tiŋ5	
宜	i2	
寶	pau3	
實	ʂəʔ3	
實	ʂəʔ3	老~。连读变调阳入
寵	tʂʰuŋ3	
審	ʂeŋ3	
客	tɕʰiɛʔ3/tɕʰiɛ3-	
客	kʰɤʔ3/kʰɤ3	
宣	ɕyaŋ1	
室	ʂəʔ3	
宦	xuaŋ5	
宪	ɕiaŋ5	
宮	kuŋ1	
宰	tsai1	
害	xai5	
宴	iaŋ5	
宵	ɕieu1	
家	tɕia1	
容	lieu1	
容	yŋ2	
寬	kʰuaŋ1	
賓	piŋ1	
宿	ɕyəʔ3	
宿	ɕiau5	
寂	tɕiəʔ3	
寄	tɕi5	
寅	iŋ2	
密	miəʔ3	
寇	kʰau5	
富	fu5	
寐	mei5	
寒	xaŋ2	
寓	y5	
寢	tɕʰiŋ1	
寞	mɤʔ3/mɤ3	
察	tsʰɑʔ3/tsʰɑ3	
寡	kua3	
寥	lieu2	
寨	tsai5	
寸	tsʰuŋ5	
對	tuei5	
寺	sɿ5	
尋	ɕiŋ2	
導	teu5	
壽	ʂau5	
封	feŋ1	
射	ʂəʔ3	~出圪
射	ʂʅ5	发~
將	tɕiɔ1	
將	tɕiɔ5	
尊	tsuŋ1	
小	ɕieu3	
少	ʂeu1	
少	ʂeu5	
尔	eʐ3	
尖	tɕiaŋ1	
塵	tʂʰeŋ2	
尚	ʂɔ5	
嘗	tʂʰɔ2	
尤	iau2	
尥	lieu5	
堯	ieu2	
就	tɕiau5=	
就	tsau5-	~是
尷	kaŋ3	
屍	sɿ1	
尹	iŋ3	
尺	tʂʰəʔ3	
尼	ni2	
尽	tɕiŋ3	
尽	tɕiŋ5	
尾	i3-	
尾	vei3=	
尿	nieu5	
局	tɕyəʔ3	
屁	pʰi5	
層	tsʰeŋ2	
屄	pi1	女阴
居	tɕy1	
屈	tɕʰyəʔ3	
屉	tʰi2	
屆	tɕiai5	
屋	vəʔ3	
屋	uəʔ3	
屎	sɿ3	
屏	pʰiŋ2	
屐	tɕi1	
展	tʂaŋ3	
屬	ʂuəʔ3	
屠	tʰu2	
屢	ly3	
履	ly3	
屯	tʰuŋ2	
山	saŋ1	
歲	suei5	
豈	tɕʰi3	
岔	tsʰa5	
崗	kɔ3	
島	teu3	
巖	iaŋ2	
嶺	liŋ3=	
嶺	li2-	王家~;袁家~:地名
岳	iɛʔ3/iɛ3	
岸	aŋ5	
峁	mau3	
峽	ɕiɑʔ3/ɕiɑ3	
峰	feŋ2	
崔	tsʰuei1	
崖	nai2-	
崛	tɕyɛʔ3/tɕyɛ3	
崩	peŋ1	
崩	piɛ1?	~了一搭:拍了一掌
嵌	tɕʰiaŋ5	
川	tʂʰuaŋ1	
州	tʂau1	
巡	ɕyŋ2	
工	kuŋ1	
左	tsuɯ3=	
左	tsɿ5-	~手;~来:反正
巧	tɕʰiau3	
巨	tɕy5	
鞏	kuŋ3	
巫	vu5	
差	tsʰa1	
差	tsʰai1	
差	tsʰa5	
差	tsʰɿ1	参~
己	tɕi3	
已	i3	
巳	sɿ5	
巴	pa1	
巷	ɕiɔ5	
幣	pi5	
市	sɿ5	
布	pu5	
帥	ʂuai5	
帆	faŋ2	
師	sɿ1	
希	ɕi1	
帳	tʂɔ5	
帕	pʰa5	
帖	tʰiɛʔ3/tʰiɛ3	
帘	liaŋ2	
帚	tʂu1	
帝	ti5	
帶	tai5	
席	ɕiəʔ3	
幫	pɔ1	
帽	mau5	
幅	fəʔ3	
幅	fuəʔ3	
幔	maŋ5	
幕	mu5	
干	kaŋ1	
干	kaŋ5	
平	pʰiŋ2=	
平	pʰi2-	太~头:地名
年	niaŋ2	
并	piŋ5	
幸	ɕiŋ5	
幺	ieu1	
幻	xuaŋ5	
幼	iau5	
幽	iau1	
廣	kɔ3	
慶	tɕʰiŋ5	
庇	pʰi1	
序	ɕy5	
廬	lau2	
庫	kʰu5	
應	iŋ5	
應	i5-	当……时候。~你来了:当你来时候
底	ti3	
店	tiaŋ5	
廟	mieu5	
庚	keŋ1	
府	fu3	
龐	pʰɔ2	
廢	fei5	
度	tu5	
座	tsuɯ5	
庭	tʰiŋ2	
庵	aŋ1	
庶	ʂu5	
康	kʰɔ1	
庸	yŋ2	
庹	tʰuɤʔ3/tʰuɤ3	
廉	liaŋ2	
廊	lɔ2	
廓	kʰuɤʔ3/kʰuɤ3	
延	iaŋ2	
廷	tʰiŋ1	
建	tɕiaŋ5	
開	kʰai1	
异	i5	
弃	tɕʰi5	
弄	luŋ5	
弊	pi5	
式	ʂəʔ3	
弓	kuŋ1	~箭
引	iŋ3	
弘	xuŋ2	
弟	ti5	
張	tʂɔ1	
弥	mi2	
弦	ɕiaŋ2	
彎	vaŋ1	
弱	ʐɤʔ3/ʐɤ3	
彈	taŋ5	
强	tɕʰiɔ2	
强	tɕiɔ5	强行,勉强
弼	piəʔ3	
歸	kuei1	
當	tɔ1	
當	tɔ2	
當	tɔ5	
录	luəʔ3	
形	lieu1	
形	ɕiŋ2	
彩	tsʰai3	
彪	pieu1	
彬	piŋ1	
彭	pʰeŋ2	
彰	tʂɔ1	
影	iŋ3=	
影	i3-	~住:遮住
役	iəʔ3	
徹	tʂʰɤʔ3/tʂʰɤ3	
彼	pi3	
征	tʂeŋ1	
徑	tɕiŋ5	
待	tai5	
很	xeŋ3	
律	lyəʔ3	
徐	ɕy2	
徒	tʰu2	
得	tiəʔ3	
徙	ɕi1	
御	y5	
循	ɕyŋ2	
微	vei1=	~小
微	vei2-	稍~
德	tiəʔ3	
心	ɕiŋ1	
必	piəʔ3	
憶	i5	
忌	tɕi5	
忍	ʐeŋ3	
志	tsɿ5	
忘	vɔ5	
忙	mɔ2	
憂	iau1	
快	kʰuai5	
念	niaŋ5	
忽	xuəʔ3	
忿	feŋ5	
懷	xuai2	
態	tʰai5	
慫	suŋ2	
慪	au5	
怎	tsɔ1-	~价:怎么
怒	nau5	
怕	pʰa5	
怖	pu5	
憐	liaŋ2	
思	sɿ1	
怡	tɕʰiɑʔ3/tɕʰiɑ3	
急	tɕiəʔ3	
性	ɕiŋ5	
怨	yaŋ5	
怪	kuai5	
怯	tɕʰiɛʔ3/tɕʰiɛ3	
總	tsuŋ3	
恃	sɿ5	
戀	lyaŋ2-	
戀	liaŋ5=	
恐	kʰuŋ3	
恆	xeŋ2	
恕	ʂu5	
恘	tɕʰiau3	背~转:手背过去
恙	iɔ5	
恢	xuei1	
恤	ɕyəʔ3	
