#漢字	音標	解釋
□	yɛ1	手足痉挛
倫	luən1	
伯	pei1	
估	ku3	
伴	pæ5	
伶	liən1	
伺	sɿ5	
似	sɿ5	
佃	tiæ5	
但	tæ5	
位	uei5	
低	ti1	
住	tʂu5	
佐	tsuo3	
體	tʰi3	
何	xɤ1	
余	y1	
作	tsuo5	作坊
你	ni3	
佩	pei5	
佳	tɕia1	
使	ʂʅ3	
侈	tʂʰi1	
侉	kʰua1	
例	li5	
侍	ʂʅ5	
供	kuəŋ5	
依	i1	
僥	tɕiɔ3	
偵	tʂən1	
側	tsʰɤ5	
僑	tɕʰiɔ2	
儂	nuəŋ1	
侯	xou1	
侵	tɕʰiən1	
便	pʰiæ1	
便	piæ5	
促	tsʰu5	
俄	ŋɤ1	
俊	tɕyn5	
俏	tɕʰiɔ5	
俗	su1	
俘	fu1	
保	pɔ3	
信	ɕiən5	
儼	iæ3	
儉	tɕiæ3	
修	ɕiou1	
俯	fu2	
俱	tɕy5	
俸	fəŋ5	
俺	ŋæ3	
倍	pei5	
倒	tɔ3	
倒	tɔ5	~水
倔	tɕyɛ5	
倘	tʰaŋ3	
候	xou5	
倚	i3	
借	tɕiɛ5	
倡	tʂʰaŋ5	
倦	tɕyæ5	
倭	uo1	
債	tʂai5	
值	tʂi1	
傾	tɕʰiəŋ1	
假	tɕia3	
假	tɕia5	
偏	pʰiæ1	
偏	ʂa3	
做	tsuo5	~作
停	tʰiəŋ1	
偢	tɕʰiɔ5	
健	tɕiæ5	
偶	ou5	~然
偶	ou3	配~
偷	tʰou1	
償	tʂʰaŋ1	
傀	kʰuei1	
傅	fu5	
傍	paŋ5	
儲	tʂʰu1	
催	tsuei1	
傲	ɔ5	
傻	ʂua3	
像	ɕiaŋ5	
僧	səŋ1	
僵	tɕiaŋ1	
僻	pʰi5	
儒	ʐu1	
儡	luei3	
兒	ɚ2	
允	yn3	
元	yæ1	
兄	ɕyŋ1	
充	tʂʰuəŋ1	
兆	tʂɔ2	
先	ɕiæ1	
光	kuaŋ1	
克	kʰɤ5	
免	miæ3	
兑	tuei5	
兔	tʰu5	
入	ʐu5	
全	tɕʰyæ2	
八	pa1	
公	kuəŋ1	
六	liou5	
兮	ɕi2	
蘭	læ1	
共	kuəŋ5	
關	kuæ1	
興	ɕiəŋ1	~旺
興	ɕiəŋ5	高~
兵	piəŋ1	
其	tɕʰi2	
具	tɕy5	
典	tiæ3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiæ1	
獸	ʂou5	
冀	tɕi5	
内	nuei5	
岡	kaŋ1	
冉	ʐɤ3	
册	tsʰɤ5	
再	tsai5	
冒	mɔ5	
冗	ʐuəŋ3	
寫	ɕiɛ3	
軍	tɕyn1	
農	nuəŋ1	
冠	kuæ5	
冤	yæ1	
冬	tuəŋ1	
馮	fəŋ1	
冰	piəŋ1	
冲	tʂʰuəŋ1	
決	tɕyɛ1	
况	kʰuaŋ5	
冷	ləŋ3	
凍	tuəŋ5	
淨	tɕiəŋ5	
準	tʂuən3	
涼	liaŋ1	
凌	liəŋ1	
湊	tsʰɔ5	
凝	niəŋ1	
几	tɕi1	~乎
几	tɕi3	~个
几	tɕi2	茶~
凡	fæ1	
鳳	fəŋ5	
凭	pʰiəŋ1	
凱	kʰai3	
凳	təŋ5	
凶	ɕyŋ2	
出	tʂʰu2	
擊	tɕi1	
函	xæ1	
鑿	tsɔ1	
刀	tɔ1	
刁	tiɔ1	
刃	ʐən5	
分	fuən1	
刈	i5	
刊	kʰæ1	
刎	uən3	
划	xua1	
列	liɛ1	
劉	liou1	
則	tsɤ1	
剛	kaŋ1	
初	tʂʰu1	
删	ʂæ1	
判	pʰæ5	
刨	pʰɔ2	
利	li5	
别	piɛ1	
别	piɛ2	离~
刮	kua3	
到	tɔ5	
制	tʂi5	
刷	ʂua3	
券	tɕyæ5	
刺	tsʰɿ5	
刻	kʰɤ5	
劊	kuei5	~子手
刴	tuo5	
劑	tɕi5	面~子
剃	tʰi5	
削	ɕiɔ1	
前	tɕʰiæ1	
剮	kua3	
劍	tɕiæ5	
剔	tʰi5	
剖	pʰɔ1	
剜	uæ5	
剝	pɤ1	
劇	tɕy5	
剩	ʂəŋ5	
剪	tɕiæ3	
副	fu5	
割	kɤ1	
劈	pʰi1	
劐	xuo5	
力	li5	
勸	tɕʰyæ5	
辦	pæ5	
功	kuəŋ1	
加	tɕia1	
劣	liɛ5	
動	tuəŋ5	
助	tsou5	
努	nu2	
劫	tɕiɛ1	
勵	li5	
勁	tɕiən5	
勁	tɕiəŋ5	
勞	lɔ1	
勢	ʂi5	
勃	po1	
勇	yŋ3	
勉	miæ3	
勳	ɕyn1	
勒	lei1	
勘	kʰæ1	
募	mu5	
勤	tɕʰiən1	
勺	ʂɔ1	
勾	kou1	
勾	kou5	
包	pɔ1	
化	xua5	
北	pei1	
匙	ʂi1	钥~
匠	tɕiaŋ5	
匡	kʰuaŋ1	
匣	ɕia1	
匹	pʰi1	
區	tɕʰy1	
匾	piæ3	
十	ʂʅ1	
千	tɕʰiæ1	
午	u3	
華	xua1	
華	xua5	~山，姓氏
協	ɕiɛ1	
卑	pei1	
卒	tsu1	
卓	tʂuo1	
單	tæ1	
單	ʂæ5	
賣	mai5	
南	næ1	
博	po1	
卜	pu3	
占	tʂæ5	
卤	lu2	
卦	kua5	
臥	o5	
衛	uei5	
卯	mɔ3	
危	uei1	
卲	ʂɔ5	
即	tɕi1	
卻	tɕʰyɛ5	
卵	luæ3	
卷	tɕyæ3	
卸	ɕiɛ5	
卿	tɕʰiəŋ1	
廠	tʂʰaŋ1	
廳	tʰiəŋ1	
历	li5	
壓	ia2	
厭	iæ5	
廁	tʂʰɤ5	
厘	li1	
厚	xou5	
原	yæ1	
廂	ɕiaŋ1	
厥	tɕyɛ1	
厦	ʂa3	
厦	ɕia5	~门
廚	tʂʰu1	
厮	sɿ1	
去	tɕʰy5	
縣	ɕiæ5	
参	tsʰæ1	
参	ʂən1	
又	iou5	
叉	tʂʰa1	
及	tɕi1	
友	iou3	
雙	tʂʰuaŋ2	双生
反	fæ3	
发	fa5	
叔	ʂou1	
取	tɕʰy2	
受	ʂou5	
變	piæ5	
敍	ɕy5	
叛	pʰæ5	
叟	sɔ1	
疊	tiɛ1	
口	kou3	
古	ku3	
句	tɕy5	
另	liəŋ5	
叨	tɔ1	
叩	kʰou5	
只	tʂi3	
叫	tɕiɔ5	
召	tʂɔ2	
可	kʰɤ3	
台	tai1	
台	tʰai2	
史	ʂʅ3	
右	iou5	
葉	iɛ5	
號	xɔ5	
號	xɔ5	~码
司	sɿ1	
嘆	tʰæ5	
吁	y1	
吃	tʂʰi1	
各	kɤ5	
合	xɤ1	
吉	tɕi1	
吊	tiɔ5	
同	tʰuəŋ1	
名	miəŋ1	
后	xou5	
吏	li5	
吐	tʰu3	~痰
吐	tʰu5	呕~
向	ɕiaŋ5	
呂	ly3	
君	tɕyn1	
吝	liən5	
吞	tʰən1	
吟	iən1	
吠	fuei5	
吣	tɕʰiən5	
否	fou1	
否	fu3	
含	xæ1	
聽	tʰiəŋ1	
啓	tɕi3	
吳	u1	
吵	tʂʰɔ1	
吸	ɕi2	
吹	tʂʰuei1	
吻	uən3	
吼	xou3	
吾	u1	
呆	tai1	
呈	tʂʰəŋ1	
告	kɔ5	
嘔	ŋou3	
員	yæ1	
周	tʂou1	
味	uei5	
呼	xu1	
命	miəŋ5	
和	xuo1	~气
和	xɤ1	~气
咎	tɕiou5	
詠	yŋ3	
咒	tʂou5	
咨	tsɿ1	
咬	iɔ3	
咳	kʰɤ5	
咸	ɕiæ1	
哀	ŋai1	
品	piən3	
哄	xuəŋ3	
啞	ia3	
噦	yɛ2	
哥	a1	
哥	kɤ1	
哪	na3	~个
哭	kʰu1	
哲	tʂɤ1	
哽	kəŋ1	
脣	tʂʰuən1	
唐	tʰaŋ2	
嘮	lɔ1	~叨
喚	xuæ5	
售	ʂou5	
唯	uei1	
唱	tʂʰaŋ5	
唾	tʰuo5	~沫
啃	kʰən3	
啄	tʂuo1	
商	ʂaŋ1	
嗇	sɤ5	
囉	luo1	~嗦
啼	tʰi2	
善	ʂæ5	
喉	xou1	
喊	xæ3	
喜	ɕi3	
喝	xɤ1	
喧	ɕyæ1	
噴	pʰən1	
喻	y5	
嗅	ɕiou5	
嗉	su5	鸟~子
嗜	ʂʅ5	
嗣	sɿ5	
嗤	tʂʰʅ1	
嗦	suo1	
嗽	sɔ5	
嘉	tɕia1	
嘘	ɕy1	
囑	tʂu1	
嘴	tʂuei3	
噍	tɕʰiɔ5	牛倒~
噎	iæ1	
器	tɕʰi5	
嚇	xɤ5	~一跳
囂	ɕiɔ1	
嚼	tɕyɛ1	
囊	naŋ1	
囚	tɕʰiou1	
四	sɿ5	
回	xuei2	
团	tʰuæ1	
困	kʰuən5	
囱	tsʰuəŋ1	
圍	uei1	
固	ku5	
國	kuo1	
圖	tʰu1	
圓	yæ1	
圈	tɕʰyæ1	
圈	tɕyæ5	猪~
土	tʰu3	
聖	ʂəŋ5	
在	tsai5	
圭	kuei1	
地	pʰa1	
場	tʂʰaŋ1	
址	tʂʅ3	
均	tɕyn1	
壞	xuai5	
坐	tsuo5	
塊	kʰuai5	
塊	kʰuei5	
堅	tɕiæ1	
壩	pa5	
塢	u3	
墜	tʂuei5	
坡	pʰɤ1	
坤	kʰuən1	
坪	pʰiəŋ1	
坯	pʰi1	土~
坳	ɔ5	山~
垂	tʂʰuei1	
壠	luəŋ3	
型	ɕiəŋ1	
垒	luei3	
垜	tʰuo5	柴~
墾	kʰən3	
墊	tiæ5	
埂	kəŋ1	
城	tʂʰəŋ1	
域	y5	
埠	pu5	
埯	ŋæ3	
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堆	tuei1	
堡	pɔ3	
堤	ti1	~坝
堪	kʰæ1	
堰	iæ5	
堵	tu3	
塌	tʰa1	
塑	su5	
塔	tʰa3	
塘	tʰaŋ2	
塞	sei1	
填	tʰiæ1	
境	tɕiəŋ5	
墓	mu5	
牆	tɕʰiaŋ2	
增	tsəŋ1	
墨	mɤ5	
墩	tuən1	
壁	pi5	
壇	tʰæ1	
壕	xɔ1	
壤	ʐaŋ3	
士	ʂʅ5	
壬	ʐən1	
聲	ʂəŋ1	
壺	xu1	
處	tʂʰu3	
處	tʂʰu5	~所
复	fu5	
夏	ɕia5	
夕	ɕi2	
外	uei5	
多	tuo1	
夜	iɛ5	
够	kou5	
大	ta5	
天	tʰiæ1	
太	tʰai5	
夫	fu1	
央	iaŋ1	
夯	xaŋ1	
失	ʂi1	
失	ʂʅ3	
頭	tʰou1	
夷	i1	
夸	kʰua1	
夾	tɕia1	
奪	tuo1	
奇	tɕʰi2	
奈	nai5	
奉	fəŋ5	
奎	kʰuei1	
奏	tsɔ5	
契	tɕʰi5	
奔	pən1	
獎	tɕiaŋ3	
套	tʰɔ5	
奚	ɕi2	
奠	tiæ5	
奢	ʂɤ2	
奧	ɔ5	
女	ny3	
奴	nu1	
奶	nai3	
奸	tɕiæ1	
如	ʐu1	
妃	fuei1	
妄	uaŋ5	
婦	fu5	
媽	ma1	
妓	tɕi5	
妖	iɔ2	
妗	tɕiən5	
妙	miɔ5	
妥	tʰuo3	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰiɛ5	
姊	tsɿ3	
始	ʂʅ3	
姐	tɕiɛ1	
姑	ku1	
姓	xai5	
姓	ɕiəŋ5	
委	uei3	
姘	pʰiən5	
姚	iɔ1	
姜	tɕiaŋ1	
姨	i1	
姪	tʂi1	
威	uei1	
嬌	tɕiɔ1	
娉	pʰiəŋ5	
娘	niaŋ1	
娠	tʂʰən1	
娩	miæ3	
娛	y1	
娶	tɕʰy2	
婆	pʰɤ1	
婚	xuən1	
婢	pi3	
嬰	iəŋ1	
嬸	ʂən3	
婿	ɕy5	
媒	mei1	
媚	mei5	
嫁	tɕia5	
嫌	ɕiæ1	
嫖	pʰiɔ2	
嫡	ti1	
嬉	ɕi1	
嬎	fæ5	
孀	ʂuaŋ1	
子	tsɿ3	
孔	kʰuəŋ3	
字	tsɿ5	
存	tʂʰuən1	
孫	suən1	
孟	məŋ5	
季	ɕi5	
孤	ku1	
學	ɕyɛ1	
孩	xai1	
孵	fu1	
孹	pɤ5	
孽	niɛ5	
寧	niəŋ1	
宅	tʂei1	
宇	y3	
守	ʂou3	
安	æ1	
宋	suəŋ5	
完	uæ1	
宏	xuəŋ1	
宕	taŋ5	
宗	tsuəŋ1	
官	kuæ1	
宙	tʂou3	
定	tiəŋ5	
宛	uæ3	
宜	i1	
寶	pɔ3	
實	ʂi1	
審	ʂən3	
客	kʰɤ5	
宣	ɕyæ1	
室	ʂi5	
宦	xuæ5	
宪	ɕiæ5	
宮	kuəŋ1	
宰	tsai3	
害	xai5	
宴	iæ5	
宵	ɕiɔ1	
家	tɕia1	
容	ʐuəŋ1	
寬	kʰuæ1	
賓	piən1	
宿	ɕiou5	星~
寂	tɕi5	
寄	tɕi5	
密	mi5	
寇	kʰou5	
富	fu5	
寐	mei5	
寒	xæ1	
寓	y5	
寢	tɕʰiən1	
察	tʂʰɤ1	
寡	kua3	
寥	liɔ1	
寨	tʂai5	
寸	tʂʰuən5	
對	tuei5	
寺	sɿ5	
導	tɔ2	
壽	ʂou5	
封	fəŋ5	
射	ʂɤ5	
將	tɕiaŋ5	大将
將	tɕiaŋ1	将才
尊	tʂuən1	
小	ɕiɔ3	
少	ʂɔ5	~年
少	ʂɔ3	多~
尔	ɚ3	
尖	tɕiæ1	
塵	tʂʰən1	
尚	ʂaŋ5	
嘗	tʂʰaŋ1	
尤	iou1	
尥	liɔ5	~蹶子
就	tɕiou5	
尷	kæ1	
屍	ʂʅ1	
尹	iən3	
尺	tʂʰi3	
尼	ni1	
尽	tɕiən5	
尾	uei3	
尿	niɔ5	
局	tɕy1	
屁	pʰi5	
層	tsʰəŋ1	
居	tɕy1	
屈	tɕʰy1	
屉	tʰi5	
屆	tɕiɛ5	
屋	u1	
屎	ʂʅ3	
展	tʂæ3	
屏	pʰiəŋ1	
屬	ʂu3	
屠	tʰu1	
屢	ly3	
屯	tʰuən1	
山	ʂæ1	
歲	suei5	
岐	tɕʰi2	
岑	tsʰən1	
岔	tʂʰa5	~路
崗	kaŋ1	
島	tɔ3	
巖	iæ1	
岳	yɛ5	
岸	ŋæ5	
峽	ɕia2	
峰	fəŋ1	
崇	tʂʰuəŋ1	
崖	ia1	
崩	pəŋ1	
嵌	tɕʰiæ5	
嵩	suəŋ1	
川	tʂʰuæ1	
州	tʂou1	
巡	ɕyn1	
巢	tʂʰɔ1	
工	kuəŋ1	
左	tsuo3	
巨	tɕy5	
鞏	kuəŋ3	
差	tʂʰa5	~别
差	tʂʰai1	出~
差	tʂʰa1	参~
己	tɕi3	
已	i3	
巳	sɿ5	
巴	pa1	
巷	ɕiaŋ5	
幣	pi2	
市	ʂʅ5	
布	suo1	
布	pu5	
帥	ʂuei5	
帆	fæ1	
帊	pʰa5	
希	ɕi1	
帕	pʰa5	
帖	tʰiɛ1	
帘	liæ1	
帚	tʂou3	
帛	pei2	
帝	ti5	
帶	tai5	
席	ɕi1	
幫	paŋ1	
常	tʂʰaŋ1	
帽	mɔ5	
幅	fu1	
幔	mæ5	
幕	mu5	
干	kæ1	
平	pʰiəŋ1	
年	niæ1	
并	piəŋ5	
幸	ɕiəŋ5	
幺	iɔ2	~二三
幻	xuæ5	
幼	iou5	
幽	iou1	
廣	kuaŋ3	
莊	tʂuaŋ1	
慶	tɕʰiəŋ5	
牀	tʂʰuaŋ2	
序	ɕy5	
廬	lu1	
庫	kʰu3	
應	iəŋ5	
底	ti3	
店	tiæ5	
廟	miɔ5	
庚	kəŋ1	
府	fu2	
龐	pʰaŋ1	
廢	fuei5	
度	tu5	
座	tsuo5	
庭	tʰiəŋ1	
庵	ŋæ1	
庶	ʂu5	
康	kʰaŋ1	
庸	yŋ1	
廉	liæ1	
廊	laŋ1	
廓	kʰuo5	
廖	liɔ5	
延	iæ1	
廷	tʰiəŋ1	
建	tɕiæ5	
開	kʰai1	
异	i5	
弃	tɕʰi5	
弄	nuəŋ5	
弊	pi2	
式	ʂi5	
弓	kuəŋ1	
弘	xuəŋ1	
弟	ti5	
張	tʂaŋ1	
弦	ɕiæ1	
彎	uæ1	
彈	tʰæ1	
彈	tæ5	子~
强	tɕʰiaŋ1	
弼	pi5	
彀	kou5	
歸	kuei1	
當	taŋ5	典当
當	taŋ1	当时
录	lu5	
形	ɕiəŋ1	
彪	piɔ1	
彬	piən1	
彭	pʰəŋ1	
影	iəŋ3	
往	uaŋ3	
征	tʂəŋ5	
徑	tɕiəŋ1	
待	tʰai5	
很	xən3	
律	ly5	
徐	ɕy1	
徒	tʰu1	
得	tɤ1	
徙	ɕi3	
御	y5	
微	uei1	
德	tɤ1	
徹	tʂʰɤ5	
徽	xuei1	
心	ɕiən1	
必	pi5	
憶	i5	
忌	tɕi5	
忍	ʐən3	
忖	tʂʰuən3	
志	tʂʅ5	
忘	uaŋ5	
忙	maŋ1	
忠	tʂuəŋ1	
憂	iou1	
念	niæ5	
忽	xu2	
忿	fuən2	
懷	xuai1	
慪	ŋou5	
怒	nu5	
怕	pʰa5	
怖	pu5	
憐	liæ1	
思	sɿ1	
怠	tʰai5	
急	tɕi1	
性	ɕiəŋ5	
怨	yæ5	
怪	kuai5	
怯	tɕʰiɛ5	
總	tsuəŋ3	
恃	ʂʅ5	
戀	liæ5	
恐	kʰuəŋ3	
恆	xəŋ1	
恕	ʂu5	
恢	xuei1	
恤	ɕy5	
恨	xən5	
恩	ŋən1	
恭	kuəŋ5	
息	ɕi1	
恰	tɕʰia1	
恶	u5	可~
恶	ɤ5	善恶
惱	nɔ3	
悄	tɕʰiɔ1	
悉	ɕi1	
悔	xuei3	
悟	u5	
悠	iou1	
患	xuæ5	
悦	yɛ1	
懸	ɕyæ1	
憫	miən3	
悲	pei1	
情	tɕʰiəŋ1	
驚	tɕiəŋ1	
惑	xuo5	
惜	ɕi1	
惟	uei1	
惠	xuei5	
懼	tɕy5	
慘	tsʰæ3	
慚	tsʰæ1	
慣	kuæ5	
惰	tʰuo5	懒~
想	ɕiaŋ3	
愁	tʂʰou2	
愈	y5	
愉	y1	
意	i5	
愚	y1	
感	kæ1	
憤	fuən2	
愧	kʰuei5	
願	yæ5	
慈	tsɿ2	
慌	xuaŋ1	
慕	mu5	
慢	mæ5	
慧	xuei5	
慨	kʰai3	
慰	uei5	
慷	kʰaŋ1	
憎	tsəŋ5	
憨	xæ1	
憾	xæ5	
懂	tuəŋ3	
懈	ɕiɛ5	
懊	ɔ5	
懶	læ3	
懵	məŋ1	
戈	kɤ3	
戊	u5	
戌	ɕy1	
戍	ʂu5	
戎	ʐuəŋ1	
戲	ɕi5	
成	tʂʰəŋ1	
我	o3	
戒	tɕiɛ5	
或	xuo5	
戰	tʂæ5	
戚	tɕʰi1	
戟	tɕi3	
戳	tʂʰuo1	
戴	tai5	
戶	xu5	
戽	xu5	~水
房	faŋ2	
所	suo3	
扁	piæ3	
扇	ʂæ2	
扇	ʂæ5	
手	ʂou3	
才	tsʰai2	
才	tsʰai2	刚~
扎	tʂɤ1	
扑	pʰu1	
扔	ʐəŋ1	
托	tʰuo1	
扣	kʰou5	
執	tʂʅ1	
擴	kʰuo5	
掃	sɔ3	~地
掃	sɔ5	~帚
揚	iaŋ1	
扭	niou3	
扮	pæ5	
扯	tʂʰɤ3	
擾	ʐɔ3	
扳	pæ1	
扶	fu1	
批	pʰi1	
扼	ɤ5	
扽	tən5	
承	tʂʰəŋ1	
技	tɕi5	
抄	tʂʰɔ1	
把	pa3	~握
抑	i5	
抓	tʂua1	
投	tʰou1	
抗	kʰaŋ5	
折	tʂɤ1	
折	ʂɤ1	弄折了
撫	fu5	
抛	pʰɔ1	
摳	kʰou1	
搶	tɕʰiaŋ3	
護	xu5	
報	pɔ5	
披	pʰi1	
抬	y1	
抬	tʰai2	
抱	pɔ5	
抵	ti3	
抹	ma1	
抹	tʂʰa2	
抹	mo5	
抹	mɤ1	擦~
押	ia1	
抽	tʂʰou2	
抿	miən3	
拄	tʂu2	~巴棍
擔	tæ1	
擔	tæ5	
拆	tʂʰei1	
拈	niæ1	~起来
拉	la1	
拌	pæ5	
拍	pʰei1	
拎	liən1	
拒	tɕy5	
拔	pa2	
拖	tʰuo1	
拘	tɕʰy1	
招	tʂɔ1	
拜	pai1	
擬	ni3	
攏	luəŋ3	
擁	yŋ1	
攔	læ1	
撥	po1	
擇	tʂei1	
括	kʰuo5	
拯	tʂəŋ3	
拱	kuəŋ3	
拳	tɕʰyæ1	
拴	ʂuæ1	
拽	tʂuai5	
拾	ʂʅ1	
拿	na1	
持	tʂʰʅ1	
挂	kua5	
按	ŋæ5	
挑	tʰiɔ1	
挖	ua1	
挾	tɕiɛ1	
擋	taŋ3	
擠	tɕi3	
揮	xuei1	
挨	ŋai1	~近
挪	nuo1	
挺	tʰiəŋ3	
挽	uæ3	
捅	tʰuəŋ3	
捆	kʰuən3	
捋	ly3	
捎	ʂɔ1	
捐	tɕyæ1	
捕	pu3	
撈	lɔ1	
損	ʂuən3	
換	xuæ5	
据	tɕy5	
捱	ŋai1	~打，~骂
捷	tɕiɛ1	
捺	na5	
捻	niæ3	
掀	ɕiæ1	
掂	tiæ1	
掇	tuo1	
授	ʂou5	
掉	tʰiɔ5	
掏	tʰɔ1	
排	pʰai1	
掘	tɕyɛ1	
掠	lyɛ5	
探	tʰæ5	
接	tɕiɛ2	
控	kʰuəŋ5	
推	tʰuei1	
掩	iæ3	
掫	tʂou5	望上~
掬	tɕy1	
撣	tʰæ3	
揀	tɕiæ3	
揉	ʐou1	
描	miɔ1	
提	tʰi2	
插	tʂʰa1	
揖	i2	
揞	ŋæ5	
握	o5	
揢	tɕʰia1	捕，捉，拿住
揣	tʂʰuei3	
揪	tɕiou1	
揭	tɕiɛ1	
援	yæ1	
攬	læ3	
撳	tɕiən5	
攙	tʂʰæ1	
擱	kɤ5	
摟	lɔ3	
攪	tɕiɔ3	
搓	tsʰuo1	
搛	tɕiɛ1	
搜	sou1	
搬	pæ1	
搽	tʂʰa2	
攝	ʂɤ5	
摆	pai3	
摇	iɔ1	
攤	tʰæ1	
摘	tʂei1	
摞	nuo5	
摩	mɤ1	
摸	mo1	
摹	mɤ1	~仿
撑	tʂʰəŋ1	
撒	sa2	
撕	sɿ1	
撙	tʂuən1	
撞	tʂuaŋ5	
撤	tʂʰɤ5	
撩	liɔ1	
撮	tsʰuo1	
攆	niæ3	
擀	kæ3	
操	tsʰɔ1	
擎	tɕʰiəŋ1	
擒	tɕʰiən1	
擖	kua3	
擦	tsʰa1	
擩	ʐu3	~进来
攀	pʰæ1	
攋	lai5	
攢	tsæ3	
攘	ʐaŋ3	
攮	naŋ1	
支	tʂi2	
收	ʂou1	
改	kai3	
攻	kuəŋ1	
放	faŋ5	
政	tʂəŋ5	
故	ku5	
效	ɕiɔ5	
敵	ti1	
敏	miən3	
救	tɕiou5	
教	tɕiɔ1	
教	tɕiɔ5	~育，~他去
斂	liæ3	
敝	pi2	
敢	kæ3	
散	sæ3	
敦	tuən1	
敬	tɕiəŋ5	
數	ʂu5	名词
數	ʂu2	数词
整	tʂəŋ3	
敷	fu1	
文	uən1	
齋	tʂei1	
斑	pæ1	
料	liɔ5	
斛	xu5	
斜	ɕiɛ1	
斜	tɕʰiɛ5	
斟	tʂən1	
斤	tɕiən1	
斥	tʂʰi5	
斬	tʂʰæ3	
斷	tuæ5	
斯	sɿ1	
新	ɕiən1	
方	faŋ1	
施	ʂi1	
旁	pʰaŋ2	
旅	ly3	
旋	ɕyæ1	
旋	ɕyæ5	旋吃旋做
族	tsu1	
旗	tɕʰi2	
日	ʐi5	
旦	tæ5	
舊	tɕiou5	
早	tsɔ3	
旬	ɕyn1	
旱	xæ5	
曠	kʰuaŋ5	
旺	uaŋ5	
昂	aŋ1	
昆	kʰuən1	
昌	tʂʰaŋ1	
明	miəŋ1	
昏	xuən1	
易	i5	
昔	ɕi1	
星	ɕiəŋ1	
映	iəŋ5	
春	tʂʰuən1	
昨	tsuo3	
昭	tʂɔ1	
是	ʂi5	
晝	tʂou3	
顯	ɕiæ3	
晃	xuaŋ3	
晉	tɕiən5	
晌	ʂaŋ3	
晏	iæ5	
曬	ʂai5	
曉	ɕiɔ1	
暈	yn5	
晚	uæ3	
晦	xuei5	
晨	tʂʰən1	
普	pʰu2	
景	tɕiəŋ3	
晴	tɕʰiəŋ1	
晶	tɕiəŋ1	
智	tʂʅ5	
暫	tsæ5	
暑	ʂu3	
暖	nuæ3	
暗	ŋæ5	
暮	mu5	
暴	pɔ5	
曰	yɛ2	
曲	tɕʰy3	
更	kəŋ5	
曹	tsʰɔ1	
曾	tsʰəŋ1	~经
曾	tsəŋ1	姓
替	tʰi5	
最	tsuei5	
月	yɛ5	
有	iou3	
朋	pʰəŋ1	
服	fu1	
朔	ʂuo5	
朗	laŋ3	
