#漢字	音標	解釋#('cmn_jh_hc_ydxx', '鹽都西鄉話', '鹽都西鄉', '#800080', None, None, '更新：2022-01-11<br>來源：osfans整理鹽都西鄉（大縱湖、秦南）口音', '31 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,443 3 2 上 ꜂,,35 5 3 去 ꜄,,4 7 4 入 ꜆')
又	iɤɯ1	
叉	tsʰa5	
及	tɕiəʔ7	
友	iɤɯ3	
反	fɛ̃3	
叔	sɔʔ7	
取	tɕʰy3	
受	sɤɯ1-	
受	sɤɯ5=	
叛	pʰõ5	
叟	sɤɯ3	
叢	tsʰɔŋ2	
口	kʰɤɯ3	
古	kəu3	
句	tɕy5	
另	liən5	
叨	tɔ1	
叩	kʰɤɯ5	
只	tsəʔ7	
叫	kɔ5-	～化子
叫	tɕiɔ5=	
召	tsɔ1	
叮	tiən1	
可	kʰo3	
史	sɿ3	
右	iɤɯ5	
司	sɿ1	
叼	tiɔ1	
吁	ɕy1	
吃	tɕiəʔ7	～～子：口吃的人
各	kæʔ7	
吆	iɔ1	驅趕
合	koʔ7-	～夥
合	xoʔ7=	
吉	tɕiəʔ7	
吊	tiɔ5	
同	tʰɔŋ2	是他～我去的
名	miən2	
后	xɤɯ5	
吏	li5	
吐	tʰəu3	
向	ɕiæ̃5	
君	tɕyən1	
吝	liən5	
吞	tʰən1	
吞	tʰən5?	～子：喉嚨
吟	iən2	
吠	fɪ5	
否	fo3	
含	xõ2-	
含	xɛ̃2=	
吱	tsɿ2	象聲詞：拉二胡子--～咕～（自顧自）
吳	əu2	
吵	tsʰɔ3	
吸	ɕiəʔ7	
吹	tɕʰyɪ1	
吻	vən3	
吼	xɤɯ3	
吾	əu2	
呂	ly3	
呆	tɛ1	
呆	ɛ2	～板
呈	tsʰən2	
告	kɔ5	
周	tsɤɯ1	
味	vɪ1	
呵	xo1	
呸	pʰɛ1	嘆詞
呼	xəu1	
命	miən1	
和	xo2	
咎	tɕiɤɯ5	
咒	tsɤɯ5	
咪	mɪ1	
咬	ɔ3	
咳	kʰəʔ7	
咽	iɪ̃5	
哀	ɛ1	
品	pʰiən3	
哄	xɔŋ3	
哈	xa1	
哎	ɛ1	
員	yõ2	
哥	ko1	
哨	sɔ5	
哪	la2	
哪	no2	～吒
哪	la3	
哭	kʰɔʔ7	
哲	tsiəʔ7	
哼	xən1	
哼	xən2	不舒服地哼
哽	kən3	
唆	so1	
唉	ɛ2	嘆詞，引人注意，有新發現
唐	tʰæ̃2	
唦	sa1	～口水
售	sɤɯ5	
唯	vɪ2	
唱	tsʰæ̃5	
唸	nɪ̃1	
唾	tʰəu5	～沫：唾液
啃	kʰən3	
商	sæ̃1	
問	vən1-	
問	vən5=	
啓	tɕʰi3	
啞	a3	
啳	tɕyõ3	罵
啼	tɕʰi2	
喀	kʰa1	主動咳嗽：用勁～，把魚卡子～出來
喂	vɪ5	
善	sɪ̃5	
喉	xɤɯ2	
喊	xɛ̃3	
喒	tɕyɛ̃3	多～：多長時間
喖	kʰəu2?	抽泣
喘	tsʰõ3	
喚	xõ5	～狗子
喜	ɕi3	
喝	xoʔ7	
喥	tæʔ7?	～舌子
喧	ɕyõ1	不穩重
喪	sæ̃1	
喪	sæ̃5	
喫	tɕʰiəʔ7	
喬	tɕʰiɔ2	
單	tɛ̃1	
單	sɪ̃1	姓
喻	y3	
嗀	væʔ7	嘔吐
嗅	ɕiɤɯ5	
嗍	syæʔ51	吮吸
嗓	sæ̃3	
嗜	sɿ5	
嗡	ɔŋ1	
嗣	sɿ5	
嗤	tsʰɿ1	
嗦	səu5	
嗯	n̩1	是，肯定應答
嗽	sɤɯ5	
嘆	tʰɛ̃5	
嘉	tɕia1	
嘎	ka3	小兵張～
嘔	kʰɤɯ1	
嘔	ɤɯ3	
嘖	tsəʔ7	
嘗	tsʰæ̃2	
嘮	lɔ1	
嘴	tɕyɪ3	
噁	næʔ7	
噇	tɕʰyæ̃2	喫，帶貶義
噎	iəʔ7	
噓	ɕy1	
噢	ɔ1	嘆詞，應答之義
器	tɕʰi5	
噫	i1	喫，貶義
噴	pʰən1	
噴	pʰiən5	～香
噹	tæ̃1	
噹	tæ̃5	
嚇	xəʔ7	
嚐	tsʰæ̃2	
嚥	iɪ̃5	
嚮	ɕiæ̃5	
嚴	iɪ̃2	
嚷	læ̃3	
嚼	tɕʰiæʔ7	～蛆、咬～
囂	ɕiɔ1	
囉	lo1	
囊	næ̃2	
囑	tsɔʔ7	
囚	tɕʰiɤɯ2	
四	sɿ5	
回	xuɪ2	
因	iən1	
囤	tən5	
囥	kʰæ̃5	
囪	tsʰɔŋ1	
困	kʰuən5	
固	kəu5	
圈	tɕʰyõ1	圓～
圈	tɕʰyõ1	豬～
國	kɔʔ7	
圍	vɪ2	
園	yõ2	
圓	yõ2	
圖	tʰəu2	
團	tʰõ2	
土	tʰəu3	
在	tsʰɛ1-	
在	tsɛ5=	
圭	kuɪ1	
地	tɕʰi1-	
地	tɕi5=	
地	tɪ	慢慢～喫
址	tsɿ3	
均	tɕyən1	
坊	fæ̃1	
坍	tʰɛ̃1	
坎	kʰõ3-	河浜～子：河坡
坎	kʰɛ̃3=	
坐	tsʰo1-	
坐	tso5=	
坑	kʰən1	
坡	pʰo1	
坤	kʰuən1	
坦	tʰɛ̃3	
坪	pʰiən2	
坯	pʰi1	
垂	ɕyɪ2-	～下來
垂	tɕʰyɪ2=	
型	ɕiən2	
垡	fæʔ7	～頭：土塊
垮	kʰua3	
埂	kən3	
埃	ɛ1	
埋	mɛ2	
城	tsʰən2	
域	yəʔ7	
埠	pʰu5	
埲	pʰɔŋ1	起鬨：一下頭教室內全～起來了
執	tsəʔ7	
基	tɕi1	
堂	tʰæ̃2	
堅	tɕiɪ̃1	
堊	a5	施肥：～田
堡	pɔ3	
堤	tɕʰi2	
堪	kʰɛ̃1	
堯	iɔ2	
堰	iɪ̃5	
報	pɔ5	
場	tsʰæ̃2	
堵	təu3	
塊	kʰuɛ5	
塋	iən2	
塌	tʰæʔ7	
塑	səu5	
塔	tʰæʔ7	
塗	tʰəu2	
塘	tʰæ̃2	
塞	sɛ5	
塞	tsəʔ7	瓶～子
塞	səʔ7	
填	tʰɪ̃2	
塵	tsʰən2	
境	tɕiən5	
墅	səu5	
墊	tʰɪ̃1	～子、～被、～錢
墜	tɕyɪ5	
增	tsən1	
墟	ɕy1	
墨	mɔʔ7	
墩	tən1	
墳	fən2	
墾	kʰən3	
壁	piəʔ7	
壇	tʰɛ̃2	
壓	æʔ7	
壕	xɔ2	
壞	xuɛ1	
壠	lɔŋ3	
壤	læ̃3	
壩	pa5	
士	sɿ5	
壬	lən2	
壯	tɕyæ̃5	
壺	xəu2	
壽	sɤɯ5	
夏	ɕia1	
夕	ɕiəʔ7	
外	vɛ1-	
外	vɛ5=	
多	to1	
夜	ia1	
夠	kɤɯ5	
夢	mɔŋ1	
夥	xo3	
大	tʰɛ1-	～斧：斧子
大	ta5	
大	tɛ5	～夫
天	tʰɪ̃1	
太	tʰɛ5	
夫	fv1	
央	iæ̃1	
夯	xæ̃1	
失	səʔ7	
夷	i2	
夾	kæʔ7	
夾	tɕiæʔ7	
奇	tɕʰi2	
奈	nɛ5	
奉	fɔŋ5	
奎	kʰuɪ2	
契	tɕʰiəʔ7	
奔	pən1	
奔	pən5	～頭
套	tʰɔ5	
奘	tɕyæ̃3	粗
奚	tɕʰi2	姓
奠	tʰɪ̃1	
奡	ɔ5	一般指人的身體平躺着僅憑藉腰的力量坐起來
奢	sɪ1	
奤	tʰɛ3	四面伸展狀
奧	ɔ5	
奪	toʔ7	
奮	fən5	
女	ny3	
奴	no2	～隸
奶	nɛ3	
奸	tɕiɛ̃1	
好	xɔ3	
好	xɔ5	
如	ləu2	
妃	fɪ1	
妄	væ̃5	
妒	təu5	
妓	tɕi5	
妖	iɔ1	
妙	miɔ5	
妝	tɕyæ̃5	
妞	niɤɯ1	
妣	pʰi3	
妥	tʰo3	
妨	fæ̃2	
妹	mɪ5	
妻	tɕʰi1	
妾	tɕʰiəʔ7	
姊	tsɿ3	
始	sɿ3	
姍	ɕyɛ̃1	
姐	tɕiɪ3	
姑	kəu1	
姓	ɕiən5	
委	vɪ3	
姚	iɔ2	
姜	tɕiæ̃1	
姦	tɕiɛ̃1	
姨	i2	
姬	tɕi1	
姻	iən1	
姿	tsɿ1	
娘	niæ̃2	
娛	y2	
娩	mɪ̃3	
娶	tɕʰy3	
婆	pʰo2	
婊	piɔ3	
婚	xuən1	
婢	pɪ1	
婦	fv1-	
婦	fv5=	
婿	ɕy5	
媒	mɪ2	
媚	mɪ5	
媳	ɕiəʔ7	
媽	ma1	
嫁	tɕia5	
嫂	sɔ3	
嫌	tɕiɪ̃1	
嫌	ɕiɪ̃2	
嫖	pʰiɔ2	
嫡	tiəʔ7	
嫩	nən1-	
嫩	nən5=	
嬉	ɕi1	
嬌	tɕiɔ1	
嬰	iən1	
嬸	sən3	
孀	ɕyæ̃1	
孃	niæ̃1	～～：姨媽
子	tsɿ3	
孔	kʰɔŋ3	
孕	yən5	
字	tsʰɿ1-	硬幣有字的一面
字	tsɿ5=	
存	tɕʰyən2	
孝	ɕiɔ5	
孟	mɔŋ5	
季	tɕi5	
孤	kəu1	
孩	xɛ2	
孫	ɕyən1	
孬	nɔ1	
孵	fv1	
學	xæʔ7-	
學	ɕiæʔ7=	
孽	niəʔ7	
宇	y3	
守	sɤɯ3	
安	õ1-	～逸
安	ɛ̃1=	
宋	sɔŋ5	
完	õ2	
宏	xɔŋ2	
宗	tsɔŋ1	
官	kõ1	
宙	tsɤɯ5	
定	tʰiən1-	
定	tiən5	
客	kʰəʔ7	
宣	ɕyõ1	
室	səʔ7	
宦	xuɛ̃5	
宮	kɔŋ1	
宰	tsɛ3	
害	xɛ1-	～病
害	xɛ5=	
宴	iɪ̃5	
宵	ɕiɔ1	
家	ka1-	
家	tɕia1=	
容	iɔŋ2	
宿	ɕiɤɯ5	
宿	sɔʔ7	
寀	tsʰɛ3	
寂	tɕiəʔ7	
寄	tɕi5	
寅	iən2	
密	miəʔ7	
寇	kʰɤɯ5	
富	fv5	
寐	mɪ5	
寒	xõ2-	寒裏天：冬天
寒	xɛ̃2=	
寓	y5	
寞	mæʔ7	
察	tsʰæʔ7	
寡	kua3	
寢	tɕʰiən3	
寥	liɔ2	
實	səʔ7	
寧	nən1	寧可，表讓步：～讓他去，你也不能去
寧	liən2	阜～
寨	tsɛ5	
審	sən3	
寫	ɕia3-	
寫	ɕiɪ3	
寬	kʰõ1	
寵	tsʰɔŋ3	
寶	pɔ3	
寸	tɕʰyən5	
寺	tsɿ5	
寺	sɿ5=	
封	fɔŋ1	
射	sa1-	～屪：小便，貶義
射	sɪ5	
將	tɕiæ̃1	～～、～麼、才～
將	tɕiæ̃1	
將	tɕiæ̃5	
專	tsõ1	
尊	tɕyən1	
尋	tɕʰiən2-	～錢、～婆娘
尋	ɕyən2	
對	tɪ5	
導	tɔ5	
小	ɕiɔ3	
少	sɔ3	
少	sɔ5	～年
尕	ka3	～～：很少
尖	tɕiɪ̃1	
尚	tsʰæ̃	和～
尤	iɤɯ2	
就	tɕʰiɤɯ1-	
就	tɕiɤɯ5=	
尷	kɛ̃1	
尹	iən3	
尺	tsʰəʔ7	
尾	vɪ3	
尿	niɔ1-	
尿	niɔ5=	
局	tɕiɔʔ7	～大：運氣好
屁	pʰi5	
屄	pi1	女性生殖器
居	tɕy1	
屆	tɕiɛ5	
屈	tɕʰyəʔ7	
屋	ɔʔ7	
屌	tiɔ3	～子：男性生殖器
屍	sɿ1	
屎	sɿ3	
屑	ɕyoʔ7	
展	tsɪ̃3	
屙	o1	
屠	tʰəu2	
屢	ly3	
層	tsʰən2	
履	ly3	
屪	liɔ2	射～：小便，貶義
屬	sɔʔ7	
屯	tʰən2	
山	sɛ̃1	
岐	tɕʰi2	
岑	tsʰən2	
岔	tsʰa5	
岡	kæ̃1	
岳	iæʔ7	
岸	õ1-	
岸	ɛ̃5=	
峯	fɔŋ1	
島	tɔ3	
峽	ɕiæʔ7	
崑	kʰuən1	
崔	tɕʰyɪ1	
崖	ɛ2	～上
崗	kæ̃1	
崩	pɔŋ1	
崩	pɔŋ5	
嵇	i2	姓
嵌	tɕʰiɪ̃5=	
嵩	sɔŋ1	
嶺	liən3	
嶽	iæʔ7	
巖	ɛ̃2	
川	tsʰõ1	
州	tsɤɯ1	
巡	ɕyən2	
巢	tsʰɔ2	
工	kɔŋ1	
左	tso3	
巧	tɕʰiɔ3	
巫	əu1	
差	tsʰɿ1	參～
差	tsʰa1	
差	tsʰɛ1	出～
己	tɕi3	
已	i3	
巳	sɿ5	
巴	pa1	
巷	xæ̃1-	
巾	tɕiən1	
市	sɿ1-	門～
市	sɿ5=	
布	pu5	
帆	fɛ̃1	
希	ɕi1	
帕	pʰa5	
帖	tʰiəʔ7	
帚	tsɤɯ3	
帝	tɕi5	
帥	ɕyɛ5	
師	sɿ1	
席	tɕʰiəʔ7-	～子
席	ɕiəʔ7=	主～
帳	tsæ̃5	
帶	tɛ5	
常	tsʰæ̃2	
帽	mɔ1-	
帽	mɔ5=	
幄	væʔ7	
幅	fɔʔ7	
幔	mɛ̃5	
幕	mæʔ7	
幢	tɕyæ̃5	
幣	pɪ5	
幫	pæ̃1	
平	pʰiən2	
年	nɪ̃2	
幸	ɕiən5	
幹	kɛ̃5	
幺	iɔ1	
幻	xuɛ̃5	
幼	iɤɯ5	
幽	iɤɯ1	
幾	tɕi1	～乎
幾	tɕi3	
庇	pi5	
序	ɕy5	
底	tɕi3	
店	tɪ̃5	
庚	kən1	
府	fv3	
度	təu5	
座	tso5	
庫	kʰəu5	
庭	tʰiən2	
庵	ɛ̃1	
庶	səu5	
康	kʰæ̃1	
庹	tʰæʔ7	一～長
廁	tsʰɿ5	
廂	ɕiæ̃1	
廈	ɕia1	～門：地名
廈	sa5	高樓大～
廉	lɪ̃2	
廊	læ̃2	
廓	kʰuæʔ7	
廕	iən1	
廖	liɔ5	
廚	tsʰəu2	
廝	sɿ1	
廟	miɔ1	
