#漢字	音標	解釋#('cmn_jh_hc_ydxx', '鹽都西鄉話', '鹽都西鄉', '#800080', None, None, '更新：2022-01-11<br>來源：osfans整理鹽都西鄉（大縱湖、秦南）口音', '31 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,443 3 2 上 ꜂,,35 5 3 去 ꜄,,4 7 4 入 ꜆')
犒	kʰɔ5	
犜	tən1	
犟	tɕʰiæ̃1-	犯～：特別頑皮
犟	tɕiæ̃5=	
犧	ɕi1	
犬	tɕʰyõ3	
犯	fɛ̃5	
狀	tɕyæ̃5	
狂	kʰuæ̃2	
狄	tiəʔ7	
狐	xəu2	
狗	kɤɯ3	
狠	xən3	
狡	tɕiɔ3	
狸	li2	
狹	xæʔ7	
狼	læ̃2	
猛	mɔŋ3	
猜	tɕʰyɛ1	
猝	tsʰɔʔ7	
猴	xɤɯ2	
猶	iɤɯ2	
猾	xuæʔ7	
獄	iɔʔ7	
獅	sɿ1	
獎	tɕiæ̃3	
獨	tɔʔ7	
獲	xɔʔ7	
獵	kəu3	
獸	sɤɯ5	
獺	tʰæʔ7	
獻	ɕiɪ̃5	
玄	ɕyõ2	
率	ɕyɛ5	
玉	iɔʔ7	
王	væ̃2	
玩	vɛ̃2	
玻	po1	
珊	ɕyɛ̃1	
珍	tsən1	
珠	tsəu1	
班	pɛ̃1	
現	ɕiɪ̃5	
球	tɕʰiɤɯ2	
理	li3	
琉	liɤɯ2	
琢	tɕyæʔ7	
琴	tɕʰiən2	
琶	pʰa2	
瑕	ɕia2	
瑞	ɕyɪ5	
瑟	səʔ7	
瑣	so3	
璃	li2	
環	kʰuɛ̃2	
璺	vən5	
璽	ɕi3	
瓊	tɕʰiɔŋ2	
瓜	kua1	
瓠	xəu1	～子
瓢	pʰiɔ2	
瓣	pɛ̃5	
瓤	læ̃2	
瓦	ua3	
瓭	tõ1	舀水～子
瓷	tsʰɿ2	
甌	ɤɯ1	
甕	ɔŋ5	
甘	kɛ̃1	
甜	tʰɪ̃2	
生	sən1	
產	tsʰɛ̃3	
甥	sən1	
甦	səu1	
用	iɔŋ1-	
用	iɔŋ5=	
甩	ɕyɛ2	～裏～氣的：不大愛理人，脾氣臭
甩	ɕyɛ3	
甩	ɕyɛ3	打人
甩	xuɛ3?	打：我氣起來就～他一傢伙
甬	iɔŋ3	
甭	pɛ5	不要
田	tʰɪ̃2	
由	iɤɯ2	
甲	kʰɛ5+	指～子：指甲
甲	tɕiæʔ7	
申	sən1	
男	nɛ̃2	
界	tɕiɛ5	
畏	vɪ5	
留	iɤɯ2-	～把你、～你過宿
留	liɤɯ2=	
畜	tsʰɔʔ7	
畜	ɕiɔʔ7	
畝	mo3	
畢	piəʔ7	
略	liæʔ7	
畦	tɕʰi2	
番	fɛ̃1	
畫	xua1	動詞
畫	xua5	名詞
異	i5	
當	tæ̃1	
當	tæ̃5	
疆	tɕiæ̃1	
疊	tiəʔ7	
疑	i2	
疜	xa2	野蠻
疝	ɕyɛ̃5	～氣
疤	pa1	
疥	kɛ5-	
疥	tɕiɛ5=	
疫	yəʔ7	
疲	pʰi2	
疵	tsʰɿ5	
疹	tsən3	
疼	tʰən2	
疾	tɕiəʔ7	
痂	tɕia1	
病	pʰiən1-	
病	piən5=	
症	tsən5	
痔	tsʰɿ5-	
痔	tsʰɿ5	～瘡
痕	xən2	
痛	tʰɔŋ5	
痞	pʰi3	
痠	sõ1	
痢	li5	
痱	fɪ5	
痲	ma2	
痹	pʰi3	麻～
瘊	xɤɯ2	
瘋	fɔŋ1	
瘌	læʔ7	
瘍	iæ̃2	
瘟	vən1	
瘡	tɕʰyæ̃1	
瘦	sɤɯ5	
瘧	niæʔ7	
瘴	tsæ̃5	
瘸	tɕʰya2	
療	tiən1	
療	liɔ2	
癒	y5	
癡	tsʰɿ1	
癢	iæ̃3	
癤	tɕiəʔ7	
癥	tsən5	
癩	lɛ1	
癬	ɕyõ3	
癰	iɔŋ1	
登	tən1	
發	fæʔ7	
白	pʰɔʔ7-	～說
白	pɔʔ7=	
百	pɔʔ7	
百	po5?	～頁：豆腐皮
皁	tsɔ5	
皂	tsɔ5	
的	tiəʔ7	
的	tɪ	我～東西、他會來～
皆	tɕiɛ1	
皇	xuæ̃2	
皮	pʰi2	
皴	tɕʰyən1	
皵	tɕʰiæʔ7	
皺	tsɤɯ5	
皿	miən3	
盂	y2	
盃	pɪ1	
盅	tsɔŋ1	
盆	pʰən2	
盈	iən2	
益	iəʔ7	
盒	xoʔ7	
盔	kʰuɪ1	
盛	tsʰən2	
盛	sən5	
盜	tɔ5	
盞	tsɛ̃3	
盟	mɔŋ2	
盡	tɕiən5	
監	tɕiɛ̃1	
監	tɕiɛ̃5	
盤	mõ2+	量詞：玩一～象棋
盤	pʰõ2	反覆做某件事情
盪	tʰæ̃1-	把杯子～下子
盪	tæ̃5=	
目	mɔʔ7	
盯	tiən1	
盲	mæ̃2	
直	tsʰəʔ7-	對～、筆～
直	tsəʔ7=	～角
相	ɕiæ̃1	
相	ɕiæ̃5	
盼	pʰɛ̃5	
盾	tən5	
省	sən3	
省	ɕiən3	
眉	mɪ2	
看	kʰõ5-	
看	kʰõ1	～家
看	kʰɛ̃5=	
真	tsən1	
眠	mɪ̃2	
眨	tsæʔ7	
眩	ɕyõ5	
眯	mɪ1	
眵	tsʰɿ1	眼～：眼屎
眷	tɕyõ5	
眼	ɛ̃3	
着	tsæʔ7	～急
着	tsʰæʔ7	睡不～覺、燒～了
睛	tɕiən1	
睜	tsən1	
睡	ɕyɪ5	
督	tɔʔ7	
睺	xɤɯ2?	睡
瞄	miɔ2	
瞅	tsʰɤɯ3	
瞎	xæʔ7	
瞘	kʰɤɯ1	
瞞	mõ2	
瞧	tɕʰiɔ2	
瞪	tən5	
瞬	ɕyən5	
瞳	tʰɔŋ2	
瞻	tsɪ̃1	
矇	mɔŋ2	
矛	mɔ2	
矢	sɿ3	
知	tsɿ1	
矩	tɕy5	
短	tõ3	
矮	ɛ3	
矯	tɕiɔ3	
矲	pʰɛ3?	踩
石	səʔ7	
砌	tɕʰi3	
砍	kʰɛ̃3	
砑	a1	動詞：～平
砒	pʰi3	～霜
研	iɪ̃2	
砣	tʰo2	秤～
砧	tsən1	
破	pʰo5	
砸	tsæʔ7	扔
硃	tsəu1	
硝	ɕiɔ1	
硫	liɤɯ2	
硬	ən1	
碎	ɕyɪ5	
碑	pɪ1	
碓	tɪ5	
碗	õ3	
碘	tɪ̃3	
碟	tiəʔ7	
碧	piəʔ7	
碰	pʰɔŋ5	
碳	tʰɛ̃5	
確	tɕʰiæʔ7	
碼	ma3	
碾	nɪ̃3	
磁	tsʰɿ2	
磉	sæ̃3	
磊	lɪ5	人名
磕	kʰoʔ7	
磚	tsõ1	
磣	tsʰən3	今額飯肚內有泥，～凶呢
磣	tsʰən3	
磨	mo1	～子
磨	mo2	動詞
磷	liən1	
礙	ɛ5	
礦	kʰuæ̃5	
礬	fɛ̃2	
示	sɿ5	
社	sɪ5	
祀	sɿ5	
祁	tɕʰi2	
祇	tsəʔ7	
祈	tɕʰi2	
祕	pi5	
祖	tsəu3	
神	sən2	
祠	tsʰɿ2	
祥	tɕʰiæ̃2	
票	pʰiɔ5	
祭	tɕi5	
祿	lɔʔ7	
禁	tɕiən1	
禁	tɕiən5	
禍	xo1-	
禍	xo5	
福	fɔʔ7	
禦	y5	
禪	tsʰɛ̃2	
禪	sɪ̃5	
禱	tɔ3	
禽	tɕʰiən2	
禾	xo2	
禿	tʰɔʔ7	
秀	ɕiɤɯ5	
私	sɿ1	
秉	piən3	
秋	tɕʰiɤɯ1	
科	kʰo1	
秒	miɔ3	
秕	pi3	
租	tsəu1	
秤	tsʰən5	
秦	tɕʰiən2	
秧	iæ̃1	
秩	tsəʔ7	
秫	ɕyəʔ7	
移	i2	
稀	ɕi1	
稅	ɕyɪ5	
程	tsʰən2	
稍	sɔ1	
稚	tsɿ5	
稝	mɔŋ3?	密
稟	piən3	
稠	tsʰɤɯ2	
種	tsɔŋ3	
種	tsɔŋ5	
稱	tsʰən1	
稱	tsʰən5	
稻	tɔ5	
稼	tɕia5	
稽	tɕi1	
稿	kɔ3	
穀	kɔʔ7	
穆	mɔʔ7	
穇	tsʰõ3	～子：稗子
積	tɕiəʔ7	
穎	iən3	
穢	xuɪ5	
穩	vən3	
穫	xɔʔ7	
穭	ly3	
穰	læ̃2	～草
穴	ɕyoʔ7	
究	tɕiɤɯ1	
穹	kɔŋ2	變成拱狀
空	kʰɔŋ1	
空	kʰɔŋ5	～債：欠錢
穿	tsʰõ1	
突	tʰəʔ7	
窄	tsəʔ7	
窒	tsɿ5	
窖	kɔ5-	
窗	tɕʰyæ̃1	
窘	tɕiɔŋ3	
窟	kʰuəʔ7	
窠	kʰo1	
窩	o1	
窪	ua5	坑坑～～
窮	tɕʰiɔŋ2	
窯	iɔ2	
窺	kʰuɪ1	
竄	tsʰõ5	
竅	tɕʰiɔ5	
竃	tsɔ5	
立	liəʔ7	
站	tsɛ̃5	
竟	tɕiən5	
章	tsæ̃1	
竣	tɕyən5	
童	tʰɔŋ2	
端	tõ1	
競	tɕiən5	
竹	tsɔʔ7	
竿	kɛ̃3	
笆	pa1	～斗：存放糧食的器具，較大
笊	tsɔ5	～籬
笑	ɕiɔ5	
笙	sən1	
笛	tiəʔ7	
笠	liəʔ7	
笡	tɕʰia1	歪，不正：他的頭一直～了那塊
笡	tɕia3	～巴眼
笤	tʰiɔ2	～帚
符	fv2	
笨	pən5	
第	tɕi5	
笿	læʔ7	～子：籃子
筆	piəʔ7	
等	tɛ*	們
等	tən3	
筋	tɕiən1	
筍	ɕyən3	
筏	fæʔ7	
筐	kʰuæ̃1	
筒	tʰɔŋ2	麻將牌式，也叫餅
筒	tʰɔŋ3	
答	tæʔ7	
策	tsʰəʔ7	
筵	iɪ̃2	
筷	kʰuɛ5	
箅	pi5	
箇	ko5-	
箇	kɤɯ5=	
箋	tɕiɪ̃1	
箍	kəu1	
箏	tsən1	
算	sõ5	
管	kõ3	
箬	læʔ7	糉～
箭	tɕiɪ̃5	
箱	ɕiæ̃1	
箸	tsʰəu1	～籠：筷籠
節	tɕiəʔ7	
範	fɛ̃5	
篆	tsõ5	
篇	pʰɪ̃1	
築	tsɔʔ7	
篙	kɔ1	
篡	tsʰõ5	
篤	tɔʔ7	
篦	pʰi1	～子
篩	sɛ1	
篷	pʰɔŋ2	
篾	miəʔ7	
簡	tɕiɛ̃3	
簧	xuæ̃2	
簪	tsɛ̃1	
簫	ɕiɔ1	
簸	po3	動詞
簸	po5	名詞：～箕
簽	tɕʰiɪ̃1	
簾	lɪ̃2	
簿	pu5	
籃	lɛ̃2	
籌	tsʰɤɯ2	
籍	tɕiəʔ7	
籠	lɔŋ2	
籤	tɕʰiɪ̃1	
籪	tõ5	
籬	li2	
籮	lo2	
米	mɪ3	
籽	tsɿ3	
粉	fən3	
粑	pa1	餈～
粒	liəʔ7	
粗	tsʰəu1	
粘	tsɪ̃1	
粘	nɪ̃2	
粟	sɔʔ7	
粥	tsɔʔ7	
粱	liæ̃2	
粳	kən3	
粵	yoʔ7	
粹	tɕʰyɪ5	
精	tɕiən1	
糉	tsɔŋ5	
糊	xəu2	糨～
糊	xuəʔ7	～塗、～東西
糕	kɔ1	
糖	tʰæ̃2	
糙	tsʰɔ5	～米
糜	mɪ2	
糝	səu3	飯米～：米粒
糞	fən5	
糟	tsɔ1	
糠	kʰæ̃1	
糧	liæ̃2	
糨	tɕiæ̃5	
糯	no1	
糰	tʰõ2	
糴	tiəʔ7	
糶	tʰiɔ5	
系	ɕi5	
糾	tɕiɤɯ1	
紀	tɕi3	～律
紀	tɕi5	年～
紂	tsɤɯ5	
約	iæʔ7	
紉	lən5	
紋	vən2	
納	næʔ7	
紐	niɤɯ3	
純	tɕʰyən2	
紗	sa1	
紙	tsɿ3	
紙	tsəʔ7	
級	tɕiəʔ7	
紛	fən1	
素	səu5	
紡	fæ̃3	
索	sæʔ7	
紫	tsɿ3	
紮	tsæʔ7	
累	lɪ5	
累	lɪ̃5	
細	ɕi5	
紹	sɔ5	
終	tsɔŋ1	
絃	ɕyõ2	
組	tsəu3	
絆	põ5	
結	tɕiəʔ7	
絕	tɕyoʔ7	
絞	tɕiɔ3	縫
絡	læʔ7	
給	tɕiəʔ7	供～、～他
絨	lɔŋ2	
統	tʰɔŋ3	
絲	sɿ1	
絹	tɕyõ1	
綁	pæ̃3	
綏	ɕyɪ2	
經	tɕiən1	
綜	tsɔŋ1	
綠	lɔʔ7	
綢	tsʰɤɯ2	
維	vɪ2	
綱	kæ̃1	
網	væ̃3	
綳	pɔŋ1	
綴	tɕyɪ5	
綵	tsʰɛ3	
綻	tsɛ̃5	
綽	tsʰæʔ7	
緊	tɕiən3	
緖	ɕy5	頭～
線	ɕiɪ̃5	
緝	tɕiəʔ7	
緞	tõ5	
緣	yõ2	
編	pɪ̃1	
緩	õ5-	
緩	xuɛ̃3=	～下子
緬	mɪ̃3	
緯	vɪ3	
練	lɪ̃5	
緻	tsɿ5	
縐	tsɤɯ5	
縐	tsɤɯ2?	起皺
縛	fɔʔ7	
縣	ɕiɪ̃5	
縫	fɔŋ1	名詞
縫	fɔŋ2	動詞
縮	sɔʔ7	
縱	tsɔŋ5	
縷	ly3	
總	tsɔŋ3	
績	tɕiəʔ7	
繁	fɛ̃2	
繃	pɔŋ1	
織	tsəʔ7	
繞	lɔ1	
繞	lɔ3	
繡	ɕiɤɯ5	
繩	sən2	
繪	xuɪ5	
繫	tɕi5	～鞋帶子
繫	ɕi5	
繮	tɕiæ̃1	
繰	tsɔ1	～邊
繳	tɕiɔ3	
繼	tɕi5	
纂	tsõ5	
續	sɔʔ7	
纏	tsʰɪ̃1	
纏	tsʰɪ̃2	
纏	tsʰɪ̃5	一般指用雙手不停地揉：～麪
纓	iən1	
纔	tsʰɛ2	
纜	lɛ̃1	
缶	fo3	
缸	kæ̃1	
缺	tɕʰyoʔ7	
罄	tɕʰiən5	
罈	tʰõ2	
罐	kõ5	
罕	xɛ̃3	
罩	tsɔ5	
罪	tɕʰyɪ1-	
罪	tɕyɪ5=	
置	tsɿ5	
罰	fæʔ7	
罵	ma1-	
罵	ma5=	
罷	pa5	
罾	tsən1	踢～子：一種漁具
羅	lo2	
羊	iæ̃2	
羌	tɕʰiæ̃1	
美	mɪ3	
羔	kɔ1	
羞	ɕiɤɯ1	
羣	tɕʰyən2	
羨	ɕiɪ̃5	
義	i5	
羶	sɪ̃1	
羸	iən2	
羹	kən1	
羽	y3	
翁	ɔŋ1	
翅	tsɿ5	～膀、隴～（地名）
習	ɕiəʔ7	
翔	tɕʰiæ̃2	
翟	tsəʔ7	姓
翠	tɕʰyɪ5	
翡	fɪ3	
翫	vɛ̃2	
翰	xɛ̃5	
翻	fɛ̃1	
翼	iəʔ7	
耀	iɔ5	
老	lɔ3	
考	kʰɔ3	
者	tsɛ3	
而	ɔ2	
耍	ɕya3	
耐	nɛ1-	
耐	nɛ5=	
耕	kən1	
耗	xɔ5	
耙	pʰa2	耬～，劚～，一種農具
耬	lɤɯ2	～耙：鬆土用
耬	lɤɯ2	
耳	ɔ3	
耶	ia1	～穌
耽	tɛ̃1	
耿	kən3	
聊	liɔ2	
聒	kuæʔ7	
聖	sən5	
聚	tɕy5	
聞	vən2	
聯	lɪ̃2	
聰	tsʰɔŋ1	
聲	sən1	
聳	sɔŋ3	
聶	niəʔ7	
職	tsəʔ7	
聽	tʰiən1	
聽	tʰiən5	
聾	lɔŋ2	
肄	i5	
肅	sɔʔ7	
肆	sɿ5	
肉	lɔʔ7	
肋	ləʔ7	
肌	tɕi1	
肏	lən1	～媽媽的
肏	læʔ7	
肘	tsɤɯ3	
肚	tʰəu1-	～裏、鋪～
肚	təu3=	～子
肝	kɛ̃1	
股	kəu3	
肢	tsɿ1	～體
肥	fɪ2	
肨	pʰæ̃1	浮
肩	tɕiɪ̃1	
肪	fæ̃2	
肯	kʰən3	
育	iɔʔ7	
肺	fɪ5	
胃	vɪ5	
背	pɪ5	
胎	tʰɛ1	
胖	pʰæ̃5	
胚	pʰi3	
胛	tɕiæʔ7	
胞	pɔ1	
胡	xəu3+	二～子：二胡
胡	xəu2	
胥	ɕy1	
胳	kəʔ7	
胸	ɕiɔŋ1	
能	nən2	
脂	tsɿ1	
脅	ɕiəʔ7	
脆	tɕʰyɪ5	
脈	mɔʔ7	
脊	tɕiəʔ7	
脖	poʔ7	
脩	ɕiɤɯ1	
脫	tʰəʔ7+	～雨點子
脫	tʰəʔ7+	
脫	tʰoʔ7	
脯	pʰu3	胸～子
脹	tsæ̃5	
脾	pʰi2	～氣
脾	pʰi3	肝～
腆	tʰɪ̃3	
腋	iəʔ7	
腎	sən5	
腐	fv3	
腑	fv3	
腔	tɕʰiæ̃1	
腕	õ3	
腡	lo2	
腥	ɕiən1	
腦	nɔ3	
腫	tsɔŋ3	
腮	sɛ1	
腰	iɔ1	
腱	tɕiɪ̃5	
腳	tɕiæʔ7	
腳	tɕiæʔ7	一～：一直
腸	tsʰæ̃2	
腹	fɔʔ7	
腿	tʰɪ3	
膏	kɔ1	牙～
膏	kɔ5	～油
膗	tɕʰyɛ2	過度肥胖
膘	piɔ1	
膘	piɔ5?	肉皮
膚	fv1	
膜	mæʔ7	
膝	tɕʰiəʔ7	
膠	tɕiɔ1	
膨	pʰɔŋ2	
膩	niəʔ7	
膳	sɪ̃5	
膽	tɛ̃3	
膿	nɔŋ2	
臀	tʰən2	
臂	pɪ5	
臉	lɪ̃3	
臊	sɔ1	
臍	tɕʰi2	
臘	lɛ1+	～月
臘	læʔ7	
臟	tsæ̃5	
臣	tsʰən2	
臥	o5	
臨	liən2	
自	tsɿ5	
臭	tsʰɤɯ5	
至	tsɿ5	
致	tsɿ5	
臺	tʰɛ2	
臻	tsən1	
臼	tɕʰiɤɯ1-	碓～
臼	tɕiɤɯ5=	
舀	iɔ3	
舂	tsʰɔŋ1	
舅	tɕiɤɯ5	
與	y1	
興	ɕiən1	
興	ɕiən5	
舉	tɕy3	
舊	tɕʰiɤɯ1-	
舊	tɕiɤɯ5=	
舌	siəʔ7	
舍	sa3-	
舍	sa5-	
舍	sɪ3=	
舒	səu1	
舔	tʰɪ̃3	
舚	tʰɪ̃5	～卡子
舜	ɕyən5	
舞	əu3	
舟	tsɤɯ1	
航	xæ̃2	
般	pɛ̃1=	
舵	to5	
船	tsʰõ2	
艇	tʰiən3	
艞	tʰiɔ5	～板
艦	tɕiɛ̃5	
良	liæ̃2	
艱	tɕiɛ̃1	
艷	iɪ̃5	
艾	ɛ1-	
艾	ɛ5=	
芋	y1	
芍	sæʔ7	
芒	mæ̃2	
芙	fv2	
芝	tsɿ1	
芥	tɕiɛ5	
芫	iɪ̃2	～荽：香菜
芬	fən1	
芭	pa1	
芮	lɪ5	
花	xua1	
芳	fæ̃1	
芹	tɕʰiən2	
芽	a2-	
芽	ia2=	
苔	tʰɛ1	
苗	miɔ2	
苟	kɤɯ3	
若	læʔ7	
苦	kʰəu3	
苧	tsəu5	
英	iən1	
茂	mo5	
范	fɛ̃5	
茄	tɕʰia2	～子
茅	mɔ2	
茉	moʔ7	
茫	mæ̃2	
茬	tsʰa2	
茭	kɔ1	～瓜：茭白
茲	tsɿ1	
茴	xuɪ2	
茶	tsʰa2	
茸	lɔŋ2	
茼	tʰɔŋ2	～蒿
荄	kɛ1	麥～：脫粒後的麥稈
草	tsʰɔ3	
荊	tɕiən1	
荒	xuæ̃1	
荔	liəʔ7	
荷	xo2	
荷	xo2	薄～
荽	ɕy1	芫～：香菜
莊	tɕyæ̃1	
莖	tɕiən1	
莝	tsʰo5	
莠	iɤɯ5	
莧	xɛ̃1	紅～菜、～菜杆
莫	mæʔ7	
莽	mæ̃3	
菊	tɕiɔʔ7	
菌	tɕyən1	
菖	tsʰæ̃1	
菜	tsʰɛ5	
菠	po1	
菢	pʰɔ1	孵
菩	pʰu2	～薩
華	xua2	中～、姓～
菱	liən2	
菴	ɛ̃1	
菸	iɪ̃1	
萌	mɔŋ2	
萎	vɪ1	犯困
萎	vɪ3	
萬	vɛ̃1	
萵	əu1	～苣薹：萵苣
落	læʔ7	
葉	iəʔ7	
著	tsəu5	
葚	sən5	
葛	koʔ7	
董	tɔŋ3	
葦	vɪ3	
葫	xəu2	
葫	xuəʔ7	～蘆
葬	tsæ̃5	
葯	iæʔ7	
葵	kʰuɪ2	
葷	xuən1	
蒐	sɤɯ1	
蒔	sɿ2	
蒙	mɔŋ2	
蒜	sõ5	
蒯	kʰuɛ3	
蒲	pʰu2	～公英
蒸	tsən1	
蒼	tsʰa1+	～蠅
蒼	tsʰæ̃1	
蒿	xɔ1	
蓄	ɕiɔʔ7	
蓉	iɔŋ2	
蓋	kɛ5	
蓑	so1	
蓖	pi5	～麻
蓬	pʰɔŋ2	
蓮	lɪ̃2	
蓴	tɕʰyən2	
蔔	pɔʔ7	
蔗	tsa3	甘～
蔘	tsʰən1	
蔘	sən1	
蔡	tsʰɛ5	姓
蔣	tɕiæ̃3	
蔥	tsʰɔŋ1	
蔬	səu1	
蔭	iən1	
蔽	pi5	
蕉	tɕiɔ1	
蕊	lɪ3	
蕩	tʰæ̃1-	
蕩	tæ̃5=	
蕭	ɕiɔ1	
薄	pʰæʔ7-	～粥、～刀
薄	pæʔ7=	
薅	xɔ1	
薑	tɕiæ̃1	
薛	ɕyoʔ7	
薦	tɕiɪ̃5	
薩	tsʰæʔ7+	菩～
薩	sæʔ7	
薪	ɕiən1	
薯	səu5	
薰	ɕyən1	
薴	tsəu5	
薹	tʰɛ2	萵苣～：萵苣
薺	tɕi1	～菜子
藉	tɕiəʔ7	
藍	lɛ̃2	
藏	tsʰæ̃2	
藏	tsæ̃5	
藐	miɔ3	
藕	ɤɯ3	
藝	i5	
藤	tʰən2	
藥	iæʔ7	
藩	fɛ̃1	
藹	ɛ3	
藿	xuæʔ7	
蘆	ləu2	
蘇	səu1	
蘣	tʰɔŋ5	多形容小孩可愛：她～極了
蘭	lɛ̃2	
蘸	tsɛ̃5	
虎	xəu3	
虐	niæʔ7	
虔	tɕʰiɪ̃2	
處	tsʰəu3	～理
處	tsʰəu5	
虛	ɕy1	
虜	ləu3	
虞	y2	
號	xɔ1-	喊～子
號	xɔ2	鬼～
號	xɔ5=	幾～
虢	kɔʔ7	
虧	kʰuɪ1	
虯	kʰəu2?	起皺
虹	kæ̃5-	
虹	xɔŋ2=	
蚊	vən2	
蚌	pɔŋ5	
蚣	kɔŋ1	
蚤	tsɔ3	
蚱	tsa3	螞～：蚱蜢
蛀	tsəu1	
蛀	tsəu5	
蛆	tɕʰy1	
蛇	sa2-	
蛇	sɪ2	
蛉	tɕiən5	
蛋	tʰɛ̃1-	
蛋	tɛ̃5=	
蛐	tɕʰiɔʔ7	
蛙	ua1	
蛙	vɛ2	田雞～子：青蛙
蛤	xa2	～蟆
蛤	koʔ7	～蜊
蛻	tʰo5	往裏縮
蛻	tʰɪ5	
蛾	o2	
蜀	sɔʔ7	
蜈	əu2	
蜒	tʰiən2	
蜘	tsɿ1	
蜜	miəʔ7	
蜷	kʰuɛ̃2	四肢內曲，縮成一團；我把他一嚇，他全～起來了
蜻	tɕʰiən1	
蝕	səʔ7	
蝗	xuæ̃2	
蝙	pɪ̃1	
蝠	fɔʔ7	
蝦	xa1-	麻～子
蝦	ɕia1	
蝨	səʔ7	
蝶	tiəʔ7	
蝸	o1	
螂	læ̃2	刀刀～：螳螂
螃	pʰæ̃2	
融	lɔŋ2	
融	iɔŋ2	
螞	ma3	
螞	mæʔ7	～蚱：蚱蜢
螢	iən2	
螳	tʰæ̃2	
螺	lo1	～～、田～
蟀	ɕyəʔ7	
蟄	tsiəʔ7	
蟆	ma2	蛤～
蟒	mæ̃3	
蟢	ɕi3	～～蛛：蜘蛛
蟣	tɕi3	
蟬	tsʰɛ̃2	
蟲	tsʰɔŋ2	
蟹	xɛ3	
蟻	iɪ̃3+	螞～
蟻	i3	
蟾	tsʰɪ̃2	
蠅	iən2	
蠓	mɔŋ1	～蟲子
蠟	læʔ7	
蠢	tɕʰyən3	
蠶	tsʰõ2-	～豆
蠶	tsʰɛ̃2	
蠻	mɛ̃1+	很
蠻	mɛ̃2	
血	ɕyoʔ7	
衆	tsɔŋ5	
行	xæ̃2	
行	xæ̃2	流行：今年不～這個了
行	ɕiən2	
術	ɕyəʔ7	
衕	tʰɔŋ2	
街	kɛ1	
衙	ia2	
衚	xəu2	
衛	vɪ5	
衝	tsʰɔŋ1	
衝	tsʰɔŋ5	說話～
衡	xən2	
衣	i1	
衣	i1	胎盤
表	piɔ3	
衫	sɛ̃1	
衭	fv1	～面前：前襟
衰	ɕyɛ1	
袁	yõ2	
袋	tʰɛ1-	
袋	tɛ5=	
袍	pʰɔ2	
袖	ɕiɤɯ5	
被	pɪ5	
袱	fɔʔ7	
裁	tsʰɛ2	
裂	liəʔ7	
裏	li3	
裏	lɪ3	
裏	nɪ	家～、心～
裔	i1	姓
裕	y5	
裙	tɕʰyən2	
補	pu3	
裝	tɕyæ̃1	
裩	kʰuən1	～子：短褲
裱	piɔ3	
裳	sæ̃1	
裴	pʰɪ2	
裸	lo3	
裹	ko3	
製	tsɿ5	
褂	kua5	
複	fɔʔ7	
褌	kʰuən1	～子：短褲
褒	pɔ3	
褥	lɔʔ7	
褦	nɛ1	懦～：聽話守規矩
褪	tʰən5	脫：～褲子
褲	kʰəu5	
褶	tsiəʔ7	
襖	ɔ3	
襟	tɕiən1	
襪	væʔ7	
襯	tɕʰyən5	
襲	ɕiəʔ7	
襻	pʰɛ̃5	
西	ɕi1	
要	iɔ1	
要	iɔ5	
覆	fɔʔ7	
覈	xəʔ7	
覈	xuəʔ7	
見	tɕiɪ̃5	
規	kuɪ1	
覓	miəʔ7	
視	sɿ5	
親	tɕʰiən1	
親	tɕʰiən5	
覷	tɕʰyən1?	眼睛貼近某物看
覺	kɔ5-	
覺	kæʔ7-	～老
覺	tɕiæʔ7	
覽	lɛ̃3	
觀	kõ1	
角	kæʔ7	
解	kɛ3-	～小便
解	tɕiɛ3=	～釋
觸	tsʰɔʔ7	
言	iɪ̃2	
訂	tiən5	
訃	fv5	
計	tɕi5	
訊	ɕyən5	
討	tʰɔ3	
訓	ɕyən5	
託	tʰæʔ7	
記	tɕi5	
訛	o2	～錯：相差
訛	o2	
訟	sɔŋ5	
訣	tɕyoʔ7	
訪	fæ̃3	
設	siəʔ7	
許	ɕy3	
訴	səu5	
診	tsən1	
註	tsəu5	
証	tsən5	
詐	tsa5	
詔	tsɔ5	
評	pʰiən2	
詞	tsʰɿ2	
詠	iɔŋ3	
詢	ɕyən2	
試	sɿ5	
詩	sɿ1	
詭	kuɪ3	
話	xua1-	
話	xua5=	電～
該	kɛ1	
詳	tɕʰiæ̃2	
誅	tsəu1	
誇	kʰua1	
誌	tsɿ5	
認	lən1-	
認	lən5=	
誓	sɿ5	
誕	tɛ̃5	
誘	iɤɯ5	
語	y3	
誠	tsʰən2	
誣	əu1	
誤	əu5	
誦	sɔŋ5	
說	soʔ7	
誰	ɕyɪ2	
課	kʰo5	
誼	i2	
調	tʰiɔ2	
調	tiɔ5	
請	tɕʰiən3	
諒	liæ̃5	
論	lən2	
論	lən5	
諜	tiəʔ7	
諢	xuəʔ7	～名：綽號
諧	ɕiɛ2	
諫	tɕiɛ̃5	
諮	tsɿ1	
諱	xuɪ5	
諷	fɔŋ3	
諸	tsəu1	
諺	iɪ̃5	
諾	næʔ7	
諾	noʔ7	
謀	mo2	
謂	vɪ5	
謅	tsɤɯ1	說瞎話：這是他瞎～的
謊	xuæ̃3	
謎	miən1+	猜～～
謎	mɪ2	
謗	pæ̃5	
講	tɕiæ̃3	
謝	ɕiɪ5	
