#漢字	音標	解釋
□	tʰo5	摞
佐	tso3	
佑	iəu5	
體	tʰi3	
何	xo2	
余	y2	
佛	fei7	
作	tso7	
你	n̩5-	
你	ȵi3=	
佩	pʰei5	
佳	kia1	
使	sɿ3	
侃	kʰø̃ỹ3	
侄	tsʰɿ7	
例	li5	
侍	sɿ5	
供	kəŋ1	〜应
供	kəŋ5	上~
依	i1	
俠	ɕia7	
僥	ɕiau1	
偵	tən1	
側	tɕie7	
僑	kʰiau2	
儘	tɕʰin5	
侮	vu3	
侯	ɕiau2	
侵	tɕin1	
便	pʰiĩ2	〜宜
便	pʰiĩ5	方〜
促	tsʰəu7	
俄	ŋo2	
俊	tsən5	
俏	tɕʰiau5	
俗	səu7	
俘	fu1	
保	pau3	
信	ɕin5	
儼	ŋiĩ3	
儉	kʰiĩ3	
修	ɕiəu1	
俯	fu3	
俱	kʰy5	
俸	fəŋ5	
倍	pʰei5	
倒	tau3	
倔	ky7	
倘	tʰoŋ3	
候	ɕiau5	
倚	i3	
借	tɕia5	
倡	tʰoŋ1	
倦	tʰø̃ỹ5	
倭	o1	
債	tsai5	
值	tsʰɿ7	
傾	tʰən1=	〜斜
假	kia3	
偏	pʰiĩ1	
做	tsəu5	
停	tʰin2	
健	kʰiĩ5	
偶	ŋiau3	
偷	tʰiau1	
償	soŋ3	
傅	fu5	
傍	poŋ5	
儲	kʰy2	
催	tsʰei1	
傲	ŋau5	
傻	sa3	
傾	kʰã1-	〜水
像	tɕʰioŋ5	
僚	liau2	
僧	ɕiĩ1	
僵	kʰioŋ1	
僻	pʰi7	
儒	y2	
儽	lei5	
兒	y2	
允	vən3	
元	ŋø̃ỹ2	
兄	ɕiã1-	
充	tʰəŋ1	
兆	tʰau5	
先	ɕiĩ1	
光	koŋ1	
克	kʰie7	
免	miĩ3	
兑	tei5	
兔	tʰəu5	
黨	toŋ3	
兜	tiau1	
入	y7	
内	lei5=	
全	tɕʰiĩ2	
八	pa7	
公	kəŋ1	
六	ləu7	
兮	ɕi1	
蘭	lã2	
共	kʰəŋ5	
關	kã1	
興	xin1	〜旺
興	xin5	高〜
兵	piã1	
其	kʰi2	
具	kʰy5	
典	tiĩ3	
兹	tsɿ1	
養	ioŋ3	
兼	kʰiĩ1	
獸	səu5	
冀	ki5	
内	lai5-	
岡	koŋ1	
冉	ø̃ỹ3	
册	tɕʰie7	
再	tsai5	
冒	mau5	
寫	ɕia3	
軍	tən1	
農	ləŋ2	
冠	kø̃ỹ5	〜军
冠	kø̃ỹ1	衣〜
冤	ø̃ỹ1	
冥	min2	
冬	təŋ1	
馮	fəŋ2	
冰	pin1	
冲	tʰəŋ1	
決	tø7	
况	kʰoŋ5	
冷	lã3	
凍	təŋ5	
淨	tɕʰin5	
凄	tɕʰi1	
準	tən3	
涼	lioŋ2	
凌	lin2	
減	kã3	
湊	tɕiau5	
凝	ŋin2	
几	ki3	
凡	fã2	
鳳	fəŋ5	
凭	pʰin2	
凱	kʰai3	
凰	xoŋ2	
凳	tiĩ5	
凶	ɕin1	
出	kʰy7	
擊	ki7	
函	xø̃ỹ2	
鑿	tsʰo7	
刀	tau1	
刁	tiau1	
刃	vən5	
分	fən1	〜开
分	fən5	本〜
切	tɕʰie7	
刈	ŋi5	
刊	kʰø̃ỹ1	
刎	vən3	
刑	ɕin2	
划	fa5	
划	fa2	〜船
列	lie7	
劉	liəu2	
則	tɕie7	
剛	koŋ1	
創	tsʰoŋ3	
初	tsʰəu1	
删	sã1	
判	pʰø̃ỹ5	
刨	pʰau2	
刨	pʰau5	
利	li5	
别	pʰie7	
刮	ka7	
到	tau5	
制	tsɿ5	
刷	sa7	
券	tʰø̃ỹ5	
刺	tsʰɿ5	
刻	kʰie7	
劊	kʰai5	
刴	to5	
劑	tɕi5	
剃	tʰi5	
削	ɕio7	
前	tɕʰiĩ2	
劍	kiĩ5	
剔	tʰi7	
剖	pʰiau1	
剝	po7	
劇	ki7	
剩	sən5	
剪	tɕiĩ3	
剮	ka3	
副	fu5	
割	kø7	
剿	tɕiau3	
劈	pʰia7	
力	li7	
勸	tʰø̃ỹ5	
辦	pʰã5	
功	kəŋ1	
加	kia1	
務	vu5	
劣	lie7	
動	tʰəŋ5	
助	tsʰəu5	
努	ləu3	
劫	kie7	
勵	li5	
勁	kin5	
勞	lau2	
勢	sɿ5	
勃	pʰu7	
勇	in3	
勉	miĩ3	
勳	sən1	
勒	lie7	
勘	kʰø̃ỹ1	
募	mo5	
勤	kʰin2	
勺	so7	
勾	kiau1	
勿	fu7	
匀	vən2	
包	pau1	
匆	tsʰəŋ1	
匈	ɕin1	
化	fa5	
北	pø7	
匙	tsʰɿ2	
匠	tɕʰioŋ5	
匡	kʰoŋ1	
匣	ka7	
匪	fei3	
匹	pʰi7	
區	kʰy1	
醫	i1	
匾	piĩ3	
匿	ȵi7	
十	sɿ7	
千	tɕʰiĩ1	
卅	sa7	
升	sən1	
午	ŋu3	
半	pø̃ỹ5	
華	fa2	
協	ɕie7	
卑	pʰi3	
卒	tɕi7-	
卒	tsei7	
卓	tso7	
單	tã1	
單	sø̃ỹ5	姓
賣	mai5	
南	lã2	
博	po7	
卜	pʰu5	
占	tø̃ỹ1	
占	tø̃ỹ5	
卡	kʰa3	
盧	ləu2	
卤	ləu3	
卦	ka5	
臥	o5	
衛	vei5	
卯	mau3	
印	in5	
危	vei2	
即	tɕi7	
卻	kʰio7	
卵	lo3	
卷	tø̃ỹ3	
卷	tø̃ỹ5	
卸	ɕia5	
卿	kʰin1	
廠	tʰoŋ3	
廳	tʰiã1	
历	li7	
厲	li5	
壓	ia7	
厭	iĩ5	
廁	tɕie7	
廁	tɕʰie7	
廁	sɿ1	茅厕
厘	li2	
厚	ɕiau5	
原	ŋø̃ỹ2	
廂	ɕioŋ1	
厥	tø7	
厦	ɕia5	
廚	kʰy2	
厮	sɿ1	
去	kʰie5	
縣	ɕiĩ5	
参	tsʰã5	〜差;〜加
参	ɕiĩ1	人〜
又	iəu5	
叉	tsʰa1	
及	kʰi7	
友	iəu3	
雙	soŋ1	
反	fã3	
发	fa7	
叔	səu7	
取	tɕʰi3	
受	səu5	
變	piĩ5	
敍	ɕi5	
叛	pʰø̃ỹ5	
口	kʰiau3	
古	ku3	
句	kʰy5	
另	lin5	
叨	tau1	
叩	kʰiau5	
只	tsɿ3	
只	ta7	量词
叫	kiau5	
召	tʰau5	
可	kʰo3	
台	tʰai2	
史	sɿ3	
右	iəu5	
葉	ie7	
號	xau5	
司	sɿ1	
嘆	tʰã5	
吃	kʰia7	
各	ko7	
吆	iau1	
合	xo7	〜作
合	kø7	十~一
吉	ki7	
吊	tiau5	
同	tʰəŋ2	
名	miã2	
后	ɕiau5	
吏	li5	
吐	tʰəu3	
向	ɕioŋ5	
嚇	xa7	
呂	lei3	
君	tən1	
吝	lin5	
吞	tʰiĩ1	
吟	ŋin2	
吠	fei5	
否	sau3	可能是训读
吩	fən1	
含	xø̃ỹ2	
聽	tʰiã1	
啓	kʰi3	
吳	ŋu2	
吵	tsʰau3	
吸	kʰi7	
吹	kʰy1-	
吹	tʰei1=	
吻	vən3	
吼	ɕiau3	
吾	ŋu2	
呆	tai1	
呆	ŋai2	
呈	tʰən2	
告	kau5	
嘔	ȵiau3	
員	ø̃ỹ2	
呢	ȵi2	
周	təu1	
味	vei5	
呼	fu1	
命	min5=	〜令
命	miã5-	生〜
和	xo2	
詠	vən5	
咐	fu5	
咒	təu5	
咨	tsɿ1	
咬	ŋau3	
咸	xã2	
咽	iĩ5	
哀	ŋai1	
品	pʰin3	
哄	kʰəŋ3	
哈	xa1	
響	ɕioŋ3	
啞	ŋa3	
哥	ko1	
哭	kʰu7	
哲	tø7	
哼	ɕiĩ1	
哽	kã3	
唆	so1	
脣	sən2	
唐	tʰoŋ2	
嘮	lau2	
喚	xø̃ỹ5	
售	tʰəu2	
唯	vei2	
唱	tʰoŋ5	
唾	tʰo5	
啄	tso7	
商	soŋ1	
嗇	ɕie7	
囉	lo1	
啼	tʰi2	
喂	y5	
喂	vei5	
善	sø̃ỹ5	
喉	ɕiau2	
喊	xã3	
喘	tʰø̃ỹ3	
喜	tɕʰi3-	
喜	ɕi3	
喜	kʰi3=	
喝	kʰo7	
喝	kʰo7	〜彩
喧	sø̃ỹ1	
噴	pʰəŋ1	〜香
噴	fən5	〜水
喻	y5	
嗅	ɕiəu5	
嗓	soŋ3	
嗜	sɿ5	
嗣	tsʰɿ5	
嗤	tsʰɿ1	
嗽	ɕiau5	
嘉	kia1	
嘘	fy1	
囑	təu7	
嘲	tsʰau2	
嘴	tɕi3	
嘹	liau2	
噍	tɕiau5	
器	kʰi5	
嚎	xau2	
囂	ɕiau1	
嚷	ioŋ3	
嚼	tɕio7	
囊	loŋ2	
囚	tɕʰiəu2	
四	sɿ5	
回	fei2	
因	in5	
团	tʰø̃ỹ2	
囤	tʰən2	
園	ø̃ỹ2	
困	kʰən5	
囱	tʰəŋ1	
圍	mei2	可能是训读
固	ku5	
國	kø7	
圖	tʰəu2	
圓	ŋø̃ỹ2	
圈	tʰø̃ỹ1	
土	tʰəu3	
聖	sən5	
在	tsʰai5	
圭	kʰei1	
地	tʰi5	
場	tʰoŋ2	
址	tsɿ3	
均	tən1	
坊	xoŋ3	
坎	kʰø̃ỹ3	
壞	fai5	
坐	tsʰo5	
坑	kʰã1	
塊	kʰai3	
堅	kiĩ1	
坛	tʰã2	
壩	pa5	
墳	fən2	
墜	tei5	
坡	pʰo1	
坤	kʰən1	
坦	tʰã3	
坪	pʰiã2	
坯	pʰi1	
坳	ŋau5	
垂	tʰei2	
壟	ləŋ2	
型	ɕin2	
垒	lei3	
垜	tʰo5	
垢	kiau5	
墾	kʰiĩ3	
墊	tʰiĩ5	
垮	kʰa3	
埃	ŋai2	
埋	mai2	
城	tʰən2	
域	y7	
埠	pʰu5	
培	pʰei2	
基	ki1	
堂	tʰoŋ2	
堆	tei1	
墮	tʰo5	
堡	pau3	
堤	tʰi2	
堪	kʰø̃ỹ1	
堰	iĩ5	
堵	təu3	
塋	iã2	
塌	tʰa7	
塍	sən2	
塑	so7	
塔	tʰa7	
塘	tʰoŋ2	
塞	ɕie7	
填	tʰiĩ2	
塾	səu7	
境	kin5	
墓	mo5	
牆	tɕʰioŋ2	
增	tɕiĩ5	
墨	mø7	
墩	tən1	
壁	pia7	
壅	in5	
壕	xau2	
壤	ioŋ3	
士	sɿ5	
壬	vən2	
壯	tsoŋ5	
聲	sã1	
殼	kʰo7	
壺	fu2	
處	kʰy3	〜理
處	kʰy5	〜所
備	pʰei5	
复	fu7	
夏	ɕia5	
夕	ɕi7	
外	vai5	
多	to1	
夜	ia5	
够	kiau5	
大	tʰai5	
天	tʰiĩ1	
太	tʰai5	
夫	fu1	
央	ioŋ1	
夯	xã1	
失	sɿ7	
頭	tʰiau2	
夷	i2	
夸	kʰa1	
夾	ka7	
奪	tʰø7	
奇	kʰi2	
奈	lai5	
奉	fəŋ5	
奮	fən5	
奎	kʰei1	
奏	tɕiau5	
契	kʰi5	
奔	pən1	
獎	tɕioŋ3	
套	tʰau5	
奚	ɕi1	
奠	tʰiĩ5	
奢	sa1	
奧	ŋau5	
女	ȵy3	
奴	ləu2	
奶	lai3	
奸	kã1	
好	xau3	〜坏
好	xau5	喜〜
如	y2	
妃	fei1	
妄	oŋ2	
妝	tsoŋ1	
媽	ma1	
妖	iau1	
妙	miau5	
妥	tʰo3	
妨	xoŋ2	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰie7	
姆	m̩1	〜妈:妈妈
姊	tsɿ3	
始	sɿ3	
姐	tɕia3	
姑	ku1	
姓	ɕiã5	
委	vei3	
姚	iau2	
姜	kioŋ1	
姥	lau3	
姨	i2	
姻	in5	
姿	tsɿ1	
威	vei1	
嬌	kiau1	
娘	ȵioŋ2	
娠	sən1	
娩	miĩ3	
娛	ŋu2	
娛	ŋy2	
娶	tɕʰi3	
婆	pʰo2	
婉	ø̃ỹ3	
婚	fən1	
婢	pʰei5	
嬰	in5	
嬸	sən3	
婿	ɕi5	
媒	mi2-	
媒	mei2	
媚	mei2	
媳	ɕi7	
媾	kiau5	
嫁	ka5	
嫂	sau3	
嫌	ɕiĩ2	
嫖	pʰiau2	
嫡	ti7	
嫩	lən5	
嬉	ɕi1	
孀	soŋ1	
子	tsɿ3	
孔	kʰəŋ3	
孕	vən5	
字	tsʰɿ5	
存	tsʰən2	
孫	sən1	
孝	xau5	
孟	məŋ5	
季	tɕi5	
孤	ku1	
學	xo7	
孩	xai5	
孰	səu7	
孵	pʰau5	
孽	ŋie7	
寧	lin2	
它	xa1	
宅	tɕʰie7	
宇	y3	
守	səu3	
安	ŋø̃ỹ1	
宋	səŋ5	
完	xø̃ỹ2	
宏	fəŋ2	
宕	tʰoŋ5	
宗	tsəŋ1	
官	kø̃ỹ1	
宙	tʰəu5	
定	tʰin5	
宛	ø̃ỹ3	
宜	ŋi2	
寶	pau3	
實	sɿ7	
寵	tʰəŋ3	
審	sən3	
客	kʰa7	
宣	ɕiĩ1	
室	sɿ7	
宦	fã5	
宪	ɕiĩ5	
宮	kəŋ1	
宰	tsai3	
害	xai5	
宴	iĩ5	
宵	ɕiau1	
家	ka1-	
家	kia1=	
容	in2	
寬	kʰø̃ỹ1	
賓	pin1	
宿	səu7	
宿	ɕiəu7	
寂	tɕʰi7	
寄	ki5	
寅	in2	
密	mi7	
寇	kʰiau5	
富	fu5	
寐	mei5	
寒	xø̃ỹ2	
寓	ŋy5	
寢	tɕʰin3	
寞	mo7	
察	tsʰa7	
寡	ka3	
寨	sai5	
寸	tsʰən5	
對	tei5	
寺	tsʰɿ5	
尋	tɕʰin2	
導	tʰau5	
壽	səu5	
封	fəŋ1	
射	sa5	
將	tɕioŋ1	〜来
將	tɕioŋ5	大〜
尊	tsən1	
小	ɕiau3	
少	sau5	〜年
少	sau3	多〜
尔	y3	
尖	tɕiĩ5	
塵	tʰən2	
尚	soŋ5	
嘗	soŋ2	
尤	iəu2	
堯	ŋiau2	
尬	kai5	
就	tɕʰiəu5	
尷	kã1	
屍	sɿ1	
尹	vən3	
尺	tʰa7	
尼	ȵi2	
尽	tɕʰin5	
尾	vei3	
局	ky7	
屁	pʰi5	
層	tɕʰiĩ2	
居	ky1	
屈	ky7	
屉	tʰi2	
屆	kai5	
屋	vu7	
屍	sɿ1	
屎	sɿ3	
屏	pʰin2	
屐	ki7	
屑	ɕie7	
展	tø̃ỹ3	
屬	səu7	
屠	tʰəu2	
屢	lei3	
屯	tʰən2	
山	sã1	
歲	ɕi5	
歲	sei5	
豈	kʰi3	
岐	kʰi2	
岔	tsʰa1	
崗	koŋ1	
島	tau3	
巖	ŋã2	
嶺	liã3	
岳	io7	
岸	ŋø̃ỹ5	
峽	ɕia7	
峰	fəŋ1	
崇	tsʰəŋ2	
崔	tsʰei1	
崖	ŋai2	
崩	pən1	
崽	tai3-	
崽	tsai3=	
嵌	xã5	
川	tʰø̃ỹ1	
州	təu1	
巡	sən2	
巢	tsʰau2	
工	kəŋ1	
左	tso3	
巧	kʰiau3	
巨	ky5	
鞏	kəŋ3	
巫	vu1	
差	tsʰai1	
差	tsʰa1	〜别
己	ki3	
己	i3	
巳	tsʰɿ5	
巴	pa1	
巷	xoŋ5	
巾	kin1	
幣	pʰei5	
市	sɿ5	
布	pu5	
帥	sai5	
帆	fã1	
師	sɿ1	
希	ɕi1	
帳	toŋ5	
帕	pʰa7	
帖	tʰie7	
帘	liĩ2	
帚	təu3	
帛	pʰø7	
幟	tsɿ7	
帝	tei5	
帶	tai5	
席	ɕi7	主〜
幫	poŋ1	
常	soŋ2	
帽	mau5	
幅	fu7	
幌	xoŋ3	
幔	mã5	
幕	mo5	
干	kø̃ỹ1	
干	kã5	〜部
平	pʰiã2	
年	ȵiĩ2	
并	pin5	
幸	xin5	
幺	iau1	
幻	fã5	
幼	iəu5	
幽	iəu1	
廣	koŋ3	
莊	tsoŋ1	
慶	kʰin5	
庇	pʰi5	
牀	tsʰoŋ2	
序	ɕi5	
廬	ləu2	
庫	kʰu5	
應	in5	〜当
應	in5	响〜
底	ti3	
店	tiĩ5	
廟	miau5	
庚	kiĩ1	
府	fu3	
龐	pʰoŋ2	
廢	fei5	
度	tʰəu5	
座	tsʰo5	
庭	tʰin2	
庵	ŋø̃ỹ1	
庶	fy5	
康	kʰoŋ1	
廉	liĩ2	
廊	loŋ2	
廓	ko7	
廖	liau5	
延	iĩ2	
廷	tʰin2	
建	kiĩ5	
開	kʰai1	
异	i5	
弃	kʰi5	
弄	ləŋ5	
弊	pʰei5	
式	sɿ5	
弓	kəŋ1	
引	in3	
弘	fəŋ2	
弟	tʰi5	
張	toŋ1	
弥	mei2	
弦	ɕiĩ2	
彎	vã1	
弱	ȵio7	
彈	tʰã2	〜琴;子〜
强	kʰioŋ2	
歸	kei1	
當	toŋ1	〜时
當	toŋ5	上〜
录	ləu7	
彗	fei5	
形	ɕin2	
彩	tsʰai3	
彪	piau1	
彭	pʰã2	
影	iã3	
役	y7	
徹	tʰø7	
彼	pʰi3	
往	oŋ3	
征	tən1	
徑	kin5	
待	tʰai5	
很	ɕiĩ3	
律	li7	
徐	tɕʰi2	
徒	tʰəu2	
得	tie7	
徙	ɕi3	
御	ŋy5	
循	sən2	
微	vei2	
德	tie7	
徽	fei1	
心	ɕin1	
必	pi7	
憶	i5	
忌	kʰi5	
忍	ȵin3	
忏	tsʰã5	
忖	tsʰən5	
志	tsɿ5	
忘	oŋ2	
忙	moŋ2	
忠	təŋ1	
憂	iəu1	
快	kʰai5	
念	ȵiĩ5	
忽	fei7	
忿	fən5	
懷	fai2	
態	tʰai5	
慫	səŋ3	
怒	ləu5	
怕	pʰa5	
怖	pʰu5	
憐	liĩ2	
思	sɿ1	
怠	tʰai5	
急	ki7	
性	ɕin5	
怨	ø̃ỹ5	
怪	kai5	
怯	kʰy5	
總	tsəŋ3	
恃	sɿ5	
戀	liĩ5	
恍	xoŋ3	
恐	kʰəŋ3	
恆	ɕiĩ2	
恕	fy5	
恙	ioŋ5	
恢	kʰei1	
恤	ɕi7	
恨	ɕiĩ5	
恩	ŋiĩ1	
恭	kəŋ1	
息	ɕi7	
恰	kʰia7	
懇	kʰiĩ3	
恶	vu5	
恶	ŋo7	
惱	lau3	
恿	in3	
悄	ɕiau1	
悉	ɕi7	
悔	fei3	
悟	ŋu5	
悠	iəu1	
患	fã5	
悦	ø7	
懸	sø̃ỹ2	
憫	min3	
悲	pei1	
悼	tiau5	
情	tɕʰin2	
驚	kiã1	
惋	ø̃ỹ3	
惑	xø7	
惕	tʰi7	
惜	ɕi7	
惟	vei2	
惠	fei5	
懼	kʰy5	
慘	tsʰã3	
懲	tʰən3	
慚	tsʰã2	
慣	kã5	
惰	tʰo5	
想	ɕioŋ3	
惹	ȵia3	
愁	tɕʰiau2	
愈	y5	
愉	y2	
意	i5	
愚	ŋy2	
感	kø̃ỹ3	
憤	fən5	
愧	kʰei5	
願	ŋø̃ỹ5	
慈	tsʰɿ2	
慌	xoŋ3	
慎	sən5	
慕	mo5	
慢	mã5	
慧	fei5	
慨	kʰai5	
慪	ȵiau3	
慰	vei5	
慷	kʰoŋ3	
憎	tɕiĩ5	
憨	xø̃ỹ1	
憾	xø̃ỹ5	
懂	təŋ3	
懈	xai5	
懊	ŋau5	
懶	lã3	
懦	lo5	
懵	fəŋ3	可能是训读
戈	ko1	
戊	vu5	
戌	ɕi7	
戍	fy5	
戎	in2	
戲	kʰi5	
成	tʰən2=	〜功
成	sã2-	变~
我	ŋo5	
戒	kai5	
或	xø7	
戰	tø̃ỹ5	
戚	tɕʰi7	
戟	ki7	
截	tɕʰie7	
戳	tsʰo7	
戴	tai5	
戶	fu5	
房	xoŋ2	
所	so3	
扁	piĩ3	
扇	sø̃ỹ5	
手	səu3	
才	tsʰai2	
扎	tsa7	
扑	pʰu7	
打	ta3	
扔	vən2	
托	tʰø7	
扛	koŋ1	
扣	kʰiau5	
執	tsɿ7	
擴	kʰo7	
掃	sau5	
揚	ioŋ2	
扭	ȵiəu3	
扮	pʰã5	
扯	tʰa3	
擾	iau3	
扳	pã1	
扶	fu2	
批	pʰi1	
扼	ŋie7	
扽	tən1	
找	tsau3	
承	sən2	〜重，〜得起
承	tʰən2=	〜认
技	kʰi5	
抄	tsʰau1	
把	pa3	
抑	i7	
抓	tsa1	
投	tʰiau2	
抖	tiau3	
抗	kʰoŋ5	
折	tø7	
折	tø7	〜断
折	sø7	〜本
撫	fu3	
抛	pʰau1	
摳	kʰiau1	
搶	tɕʰioŋ3	
護	fu5	
報	pau5	
披	pʰi1	
抬	tʰai2	
抱	pʰau5	
抵	ti3	
抹	ma7	
抹	mø7	
押	ia7	
抽	tʰəu1	
抿	min3	
拄	kʰy3	
擔	tã1	〜任
擔	tã5	挑〜
拆	tsʰa7	
拇	mo3	
拈	ȵiĩ1	
拉	la7	
拌	pʰø̃ỹ5	
拍	pʰa7	
拐	kai3	
拒	ky5	
拔	pʰa7	
拖	tʰo1	
拘	ky1	
拙	ky7	
拚	pʰø̃ỹ1	
招	tau1	
拜	pai5	
擬	ŋi3	
攏	ləŋ3	
揀	kã3	
擁	in5	
攔	lã2	
撥	pø7	
擇	tɕʰie7	
括	ka7	
拯	tən3	
拱	kəŋ3	
拳	tʰø̃ỹ2	
拴	sø̃ỹ1	
拷	kʰau3	
拼	pʰiã1	
拾	sɿ7	
拿	la7	
持	tsʰɿ2	
挂	ka5	
指	tsɿ3	
按	ŋø̃ỹ5	
挑	tʰiau1	
挖	va7	
挾	ka7	
撓	ȵiau2	
擋	toŋ3	
擠	tɕi3	
揮	fei1	
挨	ŋai1	
挪	lo2	
振	tən5	
挺	tʰin3	
挽	vã3	
捅	tʰəŋ3	
捆	kʰən3	
捉	tso7	
捋	lø7	
捎	sau1	
捏	ȵie7	
捐	tø̃ỹ1	
捕	pʰu1	
撈	lau2	
損	sən3	
換	xø̃ỹ5	
搗	tau3	
捧	pən1	
据	ky5	
捱	ŋai2	
捷	tɕʰie7	
捺	la7	
捻	ȵiĩ3	
掀	kʰiĩ1	
掀	tɕʰin3	按
掂	tiĩ5	
授	səu5	
掉	tʰiau5	
掌	toŋ3	
掏	tʰau1	
掐	kʰa7	
排	pʰai2	
掘	ky7	
掠	lio7	
探	tʰã1	
接	tɕie7	
控	kʰəŋ5	
推	tʰei1	
掩	iĩ3	
措	tsʰəu5	
掫	tɕiau1	
掰	pã1	
擲	tiã5	
撣	tʰã3	
揉	iəu2	
描	miau2	
提	tʰia2-	
提	tʰi2	
插	tsʰa7	
揖	i7	
握	o7	
揢	kʰa1	
揩	kai1	
揪	tɕʰiəu1	
揭	kie7	
援	ø̃ỹ2	
攬	lã3	
攙	tsʰã2	
擱	ko7	
摟	liau3	
攪	kiau3	
搊	tɕʰiau1	
搓	tsʰo1	
搔	sau1	
搛	kʰiĩ2	
搜	səu1	
搞	kau3	
搧	sø̃ỹ1	
搬	pø̃ỹ1	
搭	ta7	
搽	tsʰa2	
攝	sø7	
摆	pai3	
摇	iau2	
攤	tʰã1	
摘	tsa7	
摩	mo2	
摸	mo1	
撇	pʰie7	
撑	tsʰã5	
撒	sa7	
撕	sɿ1	
撞	tsʰoŋ5	
撤	tʰø7	
撩	liau2	
播	po5	
撮	tsø7	
撰	tsø7	
攆	ȵiĩ3	
撼	xø̃ỹ5	
擂	lei2	
操	tsʰau1	
擎	kin1	
擒	kʰin2	
擦	tsʰa7	
擩	y7	
攀	pʰã1	
攢	tsø̃ỹ3	
攘	ioŋ3	
支	tsɿ1	
收	səu1	
改	kai3	
攻	kəŋ1	
放	xoŋ5	
政	tən5	
故	ku5	
效	ɕiau5	
敵	tʰi7	
敏	min3	
救	kiəu5	
教	kau5-	〜书
教	kiau5=	〜育
斂	liĩ5	
敝	pʰei5	
敝	pʰei7	
敞	tʰoŋ3	
敢	kø̃ỹ3	
散	sã5	分~
散	sã3	松〜
敦	tən1	
敬	kin5	
數	səu5	〜目
數	səu3	動詞，~一~
敲	kʰau1	
整	tã3	〜理
整	tən3=	〜齐
敷	fu1	
文	vən2	
齋	tsai1	
斑	pã1	
斗	tiau3	
斗	tiau5	
料	liau5	
斜	tɕʰia2	
斟	tən1	
斤	kin1	
斥	tsʰɿ7	
斧	fu3	
斬	tsã3	
斷	tø̃ỹ5	
斯	sɿ1	
新	ɕin1	
方	xoŋ1	
施	sɿ1	
旁	pʰoŋ2	
旅	li3	
旋	ɕiĩ2	〜转
旋	tɕʰiĩ5	〜风
族	tsʰəu7	
旗	kʰi2	
無	vu2	
既	ki5	
日	ȵi7-	
日	y7=	
旦	tã5	
舊	kʰiəu5	
旨	tsɿ3	
早	tsau3	
旬	sən2	
旭	kʰiəu7	
