#漢字	音標	解釋#('cmn_jh_hx_aq_tc', '桐城話', '桐城', '#8B0000', None, None, '來源：《桐城縣誌》，“空島。”整理修改', '31 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,335 3 2 上 ꜂,,54 5 3 去 ꜄,,5 7 4 入 ꜆', None, None)
僅	tɕiən3	
仆	pʰəʔ7	
仇	tɕʰiəu2	姓氏
今	kən1	
介	kɛ5	白
介	tɕiɛ5	文
仍	ʐən1	
从	tsʰən2	
仑	nən2	
倉	tsʰã1	
仔	tsɿ3	
仕	sɿ5	
他	tʰa1	
仗	ʈʂã5	
付	fu5	
仙	ɕiɛ̃1	
代	tɛ5	
令	niən5	
以	i3	
儀	i2	
仰	niã3	
仲	ʈʂʯən5	
件	tɕiɛ̃5	
價	tɕia5	
任	ʐən1	姓氏
任	ʐən5	
份	fən5	
仿	fã3	
企	tɕʰi3	
伏	fəʔ7	
伐	faʔ7	
休	ɕiəu1	
衆	ʈʂʯən5	
優	iəu1	
伙	xo3	
會	xuei5	
會	kuɛ7	～计
傘	sã3	
偉	uei3	
傳	ʈʂʰʯɛ̃2	～说
傳	ʈʂʯɛ̃5	～记
傷	ʂã1	
倫	nən2	
僞	uei3	
伯	peʔ7	
估	ku3	
伴	põ5	
伶	niən2	
伺	tsʰɿ5	
似	sɿ1	
似	sɿ5	
佃	tiɛ̃5	
但	tã5	
位	uei5	
低	ti1	
住	ʈʂʯ5	
佐	tso3	
佑	iəu5	
體	tʰi3	
何	xo2	
余	ʯ2	
佛	fəʔ7	
作	tsoʔ7	
佞	niən5	
你	ni3	
佩	pʰei5	
使	sɿ3	
侃	kʰã3	
侄	ʈʂəʔ7	
例	ni5	
供	tɕi3	
供	kuən5	
依	i1	
俠	ɕiaʔ7	
偵	ʈʂən1	
側	tsʰeʔ7	
侮	u3	
侯	xəu2	
侵	tɕʰiən1	
便	pʰiɛ̃2	～宜
便	piɛ̃5	
促	tsʰəʔ7	
俄	ŋo2	
俊	ʈʂʯən5	
俏	tɕʰiɔ5	
俗	səʔ7	
俘	fu2	
保	pɔ3	
信	ɕiən5	
儼	niɛ̃2	
儉	tɕiɛ̃3	
修	ɕiəu1	
俯	fu3	
俸	fən5	
俺	ŋã3	
倍	pei5	
倒	tɔ3	打～
倒	tɔ5	～车
倔	ʈʂʯeʔ7	
倘	tʰã3	
候	xəu5	
借	tɕie5	
倡	ʈʂʰã5	
倪	ni2	
倭	uo1	
債	tsɛ5	
值	ʈʂəʔ7	
傾	tɕʰiən1	
假	tɕia3	
假	tɕia5	
偕	ɕie2	
做	tso5	
停	tʰiən2	
偶	ŋəu3	
偷	tʰəu1	
傅	fu5	
傍	pã5	
儲	ʈʂʰʯ2	
催	tsʰei1	
傲	ŋɔ5	
傻	ʂa3	
像	ɕiã5	
僧	sən1	
僵	tɕiã1	
僻	piəʔ7	
儒	ʯ2	
儡	nei3	
兒	ɔ2	
允	ʯən3	
元	ʯɛ̃2	
兄	ʂʯən1	
充	ʈʂʰʯən1	
兆	ʈʂɔ5	
先	ɕiɛ̃1	
光	kuã1	
克	kʰeʔ7	
免	miɛ̃3	
兔	tʰəu5	
黨	tã3	
兜	təu1	
兢	tɕiən1	
入	ʐəʔ7	
全	tɕʰiɛ̃2	
八	paʔ7	
公	kuən1	
六	nəʔ7	
兮	ɕi1	
蘭	nã2	
共	kuən5	
關	kuã1	
興	ɕiən1	～旺
興	ɕiən5	高～
兵	piən1	
其	tɕʰi2	
具	ʈʂʯ5	
典	tiɛ̃3	
兹	tsɿ1	
養	iã3	
兼	tɕiɛ̃1	
獸	ʂəu5	
冀	tɕi5	
內	nei5	
岡	kã1	
冉	ʯɛ̃3	
冊	tsʰeʔ7	
再	tsɛ5	
冒	mɔ5	
冗	ʯən3	
寫	ɕie3	
軍	ʈʂʯən1	
農	nən2	
冠	kõ1	
冠	kõ5	～军
冤	ʯɛ̃1	
冥	miən3	
冬	tən1	
馮	fən2	
冰	piən1	
冲	ʈʂʰʯən1	～动
冲	ʈʂʰʯən5	
决	ʈʂʯeʔ7	
况	kʰuã5	
冶	ie3	
冷	nən3	
凍	tən5	
淨	tɕiən5	
凄	tɕʰi1	
準	ʈʂʯən3	
凉	niã2	
凌	niən2	
減	tɕiɛ̃3	
湊	tsʰəu5	
凛	niən2	
凝	niən2	
几	tɕi1	～乎
几	tɕi3	～个，茶～
凡	fã2	
鳳	fən5	
凭	pʰiən2	
凱	kʰɛ3	
凳	tən5	
凶	ʂʯən1	
凶	ŋoʔ7	
出	ʈʂʰʯəʔ7	
擊	tɕiəʔ7	
函	xã2	
刀	tɔ1	
刀	pa5	
刁	tiɔ1	
刃	ʐən5	
分	fən1	
切	tɕʰieʔ7	
刎	uən3	
刑	ɕiən2	
划	xua2	～船
划	xua5	计～
列	nieʔ7	
劉	tʰiəu2	
則	tseʔ7	
剛	kã1	
創	ʈʂʰʯã5	
刪	ʂɛ̃1	
判	pʰõ5	
刨	pʰɔ2	
利	ni5	
别	pieʔ7	
刮	kuaʔ7	
到	tɔ5	
制	ʈʂʅ5	
刷	ʂʯaʔ7	
刺	tsʰɿ1	火星喷冒
刺	tsʰɿ5	～刀
刻	kʰeʔ7	
剁	to5	
削	ɕioʔ7	
前	tɕʰiɛ̃2	
劍	tɕiɛ̃5	
剔	tʰiəʔ7	
剖	pʰo5	
剝	poʔ7	
劇	ʈʂʯ5	
剩	ʂən5	
剪	tɕiɛ̃3	
副	fu5	
割	koʔ7	
剿	tɕiɔ3	
劈	pʰi1	
力	niəʔ7	
勸	ʈʂʰʯɛ̃5	
辦	pã5	
功	kuən1	
加	tɕia1	
務	u5	
劣	nieʔ7	
動	tən5	
劫	tɕieʔ7	
勵	ni5	
勁	tɕiən5	
勞	nɔ2	
勢	ʂʅ5	
勃	poʔ7	
勇	ʯən3	
勉	miɛ̃3	
勒	neʔ7	
勘	kʰã1	
募	mo5	
勤	tɕʰiən2	
勳	ʂʯən1	
勾	kəu1	
勿	uəʔ7	
勻	ʯən2	
包	pɔ1	
匆	tsʰən1	
化	xua5	
北	peʔ7	
匙	ʈʂʰʅ2	
匠	tɕiã5	
匡	kʰuã1	
匪	fei3	
匹	pʰi2	
區	ʈʂʰʯ1	
區	ŋəu1	姓氏
醫	i1	
匾	piɛ̃3	
匿	ni5	
十	ʂəʔ7	
千	tɕʰiɛ̃1	
午	u3	
卉	xuei5	
半	põ5	
華	xua2	中～
華	xua5	姓氏
卑	pei1	
卒	tsəʔ7	
卓	ʈʂʯeʔ7	
單	tã1	
單	ʂɛ̃5	姓
賣	mɛ5	
南	nã2	
南	nõ2	
博	poʔ7	
占	ʈʂɛ̃1	～卜
占	ʈʂɛ̃5	
卡	kʰa3	
卦	kua5	
衛	uei5	
卯	mɔ3	
印	iən5	
危	uei2	
即	tɕiəʔ7	
卵	nõ3	
卷	ʈʂʯɛ̃3	～纸
卷	ʈʂʯɛ̃5	试～
卸	ɕie5	
卿	tɕʰiən1	
廠	ʈʂʰã3	
厄	ŋoʔ7	
廳	tʰiən1	
历	niəʔ7	
厲	ni5	
壓	ŋaʔ7	动词，白
厭	iɛ̃5	
廁	sɿ1	茅～
廁	tsʰeʔ7	
厘	ni2	
厚	xəu5	
原	ʯɛ̃2	
廂	ɕiã1	
厥	ʈʂʯeʔ7	
廚	ʈʂʰʯ2	
厮	sɿ1	
去	tɕʰi5	
縣	ɕiɛ̃5	
参	tsʰã1	～加
参	ʈʂʰã1	～加
又	iəu5	
叉	ʈʂʰa1	
及	tɕiəʔ7	
友	iəu3	
雙	ʂʯã1	
反	fã3	
发	faʔ7	
取	tɕʰi3	白
受	ʂəu5	
變	piɛ̃5	
敘	ʂʯ5	
叛	pʰõ5	
叟	səu3	
疊	tieʔ7	
口	kʰəu3	
古	ku3	
句	ʈʂʯ5	
另	niən5	
叨	tɔ1	
叩	kʰəu5	
只	ʈʂʅ1	
只	ʈʂʅ3	
只	ʈʂəʔ7	
叫	tɕiɔ5	
召	ʈʂɔ5	
可	kʰo3	
台	tʰɛ2	
史	sɿ3	
右	iəu5	
葉	ieʔ7	
號	xɔ5	
司	sɿ1	
嘆	tʰã5	
吃	tɕʰiəʔ7	
各	koʔ7	
合	xoʔ7	
吉	tɕiəʔ7	
吊	tiɔ5	
同	tʰən2	
名	miən2	
名	pu5	
后	xəu5	
吏	ni5	
吐	tʰəu5	
嚇	xeʔ7	
君	ʈʂʯən1	
吝	niən5	
吞	tʰən1	
吟	iən2	
吠	fei5	
否	fu3	
含	xã2	
听	tʰiən5	
启	tɕʰi3	
吱	ʈʂʅ1	
吴	u2	
吵	ʈʂʰɔ3	
吹	ʈʂʰʯei1	
吻	uən3	
吼	xəu3	
吾	u2	
呆	tɛ1	
囈	i5	
嘔	ŋəu3	
員	ʯɛ̃2	
嗆	tɕʰiã5	
呢	ni2	
味	uei5	
呼	xu1	
命	miən5	
和	xo2	
咎	tɕiəu5	
咨	tsɿ1	
咪	mi1	
咬	ŋɔ3	
咬	iɔ3	文
咳	kʰeʔ7	
咸	xã2	
咽	iɛ̃5	
哀	ŋɛ1	
品	pʰiən3	
哄	xuən3	
哇	ua1	
哈	xa1	
響	ɕiã3	
啞	a3	
哥	ko1	
哪	na3	文
哭	kʰuəʔ7	
哲	ʈʂeʔ7	
哽	kən3	
哽	kən5	
唆	so1	
脣	ʈʂʰʯən2	
唐	tʰã2	
嘮	nɔ1	
喚	xõ5	
售	ʂəu5	
唯	uei2	
唱	ʈʂʰã5	
唾	tʰo5	
啃	kʰən3	
啄	ʈʂo1	
啄	ʈʂʯeʔ7	文
商	ʂã1	
嘯	ɕiɔ5	
啼	tʰi2	
喂	uei5	
善	ʂɛ̃5	
喇	na3	
喉	xəu2	
喊	xã3	
喘	ʈʂʰʯɛ̃3	
喜	ɕi3	
喝	xoʔ7	
噴	pʰən1	～洒
噴	pʰən5	～香
喻	ʯ5	
嗅	ɕiəu5	
嗍	soʔ7	
嗓	sã3	
嗟	tɕie1	
嗤	ʈʂʰʅ1	
嗽	səu5	
嘉	tɕia1	
噓	ʂʯ1	
囑	ʈʂʯəʔ7	
嘶	sɿ1	
嘻	ɕi1	
噎	ieʔ7	
器	tɕʰi5	
囂	ɕiɔ1	
嚷	ʐã3	
囊	nã2	
囚	tɕʰiəu2	
四	sɿ5	
回	xuei2	
因	iən1	
团	tʰõ2	
囤	tʰən2	
園	ʯɛ̃2	
困	kʰuən5	
囱	tsʰən1	
圍	uei2	
固	ku5	
國	kuoʔ7	
圖	tʰəu2	
圓	ʯɛ̃2	
圈	ʈʂʰʯɛ̃1	圆～
圈	ʈʂʯɛ̃5	猪～
土	tʰəu3	
聖	ʂən5	
在	tsɛ5	
圭	kuei1	
地	ti5	
場	ʈʂʰã3	
址	ʈʂʅ3	
均	ʈʂʯən1	
坍	tʰã1	
坎	kʰã3	
壞	kʰuɛ5	
坐	tso5	
坑	kʰən1	
塊	kuɛ7	
堅	tɕiɛ̃1	
坛	tʰã2	
塢	u1	
墳	fən2	
墜	ʈʂʯei5	
坡	pʰo1	
坤	kʰuən1	
坦	tʰã3	
坯	pʰi1	
坼	tsʰeʔ7	
垂	ʈʂʰʯei2	
壟	nən3	
型	ɕiən2	
垒	nei3	
垢	kəu5	
墾	kʰən3	
墊	tiɛ̃5	
垮	kʰua3	
埃	ŋɛ2	
埋	mɛ2	
域	ʯəʔ7	
埠	pʰu5	
培	pʰei2	
基	tɕi1	
堂	tʰã2	
堆	tei1	
墮	to5	
堡	pɔ3	
堤	ti1	
堪	kʰã1	
堰	iɛ̃5	
堵	təu3	
塌	tʰaʔ7	
塑	səu5	
塔	tʰaʔ7	
塚	ʈʂʯən3	
塞	seʔ7	
填	tʰiɛ̃2	
境	tɕiən5	
墅	ʂʯ5	
墓	mo5	
牆	tɕʰiã2	
增	tsən1	
墟	ʂʯ1	
墨	meʔ7	
墩	tən1	
壁	piəʔ7	
壑	xoʔ7	
壤	ʐã3	
壩	pa5	
士	sɿ5	
壬	ʐən1	
壯	ʈʂʯã5	
殼	kʰoʔ7	
壺	xu2	
處	ʈʂʰʯ3	～理
處	ʈʂʰʯ5	～长
備	pei5	
复	fəʔ7	
夏	ɕia5	
夔	kʰuei2	
夕	ɕiəʔ7	
外	uɛ5	
夙	səʔ7	
多	to1	
夜	ie5	
够	kəu5	
大	ta5	
大	tɛ5	～夫
天	tʰiɛ̃1	
太	tʰɛ5	
夫	fu1	
夭	iɔ1	
央	iã1	
失	ʂəʔ7	
頭	tʰəu2	
夷	i2	
夸	kʰua1	
夾	kaʔ7	
奪	toʔ7	
奇	tɕʰi2	
奈	nɛ5	
奉	fən5	
奮	fən5	
奎	kʰuei2	
契	tɕʰi5	
奔	pən1	
獎	tɕiã3	
套	tʰɔ5	
奚	ɕi1	
奠	tiɛ̃5	
奢	ʈʂʰe1	
奧	ŋɔ5	
女	nʯ1	
奶	nɛ3	
奸	tɕiɛ̃1	
好	xɔ3	
好	xɔ5	
如	ʯ2	
妃	fei1	
婦	fu5	
媽	ma1	
妊	ʐən5	
妒	təu5	
妓	tɕi5	
妖	iɔ1	
妙	miɔ5	
妥	tʰo3	
妨	fã2	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰie5	
姊	tsɿ3	
始	sɿ3	
始	ʂʅ3	
姐	tɕie3	
姑	ku1	
姓	ɕiən5	
委	uei3	
姍	ʂɛ̃1	
姚	iɔ2	
姜	tɕiã1	
姨	i2	
姬	tɕi1	
姻	iən1	
姿	tsɿ1	
威	uei1	
娃	ua2	
嬌	tɕiɔ1	
娑	so1	
娘	niã2	
娜	na5	
娩	miɛ̃3	
娛	ʯ2	
娶	tɕʰi3	白
婆	pʰo2	
婉	uã3	
婚	xuən1	
婢	pi5	
婪	nã2	
嬰	iən1	
嬸	ʂən3	
婿	ɕi5	
媒	mei2	
媳	ɕiəʔ7	
嫁	tɕia5	
嫂	sɔ3	
嫌	ɕiɛ̃2	
嫖	pʰiɔ2	
嫡	tiəʔ7	
嫩	nən5	
嬉	ɕi1	
嬴	iən2	
子	tsɿ3	
孔	kʰuən3	
字	tsɿ5	
孫	sən1	
孜	tsɿ1	
孝	ɕiɔ5	
孟	mən5	
季	tɕi5	
孤	ku1	
學	ɕioʔ7	
孩	xɛ2	
孽	nieʔ7	
寧	niən5	
宅	tsɛ2	
宇	ʯ3	
守	ʂəu1	
安	ŋã1	
宋	sən5	
完	uõ2	
宏	xuən2	
宕	tã5	
宗	tsən1	
官	kõ1	
定	tiən5	
宛	uã3	
宜	i2	
寶	pɔ3	
實	ʂəʔ7	
寵	ʈʂʰʯən3	
審	ʂən3	
客	kʰeʔ7	
宣	ɕiɛ̃1	
室	ʂəʔ7	
宥	iəu5	
宮	kuən1	
宰	tsɛ3	
害	xɛ5	
宴	iɛ̃5	
宵	ɕiɔ1	
家	ka1	
容	ʯən2	
寬	kʰõ1	
賓	piən1	
宿	səʔ7	
寄	tɕi5	
寅	iən2	
密	miəʔ7	
寇	kʰəu5	
富	fu5	
寒	xã2	文
寒	xõ2	
寓	ʯ5	
寢	tɕʰiən3	
寞	moʔ7	
察	tsʰaʔ7	
寡	kua3	
寥	niɔ2	
寨	tsɛ5	
寸	tsʰən2	
寸	tsʰən5	
寺	tsʰɿ2	
尋	tɕʰiən2	白
導	tɔ3	
壽	ʂəu5	
封	fən1	
射	ʈʂʰe5	
將	tɕiã1	～军
將	tɕiã5	
尊	tsən1	
小	ɕiɔ3	
少	ʂɔ3	多～
少	ʂɔ5	～年
尔	ɔ3	
尖	tɕiɛ̃1	
尘	ʈʂʰən2	
尚	ʂã5	
尤	iəu2	
堯	iɔ2	
就	tɕiəu5	
尷	kã1	
屍	ʂʅ1	
尹	iən3	
尺	ʈʂʰəʔ7	
尼	ni2	
尽	tɕiən5	
尾	uei3	
尿	niɔ5	
局	ʈʂʯəʔ7	
屁	pʰi5	
屄	pi1	
居	ʈʂʯ1	
屈	ʈʂʰʯəʔ7	
屆	tɕiɛ5	
屋	uəʔ7	
屌	tiɔ3	
屎	ʂʅ3	
屏	pʰiən2	
屑	ɕioʔ7	
展	ʈʂɛ̃3	
屙	uo1	
屬	ʂʯəʔ7	
屠	tʰəu2	
屢	nʯ1	
屯	tʰən2	
山	ʂɛ̃1	
歲	sei5	
岐	tɕʰi2	
岔	ʈʂʰa5	
島	tɔ3	
岩	niɛ̃2	
岭	niən3	
岳	ioʔ7	
岸	ŋã5	
峽	ɕiaʔ7	
峯	fən1	
崇	ʈʂʰʯən2	
崔	tsʰei1	
崩	pən1	
崴	uɛ3	
嵌	kʰã5	
嵩	sən1	
巍	uei1	
川	ʈʂʰʯɛ̃1	
巡	ɕiən2	
巢	ʈʂʰɔ2	
工	kuən1	
左	tso3	
巧	tɕʰiɔ3	
鞏	kuən3	
巫	u1	
差	tsʰɿ1	参差不齐
差	ʈʂʰa1	
差	tsʰɛ1	～差
己	tɕi3	
已	i3	
巳	sɿ5	
巴	pa1	
巷	xã5	
巾	tɕiən1	
幣	pi5	
市	ʂʅ5	
布	pu5	
帥	ʂʯɛ5	
帆	fã1	
師	sɿ1	
希	ɕi1	
帳	ʈʂã5	
帖	tʰieʔ7	
帛	poʔ7	
帝	ti5	
帶	tɛ5	
席	ɕiəʔ7	
幫	pã1	
帷	uei2	
帽	mɔ5	
幅	fəʔ7	
幔	mã5	
幕	mo5	
干	kõ1	
干	kõ5	～部
平	pʰiən2	
年	niɛ̃2	
并	piən5	
幸	ɕiən5	
幺	iɔ1	
幻	xuã5	
幼	iəu5	
幽	iəu1	
廣	kuã3	
莊	ʈʂʯã1	
慶	tɕʰiən5	
庇	pi5	
牀	ʈʂʰʯã2	
序	ʂʯ5	
庫	kʰu5	
應	iən1	～该
應	iən5	
底	ti3	
店	tiɛ̃5	
廟	miɔ5	
庚	kən1	
府	fu3	
龐	pʰã2	
廢	fei5	
度	təu5	
座	tso5	
庵	ŋã1	
庶	ʂʯ5	
康	kʰã1	
庸	ʯən1	
廉	niɛ̃2	
廊	nã2	
廓	kʰuoʔ7	
廖	niɔ5	姓氏
延	iɛ̃2	
廷	tʰiən2	
開	kʰɛ1	
异	i5	
弃	tɕʰi5	
弄	nən5	
弊	pi5	
弋	iəʔ7	
式	ʂʅ5	
弓	kuən1	
引	iən3	
弗	fəʔ7	
弟	ti5	
張	ʈʂã1	
弥	mi2	
弦	ʂʯɛ̃1	
彎	uã1	
弱	ʐoʔ7	
彈	tʰã2	～琴
彈	tã5	子～
强	tɕʰiã2	
弼	pi5	
歸	kuei1	
當	tã1	
當	tã5	～铺
录	nəʔ7	
彗	xuei5	
形	ɕiən2	
彩	tsʰɛ3	
彪	piɔ1	
彬	piən1	
彭	pʰən2	
影	iən3	
役	ʯəʔ7	
彼	pi3	
征	ʈʂən1	
徑	tɕiən5	
待	tɛ5	
律	niəʔ7	
徐	ʈʂʰʯ2	
徒	tʰəu2	
得	teʔ7	
御	ʯ5	
循	ɕiən2	
微	uei1	
德	teʔ7	
徽	xuei1	
心	ɕiən1	
必	piəʔ7	
憶	i5	
忌	tɕi5	
忍	ʐən3	
忏	ʈʂʰã5	
忖	tsʰən3	
志	ʈʂʅ5	
忙	mã2	
忝	tʰiɛ̃3	
忠	ʈʂʯən1	
憂	iəu1	
快	kuɛ7	
念	niɛ̃5	
忽	xuəʔ7	
忿	fən5	
懷	kʰuɛ2	
態	tʰɛ5	
慫	sən3	
慪	ŋəu5	
悵	ʈʂʰã5	
怕	pʰa5	
怖	pu5	
憐	niɛ̃2	
思	sɿ1	
怠	tɛ5	
怡	i2	
急	tɕiəʔ7	
性	ɕiən5	
怨	ʯɛ̃5	
怪	kuɛ5	
戀	niɛ̃5	
恍	xuã3	
恐	kʰuən3	
恕	ʂʯ5	
恙	iã5	
恢	xuei1	
恨	xən5	
恩	ŋən1	
恭	kuən1	
息	ɕiəʔ7	
恰	tɕʰiaʔ7	
懇	kʰən3	
恶	u5	深～痛绝
恶	ŋoʔ7	
惻	tsʰeʔ7	
惱	nɔ3	
悄	tɕʰiɔ1	
悔	xuei3	
悟	u5	
悠	iəu1	
患	xõ5	
悅	ʯeʔ7	
懸	ʂʯɛ̃1	
憫	miən3	
悲	pei1	
悴	tsʰei5	
情	tɕʰiən2	
驚	tɕiən1	
惑	xoʔ7	
惜	ɕiəʔ7	
惠	xuei5	
懼	ʈʂʯ5	
慘	tsʰã3	
懲	ʈʂʰən3	
慚	tsʰã2	
慚	ʈʂʰã2	
憚	tã5	
慣	kuã5	
惰	to5	
想	ɕiã3	
惹	ʯe3	
愉	ʯ2	
意	i5	
愚	ʯ2	
感	kã3	
憤	fən5	
愧	kʰuei5	
願	ʯɛ̃5	
慈	tsʰɿ2	
慌	xuã1	
慎	ʂən5	
慕	mo5	
慢	mã5	
慧	xuei5	
慨	kʰɛ5	
慰	uei5	
憋	pieʔ7	
憎	tsən1	
懂	tən3	
懈	ɕie5	
懈	tɕʰiɛ5	
懊	ŋɔ5	
懶	nã3	
懦	no5	
懵	mən3	
懿	i5	
戈	ko1	
戊	u1	
戌	ʂʯ1	
戍	ʂʯ5	
戎	ʯən2	
戲	ɕi5	
我	ŋo3	
戒	kɛ5	白
戒	tɕiɛ5	文
或	xoʔ7	
戰	ʈʂɛ̃5	
戚	tɕʰiəʔ7	
截	tɕieʔ7	
戳	ʈʂʰʯeʔ7	
戴	tɛ5	
戶	xu5	
戽	xu5	
房	fã2	
所	so3	
扁	piɛ̃3	
扇	ʈʂʰe5	
扇	ʂɛ̃5	
手	ʂəu1	
才	tsʰɛ2	
扎	tsaʔ7	
扑	pʰəʔ7	
打	ta3	
打	niã5	
托	tʰoʔ7	
扣	kʰəu5	
執	ʈʂəʔ7	
擴	kʰuoʔ7	
掃	sɔ3	动词
揚	iã2	
扭	tʰiəu3	
扮	pã5	
擾	ʐɔ3	
扳	pã1	
扶	fu2	
批	pʰi1	
扼	ŋoʔ7	
找	ʈʂɔ3	
承	ʈʂʰən2	
技	tɕi5	
抄	ʈʂʰɔ1	
把	pa3	
把	pa5	
抑	iəʔ7	
抓	ʈʂʯa1	
投	tʰəu2	
抖	təu3	
抗	kʰã5	
折	ʈʂeʔ7	
撫	fu3	
抛	pʰɔ1	
摳	kʰəu1	
搶	tɕʰiã3	
報	pɔ5	
披	pʰi1	
抬	tʰɛ2	
抱	pɔ5	
抵	ti3	
抹	maʔ7	
押	ŋaʔ7	
押	iaʔ7	
拂	fəʔ7	
擔	tã1	
擔	tã5	
拆	tsʰeʔ7	
拇	mo3	
拈	niɛ̃1	
拉	na1	
拌	põ5	
拍	pʰeʔ7	
拎	niən1	
拐	kuɛ3	
拒	ʈʂʯ5	
拔	pʰa1	
拖	tʰo1	
拗	ŋɔ5	
拘	ʈʂʯ1	
拙	ʈʂoʔ7	
招	ʈʂɔ1	
拜	pɛ5	
擬	ni3	
攏	nən3	
揀	kã3	
擁	ʯən1	
攔	nã2	
撥	poʔ7	
擇	tseʔ7	
括	kʰuoʔ7	
拯	ʈʂən3	
拱	kuən3	
拳	ʈʂʰʯɛ̃2	
拴	ʂʯɛ̃1	
拼	pʰiən1	
拽	ʈʂʯɛ5	
拾	ʂəʔ7	
拿	na2	
持	ʈʂʰʅ2	
挂	kua5	
指	ʈʂʅ3	～导
按	ŋã5	
挑	tʰiɔ1	
挑	tã5	
挖	uaʔ7	
撓	nɔ2	
擠	tɕi3	
揮	xuei1	
挨	ŋɛ2	
挪	no2	
振	ʈʂən5	
挺	tʰiən3	
挽	uã3	
捂	u5	
捅	tʰən3	
捆	kʰuən3	
捋	no1	
捎	ʂɔ1	
捏	nieʔ7	
捐	ʈʂʯɛ̃1	
捕	pu3	
撈	nɔ1	
損	sən3	
換	xõ5	
捧	pʰən3	
据	ʈʂʯ5	
捷	tɕieʔ7	
捺	naʔ7	
捻	niɛ̃3	
掀	ɕiɛ̃1	
掂	tiɛ̃1	
授	ʂəu5	
掉	tiɔ5	
掌	ʈʂã3	
掏	tʰɔ1	
掐	kʰaʔ7	
排	pʰɛ2	
掘	ʈʂʯeʔ7	
掠	nioʔ7	
探	tʰã5	
探	tʰõ5	
接	tɕieʔ7	
控	kʰuən5	
推	tʰei1	
掩	iɛ̃3	
措	tsʰo5	
揉	ʐəu2	
描	miɔ2	
提	tʰi2	
插	tsʰaʔ7	
揖	i1	
揣	ʈʂʰʯɛ1	
揩	kʰɛ1	
揪	tɕiəu1	
揭	tɕieʔ7	
援	ʯɛ̃2	
攬	nã3	
攙	ʈʂʰɛ̃1	
攪	tɕiɔ3	
搓	tsʰo1	
搜	səu1	
搬	põ1	
搭	taʔ7	
搽	ʈʂʰa2	
攝	ʂeʔ7	
摆	pɛ3	
摇	iɔ2	
攤	tʰã1	
摔	ʂʯɛ1	
摘	tseʔ7	
摞	no1	
摩	mo2	
摸	mo1	
撇	pʰieʔ7	
撑	tsʰən1	
撒	saʔ7	
撕	sɿ1	
撞	ʈʂʯã5	
撤	ʈʂʰeʔ7	
撩	niɔ2	
播	po1	
撮	tsoʔ7	一～毛
撰	ʈʂʯɛ̃5	
撼	xã5	
擀	kõ3	
擎	tɕʰiən2	
擒	tɕʰiən2	
擦	tsʰaʔ7	
攀	pʰã1	
攘	ʐã3	
支	ʈʂʅ1	
改	kɛ3	
攻	kuən1	
放	fã5	
政	ʈʂən5	
故	ku5	
效	ɕiɔ5	
敵	tiəʔ7	
敏	miən3	
敖	ŋɔ2	
教	tɕiɔ1	动词
教	tɕiɔ5	～育
