#漢字	音標	解釋#('cmn_fyd_bsjh', '東方八所軍話', '八所軍話', '#8B0000', None, None, '來源：<u>一冂水</u>整理自《海南東方八所軍話音系》', '33 1 1a 陰平 ꜀,,51 3 2 上 ꜂,,24 5 3 去 ꜄,,31 7 4 入 ꜆', None, None)
占	tsan5	
卡	kʰa3	
盧	luʔ7	
卤	lu3	
卦	kua5	
衛	vəi5	
卯	mau3	
印	zeⁱŋ5	
危	vəiʔ7	
即	tɕiʔ7	
卻	kʰioʔ7	
卵	luən3	
卷	kiən3	试～
卿	kʰeⁱŋ1	
廠	tsʰaŋ3	
厄	ɤʔ7	
廳	tʰeⁱŋ1	
历	liʔ7	
厲	li5	
壓	zaʔ7	
厭	ziən5	
廁	tsʰɿʔ7	
厘	liʔ7	
厚	həu5	
原	zuənʔ7	
廂	ɕiaŋ1	
厥	tɕiɛʔ7	
厦	hia3	
廚	tɕʰyʔ7	
厮	sɿ1	
去	kʰɤ5	
縣	hiən5	
参	tsʰaŋ1	～加
参	səŋ1	人～
又	iəu5	
叉	tsʰa1	
及	kiʔ7	
友	zəu3	
雙	suaŋ1	
反	faŋ3	
发	fa1	～送
叔	suʔ7	
取	tɕʰy3	
受	səu5	
變	piən5	
敘	ɕy5	
叛	pʰaŋ5	
疊	tiɛʔ7	
口	kʰəu3	
古	ku3	
句	tɕy5	
另	leⁱŋ5	
叨	tau1	
叩	kʰəu5	
只	tɕiʔ7	
叫	kiau5	
召	tsau1	号～、～集
叭	pa1	
叮	teⁱŋ1	
可	kʰɔ3	
台	tʰai1	
台	tʰaiʔ7	
史	ɕi3	
右	iəu5	
葉	zəʔ7	树～
葉	iɛʔ7	姓
號	hau5	
司	sɿ1	
嘆	tʰaŋ5	
叼	tiau1	
吃	kʰiʔ7	
各	kɔʔ7	
合	hɔʔ7	
吉	kiʔ7	
吊	tiau5	
同	tʰoŋʔ7	
名	meⁱŋʔ7	
后	həu5	
吏	li5	
吐	tʰu5	
向	ɕiaŋ5	
向	hiaŋ5	
嚇	hɤʔ7	恐～
吕	li3	
君	kun1	
君	kyn1	
吝	leⁱŋ5	
吟	leⁱŋ5	
吠	fəi5	
否	fəu3	
吧	pa1	
吨	təŋ1	
吩	fəŋ1	
含	haŋʔ7	
听	tʰeⁱŋ1	
启	kʰi3	
吴	vuʔ7	
吵	tsʰau3	
吸	kiʔ7	
吹	tsʰuəi1	
吻	vəŋʔ7	
吼	həu3	
吾	vuʔ7	
呆	tai1	
呈	tsʰəŋʔ7	
告	kau5	
呐	na5	
嘔	əu1	
員	zuənʔ7	
呢	li5	
周	tsəu1	
呼	hu1	
命	meⁱŋ5	
和	huoʔ7	
咏	zoŋ3	
咐	fu5	
咒	tsəu5	
咕	ku1	
咨	tsɿ1	
咬	au3	
咳	kʰɔʔ7	
咸	kiən3	
咸	hanʔ7	
咽	zeⁱŋ1	
哀	ai1	
品	pʰeⁱŋ3	
哄	hoŋ5	
哆	tɔ1	
哈	ha1	
響	hiaŋ3	
哎	ai5	
啞	a3	
哗	hua1	
哗	huaʔ7	
哥	kɔ1	
哪	la3	
哭	kʰuʔ7	
哲	tɕiɛʔ7	
哺	pu3	
哼	həŋ1	
哽	kəŋ3	
唆	sɔ1	
脣	tsʰəŋʔ7	
唐	tʰaŋʔ7	
嘮	lau1	
喚	huən5	
唬	hu3	
售	səu5	
唯	vəiʔ7	
唱	tsʰaŋ5	
唾	tʰuo5	
啃	kʰəŋ3	
啄	tsɔʔ7	
商	saŋ1	
啊	a1	
啡	fəi1	
啪	pʰa1	
嗇	ɕiʔ7	
囉	lɔ1	
啼	tʰi5	
喂	vəi5	
善	ɕiən5	
喇	la1	
喉	həuʔ7	
喊	haŋ3	
喘	tsʰuən3	
喜	hi3	
喝	hɔʔ7	
喧	suən1	
噴	pʰəŋ5	
嗅	ɕiəu5	
嗉	su5	
嗓	saŋ1	
嗜	sɿ5	
嗣	tsʰɿʔ7	
嗤	tɕʰiʔ7	
嗯	əŋ3	
嗽	səu5	
嘉	kia1	
嘎	ka3	～喇：吵闹
噓	hi1	
囑	tsuʔ7	
嘲	tsʰauʔ7	
嘴	tsuəi3	
嘹	liauʔ7	
噎	iɛʔ7	
器	kʰi5	
嚎	hauʔ7	
嚏	tʰi5	
囂	ɕiau1	
嚷	zaŋʔ7	
嚼	tɕioʔ7	
囊	naŋʔ7	
囚	tɕʰiəuʔ7	
四	sɿ5	
回	huəiʔ7	
因	zeⁱŋ1	
团	tʰuənʔ7	
囤	tʰəŋʔ7	
園	zuənʔ7	
困	kʰun5	
囱	tsʰoŋ1	
圍	vəiʔ7	
固	ku5	
國	kuʔ7	
圖	tʰuʔ7	
圃	pʰu3	
圓	zuənʔ7	
圈	kʰiən1	圆～
圈	tsuən5	猪～
土	tʰu3	
聖	səŋ5	
在	tsəi5	
圩	zyʔ7	
圭	kuəi1	
地	ti5	
場	tsʰaŋ3	
圾	kiʔ7	
址	tɕi3	
均	kun1	
坊	faŋʔ7	
坍	tʰaŋ1	
坎	kʰaŋ3	
壞	huai5	
坐	tsɔ5	
坑	kʰəŋ1	
塊	kʰuai5	
堅	kiən1	
坛	tʰaŋʔ7	
壩	pa5	
塢	vu1	
墳	fəŋʔ7	
墜	tsuəi5	
坡	pʰɔ1	
坤	kʰun1	
坦	tʰaŋ3	
坪	pʰeⁱŋʔ7	
坯	pʰəi1	
坳	au5	
垂	tsʰuəiʔ7	
垃	la1	
壟	loŋ3	
型	heⁱŋʔ7	
垒	ləi3	
垛	tɔ3	
垢	kəu5	
垣	zuənʔ7	
墾	kʰəŋ3	
墊	tiən5	
垮	kʰua3	
埂	kəŋ3	
埃	ai1	
