#漢字	音標	解釋#('cmn_fyd_bsjh', '東方八所軍話', '八所軍話', '#8B0000', None, None, '來源：<u>一冂水</u>整理自《海南東方八所軍話音系》', '33 1 1a 陰平 ꜀,,51 3 2 上 ꜂,,24 5 3 去 ꜄,,31 7 4 入 ꜆', None, None)
签	tɕʰiən1	
簡	kaŋ3	
箍	kʰu1	
箔	pɔʔ7	
箕	ki1	
算	suən5	
管	kuən3	
簫	ɕiau1	
箭	tɕiən5	
箱	ɕiaŋ1	
箸	tsu5	
篆	tsuən5	
篇	pʰiən1	
簍	ləu3	
篙	kau1	
篡	tsʰuən5	
篦	pi5	
籃	laŋʔ7	
篱	liʔ7	
篷	pʰoŋʔ7	
篾	miɛʔ7	
簇	tsʰuʔ7	
簧	huaŋʔ7	
簪	tsaŋ1	
簸	pu5	
簿	pu5	
籍	tɕiʔ7	
米	mi3	
类	ləi5	
粉	fəŋ3	
粑	pa1	
粒	liʔ7	
粗	tsʰu1	
粘	liənʔ7	
粟	suʔ7	
粤	zyɛʔ7	
粥	tsuʔ7	
糞	fəŋ5	
糧	liaŋʔ7	
粱	liaŋʔ7	
粳	kəŋ1	
粹	tsʰəi5	
糉	tsoŋ5	
精	tɕeⁱŋ1	
糊	huʔ7	
糍	tsʰɿʔ7	
糕	kau1	
糖	tʰaŋʔ7	
糙	tsʰau1	
糜	miʔ7	
糟	tsau1	
糠	kʰaŋ1	
糯	lɔ5	
系	ki5	～鞋带
系	hi5	关～
素	su5	
索	sɔʔ7	
緊	keⁱŋ3	
紫	tsɿ3	
累	ləi3	积～
累	ləi5	劳～
絮	ɕy5	
繁	faŋʔ7	
纂	tsuən5	
糾	kiəu1	
紅	hoŋʔ7	
紂	tsəu5	
纤	tɕʰiən1	
約	zɔʔ7	预～
級	kiʔ7	
紀	ki3	
純	sunʔ7	
紕	pʰi1	
紗	sa1	
綱	kaŋ1	
納	na5	
縱	tsoŋ5	
紛	fəŋ1	
紙	tɕi3	
紋	vəŋʔ7	
紡	faŋ3	
紐	liəu3	
紓	ɕy1	
線	ɕiən5	
練	liən5	
組	tɕy3	
細	ɕi5	
織	tɕiʔ7	
終	tsoŋ1	
縐	tsəu5	
絆	puən5	
紹	sau5	
經	keⁱŋ1	
綁	paŋ3	
絨	zoŋʔ7	
結	kiɛʔ7	
繞	zau5	
繪	huəi5	
給	kəi3	
絕	tɕiɛʔ7	
絞	kiau3	
統	tʰoŋ3	
絹	kiən1	
繡	ɕiəu5	
綏	suəi1	
繼	ki5	
績	tɕiʔ7	
緒	ɕy5	
綾	leⁱŋʔ7	
續	ɕy5	
綽	tsʰɔʔ7	
繩	səŋʔ7	
維	vəiʔ7	
綿	miənʔ7	
绷	pəŋ1	
綢	tsʰəuʔ7	
綜	tsoŋ1	
綻	tsaŋʔ7	
綠	luʔ7	
綴	tsuəi1	
緬	miən3	
纜	laŋ3	
緝	tɕi1	
緞	tuən5	
緩	huən3	
締	ti5	
縷	luəi3	
編	piən1	
緣	zuənʔ7	
縛	fuʔ7	
縫	foŋ5	裂～
縫	foŋʔ7	～补
纏	tsʰaŋʔ7	
縊	ziʔ7	
纓	zeⁱŋ1	
縮	suʔ7	
繮	kiaŋ1	
繰	tɕʰiau1	
繳	kiau3	
缸	kaŋ1	
缺	kʰiɛʔ7	
罐	kuaŋ5	
网	vaŋ3	
罕	haŋ5	
羅	lɔʔ7	
罰	faʔ7	
罷	pa5	
罩	tsau5	
罪	tsəi5	
置	tɕi5	
罾	tsəŋ1	
羊	zaŋʔ7	
羌	tɕʰiaŋ1	
美	məi3	
羔	kau1	
羞	ɕiəu1	
羡	ɕiən5	
羣	kʰeⁱŋʔ7	
羹	kəŋ1	
羽	zy3	
翁	oŋ1	
翅	tɕʰi5	
翅	tɕʰiɛ5	
翎	leⁱŋʔ7	
翔	ɕiaŋʔ7	
翹	tɕʰiau5	
翟	tiʔ7	
翟	tsəiʔ7	
翠	tsʰəi5	
翡	fəi3	
翰	haŋ5	
翱	auʔ7	
翻	faŋ1	
翼	zi5	
耀	zau5	
老	lau3	
考	kʰau3	
者	tɕiɛ3	
而	ɤʔ7	
耍	sua3	
耐	lai5	
耕	kəŋ1	
耗	hau5	
耘	zunʔ7	
耙	pʰaʔ7	
耳	ɤ3	
聳	soŋ3	
恥	tɕʰi3	
耽	taŋ1	
耿	kəŋ3	
聶	niɛʔ7	
聊	liauʔ7	
聾	loŋʔ7	
職	tɕiʔ7	
聯	liənʔ7	
聘	pʰeⁱŋ5	
聚	tɕy5	
聰	tsʰoŋ1	
肅	suʔ7	
肄	zi5	
肆	sɿ5	
肇	tsau5	
肉	zuʔ7	
肋	lɤʔ7	
肌	tɕi1	
肘	tsəu3	
肚	tu3	猪～
肚	tu5	～子
肛	kaŋ1	
肝	kaŋ1	
腸	tsʰaŋʔ7	
股	ku3	
肢	tɕi1	
肤	fu1	
肥	fəiʔ7	
肩	kiən1	
肪	faŋ1	
肫	tsəŋ1	
骯	aŋ1	
肯	kʰəŋ3	
育	zuʔ7	
肴	hiau3	
肺	fəi5	
肽	tʰai5	
腎	ɕeⁱŋ5	
腫	tsoŋ3	
脹	tsaŋ5	
脅	hiɛʔ7	
膽	taŋ3	
背	pəi1	
背	pəi5	
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰəi1	
胛	kiaʔ7	
勝	səŋ5	
胞	pau1	
胡	huʔ7	
朧	loŋʔ7	
胭	ziən1	
胯	kʰua5	
胱	kuaŋ1	
胳	kɔʔ7	
膠	kiau1	
胸	hioŋ1	
胺	aŋ1	
能	nəŋʔ7	
脂	tɕi3	
脆	tsʰəi5	
脉	mɔʔ7	
脊	tɕiʔ7	
脏	tsaŋ1	肮～
脏	tsaŋ5	心～
臍	tɕʰiʔ7	
腦	nau3	
膿	noŋʔ7	
脖	pɔʔ7	
腳	kioʔ7	
脢	məiʔ7	
脬	pʰau1	
脯	pʰu3	
脯	pʰuʔ7	
脫	tʰɔʔ7	
脾	pʰiʔ7	
腆	tiən3	
腋	iɛ5	
腌	ziən1	
腌	zəŋ1	
腐	fu3	
腑	fu3	
腔	kʰiaŋ1	
腕	vəŋ3	
腥	ɕeⁱŋ1	
腭	ŋɔʔ7	
腮	sai1	
腰	zau1	
腹	fuʔ7	
膩	ni5	
膩	li5	
騰	tʰəŋʔ7	
腿	tʰəi3	
膀	pʰaŋʔ7	
膊	pɔʔ7	
膏	kau1	
膘	piau1	
膘	pʰiau1	
膜	mɔʔ7	
膝	tɕʰiʔ7	
膨	pʰoŋʔ7	
膳	ɕiən5	
臀	tʰunʔ7	
臂	pi5	
臃	ioŋ1	
臊	sau1	
臣	tsʰeⁱŋʔ7	
自	tsɿ5	
臭	tsʰəu5	
至	tɕi5	
致	tɕi5	
臺	tʰaiʔ7	
臻	tɕi3	
臼	kiəu5	
舀	zau3	
舂	tsʰoŋ1	
舅	kiəu5	
舒	ɕy1	
舔	tʰiən3	
舜	sun5	
舞	vu3	
舟	tsəu1	
航	haŋʔ7	
般	pəŋ1	
艦	kiən5	
艙	tsʰaŋ1	
舵	tɔ5	
舶	pɔʔ7	
舷	hiənʔ7	
船	tsʰuənʔ7	
艇	tʰeⁱŋ3	
艘	sau1	
良	liaŋʔ7	
艱	kaŋ1	
色	sɿʔ7	
艳	ziən5	
藝	zi5	
艾	ai5	
節	tɕiɛʔ7	
芋	zy3	
芍	tsɔʔ7	
芒	maŋʔ7	
芙	fu1	
芝	tsɿ1	
芡	ɕiən5	
芥	kai5	
蘆	luʔ7	
芬	fəŋ1	
芭	pa1	
花	hua1	
芳	faŋ1	
芹	keⁱŋ1	
芽	zaʔ7	
莧	ɕiən5	
蒼	tsʰaŋ1	
苏	su1	
苔	tʰaiʔ7	
苗	miauʔ7	
苛	kʰɤʔ7	
苜	muʔ7	
苞	pau1	
苟	kəu3	
若	zɔʔ7	
苦	kʰu3	
苯	pəŋ3	
英	zeⁱŋ1	
蘋	pʰeⁱŋʔ7	
茂	məu5	
范	faŋ5	
茄	kia1	
茅	mauʔ7	
莖	keⁱŋ5	
塋	zeⁱŋʔ7	
繭	kiən3	
茨	tsʰɿʔ7	
茫	maŋʔ7	
茬	tsʰaʔ7	
茭	kiau1	
茴	huəiʔ7	
茶	tsʰaʔ7	
茸	zoŋʔ7	
荀	sunʔ7	
荆	keⁱŋ1	
草	tsʰau3	
薦	tɕiən5	
荒	huaŋ1	
荔	li5	
荡	taŋ5	
榮	zoŋʔ7	
葷	hun1	
荫	zeⁱŋ1	
藥	zɔʔ7	
荷	hɔʔ7	
荻	tiʔ7	
莎	sa1	
莓	məiʔ7	
莠	iəu3	
莫	mɔʔ7	
萊	ləiʔ7	
蓮	liənʔ7	
获	hɔ5	
瑩	zeⁱŋʔ7	
鶯	zeⁱŋ1	
莽	maŋ3	
菇	ku1	
菊	kiʔ7	
菌	tɕyn3	
菏	hɔʔ7	
菖	tsʰaŋ1	
菜	tsʰai5	
菠	pɔ1	
菢	pau5	
菩	pʰɔʔ7	
菱	leⁱŋʔ7	
菲	fəi1	
萄	tʰauʔ7	
萌	moŋʔ7	
萍	pʰeⁱŋʔ7	
蘿	lɔʔ7	
螢	zeⁱŋʔ7	
營	zeⁱŋʔ7	
蕭	ɕiau1	
葛	kɔʔ7	
葡	pʰuʔ7	
董	toŋ3	
葩	pʰa1	
葫	huʔ7	
葬	tsaŋ5	
葱	tsʰoŋ1	
葵	kʰuəiʔ7	
蒂	ti5	
蔣	tɕiaŋ3	
蒙	moŋʔ7	
蒜	suən5	
蒲	pʰu3	
蒸	tsəŋ1	
蓄	ɕy5	
蓉	zoŋʔ7	
蓑	sɔ1	
蓖	pi3	
藍	laŋʔ7	
蓬	foŋʔ7	
蔓	maŋ5	
蔗	tɕiɛ5	
蔡	tsʰai5	
蔫	ziən1	
蔬	sɔ1	
蔴	maʔ7	
藹	ai3	
蔽	pi5	
蕉	tɕiau1	
蕊	luəiʔ7	
蕨	tɕiɛʔ7	
薄	pɔʔ7	
薅	hau1	
薪	ɕeⁱŋ1	
薹	tʰaiʔ7	
藉	tɕi3	
藉	tɕiʔ7	
藏	tsaŋ5	
藏	tɕʰiaŋʔ7	
藐	mau3	
藕	əu3	
藤	tʰəŋʔ7	
藩	faŋ1	
藻	tsau5	
蘸	tsaŋ5	
虎	hu3	
虜	lu3	
虐	nioʔ7	
虑	li5	
虔	tɕʰiənʔ7	
虛	hi1	
虞	zyʔ7	
蟲	tsʰoŋʔ7	
虱	sɿʔ7	
虹	kaŋ5	
虹	hoŋʔ7	
虻	maŋʔ7	
雖	səi1	
蝦	hia1	
蝕	ɕiʔ7	
蟻	zi5	
螞	ma3	
蚊	vəŋʔ7	
蚓	zeⁱŋ3	
蠶	tsʰaŋʔ7	
蚣	koŋ1	
蚤	tsau3	
蜆	hiən3	
蚯	kʰiəu1	
蛀	tsu5	
蛆	tɕʰy1	
蠱	ku3	
蛋	taŋ5	
蛔	huəiʔ7	
蛙	va1	
蛛	tɕy1	
蛤	haʔ7	
蛤	kɔʔ7	
蠻	maŋʔ7	
蟄	tɕiʔ7	
螄	sɿ1	
蛾	ŋɔʔ7	
蜂	foŋ1	
蜇	tɕiɛʔ7	
蜈	vuʔ7	
蜊	li5	
蜓	tʰeⁱŋʔ7	
蛻	tʰəi5	
蜘	tɕi1	
蜜	miʔ7	
蜻	tɕʰeⁱŋ1	
蠅	zeⁱŋ1	
蟬	tsʰaŋʔ7	
蝌	kʰɤ1	
蝌	kʰuo1	
蝗	huaŋʔ7	
蝙	piən1	
蝠	fuʔ7	
蝴	huʔ7	
蝶	tiɛʔ7	
螂	laŋʔ7	
螃	pʰai3-	
螃	pʰaŋʔ7=	
融	zoŋʔ7	
螟	meⁱŋʔ7	
螳	tʰaŋʔ7	
螺	lɔʔ7	
蟀	suəi5	
蟆	maʔ7	
蟋	ɕiʔ7	
蟒	maŋ3	
蟥	huaŋʔ7	
蟾	tsʰaŋ1	
蠓	moŋʔ7	
蠢	tsʰuən3	
血	hiɛʔ7	
衅	ɕeⁱŋ5	
行	heⁱŋʔ7	品～
行	haŋʔ7	
衍	ziən3	
銜	hanʔ7	
街	kai1	
衙	zaʔ7	
衡	həŋʔ7	
衣	zi1	
補	pu3	
表	piau3	
衫	saŋ1	
襯	tsʰəŋ5	
衰	suai1	
衲	na5	
衷	tsoŋ1	
袁	zuənʔ7	
襖	au5	
袋	tai5	
袍	pʰauʔ7	
袖	ɕiəu5	
袜	vaʔ7	
被	pi5	棉～
被	pəi5	～迫
襲	ɕiʔ7	
袱	fuʔ7	
裁	tsʰaiʔ7	
裂	liɛʔ7	
裝	tsuaŋ1	
襠	taŋ1	
裙	kʰeⁱŋʔ7	
褲	kʰuəi5	
裳	saŋ1	
裴	pʰəiʔ7	
裸	lɔ3	
裹	kuo3	
褂	kua5	
褐	hɔʔ7	
褒	pau3	
褥	zuʔ7	
褶	tɕiɛ5	
襄	ɕiaŋ1	
襟	keⁱŋ1	
西	ɕi1	
要	zau5	
覆	fuʔ7	
見	kiən5	
觀	kuən1	参～、寺～
觀	kuaŋ1	
規	kuəi1	
覓	miʔ7	
視	ɕi5	
覽	laŋ3	
覺	kiau5	
覺	kioʔ7	
角	kɔʔ7	
解	kai3	～放
觸	tsʰuʔ7	
言	ziənʔ7	
謄	tʰəŋʔ7	
誓	ɕi5	
警	keⁱŋ3	
譬	pʰiʔ7	
計	ki5	
訂	teⁱŋ5	
訃	pʰuʔ7	
認	zeⁱŋ5	
譏	ki1	
討	tʰau3	
讓	zaŋ5	
訓	sun5	
議	zi5	
訊	ɕeⁱŋ5	
記	ki5	
講	kiaŋ3	
諱	huəi5	
許	hi3	
許	ɕy3	
訛	ŋɔʔ7	
論	ləŋ5	
諷	foŋ5	
訪	faŋʔ7	
訣	kiɛʔ7	
证	tsəŋ5	
評	pʰeⁱŋʔ7	
識	ɕiʔ7	
詐	tsa5	
訴	su5	
診	tɕeⁱŋ3	
詞	tsʰɿʔ7	
譯	zi5	
試	ɕi5	
詩	ɕi1	
誠	tsʰəŋʔ7	
誅	tsu1	
話	hua5	
誕	taŋ5	
詭	kuəi3	
該	kai1	
詳	ɕiaŋʔ7	
詫	tsʰa3	
詡	ɕy3	
誣	vu1	
語	zy3	
誤	vu5	
誘	iəu5	
誨	huəi5	
說	sɔ1	
誦	soŋ5	
請	tɕʰeⁱŋ3	
諸	tɕy1	
諾	nɔ5	
讀	tuʔ7	
誹	fəi3	
課	kʰuo5	
誰	suəiʔ7	
調	tiau5	～查
調	tʰiauʔ7	协～
諒	liaŋ5	
談	tʰaŋʔ7	
誼	ziʔ7	
謀	məuʔ7	
諜	tiɛʔ7	
謊	huaŋ3	
諫	kaŋ5	
讒	tsʰaŋʔ7	
諺	ziən5	
謎	miʔ7	
謠	zauʔ7	
謗	paŋ5	
謙	kʰiən1	
謹	keⁱŋ3	
謬	miəu5	
譚	tʰaŋʔ7	
譜	pʰu3	
谷	kuʔ7	
豁	huo1	
豁	hɔʔ7	
豆	təu5	
豉	tɕi1	
豌	vaŋʔ7	
豚	tʰəŋʔ7	
象	ɕiaŋ5	
豢	huən5	
豪	hauʔ7	
豹	pau5	
豺	tsʰaiʔ7	
貂	tiau1	
貉	hɔʔ7	
貌	mau5	
貝	pəi5	
貞	tsəŋ1	
負	fu5	
貢	koŋ5	
財	tsʰaiʔ7	
責	tsɿʔ7	
賢	hiənʔ7	
敗	pai5	
賬	tsaŋ5	
貨	huo5	
質	tɕiʔ7	
販	faŋ5	
販	faŋʔ7	
貪	tʰaŋ1	
貧	pʰeⁱŋʔ7	
貶	piən3	
購	kəu5	
貫	kuaŋ5	
貳	ɤ5	
賤	tɕiən5	
貴	kuəi5	
貸	tai5	
貿	məu5	
費	fəi5	
賀	hɔ5	
賊	tsɤʔ7	
賈	kia3	
賄	huəi5	
賃	leⁱŋ5	
賂	lu5	
贓	tsaŋ1	
資	tsɿ1	
賦	fu5	
賭	tu3	
贖	suʔ7	
賞	saŋ3	
賜	tsʰɿ5	
賠	pʰəiʔ7	
賴	lai5	
贅	tsəi5	
賺	tsuən5	
賽	sai5	
赞	tsaŋ5	
贈	tsəŋ5	
贏	zeⁱŋʔ7	
贛	kaŋ5	
赤	tɕʰiʔ7	
赫	hɤʔ7	
走	tsəu3	
赴	fu5	
趙	tsau5	
趕	kaŋ3	
起	kʰi3	
趁	tɕʰeⁱŋ5	
超	tsʰau1	
越	zyɛʔ7	
趨	tɕʰy1	
趟	tʰaŋ3	
趣	tɕʰy5	
足	tsuʔ7	
趴	pʰa1	
趼	kiən3	
趾	tɕi3	
躍	zɔ5	
跋	paʔ7	
跌	tiɛʔ7	
跑	hiən1-	
跑	pʰauʔ7=	
跛	pɔ3	
距	tɕy5	
跟	kəŋ1	
跨	kʰua5	
跪	kuəi5	
路	lu5	
跳	tʰiau5	
踐	tɕiən5	
跺	tɔ5	
踊	zoŋ3	
躊	tsʰəuʔ7	
踏	tʰaʔ7	
踟	tɕi1	
踢	tʰiʔ7	
踩	tsʰai3	
蹤	tsoŋ1	
踱	tɔʔ7	
蹄	tʰiʔ7	
蹈	tau3	
蹋	tʰaʔ7	
蹑	niɛʔ7	
蹦	poŋ5	
蹬	təŋ5	
蹭	tsʰəŋ5	
蹲	təŋ1	
蹻	tɕʰiau1	
躥	tsʰuən5	
躁	tsau5	
躇	tɕʰyʔ7	
身	ɕeⁱŋ1	
躬	koŋ1	
躲	tɔ3	
躺	tʰaŋ3	
車	tɕy1	～马炮
車	tɕʰiɛ1	
軋	tsaʔ7	
軌	kuəi3	
軒	suən1	
轉	tsuən3	～动、运～
輪	ləŋʔ7	
軟	noŋ1-	
軟	zuən3=	
轟	hoŋ1	
軻	kʰɔ1	
軸	tsəu5	
輕	kʰeⁱŋ1	
載	tsai3	年～
載	tsai5	～重、满～
轎	kiau5	
較	kiau5	
輔	fu3	
輛	liaŋ5	
輦	liən3	
輩	pəi5	
輝	huəi1	
輻	fuʔ7	
輯	ɕiʔ7	
轅	zuənʔ7	
轄	ɕiaʔ7	
轍	tɕiɛʔ7	
辛	ɕeⁱŋ1	
辜	ku1	
辭	tsʰɿʔ7	
辟	pʰiʔ7	
辣	laʔ7	
辨	piən5	
辯	piən5	
辮	piən5	
辰	seⁱŋʔ7	
辱	zuʔ7	
邊	piən1	
遼	liauʔ7	
达	taʔ7	
迁	tɕʰiən1	
迂	zyʔ7	
過	kuo5	
邁	mai5	
迎	zeⁱŋʔ7	
運	zun5	
近	keⁱŋ5	
返	faŋ3	
還	huənʔ7	归～
這	tɕi5	
進	tɕeⁱŋ5	
遠	zuən3	
違	vəiʔ7	
連	liənʔ7	
遲	tɕʰiʔ7	
迪	tiʔ7	
迭	tiɛʔ7	
迷	miʔ7	
迸	peⁱŋ5	
迸	poŋ5	
迹	tɕiʔ7	
迺	lai3	
追	tsuəi1	
退	tʰəi5	
送	soŋ5	
適	ɕiʔ7	
逃	tʰauʔ7	
逆	ni5	
選	suən3	
遜	sun5	
逍	ɕiau1	
透	tʰəu5	
逐	tsuʔ7	
遞	ti5	
途	tʰuʔ7	
逗	təu5	
通	tʰoŋ1	
逛	kuaŋ5	
逝	ɕi5	
逞	tsʰəŋ3	
速	suʔ7	
造	tsau5	
逢	foŋʔ7	
逮	tai3	
逵	kʰuəiʔ7	
逸	ziʔ7	
邏	lɔʔ7	
逼	piʔ7	
遁	tun5	
遂	suəi5	
遍	piən5	
遍	pʰiən5	
遏	ŋɔʔ7	
遐	ɕiaʔ7	
道	tau5	
遺	ziʔ7	
遢	ka3-	邋～：肮脏
遢	tʰaʔ7=	
遣	kʰiən3	
遥	zauʔ7	
遭	tsau1	
遮	tɕiɛ1	
遵	tsəŋ1	
避	pi5	
邀	zau1	
邋	la3-	～遢：肮脏
邋	laʔ7=	
邓	təŋ5	
那	lɔ5-	
那	la5=	
邦	paŋ1	
郵	zəuʔ7	
邯	haŋʔ7	
邰	tʰaiʔ7	
邵	sau5	
邹	tsəu1	
鄰	leⁱŋʔ7	
郁	zy3	
郁	zy5	
郊	kiau1	
郎	laŋʔ7	
鄭	tsəŋ5	
郝	hauʔ7	
郡	keⁱŋ5	
部	pu5	
郭	kɔʔ7	
郴	tsʰəŋ1	
鄲	taŋ1	
都	tu1	
鄂	ŋɔʔ7	
鄙	pʰiʔ7	
酉	zəuʔ7	
酌	tsɔʔ7	
配	pʰəi5	
酒	tɕiəu3	
酚	fəŋ1	
醞	yn5	
酣	haŋ1	
酥	su1	
酬	tsʰəuʔ7	
醬	tɕiaŋ5	
酵	kiau5	
酷	kʰu5	
酸	suən1	
釀	niaŋ5	
醇	sunʔ7	
醉	tsəi5	
醋	tsʰu5	
醒	ɕeⁱŋ3	
采	tsʰai3	
釉	iəu5	
釋	ɕiʔ7	
釋	ɕiɛʔ7	
里	li3	
重	tsoŋ5	轻～
重	tsʰoŋʔ7	～新
野	iɛ3	
量	liaŋ5	数～
量	liaŋʔ7	测～
金	keⁱŋ1	
釜	fu3	
鉴	tɕiən3	
鑾	luənʔ7	
鏨	tsaŋ1	
鐾	pʰiʔ7	
针	tɕeⁱŋ1	
釘	teⁱŋ1	
釩	faŋʔ7	
釣	tiau5	
釵	tsʰai1	
鈣	kai5	
鈦	tʰai5	
鈍	təŋ5	
鈔	tsʰau1	
钟	tsoŋ1	
鈉	na5	
鋇	pəi5	
鋼	kaŋ1	～铁
鋼	kaŋ5	～筋
鑰	zioʔ7	
欽	kʰeⁱŋ1	
鈞	tɕyn1	
鉤	kəu1	
鈕	liəu3	
錢	tɕʰiənʔ7	
鉗	kʰaŋʔ7-	
鉗	kʰiənʔ7=	
鉢	pɔʔ7	
鈸	pɔ1	
鑽	tsuən5	～研、电～
鐵	tʰiɛʔ7	
鈴	leⁱŋʔ7	
鉛	tɕiən1	
鐸	tɔʔ7	
鐺	taŋ1	
銅	tʰoŋʔ7	
鍘	tsaʔ7	
鋌	tʰeⁱŋ3	
鏵	huaʔ7	
鉻	kɔʔ7	
銘	meⁱŋʔ7	
铲	tsʰaŋ3	
銃	tsʰoŋ5	
銀	zeⁱŋʔ7	
鑄	tsu5	
鋪	pʰu1	～平
鋪	pʰu5	店～
銷	ɕiau1	
鋤	tsʰɔʔ7	
鍋	kuo1	
鏽	ɕiəu5	
銼	tsʰɔ5	
鋒	foŋ1	
鐧	tɕiən1	
錯	tsʰɔ5	
錨	mauʔ7	
錛	pəŋ1	
錫	ɕiʔ7	
錮	ku5	
鑼	lɔʔ7	
錘	tsʰuəiʔ7	
錐	tsuəi1	
錦	keⁱŋ3	
錠	teⁱŋ5	
鍵	kiən5	
鋸	tɕy5	
鍬	tɕʰiau1	
鍛	tuən5	
鍍	tu5	
鎮	tɕeⁱŋ5	
鑷	niɛʔ7	
鎬	kau3	
鎊	paŋ5	
鎔	zoŋʔ7	
鏡	keⁱŋ5	
镢	tɕiɛʔ7	
鐐	liau5	
鐲	tsɔʔ7	
镰	liənʔ7	
鑲	ɕiaŋ1	
長	tsaŋ3	
長	tsʰaŋʔ7	
門	məŋʔ7	
閂	suən1	
閃	ɕiən3	
閉	pi5	
問	veⁱŋ5	
問	vəŋ5	
闖	tsʰuaŋ3	
閏	yn5	
闲	haŋʔ7	
間	kaŋ1	
悶	məŋ5	
閘	tsaʔ7	
閘	zaʔ7	
鬧	nau5	
閨	kuəi1	
聞	veⁱŋʔ7	
聞	vəŋʔ7	
閩	meⁱŋ3	
閥	faʔ7	
閣	kɔʔ7	
閡	hɤʔ7	
鬮	kʰiəu1	
閱	iɛʔ7	
閹	ziən1	
閻	ziənʔ7	
闡	tsʰaŋ3	
闊	kʰɔ5	
阜	fu5	
隊	təi5	
阮	zuən5	
防	faŋʔ7	
陽	zaŋʔ7	
陰	zeⁱŋ1	
陣	tɕeⁱŋ5	
階	kai1	
阻	tɕy3	
阿	a1	
阿	a5	～哥
附	fu5	
際	tɕi5	
陸	luʔ7	
隴	loŋ3	
陳	tsʰeⁱŋʔ7	
陋	ləu5	
陌	mɔʔ7	
降	kiaŋ5	下～
降	ɕiaŋʔ7	投～
限	ɕiən5	
限	haŋ5	
陝	saŋ3	
陛	pi5	
陡	təu3	
院	zuən5	
除	tɕʰyʔ7	
險	hiən3	
陪	pʰəiʔ7	
陵	leⁱŋʔ7	
陶	tʰauʔ7	
陷	ɕiən5	
隆	loŋʔ7	
隍	huaŋʔ7	
隨	suəiʔ7	
隱	zeⁱŋ3	
隔	kɤʔ7	
隘	ai5	
障	tsaŋ5	
隧	suəi5	
隶	li5	
難	naŋ5	患～
難	naŋʔ7	困～
雀	tɕʰioʔ7	
雄	hioŋʔ7	
雅	zaʔ7	
集	tɕiʔ7	
雇	ku5	
雌	tsʰɿʔ7	
雍	ioŋ1	
雛	tɕʰy1	
雛	tɕʰyʔ7	
雕	tiau1	
雨	zy3	
雪	ɕyɛʔ7	
零	leⁱŋʔ7	
雷	ləiʔ7	
雹	pauʔ7	
霧	vu5	
需	ɕy1	
霄	ɕiau1	
震	tɕeⁱŋ5	
霉	məiʔ7	
霍	hɔʔ7	
霎	tsʰaʔ7	
霓	niʔ7	
霜	suaŋ1	
霞	ɕiaʔ7	
露	lu5	
霸	pa5	
霹	pʰiʔ7	
青	tɕʰeⁱŋ1	
靖	tɕeⁱŋ5	
靜	tɕeⁱŋ5	
靛	tiən5	
非	fəi1	
靠	kʰau5	
靡	miʔ7	
面	miən5	
革	kɤʔ7	
靴	ɕyɛ1	
靶	pa3	
靼	taʔ7	
鞋	haiʔ7	
鞍	aŋ1	
韃	taʔ7	
鞘	sau1	
鞘	tɕʰiau5	
鞠	kiʔ7	
鞭	piən1	
韌	zeⁱŋ5	
韓	haŋʔ7	
韭	kiəu3	
音	zeⁱŋ1	
韵	zun5	
韶	sau5	
頂	teⁱŋ3	
頃	kʰeⁱŋ3	
項	haŋ5	
順	sun5	
须	ɕy1	
頑	vanʔ7	
顧	ku5	
頓	təŋ5	
頒	paŋ1	
頌	soŋ5	
領	leⁱŋ3	
頸	keⁱŋ3	
頻	pʰeⁱŋʔ7	
頹	tʰuəiʔ7	
穎	zeⁱŋ1	
題	tʰiʔ7	
顏	ŋaŋʔ7	
額	ɤʔ7	
顛	tiən1	
顫	tsʰaŋ5	
颱	tʰaiʔ7	
風	foŋ1	
颼	səu1	
飄	pʰiau1	
飛	fəi1	
食	ɕiʔ7	
餐	tsʰaŋ1	
饥	ki1	
飩	tʰəŋʔ7	
飯	faŋ5	
飲	zeⁱŋ3	～酒
飲	zeⁱŋʔ7	
餞	tɕiən5	
飾	ɕiʔ7	
飽	pau3	
飼	sɿ1	
餌	ɤ3	
饒	zauʔ7	
餅	peⁱŋ3	
餓	vɔ5	
餜	kuo3	
餛	hunʔ7	
餡	ɕiən5	
館	kuən3	
餿	səu1	
饞	tsʰaŋʔ7	
饃	mɔʔ7	
餾	liəuʔ7	
饅	maŋ5	
首	səu3	
香	hiaŋ1	
馨	ɕeⁱŋ1	
馬	ma3	
馱	tʰɔʔ7	
馴	sun5	
馳	tɕʰiʔ7	
驅	tɕʰy1	
駁	pɔʔ7	
驢	luəi3	
駛	ɕi3	
駙	fu5	
駒	tɕy1	
駐	tɕy3	
駝	tʰɔʔ7	
駑	luʔ7	
駕	kia5	
罵	ma5	
驕	kiau1	
駭	hai5	
騁	tsʰəŋ3	
驗	ziən5	
駿	tsəŋ5	
騎	kʰiʔ7	
騙	pʰiən5	
騷	sau1	
驟	tsəu5	
骨	ku3	
骨	kuʔ7	
骸	haiʔ7	
髓	suəiʔ7	
高	kau1	
鬃	tsoŋ1	
鬢	peⁱŋ5	
鬼	kuəi5	
魁	kʰuəiʔ7	
魂	hunʔ7	
魃	paʔ7	
魔	mɔʔ7	
魯	lu3	
鮑	pau5	
鮮	ɕiən1	
鰱	liənʔ7	
鯉	li3	
鰣	ɕiʔ7	
