#漢字	音標	解釋
㘗	tsʰi1	說悄悄話
區	tʂʰy1	
區	tsin5	(白)
十	ʂʅ5	
千	tsʰĩ1	
升	ʂɛn1	
午	u3	
卉	xui5	
半	põ5	
卑	pɛ1	
卒	tsau7	
卓	tso7	
協	ɕiɛ7	
南	lã2	
博	po7	
卜	pʰo7	
卞	pĩ5	
卡	kʰa3	
卦	kua5	
卯	mɔ3	
印	in5	
危	ui2	
即	tsi7	
卵	lo3	(文)
卵	lõ3	(白)
卷	tɕyĩ5	試～
卸	siɛ7	
卹	si7	
卻	tʂʰo7	
卿	tɕʰin1	
厄	ŋɛ7	
厚	xɔ6	(文)
厚	ɕiɔ6	(白)
原	yĩ2	
厭	ĩ5	
厲	li5	
去	tɕʰi5	(白)
去	tʂʰy5	(文)
參	tsʰã1	～加
參	sĩ1	人～
又	io5	
又	io6	
叉	tsʰua1	
及	tɕʰi7	
友	io3	
反	xuã3	
叔	ʂau7	
取	tsʰi3	
受	ʂau6	
叛	pʰõ5	
叟	sɔ3	
叢	tsɛn2	
口	tɕʰiɔ3	(白)
古	ku3	
句	tʂy5	
另	lin6	
叨	tʰɔ1	
叩	kʰo7	
只	tʂʅ7	副詞
叫	tɕiɔ5	
召	tʂɔ5	
叭	pʰa3	
可	kʰo3	
史	ʂʅ3	
右	io6	
司	sɿ1	
各	ko7	
吆	iɔ1	
合	xuɛ7	(白)
合	xo7	(文)
吉	tɕiɛ7	
吊	tiɔ5	
吊	tiɔ6	自然下垂或事情拖着
同	tɛn2	
名	min2	(白)
名	miaŋ2	(白)
吏	li7	
吐	tʰau3	(文)
吐	tʰau5	(白)
向	ɕiaŋ5	
吔	iɛ3	嘆詞
君	tʂuɛn1	
吝	lin5	
吞	tʰĩ1	(白)
吞	tʰɛn1	(文)
吟	ȵin2	
吠	xui5	
否	xua3	
吧	pua5	～一口煙
含	xã2	(文)
含	xŋ̍2	(白)
吳	u2	姓
吵	tsʰɔ3	
吸	tɕʰi7	(白)
吸	ɕi7	(文)
吹	tʂʰy1	(白)
吹	tʂʰyi1	(文)
吻	uɛn3	(文)
吼	xɔ2	
吾	u2	
呀	ia1	
呂	lɛ3	
呆	ŋɛ2	
呈	tʂɛn2	
告	kɔ5	
呢	ȵĩ2	～絨
周	tʂau1	
味	ui6	
呸	pʰɛ3	
呼	xu1	
命	min5	(文)～令；生～
命	min6	(文)～運
命	miaŋ6	(白)有～
咄	to7	
和	xo2	
和	xo5	唱～
咎	tɕio5	
咒	tʂau5	
咕	ku6	～泡：冒水泡
咧	liɛ7	
咨	tsɿ1	
咩	miɛ1	
咳	kʰɛ7	～嗽
咸	xã2	
哀	ŋɛ1	
品	pʰin3	
哆	to1	
哇	ua1	
哈	xa1	(白)張口呼氣；食用油及油質食品變味
哈	xa3	～巴狗
哉	tsɛ1	
哎	ɛ1	首肯聲
哎	ɛ3	打招呼聲、應答聲
哎	ɛ5	驚訝聲
員	yĩ2	
哥	ko1	
哨	sɔ5	
哪	la3	
哭	kʰu7	
哲	tʂɛ7	
哼	ɕĩ1	(白)
哼	xɛn1	(文)
哼	xɛn5	蚊子～
哽	kɛn3	(文)
哽	kaŋ3	(白)
唆	so1	
唇	ʂɛn2	
唐	taŋ2	
唧	tsi5	～～：乳房、乳汁
唧	tsi6	語氣詞
售	tʂau2	
唯	ui2	
唱	tʂʰaŋ5	
唾	tʰo3	
啃	kʰɛn3	
啄	tsa7	
商	ʂaŋ1	
啊	a1	
啊	a5	
啊	a7	(訓讀)
問	uɛn5	(文)
問	uɛn6	(白)
啜	tʂʰo5	騙
啜	tʂʰo7	(又)騙
啞	ia3	(文)
啞	ŋã3	(白)
啟	tɕʰi3	
啵	po5	打～：接吻
啼	ti2	
善	ɕĩ5	
喇	la6	
喉	xɔ2	
喊	xã3	
喘	tɕʰyĩ3	
喚	xŋ̍5	
喜	ɕi3	
喝	xuɛ7	(白)
喝	xo7	(文)
喧	ɕyĩ1	
喪	saŋ1	～事
喪	saŋ5	～失
喫	tʂʰʅ7	(文)
喫	tɕʰia7	(白)
喬	tɕiɔ2	
單	tã1	
喵	miɔ1	
喻	y5	
喻	y6	姓
嗅	ɕio5	(文)
嗅	ɕin5	(白)
嗆	tsʰaŋ5	
嗍	so1	吸氣
嗚	u3	大聲喊叫
嗜	ʂʅ5	
嗟	tsia1	
嗟	tsiɛ1	
嗟	tsia6	擬聲詞，嘆聲
嗣	sɿ5	
嗤	tʂʰʅ1	
嗨	xɛ3	
嗯	n̩1	
嗲	lia1	(訓讀)形容詞，放～：撒嬌
嗷	ŋɔ2	
嗽	sau5	
嘆	tʰã5	
嘈	tsɔ2	
嘉	tɕia1	
嘎	tɕia7	脾氣倔
嘔	ŋɔ3	(文)
嘔	ȵiɔ3	(白)
嘗	ʂaŋ2	
嘮	lɔ2	
嘯	siɔ5	
嘴	tsi3	(白)
嘴	tsɛ3	(文)
嘶	sɿ1	
噎	i7	
噓	ʂy1	
噗	pʰu3	吐：～他一口痰
噤	tɕʰin3	身體發抖
器	tɕʰi5	
噴	pʰɛn1	～氣
噴	pʰɛn5	～香
噴	xuɛn5	～水
噸	tɛn5	
嚇	xa7	(白)
嚇	ɕia7	(文)
嚙	ŋã5	
嚲	tʰo3	下垂
嚴	ȵĩ2	
嚼	tsʰio5	
囂	ɕiɔ1	
囉	lo1	～嗦
囊	laŋ2	
囑	tʂau7	
囚	tsio2	
四	sɿ5	
回	xuɛ2	(白)～來
回	xui2	(文)
因	in1	
囤	tɛn2	
囪	tsʰaŋ1	
困	kʰuɛn5	
固	ku5	
圈	tɕʰyĩ1	
國	kuɛ7	
圍	ui2	
圓	yĩ2	
圖	tau2	
團	tõ2	
圞	lõ2	圓的
土	tʰau3	
在	tsɛ6	
圪	kɛ7	
圭	kui1	
地	ti6	
圳	tʂuɛn5	
圿	ka7	(白)㿸～子
址	tʂʅ3	
均	tʂuɛn1	
坊	xaŋ2	(白)
坊	xuaŋ2	(文)
坍	tã1	
坎	kʰã3	
坐	tso6	
坑	kʰaŋ1	
坡	pʰo1	
坤	kʰuɛn1	
坦	tʰã3	
坨	to2	量詞，一～泥
坪	pin2	(文)
坪	piaŋ2	(白)
坳	ŋɔ5	
坵	tɕʰio1	
坼	tsʰua7	(白)
坼	tsʰɛ7	(文)
垂	tʂyi2	
型	ɕin2	
垛	to3	
垮	kʰua3	
垸	yĩ6	
垻	pua5	
埂	kɛn3	
埃	ŋɛ1	
埋	mã2	
城	tʂɛn2	
域	y5	
埠	pu6	
執	tʂʅ7	
培	pɛ2	
基	tɕi1	
堂	taŋ2	
堅	tɕĩ1	
堆	tɛ1	
堡	pɔ3	
堤	ti2	
堪	kʰã1	
堯	iɔ2	
堰	ĩ5	
報	pɔ5	
場	tʂaŋ2	
堵	tau3	
塅	tõ6	
塊	kʰua3	
塌	tʰa7	
塍	ʂɛn1	田～：田埂
塑	so7	
塔	tʰa7	
塗	tau2	
塘	taŋ2	
塢	u1	
填	tĩ2	
塵	tʂɛn2	
塾	ʂau7	
境	tɕin5	
墅	ʂy5	
墈	kʰŋ̍5	
墊	tĩ6	
墓	mõ6	
墜	tʂyi5	
增	tsɛn1	
墟	ʂy1	
墨	mɛ7	
墩	tɛn3	
墮	to5	
墳	xuɛn2	
墾	kʰɛn3	
壁	pi7	(文)
壁	pia7	(白)
壁	pua7	(白)(又)
壇	tã2	
壓	ia7	(文)
壓	ŋã7	(白)
壕	xɔ2	
壘	lɛ3	
壠	lɛn3	
壩	pua5	
士	sɿ5	(文)
士	sɿ6	(白)
壬	yɛn2	
壯	tsaŋ5	
壺	xu2	
壽	ʂau6	
复	xu7	
夏	ɕia6	
外	uɛ6	
夙	sau7	
多	to1	
夜	ia6	
夜	iɛ6	(文)
夠	kɔ5	
夢	mɛn5	(文)
夢	mɛn6	(白)
夥	xo3	
大	ta5	～唧：姐姐
大	ta6	
天	tʰĩ1	
太	tʰa5	
夫	xu1	
央	iaŋ1	
失	ʂʅ7	
夷	i2	
夾	ka7	(白)
夾	tɕia7	(文)
奇	tɕi2	
奈	la5	
奉	xɛn5	～命
奉	xɛn6	～承
奎	kui2	
奏	tsʰau5	
奐	xŋ̍5	
契	tsʰiɛ5	
奔	pɛn1	
套	tʰɔ5	
奚	ɕi1	
奠	tĩ5	
奢	ʂɛ1	
奧	ŋɔ5	
奩	lĩ2	
奪	to7	
奮	xuɛn5	
女	ȵy3	
奴	lau2	
奶	la3	(文)
奶	lã5	～子
奸	kã1	(白)
奸	tɕiã1	(文)
好	xɔ3	～壞
好	xɔ5	喜歡
如	y2	
妃	xui1	
妄	uaŋ5	
妖	iɔ1	
妙	miɔ5	
妥	tʰo3	
妨	xaŋ2	(白)
妨	xuaŋ2	(文)
妬	tau7	
妹	mɛ5	(文)
妹	mɛ6	(白)
妻	tsʰi1	
妾	tsʰiɛ5	
姆	m̩1	～媽：母親
姊	tsɿ3	
始	ʂʅ3	
姐	tsia3	(白)
姐	tsiɛ3	(文)
姑	ku1	
姓	sin5	
委	ui3	
姘	pin5	
姚	iɔ2	
姜	tɕiaŋ1	
姨	i2	
姻	in1	
姿	tsɿ1	
威	ui1	
娃	mua2	(白)
娃	ua2	
娉	pʰin5	
娑	so1	
娘	ȵiaŋ2	
娛	y2	
娟	tɕyĩ1	
娠	ʂɛn2	
娩	mĩ3	
娭	ŋɛ1	
娶	tsʰi5	
婁	liɔ2	(白)
婁	lau2	(文)
婆	pu2	(白)外～、阿～
婆	po2	(白)老～
婆	pʰo2	(文)
婊	piɔ3	
婚	xuɛn1	
婢	pɛ1	
婦	xu5	(文)
婦	xu6	(白)
婪	lã2	
婿	si7	
媒	mɛ2	
媚	mɛ5	
媳	si7	
媼	ŋɔ3	
媽	mua1	(白)
媽	mã1	(文)
嫁	ka5	(白)
嫁	tɕia5	(文)
嫂	sɔ3	
嫌	ɕĩ2	
嫖	piɔ2	
嫡	ti7	
嫩	lɛn6	
嫻	ɕiã2	
嬉	ɕi1	
嬌	tɕiɔ1	
嬰	in1	
嬸	ʂɛn3	
孃	ȵiaŋ2	
子	tsɿ3	
孔	kʰɛn3	
孕	yɛn5	(文)
孕	yɛn6	(白)
字	tsɿ6	(文)
字	sɿ6	(白)
存	tsɛn2	
孝	ɕiɔ5	
孟	mɛn5	(文)
孟	mɛn6	(白)
季	tɕi5	
孤	ku1	
孩	xɛ2	
孫	sɛn1	
孵	xu1	(文)
學	ɕio7	
孽	ȵiɛ7	
宅	tsʰɛ7	
宇	y3	
守	ʂau3	
安	ŋã1	
宋	sɛn5	
完	yĩ2	(白)
完	xŋ̍2	(文)
宏	xɛn2	
宗	tsɛn1	
官	kŋ̍1	
宙	tʂau5	
定	tin5	(文)
定	tin6	(白)
宛	ŋ̍3	
宜	ȵĩ2	
客	kʰɛ7	
宣	sĩ1	(白)
宣	ɕyĩ1	(文)
室	ʂʅ7	
宥	io5	
宦	xŋ̍5	
宮	kɛn1	
宰	tsɛ3	
害	xɛ6	
宴	ĩ5	
宵	siɔ1	
家	ka1	(白)
家	tɕia1	(文)
容	in2	
宿	sau7	
寂	tsi7	
寄	tɕi5	
寅	in2	
密	mĩ7	
富	xu5	
寐	mɛ5	
寒	xã2	
寒	xŋ̍2	(白)～毛子：汗毛
寓	y5	
察	tsʰa7	
寡	kua3	
寢	tsʰin3	
寥	liɔ2	
實	ʂʅ5	滿的；填充
實	ʂʅ7	
寧	ȵin2	
寨	tsa6	
審	ʂɛn3	
寫	sia3	(白)
寫	siɛ3	(文)
寬	kʰŋ̍1	
寵	tʂʰɛn3	
寶	pɔ3	
寸	tsʰɛn5	
寺	sɿ6	
封	xɛn1	
射	ʂua5	(白)～箭
射	ʂɛ5	(文)
將	tsiaŋ1	～軍
將	tsiaŋ5	～領
專	tɕyĩ1	
尊	tsɛn1	
尋	tsin2	
對	tɛ5	
導	tɔ5	
小	siɔ3	
少	ʂɔ3	多～
少	ʂɔ5	～年
尖	tsĩ1	
尚	ʂaŋ5	
尤	io2	
尬	ka5	(白)
尬	tɕia5	(文)
就	tsio6	
尷	kã1	
尸	ʂʅ1	
尹	yɛn3	
尺	tʂʰʅ7	(文)
尺	tʂʰua7	(白)
尼	ȵĩ2	
尾	ui3	
尿	ȵiɔ6	
局	tʂy7	
屁	pʰi5	
屄	piɛ7	
居	tʂy1	
屆	ka5	(白)
屆	tɕia5	(文)
屈	tʂʰy7	
屋	u7	
屍	ʂʅ1	
屎	ʂʅ3	
屏	pin2	
屐	tɕi1	
屑	siɛ7	
展	tɕĩ3	
屙	o1	
屜	ti2	(文)
屜	tʰi5	(文)
屠	tau2	
屢	lɛ3	
層	tsĩ2	(白)
層	tsɛn2	(文)
履	li3	
屬	ʂau7	
屯	tɛn2	
山	sã1	
岑	tsɛn2	
岔	tsʰua5	
岡	kaŋ1	
岩	ŋã2	(白)
岩	iã2	(文)
岳	io7	
岸	ŋã6	(白)
峙	sɿ5	
峯	xɛn1	
島	tɔ3	
峽	kʰɛ5	(白)
峽	ɕia7	(文)
崇	tsɛn1	
崐	kʰuɛn1	
崔	tsʰɛ1	
崖	ia2	
崖	ŋã2	(白)
崗	kaŋ1	
崙	lɛn2	
崩	pɛn1	
崽	tsɛ3	
嵌	kʰã5	
嵩	sɛn1	
嶄	tsã3	
嶺	lin3	
嶽	io7	
川	tɕʰyĩ1	
州	tʂau1	
巡	tsɛn2	
巢	tsɔ2	
工	kɛn1	
左	tso3	
巧	tɕʰiɔ3	
巨	tʂy5	
巫	u1	
差	tsʰɿ1	參～
差	tsʰua1	
差	ɕio5	(訓讀)差，不好
已	tɕi3	
已	i3	
巳	sɿ6	
巴	pua1	
巷	xaŋ6	
巾	tɕin1	
市	ʂʅ6	
布	pu5	
帆	xuã2	
帆	xuã5	
希	ɕi1	
帕	pʰua7	
帖	tʰiɛ7	
帘	lĩ2	
帚	tʂau3	
帝	ti5	
師	sɿ1	
席	si7	
帳	tʂaŋ5	
帶	ta5	
常	ʂaŋ2	
帽	mɔ6	
幔	mã5	
幣	pɛ5	
幪	maŋ1	覆蓋
幫	paŋ1	
平	pin2	(文)
平	piaŋ2	(白)
年	ȵĩ2	
幸	ɕin5	
幹	kã5	～勁；～部
幺	iɔ1	
幻	xuã5	
幻	xŋ̍5	(白)
幼	io5	
幽	io1	
幾	tɕi1	～乎
幾	tɕi3	～個
庇	pʰi3	
牀	tsaŋ2	
序	ʂy3	(文)
序	si5	(白)(又)
序	tsi6	(白)
底	ti3	
店	tĩ5	
庚	tɕĩ1	(白)
庚	kɛn1	(文)
府	xu3	
度	tau5	
座	tso6	
庫	kʰu5	
庭	tin2	
庵	ŋo1	(白)
庵	ŋã1	(文)
庶	ʂy5	
康	kʰaŋ1	
庸	in2	
庹	pʰua1	(訓讀)一～：兩臂平伸時兩手間的距離
廁	tsʰɿ5	
廂	siaŋ1	
廈	ɕia6	
廉	lĩ2	
廊	laŋ2	
廒	ŋɔ2	
廓	ko7	
廖	liɔ6	
廚	tʂy2	
廝	sɿ1	
廟	miɔ6	
廠	tʂʰaŋ3	
廢	xui5	
廣	kaŋ3	(白)
廣	kuaŋ3	(文)
廩	lin3	
廬	lau2	
廳	tʰin1	
延	ĩ2	
廷	tin2	
建	tɕĩ5	
弄	lɛn5	
弊	pɛ6	
弋	i5	
式	ʂʅ5	
弓	kɛn1	
引	in3	
弗	xu7	
弘	xɛn2	
弛	tʂʅ2	
弟	ti5	(文)
弟	ti6	(白)
弦	ɕyĩ2	
弧	xu2	
弱	ȵio7	
張	tʂaŋ1	
張	tʂaŋ3	
強	tɕiaŋ2	～弱、富～
強	tɕʰiaŋ3	勉～
弼	pʰi7	(文)
彀	kɔ5	
彈	tã2	
彌	mɛ2	
彌	mĩ2	
彎	uã1	
形	ɕin2	
彥	ȵĩ5	
彩	tsʰɛ3	
彪	piɔ1	
彬	pin1	
彭	põ2	(白)
彭	pɛn2	(文)
影	in3	(文)
影	iaŋ3	(白)
彷	xaŋ2	(白)
彷	xuaŋ2	(文)
役	y5	
彼	pi3	
彿	xu7	
往	uaŋ3	
征	tʂɛn1	
待	tɛ5	(文)
待	tɛ6	(白)
很	xɛ1	(白)
很	xɛn3	(文)
律	li7	
後	xɔ6	(文)
後	ɕiɔ6	(白)～日
徐	tsi2	
徑	tɕin5	
徒	tau2	
徒	si3	
徛	tɕi6	站立
從	tsɛn2	
御	y5	
循	tsɛn2	
徭	iɔ2	
微	ui2	
徵	tʂɛn1	
徹	tʂʰɛ5	
徽	xui1	
心	sin1	
必	pi7	
忌	tɕi6	
忍	ȵin3	(白)
忍	yɛn3	(文)
忖	tsʰɛn5	
志	tʂʅ5	
忘	uaŋ2	
忙	maŋ2	
忠	tʂɛn1	
忤	u3	
快	kʰua5	
念	ȵĩ5	(文)
念	ȵĩ6	(白)
忽	xu7	
忿	xuɛn5	
怎	tsɛn3	
怒	lau5	
怕	pʰua5	
怖	pu5	
思	sɿ1	
怠	tɛ5	
怡	i2	
急	tɕi7	
性	sĩ1	(白)
性	sin5	
怨	yĩ5	
怪	kua5	
怯	tɕʰiɛ7	
恃	sɿ5	
恆	xɛn2	
恐	kʰɛn3	
恕	ʂy5	
恢	xuɛ1	
恤	si7	
恥	tʂʰʅ3	
恨	xɛn2	(白)
恨	xɛn5	(文)
恩	ŋɛn1	
恫	tɛn6	
恭	kɛn1	
息	si7	
恰	tɕʰia7	
悄	tsʰiɔ3	
悅	yɛ7	
悉	si7	
悔	xuɛ3	(白)
悔	xui3	(文)
悟	u5	(文)
悟	u6	(白)
悠	io1	
患	xuã5	
患	xŋ̍5	
悲	pɛ1	
悴	tsʰɛ5	
悶	mɛn5	
悼	tiɔ5	(白)
情	tsin2	
惋	ŋ̍3	
惑	xo7	
惜	si7	
惟	ui2	
惠	xui5	
惡	o5	
惰	to5	
惱	lɔ3	
想	siaŋ3	
惹	ȵiã3	(白)
愁	tsiɔ2	(白)
愁	tsau2	(文)
愈	y5	
愉	y2	
意	i5	
愚	y2	
愛	ŋɛ5	
感	kã3	
愣	lin2	
愧	kʰui5	
愷	kʰɛ3	
慈	tsɿ2	
態	tʰa5	
慌	xaŋ1	(白)
慌	xuaŋ1	(文)
慎	ʂɛn5	
慕	mõ5	
慘	tsʰã3	
慚	tsã2	
慢	mã6	
慢	mã7	～下唧：稍等一下
慣	kuã5	
慧	xui5	
慨	kʰɛ5	
慪	ŋɔ5	
慫	tsʰɛn3	
慮	lɛ5	
慰	ui5	
慶	tɕʰin6	
慷	kʰaŋ3	
憂	io1	
憎	tsʰɛn5	
憐	lin2	
憑	pin2	
憤	xuɛn5	
憨	xã1	
憫	min3	
憲	ɕĩ5	
懂	tɛn3	
懇	kʰɛn3	
應	in5	
懊	ŋɔ5	
懲	tʂʰɛn3	
懶	lã3	
