#漢字	音標	解釋
□	nam1	蘸酱油
今	kɐn1	
介	kai3	
仍	ŋɛŋ2	
从	tsʰoŋ2	~容
从	tsʰoŋ2	跟~
倉	tsʰaŋ1	
仔	tsɐi3	~
仕	si2	
他	tʰa1	
仗	tsiŋ3	
付	fɐu2	
仙	sin1	
代	tʰai2	
以	zi2	
儀	ŋi2	
仰	ŋoŋ3	
仲	tsoŋ3	
件	kʰin2	
任	ŋiɐm2	姓
任	ŋiɐm2	责~
份	fɐn2	
仿	fuŋ3	
伊	zi1	
伍	ŋo3	
伏	fok8	
伐	fat8	
休	hɐu1	
衆	tsoŋ3	
優	zɐu1	
伙	vo3	
會	huoi2	~计
會	huoi2	~不~
會	huoi2	开~
傘	san3	
偉	vɐi3	
傳	tsʰun2	~达
傳	tsʰun2	~记
伢	ŋa2	
傷	siŋ1	
倫	lɐn2	
僞	ŋɐi2	
伯	pɛk7a	
估	kʰu3	
伴	pʰun3	
伶	lɛŋ2	
伸	sɐn1	
似	si2	
佃	tʰin2	
但	tʰan1	
佈	pɐu3	
低	tɐi1	
住	tsʰɐu2	
佐	tsa3	
體	tʰɐi3	
何	ha2	
余	zɐu2	
佛	fɐt7a	
作	tsak7b	
你	nɐi3	
佢	kɐu2	
佩	pui3	
佳	kai1	
使	sɐi2	
侄	tsʰɐt8	
侈	si2	
例	lɐi2	
侍	si2	
供	pɛŋ3	
供	koŋ1	~给
供	koŋ1	上~
依	ɐi1	
僥	hiu3	
偵	tsɐŋ1	
側	tsʰak7a	
僑	kʰiu2	
侮	fui3	
侯	hɐu2	
侵	tsʰɐn1	
便	pʰin2	~宜
便	pʰin2	方~
促	tsʰok7a	
俄	ŋo2	
俊	tsɐn3	
俗	sok8	
俘	fu1	
保	pau3	
信	sɐn3	
儼	ŋim2	
儉	kim3	
修	sɐu1	
俯	fɐu3	
俱	kʰui2	
俸	foŋ2	
俾	pʰɐi3	
倍	pʰui3	
倒	tau3	~水
倒	tau3	打~
倘	tʰaŋ3	
候	hɐu2	
倚	zi3	
借	tsi3	
倡	tsʰiŋ1	
倦	kʰin3	
倪	ŋɐi2	
債	tsai3	
值	tsʰɛk8	
傾	kʰɛŋ1	
假	ka3	敌~
假	ka3	真~
偏	pʰin1	
做	tsu3	
停	tʰɛŋ2	
健	kin3	
偶	ŋɐu3	~然
偶	ŋɐu3	配~
偷	tʰɐu1	
償	siŋ2	
傀	kʷɐi3	
傅	fɐu2	
傍	pʰaŋ2	
儲	tsʰi2	
催	tsʰui1	
傲	ŋau2	
像	siŋ3	
僵	kiŋ1	
僻	pʰɛk7a	
儒	zi2	
儡	lui3	
兒	ŋi2	
允	zɐn1	
元	ŋiun2	
兄	vɛŋ1	
充	tsʰuŋ1	
兆	tsʰiu2	
先	sin1	
光	kuŋ1	
克	hak7a	
免	min3	
兑	tui3	
兔	tʰu3	
黨	taŋ3	
兜	tɐu1	
入	zɐp7a	
全	tsʰun2	
八	pat7b	
公	koŋ1	
六	lok7a	
蘭	lan2	
共	kʰoŋ2	
關	kʷan1	
興	hɛŋ1	~旺
興	hɛŋ3	高~
兵	pɐŋ1	
其	kʰɐi2	
具	kʰɐu2	
典	tim3	
兹	tsʰi2	
養	ziŋ3	
兼	kim1	
獸	sau3	
内	nui2	
冇	mau2	
岡	kaŋ1	
册	tsʰak7b	
再	tsai3	
冒	mau2	
寫	si3	
軍	kʷɐn1	
農	noŋ2	
冠	kun3	~军
冠	kun1	衣~
冤	zin1	
冬	toŋ1	
馮	foŋ2	
冰	pɛŋ1	
冲	tsʰoŋ1	
決	kʰit7b	
况	kʰoŋ3	
冷	lɛŋ3	
凍	toŋ3	
淨	tsʰɛŋ2	
涼	liŋ2	
凌	lɛŋ2	
減	kam3	
湊	tsʰɐu2	
凝	nɛŋ2	
几	kɐi1	~乎
几	kɐi3	~个
几	kɐi1	茶~
凡	fan2	
鳳	fuŋ2	
凭	pʰaŋ2	
凱	kʰai3	
凳	taŋ3	
凶	hoŋ1	
出	tsʰɐt7b	
擊	kɛk7a	
函	ham2	
鑿	tsʰak7b	
刀	tau1	
刁	tiu1	
刃	ŋiɐn2	
分	fɐn1	
切	tsʰit2	
刊	han3	
刎	mɐn3	
刑	hɛŋ2	
划	vɛk7b	~船
划	vɛk7b	计~
列	lit7b	
劉	lɐu2	
則	tsak7a	
剛	kaŋ1	
創	tsʰuŋ3	
初	tsʰa1	
删	san1	
判	pʰun2	
刨	pʰau3	
利	lɐi2	
别	pʰit8-	
别	pʰit8	区~
刮	kʷat7b	
到	tau3	
制	tsɐi3	
刷	tsʰat7b	
券	kin3	
刺	tsʰi3	
刻	hak7a	时~
刻	hak7a	用力~
劊	kʰʷai3	
刴	tok7b	
劑	tsɐi1	
剃	tʰɐi3	
削	sik7b	
前	tsʰin2	
剮	kʷak7b	
劍	kim3	
剔	tʰɛk7a	
剖	pʰɐu3	
剜	vun3	
剝	puk7b	
劇	kʰɛk8	~烈
劇	kʰɛk8	戏~
剩	sɛŋ2	
剪	tsin3	
副	fɐu3	
割	kat7b	
劈	pʰɛk7a	
力	lɛk7a	
勸	hin3	
辦	pin3	
功	koŋ1	
加	ka1	
務	mɐu2	
劣	lɛt7a	
動	tʰoŋ2	
助	sa2	
努	nɐu3	
劫	kit7b	
勵	lɐi2	
勁	kɛŋ3	~敌
勁	kɐŋ3	有~
勞	lau2	
勢	sɐi2	
勃	pʰut7b	
勇	zuŋ3	
勉	min3	
勳	hɐn1	
勒	lak7a	
勘	kʰam3	
募	mɐu2	
勤	kʰɐn2	
勺	sɛk7b	
勾	kɐu1	
勾	ŋɐu2	~当
勿	mɐt7a	
匀	zɐn2	
包	pau1	
匆	tsʰoŋ1	
化	va3	
北	pak7a	
匙	si2	
匠	tsʰiŋ2	
匡	kʰʷaŋ1	
匣	kap7b	
匪	fui3	
匹	pʰɛt7a	
區	kʰɐi1	
醫	ɐi1	
匾	pɛn3	
匿	nak7b	
十	sɐp8	
千	tsʰin1	
升	sɛŋ1	
午	ŋo3	
半	pun3	
華	va2	
協	hip7b	
卑	pɐi1	
卒	tsɐt8	兵~
單	tan1	~独
賣	mai2	
南	nam2	
博	puk7b	
卜	pʰuk8	
占	tsim1	~卜
占	tsim1	~领
盧	lu2	
卦	kʷa2	
臥	ŋo2	
衛	vɐi2	
卯	mau3	
印	ɐn3	
危	ŋɐi2	
即	tsɛk7a	
卻	kʰɛk7b	
卵	lun3	
卷	kin3	
卸	si3	
卿	kʰɛŋ1	
廠	tsʰuŋ3	
廳	tʰɛŋ1	
历	lɛk7a	
厲	lɐi2	
壓	ap7b	
厭	zim3	
厘	lɐi2	
厚	hɐu2	
原	ŋiun2	
廂	siŋ1	
厥	kʰit7b	
厦	ha2	偏~
廚	tsʰɐu2	
厮	si1	
去	hɐu3	
縣	zun2	
参	tsʰam1	
参	tsʰam1	~差
参	sɐn1	人~
又	zɐu2	
叉	tsʰa1	
及	kɐp7a	
友	zɐu3	
雙	suŋ1	
反	fan3	
发	fat7b	
叔	sok7a	
取	tsʰɐi3	
受	sɐu2	
變	pin3	
敍	tsʰui2	
叛	pʰun2	
叟	sɐu3	
疊	tʰip8	
口	hɐu3	
古	ku3	
句	kɐu3	
另	lɛŋ2	
叨	tau1	
叩	kʰɐu3	
只	tsɛk7a	
叫	kiu3	
召	tsiu1	
可	kʰa3	
台	tʰai2	
史	sɐi2	
右	zɐu2	
葉	zip7b	
號	hau2	~数
號	hau2	呼~
司	sɐi1	
嘆	tʰan3	
吁	ɐu1	
吃	hɛk7a	
各	kak7b	
吆	ziu1	
合	hap7b	
合	hap7b	十~一升
吉	kɐt7a	
吊	tiu3	
同	tʰoŋ2	
名	mɛŋ2	
后	hɐu2	
吏	lɐi2	
吐	tʰu3	
向	hiŋ3	
嚇	hak7b	
呂	lui3	
君	kʷɐn1	
吞	tʰɐn1	
吟	ŋiɐm2	
吠	fɐi7a	
否	fɐu3	
含	ham2	
聽	tʰɛŋ3	~见
聽	tʰɛŋ3	~任
啓	kʰɐi3	
吳	ŋo2	
吵	tsʰau3	
吸	kɐp7a	
吹	tsʰui1	
吻	mɐn3	
吼	kʰoŋ3	
吾	ŋo2	
呆	tai3	
呈	tsʰɛŋ2	
告	kau3	
員	zun2	
周	tsɐu1	
味	mɐi2	
呼	fu1	
命	mɛŋ2	
和	vo2	~气
和	vo2	~面
咎	kʰɐu2	
詠	vɛŋ3	
咒	tsɐu3	
咨	tsɐi1	
咬	ŋau3	
咳	kʰɐt7a	
咸	ham2	
咽	zin3	
哀	ai1	
品	pʰɐn3	
哄	hoŋ3	
哈	ha1	~腰
響	hiŋ3	
哎	ɐu3	
啞	ŋa3	
哥	ka1	
哪	na3	
哭	hok7a	
哲	tsit7b	
哽	kʰaŋ3	
唆	sa1	
唐	tʰaŋ2	
嘮	lau2	
喚	vun2	
售	sɐu2	
唯	vɐi2	
唱	tsʰiŋ3	
唾	tʰui2	
商	siŋ1	
嗇	sɛk7a	
囉	la2	
啼	sui1	
啼	tʰɐi2	
善	sun2	
喉	hɐu2	
喊	ham3	
喘	tsʰɐn3	
喜	hɐi2	
喝	hot7b	~酒
喝	hot7b	~采
喧	sin1	
噴	pʰɐn3	
喻	zi2	
嗅	hoŋ3-	
嗅	tsʰɐu2=	
嗓	saŋ1	
嗜	si3	
嗣	tsʰi2	
嗤	tsʰi3	
嗦	su3	
嗽	sɐu3	
嘉	ka1	
嘘	hɐu1	
囑	tsok7a	
嘴	tsui3	
器	hɐi3	
囂	hiu1	
囊	naŋ2	
囚	sɐu2	
四	sɐi2	
回	huoi2	
因	ɐn1	
团	tʰun2	
囤	tɐn1	
園	zun2	
困	kʰʷɐn3	
囱	tsʰoŋ1	
圍	vɐi2	
固	ku3	
國	kuk7b	
圖	tʰu2	
圓	zun2	
圈	kʰɛn1	圆~
圈	kʰɛn1	猪~
土	tʰu3	
聖	sɛŋ3	
在	tsʰai2	
圭	kʷɐi1	
地	tʰɐi2	
場	tsʰiŋ2	
均	kʰʷɐn1	
坎	kʰam3	
壞	vai2	
坐	tsʰu2	
坑	haŋ1	
塊	vai3	
堅	kin1	
坛	tʰan1	
壩	pa3	
墳	fɐn2	
坡	pʰu1	
坤	kʰʷɐn1	
坦	tʰan3	
坪	pʰɛŋ2	
坯	pʰui1	
坳	au3	
垂	tsʰui2	
壠	luŋ3	
型	hɛŋ2	
墾	hɐn3	
墊	tʰin2	
垮	kʰʷa1	
埂	kaŋ3	
埃	ai1	
埋	mai2	
城	sɛŋ2	
域	vɛk7b	
埠	fɐu2	
培	pʰui2	
基	kɐi1	
堂	tʰaŋ2	
堆	tui1	
堡	pau3	
堤	tʰɐi2	
堰	zin3	
堵	tu2	
塑	tsʰak7b	~像
塔	tʰap7b	
塘	tʰaŋ2	
塞	sɐk7a	
填	tʰin2	
境	kɛŋ3	
墓	mɐu2	
牆	tsʰiŋ2	
增	tsʰaŋ1	
墟	hɐu1	
墨	mak7a	
墩	tɐn1	
壁	pɛk7a	
壅	oŋ1	
壕	hau2	
壘	lui3	
壤	ŋiŋ2	
士	si2	
壬	ŋiɐm2	
壯	tsaŋ3	
聲	sɛŋ1	
殼	hak7b	
壺	fu2	
壻	sɐi2	
處	tsʰɐu3	~所
處	tsʰɐu3	相~
備	pʰɐi2	
复	fok7a	
夏	ha2	姓~
夏	ha2	春~
夕	tsʰɛk8	
外	vai3	
多	ta1	
夜	zi2	
够	kɐu3	
大	tʰai2	
天	tʰin1	
太	tʰai3	
夫	vu1	
央	ziŋ1	
失	sɐt2	
頭	tʰɐu2	
夷	zi1	
夾	kɛp2	
奪	tʰut8	
奇	kʰɐi2	
奈	nai2	
奉	foŋ2	
奮	fɐn3	
奎	kʰʷɐi1	
奎	kʰʷɐi3	
奏	tsʰɐu2	
契	kʰɐi3	
契	kei3	
奔	pɐn1	
獎	tsiŋ3	
套	tʰau3	
奠	tʰin2	
奢	si1	
奧	au3	
女	nɐu3	
奴	nu2	
奶	nai3	
奸	kan1	
好	hau3	~坏
好	hau3	喜~
如	zu2	
妃	fɐi1	
妄	moŋ2	
婦	fɐu2	
媽	ma2	
妍	pɛŋ3	
妖	ziu1	
妗	kʰɐn3	
妙	miu3	
妥	tʰo3	
妨	fuŋ2	
妹	moi2	
妻	tsʰɐi1	
妾	tsip7b	
姊	tsi3	
始	tsʰɐi3	
姑	ku1	
姓	sɛŋ3	
委	vɐi3	
姚	ziu2	
姜	kiŋ1	
姨	zi1	
姻	ɐn1	
姿	tsɐi1	
威	vɐi1	
嬌	kiu1	
娘	niŋ2	
娠	sɐn1	
娩	min3	
娛	zi2	
娶	tsʰɐi3	
婆	pʰu2	
婚	fɐn1	
婢	pʰɐi2	
嬰	iŋ1	
嬸	sɐn3	
媒	mui2	
媚	mɐi2	
媳	sɛk7a	
嫂	sau3	
嫌	him2	
嫖	pʰiu2	
嫡	tɛk7a	
嫩	nuon2	
嬉	hɐi1	
孀	saŋ1	
子	tsi3	
孔	kʰuŋ3	
孕	ŋiɐn2	
字	tsʰɐi2	
字	zi3	
存	tsʰuon2	
孫	suon1	
孝	hau2	
孟	maŋ3	
季	kʷɐi3	
孤	ku1	
學	hak7b	
孩	hai2	
孽	nit7b	
寧	nɛŋ2	~可
寧	nɛŋ2	安~
宅	tsʰɛk7b	
守	sɐu3	
安	an1	
宋	suŋ3	
完	zun2	
宏	hoŋ1	
宗	tsoŋ1	
官	kun1	
宙	tsʰɐu2	
定	tʰɛŋ2	
定	tʰiŋ3	
宛	vun3	
宜	ŋi2	
寶	pau3	
實	sɐt8	
寵	tsʰoŋ2	
審	sɐn3	
客	hɛk7b	
宣	sin1	
室	sɐt2	
宦	fan2	
宪	hin3	
宮	koŋ1	
宰	tsai3	
害	hai2	
宴	zin3	
宵	siu1	
家	ka1	
容	zoŋ2	
寬	fun1	
賓	pɐn1	
宿	sok7a	
宿	sok7a	星~
寂	tsɐk7a	
寅	zin3	
密	mɐt7a	
富	vu3	
寐	mɐi2	
寒	han2	
寓	zi2	
寢	tsʰɐn3	
寞	muk7b	
察	tsʰat7b	
寡	kʷa3	
寥	liu2	
寨	tsʰai2	
寨	sai3	
寸	tsʰun3	
對	tui3	
寺	tsʰi2	
導	tʰau2	
導	tsʰɐn2	
壽	sɐu2	
封	foŋ1	
射	sɛ2	
射	si2	
將	tsiŋ1	~来
將	tsiŋ3	大~
尊	tsun1	
小	siu3	
少	siu3	~年
少	siu3	多~
尔	nɐi2	
尖	tsim1	
塵	tsʰɐn2	
尚	siŋ2	
嘗	tsʰiŋ2	
尤	zɐu2	
堯	hiu3	
尬	kai3	
就	tsʰɐu2	
尷	kam3	
屍	si1	
尺	tsʰɛk7a	
尼	nɐi2	
尽	tsʰɐn2	
尾	mɐi3	
局	kʰok8	
層	tsʰaŋ2	
居	kɐi1	
屈	kʰʷɐt7a	
屉	tʰɐi3	
屆	kai3	
屋	ok7a	
屎	si3	
屏	pʰɛŋ2	
屐	kʰɛk8	
屑	siu1	
展	tsin3	
屬	sok8	
屠	tʰu2	
屢	lɐu3	
履	lɐi2	
山	san1	
歲	sui3	
豈	kʰɐi3	
岐	kʰɐi2	
岑	sɐn2	
岔	tsʰa1	
崗	kaŋ1	
島	tau3	
巖	ŋan2	
岳	ŋak7b	
岸	ŋan2	
峽	hip7b	
峰	foŋ1	
崇	tsʰoŋ2	
崑	kʰʷɐn1	
崔	tsʰui1	
崖	ŋan2	
崙	lɐn2	
崩	paŋ1	
嵌	hɐn3	
川	tsʰuan3	
州	tsɐu1	
巡	sɐn2	
巢	tsʰau2	
工	koŋ1	
左	tsa3	
巧	kʰiau3	
巨	kʰɐu2	
鞏	kʰoŋ3	
巫	mu1	
差	tsʰa1	~不多
差	tsʰai1	出~
差	tsʰa1	参~
已	zi2	
已	kɐi3	
巳	si2	
巴	pa1	
巷	haŋ3	
巾	kɐn1	
幣	pɐi3	
市	si2	
布	pɐu3	
帆	fan2	
師	si1	
希	hɐi1	
帳	tsiŋ3	
帕	pʰɛk7b	
帖	tʰip7b	
帘	lim2	
帚	tsɐu3	
帛	pʰɛk8	
帝	tɐi3	
帶	tai3	
席	tsʰɛk8	
席	tsʰik8	~子
幫	puŋ1	
常	tsʰiŋ2	
帽	mau2	
幅	fok7a	
幔	man2	
幕	muk7b	
干	kan1	
干	kan1	~湿
干	kan3	~活
平	pʰɛŋ2	
年	nin2	
并	pɛŋ3	
幸	haŋ2	
幻	fan2	
幼	zɐu3	
幽	zɐu1	
廣	kuŋ3	
莊	tsaŋ1	
慶	kʰɛŋ3	
庇	pʰɐi3	
牀	saŋ2	
序	tsʰui2	
廬	lu2	
庫	kʰu2	
應	ɛŋ1	~当
應	ɛŋ3	~对
底	tɐi1	
店	tim3	
廟	miu2	
庚	kaŋ1	
府	fɐu3	
龐	pʰaŋ2	
廢	fɐi3	
度	tʰu2	
座	tsʰa2	
庭	tʰɛŋ2	
庵	an2	
庶	su3	
康	haŋ1	
庸	zoŋ2	
廉	lim2	
廊	laŋ2	
廓	kuk7b	
廖	liu2	
延	zin2	
廷	tʰɛŋ2	
建	kin3	
開	hai1	
异	zi2	
弃	hɐi3	
弄	loŋ2	
弊	pɐi3	
式	sɛk7a	
弓	koŋ1	
引	zɐn1	
弘	hoŋ2	
弟	tʰɐi2	
張	tsiŋ1	
弥	nɐi2	
弦	hin2	
彎	van1	
弱	ŋik7b	
彈	tʰan1	~琴
彈	tʰan1	子~
强	kʰiŋ2	
强	kʰiŋ3	勉~
弼	pɛt7a	
歸	kʷɐi1	
當	taŋ1	~时
當	taŋ3	~作
录	lok7a	
形	hɛŋ2	
彩	tsʰai3	
彪	piu1	
彬	pɐn1	
彭	pʰaŋ2	
影	ɛŋ3	
彷	fuŋ3	
役	zɛk7a	
徹	tsʰit2	
彼	pʰɐi3	
彿	fɐt7a	仿~
往	vuŋ3	
征	tsɛŋ1	
徑	kɛŋ1	
待	tʰai2	
很	hɐn3	
律	lɐt7a	
徐	tsʰɐu2	
徒	tʰu2	
得	tak7a	
御	zi3	
循	sɐn2	
微	mɐi2	
德	tak7a	
徽	fɐi1	
心	sɐn1	
必	pit2	
憶	ɛk7a	
忌	kʰɐi2	
忍	ŋiɐn3	
忖	tsʰun3	
志	tsi3	
忘	moŋ2	
忙	muŋ2	
忠	tsuŋ1	
憂	zɐu1	
快	vai3	
念	nim2	
忽	fɐt7a	
忿	fɐn3	
態	tʰai3	
慫	suŋ3	
慪	ɐu3	
怒	nu2	
怕	pʰa3	
怖	pou3	
憐	lɛn2	
思	sɐi1	
怠	tʰai2	
急	kɐp7a	
性	sɛŋ3	
怨	zin3	
怪	kʷai2	
總	tsoŋ3	
恃	si2	
戀	lin2	
恐	kʰoŋ3	
恆	haŋ2	
恕	su3	
恢	fui1	
恤	sɛt7a	
恨	hɐn2	
恩	ɐn1	
恭	koŋ1	
息	sɛk7a	
懇	hɐn3	
恶	ak7b	可~
恶	ak7b	善~
惱	nau3	
悄	siu1	
悉	sik7a	
悔	fui3	
悟	ŋo2	
悠	zɐu2	
患	fan2	
悦	zit7b	
懸	hin2	
憫	mɐn3	
悲	pui1	
情	tsʰɛŋ2	
驚	kɛŋ1	
惑	vɛk7b	
惜	sɛk7a	
惟	vɐi2	
惠	huoi2	
懼	kʰɐu2	
慘	tsʰam3	
懲	tsʰiŋ2	
慚	tsʰam2	
慣	kun3	
惰	tʰo3	
想	siŋ3	
惹	zi3	
愁	tsʰɐu2	
愈	zi2	
意	ɐi2	
愚	zi2	
感	kam3	
憤	fɐn3	
愧	kʰʷɐi3	
願	ŋiun2	
慈	tsʰi2	
慌	fuŋ1	
慎	sɐn2	
慕	mɐu2	
慢	man2	
慧	huoi2	
慨	kʰai3	
慰	vɐi3	
慷	haŋ1	
憎	tsʰaŋ1	
憨	ŋoŋ2	
憾	ham3	
懂	toŋ3	
懈	hai2	
懊	au3	~恼
懊	au3	~悔
懶	lan3	
懵	moŋ2	
戈	ku1	
戊	mau2	
戌	sɛt7a	
戎	zoŋ2	
戲	hɐi3	
成	sɛŋ2	
我	ŋa3	
戒	kai3	
或	vɛk7b	
戰	tsin3	
戚	tsʰɛk7a	
戟	kɐk7a	
截	tsʰit2	
戳	tsʰuk7b	
戴	tai3	
戶	fu2	
戽	vu3	
房	fuŋ2	
所	su3	
扁	pɛn3	
扇	sin3	
手	sɐu3	
才	tsʰai2	
扎	tsat7b	
扑	pʰuk8	
打	ta3	
扔	ŋɛŋ2	
托	tʰak7b	
扛	kaŋ1	
扣	kʰɐu3	
執	tsɐp7a	
擴	kʰaŋ3	
掃	sau3	~地
揚	ziŋ2	
扭	nɐu3	
扮	pʰan3	
扯	tsʰi3	
擾	ziu3	
扳	pʰan2	
扶	fɐu2	
批	pʰɐi1	
扼	ak7b	
找	tsau3	
承	sɛŋ2	
抄	tsʰau1	
把	pa3	
抑	ɛk7a	
抓	tsa1	
投	tʰɐu2	
抖	tɐu3	
抗	kʰaŋ3	
折	tsit7b	~断
折	tsit7b	弄~了
撫	mu3	
抛	pʰau1	
摳	ɐu3	
搶	tsʰiŋ3	
護	hu2	
報	pau3	
披	pʰɐi1	
抬	tʰai2	
抱	pʰau3	
抵	tɐi3	
抹	mat7b	
押	ap7b	
抽	tsʰɐu1	
抿	mɐn3	
拄	tsʰɐu2	
擔	tam1	~任
擔	tam3	挑~
拆	tsʰɛk7b	
拇	mɐu3	
拈	nɛm1	~起来
拉	lai1	
拌	pʰun3	
拍	pʰɛk7b	
拎	lɛŋ2	
拒	kʰɐu2	
拔	pʰat8	
拖	tʰa1	
拘	kʰɐi1	
拙	tsit7b	
招	tsiu1	
拜	pai3	
擬	ŋi3	
攏	luŋ3	
揀	kan3	
擁	zoŋ3	
攔	lan2	
撥	put7b	
撥	pʰut7b	
擇	tsʰɛk7b	
括	kʷat7b	
拯	sɛŋ2	
拱	kuŋ3	
拳	kʰun2	
拼	pʰɛŋ3	~命
拿	na3	
持	tsʰi2	
挂	kʷa2	
指	tsi3	
按	an2	
挑	tʰiu1	
挖	vɛt7b	
挾	kɛp2	~菜
撓	ŋiau1	
擋	taŋ3	
擠	tsɐi1	
揮	fɐi1	
挨	ŋai2	
挪	no2	
振	tsɐn3	
挺	tʰiŋ3	
挽	van3	
捅	tʰoŋ3	
捉	tsuk7b	
捋	lut7b	
捎	sau1	
捏	nɛt7b	
捐	kin1	
捕	pʰɐu2	
撈	lau2	
損	sun3	
換	vun2	
捧	pʰoŋ3	
捨	sɛ3	
据	kʰɐi2	
捱	ŋai2	
捲	kʰɛn3	
捷	tsip7b	
捺	nai2	
掀	hin1	
掂	tʰim2	
授	sɐu2	
掉	tʰiu2	
掌	tsiŋ3	
掏	tʰau2	
排	pʰai2	
掘	kʰʷɐt8	
掠	lɛk7b	
探	tʰam3	
接	tsip7b	
控	hoŋ3	
推	tʰui1	
掩	ŋim3	
措	tsʰak7b	~置
掭	tʰim2	
擲	tsai1	
揉	zɐu2	
描	miu2	
提	tʰɐi2	
插	tsʰap7b	
揖	zɐp7a	
揞	ŋɐn3	
握	ak7a	
揩	hai2	
揭	kʰit7b	
援	zun2	
攬	lam3	
撳	kʰɐn2	
攙	tsʰam1	
擱	kak7b	
摟	lɐu3	
攪	kau3	
搉	kʰak7b	
搊	tsʰɐu2	
搓	tsʰa1	
搜	sɐu1	
搞	kau3	
搨	tʰap7b	
搬	pun1	
搭	tap7b	
攜	kʰʷai2	
搽	tsʰa2	
攝	sip8	
摆	pai3	
摇	ziu2	
攤	tʰan1	
摘	tsʰak7b	
摞	lu2	
摩	mu1	
摸	mu1	
摹	mu1	
摺	tsip7b	
撇	pɐi3	
撇	pʰit7b	
撑	tsʰaŋ1	
撒	sat7b	
撕	si1	
撞	tsʰuŋ3	
撤	tsʰit2	
撩	liu2	
撰	tsin3	
撼	ham3	
操	tsʰau2	
擎	kʰɛŋ2	
擒	kʰɐn2	
擘	mɛk7b	
擦	tsʰat7b	
攀	pʰan1	
攢	tsan3	
支	tsi1	
收	sɐu1	
改	kai3	
攻	koŋ1	
放	fuŋ3	
政	tsɛŋ3	
故	ku3	
效	hau2	
敵	tʰɛk8	
敏	mɐn3	
救	kɐu3	
教	kau3	~书
教	kau3	~育
斂	lim3	
敢	kam3	
散	san3	分~
散	san3	鞋带~了
敦	tɐn1	~厚
㪗	tʰɐu2	
敬	kɛŋ3	
數	su3	
敲	hau1	
整	tsɛŋ3	
敷	fu1	
文	mɐn2	
齋	tsai1	
斑	pan1	
斗	tɐu3	
料	liu2	
斜	tsʰi2	
斟	tsɐn1	
斤	kɐn1	
斥	tsʰɛk7a	
斧	fɐu3	
斬	tsam3	
斷	tʰun2	~绝
斷	tʰun2	决~
斯	si1	
新	sɐn2	
方	fuŋ1	
施	si1	
旁	pʰaŋ2	
旅	lɐi3	
旋	sun2	
族	tsʰok8	
旗	kʰɐi2	
既	kɐi3	
日	ŋiɐt7a	
旦	tan2	
舊	kʰɐu2	
旨	tsi3	
早	tsau3	
旬	sɐn2	
旱	han2	
時	si2	
曠	kʰaŋ3	
旺	voŋ2	
昂	ŋaŋ3	
昆	kʰʷɐn1	
昌	tsʰiŋ1	
明	mɛŋ2	
昏	fɐn1	
易	zɛk7a	交~
易	zi2	难~
昔	sɛk7a	
星	sɛŋ1	
映	ɛŋ3	
春	tsʰɐn1	
昧	mei2	
昨	tsʰak7b	
昭	tsiu1	
是	si2	
顯	hin3	
晃	faŋ3	
晉	tsɐn3	
晌	hɛŋ3	
晏	an2	
曬	sai3	
曉	hiu3	
暈	vɐn2	
晚	man3	
晨	sɐn2	
普	pʰɐu3	
景	kɛŋ3	
晴	tsɛŋ1	
晴	tsʰɛŋ2	
晶	tsɛŋ1	
智	tsi3	
