#漢字	音標	解釋#('wuu_oj_rads', '瑞安東山話', '瑞安東山', '#8B0000', None, None, '來源：由東甌組<u>落橙</u>、<u>老虎</u>提供', '55 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,35 3 2a 陰上 ꜂,13 4 2b 陽上 ꜃,52 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,322 7 4a 陰入 ꜆,322 8 4b 陽入 ꜇', None, None)
吟	ȵiaŋ2	
吠	vai6	
否	fʋ3	
否	fɛ3	
否	fɛ7	
否	pʰei1	否掃：打噴嚏後說的辟邪語
含	ɦe2	
含	ɦø2	
含	ɦaŋ2	
听	tʰəŋ1	
吮	dʑioŋ4	
启	tɕʰi3	
吴	ŋ2	
吵	tsʰɔ3	
吹	tsʰəʉ1	
吻	vaŋ4	
吼	hau3	
吼	hau5	
吾	ŋ4	
呆	ŋe2	
呈	dzəŋ2	
告	kɛ5	
囈	ȵi6	
嘔	au1	
員	jy2	
呢	ȵi2	
呢	nei0	
周	tsɤu1	
味	mei6	
呷	hɔ7	
呼	fʋ1	
命	məŋ6	
和	vʋ2	
和	vʋ6	
咏	joŋ4	
咒	tsɤu5	
咨	tsɿ1	
咬	ŋɔ4	
咳	kʰe7	
咵	kʰʊ1	
咸	ɦɔ2	
咽	i5	
哀	e1	
品	pʰəŋ3	
哄	hoŋ3	
哇	ʋa5	
響	tɕʰiɛ3	
啞	ʊ5	啞佬：啞巴
噦	ø7	嘔吐
噦	ʊ7	
哥	kʋ1	
哭	kʰʋ7	
哲	tɕi7	
哽	ka3	
唆	sɤu1	
脣	zoŋ2	
唉	a3	
唉	e1	
唐	dʊ2	
嘮	lɛ2	
喚	ɕy5	
售	dzɤu2	
唯	vʉ2	
唯	vʉ4	
唱	tɕʰiɛ5	
唾	tʰai5	
唾	tʰɤu5	
啄	tɕiʊ7	
商	ɕiɛ1	
囉	lɤu2	
嘯	ɕy5	
啻	sei5	
啼	dei2	
喂	ʋʉ5	
善	ji6	
喇	lɔ1	
喉	ɦau2	
喊	hɔ3	
喘	tɕʰy3	
喜	ɕi3	
喝	hø7	呷hɔ7，不要和“喝”搞混
喧	ɕy1	
噴	pʰaŋ1	噴出
噴	pʰaŋ5	噴香
喻	vʉ6	
嗉	səʉ5	
嗓	sʊ3	
嗜	zɿ6	
嗝	ɦe8	打飽嗝
嗟	tsei1	
嗣	zɿ6	
嗤	tsʰɿ1	
嘉	kʊ1	
噓	ɕy1	
囑	tɕiʊ7	
嘴	tsəʉ3	
嘻	ɕi1	
噆	tsø1	刺痛
噎	i7	
器	tɕʰi5	
囂	ɕy1	
嚷	jɛ6	
嚼	jɔ8	
囊	nʊ2	
囚	zɤu2	
四	sɿ5	
回	vai2	
因	iaŋ1	
囡	nø1	
团	dø2	
囤	dø2	
囤	dø4	
園	jy2	田
困	kʰy5	睡觉
困	kʰaŋ5	困難
囱	tsʰoŋ1	
圍	vʉ2	
固	kʋ5	
國	ke7	
圖	dəʉ2	
圓	jy2	
圈	tɕʰy1	
圞	laŋ1	圓
圞	laŋ4	圓
土	tʰəʉ3	
聖	səŋ5	
在	zei2	
圭	tɕy1	
地	dei6	
場	dʑiɛ2	
址	tsɿ3	
均	tɕiaŋ1	
坍	tʰɔ1	
坎	kʰe3	
壞	va6	
坐	zʊ4	
坑	kʰa1	
塊	kʰai5	
堅	tɕi1	
坛	dɔ2	
坛	dɔ6	地壇：一塊地方
壩	pa5	
塢	ʋ1	
墳	vaŋ4	
墜	dzəʉ6	
坡	pʰʊ1	
坤	kʰø1	
坤	kaŋ1	
坤	kʰaŋ1	
坦	tʰɔ3	
坯	pʰai1	
坳	ɔ1	
垂	dzəʉ2	
壟	lʊ4	
壟	loŋ4	
型	jaŋ2	
