#漢字	音標	解釋#('wuu_oj_rads', '瑞安東山話', '瑞安東山', '#8B0000', None, None, '來源：由東甌組<u>落橙</u>、<u>老虎</u>提供', '55 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,35 3 2a 陰上 ꜂,13 4 2b 陽上 ꜃,52 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,322 7 4a 陰入 ꜆,322 8 4b 陽入 ꜇', None, None)
移	ji2	
穢	ʋʉ5	
稀	ɕi1	
程	dzəŋ2	
稍	sɔ1	
稅	səʉ5	
稗	ba6	
稚	dzɿ4	
稠	dzɤu2	
穩	ʋaŋ3	
稷	tsei7	
稻	dɛ4	
稼	kʊ5	
稽	tɕi1	
稿	kɛ3	
穄	tsei5	
穆	mʊ8	
穗	zəʉ6	
穴	jy8	
窮	dʑioŋ2	
穹	tɕʰioŋ1	
空	kʰoŋ1	
空	kʰoŋ5	
穿	tɕʰy1	
穿	tsʰoŋ1	伸、穿
突	dø8	
窄	tsa7	
竅	tɕʰy5	
窑	jy2	
窒	tsa7	
窖	kɔ5	
窗	tɕʰiʊ1	
窘	dʑioŋ4	
竄	tsʰø5	
窩	ʋ1	
窟	kʰy7	
窠	kʰʋ1	
窺	kʰai1	
窨	iaŋ5	
豎	zəʉ4	
站	dzɔ6	車站
競	dʑiaŋ6	
竟	tɕiaŋ5	
章	tɕiɛ3	
竣	tsoŋ5	
童	doŋ2	
竭	dʑi8	
端	tø1	
竹	tsɤu7	
竽	vʉ2	
竿	kø1	
篤	tɤu7	
笊	tsɔ5	
笋	soŋ3	
笋	ɕioŋ3	
笑	ɕy5	
笔	pei7	
笙	sa1	
笛	dei8	
笠	lɛ8	
符	vʉ2	
笨	baŋ6	
第	dei6	
箋	tɕi1	
籠	loŋ2	
等	taŋ3	
筋	tɕiaŋ1	
筏	vɔ8	
筐	tɕʰiʊ1	
筑	tsɤu7	
筒	doŋ2	
答	te7	
答	tø7	
答	tɔ7	
策	tsʰa7	
篩	sɿ1	
篩	sa1	
箏	tsaŋ1	
筵	ji2	
筷	kʰa5	
籌	dzɤu2	
签	tɕʰi1	
簡	kɔ3	
箅	pei5	
箍	kʋ1	
算	sø5	
管	ky3	
籮	lɤu2	
簫	ɕy1	
箬	ȵiɔ8	粽箬
箭	tɕi5	
箱	ɕiɛ1	
箸	dzei2	筷子
篆	dʑy4	
篇	pʰi1	
簍	laʊ4	
篡	tsʰø3	
篦	bei6	
籃	lɔ2	
篱	lei2	
篷	boŋ2	
篾	mi8	
簪	tsø1	
簸	pʊ3	
簸	pʊ5	
簿	bʊ4	
籍	tsei7	
米	mei4	
籴	dei8	
类	lai6	
粉	faŋ3	
粒	lø8	
粗	tsʰəʉ1	
粘	ȵi1	
粘	ȵi2	
糶	tʰuɔ5	
粟	ɕiʊ7	
粤	jy8	
粥	tsɤu7	
糞	faŋ5	
糧	liɛ2	
粱	liɛ2	
粹	zai6	
糉	tsoŋ5	
精	tsəŋ1	
糍	zɿ2	
糕	kɛ1	
糖	dʊ2	
糙	tsʰɛ1	
糜	mei2	
糟	tsɛ1	
糠	kʰʊ1	
糯	noŋ5	糯米
系	tɕi5	
系	ɕi5	
系	ji6	
素	səʉ5	
索	sʊ7	
索	soŋ7	索面
緊	tɕiaŋ3	
紫	tsɿ3	
累	lai4	
絮	səʉ5	
繁	vɔ2	
繫	tɕi5	
纂	tsø3	
纔	zei2	
紅	ɦoŋ2	
紂	dzɤu4	
纤	tɕʰi1	
纤	ɕi1	
約	iɔ7	
級	tɕia7	
紈	jy2	
紀	tɕi3	
緯	vʉ4	
純	zoŋ2	
紗	sʊ1	
綱	kʊ1	
納	nɔ8	
縱	tɕiʊ1	
縱	tɕiʊ5	
紛	faŋ1	
紙	tsei3	
紋	vaŋ2	
紡	fɔ3	
線	ɕi5	
組	tsəʉ3	
細	sei5	
織	tsei7	
終	tsoŋ1	
縐	tsaʊ5	
絆	pɔ5	
絀	tɕy7	
紹	jy6	
經	tɕiaŋ1	
綁	pʊ3	
絨	zoŋ2	
結	tɕi7	一种意思同打za8(残疾)，一种就是正常的打结。
繞	ȵy4	
繞	ȵy6	
繪	vai6	
給	tɕia7	
絡	lʊ8	
絕	jy8	
絞	kɔ3	
統	tʰoŋ3	
絹	tɕy5	
繡	sɤu5	
綏	səʉ1	
繼	tɕi5	
績	tsei7	
緒	zəʉ4	
續	jʊ8	
綽	tɕʰiɔ7	
繩	zəŋ2	
維	vʉ2	
綿	mi2	
綢	dzɤu2	
綻	dzɔ6	
綠	lʊ8	
綴	tsəʉ5	
緬	mi6	
纜	lɔ4	
緝	tsʰa7	
緞	dø6	
緩	jy4	
縷	laʊ4	
縷	ləʉ4	
編	pi1	
緣	jy2	
縛	ɦʊ8	
縫	voŋ2	
縫	voŋ6	
纏	dʑi2	
纏	dʑi6	
纏	dʑy2	
縊	i5	
纓	iaŋ1	
縮	sɤu7	
繰	tɕʰy1	
繳	tɕy3	
缸	kʊ1	
缺	tɕʰy7	
罐	ky5	
网	mʊ4	
罕	hø3	
羅	lɤu2	
罰	vɔ8	
罷	ba4	
罩	tsɔ5	
罪	zai4	
罪	zei4	罪過
置	tsɿ5	
署	dzəʉ4	
羈	tɕi1	
羊	jɛ2	
羌	tɕʰiɛ1	
美	mei4	
羔	kɛ1	
羞	sɤu1	
羡	ji6	
羣	dʑiaŋ2	
羹	ka1	
羽	vʉ4	
羽	vʉ6	
翁	oŋ1	
翅	tsʰɿ5	
翹	tɕʰy5	
翠	tsʰai5	
翰	ɦø6	
翻	fɔ1	
翼	ji8	
耀	jy6	
老	lɛ4	
考	kʰɛ3	
者	tsei3	
耆	dʑi2	
而	zɿ2	
耍	sʊ3	
耐	na6	
耕	ka1	
耗	hɛ5	
耨	nɛ6	
耩	kʊ3	
耳	zɿ4	土耳其
耳	ŋ4	
耶	ji2	
恥	tsʰɿ3	
耽	te1	
耿	ka3	
聶	ȵi8	
聊	luɔ2	
聾	loŋ2	
職	tsei7	
聘	pʰəŋ5	
聚	zəʉ4	
聰	tsʰoŋ1	
肅	sɤu7	
肄	ji6	
肆	sɿ5	
肇	dʑy4	
肉	ȵiɤu8	
肋	lei8	
肌	tɕi1	
肘	tsɤu3	
肚	təʉ3	
肚	dəʉ4	
肛	kʊ1	
肝	kø1	
腸	dʑiɛ2	
股	kʋ3	
肢	tsei1	
肤	fʉ1	
肥	bei2	肥拉肉
肥	vei2	
肩	tɕi1	
肪	fɔ1	
肫	tɕioŋ1	
骯	ʊ1	
肯	kʰaŋ3	
育	jɤu8	
肴	ɦɔ2	
肺	fai5	
腎	zaŋ4	
腫	tɕiʊ3	
脹	tɕiɛ5	
脅	ɕi7	
胃	vʉ6	
膽	tɔ3	
背	pai1	
背	pai5	
胎	tʰe1	
胖	bø4	
胚	pʰai1	
勝	səŋ5	
胞	pɔ1	
胡	vʋ2	
胥	səʉ5	
胦	iɛ1	
胳	kʊ7	
膠	kɔ1	
胸	ɕiʊ1	
能	na2	几能：什么时候
能	naŋ2	
脂	tsɿ3	
脂	tsei1	胭脂
脆	tsʰai5	
脉	ma8	
脊	tsei7	
脏	tsʊ1	
臍	zei2	
腦	nɛ4	
膿	ȵiʊ2	
膿	noŋ2	
脖	bø8	
腳	tɕiɔ7	
脯	fʋ3	
脯	bʊ2	
脫	tʰɛ7	脱衣裳
脫	tʰɔ7	
腡	lɤu2	
脾	bei4	
臘	lɔ8	
腋	ji8	
腐	vʉ6	
腑	fʉ3	
腔	tɕʰiɛ1	
腕	uɔ5	
腥	səŋ1	
腮	sɿ1	
腰	y1	
腱	dʑi6	
腹	fʋ7	
膩	ȵi4	
騰	daŋ2	
腿	tʰai3	
膀	pʰɔ3	翼膀
膀	bɔ2	
膀	bɔ4	翅膀
膊	pʊ7	
膏	kɛ1	
膜	mʊ8	
膝	sa7	
膨	ba2	
膨	pʰoŋ1	膨脹袋子
膳	ji4	
膻	dɔ6	
膻	sɔ1	
臀	dø2	
臂	pei5	
臊	sɛ1	
臟	zʊ6	
臣	dzaŋ2	
臧	tsʊ1	
自	zɿ6	
臭	tsʰɤu5	
至	tsɿ5	
致	tsɿ5	
臻	tsaŋ1	
舀	jy2	
舂	ɕiʊ1	
舌	ji8	
舍	sei3	
舒	səʉ1	
舔	tʰiɛ3	
舛	tɕʰy3	
舜	zoŋ6	
舞	vʋ4	
舟	tsɤu1	
航	ɦʊ2	
般	pø1	
艦	kʰɔ3	
舵	dɤu4	
船	jy2	
艇	tʰəŋ3	
良	liɛ2	
艱	kɔ1	
色	ɕi7	乜色
色	sei7	
艳	ji6	
藝	ȵi6	
艾	ŋe6	
節	tɕi7	
芋	vʉ6	
芍	jɔ8	
芒	mʊ2	
芝	tsɿ1	
芥	ka5	
芥	ka7	芥菜饭
芬	faŋ1	
芭	pʊ1	
花	hʊ1	
芳	fɔ1	
芹	dʑiaŋ2	
芽	ŋʊ2	
葦	vʉ4	
莧	ɕi5	
蒼	tsʰʊ1	
苧	dzei4	
苏	səʉ1	
苔	de2	
苗	mi2	
苛	kʰʋ1	
苟	kau3	
若	jɔ8	又音
苦	kʰʋ3	
英	iaŋ1	
茂	mɛ6	
范	vɔ4	
茄	dʑi2	绿茄
茄	ɡa2	西红柿
茅	mɔ2	
莖	tɕiaŋ1	
塋	joŋ2	
繭	tɕi3	
茫	mʊ2	
茭	kɔ1	
茶	dzʊ2	
茸	zoŋ2	
荀	soŋ1	
荆	tɕiaŋ1	
草	tsʰɛ3	
薦	tɕi5	
荒	hʊ1	
荔	lei6	
薺	zei2	
薺	zei4	
荡	dʊ6	蕩街
榮	joŋ2	
葷	ɕiaŋ1	
荫	iaŋ1	
荫	iaŋ5	
藥	jɔ8	
荷	vʋ2	
荷	vʋ6	
荸	bʊ2	荸荠
莘	saŋ1	莘塍
莫	mʊ8	
获	va8	
鶯	iaŋ1	
蓴	zoŋ2	
莽	mʊ4	
菊	tɕiɤu7	
菌	dʑioŋ4	
菜	tsʰei5	
菩	bʊ2	
菱	ləŋ2	
菲	fei1	
萄	dɛ2	
萌	ma2	
螢	joŋ2	
螢	joŋ4	
營	joŋ2	
蕭	ɕy1	
薩	sɔ7	
落	lʊ8	
葚	zaŋ4	
葛	kø7	
董	toŋ3	
葬	tsʊ5	
葱	tsʰoŋ1	
葵	dʑy2	
蔣	tɕiɛ3	
蒙	moŋ1	
蒜	sø5	
蒯	kʰa5	
蒲	bʊ2	
蒸	tsəŋ1	
蒹	tɕi1	
蒿	hɛ1	
蓄	ɕiɤu7	
蓑	sɤu1	
藍	lɔ2	
蓬	boŋ2	
蔗	tsei5	
蔡	tsʰa5	
蔫	i1	
蔬	səʉ1	
蔻	kʰau5	
藹	e3	
蔽	pei5	
蕈	zaŋ4	
蕊	zəʉ4	
薄	bʊ8	
薅	hɛ1	
薇	vei2	
薐	laŋ2	菠薐菜
薛	ɕy7	
薪	saŋ1	
薯	zei2	地瓜
藉	tsei7	
藏	zʊ2	
藏	zʊ6	
藐	mi4	
藕	ŋau4	
藤	daŋ2	
藩	fɔ1	
藩	vɔ2	
藿	hʊ7	
蘸	tsɔ5	
虎	fʋ3	
虜	ləʉ4	
虐	ȵiɔ8	
虑	ləʉ6	
虔	dʑi2	
虛	ɕy1	
虞	ȵy2	
虢	ka7	
蟲	dzoŋ2	
虱	sa7	
虹	ɦoŋ2	
雖	səʉ1	
蝦	hʊ1	
蝦	ɦʊ2	蛤蟆
蝕	zei8	
蟻	ŋa4	
蚊	maŋ2	
蚌	ba4	
蠶	zø2	
蚤	tsɛ3	
蚶	hø1	
蛆	tsʰəʉ1	
蛇	zei2	
蠱	kʋ3	
蛋	dɔ6	
蟶	tsʰəŋ1	
蛙	ʊ1	
蛛	tsəʉ1	
蛤	ke7	
蠻	mɔ1	
蠻	mɔ2	
蟄	dzei8	
蜀	jʊ8	
蜂	foŋ1	
蜓	dəŋ2	
蝸	ʊ1	
蜜	mi8	
蠟	lɔ8	
蜻	tsʰəŋ1	
蠅	iaŋ1	
蟬	ji2	
蝎	ɕi7	
蝎	ɦø8	
蝗	ɦʊ2	
蝙	pi3	
蝠	fʋ7	
蝶	duɔ8	
螂	lʊ2	
融	joŋ2	
螠	a7	螠儿：小螃蟹
螳	dʊ2	
螺	lɤu2	
蟀	sa7	
蟆	mʊ2	
蟊	mɛ2	坏，温州方言志用此字表示
蟹	ha3	
蠓	moŋ2	青蟹
蠢	tsʰoŋ3	
蠹	təʉ5	
血	ɕy7	
衅	ɕiaŋ5	
行	ɦa2	
行	ɦʊ2	
行	ɕiaŋ3	官音：弗行
行	ɕiaŋ3	
銜	ɦɔ2	
街	ka1	
衙	ŋʊ2	
衡	ɦa2	
衣	i1	
補	pʉ3	
表	pi3	
襯	tsʰaŋ5	
衰	sai1	
袁	jy2	
襖	ɛ3	
袋	de6	
袍	bɛ2	
袖	dɤu6	衫袖日常音
袖	zɤu6	
袜	mɔ8	
被	bei4	
袱	vʋ8	
袷	kɔ7	
裁	zei2	
裝	tsʊ1	
裝	tɕiʊ1	
裕	vʉ6	
裙	dʑiaŋ2	
褲	kʰʋ5	
裨	pei1	
裳	jɛ2	
裸	lai4	赤□裸：裸露上身
裸	lei4	赤裸腳：光腳
裹	kʋ3	
褒	pɛ1	
褙	pai5	褙春聯：貼春聯
褚	dzəʉ4	
褥	jʊ8	
褪	tʰai5	
褯	zei6	
襄	ɕiɛ1	
襟	tɕiaŋ1	
襻	pʰɔ5	
西	sei1	
要	y1	
要	y5	
覆	fʋ7	
見	tɕi5	
觀	ky1	
觀	ky5	
規	tɕy1	
規	kai1	
覓	mei8	
視	zɿ6	
覽	lɔ4	
覺	kɔ5	
覺	kʊ7	
角	kʊ7	
解	ka3	
解	ɡa4	锯
解	ɦa4	
觸	tɕʰiʊ7	
言	ȵi2	
譽	vʉ6	
謄	daŋ2	
誓	sei5	
謴	kaŋ5	罵，訓罵
警	tɕiaŋ3	
譬	pʰei3	
計	tɕi5	
訂	təŋ5	
訃	fʋ5	
認	ȵiaŋ4	
譏	tɕi1	
討	tʰɛ3	
讓	ȵiɛ6	
訕	sɔ3	
訕	sɔ5	
訖	tɕʰia7	
訓	ɕiaŋ5	
議	ȵi2	
訊	saŋ5	
記	tɕi5	
講	kʊ3	
諱	ɕy5	
諱	fai5	日常音
謳	au1	
訝	ŋʊ6	
許	ɕy3	
許	he3	那
訛	ŋ2	
論	lø2	
論	lø6	
訟	jʊ6	
諷	foŋ3	
設	sei7	
訪	fɔ3	
訣	tɕy7	
证	tsəŋ5	
評	bəŋ2	
識	sei7	
詐	tsʊ5	
訴	səʉ5	
診	tsaŋ3	
詞	zɿ2	
詔	tɕy5	
譯	ji8	
試	sɿ5	
詩	sɿ1	
詰	tɕia7	
詼	fai1	
詼	kʰai1	
誠	zəŋ2	
誅	tsəʉ1	
話	ɦʊ6	
誕	tɔ5	
詭	tɕy3	
詢	soŋ1	
詣	ȵi6	
該	ke1	
詳	jɛ2	
詫	tsʰʊ5	
誣	ʋ1	
語	ȵy4	
誤	ŋ6	
說	ɕy7	
說	səʉ5	
誦	jʊ6	
請	tsʰəŋ3	
諸	tsəʉ1	
諾	nʊ8	
讀	dɤu8	
課	kʰʋ5	
誰	zəʉ2	
調	duɔ2	
調	duɔ4	
調	duɔ6	
諒	liɛ6	
諄	tsoŋ1	
談	dɔ2	
誼	ȵi2	
謀	mɛ2	
諜	duɔ8	
謊	hʊ3	
諫	kɔ5	
諧	ɦa2	
謁	i7	
謂	vʉ6	
讒	dzɔ2	
讒	zɔ2	
諳	e1	
諺	ȵi6	
謎	mei2	
謝	zei6	
謠	jy2	
謗	pʊ5	
謙	tɕʰi1	
謹	tɕiaŋ3	
謬	mi6	
譚	de2	
譚	dɔ2	
譜	pʉ3	
谷	kʋ7	
豆	dɤu6	
豉	zɿ2	
豌	y3	
豕	sɿ5	
豚	dø2	
象	jɛ4	
豪	ɦɛ2	
豫	vʉ6	
豹	pɔ5	
貂	tuɔ1	
貌	mɔ6	
貝	pai5	
貞	tsəŋ1	
負	vʋ4	
貢	koŋ5	
財	zei2	
責	tsa7	
賢	ji2	
敗	ba6	
賬	tɕiɛ5	
貨	fʋ5	
質	tsa7	
販	fɔ5	
貪	tʰe1	
貪	tʰø1	市區音
貧	bəŋ2	
貶	pi3	
購	kau5	
貫	ky5	
貳	ŋ6	
賤	ji6	
貼	tʰuɔ7	
貴	tɕy5	
貸	tʰe5	
貸	de6	
貿	mɛ6	
費	fei5	
賀	vʋ6	
貽	ji2	
賊	zei8	
賈	kʋ3	
賈	kʊ3	
賄	fai3	
賃	zaŋ6	
賂	ləʉ6	
贓	tsʊ1	
資	tsɿ1	
賒	sei1	
賦	fʉ5	
賭	təʉ3	
贖	jʊ8	
賞	ɕiɛ3	
賜	tsʰɿ1	
賠	bai2	
賴	la6	
贅	tsəʉ5	
賺	dzɔ6	錯
赞	tsɔ5	
贈	zaŋ6	
贍	ji6	
贏	jaŋ2	
赤	tɕʰi7	*赤着卵：裸露全身
赤	tsʰei7	
赦	sei5	
赫	ha7	
走	tsaʊ3	
赴	fʋ5	
赴	fʉ5	
趙	dʑy4	
趕	kø3	
起	tɕʰi3	
趁	tsʰaŋ5	
超	tɕʰiɔ1	
越	jy8	
趨	tsʰəʉ1	
趟	tʰʊ5	
趣	tsʰəʉ5	
足	tɕiʊ7	
趴	pʰʊ7	
趾	tsɿ3	
躍	jʊ8	
跋	bø8	
跌	di8	
跑	pʰɔ3	
跛	pʊ3	
距	dʑy4	
跟	kaŋ1	
跨	kʰʊ5	
跪	dʑy4	
路	ləʉ6	
跳	tʰuɔ5	
踐	ji6	
踏	dɔ8	踩
踢	tʰei7	
蹤	tɕiʊ1	
蹤	tsoŋ1	
踫	ba2	大步迈，跨
踱	dʊ8	
蹄	di2	
蹄	dei2	
蹲	taŋ1	
躁	tsɛ5	
身	saŋ1	
躬	tɕioŋ1	
躲	tɤu3	
躺	tʰʊ3	
車	tɕy1	
車	tsʰʊ1	
車	tsʰei1	
軋	ɔ7	
軌	tɕy3	
軒	ɕi1	
轉	tɕy3	
轉	tɕy5	
軛	a7	
輪	lø2	
輪	laŋ2	輪胎
軟	ȵy4	
轟	ɡoŋ2	雷声、巨大的滚动声
轟	hoŋ1	
軻	kʰʊ1	
軸	zɤu8	
輕	tɕʰiaŋ1	
載	tsei3	
載	tsei5	
轎	dʑy2	
較	kɔ5	
輒	tɕi7	
輔	fʋ3	
輛	liɛ6	
輩	pai5	
輝	ɕy1	
輝	fai1	日常音
輟	tɕy7	
輜	tsɿ1	
輯	tsʰa7	
輸	səʉ1	
轡	pei5	
轄	ɦɔ8	
轍	dʑi8	
辛	saŋ1	
辜	kʋ1	
辭	zɿ2	
辟	pʰei7	
辣	lɔ8	
辨	bi4	
辯	bi4	
辮	bi4	
辰	zaŋ2	
辱	jʊ8	
邊	pi1	
邊	pø1	
遼	luɔ2	
达	da8	
迁	tɕʰi1	
迂	ʋʉ1	
迄	tɕʰia7	
迅	saŋ5	
迅	soŋ5	
迆	i3	
過	kʋ5	
邁	ma6	
迎	ȵiaŋ2	
運	jaŋ6	
近	dʑiaŋ4	
近	dʑiaŋ6	
迓	ŋʊ6	
還	vɔ2	
還	ɦɔ2	
還	ɦuɔ2	
進	tsaŋ5	
遠	jy4	
違	vʉ2	
遲	dzɿ2	
迥	tɕioŋ3	
迫	pa7	靠近
迭	di8	
迭	duɔ8	
述	jy8	
迷	mei2	
迸	poŋ5	
迹	tsei7	
追	tsəʉ1	
退	tʰai5	
送	soŋ1	
適	sei7	
逃	dɛ2	
逆	ȵi8	
選	ɕy3	
遜	sø5	
透	tʰaʊ5	
逐	dzɤu8	
遞	dei6	
途	dəʉ2	
逗	dɤu6	
通	tʰoŋ1	
逛	dʑiʊ2	
逝	sei5	
逞	dzəŋ2	
速	sɤu7	
造	tsʰɛ1	
造	zɛ4	
逢	voŋ2	
逵	dʑy2	
逸	ja8	
逼	pei7	
逾	vʉ2	
逾	vʉ6	
遁	dø6	
遁	daŋ6	掉落
遂	zəʉ2	
遇	ȵy6	
遍	pi5	
遐	ɦʊ2	
道	dɛ4	
遺	vʉ2	
遺	vʉ6	
遣	tɕʰi3	
遭	tsɛ1	
遮	tsei1	
遵	tsø1	
遽	dʑy6	
避	bei6	
邀	y1	
邀	iɔ1	
邑	ia7	
邓	daŋ6	
邦	pʊ1	
邪	zei2	
邯	ɦø2	
邵	jy6	
邹	tsaʊ1	
鄰	ləŋ2	
郁	iɤu7	
郊	kɔ1	
郎	lʊ2	
鄭	dzəŋ6	
郡	dʑiaŋ6	
部	bʊ4	
郭	kʊ7	
都	təʉ1	
鄂	ŋʊ8	
鄙	pei3	
酌	tɕiɔ7	
配	pʰai5	
酒	tsɤu3	
酣	hø1	
酥	səʉ1	
酪	lʊ8	
酬	dzɤu2	
醬	tɕiɛ5	
酵	kɔ5	
酷	kʰʋ7	
酸	sø1	
釅	ȵi6	
釀	ȵiɛ6	
醇	zoŋ2	
醉	tsai5	
醉	tsəʉ5	
醋	tsʰəʉ5	
醒	səŋ3	
采	tsʰei3	
釋	sei7	
里	lei4	
重	dʑiʊ2	
重	dʑiʊ4	
重	dʑiʊ6	
野	ji4	
量	liɛ2	
量	liɛ6	
金	tɕiaŋ1	
釜	fʋ3	
鉠	iɛ1	
鉴	kɔ5	
鋭	zai6	
针	tsaŋ1	
釘	təŋ1	
釘	təŋ5	
釣	tuɔ5	
釵	tsʰa1	
鈣	kø7	鈣片
鈍	dø6	
鈔	tsʰɔ1	
钟	tɕiʊ1	
鋼	kʊ1	
鈑	pɔ3	
鑰	jʊ8	
欽	tɕʰiaŋ1	
鈞	tɕiaŋ1	
鎢	ʋ1	
鉤	kau1	
錢	dʑi2	
鉗	dʑi2	
鉢	pø7	
鈽	pʊ1	
鈸	bʊ8	
鑽	tsø1	
鑽	tsø5	
鈿	di2	
鐵	tʰi7	
鈴	ləŋ1	
鈴	ləŋ2	
鉛	kʰa1	铅角：硬币
鈰	zɿ4	
鐸	dʊ8	
鐃	nɔ2	
鐺	tsʰa1	
鐺	tʊ1	
銅	doŋ2	
鍘	zɔ8	
鉿	ke7	
鉻	kʊ7	
銘	məŋ2	
鉸	kɔ3	
铲	dzɔ2	
铲	zɔ2	
銃	tsʰoŋ5	
銀	ȵiaŋ2	
鑄	tsəʉ5	
鋪	pʰʊ1	
鋪	pʰʊ5	
銷	ɕy1	
鎖	sɤu3	
鋤	zɿ6	锄头
鋤	zɤu6	
鍋	kʋ1	
鏽	sɤu5	
銼	tsʰʊ5	
銼	zʊ6	
鋒	foŋ1	
鋦	tɕiʊ7	
錯	tsʰʊ7	
錯	tsʰɤu5	
錫	sei7	
鑼	lɤu2	
錘	dzəʉ2	
錐	tsəʉ1	
錦	tɕiaŋ3	
鍁	ɕi1	
錠	dəŋ6	
鍵	dʑi6	
鋸	tɕy5	
鍬	tɕʰy1	
鍛	tø5	
鍍	dəʉ6	
鎮	tsaŋ5	
鑷	ȵi8	
鑷	ȵiɔ8	
鏡	tɕiaŋ5	
镢	tɕiʊ7	類推音
鑊	ɦʊ8	
鐲	dʑiʊ8	
鑞	lɔ8	
鑲	ɕiɛ1	
長	tɕiɛ3	
長	dʑiɛ2	
閧	hoŋ3	
閧	hoŋ5	
門	maŋ2	
閂	sø1	
閃	ɕiɔ3	閃爍
閉	pei5	
問	maŋ6	
問	vaŋ6	問題
閏	jaŋ6	
閏	zoŋ6	
闲	ɦɔ2	
間	tɕi1	一间
間	kɔ1	
悶	mø2	
悶	maŋ1	
閘	zɔ8	
鬧	nɔ6	
閨	tɕy1	
聞	vaŋ2	
閩	məŋ4	
閣	kʊ7	
閱	jy8	
閹	i1	
閻	ji2	
闊	kʰuɔ7	
闕	tɕy7	
阜	vɛ4	
阮	ȵy4	
防	vɔ2	
陽	jɛ2	
陰	iaŋ1	
陣	dzaŋ6	
階	ka1	
阻	tsɤu3	
阿	ʋ1	阿胶
阿	a1	张嘴
阿	a3	疑问
阿	a5	惊讶
阿	a7	阿缀名词
阿	ɔ1	阿彌陀佛
阿	ʊ5	
陀	dɤu2	
附	vʉ6	
際	tsei5	
陸	lɤu8	
隴	loŋ4	
陳	dzaŋ2	
陋	laʊ6	
陌	ma8	
陌	mʊ8	
降	ji2	
降	kʊ5	
降	ɦʊ2	
限	ɦɔ4	
陝	ɕi3	
陛	bei4	
陡	taʊ3	
院	jy6	未有婚嫁的女生
除	dzəʉ2	
隕	joŋ4	
險	ɕi3	
陪	bai2	
陵	ləŋ2	
陶	dɛ2	
陷	ɦɔ6	
隆	lʊ2	
隆	loŋ2	
隨	zei2	
隱	iaŋ3	
隔	ka7	
隘	a5	
隙	tɕʰi7	
障	tɕiɛ5	
隧	zəʉ6	
隶	lei6	
難	nɔ2	
難	nɔ6	
雀	tɕʰiɔ7	
雁	ŋɔ6	
雄	joŋ2	
雅	ŋʊ4	
雇	kʋ5	
雉	dzɿ4	
雌	tsʰɿ1	
雍	ioŋ1	
雍	ioŋ5	
雛	zɤu2	
雕	tuɔ1	
讎	dzɤu2	
雨	vʉ4	
雪	ɕy7	
零	ləŋ2	
雷	lai2	
雹	bʊ8	
霧	vʋ6	
需	səʉ1	
霄	ɕy1	
震	tsaŋ5	
霉	mei2	
霍	hʊ7	
霎	sɔ7	
霜	ɕiʊ1	
霞	ɦʊ2	
靄	e3	
露	ləʉ6	
霸	pa5	
霹	pʰei7	
青	tsʰəŋ1	
靜	zəŋ6	
非	fei1	
靠	kʰɛ5	
靠	ɡɛ6	靠牆
靡	mei4	
面	mi6	
面	mai6	上面，下麵
靨	i7	
革	ka7	
靴	sɤu1	
靴	ɕiɤu1	
鞋	ɦa2	
鞍	ø1	
鞏	koŋ3	
鞘	ɕy5	
鞭	pi1	
韓	ɦø2	
音	iaŋ1	
韵	jaŋ6	
韶	jy2	
頂	təŋ3	
頃	tɕʰiaŋ3	
項	ɦʊ4	
順	zoŋ6	
须	səʉ1	
頑	ɦuɔ2	
顧	kʋ5	
頓	taŋ5	
頒	pɔ1	
頌	jʊ6	
預	vʉ6	
領	ləŋ4	
頗	pʰʊ1	
頸	tɕiaŋ3	
頻	bəŋ2	
穎	jaŋ4	
顆	kʰʋ1	
題	dei2	
顏	ŋɔ2	
額	ŋa8	
顛	ti1	
顫	tɕi5	
風	foŋ1	
飄	pʰi1	
飆	pi1	
飛	fei1	
食	zei8	
餐	tsʰɔ1	
饥	tɕi1	
飩	daŋ6	
飭	tsʰei7	
飯	vɔ6	
飲	iaŋ3	
飾	sei7	
飽	pɔ3	
飼	zɿ6	
餌	zɿ4	
饒	jy6	
餉	ɕiɛ3	
餃	kɔ3	
餅	pəŋ3	
餒	nai4	
餛	vaŋ2	餛飩
館	ky3	
饞	dzɔ2	
饞	zɔ2	
饅	mɔ2	
首	sɤu3	
香	ɕiɛ1	
馨	ɕiaŋ1	
馬	mʊ2	
馱	dɤu2	
馳	dzɿ2	
驅	tɕʰy1	
駁	pʊ7	
驢	ləʉ2	
駛	sa3	
駒	tɕy1	
駐	tsəʉ5	
駝	dɤu2	
駕	kʊ5	
罵	mʊ2	
驕	tɕy1	
駱	lʊ8	
駭	ɦa4	
駢	bi2	
驗	ȵi6	
騎	dʑi2	
騙	pʰi5	
騷	sɛ1	
騾	lɤu2	
驟	dzau6	
骨	ky7	
骹	kʰɔ1	蟹鉗腿
髓	ɕi3	
髓	sei3	
高	kɛ1	
鬃	tsoŋ1	
鬈	dʑy2	
鬼	tɕy3	
魁	kʰai3	
魂	jy2	
魄	pʰa7	
魔	mʊ2	
魚	ȵy2	
魯	ləʉ4	
鮑	bɔ4	
鮮	ɕi1	
鮮	ɕi3	
鯗	ɕiɛ3	鰻鯗
鯉	lei4	
鰣	zɿ2	
鯽	tsei7	
鯰	ȵiɛ2	
鯨	dʑiaŋ2	
