#漢字	音標	解釋
□	tia1	提
壯	tsuaŋ5	
殼	kʰo2	
外	uai5	
多	to1	
夜	i5	
夜	ie5	部分老派
够	kjəu5	
大	ta5	
天	tʰiɛn1	
太	tʰai5	
夫	fuᶹ1	
夯	xaŋ1	
頭	tʰəu2	
夸	kʰua1	
奪	to2	
奇	tɕʰi2	
奎	kʰuei2	
奏	tsəu5	
奔	pən1	
套	tʰaʊ5	
奶	nai1	
奶	nai3	
好	xaʊ3	
如	zuᶹ2	
媽	ma1	
妙	miaʊ5	
妥	tʰo3	
妹	mei5	
姐	tɕi3	
姐	tɕie3	部分老派
姑	kuᶹ1	
威	uei1	
娃	ua2	
嬌	tɕiaʊ1	
娘	niaŋ2	
婆	pʰo2	
婚	xuən1	
嫂	saʊ3	
嫌	ɕiɛn2	
孃	niaŋ1	
孔	kʰoŋ3	
孕	zuən5	
字	tsɿ5	
存	tsʰən2	
孫	sən1	
學	ɕio2	
孩	xai2	
安	ŋan1	
宋	soŋ5	
官	kuan1	
定	tin5	
寵	tsʰoŋ3	
宣	ɕyɛn1	
宰	tsai3	
害	xai5	
宴	iɛn5	
家	tɕia1	
容	ioŋ2	
寬	kʰuan1	
寡	kua3	
寸	tsʰən5	
對	tuei5	
小	ɕiaʊ3	
尖	tɕiɛn1	
尾	uei3	
局	tɕyu2	
屁	pʰi5	
居	tɕy1	
屌	tiaʊ3	
展	tsan3	
歲	suei5	
岔	tsʰa5	
島	taʊ3	
巖	ŋai2	
巒	nuan2	
崴	uai3	
川	tsʰuan1	
州	tsəu1	
工	koŋ1	
左	tso3	
巧	tɕʰiaʊ3	
巨	tɕy5	
巴	pa1	
巷	xaŋ5	
布	puᶹ5	
帥	suai5	
帝	ti5	
席	ɕi2	
幫	paŋ1	
常	saŋ2	
干	kʰan5	
平	pʰin2	
年	niɛn2	
并	pin5	
廣	kuaŋ3	
莊	tsuaŋ1	
慶	tɕʰin5	
牀	tsʰuaŋ2	
序	ɕy5	
庫	kʰuᶹ5	
店	tiɛn5	
府	fuᶹ3	
康	kʰaŋ1	
建	tsuan5	
建	tɕiɛn5	
開	kʰai1	
弄	noŋ5	
張	tsaŋ1	
彎	uan1	
弱	zo2	
强	tɕʰiaŋ2	
歸	kuei1	
當	taŋ1	
形	ɕin2	
彭	pʰən2	
影	in3	
彷	faŋ3	
很	xən3	
徐	ɕy2	
得	te̞2	
循	ɕyn2	
德	te̞2	
心	ɕin1	
忍	zən3	
忙	maŋ2	
忠	tsoŋ1	
快	kʰuai5	
念	niɛn5	
懷	xuai2	
慪	ŋʰjəu5	
怕	pʰa5	
怪	kuai5	
總	tsoŋ3	
恨	xən5	
恩	ŋən1	
恶	ŋo2	
悄	tɕʰiaʊ1	
悔	xuei3	
慘	tsʰan3	
懲	tsʰən3	
惰	to5	
想	ɕiaŋ3	
惹	ze̞3	
意	i5	
願	yɛn5	
慌	xuaŋ3	
慢	man5	
慷	kʰaŋ3	
憨	xan1	
懶	nan3	
戲	ɕi5	
我	ŋo3	
戒	kai5	
房	faŋ2	
所	so3	
手	səu3	
才	tsʰai2	
打	ta3	
托	tʰo2	
扛	kaŋ2	
扛	kʰaŋ2	
扣	kʰjəu5	
擴	kʰue̞2	
捫	mən1	
扯	tsʰe̞3	
批	pʰei1	
抄	tsʰaʊ1	
抓	tsua1	
抖	tʰəu3	
抗	kaŋ5	
抗	kʰaŋ5	
折	tse̞2	
抛	pʰaʊ1	
摳	kʰjəu1	
搶	tɕʰiaŋ3	
抱	paʊ5	
抵	ti3	
抹	mo3	
抽	tsʰəu1	
拆	tsʰe̞2	
拉	na1	
拍	pʰe̞2	
拎	nin1	
拐	kuai3	
拖	tʰo1	
招	tsaʊ1	
拜	pai5	
擁	ioŋ3	
拱	koŋ3	
拼	pʰin1	
拽	tsuai5	
挂	kua5	
挑	tʰiaʊ1	
挖	ua1	
擋	taŋ3	
挨	ŋai1	
挪	no3	
挺	tʰin3	
捆	kʰuən3	
捐	tɕyɛn1	
撈	naʊ1	
換	xuan5	
捧	pʰoŋ3	
捶	tsʰuei2	
掉	tiaʊ5	文
掉	tʰiaʊ3	白
掏	tʰaʊ1	
排	pʰai2	
控	kʰoŋ5	
提	tʰi2	
揣	tsʰuai1	
摟	nəu3	
搓	tsʰo1	
搓	so1	
搞	kaʊ3	
摆	pai3	
摔	tsuai1	白,跌
摸	mo1	
播	po5	
撮	tsʰo2	
攘	zaŋ3	
收	səu1	
改	kai3	
放	faŋ5	
敏	min3	
救	tɕiəu5	
敢	kʰan3	
數	suᶹ3	
敲	kʰaʊ1	
整	tsən3	
文	uən2	
斗	təu3	
料	niaʊ5	
斤	tɕin1	
斷	tuan5	
旁	pʰaŋ2	
族	tɕʰyu2	
無	vuᶹ2	
日	zɿ2	
早	tsaʊ3	
昂	ŋaŋ2	
昆	kʰuən1	
昌	tsʰaŋ1	
春	tsʰuən1	
顯	ɕiɛn3	
晃	xuaŋ5	
暈	yn1	
晚	uan3	
普	pʰuᶹ3	
晴	tɕʰin2	
暗	ŋan5	
曲	tɕʰyu2	
更	kən5	
曹	tsʰaʊ2	
月	y2	
月	ye2	部分老派
有	iəu3	
朋	pʰoŋ2	
朗	naŋ3	
望	uaŋ5	
木	muᶹ2	
本	pən3	
术	suᶹ2	
朱	tsuᶹ1	
朽	ɕiəu3	
殺	sa2	
村	tsʰən1	
杜	tuᶹ5	
來	nai2	
杯	pei1	
松	soŋ1	
板	pan3	
果	ko3	
槍	tɕʰiaŋ1	
枯	kʰuᶹ1	
架	tɕia5	
染	zan3	
柔	zəu2	
柱	tsuᶹ5	
柳	niəu3	
標	piaʊ1	
樣	iaŋ5	
根	kən1	
栽	tsai1	
桃	tʰaʊ2	
框	kʰuaŋ1	
桌	tso2	
橋	tɕʰiaʊ2	
桶	tʰoŋ3	
夢	moŋ5	
梯	tʰi1	
械	kai5	
棉	miɛn2	
棍	kuən5	
棍	kʰuən5	
棒	paŋ5	
椅	i3	
楚	tsʰuᶹ3	
楷	kʰai3	
樓	nəu2	
概	kʰai5	
榜	paŋ3	
橫	xuən2	
欠	tɕʰiɛn5	
次	tsʰɿ5	
歡	xuan1	
歐	ŋʰjəu1	
欺	tɕʰi1	
款	kʰuan3	
正	tsən5	
此	tsʰɿ3	
歪	uai1	
歹	tai3	
段	tuan5	
母	muᶹ3	
比	pi3	
毛	maʊ2	
民	min2	
气	tɕʰi5	
水	suei3	
永	yn3	
求	tɕʰiəu2	
汗	xan5	
江	tɕiaŋ1	
湯	tʰaŋ1	
汪	uaŋ1	
沙	sa1	
溝	kjəu1	
没	mei1	
沾	tsan1	
沾	tsan5	
波	po1	
洗	ɕi3	
洞	toŋ5	
洽	tɕʰia2	
派	pʰai5	
淺	tɕʰiɛn3	
浪	naŋ5	
海	xai3	
涂	tʰuᶹ2	
消	ɕiaʊ1	
淌	tʰaŋ3	
混	xuən5	
清	tɕʰin1	
渣	tsa1	
溫	uən1	
港	kaŋ3	
潰	kʰuei5	
溜	niəu1	
溶	ioŋ2	
滑	xua2	
滚	kuən3	
滿	man3	
漏	nəu5	
潘	pʰan1	
澎	pʰən2	
火	xo3	
滅	mie2	部分老派
灰	xuei1	
燦	tsʰan5	
炭	tʰan5	
炮	pʰaʊ5	
炸	tsa5	
點	tiɛn3	
爛	nan5	
烟	iɛn1	
燒	saʊ1	
熱	ze̞2	
然	zan2	
煤	mei2	
熊	ɕioŋ2	
熔	ioŋ2	
爬	pʰa2	
愛	ŋai5	
爽	suaŋ3	
片	pʰiɛn5	
牛	niəu2	
特	tʰe̞2	
犬	tɕʰyɛn3	
狂	kʰuaŋ2	
狗	kjəu3	
狡	tɕiaʊ3	
狼	naŋ2	
猛	moŋ3	
猜	tsʰai1	
豬	tsuᶹ1	
猫	maʊ1	
猴	xjəu2	
玄	ɕyɛn2	
玉	y5	
王	uaŋ2	
玩	uan2	
環	xuan2	
現	ɕiɛn5	
班	pan1	
瓜	kua1	
瓢	pʰiaʊ2	
瓤	zaŋ2	
瓦	ua3	
甘	kʰan1	
甜	tʰiɛn2	
用	ioŋ5	
甩	suai3	
由	iəu2	
甲	tɕia2	
界	kai5	
疫	yu2	
瘡	tsʰuaŋ1	
痛	tʰoŋ5	
癡	tsʰɿ1	
登	tən1	
白	pe̞2	
皂	tsaʊ5	
皮	pʰi2	
盆	pʰən2	
盖	kai5	
盤	pʰan2	
直	tsɿ2	
盼	pʰan5	
盾	tən5	
省	sən3	
看	kan5	
真	tsən1	
眼	iɛn3	
瞄	miaʊ1	
瞎	ɕia2	
瞟	pʰiaʊ3	
短	tuan3	
矮	ŋai3	
礦	kʰuaŋ5	
砍	kan3	
研	niɛn1	
硯	niɛn5	
砸	tsa2	
硬	ŋən5	
確	tɕʰio2	
碰	pʰoŋ5	
磨	mo5	
社	se̞5	
祖	tsuᶹ3	
神	sən2	
祥	tɕʰiaŋ2	
票	pʰiaʊ5	
禪	san2	
福	fuᶹ2	
私	sɿ1	
科	kʰo1	
秒	miaʊ3	
秧	iaŋ1	
稱	tsʰən1	
移	i2	
程	tsʰən2	
窮	tɕʰioŋ2	
空	kʰoŋ1	
穿	tsʰuan5	
窖	kaʊ5	
窩	o1	
立	ni2	
端	tuan1	
竹	tsuᶹ2	
笑	ɕiaʊ5	
筆	pi2	
笛	ti2	
笨	pən5	
等	tən3	
答	ta2	
篩	sai1	
管	kuan3	
簸	po3	
米	mi3	
粉	fən3	
粟	ɕyu2	
粥	tɕyu2	
糯	no5	
索	so2	
緊	tɕin3	
紅	xoŋ2	
約	io2	
純	suən2	
紙	tsɿ3	
紹	saʊ5	
繞	zaʊ3	
繞	zaʊ5	
給	ke̞3	
絶	tɕy2	
絶	tɕye2	部分老派
繃	poŋ1	
綢	tsʰəu2	
綠	nuᶹ2	
緩	xuan3	
缺	tɕʰy2	
缺	tɕʰye2	部分老派
羅	no2	
罪	tsuei5	
羊	iaŋ2	
美	mei3	
群	tɕʰyn2	
翔	tɕʰiaŋ2	
翹	tɕʰiaʊ5	
翻	fan1	
老	naʊ3	
考	kʰaʊ3	
者	tse̞3	
者	tsai3	
耍	sua3	
耳	ɚ3	
耿	kən3	
聾	noŋ1	
聘	pʰin5	
肅	ɕyu2	
肥	fei2	
骯	ŋaŋ1	
肯	kʰən3	
脹	tsaŋ3	
胃	uei5	
膽	tan3	
胎	tʰai1	
胖	pʰaŋ5	
勝	sən5	
能	nən2	
脆	tsʰuei5	
脚	tɕio2	
臉	niɛn3	
腰	iaʊ1	
騰	tʰən2	
腿	tʰuei3	
臭	tsʰəu5	
舀	iaʊ3	
舍	se̞3	
舔	tʰiɛn3	
航	xaŋ2	
船	tsʰuan2	
色	se̞2	
節	tɕi2	
節	tɕie2	部分老派
花	xua1	
芳	faŋ1	
苏	suᶹ1	
苕	saʊ2	
苗	miaʊ2	
苤	pʰie3	
苦	kʰuᶹ3	
英	in1	
茶	tsʰa2	
草	tsʰaʊ3	
荒	xuaŋ1	
蕩	taŋ5	
榮	ioŋ2	
莫	mo2	
菜	tsʰai5	
葡	pʰuᶹ2	
董	toŋ3	
蒙	moŋ2	
蒜	suan5	
薅	xaʊ1	
虚	ɕy1	
蝦	ɕia1	
蠶	tsʰan2	
蛋	tan5	
蠻	man2	
融	ioŋ2	
蟒	maŋ3	
蟹	xai3	
蠢	tsuən3	
蠢	tsʰuən3	
血	ɕye2	部分老派
街	kai1	
衡	xən2	
衣	i1	
補	puᶹ3	
表	piaʊ3	
衰	suai1	
襖	ŋaʊ3	
袍	pʰaʊ2	
褒	pəu1	
西	ɕi1	
要	iaʊ5	
見	tsuan5	
見	tɕiɛn5	
解	kai3	
言	iɛn2	
計	tɕi5	
認	zən5	
討	tʰaʊ3	
讓	zaŋ5	
訓	ɕyn5	
講	tɕiaŋ3	
許	ɕy3	
論	nən5	
諷	foŋ3	
該	kai1	
詳	tɕʰiaŋ2	
語	y3	
請	tɕʰin3	
讀	tuᶹ2	
課	kʰo5	
調	tʰiaʊ2	
談	tʰan2	
謎	mi5	
謝	ɕi5	
謝	ɕie5	部分老派
豆	təu5	
象	tɕʰiaŋ5	
象	ɕiaŋ5	
豪	xaʊ2	
負	fuᶹ5	
貨	xo5	
貪	tʰan1	
貫	kuan5	
貴	kuei5	
費	fei5	
賒	se̞1	
賞	saŋ3	
賴	nai5	
賽	sai5	
走	tsəu3	
起	tɕʰi3	
趁	tsʰən5	
越	y2	
越	ye2	部分老派
趟	tʰaŋ5	
足	tɕyu2	
躉	tuei3	
跑	pʰaʊ3	
跛	pai1	
跨	kʰua5	
路	nuᶹ5	
跳	tʰiaʊ5	
蹦	poŋ5	
蹲	tən1	
躱	to3	
躴	naŋ1	
車	tsʰe̞1	
轉	tsuan3	
輪	nən2	
軟	zuan3	
轟	xoŋ1	
輛	niaŋ3	
辣	na2	
邊	piɛn1	
遼	niaʊ2	
過	ko5	
運	yn5	
近	tɕin5	
還	xai2	
還	xuan2	
遠	yɛn3	
迷	mi2	
追	tsuei1	
退	tʰuei1	
退	tʰuei5	
選	ɕyɛn3	
透	tʰəu5	
通	tʰoŋ1	
逛	kuaŋ5	
速	ɕyu2	
造	tsʰaʊ5	
逢	foŋ2	
遇	y5	
遍	piɛn3	
遥	iaʊ2	
遮	tse̞1	
遵	tsən1	
那	na5	
那	a5	白
都	tuᶹ1	
鄙	pʰi3	
酵	ɕiaʊ5	
酸	suan1	
醋	tsʰuᶹ5	
醒	ɕin3	
采	tsʰai3	
重	tsoŋ5	
鋼	kaŋ1	
鐵	tʰi2	
鐵	tʰie2	部分老派
銀	in2	
鋪	pʰuᶹ1	
鋪	pʰuᶹ5	
鏽	ɕiəu5	
銳	zuei5	
錯	tsʰo5	
錐	tsuei1	
門	mən2	
閃	san3	
閉	pi5	
問	uən5	
闖	tsʰuaŋ3	
悶	mən5	
鬧	naʊ5	
降	ɕiaŋ2	
隨	suei2	
隶	ti5	
雍	ioŋ1	
雨	y3	
雪	ɕye2	部分老派
零	nin2	
雷	nuei2	
霧	vuᶹ5	
霸	pa5	
靠	kʰaʊ5	
面	miɛn5	
革	ke̞2	
靴	ɕy1	
靶	pa3	
鞋	xai2	
項	tin3	
項	xaŋ5	
順	suən5	
顧	kuᶹ5	
頓	tən5	
領	nin3	
頗	pʰo3	
頤	i2	
頽	tʰuei2	
額	ŋe̞2	
顛	tiɛn1	
風	foŋ1	
飄	pʰiaʊ1	
飛	fei1	
餐	tsʰan1	
飯	fan5	
饒	zaʊ2	
餓	o5	
香	ɕiaŋ1	
馬	ma3	
駡	ma5	
驗	niɛn5	
骨	kuᶹ2	
高	kaʊ1	
鬼	kuei3	
魁	kʰuei1	
魂	xuən2	
魯	nuᶹ3	
鰾	piaʊ5	
鳥	niaʊ3	
鳩	tɕiəu1	
雞	tɕi1	
鴉	ia1	
鴨	ia2	
鵝	o2	
麻	ma2	
黃	xuaŋ2	
黑	xe̞2	
鼓	kuᶹ3	
龍	noŋ2	
龔	tɕioŋ1	
