#漢字	音標	解釋
□	ŋo1	~在水头
催	tsʰuɘɪ1/tʂʰuɘɪ1	
傲	ŋaɞ5	
傳	tsʰuã2/tʂʰuã2	~达
債	tsæe5/tʂæe5	
傻	sɑ3/ʂɑ3	
像	tɕʰiaŋ5	
像	ɕiaŋ5	~貌
僕	pʰu7	
僧	səin1/ʂəin1	
僵	tɕiaŋ1	
僻	pʰi7	
儉	tɕiẽ3	
儒	zu2/ʐu2	
儡	nuɘɪ3	
允	yn3	
元	yẽ2	
兄	ɕioŋ1	
充	tsʰoŋ1/tʂʰoŋ1	
兆	tsaɞ5/tʂaɞ5	
兇	ɕioŋ1	帮~
先	ɕiẽ1	
光	kuaŋ1	
克	kʰæ7	
兑	tuɘɪ5	
免	miẽ3	
兒	ɚ2	
兔	tʰu7	
党	taŋ3	
兜	təu1	
入	zu7/ʐu7	
全	tɕʰyẽ2	
兩	niaŋ3	
八	pɑ5	
八	pæ7	
公	koŋ1	
六	nu7	
兮	ɕi1	
共	koŋ5	
關	kuã1	
興	ɕin1	~旺
興	ɕin5	~趣
兵	pin1	
其	tɕʰi2	
具	tɕy7	
典	tiẽ3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiẽ1	
獸	səu5/ʂəu5	
冀	i7	
内	nuɘɪ5	
册	tsʰæ7/tʂʰæ7	
再	tsæe5/tʂæe5	
冒	maɞ5	
農	noŋ2	
冠	kuã5	~軍
冠	kuã1	衣~
冤	yẽ1	
冬	toŋ1	
冰	pin1	
冲	tsʰoŋ1/tʂʰoŋ1	
決	tɕyo7	
冶	ie3	
冷	nəin3	
凍	toŋ5	
淨	tɕin5	
凄	tɕʰi1	
准	tsuəin3/tʂuəin3	
凉	niaŋ2	
凌	nin2	
減	tɕiẽ3	
湊	tsʰəu5/tʂʰəu5	
凝	nin2	
几	tɕi3	
几	tɕi1	~乎
凡	fã2	
鳳	foŋ5	
凱	kʰæe3	
凳	təin5	
凶	ɕioŋ1	吉~
出	tsʰu7/tʂʰu7	
擊	tɕi7	
函	xã2	
鑿	tsʰo7/tʂʰo7	
刀	taɞ1	
刁	tiaɞ1	
刃	zəin3/ʐəin3	
分	fəin1	
切	tɕʰie7	
刊	kʰã1	
刑	ɕin2	
划	xuæ7	笔~
划	xuɑ5	规~
列	nie7	
劉	niəu2	
初	tsʰu1/tʂʰu1	
删	suã1/ʂuã1	
判	pʰã5	
利	ni7	
别	pie7	
刮	kʰuæ7	
到	taɞ5	
制	tsɿ7	
刷	suæ7/ʂuæ7	
刺	tsʰɿ7	
刺	tsʰɿ5	~激
刺	tsɿ5	铁藜~
刻	kʰæ7	
剃	tʰi5	
剃	tʰi7	
則	tsæ7/tʂæ7	
削	ɕye7	
前	tɕʰiẽ2	
剔	tʰi7	
剖	pʰo3	
剛	kaŋ1	
剜	uã1	
剝	po7	
劇	tɕy7	
剩	səin5/ʂəin5	
剪	tɕiẽ3	
割	kɤ̜7	
創	tsʰuaŋ5/tʂʰuaŋ5	
剿	tɕiaɞ3	
劈	pʰi7	
劊	kʰuæe5	
劍	tɕiẽ5	
力	ni7	
勸	tɕʰyẽ5	
辦	pã5	
功	koŋ1	
加	tɕiɑ1	
務	vuᶹ7	
動	toŋ5	
助	tsu7/tʂu7	
努	nu3	
劫	tɕʰie7	
勵	ni7	
勞	naɞ2	
勢	sɿ7	
勁	tɕin5	
勃	pʰo7	
勃	pʰu7	
勇	ioŋ3	
勉	miẽ3	
募	mu7	
勤	tɕʰin2	
勳	ɕioŋ1	
勺	so7/ʂo7	
勾	kəu1	
勿	vuᶹ7	
匀	yn2	均~
包	paɞ1	
化	xuɑ5	
匙	sɿ2	
匠	tɕiaŋ5	
匪	fɘɪ3	
匹	pʰi7	一~布
區	tɕʰy1	
医	i1	
医	i7	
匾	piẽ3	
十	sɿ7	
千	tɕʰiẽ1	
卅	sæ7/ʂæ7	
升	səin1/ʂəin1	
午	vuᶹ3	
半	pã5	
華	xuɑ2	
卑	pɘɪ1	
卒	tsu7/tʂu7	
卓	tso7/tʂo7	
單	tã1	~独
賣	mæe5	
博	po7	
卦	kuɑ5	
衛	uɘɪ5	
卯	maɞ3	
印	in5	
危	uɘɪ2	
即	tɕi7	
卵	nuã3	
卷	tɕyẽ3	
卸	ɕie7	
卻	tɕʰyo7	
厂	tsʰaŋ3/tʂʰaŋ3	
厄	ŋæ7	
廳	tʰin1	
历	ni7	
厲	ni7	
厭	iẽ5	
厚	xəu5	
原	yẽ2	
廂	ɕiaŋ1	
厥	tɕyo7	
厦	sɑ3/ʂɑ3	
廚	tsʰu2/tʂʰu2	
厮	sɿ1	
去	tɕi7	
去	tɕʰy7	
縣	ɕiẽ5	
参	səin1/ʂəin1	
参	tsʰã1/tʂʰã1	~加
又	iəu5	
叉	tsʰɑ1/tʂʰɑ1	
及	tɕi7	
友	iəu3	
雙	suaŋ1/ʂuaŋ1	
反	fã3	
发	fɑ5	
发	fæ7	
叔	su5/ʂu5	
叔	su7/ʂu7	
取	tɕʰy3	
受	səu5/ʂəu5	
變	piẽ5	
叙	ɕy7	
叟	səu3/ʂəu3	
叢	tsʰoŋ2/tʂʰoŋ2	
口	kʰəu3	
古	ku3	
句	tɕy7	
另	nin5	
叨	taɞ1	
只	tsɿ3	
叫	tɕiaɞ5	
召	tsaɞ5/tʂaɞ5	
可	kʰɤ̜3	
台	tʰæe2	
史	sɿ3	
右	iəu5	
叶	ie7	
号	xaɞ5	
号	xaɞ2	呼~
司	sɿ1	
吁	y7	呼~
各	kɤ̜7	
吉	tɕi7	
同	tʰoŋ2	
名	min2	
后	xəu5	
吏	ni7	
吐	tʰu3	
向	saŋ5/ʂaŋ5	
君	tɕyn1	
吝	nin5	
吞	tʰəin1	
吟	nin2	
吠	fɘɪ5	
否	foŋ3	
含	xã2	
听	tʰin5	~話,~其自然
啓	tɕʰi3	
吳	vuᶹ2	
吵	tsʰaɞ3/tʂʰaɞ3	
吸	tɕi7	
吹	tsʰuɘɪ1/tʂʰuɘɪ1	
吼	xəu3	
吾	vuᶹ2	
呂	ny3	
呆	tæe1	
呈	tsʰəin2/tʂʰəin2	
告	kaɞ5	
周	tsəu1/tʂəu1	
味	uɘɪ5	
呼	xu1	
命	min5	
和	xɤ̜2	
和	xo2	~平
咎	tɕiəu5	
咒	tsəu5/tʂəu5	
咨	tsɿ1	
咬	ŋaɞ3	
咳	kʰæ7	
咸	xã2	
品	pʰin3	
哄	xoŋ3	
響	ɕiaŋ3	
員	yẽ2	
哥	kɤ̜1	
哭	kʰu7	
哲	tsæ7/tʂæ7	
唆	so1/ʂo1	
唇	suəin2/ʂuəin2	
唉	ŋæe1	
唐	tʰaŋ2	
嘮	naɞ2	
售	səu5/ʂəu5	
唯	uɘɪ2	
唱	tsʰaŋ5/tʂʰaŋ5	
唾	tʰo5	
啃	kʰəin3	
啄	tso7/tʂo7	
商	saŋ1/ʂaŋ1	
問	uəin5	
啞	iɑ3	
嘯	ɕiaɞ5	
善	sã5/ʂã5	
喉	xəu2	
喊	xã3	
喚	xuã5	
喜	ɕi3	
喝	xɤ̜7	
噴	fəin5	
喻	y7	
嗅	ɕiəu5	
嗆	tɕʰiaŋ5	吃~了
嗉	su7/ʂu7	
嗓	saŋ3/ʂaŋ3	
嗜	sɿ7	
嗟	tɕiɑ1	
嗣	sɿ7	
嗤	tsʰɿ1	
嗽	səu5/ʂəu5	
嘉	tɕiɑ1	
嘔	ŋəu3	~吐
嘘	ɕy1	
囑	tsu7/tʂu7	
嘴	tsuɘɪ3/tʂuɘɪ3	
嘻	ɕi1	
噎	ie7	
器	tɕʰi7	
嚇	xɑ5	
嚇	xæ7	
囂	ɕiaɞ1	
嚥	iẽ5	
嚷	zaŋ3/ʐaŋ3	
嚼	tɕiaɞ5	
嚼	tɕyo7	
囈	ni7	
囉	no1	~唆
囊	naŋ2	
囚	ɕiəu5	
四	sɿ5	
四	sɿ7	
回	xuɘɪ2	
因	in1	
团	tʰuã2	
困	kʰuəin5	
囱	tsʰoŋ1/tʂʰoŋ1	烟~
固	ku7	
國	kuæ7	
圖	tʰu2	
圈	tɕʰyẽ1	园~
圈	tɕyẽ5	猪~
圍	uɘɪ2	
園	yẽ2	
土	tʰu3	
圣	səin5/ʂəin5	
圭	kuɘɪ1	
地	ti7	
址	tsɿ3	
均	tɕyn1	
坍	tʰã1	~下来
坏	xuæe5	
坐	tso7/tʂo7	
坑	kʰəin1	
块	kʰuæe3	
堅	tɕiẽ1	
坡	pʰo1	
坤	kʰuəin1	
坦	tʰã3	~白
坪	pʰin2	
坯	pʰɘɪ1	
垂	tsʰuɘɪ2/tʂʰuɘɪ2	
型	ɕin2	
垢	kəu5	
垦	kʰəin3	
垮	kʰuɑ3	
埃	ŋæe1	
埋	mæe2	
城	tsʰəin2/tʂʰəin2	
埠	foŋ3	商~
培	pʰɘɪ2	
基	tɕi1	
堂	tʰaŋ2	
堆	tuɘɪ1	
墮	to7	
堡	paɞ3	
堤	tʰi2	
堪	kʰã1	
堯	iaɞ2	
場	tsʰaŋ2/tʂʰaŋ2	
堵	tu3	
塌	tʰæ7	
塑	su7/ʂu7	
塔	tʰæ7	
塗	tʰu2	
塘	tʰaŋ2	
塞	se5/ʂe5	
塞	sæ7/ʂæ7	
塢	vuᶹ1	
填	tʰiẽ2	
境	tɕin5	
墅	su3/ʂu3	
墓	mu7	
墜	tsuɘɪ5/tʂuɘɪ5	
增	tsəin1/tʂəin1	
墟	ɕy1	
墨	mæ7	
墩	təin1	
墳	fəin2	
壁	pi7	
壘	nuɘɪ3	
壠	noŋ3	
壤	zaŋ3/ʐaŋ3	
壩	pɑ5	
士	sɿ7	
壬	zəin2/ʐəin2	
壯	tsuaŋ5/tʂuaŋ5	
聲	səin1/ʂəin1	
壺	xu2	
處	tsʰu3/tʂʰu3	
備	pi7	
夏	ɕiɑ5	
夕	ɕi7	
外	uæe5	
夙	su7/ʂu7	
多	to1	
夜	ie5	
夜	ie7	
够	kəu5	
夢	moŋ5	
大	tɑ5	
天	tʰiẽ1	
太	tʰæe5	
夫	fuᶹ1	
夭	iaɞ1	
央	iaŋ1	
失	sɿ7	
頭	tʰəu2	
夷	i2	
奪	to7	
夾	tɕiɑ5	
夾	tɕiæ7	~子
奇	tɕʰi2	
奈	næe5	
奉	foŋ5	
奋	fəin5	
奎	kʰuɘɪ2	
奏	tsəu5/tʂəu5	
契	tɕʰi7	
奔	pəin1	
套	tʰaɞ5	
奢	se1/ʂe1	
奧	ŋaɞ5	
奬	tɕiaŋ3	
女	ny3	
奴	nu2	
奶	næe3	
奸	tɕiẽ1	
好	xaɞ3	
好	xaɞ5	
如	zu2/ʐu2	
妃	fɘɪ1	
婦	fuᶹ7	
妓	tɕi5	
妓	tɕi7	
妖	iaɞ1	
妙	miaɞ5	
妥	tʰo3	
妨	faŋ2	
妬	tu7	
妹	mɘɪ5	
妻	tɕʰi1	
妾	tɕie7	
姊	tsɿ3	
始	sɿ3	
姐	tɕie3	
姑	ku1	
姓	ɕin5	
委	uɘɪ3	
姚	iaɞ2	
姜	tɕiaŋ1	
姦	tɕiẽ1	
姨	i2	
姬	tɕi1	
姻	in1	
姿	tsɿ1	
威	uɘɪ1	
娃	uɑ2	
娑	so1/ʂo1	
娘	niaŋ2	
娛	y2	
娶	tɕy7	
婚	xuəin1	
婢	pɘɪ5	
嬰	in1	
婿	ɕi7	
媒	mɘɪ2	
媚	mɘɪ5	
媳	ɕi7	
媾	kəu5	
嫁	tɕiɑ5	
嫂	saɞ3/ʂaɞ3	
嫌	ɕiẽ2	
嫡	ti7	
嫩	nəin5	
嬉	ɕi1	
嬋	sã2/ʂã2	
嬌	tɕiaɞ5	
嬸	səin3/ʂəin3	
子	tsɿ3	
孑	tɕie7	
孑	tɕyo7	
孔	kʰoŋ3	
孕	zuəin5/ʐuəin5	
字	tsɿ7	
存	tsʰəin2/tʂʰəin2	
孫	səin1/ʂəin1	
孝	ɕiaɞ5	
孟	moŋ5	
季	tɕi7	
孤	ku1	
學	ɕyo7	
孩	ɕie2	
孩	xæe2	
孽	nie7	
宁	nin2	
宅	tsʰæ7/tʂʰæ7	
宇	y3	
守	səu3/ʂəu3	
安	ŋã1	
宋	soŋ5/ʂoŋ5	
完	uã2	
宏	xoŋ2	
宗	tsoŋ1/tʂoŋ1	
官	kuã1	
宙	tsəu5/tʂəu5	
定	tin5	
宜	ni2	
寶	paɞ3	
實	sɿ7	
審	səin3/ʂəin3	
客	kʰæ7	
宣	ɕyẽ1	
室	sɿ7	
宥	iəu5	
宦	xuã5	
宪	ɕiẽ5	
宮	koŋ1	
宰	tsæe3/tʂæe3	
害	xæe5	
宴	iẽ5	~会
宵	ɕiaɞ1	
家	tɕiɑ1	
容	ioŋ2	
賓	pin1	
宿	su7/ʂu7	
宿	ɕiəu5	星~
寂	tɕi7	
寄	tɕi7	
寅	in2	
密	mi7	
寇	kʰəu5	
富	fuᶹ7	
寐	mɘɪ5	
寓	y7	
寢	tɕʰin3	
寞	mo7	
察	tsʰɑ5/tʂʰɑ5	
察	tsʰæ7/tʂʰæ7	
寡	kuɑ3	
寥	niaɞ2	
寨	tsæe5/tʂæe5	
寫	ɕie3	
寬	kʰuã1	
寵	tsʰoŋ3/tʂʰoŋ3	
寸	tsʰəin5/tʂʰəin5	
對	tuɘɪ5	
寺	sɿ7	
導	tʰaɞ5	
壽	səu5/ʂəu5	
封	foŋ1	
射	se5/ʂe5	
射	sæ7/ʂæ7	
將	tɕiaŋ1	
將	tɕiaŋ5	大~
專	tsuã1/tʂuã1	
尊	tsəin1/tʂəin1	
尋	ɕyn2	
小	ɕiaɞ3	
少	saɞ3/ʂaɞ3	
少	saɞ5/ʂaɞ5	
尔	ɚ3	
尖	tɕiẽ1	
塵	tsʰəin2/tʂʰəin2	
尝	saŋ2/ʂaŋ2	
尤	iəu2	
尬	tɕiæe5	最老派
就	tɕiəu5	
尸	sɿ1	
尹	in3	
尺	tsʰɿ7	
尼	ni2	
尽	tɕin5	
尾	uɘɪ3	
尿	niaɞ5	
局	tɕy7	
屁	pʰi7	
層	tsʰəin2/tʂʰəin2	
居	tɕy1	
屈	tɕʰy7	
屆	tɕie5	
屆	tɕiæe5	最老派
屋	vuᶹ7	
屍	sɿ1	
屎	sɿ3	
屏	pʰin2	
屏	fuᶹ7	
屑	ɕye7	
展	tsã3/tʂã3	
屠	tʰu2	
屢	ny3	
履	ny3	
屬	su7/ʂu7	
屯	tʰəin2	
山	sã1/ʂã1	
歲	suɘɪ5/ʂuɘɪ5	
豈	tɕʰi3	
岐	tɕʰi2	
岔	tsʰɑ1/tʂʰɑ1	
岔	tsʰɑ5/tʂʰɑ5	
岡	kaŋ1	
岳	yo7	
岸	ŋã5	
峙	sɿ7	
峽	ɕiɑ5	
峽	ɕiæ7	
峰	foŋ1	
島	taɞ3	
崇	tsʰoŋ2/tʂʰoŋ2	
崑	kʰuəin1	
崔	tsʰuɘɪ1/tʂʰuɘɪ1	
崖	ŋæe2	
崙	nəin2	
崩	pəin1	
嶺	nin3	
嶽	yo7	
巍	uɘɪ1	
川	tsʰuã1/tʂʰuã1	
州	tsəu1/tʂəu1	
巡	ɕyn2	
工	koŋ1	
左	tso3/tʂo3	
巧	tɕʰiaɞ3	
巨	tɕy7	
巩	koŋ3	
巫	vuᶹ2	
差	tsʰɑ1/tʂʰɑ1	
差	tsʰæe1/tʂʰæe1	出~
己	tɕi3	
已	i3	
巴	pɑ1	
巷	xaŋ5	
巾	tɕin1	
市	sɿ7	
布	pu7	
帥	suæe5/ʂuæe5	
帆	fã2	
師	sɿ1	
希	ɕi1	
帕	pʰɑ5	
帖	tie7	
帘	niẽ2	
帚	tsəu3/tʂəu3	
帚	tsu3/tʂu3	扫~
帛	pæ7	
帝	ti7	
帶	tsu3/tʂu3	
帶	tæe5	
席	ɕi7	
幫	paŋ1	
帳	tsaŋ5/tʂaŋ5	
帷	uɘɪ2	
常	saŋ2/ʂaŋ2	
帽	maɞ5	
幅	fuᶹ7	
幔	mã5	
幕	mo7	
幞	pʰu7	
幣	pi5	
干	kã1	
干	kã5	~部
平	pʰin2	
年	niẽ2	
幸	ɕin5	
幼	iəu5	
幽	iəu1	
广	kuaŋ3	
庄	tsuaŋ1/tʂuaŋ1	
慶	tɕʰin5	
庇	pi7	
序	ɕy7	
應	in5	
底	ti3	
店	tiẽ5	
廟	miaɞ5	
庚	kəin1	
府	fuᶹ3	
廢	fɘɪ5	
度	to7	
度	tu7	
座	tso7/tʂo7	
庫	kʰu7	
庭	tʰin2	
庶	su7/ʂu7	
康	kʰaŋ1	
廁	tsʰæ7/tʂʰæ7	
廉	niẽ2	
廊	naŋ2	
廓	kʰo7	
廖	niaɞ2	
廬	nu2	
延	iẽ2	
延	kuaŋ5	
廷	tʰin2	
建	tɕiẽ5	
開	kʰæe1	
弄	noŋ5	
弊	pi7	
式	sɿ7	
弓	koŋ1	
弔	tiaɞ5	
引	in3	
弗	fuᶹ7	
弘	xoŋ2	
弟	ti7	
弥	mi2	
彎	uã1	
弱	zo7/ʐo7	
張	tsaŋ1/tʂaŋ1	
強	tɕʰiaŋ2	
强	tɕʰiaŋ3	勉~
彈	tʰã2	~琴
彈	tã5	子~
歸	kuɘɪ1	
當	taŋ5	上~
當	taŋ1	应~
录	nu7	
彙	xuɘɪ5	
形	ɕin2	
彩	tsʰæe3/tʂʰæe3	
彪	piaɞ1	
彭	pʰəin2	
影	in3	
彷	faŋ3	~佛
役	y7	
徹	tsʰæ7/tʂʰæ7	
往	vuaŋ3	
征	tsəin1/tʂəin1	
待	tæe5	
很	xəin3	
律	nu7	
後	xəu5	
徐	ɕy2	
徒	tʰu2	
得	tæ7	
徙	ɕi3	
御	y7	
復	fuᶹ7	
循	ɕyn2	
微	uɘɪ2	
德	tæ7	
德	te5	道~
徽	xuɘɪ1	
心	ɕin1	
必	pi7	
憶	i7	
忌	tɕi7	
忍	zəin3/ʐəin3	
忒	tʰæ7	
志	tsɿ7	
忘	vuaŋ2	
忙	maŋ2	
忠	tsoŋ1/tʂoŋ1	
忧	iəu1	
快	kʰuæe5	
念	niẽ5	
忽	xu7	
忿	fəin5	
怀	xuæe2	
態	tʰæe5	
怒	nu7	
怕	pʰɑ5	
怖	pu7	
思	sɿ1	
怠	tæe5	
怡	i2	
急	tɕi7	
性	ɕin5	
怨	yẽ5	
怪	kuæe5	
怯	tɕʰie7	
怱	tsʰoŋ1/tʂʰoŋ1	
總	tsoŋ3/tʂoŋ3	
恃	sɿ7	
戀	niẽ5	
恐	kʰoŋ3	
恆	xəin2	
恕	su7/ʂu7	
恙	iaŋ5	
恢	xuɘɪ1	
耻	tsʰɿ3	
恨	xəin5	
恩	ŋəin1	
恭	koŋ1	
息	ɕi7	
恰	tɕʰiæ7	
懇	kʰəin3	
恶	ŋɤ̜7	作~
惻	tsʰæ7/tʂʰæ7	
悄	tɕʰiaɞ1	
悄	tɕʰiaɞ5	~皮
悉	ɕi7	
悔	xuɘɪ3	
悟	vuᶹ7	
悠	iəu1	
患	xuã5	
懸	ɕyẽ2	
悲	pɘɪ1	
悶	məin5	
情	tɕʰin2	
惊	tɕin1	
惑	xo7	
惕	tʰi7	
惜	ɕi7	
惟	uɘɪ2	
惠	xuɘɪ5	
懼	tɕy7	
慘	tsʰã3/tʂʰã3	
惰	to7	
惱	naɞ3	
想	ɕiaŋ3	
惹	ze3/ʐe3	
愁	tsʰəu2/tʂʰəu2	
愈	y7	
愈	y2	~来~好
意	i7	
愚	y2	
感	kã3	
愧	kʰuɘɪ5	
愷	kʰæe3	
慈	tsʰɿ2	
慌	xuaŋ1	
慎	tsʰəin5/tʂʰəin5	
慕	mu7	
慢	mã5	
慣	kuã5	
慧	xuɘɪ5	
慨	kʰæe5	
慪	ŋəu5	~气
慰	y7	
慷	kʰaŋ3	
慾	y7	
憐	niẽ2	
憤	fəin5	
懂	toŋ3	
懈	ɕie5	
懈	ɕiæe5	最老派
懊	ŋaɞ3	
懊	ŋaɞ5	~悔
懶	nã3	
懿	i7	
戈	kɤ̜1	
戊	vuᶹ7	
戍	su7/ʂu7	
戎	ioŋ2	
成	tsʰəin2/tʂʰəin2	
我	ŋɤ̜3	
我	ŋo3	
戒	tɕie5	
戒	tɕiẽ5	
戒	tɕiæe5	最老派
或	xo7	
戰	tsã5/tʂã5	
戚	tɕʰi7	
戟	tɕi7	
截	tɕʰie7	
截	tɕie7	半~
戮	nu7	
戲	ɕi7	
戳	tsʰo7/tʂʰo7	
戴	tæe5	
戶	xu7	
房	faŋ2	
所	so3/ʂo3	
扁	piẽ3	
扇	sã5/ʂã5	
手	səu3/ʂəu3	
才	tsʰæe2/tʂʰæe2	
扎	tsɑ5/tʂɑ5	
扎	tsæ7/tʂæ7	
打	kəin1	~羹
扔	zəin5/ʐəin5	
托	tʰo7	
扛	kaŋ5	
扣	kʰəu5	
執	tsɿ7	
掃	saɞ3/ʂaɞ3	
掃	saɞ5/ʂaɞ5	~帚
扭	niəu3	
扮	pã5	
扯	tsʰɘɪ3	
扯	tsʰe5/tʂʰe5	
扶	fuᶹ2	
批	pʰɘɪ1	
扼	ŋæ7	
找	tsaɞ3/tʂaɞ3	
承	tsʰəin2/tʂʰəin2	
技	tɕi5	
技	tɕi7	
把	pɑ3	
抑	i7	
抓	tsuɑ1/tʂuɑ1	
投	tʰəu2	
抖	tʰəu3	
抗	kʰaŋ5	
折	tsæ7/tʂæ7	
抛	pʰaɞ1	
護	xu7	
報	paɞ5	
披	pʰɘɪ1	
抬	tʰæe2	
抱	paɞ1	
抱	paɞ5	
抵	ti3	
抹	mo7	
押	iɑ5	
押	iæ7	
抽	tsʰəu1/tʂʰəu1	
拂	fuᶹ7	
担	tã1	~任
担	tã5	挑~
拇	mu3	
拈	niẽ1	~起来
拌	pã5	
拍	pʰæ7	
拎	nin2	
拐	kuæe3	
拒	tɕy7	
拔	pʰæ7	
拖	tʰo1	
拘	tɕy1	
招	tsaɞ1/tʂaɞ1	
拜	pæe5	
擬	ni3	
擁	ioŋ3	
括	kuæ7	
拱	koŋ3	
拳	tɕʰyẽ2	
拴	suã1/ʂuã1	
拼	pʰin1	
拾	sɿ7	
拿	nɑ2	
持	tsʰɿ2	
指	tsɿ3	
按	ŋã5	
挖	uæ7	
擠	tɕi3	
挨	ŋæe1	~着坐
挨	ŋæe2	~打
挪	no2	
振	tsəin3/tʂəin3	
挺	tʰin3	
挽	uã3	
捆	kʰuəin3	
捉	tso7/tʂo7	
捏	nie7	
捐	tɕyẽ1	
捕	pu7	
撈	naɞ2	
捧	pʰoŋ3	
捨	se3/ʂe3	
据	tɕy7	
捷	tɕʰie7	
捺	næ7	
掀	ɕyẽ1	
