#漢字	音標	解釋
□	ki5	近指代词
坤	kʰuʌŋ1	
坦	tʰe3	
坪	biŋ2	
坯	pʰai1	土~
垂	dzai6	
型	ɦiŋ2	
垒	lai3	
垜	du6	
墾	kʰʌŋ3	
墊	di6	~钱
垮	kua1	
埃	e1	~及,尘~
埋	me2	
城	dʑiŋ2	
域	ɦyøʔ8	
埠	bu6	
培	bai6	
基	tsɿ1	
堂	dɤ̃2	
堆	tai1	
堡	pɔ3	
堤	di2	
堪	kʰe1	
堰	i5	
堵	tu3	
塌	tʰəʔ7	
塑	su5	
塔	tʰəʔ7	
塘	dɤ̃2	
塞	səʔ7	
填	di6	
境	tɕiŋ5	
墓	mo6	
牆	dʑiɤ̃2	
增	tsʌŋ1	
墟	ɕy1	
墨	moʔ8	
墩	tʌŋ1	
壁	peʔ7	
壅	ioŋ5	
壕	ɦɔ2	
壤	dʑiɤ̃6	
士	zɿ6	
壬	niŋ2	
壯	tsɤ̃5	
聲	ɕiŋ1	
壺	ʋu2	
壻	sɿ5	女~
處	tɕʰy5	相~
備	bi6	
复	hoʔ7	
夏	ɦia6	春~,姓
夕	ʑieʔ8	
外	ʋe6	
多	to1	
夜	i5	
够	kɛu5	
大	da6	~小;~黄,药名
天	tʰi1	
太	tʰe5	
夫	fu1	
央	iɤ̃1	
夯	ŋʌŋ1	打~
失	ɕieʔ7	
頭	dɛu2	
夷	ɦi2	
夸	kʰua1	
夾	tɕieʔ7	~生饭
夾	ɡəʔ8	~子
奪	dəʔ8	
奇	dzɿ2	
奈	ne6	
奮	fʌŋ5	
奎	kʰuai1	
奏	tsɛu5	
獎	tɕiɤ̃3	
套	tʰɔ5	
奚	tsʰɿ1	
奠	di6	
奢	sɿ1	
奧	ɔ5	
女	ny3	
奴	nu2	
奶	ne1	
奸	tɕi1	
好	hɔ3	~坏
好	hɔ5	喜~
如	ʑy2	
妃	fi1	
婦	ʋu6	
妓	dzɿ2	
妖	iɔ1	
妙	miɔ3	
妥	tʰu3	
妨	fɤ̃1	~害
妹	mai6	
妻	tsʰɿ1	
妾	dʑieʔ8	
姆	m̩1	
姊	tsɿ3	
姐	tsɿ3	
姑	ku1	
姓	ɕiŋ5	
委	ʋai3	
姘	pʰiŋ5	~头
姚	ɦiɔ2	
姜	tɕiɤ̃1	
姨	ɦi2	
姻	iŋ1	
姿	tsɿ1	
威	ʋai1	
娃	ʋa1	
嬌	tɕiɔ1	
娘	niɤ̃2	
娩	mi3	
娛	ʋu6	
娶	tɕʰy3	
婆	bo2	
婚	fʌŋ1	
嬰	iŋ1	
媒	mai2	
媚	mai2	
嫁	tɕia5	
