#漢字	音標	解釋
□	ki5	近指代词
雖	sai1	
蝦	ɕia1	
蝕	ʑieʔ8	
蟻	i1	
蚊	ʋʌŋ2	
蚌	bɤ̃6	
蠶	dze2	
蚣	koŋ1	蜈~
蚤	tsɔ3	
蚶	he1	
蛀	tɕy5	
蛆	tɕy1	生~
蛇	zɿ2	
蛋	de6	
蟶	tɕʰiŋ1	~子
蛛	tɕy1	
蛤	ɦia2	~蟆
蠻	me2	
蟄	tɕieʔ7	惊~
蛾	ŋo2	
蜀	dʑyøʔ8	
蜇	tɕieʔ7	蜜蜂~人
蜓	diŋ2	
蜘	tsɿ1	
蜜	mi6	
蜜	meʔ7	
蠟	ləʔ8	
蜻	tɕʰiŋ3	
蠅	ɦiŋ2	
蟬	dzi2	
蠍	ɕieʔ7	
蝗	ʋɤ̃2	
蝙	peʔ7	
蝠	hoʔ7	
蝶	deʔ8	
螂	lɤ̃2	
螃	bɤ̃2	~蟹
融	ɦioŋ2	
螳	dɤ̃2	~螂
螺	lo2	~蛳
蟆	mo1	蛤~
蟹	ɕie3	
蟾	dzi2	
蠓	moŋ6	~虫
蠢	tɕʰioŋ3	
血	ɕyøʔ7	
行	ɦɤ̃2	~列,银~
行	ɦiŋ2	~为,品~
銜	ke1	
銜	ɡe2	
街	tɕie1	
衙	ɦia2	
衡	ɦʌŋ2	
衣	i1	
補	pu3	
表	piɔ3	~面,手~
衫	se1	
襯	tɕʰiŋ3	
衰	sai1	
袁	ɦʏ2	
襖	ɔ3	
袋	de6	
袍	bɔ2	
袖	ʑiɯ6	
袜	ʋəʔ8	
袢	pʰe1	组~
被	bi6	~臥,~子
被	bi6	~打,~追
襲	ʑieʔ8	
裁	dze2	
裂	leʔ8	
裝	tsɤ̃1	
裌	tɕieʔ7	~衣
裕	ɦy6	
裙	dʑioŋ2	
褲	kʰu5	
襇	tɕi3	
裳	niɤ̃2	
裴	bai2	
裸	lu2	~体
裹	ko3	
製	tsɿ5	
褒	pɔ1	~奖
褚	ɕy3	
褥	ʑyøʔ8	
褶	tɕieʔ7	皱纹
襄	ɕiɤ̃1	
襟	tɕiŋ5	
西	sɿ1	
要	iɔ1	~求
要	iɔ5	想~,重~
覆	hoʔ7	
見	tɕi5	
觀	kʏ1	
規	kuai1	
視	zɿ6	
覽	le3	
覺	koʔ7	睡~,知~
角	koʔ7	
解	tɕie3	~开,讲~
觸	tɕʰyøʔ7	
言	ɦi2	
詠	ioŋ5	
譽	ɦy6	
謄	dʌŋ2	
誌	tsɿ5	
誓	zɿ6	
警	tɕiŋ3	
譬	pʰi3	~如,~喻
計	tsɿ5	
訂	tiŋ5	
訃	fu5	
認	ʑiŋ6	
譏	tsɿ1	
討	tʰɔ3	
讓	ʑiɤ̃6	
訖	tɕʰieʔ7	
議	ni3	
訊	ɕiŋ3	
記	tsɿ5	
講	tɕiɤ̃3	
諱	fai5	忌~
許	ɕy3	
論	lʌŋ6	议~
訟	soŋ5	
諷	hoŋ1	
設	ɕieʔ7	
訪	fɤ̃3	
訣	tɕyøʔ7	
證	tɕiŋ5	
評	biŋ2	
識	ɕieʔ7	
詐	tsa5	
訴	su5	
診	tɕiŋ1	
詞	zɿ2	
詔	dʑiɔ6	
譯	ɦieʔ8	
試	sɿ5	
詩	sɿ1	
誅	tɕy1	
話	ʋa6	
誕	te5	
詭	kuai3	
該	ke1	
詳	dʑiɤ̃2	
誣	ʋu6	
語	y3	
誤	ʋu6	
誘	ɦiɯ6	
説	ɕyøʔ7	~话
誦	soŋ5	
請	tɕʰiŋ3	
諸	tɕy1	
諾	noʔ8	
讀	doʔ8	
課	kʰo5	
調	diɔ6	音~,~动
諒	liɤ̃6	
談	de2	
誼	ɦi2	
謀	mɛu2	
諜	deʔ8	
謊	fɤ̃3	
諫	tɕi3	
諧	e1	
讒	dze2	
諺	ɦi2	
謎	mi2	
謝	zɿ6	
謡	ɦiɔ2	
謗	pɤ̃1	
謙	tɕʰi1	
謹	dʑiŋ2	
謬	niɯ5	
譚	de2	
譜	pʰu3	
谷	koʔ7	稻~,山~
豆	tɛu5	
豇	tɕiɤ̃1	~豆
豌	ʏ3	
豚	dʌŋ2	
象	ʑiɤ̃6	
豪	ɦɔ2	
豫	ɦy6	
豹	pɔ5	
豺	dze6	
貂	tiɔ1	
貌	mɔ6	
貝	pai5	
貞	tɕiŋ1	
負	ʋu6	
貢	koŋ5	
財	dze2	
責	tsəʔ7	
賢	ɦi2	
敗	be6	
賬	tɕiɤ̃5	
貨	ho5	
質	tsəʔ7	
販	fe5	
貪	tʰe1	
貧	biŋ2	
貶	pi5	
購	kɛu5	
貫	kʏ5	
賤	dzi6	
貼	tʰeʔ7	
貴	kuai5	
貸	tʰe5	
貿	mɔ2	
費	fi5	~用
賀	ɦo6	
賊	dzəʔ8	
賈	tɕia3	姓
賄	fai3	
賃	ʑioŋ6	租~
賂	loʔ8	
贓	tsɤ̃1	
資	tsɿ1	
賒	sɿ1	
賦	fu5	
賭	tu3	
贖	ʑyøʔ8	
賞	ɕiɤ̃3	
賜	sɿ5	
賠	bai2	
賴	le6	
贅	tsai5	
賺	dze6	
賽	se5	
贊	tse5	
贈	dzʌŋ6	
贏	ɦiŋ2	
赤	tɕʰieʔ7	
赦	sɿ5	
赫	həʔ7	
走	tsɛu3	
赴	ʋu6	
趙	dʑiɔ6	
趕	ke3	
起	tsʰɿ3	
趁	tsʰʌŋ5	
超	tɕʰiɔ1	
越	ɦyøʔ8	
趨	tɕʰy1	
趟	tʰɤ̃5	
趣	tɕʰy5	
足	tsoʔ7	
趾	tsɿ3	
躍	ɦiɔ6	
跌	teʔ7	
跛	pe3	~足
距	dʑy6	
跟	kʌŋ1	
跨	kʰua1	
跪	ɡuai6	
路	lu6	
跳	tʰiɔ5	
踐	dzi6	
踏	dəʔ8	
踒	kue3	~了脚
踢	tʰeʔ7	
蹤	tsoŋ1	~迹
踱	du6	
蹄	di2	
躡	neʔ8	
蹬	tʌŋ5	
蹲	tʌŋ1	
躁	tsɔ5	
身	ɕiŋ1	
躬	koŋ1	
躱	to3	
躺	tʰɤ̃3	
車	tɕy1	~马炮
車	tsʰo1	马~
軋	ɡəʔ8	~棉花
軌	kuai3	
軒	ɕi1	
轉	tɕʏ3	
輪	lʌŋ2	
軟	ɕʏ3	
轟	hoŋ1	
軸	dʑyøʔ8	
輕	tɕʰiŋ1	~重,年~
載	ze6	
載	tse5	三年五~
轎	dʑiɔ6	
較	tɕiɔ3	
輔	fu3	
輛	liɤ̃3	
輩	pai5	
輝	fai1	
輞	ʋɤ̃3	车~
輜	tsɿ1	~重
輯	ɕieʔ7	编~
輸	ɕy1	~赢,运~
轅	ɦʏ2	
轄	ɦieʔ8	管~
辛	ɕiŋ1	
辭	zɿ2	
辟	pʰeʔ7	
辣	ləʔ8	
辨	bi2	
辯	bi2	
辮	bi6	
辰	ʑiŋ2	
辱	ʑyøʔ8	
邊	pi1	
遼	liɔ2	
達	dəʔ8	
遷	tɕʰi1	
迂	y1	
迅	ɕiŋ3	
過	ko5	姓,~去
邁	me6	
迎	niŋ2	
運	ɦioŋ6	
近	dʑiŋ6	
還	ʋe2	~原
還	ʋe2	~有
進	tɕiŋ5	
遠	ʏ3	
違	ʋai6	
連	li1	
遲	dzɿ2	
迥	tɕioŋ5	
迫	poʔ7	
述	ʑyøʔ8	
迷	mi2	
迸	poŋ5	
迹	tɕieʔ7	
追	tsai1	
退	tʰai5	
送	soŋ5	
適	ɕieʔ7	
逃	dɔ2	
逆	neʔ8	
選	ɕʏ3	
遜	ɕʏ5	
透	tʰɛu5	
逐	dʑyøʔ8	
遞	di6	
途	du2	
逗	tɛu5	
通	tʰoŋ1	
逛	ɡuɤ̃6	
逝	zɿ6	
逞	tɕʰiŋ1	~能
逞	dʑiŋ2	得~
速	soʔ7	
造	dzɔ6	
逢	ɦoŋ2	
逵	ɡuai6	
逸	ieʔ7	
逼	peʔ7	
逾	y1	
遂	dzai6	
遇	ɦy6	
遍	pʰi1	一~,~地
遺	ɦi2	
遣	tɕʰi3	
遭	tsɔ1	
遮	tsɿ1	
遵	tsʌŋ1	
避	bi6	
邀	iɔ1	
鄧	dʌŋ6	
那	na2	
邦	pɤ̃1	
邪	zɿ2	
郵	ɦiɯ2	
邵	dʑiɔ6	
鄒	tsɛu5	
鄰	liŋ1	
郁	ieʔ7	
郊	tɕiɔ1	
郎	lɤ̃2	
鄭	dʑiŋ6	
部	bu6	
郭	koʔ7	
都	tu1	~城
鄙	pi3	
酉	iɯ3	
配	pʰai5	
酒	tɕiɯ3	
酥	su1	
酪	loʔ8	
醬	tɕiɤ̃5	
酵	ɕiɔ5	
酷	kʰoʔ7	
酸	ɕʏ1	
釀	ʑiɤ̃6	
醇	ʑioŋ2	
醉	tsai5	
醋	tsʰu5	
醒	ɕiŋ3	
采	tsʰe3	
釋	ɕieʔ7	
里	li3	公~,~面
重	dʑioŋ2	~重
重	dʑioŋ6	轻~
野	i3	
量	liɤ̃2	丈~
量	liɤ̃6	数~
金	tɕiŋ1	
釜	fu3	
鏨	dze6	~花
鍊	li6	
鏊	ŋɔ6	烙饼用具
鑑	tɕʰi3	
針	tɕiŋ1	
釘	tiŋ5	~住
釘	tiŋ1	铁~
釣	tiɔ5	
釵	tsʰe1	
鈍	dʌŋ2	
鈔	tsʰɔ1	~票
钟	tɕioŋ1	
鑰	ɦieʔ8	
欽	tɕʰiŋ1	
鈞	tɕioŋ1	
鉤	kɛu1	
鈀	pa3	
錢	dzi2	
鉗	dzi2	
鉢	poʔ7	
鈸	bəʔ8	
鑽	tɕʏ1	动词
鑽	tɕʏ5	木工用具
鐵	tʰeʔ7	
鈴	liŋ2	
鉋	bɔ2	
鐸	doʔ8	
銅	doŋ2	
鍘	dzəʔ8	
銘	miŋ2	
鏟	tsʰe3	
銃	tɕʰioŋ5	放~
銀	ɦiŋ2	
鑄	tɕy5	
鋪	pʰu1	店~,~设
銷	ɕiɔ1	
鋤	dʑy2	
鍋	ko1	
鏽	ɕiɯ5	
銼	tsʰo5	
鋒	hoŋ1	
鐧	tɕi5	车~
錯	tsʰo1	~误
錯	tsʰoʔ7	~杂
錨	mɔ2	
錫	ɕieʔ7	
鑼	lo2	
錘	zai6	
錐	tsai1	
錦	tɕiŋ3	
錠	diŋ6	
鍵	dzi6	
鋸	tɕy5	~子,~木头
鍥	tɕieʔ7	镰刀
鍬	tɕʰiɔ1	
鍛	dʏ6	
鍍	du6	
鎮	tɕiŋ5	
鑷	neʔ8	
鎔	ɦioŋ2	
鐲	ʑyøʔ8	
鐮	li1	
鑲	ɕiɤ̃1	
長	dʑiɤ̃2	~短
長	dʑiɤ̃6	生~
閧	hoŋ1	起~
門	mʌŋ2	
閂	ɕʏ1	
閃	ɕie5	
閉	pi5	
問	ʋʌŋ6	
闖	tɕʰyɤ̃3	
閏	ioŋ3	
闲	ɦi2	
間	tɕi1	~断
間	tɕi1	空~
悶	mʌŋ6	
閘	dzəʔ8	
鬧	nɔ6	
閨	kuai1	
聞	ʋʌŋ2	
閩	miŋ3	
閣	koʔ7	
閲	ɦyøʔ8	
閹	i1	
閹	tɕiɯ1	抓~
閻	ɦi2	
闊	kʰuəʔ7	
阜	bu6	
隊	dai6	
阮	ɕʏ3	
防	ʋɤ̃2	
陽	ɦiɤ̃2	
陰	iŋ1	
陣	dʑiŋ6	
階	tɕie1	
阻	tsu3	
阿	o1	~胶,~弥陀佛
附	ʋu6	
際	tsɿ5	
陸	loʔ8	
隴	loŋ3	
陳	dʑiŋ2	
陋	lɛu6	
陌	moʔ8	
降	ɦiɤ̃2	~伏,投~
限	ɦi6	
陝	ɕi3	
院	ɦʏ6	
除	dʑy2	
險	ɕi3	
陪	bai2	
陵	liŋ2	
陶	dɔ2	
陷	ɦi6	
隆	loŋ2	
隨	dzai2	
隱	iŋ3	
隔	kəʔ7	
障	tɕiɤ̃1	保~
隧	dzai6	~道
隶	li6	
難	ne2	
雀	tɕʰieʔ7	
雁	ɦi6	
雄	ɦioŋ2	
雅	ɦia2	
集	ʑieʔ8	
雇	ku5	
雌	tsʰɿ1	
雍	ioŋ5	
雕	tiɔ1	
雨	y3	
雪	ɕyøʔ7	
零	liŋ2	
雷	lai1	
雹	bɔ6	
霧	ʋu6	
需	ɕy1	
霄	ɕiɔ1	
震	tɕiŋ5	
黴	mai2	
霍	hoʔ7	
霜	ɕyɤ̃1	
霞	ɦia2	
露	lu6	
霸	pa5	
靖	dʑiŋ6	
靜	dʑiŋ6	
非	fi1	
靠	kʰɔ5	
靡	mi2	
面	mi6	方~,~粉
革	kəʔ7	
靪	tiŋ1	
靭	ɕioŋ3	
靴	ɕy1	
鞋	ɦe2	
鞍	e1	
鞭	pi1	
韓	ɦe2	
韭	tɕiɯ3	
音	iŋ1	
韻	ioŋ5	
韶	dʑiɔ6	~关
頁	ɦieʔ8	
頂	tiŋ3	
頃	tɕʰioŋ3	
項	ɦiɤ̃6	
順	ʑioŋ6	
须	ɕy1	必~,胡~
頑	ʋe2	~皮
顧	ku5	
頓	tʌŋ5	
頒	pe1	
預	ɦy6	
領	liŋ3	
頗	po1	
頸	tɕiŋ3	
頻	biŋ2	~繁
穎	iŋ3	
顆	kʰo1	
題	di2	
顔	ɦi2	
額	ŋəʔ7	
顛	ti1	
顫	tɕi1	
顴	dʑʏ2	~骨
風	hoŋ1	
飄	pʰiɔ1	
飛	fi1	
食	ʑieʔ8	
餐	tsʰe1	
饥	tsɿ1	~饿
饥	tsɿ1	~荒
飩	dʌŋ2	馄~
飯	ʋe6	
飲	iŋ3	
飲	iŋ1	冷~
餞	dzi6	~行
飾	ɕieʔ7	
飽	pɔ3	
飴	ɦi2	高梁~
餌	ni6	
饒	niɔ2	
餉	ɕiɤ̃3	
餃	tɕiɔ3	
餅	piŋ3	
餑	bəʔ8	
餓	ŋo6	
餛	ʋʌŋ2	~饨
餡	ɦi6	
館	kʏ3	
餿	sɛu1	
饞	dze2	
餾	liɯ2	
饅	mʏ2	
首	ɕiɯ3	
香	ɕiɤ̃1	
馨	ɕiŋ1	
馬	ma3	
驅	tɕʰy1	
駁	poʔ7	
驢	lu2	
駛	sɿ3	
駒	tɕy1	
駐	dʑy6	
駝	do2	
駕	tɕia5	
駡	ma6	
駱	loʔ8	
驗	ni6	
騎	dzɿ2	
騙	pʰi5	
騷	sɔ1	
騾	lai3	
骨	kuəʔ7	筋~
髓	sai3	
高	kɔ1	
鬃	tsoŋ1	~毛
鬢	piŋ5	
鬼	kuai3	
魁	kʰuai1	
魂	ʋʌŋ2	
魄	pʰəʔ7	
魘	i3	
魏	ʋai6	
魔	mo2	
鰣	zɿ2	
魚	ɦy2	
魯	lu3	
鮎	ni2	鱼
鮑	bɔ2	~鱼,姓
鮮	ɕi1	~少
鮮	ɕi1	新~
鯉	li3	
鯽	tɕieʔ7	
鯨	dʑiŋ2	
鰓	se1	
鱗	liŋ1	
鳥	niɔ3	文
鳥	tiɔ3	白
鳩	tɕiɯ1	
雞	tsɿ1	
鳴	miŋ2	
鴉	ia1	
鸕	lu2	
鴨	ieʔ7	
鴿	kəʔ7	
鸞	lʏ2	
鴻	ɦoŋ2	~毛
鵝	ŋo2	
鵡	ʋu3	
鵲	tɕʰyøʔ7	
鶴	ŋoʔ8	
鸚	iŋ1	
鷺	lu6	
鷹	iŋ1	
鹹	ɦi2	
鹿	loʔ8	
麥	moʔ8	
麩	fu1	麦~子
黃	ʋɤ̃2	
黎	li1	
黏	ni2	~米,~起来
黑	həʔ7	
默	moʔ8	
鼎	tiŋ3	
鼓	ku3	
鼠	tɕʰy3	
鼻	be6	
鼾	he1	
齊	dzɿ2	
齒	tsʰɿ3	
龍	loŋ2	
龞	peʔ7	
龜	kuai1	
