#漢字	音標	解釋
㓤	kʰiak7	【替字】生氣。~氣走，悻悻地離開。
下	ha5	①次等。~流。~價，低價。~男/~女，僕人。②次、陣子。一~，一次。成~子，有時。③時間、副詞後綴。後~，然後。同~，一起。④完成。做~了，做完了。⑤下一個。~擺，下次。⑥低處。~面。⑦做、投入精力。~手。
不	put7	
丐	koi5	
丑	tʃu3	
丑	tʃʰiu3	
且	tsʰia3	
丕	pʰi1	
世	ʃɿ5	
世	ʃe5	
丘	kʰiu1	
丘	hiu1	
丙	piaŋ3	
丞	ʃin2	
丟	tiu1	
兩	lioŋ1	
丟	tiu1	
並	pin5	
並	pʰin3	
丫	a1	
中	tʃuŋ1	
中	tʃuŋ5	
中	tuŋ1	
中	tsuŋ5	
丰	fuŋ1	
丱	kuan5	
串	tʃʰon5	
丳	tsʰon3	
丸	ian2	
丹	tan1	
主	tʃu3	
乂	ȵiai5	
乂	ŋai5	
乂	ȵi5	
乃	nai1	
久	kiu3	
么	iau1	
之	tʃɿ1	
乍	tsa5	
乎	fu2	
乏	fat8	
乒	pit7	
乒	pit8	
乓	pak8	
乖	kuai1	
乘	iau1	
乘	ʃin1	
乘	ʃin5	
乙	iat7	
乜	ia3	本字應是「搲」。抓。
九	kiu3	
乞	kʰet7	
也	ia1	
乢	iat7	
乩	ki1	
亂	lon5	
乳	nen5	【替字】
乹	kon1	
乾	kʰian2	
乾	kon1	
亂	lon5	
亅	kʰiet7	
了	liau3	
予	i1	
予	i5	
事	ʃɿ5	【替字】應是「誓」字。
事	ʃe5	事情。做~。
事	sɿ5	
二	ȵi5	
二	ŋ̍5	第~日，第二天，今合音爲tʰin5 ȵit7。
亍	tʃʰok7	
亍	tʃʰuk7	
于	i1	
云	iun2	
互	fu1	
五	ŋ̍3	
井	tsiaŋ3	
亘	sien1	
亙	kuen3	
些	sia1	
些	siam1	
亞	a1	
亟	kit7	
亡	moŋ2	
亢	kʰoŋ1	
交	kau1	
交	kau2	①失去、糟蹋。咹多豬肉煮倒毋好~撇了。人過番~撇了，人出國對家人來說就是死了。②混雜、攪亂。~糊，給小孩熬粥、羹。
交	kau5	
交	kʰau1	
亥	hoi5	
亦	it8	
亨	hen1	
享	hioŋ3	
京	kin1	
亭	tʰin2	
亮	lioŋ5	
亱	ia5	
亹	mi3	
亹	tʰau3	
人	ȵin2	
亼	sip8	
亾	moŋ2	
什	ʃip8	
仁	in2	
仂	lit8	
仃	ten1	
仄	tset7	
仆	pʰuk7	
仇	ʃu2	
仇	ʃiu2	
仇	tʃʰiu2	
仇	kʰiu2	
今	kin1	
介	kiai5	
仍	in2	
仔	tsɿ3	
仕	sɿ5	
他	tʰa1	
仗	tʃoŋ5	
付	fu5	
仙	sien1	
仝	tʰuŋ2	
仞	niun5	
仟	tsʰien1	
仡	ȵet7	
仡	iat7	
代	tʰoi5	
令	lin5	
以	i1	
仯	miau3	
仰	nioŋ1	
仰	ŋok8	
仲	tʃʰuŋ5	
仵	ŋ̍3	
件	kʰian5	
价	kiai5	
任	niuŋ5	
任	im5	
任	nim5	
份	fun5	
仾	tai1	
仿	foŋ3	
企	kʰi1	
伃	i2	
伈	sim3	
伉	kʰoŋ5	
伊	i1	
伋	kʰip7	
伍	ŋ̍3	
伎	kʰi3	
伏	fuk8	
伐	fat8	
休	hiu1	
伙	fo3	
伮	nu2	
伯	pak7	
估	ku3	
估	ku5	
伱	ni3	【文】
伲	ni3	
伳	siet7	
伴	pʰan3	
伴	pʰan1	
伶	laŋ2	
伶	lin2	
伸	ʃin1	
伸	tʃʰun1	
伺	sɿ5	
伻	pʰin2	
似	sɿ5	
伽	ka1	
佂	tʃin1	
佃	tʰien5	
但	tʰan3	
佇	tu3	
佈	pu5	
佉	kʰi1	
佋	ʃau5	
佌	tsʰɿ3	
位	vi5	
位	vui5	
低	tai1	
住	tʃʰu5	
佐	tso3	
佑	iu5	
佔	tʃam5	
何	ho2	
佖	pit7	
佗	tʰo2	
佘	ʃa2	
余	i2	
佚	it8	
佛	fut8	
作	tsok7	
佞	nin5	
你	ȵi2	
你	ȵe1	你的。
你	ȵia1	你的。
你	nia1	
你	ni3	【文】
你	ŋ̍2	
佢	ki2	本字爲「渠、其」。
佢	kia1	他的。
佩	pi5	
佪	fi2	
佪	fui2	
佬	lau3	
佭	koŋ5	
佯	ioŋ2	
佲	min2	
佳	ka1	
佴	ȵi5	
倂	pin5	
倂	piaŋ1	
倂	pin3	
倂	pʰin1	
倂	pʰin5	
佸	kuat7	
佹	kui3	
佺	tsʰien2	
佻	tʰiau1	
佼	kau3	
佽	tsʰɿ5	
佾	it8	
使	sɿ3	
使	sɿ5	
侁	sin1	
侂	tʰok7	
侃	kʰan3	
侅	koi1	
來	loi2	
侈	tʃʰɿ3	
侈	tʃʰi3	
侉	kʰua5	
例	li5	
侍	ʃɿ5	
侎	mia1	
侏	tʃu1	
侐	sit7	
侑	iu5	
侒	on1	
侓	lit8	
侓	lut8	
侖	lun2	
侗	tʰuŋ2	
侘	tsa5	
侙	tʃʰit7	
供	kiuŋ1	
供	kiuŋ5	
侜	tʃu1	
侜	tʃiu1	
依	i3	
依	i1	
侫	nin5	
侮	vu1	
侯	heu2	
侰	kʰiun2	
侰	kʰiuŋ2	
侱	tʃʰin3	
侲	tʃin3	
侵	tsʰim1	
侵	tsʰim5	
侶	li3	
侷	kʰiuk8	
侹	tʰin3	
侺	ʃim5	
侻	tʰot7	
侽	nam2	
便	pʰien2	
便	pʰien5	
係	he5	
促	tsʰuk7	
俄	ŋo2	
俅	kʰiu2	
俇	kʰoŋ2	
俈	kʰuk7	
俊	tsun5	
俋	ip7	
俏	tsʰiau5	
俐	li5	
俑	iuŋ3	
俒	fun5	
俓	kaŋ5	
俗	siuk8	
俘	fu1	
俙	hi1	
俚	li3	
保	pau3	
俟	sɿ5	
俠	kʰiap7	
信	sin5	
修	siu1	
修	siu3	
俯	fu3	
倶	ki1	
俳	pʰai2	
俴	tsʰien3	
俵	piau3	
俶	ʃuk7	
俸	fuŋ5	
俹	a1	
俹	a5	
俺	iam3	
俾	pi1	
倀	tʃʰoŋ2	
倃	kiu5	
倅	tsʰui5	
倆	lioŋ3	
倉	tsʰoŋ1	
個	ka5	那麼。~做得，那麼行吧。
個	kai5	遠指代詞。
個	kʰe5	
倌	kuon1	
倍	pʰi5	
倍	pʰui5	
倏	ʃuk7	
倐	ʃuk7	
們	mun2	
倒	tau3	
倓	tʰam2	
倔	kʰiut7	
倕	ʃui2	
倖	hen5	
倗	pʰen2	
倘	tʰoŋ3	
候	heu5	
倚	i3	
倝	kon5	
倞	lioŋ5	
借	tsia5	
倠	tsɿ1	
倡	tʃʰoŋ1	
倢	tsʰiap8	
倣	foŋ3	
値	tʃʰit8	
倥	kʰuŋ1	
倦	kʰian3	
倨	ki3	
倩	tsʰien5	
倪	ȵi2	
倫	lun2	
倬	tsok7	
倭	vi1	
倭	vui1	
倮	kʰo3	
倯	siuŋ2	
倲	tuŋ1	
倳	tsɿ5	
値	tsʰet8	
偃	ian3	
偄	nion1	
偅	tʃuŋ3	
偆	tʃʰun3	
假	ka3	①不真。~精，只是看着聰明。~借來講，讓我們做個假設。②借用。~手於。
假	ka5	額外休息日。放~。
偈	kiet7	
偉	vi3	
偉	vui3	
偋	pin3	
偌	nia5	
偎	voi1	
偏	pʰien1	
偐	ŋan5	
偓	vok7	
偕	hai2	
做	tso5	
做	tsɿ5	
停	tʰin2	
偝	pʰoi5	
偠	iau3	
偢	tsʰiu1	
健	kʰian5	
偧	tʃʰa1	
偩	fu5	
偪	pit7	
偪	pet7	
偬	tsuŋ3	
偭	mien5	
偮	sip8	
偮	tsʰip8	
偯	oi1	
偯	i3	
偱	sun2	
偲	sɿ1	
側	tset7	
偵	tʃin1	
偶	ȵeu3	
偸	tʰeu1	
偹	pʰi5	
僞	ŋui3	
傀	kʰui2	
傃	sɿ5	
傅	fu5	
傈	lit8	
傍	pʰoŋ2	
傍	pʰoŋ5	
傎	tien1	
傏	tʰoŋ2	
傑	kʰiet8	
傓	ʃan5	
傔	kʰiam5	
傗	hiuk7	
傘	san3	
傘	ʃan3	
備	pʰi5	
傚	hau5	
傛	iuŋ2	
傜	iau2	
傝	tʰap7	
傞	sa2	【重定向替字】人。
傢	ka1	
傪	tsʰam1	
催	tsʰui1	
傭	iuŋ2	
傯	tsuŋ3	
傰	pʰen1	
傰	pʰuŋ2	
傲	ŋau5	
傳	tʃʰon2	
傳	tʃʰon5	
傳	tsʰon2	
傴	kʰi1	
傴	eu3	
債	tsai5	
傷	ʃoŋ1	
傻	sa3	
傽	tʃoŋ1	
傾	kʰen1	
僁	siet7	
僁	sit7	
僂	leu2	
僅	kiun3	
僆	lien2	
僈	man5	
僉	tsʰiam1	
僊	sien1	
僋	tʰam5	
像	sioŋ5	
像	tsʰam5	【替字】相似。宛~，宛如。~~我見過个，很像我見過的。
像	tsʰioŋ5	
僑	kʰiau2	
僒	kʰiun2	
僒	kʰiuŋ2	
僔	tsun3	
僕	pʰuk8	
僖	hi3	
僘	tʃʰoŋ3	
僙	kuoŋ1	
僚	liau2	
僝	tsan1	
僢	tʃʰon3	
僣	tʰiet7	
僣	tsiam5	
僤	tʰan3	
僤	tʰan5	
僥	hiau1	①出老千、作假。用~，出老千。②貪求不止。~幸。
僦	tsʰiu5	
僧	sen1	
僩	han3	
僬	tsiau1	
僭	tsiam5	
僮	tʰuŋ2	
僯	lin2	
僱	ku5	
僵	kioŋ1	
僷	iap8	
價	ka5	
僽	tsʰeu3	
僾	oi5	
僿	sɿ5	
儀	ȵi2	
儁	tsun5	
儂	nuŋ2	
億	i5	
儆	kin3	
儇	fan2	
儈	kʰuai5	
儉	kʰiam5	
儉	kʰiaŋ3	
儊	tsʰɿ5	
儌	hiau1	貪求不止。~幸。
儐	pin5	
儒	i2	
儓	tʰoi2	
儔	tʃʰu2	
儔	tʃʰiu2	
儕	sa2	【替字】人。
儕	ha2	【替字】原文:在某些地方使用。nai5~，誰。無na3~，沒有人。
儗	ȵi3	
儘	tsin3	
儜	nen2	
償	ʃoŋ2	
儠	liap8	
儡	lui3	
儢	li5	
儥	iuk7	
儦	piau1	
儧	tsan3	
優	iu2	
儫	hau2	
儫	ho2	
儯	tʰen2	
儱	luŋ3	
儲	tʃʰu2	
儲	tʃʰiu2	
儳	tsʰam2	
儴	ioŋ2	
儵	ʃuk7	
儷	li5	
儸	lo2	
儹	tsan3	
儺	no2	
儻	tʰoŋ3	
儼	niam3	
儽	lui5	
兀	ŋut7	
允	iun1	
允	iun3	
元	nian2	
兄	hiuŋ1	
充	tʃʰuŋ1	
兆	ʃau5	
兆	tʃʰau5	
兇	hiuŋ1	
先	sien1	
光	kuoŋ1	
克	kʰet7	
兌	tʰui5	
兌	tʰui3	
免	men1	
兎	tʰu5	
兒	i2	
兒	ȵi2	形容詞後綴。
兔	tʰu5	
兕	si1	
兕	si5	
兗	ian3	
兜	teu1	
兟	sin1	
入	ȵip8	
內	nui5	
全	tsʰien2	
兩	lioŋ1	
兩	lioŋ3	
兪	i2	
八	pat7	
公	kuŋ1	
六	liuk7	
兮	hi1	
兮	hi2	
共	kʰiuŋ5	
兵	pin1	
其	kʰi2	
具	kʰi3	
典	tien3	
兼	kiam1	
冀	ki3	
冂	kuen3	
冄	niam3	
冇	pʰaŋ5	
冉	niam3	
冊	tsʰak7	
冊	tsʰak7	
再	tsai5	
冒	mau5	
冕	men1	
冗	iuŋ3	
冘	iu2	
冞	mi2	
冠	kuon1	
冠	kuon5	
冢	tʃʰuŋ3	
冣	tsʰi5	
冤	ian1	
冥	men2	
冩	sia3	
冪	met7	
冬	tuŋ1	
冰	pen1	
冱	fu5	
决	kiet7	
况	kʰuoŋ3	
冶	ia3	
冷	laŋ1	
冸	pʰan5	
冽	liet8	
凄	tsʰi1	
凅	ku5	
准	tʃun3	
凇	siuŋ1	
凇	tsʰiuŋ2	
凈	tsʰiaŋ5	
凉	lioŋ2	
凊	tsʰin5	
凋	tiau1	
凌	lin2	
凍	tuŋ5	
減	kam3	
湊	tsʰeu5	
凒	kʰi2	
凓	lit8	
凖	tʃun3	
凗	tsʰui1	
凘	sɿ1	
凙	tʰok8	
凚	kim5	
凜	lim3	
凝	ken5	【替字】凝結。
凝	kʰen2	【替字】凝結。~撇，凍結了。腰骨~，腰骨僵硬。
凝	kʰen5	【替字】凝結。~撇，凍結了。落~，凝結。菜~壞，菜凍硬凍壞。
凝	nian2	
凟	tʰuk8	
几	ki1	
凡	fam2	
凣	fam2	
凰	foŋ2	
凱	kʰoi3	
凳	ten5	
凴	pen5	
凶	hiuŋ1	
凸	tʰut7	
凹	au1	
凹	au5	
出	tʃʰut7	
函	ham2	
凾	ham2	
刀	tau1	
刁	tiau1	
刃	niun5	
刄	niun5	
分	fun1	
分	fun5	
分	pun1	
切	tsʰiet7	
刈	ȵiai5	
刈	ŋai5	
刈	ȵi5	
刊	kʰan1	
刋	kʰan1	
刌	tsʰun5	
刎	vut7	
刐	tʰan3	
刑	hin2	
划	fa2	
刓	ŋan2	
刖	ȵet8	
列	liet8	
刜	fut7	
初	tsʰɿ1	
初	tsʰo1	
判	pʰan5	
別	pʰet8	
別	pʰiet8	
刦	kiap7	
刧	kiap7	
刨	pʰau2	
利	li5	
刪	san1	
刮	kuat8	【替字】XA型詞的X部分，應無本字。很。~爛。爛~~。~融。
刮	kuat7	
到	tau5	
刲	kʰui2	
刳	kʰu1	
刵	ȵi5	
制	tʃɿ5	
刷	sot7	
刺	tsʰɿ5	
刺	tsʰiuk7	
刺	lak7	【替字】
刻	kʰat7	
刻	kʰet7	
剃	tʰi5	
剃	tʰai5	
剃	tʰe5	
剄	kin5	
剆	lot7	
則	tset7	
削	siok7	
剋	kʰet7	
前	tsʰien2	
剎	sat7	
剒	tsʰok7	
剔	tʰit7	
剕	pʰi5	
剕	pʰui5	
剖	pʰiau3	
剖	pʰeu3	
剗	tsʰan1	【替字】①矛盾、反駁。~人家，用自相矛盾的事反駁人家。②逆着。剃頭~毛，逆着紋理理髮。鱗~~爾，如手捋刷子或野豬毛般。
剗	tsʰan3	同「剷」。
剗	tsʰan5	①翻、折。~開蛇皮，把蛇皮翻出來剝掉。~目皮，翻眼皮。遮子分風~撇了，傘被風翻了個底朝天。褲頭~下來，褲頭折下來。②頑皮。~頭，頑皮。③【重定向】生長出。~筍。④【重定向】翻湧。水花~天，水花飛濺。
剚	tsɿ5	
剛	kioŋ1	
剛	koŋ1	
剜	van3	
剝	pok7	
剟	tot7	
剠	lioŋ5	
剡	iam3	
剦	iam1	
剨	vak8	
剩	ʃin5	
剪	tsien3	
剫	tʰok8	
剬	ton1	
剮	kua3	
副	fu5	
割	kot7	
剳	tap7	
剴	kʰoi3	
創	tsʰoŋ5	
創	tsʰoŋ1	
剶	tʃʰon1	
剷	tsʰan3	
剷	tsʰan5	【重定向】①翻、折。~開蛇皮，把蛇皮翻出來剝掉。~目皮，翻眼皮。遮子分風~撇了，傘被風翻了個底朝天。褲頭~下來，褲頭折下來。②頑皮。~頭，頑皮。③生長出。~筍。④翻湧。水花~天，水花飛濺。
剸	tʃon1	
剸	tʰon2	
剹	liuk8	
剽	pʰiau5	
劁	tsiau1	
劂	kʰiet7	
劃	vak8	
劃	vak7	
劄	tsap7	
劇	kʰiak7	
劈	pʰiak7	
劈	pit7	
劈	tʰiap8	
劉	liu2	
劊	kʰuai5	
劋	tsiau3	
劍	kiam5	
劑	tsi5	
劓	ȵi5	
劖	tsʰam2	
劘	mo2	
力	lit8	
功	kuŋ1	
加	ka1	
劣	lot7	
劤	kin5	
助	tsʰɿ5	
努	nu3	
劫	kiap7	
劬	kʰi1	
劬	kʰi2	
劭	ʃau5	
劵	kʰian3	
效	hau5	
劾	het8	
勁	kin5	
勃	pʰut8	
勄	meu1	
敕	tʃʰit7	
勇	iuŋ3	
勉	men1	
勍	kin1	
勑	loi5	
勒	lit8	
勔	mien3	
動	tʰuŋ1	
動	tʰuŋ5	
勗	hiuk7	
勘	kʰam1	商量、考慮。~正來，商量好。~裁/~酌，商量、考慮。
勘	kʰam5	
務	vu5	
務	mu5	
勛	hiun1	
勝	ʃin1	
勝	ʃin5	
勞	lau2	
募	mu5	
勠	liuk8	
勡	pʰiau5	
勢	ʃɿ5	
勢	ʃi5	
勢	ʃe5	
勣	tsit7	
勤	kʰin2	
勤	kʰiun2	
勥	kioŋ3	
勦	tsiau3	
勩	i5	
勱	mai3	
勳	hiun1	
勴	li5	
勵	li5	
勷	sioŋ1	
勸	kʰian5	
勹	pau1	
勺	ʃok7	
勻	iun2	
勾	keu1	
勾	keu2	
勾	kʰeu1	
勾	kio1	【替字】~倒成團，蜷縮成團。
勾	kio3	【替字】~頭顱，包紮頭。
勿	vut8	
包	pau1	
匆	tsʰuŋ1	
匈	hiuŋ1	
匊	kʰiuk7	
匋	tʰau2	
匋	iau2	
匌	hap8	
匏	pʰau2	
匐	fuk8	
匒	tap7	
匕	pi3	
化	fa5	
北	pet7	
匙	ʃɿ2	
匙	ʃi2	
匙	tʃʰɿ2	
匙	tʃʰi2	
匚	foŋ1	
匜	i2	
匝	tsap7	
匟	kʰoŋ5	
匠	sioŋ5	
匡	kʰioŋ1	
匡	sioŋ5	
匣	ap7	
匣	hap8	【訓讀】鞘、套。手劍~，匕首鞘。~轉去，放回鞘裏。
匪	fi1	
匪	fui1	
匯	fi5	
匯	fui3	
匰	tan1	
匱	kʰui5	
匲	liam2	
匴	son5	
匵	tʰuk8	
匸	hi1	
匹	pʰit7	
匽	ian3	
匾	pien3	
匿	nit8	
區	kʰi1	
十	ʃip8	
千	tsʰien1	
卄	nip8	
卅	sap7	
升	ʃin1	
午	ŋ̍3	
半	pan5	
卑	pi1	
卒	tsut7	
卓	tsok7	
協	hiap8	
南	nam2	
卙	sip8	
博	pok7	
卜	puk7	
卞	pʰien5	
卟	ki1	
占	tʃam1	
占	tʃam5	
卡	kʰa2	
卣	iu3	
卦	kua5	
卬	ŋoŋ1	
卯	mau1	
印	in5	
危	ŋui2	
卲	ʃau5	
即	tsit7	
卻	kʰiok7	
卵	lon3	
卷	kʰian3	
卸	sia5	
卺	kiun3	
卻	kʰiok7	
卼	ŋut7	
卽	tsit7	
卾	ŋok8	
卾	ŋoŋ1	
卿	kʰin1	
厄	ak7	
厊	ŋa3	
厏	tsa5	
厓	ŋai2	
厔	tʃit7	
厘	li2	
厚	heu5	
厜	tsui1	
厞	pʰi5	
厞	pʰui5	
原	nian2	
廁	tsʰɿ5	
厡	nian2	
厥	kʰiet7	
厦	ha5	
廚	tʃʰu2	
厬	kui3	
厭	iam5	
厮	sɿ1	
厲	li5	
厶	sɿ1	
厹	kʰiu2	
去	hi5	
去	kʰi5	
叄	sam1	
參	sem1	
參	sem3	
參	sem5	
參	tsʰam1	
叅	tsʰam1	
又	iu5	
叉	tsa5	
叉	tsʰa1	
及	kʰip8	
友	iu1	
反	fan3	
收	ʃu1	
收	ʃiu1	
叒	ioi3	
叒	iok7	
叔	ʃuk7	
取	tsʰi3	
受	ʃu5	
受	ʃiu5	
叙	si5	
叛	pan3	
叞	vi3	
叞	vui3	
叟	seu3	
叡	iui5	
叢	tsʰuŋ2	
口	heu5	
口	kʰeu3	
古	ku3	
句	ki5	
另	laŋ5	
叨	tʰau1	
叩	kʰeu5	
只	tʃit7	
叫	kiau5	
召	tʃau5	
叭	pa5	
叮	ten1	
叮	tin1	
可	kʰo3	
史	sɿ3	
右	iu5	
叴	kʰiu2	
叵	pʰo3	
叶	iap8	
司	sɿ1	
叼	tiau1	
叿	fuŋ2	
吁	hi1	
吃	kʰet7	
各	kok7	
吆	iau1	
合	hap8	
合	kak7	【替字】本字應是「格」。①相比，~棍，比試棍子。②相合、調校。~腳步，使腳步統一。~鐘，調鐘。好私~，相處得很好。③正好、剛好。炒倒~，炒得剛剛好。
合	kap7	①匯合、混合。~大路，與大路匯合。~本，合夥、合資。~心，心連心。(【重定向】~死做，拼命做。)②盒、杯。十~米爲一升。
合	kʰap7	盒、杯。十~米爲一升。
合	lap7	【替字】本字應是「笠」。套疊。~碗，疊碗。
吉	kit7	
吊	tiau5	
同	tʰuŋ2	
名	miaŋ2	
后	heu5	
吏	li5	
吐	tʰu5	
向	hioŋ5	
吔	i5	
吖	a1	
吚	i1	
君	kiun1	
吝	nin5	
吝	lin5	
吞	tʰun1	
吟	im2	
吟	nim2	
吥	pʰiau1	
否	feu3	
吧	pa1	
吩	fun1	
吪	ŋo2	
含	ham2	
吭	hoŋ2	
吭	kʰoŋ5	
吮	tsʰion1	
吳	ŋ̍2	
吵	tsʰau2	
吶	nut8	
吸	kʰip7	
吸	hiap8	吸。~石，磁鐵。~倒風，受風感冒。
吹	tʃʰoi1	
吹	tʃʰui1	
吺	teu1	
吻	vut7	
吼	kʰeu5	
吾	ŋ̍2	
呀	ŋa1	
呀	ua1	
呂	li1	
呃	ak7	
呆	ŋo5	
呆	ŋa3	
呆	ŋa5	
呆	ŋoi1	
呆	ŋoi2	
呈	tʃʰin2	
吿	kau5	
吿	ko5	
呌	kiau5	
呝	ak7	
呞	tʃʰɿ1	
呞	tʃʰi1	
呠	pʰun5	
呡	vut7	
呢	ni2	
呦	iu2	
呧	ti3	
周	tʃu1	
周	tʃiu1	
呩	ʃɿ5	
呪	tʃu5	
呪	tʃiu5	
呫	tʰiap7	
呬	si5	
呭	i5	
呰	tsɿ3	
呱	ku2	
呱	va3	
呱	va1	
味	mi5	
呴	hi1	
呵	ho1	①吹。~手。②引。~烏蠅，吸引蒼蠅。~人，搖人。③【替字】本字爲「在」。在。
呵	ho5	
呵	ha5	
呶	nau2	
呷	ap7	
呷	kʰiap7	
呷	kat7	【替字】本字應是「結」。固定語素。無~煞，沒辦法。
呺	hiau1	
呻	ʃin1	
呼	fu1	
命	miaŋ5	
命	min3	
呾	tat7	
呿	kʰiap7	
咁	an3	這麼。~大，這麼大。
咁	kan3	
咁	kan2	
咂	sap7	
咂	tsap7	
咄	tsot8	【替字】吮吸。~nen5，吸奶。~田螺，吸田螺。
咄	tot7	【替字】喊、喝。~采，喝彩。~佢，喊、刺激他。~打~殺，喊打喊殺。
咅	tʰeu5	
咆	pʰau2	
咇	pit7	
咈	fut7	
咈	fit8	【重定向替字】象聲詞。用劍~~fak7 fak7，用劍咻咻咻咻。
咉	hiet7	
咋	tsak7	
和	fo2	
和	fo5	
和	vo1	
和	vo2	
咍	i1	
咎	kiu5	
咏	iun3	
咐	fu5	
咒	tʃu5	
咒	tʃiu5	
咠	sip8	
咠	tsʰip8	
咡	ȵi5	
咢	ŋok8	
咢	hiau1	
咤	tsa5	
咥	hi5	
咧	liet8	
咨	tsɿ1	
咩	me1	
咫	tʃɿ3	
咬	kau1	
咬	ŋau1	
咯	lo1	
咱	tsa1	
咲	siau5	
咳	kʰak7	
咳	kʰet7	
咳	kʰat8	
咳	kʰem3	【替字】咳。
咳	kʰak8	
咷	tʰau2	
咷	tʰiau5	
咸	ham2	①全部。~pa1 laŋ1/~tsʰiu1，全部。~符，統一、符合。
咺	sien1	
咻	hiu1	
咼	vo1	
咽	ian1	
咿	i1	
哀	oi1	
品	pʰin3	
哂	ʃin3	
哄	fuŋ3	哄騙。~tʰat7，哄騙。~弄細人，玩弄小孩。
哄	kiuŋ3	
哆	tʃʰɿ3	
哆	tʃʰi3	
哇	va1	
哈	hap8	
哉	tsai1	
響	hioŋ3	
員	ian2	
哣	tʰeu5	
哤	maŋ2	
哥	ko1	
哦	ŋo2	
哨	sau5	
哩	li1	
哪	na2	【文】
哪	na1	【文】
哭	kʰuk7	
哰	lau2	
哱	pʰut8	
哲	tʃat7	
哳	tʃat7	
哵	pat7	
哶	me1	
哺	pu1	
哺	pʰu5	
哼	hem1	【替字】①本字應是「喊𠿑」。同「喊」。~賊，大喊有小偷。②象聲詞。蚊子~~響，蚊子嗡嗡叫。
哽	kaŋ3	
哿	kʰo3	
唁	nian5	
唄	pʰai5	
唅	am3	
唆	so1	
唇	ʃun2	
唈	ip7	
唉	ai1	
唉	oi1	
唎	li5	
唏	hi1	
唐	tʰoŋ2	
唑	tʃʰɿ3	
唑	tʃʰi3	
唔	m̩2	
唧	tsit8	
唬	hau1	
售	ʃu5	
唯	vi2	
唯	vui2	
唰	sot7	
唱	tʃʰoŋ5	
唲	i2	
唳	lui5	
唴	kioŋ1	
唵	iam3	
唶	tsia5	
唹	i1	
唼	tsʰiap7	
唾	tʰui5	
啀	ŋai2	
啁	tsau1	
啄	tuk7	
商	ʃoŋ1	
啇	tit7	
啉	lam2	
啊	o1	
啍	tun1	
問	mun5	
啐	tsʰui5	
啓	kʰi3	
啕	tʰau2	
啖	tʰam3	
啗	tʰam3	
啜	tʃʰot7	
啞	a3	語氣詞。
啞	e3	聲嘶。~都毋出，叫都叫不出。
啟	kʰi3	
啣	ham2	
啦	la1	
啱	ŋam1	
啻	tʃʰɿ3	
啻	tʃʰi3	
啼	tʰai2	
啾	tsiu1	
喀	kʰak7	
喁	iuŋ2	
喁	ȵeu3	
喁	ni3	
喂	vi5	
喂	vui5	
喃	nam2	
善	ʃan5	
喇	lat8	
喉	heu2	
喊	ham5	
喋	tʰiap8	
喍	tsʰai2	
喎	vo1	
喏	i5	
喑	im1	
喒	tsam3	
喔	vok7	
喘	tʃʰon3	
喚	fon5	
喜	hi3	
喝	hot7	
喢	tsʰap7	
喤	foŋ2	
喥	tʰu5	
喧	sien1	
喨	lioŋ5	
喪	soŋ1	
