#漢字	音標	解釋
□	ɡia1	播撒
娘	liŋ2	
娶	tsʰua5	
婆	pɯ2	
婚	hun1	
婦	pu4	媳婦
婦	hu4	婦女
婿	sɛ5	女婿
嫁	kia5	
嫂	sɯ3	
嫌	hiam2	
嬰	ŋiã1	
嬴	ŋiã2	
子	tsɨ3	種子
子	tsu3	君子
字	lɨ1	
孝	hiɔ5	
季	kuɨ5	
孫	sun1	
學	ɯ̃4	動詞
學	haʔ8	學習
守	siu3	
安	an1	
宗	tsoŋ1	
官	kuã1	
定	tin4	
客	kʰia5	
室	sieʔ7	
宮	kioŋ2	
害	hɛ1	
家	kia1	
容	ɡioŋ2	
寄	kia5	
密	baʔ8	
富	hu5	
寒	kuã2	
察	tsʰaʔ7	
實	sieʔ8	
寫	sia3	
寶	pɯ3	
寸	tsʰun5	
封	hoŋ1	
射	sia1	
將	tsioŋ1	
專	tsuan1	
尊	tsun1	
小	siɯ3	
少	tsiɯ3	
尖	tsiam1	
尚	siŋ1	
尺	tsʰiɯ5	
尾	bui3	
尿	liɯ1	
局	kieʔ8	
屁	pʰuɨ5	
屈	kʰuoʔ7	
屋	uoʔ7	
屎	sɛ3	
屐	kʰia4	
展	tien3	
層	tsan5	
山	suã1	
島	tɔ3	
崎	kia4	
巖	nã2	
州	tsiu1	
工	koŋ1	
巧	kʰiɔ3	
差	tsʰa1	
差	tsʰɛ1	出差
己	kɨ3	
巷	haŋ5	
巾	kin1	
市	tsʰɨ4	
布	pu5	
希	hɨ1	
帖	tʰieʔ7	
帚	tsʰiu3	
帝	ti5	
師	sɛ1	師傅
師	su1	老師
席	sieʔ8	
席	tsʰiɯ4	草席
帳	tiŋ5	
帶	tua5	
帽	bɯ4	
幣	pɨ4	
幫	paŋ1	
平	pã2	很平
平	pʰin2	平安
年	n̩2	
幸	hin4	
幼	ɡiu5	
幾	kuɨ3	
底	ti3	
店	tiam5	
府	hu3	
庵	am1	
康	kʰoŋ1	
厦	a4	
廚	tɨ2	
廠	tsʰiŋ3	
廣	kuaŋ3	
廳	tʰiã1	
建	kien5	
引	in3	
弟	tɨ4	
張	tiŋ1	
強	kʰiaŋ2	
彈	tuã2	
形	hin2	
彩	tsʰɛ3	
彭	pʰã2	
影	ŋiã3	電影，影子
律	lieʔ8	
後	ɔ4	
得	tieʔ7	
徙	sua3	
徛	kʰia4	站
徵	tsin1	
德	tieʔ7	
心	siam1	
忍	lun3	
志	tsi5	
忙	baŋ2	
忠	tioŋ1	
快	kʰuɛ5	
思	su1	
急	kieʔ7	
怨	ɡuan5	
怪	kuɛ5	
恨	hin4	
恩	ɡun1	
恭	koŋ1	
息	sieʔ7	
悔	huɨ3	
悲	puɨ1	
情	tsin2	
惜	sieʔ7	
惡	uoʔ7	
惱	nɔ̃3	
想	siŋ4	
愁	tsʰiu2	
意	ɨ5	
愛	ɛ5	
感	kam3	
態	tʰɛ5	
慘	tsʰam3	
慣	kuan5	
慶	kʰin5	
憂	ɡiu1	
憐	lien2	
應	in1	
懸	kun2	
戀	lien4	
戍	tsʰɨ5	
成	sin2	
我	ɡua3	
戒	kɛ5	
戰	tsien5	
戲	hi5	
戴	tɛ5	
戴	tɨ5	
户	hu4	
房	paŋ2	
所	sɯ3	
扁	pn̩3	扁扁
扁	pan3	扁食
扇	sn̩5	
手	tsʰiu3	
才	tsʰɛ2	
扣	kʰɔ5	
批	pʰi1	
抄	tsʰɔ1	
把	pa3	
抱	pʰɯ4	
抽	tʰiu1	
拆	tʰia5	
拍	pʰa5	
拖	tʰua1	
招	tsiɯ1	
拜	pɛ5	
拳	kun2	
指	tsɛ3	
挽	ban3	
捐	kien1	
捲	kun3	
捷	tsieʔ8	
掀	hien1	
掃	sɔ5	
掌	tsaŋ3	
排	pɛ2	
掘	kuoʔ8	
掛	kui5	
接	tsieʔ7	
插	tsʰa5	
換	ŋuã1	
損	sun3	
摇	ɡiɯ2	
搬	puã1	
搶	tsʰiŋ3	
摺	tsɨ5	
擔	tã1	
擘	pa5	
攝	hieʔ7	
攪	kiɔ3	
支	kɨ1	
收	siu1	
改	kɛ3	
放	paŋ5	
政	tsin5	
故	ku5	
效	hiɔ4	
救	kiu5	
敗	pɛ4	
教	ka5	動詞
教	kiɔ5	教育
敢	kam3	
散	suã5	
敬	kin5	
敵	tieʔ8	
數	su5	
文	bun2	
斑	pan1	
斗	tɔ3	
料	liɔ1	
斜	tsʰia2	
斤	kin1	
新	sin1	
斷	tun4	
方	huaŋ1	
旅	lɨ3	
族	tsuoʔ8	
旗	kɨ2	
日	lieʔ8	日子，日頭
早	tsa3	
旺	ɡuaŋ4	
明	bin2	
易	ieʔ8	
星	tsʰiã1	
春	tsʰun1	
是	sɨ4	
時	sɨ2	
晏	nuã5	
晝	tɔ5	
普	pʰu3	
暖	lun3	
暗	am5	
暫	tsiam4	
曆	lieʔ8	
曝	pʰaʔ8	
更	kiã1	
書	sɨ1	
替	tʰi5	
會	hui4	開會
會	i4	不會
月	ɡui4	
有	u4	
服	huoʔ8	
望	baŋ4	
朝	tiɔ1	
木	buoʔ8	
本	pun3	
杉	sam1	
李	lɨ3	
材	tsʰɛ2	
村	tsʰun1	
束	suoʔ7	
杯	pui1	
東	taŋ1	
松	sioŋ2	
板	pan3	
枕	tsiam3	
林	nã2	
林	liam2	
果	kɯ3	果子，水果
枝	kɨ1	
枵	ɡiɔ1	
柄	pã3	
柑	kam1	
柱	tʰiɔ4	
柳	liu3	
柴	tsʰa2	本字樵
柿	kʰɨ4	
校	hiɔ4	
根	kin1	
格	kia5	
栽	tsɛ1	
桂	kuɨ5	
桃	tʰɯ2	
案	an5	
桌	tɯ̃5	
桶	tʰaŋ3	
桸	hia1	杓子
梁	lioŋ2	
梅	m̩2	
條	tiɔ2	
梨	lɛ2	
梯	tʰuɨ1	
梳	si1	
棄	kʰɨ5	
棉	mn̩2	
棋	kɨ2	
棗	tsɯ3	
棚	pã2	
棺	kuã1	
椅	ɨ3	
椒	tsiɯ1	
椿	tsʰun1	
楊	ɡiŋ2	
業	ɡieʔ8	
榜	paŋ3	
槍	tsʰioŋ1	
槳	tsiŋ3	
槽	tsʰɔ2	
樂	luoʔ8	快樂
樂	ɡieʔ8	音樂
樓	lɔ2	
標	piɔ1	
模	mɔ̃2	
樵	tsʰa2	
樹	tsʰiu5	
橄	kã3	
橋	kiɯ2	
機	kɨ1	
橫	huã2	
檀	tʰan2	
檢	kiam3	
權	kʰien2	
欖	nã3	
欠	kʰiam5	
欺	kʰɨ1	
款	kʰuan3	
歇	hiɯ5	
歉	kʰiam5	
歌	kɯ1	
歡	huã1	
正	tsiã1	正月
正	tsiã5	
步	pu1	一步
步	pu4	進步
武	bu3	
歲	hui5	
歷	lieʔ8	
歸	kuɨ1	
死	sɨ3	
殊	su2	
殺	saʔ7	
殼	kʰaʔ7	
母	bɯ3	
毒	tuoʔ8	
比	pɨ3	
毛	mŋ̍2	
毯	tʰam3	
民	bin2	
氣	kʰɨ5	天氣
氣	kʰuɨ5	受氣
水	tsuɨ3	
永	ɡioŋ3	
汁	tsieʔ7	
求	kʰiu2	求人，求神
汗	kuã1	
汝	lɨ3	你
江	kaŋ1	
池	tɨ2	
決	kuaʔ7	
沃	aʔ7	
沉	tiam2	
沕	bɨ5	躲
沙	sua1	
河	hɯ2	
油	ɡiu2	
治	tɨ4	
泅	siu2	
泉	tsuan2	泉州
泉	tsuã2	礦泉
法	huaʔ7	
泡	pʰɔ5	
波	pɯ1	
泰	tʰɛ5	
洗	si3	
洞	toŋ4	
活	ɡua4	
派	pʰɛ5	
流	lɔ2	
浴	ɡieʔ8	
海	hɛ3	
消	siɔ1	
涼	lioŋ2	
深	tsʰiam1	
淹	ɡiam1	
淺	tsʰien3	
添	tʰiam1	
清	tsʰin1	
減	kiam3	
港	kaŋ3	
湖	hu2	
湯	tʰŋ̍1	
準	tsun3	
溝	kɔ1	
溪	kʰi1	
溫	ɡun1	
滅	bieʔ8	
滑	kuoʔ8	
滴	tɨ5	
滷	lu3	
滚	kun3	
滿	muã3	
漆	tsʰaʔ7	
漏	lɔ1	
演	ɡien3	
漳	tsioŋ1	
漿	tsiŋ1	
潑	pʰua5	
潭	tʰam2	
激	kieʔ7	
濕	sieʔ7	
灣	uan1	
火	hui3	
灰	hui1	灰芋
灰	huɨ1	石灰
災	tsɛ1	
炊	tsʰuɨ1	
炎	ɡiam2	
炒	tsʰa3	
炭	tʰuã5	
炮	pʰɔ5	
爲	ɡuɨ2	
烊	ɡiŋ2	
烏	u1	
無	bɯ2	
煎	tsuã1	煎藥
煎	tsien1	煎魚
煙	ɡien1	
煤	bui2	
照	tsiɯ5	
煩	huan2	
煮	tsɨ3	
熊	hiam2	
熱	ɡieʔ8	
燈	tin1	
燒	siɯ1	
燕	n̩5	
燙	tʰŋ̍5	
營	ŋiã2	
燭	tsieʔ7	
爐	lu2	
爛	nuã1	
爬	pa2	
爭	tsin1	
父	pu4	伯父
父	hu4	
爿	pn̩2	
牀	tsʰŋ̍2	
牆	tsʰiŋ2	
片	pʰn̩5	
牌	pɛ2	
牙	ɡia2	
牛	ɡu2	
物	mn̩4	
牯	ku3	
特	tʰieʔ8	
牽	kʰan1	
犯	huan4	
狀	tsuaŋ4	
狗	kɔ3	
猛	bin3	
猴	kɔ2	
獅	sɛ1	
獎	tsiŋ3	
獨	tuoʔ8	
獸	siu5	
獻	hien5	
玉	ɡieʔ8	
王	oŋ2	
珍	tsin1	
珠	tsiu1	目珠
珠	tsu1	珍珠
班	pan1	
現	hien4	
球	kʰiu2	
理	lɨ3	
琴	kʰiam2	
環	kʰuan2	
瓜	kua1	
瓤	nŋ̍2	
瓦	ɡia4	
甌	ɔ1	小碗
甕	aŋ5	
甜	tiam2	
生	siã1	生日
産	tsʰan3	
用	ɡioŋ4	
甲	ka5	
界	kɛ5	
留	lɔ2	
畢	pieʔ7	
番	huan1	蕃薯
畫	ɡua1	
當	taŋ1	當然
當	tŋ̍5	典當
疊	tʰa4	
疼	tʰiã5	
疾	tsieʔ8	
病	pã1	
痣	kɨ5	
痱	puɨ5	
痲	muã2	
療	liɔ2	
癢	tsiŋ4	
發	huaʔ7	
白	pa4	
百	pa5	
的	tieʔ7	
皇	huaŋ2	
皮	pʰui2	
盆	pʰun2	
盒	aʔ8	
監	kã1	
盤	puã2	
目	baʔ8	目珠
目	buoʔ8	題目
直	tieʔ8	
相	sioŋ1	
省	siã3	
省	sin3	
眉	mɛ̃2	
看	kʰuã5	
真	tsin1	
眠	bin2	
眾	tsioŋ5	
睡	suɨ4	
督	tuoʔ7	
睭	tsiu1	目珠
知	tsɛ1	
矩	kɨ3	
矮	i3	
石	tsiɯ4	石頭
石	sieʔ8	雁石
破	pʰua5	
硬	ŋiã1	
碑	pui1	
碗	ŋuã3	
確	kʰaʔ7	
磚	tsuan1	
磨	bua2	
礦	kʰuaŋ5	
社	sia4	
祖	tsu3	
祝	tsieʔ7	
神	sin2	
票	pʰiɯ5	
禍	hɯ4	
福	huoʔ7	
禮	li3	
禾	ɡui2	
秀	siu5	
私	su1	
秋	tsʰiu1	
科	kʰɯ1	
秒	miɔ̃3	
租	tsu1	
秧	ŋ̍1	
税	sui5	
種	tsioŋ3	種類
種	tsioŋ5	種樹
稱	tsʰin5	
穀	kuoʔ7	
積	tsieʔ7	
穩	ɡun3	
究	kiu5	
空	kʰaŋ1	
穿	tsʰun1	
窗	tʰaŋ1	
窟	kʰuoʔ7	
窮	kʰioŋ2	
窰	ɡiɯ2	
竈	tsɔ5	
立	lieʔ8	
站	tsam4	
章	tsiŋ1	
童	tʰoŋ2	
竹	tieʔ7	
笑	tsʰiɯ5	
符	hu2	
第	ti4	
筆	pieʔ7	
等	tan3	
筍	sun3	
答	taʔ7	
策	tsʰia5	
算	sun5	
管	kuan3	
箬	liɯ4	
箭	tsn̩5	
箱	siŋ1	
箸	tɨ1	
節	tsi5	五月節
節	tsaʔ7	一節
節	tsieʔ7	教師節
範	huan4	
篇	pʰien1	
篙	kɯ1	
篩	tʰɛ1	動詞
篾	bɨ4	
簡	kan3	
簪	tsam1	
簫	siɔ1	
簽	tsʰiam1	
籃	nã2	
籠	loŋ2	
籤	tsʰiam1	
米	bɨ3	
籽	tsɨ3	種子
粉	hun3	
粒	lieʔ8	
粗	tsʰu1	
粟	tsʰieʔ7	
精	tsiã1	味精
粿	kui3	
糉	tsaŋ5	
糕	kɯ1	
糖	tʰŋ̍2	
糜	bui2	
糟	tsɔ1	
糶	tʰiɔ5	
紅	aŋ2	
紐	liu3	
純	sun2	
紙	tsua3	
級	kieʔ7	
素	su5	
索	sɯ5	
細	si5	
紹	siɔ4	
終	tsioŋ1	
結	kaʔ7	打結
結	kieʔ7	結束
統	tʰoŋ3	
絲	sɨ1	
綑	kʰun3	
經	kin1	
綠	lieʔ8	
維	ɡuɨ2	
網	baŋ4	
緊	kin3	
線	suã5	
緣	ɡien2	
編	pien1	
練	lien4	
縛	paʔ8	
縣	kun1	
縫	hoŋ2	
縫	pʰaŋ5	
總	tsoŋ3	
績	tsieʔ7	
續	sieʔ8	
纏	tn̩2	
缺	kʰuaʔ7	
罐	kuan5	
罪	tsui4	
罰	huaʔ8	
罵	mã5	
羅	lɯ2	
羊	ɡiŋ2	
群	kʰun2	
翁	aŋ1	
習	sieʔ8	
翼	sieʔ8	
老	lɯ3	
老	lɔ4	
考	kʰɯ3	
耳	hɨ4	
聘	pʰin5	
聞	bun2	
聰	tsʰoŋ1	
聲	siã1	
職	tsieʔ7	
聽	tʰiã1	
肚	tu3	
肝	kuã1	
肥	puɨ2	
肩	kn̩1	
肯	kʰin3	
育	ɡieʔ8	
肺	huɨ5	
胃	ɡuɨ5	
背	pui5	背後
背	pui4	背誦
胎	tʰɛ1	
胞	pɔ1	
胸	hioŋ1	
能	lin2	
脅	hieʔ8	
脊	tsia5	
脱	tsʰuɨ5	
腐	hu1	
腕	ɡuan3	
腡	lɯ2	
腦	nɔ̃3	
腫	tsioŋ3	
腰	ɡiɯ1	
腸	tŋ̍2	
腹	paʔ7	
腿	tʰuɨ3	
膏	kɯ1	
膚	hu1	
膽	tã3	
臍	tsɛ2	
自	tsu4	
臭	tsʰiɔ5	
臺	tʰɛ2	
舂	tsioŋ1	
舅	ku4	
興	hin5	
舌	tsɨ4	
舞	bu3	
般	pan1	
船	tsun2	
良	lioŋ2	
艱	kan1	
色	sieʔ7	
艾	hia5	
芋	u1	
花	hua1	
芳	pʰaŋ1	
芹	kʰin2	
苦	kʰu3	
英	in1	
茄	kiɯ2	
茶	tia2	
茸	ɡioŋ2	
草	tsʰɔ3	
荔	li1	
荷	hɯ2	
菊	kieʔ7	
菖	tsʰioŋ1	
菜	tsʰɛ5	
華	hua2	
萬	ban1	
落	lɯ4	
董	toŋ3	
蒙	boŋ2	
蒜	suan5	
蓆	tsʰiɯ4	草席
蓮	lien2	
蔗	tsia5	
蔘	soŋ1	
蔡	tsʰɛ5	
蔣	tsioŋ3	
葱	tsʰaŋ1	
蕃	huan1	蕃薯
蕉	tsiɯ1	
薄	pɯ4	
薑	kioŋ1	
薯	tsɨ2	番薯
薰	hun1	
藍	lam2	
藕	ŋɔ̃3	
藥	ɡiɯ4	
蘇	su1	
蘭	lan2	
虎	hu3	
虚	hɨ1	
號	hɯ1	
虧	kʰuɨ1	
蛀	tsiu5	
蛇	tsua2	
蜀	tsieʔ8	
蜂	pʰaŋ1	
蜜	bieʔ8	
蝦	ha2	
虱	saʔ7	
螺	li2	
蟲	tʰaŋ2	
蟻	hia4	
蠅	sin2	
蠓	baŋ3	
蠟	lua4	
血	hui5	
行	haŋ2	銀行
行	kiã2	走
行	hin2	行為
術	sieʔ8	手術，技術
街	kʰi1	
衛	ɡuɨ4	
衣	ɨ1	
表	piɔ3	
衫	siã1	
袋	tɛ4	
被	pʰui4	
裙	kun2	
補	pu3	
裝	tsŋ̍1	動詞
裝	tsuaŋ1	裝潢
複	huoʔ7	
褲	kʰu5	
襪	bui4	
西	si1	
要	ɡiɔ5	
規	kuɨ1	
視	sɨ4	近視，電視
親	tsʰin1	
覽	lam3	
觀	kuan1	
角	kaʔ7	
解	kɛ3	
解	i4	不會
言	ɡien2	
計	ki5	
討	tʰɯ3	
託	tʰuoʔ2	
記	kɨ5	
設	sieʔ7	
許	kʰu3	姓氏
診	tsin3	
試	tsʰɨ5	
話	ɡua1	
該	kɛ1	
詳	sioŋ2	
認	lin1	
誓	sɨ4	
課	kʰɯ5	
調	tiɔ2	
調	tiɔ4	
談	tʰam2	
請	tsʰiã3	
諒	lioŋ4	
論	lun4	
謙	kʰiam1	
講	kŋ̍3	
謝	tsia1	姓氏
謝	sia1	多謝
證	tsin5	
識	sieʔ7	
警	kin3	
護	hu4	
讀	tʰaʔ8	
變	pien5	
讓	ɡiŋ1	
豆	tɔ1	
豐	hoŋ1	
豬	tɨ1	
貌	mɔ̃4	
貝	pui5	
負	hu4	
財	tsɛ2	橫財，財源
貨	hui5	
貪	tʰam1	
責	tsieʔ7	
貴	kuɨ5	
買	bi3	
貸	tɛ5	
費	huɨ5	
資	tsu1	
賊	tsʰaʔ8	
賠	pui2	
賢	hien2	
賣	bi1	
質	tsieʔ7	
賭	tu3	
賴	nɛ̃4	
賽	sɛ5	
赤	tsʰia5	
走	tsɔ3	
赴	hu5	
起	kʰɨ3	
趁	tʰan5	
趙	tiɯ4	
足	tsieʔ7	
跡	tsieʔ7	
跪	kuɨ4	
路	lu1	
跳	tʰiɔ5	
踢	tʰaʔ7	
身	sin1	
車	tsʰia1	
軍	kun1	
軟	lun3	
較	kiɔ5	
載	tsɛ5	
輕	kʰin1	
輩	pui5	
輪	lun2	
輸	su1	輸贏
輸	sɨ1	運輸
轉	tun3	
辛	sin1	
辣	lua4	
辦	pan4	
辮	pien4	
迎	ŋiã2	
近	kin4	
退	tʰuɨ5	
送	saŋ5	
透	tʰɔ5	
通	tʰoŋ1	
速	soʔ7	
連	lien2	
進	tsin5	
逼	pieʔ7	
運	ɡun4	
遍	pien5	
過	kui5	
達	taʔ8	
遠	hun4	很遠
遠	ɡien3	永遠
適	sieʔ7	
遮	tsia1	
遲	tɨ2	
遵	tsun1	
選	suan3	
邊	pn̩1	
郎	loŋ2	
部	pu4	
郭	kui5	
都	tu1	
鄉	hiŋ1	
鄭	tiã1	
鄰	lin2	
配	pʰui5	
酒	tsiu3	
酸	sun1	
醃	ɡiam1	
醉	tsuɨ5	
醋	tsʰu5	
醒	tsʰiã3	
醫	ɨ1	
醬	tsiŋ5	
重	taŋ4	輕重
重	tioŋ4	尊重
野	ɡia3	
量	lioŋ4	
金	kiam1	
釘	tin1	鐵釘
釘	tin5	動詞
針	tsiam1	
釣	tiɯ5	
鈍	tun4	
鉛	ɡien2	
鉢	pua5	
鉤	kɔ1	
鉸	ka1	
銀	ɡin2	
銅	taŋ2	
鋪	pʰu1	鋪著
鋪	pʰu5	店鋪
鋸	kɨ5	
錄	lieʔ8	
錢	tsn̩2	
錦	kiam3	
鍛	tuan5	
鎖	sɯ3	名詞，動詞
鎮	tin5	
鏡	kiã5	
鐘	tsioŋ1	
鐮	liam2	
鐲	sio4	
鐵	tʰɨ5	
鑼	lɯ2	
鑽	tsun5	
鑿	tsʰaʔ8	
長	tŋ̍2	
門	bun2	
開	kʰuɨ1	
閏	ɡien1	閏月
閑	n̩2	
間	kn̩1	
闊	kʰua5	
關	kuã1	
降	kaŋ5	
限	han4	
院	n̩1	
除	tɨ2	
陪	pui2	
陳	tan2	
陸	lieʔ8	
隊	tuɨ4	
險	hiam3	
雄	hioŋ2	
集	tsieʔ8	
雙	siaŋ1	
雙	suaŋ1	
雜	tsaʔ8	
雞	ki1	
離	lɨ2	
難	lan2	
雨	hu4	
雪	sui5	
雲	hun2	
零	lin2	
雷	luɨ2	
電	tien4	
震	tsin5	
霜	siŋ1	
露	lu5	
靈	lin2	
青	tsʰiã1	
靜	tsin4	
靠	kʰɯ5	
面	bin5	
革	kieʔ7	
鞋	i2	
韌	lun1	
韭	ku3	
音	ɡiam1	
響	hioŋ3	
頁	ɡia4	
頂	tin3	
項	haŋ4	
順	sun4	
頓	tun5	
領	niã3	
頭	tʰɔ2	
題	ti2	
額	hia4	
顔	ɡien2	顏色
顧	ku5	
顯	hien3	
風	hoŋ1	
颺	ɡioŋ1	
飄	pʰiɔ1	
飛	pui1	動詞
飛	huɨ1	飛機
食	tsia4	吃
食	sieʔ8	扁食
飯	pun1	
飲	am3	
飼	tsʰɨ5	
飽	pa3	
餅	piã3	
餐	tsʰan1	
餓	ɡɯ1	
餜	kui3	
香	hiŋ1	燒香
香	hiaŋ1	香港
馬	ba3	
騙	pʰn̩5	
驕	kiɔ1	
驗	ɡiam4	
驚	kiã1	
骨	kuoʔ7	
骹	kʰa1	
髓	tsʰui3	
體	tʰi3	
高	kɔ1	
鬆	soŋ1	
鬚	tsʰiu1	
鬥	tɔ5	
鬧	lɔ1	熱鬧
鬧	nɔ̃4	吵鬧
鬼	kuɨ3	
魂	hun2	
魚	hɨ2	
鮮	tsʰn̩1	
鱗	lin2	
鳥	tsia5	
鳳	hoŋ4	
鴉	a1	
鴨	a5	
鴿	kaʔ7	
鵝	ɡɯ2	
鹹	kiam2	
鹽	ɡiam2	
鹿	luoʔ8	
麗	li4	
麥	ba4	
麵	mn̩4	
麻	mã2	
黃	ɡun2	
黏	ku2	黏貼
黏	liam2	
點	tiam3	
黨	taŋ3	
鼈	pɨ5	
鼎	tiã3	
鼓	ku3	
鼠	tsʰɨ3	
鼻	pʰɨ5	
齊	tsi2	
齋	tsɛ1	
齒	kʰɨ3	
龍	lioŋ2	
龜	kuɨ1	
𢶀	tsʰui5	找
𤆬	tsʰua5	娶
𥭘	tʰɛ1	動詞
𧄔	tsɨ2	番薯
𩟗	tsiã3	
