#漢字	音標	解釋
㔶	kã3	盖子
八	pɛʔ7	
公	kəŋ1	
六	ləuʔ8	
蘭	lã2	
共	tɕiəŋ6	
關	kuã1	~门
興	ɕieŋ1	绍~
兵	peŋ1	
典	teŋ3	
典	ti3	
養	iɔ̃3	
兼	tɕi1	
内	nuə6	~部
册	tsʰa5	
再	tsai5	
寫	ɕia3	
軍	tɕyŋ1	
農	nəŋ2	
冬	təŋ1	
馮	fəŋ2	
冰	peŋ1	
準	tɕyŋ3	
凊	tɕʰieŋ5	冷
減	kɛ̃3	
湊	tsʰɛu5	
凳	teŋ5	
出	tɕʰyəuʔ7	
擊	tɕieʔ7	
鑿	sou6	
刀	tou1	
分	feŋ1	
分	puə1	
切	tɕʰiɛʔ7	
刑	ɕieŋ2	
划	vɛʔ8	
剛	kã1	
剛	tɕiã1	
創	tsʰɔ̃5	
初	tɕʰyəu1	
刣	tʰai6	~鱼,原文记作治
刨	pau6	
别	piɛʔ8	~人
刮	kuɛʔ7	
到	tau5	
刷	sɔʔ7	
刺	tsʰɿ5	
刻	kʰɛʔ7	
剃	tʰe5	
削	ɕiɛʔ7	
前	sɛ̃2	
剝	pɔʔ7	
剝	pou5	
劇	tɕy5	戏~
剪	tsɛ̃3	
割	kɛʔ7	
力	leʔ8	
勸	kʰuə5	
勸	tɕʰỹɛ5	
辦	pɛ̃6	
加	ka1	
動	təŋ6	
劫	tɕiɛʔ7	
勁	tɕieŋ5	有~
勃	pɔʔ8	
勃	pɛʔ8	
勒	lɛʔ8	
勤	tɕyŋ2	
匀	yŋ2	
化	fa5	
北	pɛʔ7	
匙	se3	
匠	tɕʰiɔ̃6	
匹	pʰeʔ7	
區	kʰy1	
醫	i1	
十	sɛʔ8	
千	tsʰɛ̃1	
升	ɕieŋ1	单位
半	pã5	
卒	tseʔ7	
卓	tiɔʔ7	
單	tã1	简~
賣	me6	
南	nã2	
博	pɔʔ7	
印	ieŋ5	
卵	lɔ̃6	
卷	kuə3	动
卷	tɕỹɛ3	动
历	leʔ8	
厭	i5	
厚	kau6	
厚	kɛu6	
原	ŋuə2	
廚	təu2	
去	tɕʰyəu5	来~
縣	ỹɛ6	
参	sɛ̃1	人~
参	seŋ1	人~
雙	səŋ1	
反	fã3	
发	fɛʔ7	
叔	ɕiəuʔ7	
取	tɕʰy3	
受	ɕiou6	
變	pi5	
疊	tʰɛʔ8	
口	kʰɛu3	
句	kou5	
叫	tɕiɛu5	
台	tuə2	戏~
號	hou6	
各	kɔʔ7	
吉	tɕieʔ7	
吉	tɕiɛʔ7	
名	miã2	
后	au6	
向	ɕiɔ̃5	
吞	tʰɔ̃1	
吠	pe6	
含	kã2	
含	hã2	
聽	tʰiã1	
吳	ŋ̍2	
吸	ɕieʔ7	
吹	tɕʰyəu1	
告	kɛu5	
周	tɕiou1	
命	miã6	
咒	tsɛu5	
咬	ka6	
品	pʰeŋ3	
啞	a3	~巴
哥	kou1	
哲	tsɛʔ7	
脣	ɕyŋ2	
唐	tɔ̃2	
唱	tɕʰiɔ̃5	
啼	tʰe2	哭
善	ɕi6	
喜	sɿ3	
器	tsʰɿ5	
四	sɿ5	
回	fuə2	
因	ieŋ1	
团	tɔ̃2	
囥	kʰɔ̃5	藏放
園	huə2	
困	kʰueŋ5	
圍	ve2	
國	kuɔʔ7	
圓	ỹɛ2	
土	tʰu3	
在	tsai6	
地	ti6	天~
場	tiɔ̃2	
均	tɕyŋ1	
坐	suə6	
坑	kʰã1	
塊	kuə5	
墳	feŋ2	
坡	pʰou1	
型	ɕieŋ2	
墾	kʰɛ̃3	
埋	mai2	
城	ɕiã2	
域	i5	
基	tsɿ1	
堆	tuə1	
塑	sɿ5	
塔	tʰɛʔ7	
塞	sɛʔ7	名
填	tɛ̃2	
墓	mou5	
牆	tɕʰiɔ̃2	
墨	mɛʔ8	
墿	təu6	
壁	pia5	
壯	tsɔ̃5	
聲	ɕiã1	
殼	kʰɔʔ7	
外	ȵia6	
夜	ia6	
够	kɛu5	
大	ta6	~小
天	tʰi1	
頭	tʰau2	脑袋
夷	ȵi2	武~山
夸	kʰua1	
奪	tɔʔ8	
女	ȵy3	
奶	nɛ̃1	娘~
奸	kã1	
好	hau3	形
好	hou3	
婦	pu6	
妖	iou1	
妹	muə5	
姊	tsɿ3	
姓	sã5	
姜	tɕiɔ̃1	
姨	i2	
娘	ȵiɔ̃2	
婆	pou2	
婿	sai5	
嫁	ka5	
嫩	nɔ̃6	
嬉	sɿ1	玩儿
子	tsɿ3	
字	sɿ6	
存	sɔ̃2	
孫	sɔ̃1	~子
孝	hau5	
孟	mɛ̃6	
學	ou6	
學	hɔʔ8	
宅	tʰa6	
宅	tsɛʔ8	
安	ã1	
宋	səŋ5	
官	kuã1	
定	tiã6	
寶	pou3	
實	ɕieʔ8	
審	ɕieŋ3	
客	kʰa5	
害	hai6	
宴	i5	
家	ka1	
容	iəŋ2	
寬	kʰuã1	
賓	peŋ1	
寄	tɕia5	
密	meʔ8	
富	fu5	
寒	hã2	
寒	kã2	冷
寡	kua3	
寨	sai6	
對	tuə5	
尋	ɕyŋ2	
封	fəŋ1	
射	ɕia6	
少	tɕiɛu3	多~
尖	tɕi1	
塵	teŋ2	
嘗	ɕiɔ̃2	
屍	sɿ1	
尺	tɕʰyəu5	
尾	muə3	~巴
局	tɕiɔʔ8	
層	sɛ̃2	
屈	tɕʰiɔʔ7	
屋	vəuʔ7	
屎	sai3	
屑	sɛʔ7	
屬	ɕiɔʔ8	
山	sã1	
歲	ɕyəu3	
嶺	liã3	
岳	ŋɔʔ8	
岸	ŋiã6	
川	tɕʰỹɛ1	
工	kəŋ1	
左	tsou3	
巨	tɕy6	
巫	u1	
己	tsɿ3	
巾	tɕyŋ1	
市	tsʰɿ6	
布	pou5	
帥	suə5	
師	sɿ1	
希	sɿ1	
帳	tiɔ̃5	蚊~
帖	tʰɛʔ7	
帘	li2	
帚	tɕiou3	
帶	tai5	名
席	tɕʰyəu6	草~
席	ɕieʔ8	
幫	pɔ̃1	
帽	mou6	
平	pã2	
平	peŋ2	
年	ȵi2	
幸	hɛ̃6	
幽	iou1	
幾	tɕy3	~个
慶	tɕʰieŋ5	
牀	tsʰɔ̃2	
應	ieŋ5	答~
底	te3	
店	tɛ̃5	
廟	miɛu6	
座	suə6	
庵	ã1	
康	kʰɔ̃1	
延	i2	
建	tɕi5	
開	kʰai1	
開	tɕʰy1	
异	i6	
弄	ləŋ6	名
弓	tɕiəŋ1	
引	ieŋ3	
弟	te6	
張	tiɔ̃1	量
弦	ɕỹɛ2	
彎	vã1	
歸	kue1	
當	tɔ̃5	~铺
录	liɔʔ8	
形	ɕieŋ2	
彪	piɛu1	
彭	pʰã2	
影	iã3	
役	i6	
征	tɕieŋ1	
律	leʔ8	
徐	ɕy2	
得	tɛʔ7	晓~
徛	tɕʰia6	站
微	mi1	
微	ve1	
心	ɕieŋ1	
志	tsɿ5	
忙	mɔ̃2	
忠	tsəŋ1	
快	kʰe5	
念	nɛ̃6	
忽	fəuʔ7	
懷	fai2	
急	ɕieʔ7	
怨	və5	
怪	kuai5	
總	tsəŋ3	
恨	heŋ6	
恩	ɛ̃1	
恭	kəŋ1	
息	ɕieʔ7	
懇	kʰɛ̃3	
恶	ɔʔ7	形
懸	kɛ̃2	高
驚	tɕiã1	
惜	ɕieʔ7	
愁	tsʰɛu5	
慌	hɔ̃1	
慌	fɔ̃1	
慢	mɛ̃6	
懂	təŋ3	
戲	ɕie5	
我	ŋa3	
戒	kai5	
或	vɛʔ8	
戰	tɕi5	
戚	ɕʰieʔ7	
戳	tɕʰiɔʔ7	
房	hɔ̃2	
扁	pi3	
扇	ɕi5	名
手	tɕʰiou3	
打	ta3	
托	tʰɔʔ7	
擴	kʰɔʔ7	
掃	sau5	动
扶	hu6	
找	tsau3	
承	ɕieŋ2	
把	pa3	
抓	tsau1	~牌
抓	tsa1	
折	ɕiɛʔ8	亏本
搶	tɕʰiɔ̃3	
報	pou5	
披	pʰi1	
抱	pau1	
抽	tʰiou1	
擔	tã5	名
擔	tã1	
拆	tʰia5	
拔	pɛʔ8	
拖	tʰa1	
拜	pe5	
攔	lã2	
撥	pɛʔ7	
擇	tsɛʔ8	
拳	kueŋ2	
持	tsɿ2	
挂	kua5	
指	tsai3	
指	tsɿ3	
挖	vɛʔ7	
捏	nɛʔ8	~牙膏
掌	tɕiɔ̃3	
排	pe2	
接	tɕɛʔ7	
推	tʰuə1	
插	tsʰɛʔ7	
換	vã6	
揭	tɕiɛʔ7	
搓	tsʰou1	
搜	sɛu1	
搬	pã2	
搭	tɛʔ7	
摆	pe3	
攤	tʰã1	
摘	tia5	
撑	tʰã1	
撕	sɿ1	
撞	tɕiɔ̃6	
撤	tsʰɛ7	
撮	tsʰɔʔ7	
操	tsʰɛu1	早~
操	tsʰau5	曹~
擦	tsʰɛʔ7	
改	kai3	
放	pəŋ5	
放	hɔ̃5	
政	tɕieŋ5	
敵	teʔ8	
救	tɕiou5	
教	kau5	动
敢	kã3	
㪗	tʰau3	展开
數	sɿ5	动
數	sɿ5	名
敲	kʰau1	
文	veŋ2	
齋	tsai1	
斗	tau3	一~
料	lɛu6	
斜	tɕʰia2	
斤	tɕyŋ1	~两
斧	pou3	
斧	fu3	
斬	tsã3	
斷	tɔ̃6	拗~
新	ɕieŋ1	
方	hɔ̃1	
方	fɔ̃1	
施	sɿ1	
旋	ɕỹɛ6	头旋
族	ɕiəuʔ8	
族	səuʔ7	
旗	tsɿ2	
無	mou2	
日	ȵieʔ8	~头
旦	tã5	
舊	ku6	
早	tsa3	
時	sɿ2	
旺	vɔ̃6	
明	meŋ2	
昏	feŋ1	
易	i6	容易
星	ɕieŋ1	
春	tɕʰyŋ1	
是	sɿ6	
是	ɕie6	
晝	tau5	
曬	sa5	
晚	vã3	
晴	sã2	
暗	ã5	
暝	mã2	夜晚,原文记作冥
曲	tɕʰiəuʔ7	
曲	kʰiɔʔ7	
曲	tɕʰiɔʔ7	
更	kã1	
更	kɛ̃1	
月	ŋuɔʔ8	
有	vu6	
有	iou3	
朋	pɛ̃2	
服	fəuʔ8	
望	vɔ̃6	
木	məuʔ8	
未	mi6	
末	mɛʔ8	
本	puə3	
术	ɕyəuʔ7	
朶	tou3	耳~
機	tsɿ1	
殺	sɛʔ7	
雜	sɛʔ8	
李	li3	姓
杏	hɛ̃6	
村	tsʰɔ̃1	
條	tɛu2	
來	li2	
來	lai2	
杭	hɔ̃2	
杯	puə1	
杰	tɕiɛʔ8	
松	səŋ1	~树
板	pɛ̃3	
極	tɕieʔ8	
林	leŋ2	
果	kou3	
枝	tsɿ1	
棗	tsou3	
柄	pã3	
染	ȵi3	
櫃	kue6	
查	tsa2	调~
柱	tʰiou6	
柴	tsʰa2	
標	piɛu1	
棧	tsã6	
欄	lã2	
樹	tsʰa5	
樹	ɕy6	
栗	leʔ8	
樣	iɔ̃6	
根	kɛ̃1	
格	ka5	
桂	tɕyəu5	
桃	tʰou2	
桌	tou5	
桑	sɔ̃1	
橋	tɕiɛu2	
樁	tɔ̃1	
樁	tsɔ1	
桶	tʰəŋ3	
梗	kɛ̃3	
夢	məŋ5	
梨	li2	
梯	tʰai1	
梳	ɕyəu1	
棋	tsɿ2	
棍	kueŋ5	
棒	pɔ̃6	
棕	tsəŋ1	
棚	pəŋ2	
椅	i3	
椒	tɕiɛu1	
椽	tʰỹɛ2	
楚	tsʰɿ3	
楦	ɕỹɛ5	
榜	pɔ̃3	
槌	tʰy2	
橫	fã1	
櫻	ieŋ1	
樵	tsʰa2	原文记作柴
橘	tɕieʔ7	
欠	tɕʰi5	
歡	fã1	
欣	ɕieŋ1	
歇	ɕyɛʔ7	
歌	kou1	
止	tsɿ3	
正	tɕiã5	~反
步	pou6	
歪	vai1	
死	sɿ3	
殿	tɛ̃6	
母	mou3	
每	muə3	
毒	təuʔ8	
比	pi3	
毛	mou2	
毛	mɛu2	
氏	sɿ6	
氏	ɕie6	
民	meŋ2	
气	tsʰɿ5	
水	ɕy3	
永	iəŋ3	
汁	tsɛʔ7	
漢	hã3	
汗	kã6	
江	kɔ̃1	
池	tsɿ2	
沉	teŋ2	
沙	sa1	
沝	ɕy3	水
沫	mɛʔ8	
河	ou2	
油	iou2	
治	tʰai6	~鱼
泉	ɕỹɛ2	
法	fɛʔ7	
波	pʰou1	
泥	ne2	
洗	se3	
洞	təŋ6	
津	tɕyŋ1	
活	vɛʔ8	
派	pʰai5	
流	lau2	
流	liou2	
淺	tɕʰi3	
漿	tɕiɔ̃5	
測	tsʰɛ7	
濟	tɕie5	
渾	veŋ2	
濃	ȵiəŋ2	
浙	tɕiɛʔ7	
浪	lɔ̃6	
浮	pʰu2	
浴	iɔʔ8	
海	fuə3	
浸	tɕieŋ5	
涂	tu2	
消	ɕiɛu1	
涉	ɕiɛʔ8	
澀	seʔ7	
淡	tã6	
深	tɕʰieŋ1	
添	tʰi1	
清	tɕʰieŋ1	
淵	ỹɛ1	
渣	tsa1	
溫	və1	
渴	kʰɛʔ7	
灣	vã1	
源	ŋuə2	
溪	kʰe1	
滋	tsɿ1	
滑	vɛʔ8	
滚	kueŋ3	
滚	kuə3	
滿	mã3	
灘	tʰã1	
滴	teʔ7	
漏	lau6	
潭	tʰã2	
灌	kuã3	
火	fuə3	
滅	miɛʔ8	
燈	tɛ̃1	
灰	fuə1	
靈	leŋ2	
竈	tsau5	
災	tsai1	
炒	tsʰau3	
炭	tʰã5	
炮	pʰau5	
爛	lã6	
烘	fəŋ1	
燭	tɕyəu5	
烟	i1	
煩	fã2	
燒	ɕiɛu1	
燙	tʰɔ̃5	
熱	ȵiɛʔ8	
焦	tɕiɛu1	
煠	sɛʔ8	煮
煤	muə2	
照	tɕiɛu5	
煮	tɕy3	
熟	ɕiəuʔ8	
燕	i5	~子
爬	pa2	
愛	ai5	
爺	ia3	
爹	tia1	
爽	sɔ̃3	
片	pɛ̃2	
片	pʰi5	
版	pɛ̃3	
牌	pe2	
牙	ŋa2	
牛	ŋ̍2	
牢	lou2	
物	meʔ8	
牯	ku3	
牽	tɕʰi1	
牽	kʰɛ̃3	
特	tɛʔ8	
犧	sɿ1	
犁	le2	
犬	kʰɛ̃3	
狀	tsɔ̃6	
狂	vɔ̃2	
狹	ɛʔ8	
獵	liɛʔ8	
猛	məŋ5	
猜	tsʰuə1	
豬	ty1	
猫	ma2	
獻	ɕi5	
猴	kau2	
獺	tʰɛʔ7	
玄	ɕỹɛ2	
玉	ȵiɔʔ8	
王	vɔ̃2	
環	vã2	
現	ɕi6	
珠	tɕyəu1	
班	pã1	
琴	tɕieŋ2	
瓊	tɕiəŋ2	
璃	le2	
璧	peʔ7	
瓜	kua1	
瓦	ŋua6	名
瓶	peŋ2	
甕	vəŋ5	
甘	kã1	
甜	tɛ̃2	
生	tsʰã1	
生	sɛ̃1	
生	sã1	
用	iəŋ6	
甲	kɛʔ7	
畫	va6	
留	liou2	
留	lau2	
畜	tʰau5	~生
略	liɛʔ8	
番	fã1	
疏	sɿ1	
疫	ȵi6	
瘡	tsʰɔ̃1	
病	pã6	
痒	ɕiɔ̃6	
痣	tɕy5	
痰	tã2	
痱	pe5	
癬	tɕʰi3	
登	tɛ̃1	
白	pa6	
百	pa5	
皮	pʰuə2	
皺	tsɛu5	
益	iɛʔ7	
盞	tsã3	
鹽	i2	名
鹽	ɕi5	腌
盒	hɛʔ8	
盖	kai5	
盤	pã2	
目	məuʔ8	
直	teʔ8	
眉	mi2	
真	tɕieŋ1	
眼	ŋɛ̃6	
睏	kʰueŋ5	睡
督	təuʔ7	
知	tsɿ1	
知	tɕie1	
短	tuə3	
矮	e3	
石	ɕyəu6	
石	ɕieʔ8	
磚	tɕỹɛ1	
破	pʰou5	
礎	tsʰɿ3	
硬	ŋiã6	
碎	suə3	
碑	pe2	
碓	tai5	
碗	vã3	
碧	peʔ7	
磕	kʰueʔ7	
磡	kʰã1	
磨	ma2	动
磨	ma6	名词
磨	mou6	名词
禮	le3	
祖	tsɿ3	
神	ɕieŋ2	
祠	sɿ2	
票	pʰiɛu5	
祭	tɕie5	
福	fəuʔ7	
离	li2	
秃	tʰɔʔ7	
私	sɿ1	
秋	tɕʰiou1	
種	tsəŋ5	动
租	tsɿ1	
秤	tɕʰieŋ5	
秦	tɕieŋ2	
秧	ɔ̃1	
積	tɕieʔ7	
移	i2	
税	ɕyəu5	
稗	tʰe5	
穩	veŋ3	
窮	tɕiəŋ2	
空	kʰəŋ1	有~
穿	tɕʰỹɛ1	
突	tʰɔʔ7	
窗	tʰɔ̃1	
窟	kʰueʔ7	
窠	kʰou1	
端	tɔ̃1	
竹	təuʔ7	
笋	ɕyŋ3	
笑	tɕʰiɛu5	
筆	peʔ7	
笠	leʔ8	
符	hu2	
笨	peŋ6	
籠	ləŋ2	
筋	tɕyŋ1	
筑	təuʔ7	
答	tɛʔ7	
篩	tʰai1	
簡	kã3	
箍	kʰau1	
箕	tsɿ1	粪~
算	sɔ̃5	
管	kuã3	
籮	la2	
箬	ȵy6	
箭	tɕi5	
箱	ɕiɔ̃1	
箸	ty6	
篇	pʰi1	
籃	lã2	
籬	le2	
篷	pəŋ2	
篾	miɛʔ8	
簟	tɛ̃6	
簪	tsã1	
簸	pa5	
簿	pou6	
米	mi3	名
粉	feŋ2	
粒	lɛʔ8	
粗	tsʰɿ1	
糶	tʰiɛu5	
粟	tɕʰyəu5	
粥	tɕiəuʔ7	
糞	feŋ5	
糧	liɔ̃2	
糉	tsəŋ5	
精	tɕieŋ1	
糊	ku2	
糍	sɿ2	
糖	tʰɔ̃2	
糟	tsau1	
糯	nou6	
素	sɿ5	
索	sou5	
緊	tɕieŋ3	
紫	tse3	
紅	vəŋ2	
約	iɛʔ7	
紀	tsɿ3	
納	nɛʔ8	
紙	tɕia3	
紡	fɔ̃3	
紡	pʰəŋ3	
紐	ȵiou3	
線	ɕi5	
組	tsɿ3	
細	se5	小
織	tɕieʔ7	
終	tsəŋ1	
經	tɕieŋ1	
絨	iəŋ2	
結	tɕiɛʔ7	
絶	tɕyɛʔ8	
繩	tɕieŋ2	
綢	tʰiou2	
綠	ləu6	
縛	pou6	
縫	pəŋ2	动
縫	fəŋ2	动
纏	ti2	~脚
縮	səuʔ7	
缸	kɔ̃1	
缺	tɕʰyɛʔ7	
缽	pɛʔ7	
网	mɔ̃3	
羅	lou2	
罰	fɛʔ8	
罷	pa6	
罩	tsau5	
罪	suə6	
置	ti5	
翠	tsʰe5	
翻	fã1	
翼	ȵi6	
老	lau6	
耕	kɛ̃1	
耙	pa2	犁~
耳	ȵi3	~朵
耽	tã1	
聶	ȵiɛʔ7	
肉	ȵiəuʔ8	
肌	tsɿ1	
肝	kã1	
腸	tɔ̃2	
肥	pe2	
肩	tɕi1	
肯	kʰeŋ3	
肯	kʰɛ̃3	
育	iəuʔ7	
肺	fe5	
腫	tsəŋ3	
脹	tiɔ̃5	
膽	tã3	
胎	tʰuə1	
胡	hu2	
胸	ɕiəŋ1	
能	nɛ̃2	
脂	tsɿ1	
脉	ma6	
脊	tɕia5	
臍	sai2	
腦	nau3	
膿	nəŋ2	
脱	tʰɔʔ7	
腡	luə2	
脾	pʰi2	
腔	tɕʰiɔ̃1	
腹	pɛʔ7	
腹	fəuʔ7	
腿	tʰai3	
臀	tɔ̃2	
臭	tsʰau5	
舂	tsəŋ1	
舅	ku6	
舅	tɕiou6	
舌	ɕiɛʔ8	
舞	u3	
舵	tou6	
船	ɕyŋ2	
色	sɛʔ7	
藝	ȵi6	
節	tsɛʔ7	
節	tɕiɛʔ7	
芋	ou6	
芝	tsɿ1	
芥	ka1	~菜
花	fa1	
芳	fɔ̃1	
芳	hɔ̃1	
苧	te6	
苏	sɿ1	
苗	miɛu2	
范	fã6	姓
茄	tɕyəu2	
莖	tɕieŋ1	
茶	ta2	
草	tsʰau3	
榮	iəŋ2	
藥	iɛʔ8	
荷	ou2	
蓮	lɛ̃2	
获	fəuʔ8	
鶯	ieŋ1	
菊	tɕiəuʔ7	
菜	tsʰai5	
菱	leŋ2	
營	iəŋ2	
蕭	ɕiɛu1	
薩	sɛʔ7	
落	lɔʔ8	
著	təu5	~衣
葛	kɛʔ7	
葬	tsɔ̃5	
葱	tsʰəŋ1	
蒸	tɕieŋ1	
蓆	tɕʰyəu6	草~,原文记作席
蔡	tsʰai5	
蔬	sɿ1	
薄	pou6	厚~
薛	ɕyɛʔ7	
薸	pʰiɛu2	浮萍
藕	ou6	
藤	teŋ2	
蘸	tsã5	
虎	hu3	
虚	ɕy1	
蟲	tʰəŋ2	
虱	sɛʔ7	
蝦	ha2	
蝦	huɔ2	
蟻	ȵia5	
蚊	veŋ2	~虫
蠶	tɕʰi2	
蛇	ɕia2	
蜂	pʰəŋ1	
蜂	fəŋ1	
蜘	təu1	
蠟	lɛʔ8	
蠅	ieŋ5	
融	iəŋ2	
螺	luə2	
蟋	ɕyəuʔ7	
蠓	muə2	~虫,原文记作蚊
血	hɛʔ7	
行	hɛ̃6	~为
街	ke1	
衣	i1	
表	piɛu3	
衫	sã1	
襖	ou3	
袋	tuə6	
袜	mɛʔ8	
被	pʰuə6	名
裝	tsɔ̃1	
裙	kueŋ2	
褲	kʰu5	
裹	kou3	
褥	ɕiəuʔ8	
西	se1	
見	tɕi5	
角	kou5	动物的
角	kɔʔ7	
解	ke3	~开
言	ȵi2	
計	tɕie5	
認	ȵieŋ6	
討	tou3	
讓	niã6	
訓	ɕyŋ5	
記	tsɿ5	
講	kɔ̃3	
許	ɕy3	
識	ɕieʔ7	
訴	sɿ5	
詞	sɿ2	
話	va6	
誦	səŋ5	
請	tɕiã3	
讀	təuʔ8	
談	tã2	
謀	mɛu2	
謬	miɛu6	
譚	tʰã2	
譜	pʰou3	
谷	kəʔ7	
豆	tau6	
豉	ɕie6	
貌	mau6	
財	sai2	发~
責	tsɛʔ7	
賢	ɕi2	
敗	pai6	
賬	tiɔ̃5	
貨	hou5	
貪	tʰã1	
貧	peŋ2	
貼	tʰɛʔ7	
貴	kue5	
賊	tsʰɛʔ8	
贓	tsɔ̃1	
賭	tu3	
賠	puə2	
賽	suə5	
贏	iã2	
走	tsau3	
趙	tɕiɛu6	
起	tsʰɿ3	
越	yɛʔ8	
足	tɕiɔʔ7	
趾	tsɿ3	
跟	kɛ̃1	
跪	kue6	
路	lu6	
踏	tɛʔ8	
踢	tʰeʔ7	
身	ɕieŋ1	
車	tɕʰia1	汽~
轉	tɕỹɛ3	~身
軛	a5	
輪	leŋ2	
軟	ȵỹɛ3	
輕	tɕʰieŋ1	
載	tsai3	动
轎	tɕiɛu6	
輸	ɕyəu1	~赢
辛	ɕieŋ1	
辣	lɛʔ8	
邊	pi1	
達	tɛʔ8	
過	kou5	
迎	ȵieŋ2	
運	yŋ6	
近	tɕyŋ6	
近	tɕieŋ6	
還	hɛ̃2	动
進	tɕieŋ5	
遠	ỹɛ3	
遠	huə6	
連	li2	
遲	ti2	
追	tɕy1	
退	tʰuə5	
送	səŋ5	
適	ɕieʔ7	
遞	te6	
通	tʰəŋ1	
造	tsau6	
逼	peʔ7	
遁	tɔ̃6	
道	tau6	
遮	tɕia1	
避	pi6	
鄧	tɛ̃6	
邦	pɔ̃1	
鄰	leŋ2	
郎	lɔ̃2	
鄭	tã6	
鄭	tɕieŋ6	
郡	tɕyŋ6	
郭	kɔʔ7	
酉	iou3	
配	pʰuə5	
酒	tɕiou5	
酥	sɿ1	
醬	tɕiɔ̃5	
酸	sɔ̃1	
醉	tɕy5	
醋	tsʰɿ5	
醒	tsʰã3	
醒	ɕieŋ3	
重	təŋ6	形
重	tsəŋ6	
量	liɔ̃2	动
金	tɕieŋ1	
針	tsɛ̃1	
釘	teŋ1	名
釣	tiɛu5	
釵	tsʰai1	
钟	tsəŋ1	
鉤	kau1	
鉗	tɕʰi2	
鑽	tsɔ̃5	名
鐵	tʰiɛʔ7	
鉛	tɕʰi1	~笔
銅	təŋ2	
鍘	tsɛʔ8	
銃	tsʰəŋ5	
銀	ȵyŋ2	
鋪	pʰou3	十里
鎖	sou3	
鋤	ty2	
銳	ɕyəu6	
錫	ɕieʔ7	
鑼	lou2	
錘	tʰy2	
鋸	tɕy5	
鎮	teŋ5	
鏡	tɕiã5	
鐲	sou6	
長	tɔ̃2	~短
長	tiɔ̃6	身无~物
門	muə2	
問	meŋ5	
問	veŋ5	
閏	yŋ6	
闲	ɛ̃2	
間	kã1	房~
間	kɛ̃1	
悶	meŋ6	
鬮	tɕiou1	
閲	yɛʔ8	
闊	kʰuɛʔ7	
隊	təu2	
陽	iɔ̃2	
陣	teŋ6	
阻	tsɿ3	
陳	teŋ2	
降	hɔ̃2	投~
限	hɛ̃6	
院	ỹɛ6	
隨	ɕy2	
隱	ieŋ3	
隔	ka5	
隔	kɛʔ7	
隶	te6	
隻	tɕieʔ7	
難	nã2	形
雀	tɕʰiɛʔ7	麻~
雄	ɕiəŋ2	
雅	ŋa3	
雌	tsʰɿ1	
雨	hou6	
雨	y3	
雪	ɕyɛʔ7	
雷	lai2	
雹	pəuʔ8	
霧	mou6	
霧	mou5	
需	ɕy1	
霜	sɔ̃1	
露	lu5	
霸	pa5	
青	tsʰã1	
青	tɕʰieŋ1	
靜	ɕieŋ6	
靠	kʰou5	
面	meŋ5	脸
革	kɛʔ7	
鞋	e2	
鞭	pi1	
音	ieŋ1	
頂	teŋ3	
頃	tɕʰiəŋ3	
項	ɔ̃6	
順	ɕyŋ6	
须	ɕyəu1	
頓	tɔ̃5	
領	liã3	
頸	tɕiã3	
顔	ŋiã2	
額	ŋã6	
額	ŋɛʔ8	
風	fəŋ1	
飛	puə1	
飛	fe1	
