#漢字	音標	解釋
□	tia1	提
娶	tɕy5	旧
娼	tsʰaɣ̃1	
婆	pʰo2	
婊	piaɤ3	
婚	xuən1	
婢	pi5	
婪	naɹ̃3	
嬰	in1	
嬸	sən3	
婿	ɕi5	
媒	mei2	
媚	mei2	
媳	ɕie7	
嫁	tɕia5	
嫂	saɤ3	
嫌	ɕiæ̃3	
嫖	pʰiaɤ2	
嫡	tie7	
嫩	nən5	
嬉	ɕi3	
孀	suaɣ̃1	
子	tsɿ3	
孔	kʰoŋ3	
孕	zuən5	
字	tsɿ5	
存	tsʰən2	
孫	sən1	
孝	ɕiaɤ5	
孟	moŋ5	
季	tɕi5	
孤	ku1	
學	ɕio7	
孩	xae2	
孵	fuᶹ1	
孽	ȵie7	
寧	nin2	
寧	nin5	
宅	tsæ7	
宇	y3	
守	səu3	
安	ŋaɹ̃1	
宋	soŋ5	
完	uaɹ̃2	
宏	xoŋ2	
宕	taɣ̃5	
宗	tsoŋ1	
官	kuaɹ̃1	
宙	tsəu5	
定	tin5	
宛	uaɹ̃3	
宜	ȵi2	
寶	paɤ3	
實	sɘ7	
寵	tsʰoŋ3	
審	sən3	
客	kʰæ7	
宣	ɕyæ̃1	
室	sɘ7	
宪	ɕiæ̃3	
宮	koŋ1	
宰	tsae3	
害	xae5	
宴	iæ̃5	
宵	ɕiaɤ1	
家	tɕia1	
容	ioŋ2	
寬	kʰuaɹ̃1	
賓	pin1	
宿	ɕio7	
寄	tɕi5	
寅	in2	
密	mie7	
寇	kʰəu5	
富	fuᶹ5	
寐	mei5	
寒	xaɹ̃2	
寓	y5	
寢	tɕʰin3	
寞	mɵ7	
察	tsʰæ7	
寡	kua3	
寥	niaɤ5	
寨	tsae5	
寸	tsʰən5	
對	tuei5	
寺	sɿ5	
尋	ɕyn2	
導	tʰaɤ5	
壽	səu5	
封	foŋ1	
射	sei5	
將	tɕiaɣ̃1	
將	tɕiaɣ̃5	
尊	tsən1	
小	ɕiaɤ3	
少	saɤ3	
少	saɤ5	
尔	ɚ3	
