#漢字	音標	解釋
□	tia1	提
船	tsʰuaɹ̃2	
艇	tʰin3	
良	niaɣ̃2	
艱	tɕiæ̃1	
色	sæ7	
豔	iæ̃5	
藝	ȵi5	
艾	ŋae5	
節	tɕie7	
芋	y5	
芒	maɣ̃2	
芙	fuᶹ2	
芝	tsɿ1	
芥	tɕiæɛ5	
蘆	nu2	
芬	fən1	
芭	pa1	
芮	zuei5	
芯	ɕin1	
花	xua1	
芳	faɣ̃1	
芹	tɕʰin2	
芽	ia2	
葦	uei3	
莧	ɕiæ̃5	
蒼	tsʰaɣ̃1	
苏	su1	
苔	tʰae2	
苗	miaɤ2	
苟	kəu5	
苣	tɕy5	
若	zuɵ7	
苦	kʰu3	
英	in1	
蘋	pʰin2	
茂	moŋ5	
范	faɹ̃5	
范	paɤ5	
茄	tɕʰi2	
茅	maɤ2	
莖	tɕin1	
莖	xən2	
塋	in2	
繭	tɕiæ̃3	
茫	maɣ̃2	
茭	tɕiaɤ1	
茴	xuei2	
茶	tsʰa2	
茸	zoŋ2	
荀	ɕyn2	
荆	tɕin1	
草	tsʰaɤ3	
薦	tɕiæ̃5	
荒	xuaɣ̃1	
荔	ni5	
莢	tɕiæ7	
蕎	tɕʰiaɤ2	
薺	tɕi5	
蕩	taɣ̃5	
榮	yn2	
葷	xuən1	
滎	in2	
藥	io7	
荷	xo2	
莉	ni5	
莓	mei2	
莠	ɕiəu5	
莫	mɵ7	
蓮	niæ̃2	
萵	o1	
获	xuæ7	
鶯	in1	
莽	maɣ̃3	
菊	tɕʰio7	
菌	tɕyn5	
菖	tsʰaɣ̃1	
菜	tsʰae5	
菠	po1	
菩	pʰu2	
菱	nin2	
菲	fei1	
萄	tʰaɤ2	
萌	moŋ2	
萍	pʰin2	
萎	uei3	
蘿	no2	
螢	in2	
螢	yn2	
營	yn2	
蕭	ɕiaɤ1	
薩	sa3	
落	nuɵ7	
葚	sən5	
葛	kɤ7	
葡	pʰu2	
董	toŋ3	
葫	fuᶹ2	
葬	tsaɣ̃5	
葱	tsʰoŋ1	
葵	kʰuei2	
蒂	ti5	
蔣	tɕiaɣ̃3	
蒙	moŋ2	
蒜	suaɹ̃5	
蒲	pʰu2	
蒸	tsən1	
蒿	xaɤ1	
蓄	ɕio7	
蓉	ioŋ3	
蓑	so1	
蓖	pi5	
藍	naɹ̃2	
蓬	pʰoŋ2	
蔑	mie7	
蔓	maɹ̃5	
蔗	tsae5	
蔚	y5	
蔡	tsʰae5	
蔫	iæ̃1	
蔬	su1	
藹	ŋae3	
蔽	pi5	
蕉	tɕiaɤ1	
蕊	zuei3	
蘊	uən5	
薄	pɵ7	
薅	xaɤ1	
薇	uei1	
薛	ɕio7	
薛	ɕye7	
薪	ɕin1	
薯	su3	
藉	tɕi5	
藏	tsʰaɣ̃2	
藏	tsaɣ̃5	
藐	miaɤ3	
藕	ŋəu3	
藤	tʰən2	
藩	faɹ̃1	
藻	pʰiaɤ1	
藿	xɤ7	
蘸	tsaɹ̃5	
虎	fuᶹ3	
虜	nu3	
虐	io7	
慮	ni5	
慮	ny5	
虔	tɕʰiæ̃2	
虚	ɕy1	
虞	y2	
蟲	tsʰoŋ2	
虱	sæ7	
虹	xoŋ2	
雖	ɕy1	
蝦	ɕia1	
蝕	sɘ7	
蟻	ȵi2	
蟻	ȵi3	
蚊	uən2	
蠶	tsʰaɹ̃2	
蚜	ia2	
蚣	koŋ1	
蚤	tsaɤ3	
蛀	tsu5	
蛆	tɕʰy1	
蛇	sei2	
蠱	ku3	
蛋	taɹ̃5	
蛙	ua1	
蛛	tsu1	
蛤	xɤ7	
蠻	maɹ̃2	
蟄	tsɿ5	
螄	sɿ1	
蛾	o2	
蜂	foŋ1	
蜂	suae5	
蜇	tsæ7	
蜈	vuᶹ2	
蜒	iæɛ2	
蜓	tʰin2	
蜕	tʰuɵ7	
蝸	o1	
蜘	tsɿ1	
蜜	mie7	
蠟	xuaɣ̃2	
蠟	næ7	
蜢	moŋ3	
蜷	tɕyæ̃3	
蜻	tɕʰin1	
蠅	in1	
蟬	saɹ̃2	
蠍	ɕie7	
蝗	xuaɣ̃2	
蝙	piæ̃3	
蝠	fɵ7	
蝴	fuᶹ2	
蝶	tie7	
螂	naɣ̃2	
螃	pʰaɣ̃2	
融	ioŋ2	
螳	tʰaɣ̃2	
螺	no2	
蟆	mu2	
蟋	ɕie7	
蟑	tsaɣ̃1	
蟒	maɣ̃3	
蟹	xae3	
蠢	tsʰuən3	
血	ɕie7	
衅	ɕin5	
行	xaɣ̃2	
行	ɕin2	
衍	iæ̃3	
銜	xaɹ̃2	
銜	ɕiæ̃2	
街	kae1	
衙	ia2	
衢	tɕʰy3	
衣	i1	
補	pu3	
表	piaɤ3	
衫	saɹ̃1	
襯	tsʰən5	
衰	suae1	
衷	tsoŋ1	
衷	tsʰoŋ1	
袁	yæ̃2	
襖	ŋaɤ3	
袋	tae5	
袍	pʰaɤ2	
袖	ɕiəu5	
被	pi5	
襲	ɕie7	
袱	fɵ7	
裁	tsʰae2	
裂	nie7	
裝	tsuaɣ̃1	
襠	taɣ̃1	
裕	y5	
裙	tɕʰyn2	
褲	kʰu5	
裳	saɣ̃1	
裴	pʰei2	
裸	no3	
裹	ko3	
褂	kua5	
褒	paɤ3	
褪	tʰei5	
褯	ɕie7	
褶	tsæ7	
襄	ɕiaɣ̃1	
襟	tɕin1	
西	ɕi1	
要	iaɤ1	~求
要	iaɤ5	重~
覆	fɵ7	
見	tɕiæ̃5	
觀	kuaɹ̃1	
觀	kuaɹ̃5	
規	kuei1	
覓	mie7	
視	sɿ5	
覽	naɹ̃3	
覺	tɕiaɤ5	
覺	tɕio7	
角	tɕio7	
解	kae3-	
解	tɕiæɛ3=	
觸	tsuɵ7	
言	iæ̃2	
譽	y5	
謄	tʰən2	
誓	sɿ5	
警	tɕin3	
計	tɕi5	
訂	tin5	
訃	pu5	
認	zən5	
譏	tɕi1	
討	tʰaɤ3	
讓	zaɣ̃5	
訓	ɕyn5	
議	ȵi5	
訊	ɕyn5	
記	tɕi5	
講	tɕiaɣ̃3	
諱	xuei5	
許	ɕy3	
論	nən5	
訟	soŋ5	
諷	foŋ3	
設	sæ7	
訪	faɣ̃3	
訣	tɕio7	
證	tsən5	
評	pʰin2	
識	sɘ7	
詐	tsa5	
訴	su5	
診	tsən1	
詞	tsʰɿ2	
詔	tsaɤ1	
譯	ie7	
試	sɿ5	
詩	sɿ1	
詼	xuei1	
誠	tsʰən2	
誅	tsu1	
話	xua5	
誕	iæɛ2	
誕	taɹ̃5	
詭	kuei3	
詢	ɕyn2	
詣	i5	
該	kae1	
詳	tɕʰiaɣ̃2	
誣	vuᶹ1	
語	y3	
誤	vuᶹ5	
誘	iəu5	
説	suɵ7	
誦	soŋ5	
請	tɕʰin3	
諸	tsu1	
諾	nuɵ7	
諾	zuɵ7	
讀	tuɵ7	
課	kʰo5	
課	kʰɤ5	
誰	suei2	
調	tiaɤ5	
調	tʰiaɤ2	~和
調	tiaɤ5	~动
諒	niaɣ̃5	
談	tʰaɹ̃2	
誼	ȵi2	
誼	ȵi5	
謀	moŋ2	
諜	tie7	
謊	xuaɣ̃3	
諫	tɕiæ̃3	
謂	uei5	
讒	tsʰaɹ̃2	
謎	mi2	
謝	ɕi5	
謡	iaɤ2	
謗	paɣ̃5	
謙	tɕʰiæ̃1	
謹	tɕin3	
謬	miaɤ5	
謬	niaɤ5	
譚	tʰaɹ̃2	
譜	pʰu3	
谷	kuɵ7	
豁	xuɵ7	
豆	təu5	
豇	tɕiaɣ̃1	
豉	sɿ5	
豌	uaɹ̃1	
豚	tʰən2	
象	ɕiaɣ̃5	
豪	xaɤ2	
豫	y5	
豹	paɤ5	
豺	tsʰae2	
貂	tiaɤ1	
貌	maɤ5	
貝	pei5	
貞	tsən1	
負	fuᶹ5	
貢	koŋ5	
財	tsʰae2	
責	tsæ7	
賢	ɕiæ̃2	
敗	pae5	
賬	tsaɣ̃5	
貨	xo5	
質	tsɘ7	
販	faɹ̃5	
貪	tʰaɹ̃1	
貧	pʰin2	
貶	piæ̃3	
購	kəu5	
貫	kuaɹ̃5	
賤	tɕiæ̃5	
貼	tʰie7	
貴	kuei5	
貸	tae5	
貿	moŋ5	
費	fei5	
賀	xo5	
貽	i2	
賊	tsae5	
賈	tɕia3	
賄	xuei5	
賃	nin5	
賂	nu5	
贓	tsaɣ̃1	
資	tsɿ1	
賒	sei1	
賦	fuᶹ5	
賭	tu3	
贖	suɵ7	
賞	saɣ̃3	
賜	tsʰɿ5	
賠	pʰei2	
賴	nae5	
贅	tsuei5	
賺	tsuaɹ̃5	
賽	sae5	
贊	tsaɹ̃5	
贈	tsən5	
贏	in2	
赤	tsʰɘ7	
赫	xɤ7	
走	tsəu3	
赴	fuᶹ5	
趙	tsaɤ5	
趕	kaɹ̃3	
起	tɕʰi3	
趁	tsʰən5	
超	tsʰaɤ1	
越	io7	
趨	tɕʰy1	
趟	tʰaɣ̃5	
趣	tɕʰy5	
足	tɕio7	
趾	tsʰɿ3	
躍	iaɤ5	
跌	tʰie7	
跑	pʰaɤ3	
跛	pae1	
距	tɕy5	
跟	kən1	
跨	kʰua5	
跪	kuei5	
路	nu5	
跳	tʰiaɤ5	
踐	tɕiæ̃3	
踊	ioŋ3	
踏	tʰæ7	
踢	tʰie7	
踩	tsʰae3	
蹤	tsoŋ1	
踮	tiæ̃5	
踱	tuɵ7	
蹄	tʰi2	
蹈	taɤ5	
躡	ȵie7	
蹭	tsʰən5	
躥	tsʰuaɹ̃5	
躁	tsʰaɤ5	
身	sən1	
躬	koŋ1	
躬	tɕioŋ1	口
軀	tɕʰy1	
躱	to3	
躺	tʰaɣ̃3	
車	tɕy1	
車	tsʰei1	
軋	ia5	
軌	kuei3	
軒	ɕyæ̃1	
轉	tsuaɹ̃3	
輪	nən2	
軟	zuaɹ̃3	
轟	xoŋ1	
軸	tsuɵ7	
輕	tɕʰin1	
載	tsae5	
轎	tɕiaɤ5	
較	tɕiaɤ5	
輔	fuᶹ3	
輛	niaɣ̃5	
輦	ȵiæ̃3	
輩	pei5	
輝	xuei1	
輻	fɵ7	
輯	tɕie7	
輸	su1	
轅	yæ̃2	
轄	ɕiæ7	
轍	tsæ7	
辛	ɕin1	
辜	ku1	
辭	tsʰɿ2	
辟	pʰie7	
辣	næ7	
辨	piæ̃5	
辯	piæ̃5	
辮	piæ̃5	
辰	sən2	
辱	zu3	
邊	piæ̃1	
遼	niaɤ2	
達	tæ7	
遷	tɕʰiæ̃1	
迂	y1	
迅	ɕyn5	
過	ko5	
邁	mae5	
迎	in2	
運	yn5	
近	tɕin5	
還	xuaɹ̃2	
還	xae2-	~有
進	tɕin5	
遠	yæ̃3	
違	uei2	
連	niæ̃2	
遲	tsʰɿ2	
迫	pʰæ7	
迭	tie7	
述	su5	
迷	mi2	
迹	tɕie7	
追	tsuei1	
退	tei5	
送	soŋ5	
適	sɘ7	
逃	tʰaɤ2	
逆	ȵie7	
選	ɕyæ̃3	
遜	ɕyn5	
逍	ɕiaɤ1	
透	tʰəu5	
逐	tsuɵ7	
遞	ti5	
途	tʰu2	
逗	təu5	
通	tʰoŋ1	
逝	sɿ5	
逞	tsʰən3	
速	ɕio7	
造	tsʰaɤ5	
逢	foŋ2	
逮	tae3	
逵	kʰuei2	
逼	pi1	
逼	pie7	
逾	y5	
遂	ɕy5	
遇	y5	
遍	pʰiæ̃5	
遐	ɕia2	
道	taɤ5	
遺	i2	
遢	tʰæ7	
遣	tɕʰiæ̃3	
遥	iaɤ2	
遭	tsaɤ1	
遮	tsei1	
遵	tsən1	
避	pi5	
邀	iaɤ1	
邑	ie7	
鄧	tən5	
那	næ7	
邦	paɣ̃1	
邪	ɕi2	
郵	iəu2	
邵	saɤ5	
鄒	tsəu1	
鄰	nin2	
郁	io7	
郊	tɕiaɤ1	
郎	naɣ̃2	
鄭	tsən5	
郝	xaɤ3	
郡	tɕyn3	
郡	tɕyn5	
部	pu5	
郭	kuɵ7	
郭	kuæ7	
都	tu1	
都	təu1	
鄙	pʰi3	
酉	iəu3	
酌	tsuɵ7	
配	pʰei5	
酒	tɕiəu3	
醞	uən1	
酣	kaɹ̃1	
酥	su1	
酪	nuɵ7	
酬	tsʰəu2	
醬	tɕiaɣ̃5	
酵	ɕiaɤ5	
酷	kuɵ7	
酸	suaɹ̃1	
釀	zaɣ̃3	
釀	niaɣ̃5	
醉	tsuei5	
醋	tsʰu5	
醒	ɕin3	
采	tsʰae3	
釉	iəu5	
釋	sɘ7	
里	ni3	
重	tsʰoŋ2	
重	tsoŋ5	
野	i3	
量	niaɣ̃5	
金	tɕin1	
釜	fuᶹ3	
鑑	tɕiæ̃5	
鋭	zuei5	
針	tsən1	
釘	tin1	
釘	tin5	
釣	tiaɤ5	
釵	tsʰae1	
鈍	tən5	
鈔	tsʰaɤ1	
钟	tsoŋ1	
鋼	kaɣ̃1	
鑰	io7	
欽	tɕʰin1	
鈞	tɕyn1	
鉤	kəu1	
鈀	pʰa2	
錢	tɕʰiæ̃2	
鉗	tɕʰiæ̃2	
鉢	pɵ7	
鑽	tsuaɹ̃1	
鑽	tsuaɹ̃5	
鐵	tʰie7	
鈴	nin2	
鉛	tɕʰiæ̃1	
鉛	yæ̃2	
鐸	tuɵ7	
銬	kʰaɤ3	
銅	tʰoŋ2	
鍘	tsʰæ7	
鏵	xua2	
銘	min2	
鉸	tɕiaɤ3	
鏟	tsʰuaɹ̃3	
銀	in2	
鑄	tsu5	
鑄	taɤ5	俗
鋪	pʰu1	~设、床~
鋪	pʰu5	店~
鏈	niæ̃2	
銷	ɕiaɤ1	
鎖	so3	
鋤	tsʰu2	
鍋	ko1	
鏽	ɕiəu5	
銼	tsʰo5	
鋒	foŋ1	
鐧	tɕiæ̃1	
錯	tsʰo5	
錨	maɤ2	
錫	ɕie7	
錮	ku5	
鑼	no2	
錘	tsʰuei2	
錐	tsuei1	
錦	tɕin3	
錠	tin5	
鍵	tɕiæ̃5	
鋸	tɕy5	
鍬	tɕʰiəu1	
鍛	taɹ̃5	
鍍	tu5	
鎮	tsən5	
鑷	ȵie7	
鏡	tɕin5	
鐐	niaɤ5	
鐲	tsuɵ7	
鐮	niæ̃2	
鑲	ɕiaɣ̃1	
長	tsʰaɣ̃2	
長	tsaɣ̃3	
門	mən2	
閂	suaɹ̃1	
閃	saɹ̃3	
閉	pi5	
問	uən5	
闖	tsʰuaɣ̃3	
閏	zuən5	
闲	xaɹ̃2-	
闲	ɕiæ̃2	
間	kaɹ̃1-	
間	tɕiæ̃1	
間	tɕiæ̃5	~断
悶	mən5	
閘	tsæ7	
鬧	naɤ5	
閨	kuei1	
聞	uən2	
閩	min3	
閣	kɤ7	
鬮	tɕiəu1	
閲	io7	
閹	iæ̃1	
閻	ȵiæ̃2	
闊	kʰuæ7	
隊	tuei5	
阮	zuaɹ̃3	
防	faɣ̃2	
陽	iaɣ̃2	
陰	in1	
陣	tsən5	
階	kae1	
階	tɕiæɛ1	
阻	tsu3	
阿	a1	
附	fuᶹ5	
際	tɕi5	
陸	nuɵ7	
陳	tsʰən2	
陋	nəu5	
陌	pæ7	
陌	mæ7	
降	tɕiaɣ̃5	
降	ɕiaɣ̃5	
限	ɕiæ̃5	
陝	saɹ̃3	
陛	pi5	
陛	pei5	
陡	təu3	
院	yæ̃5	
除	tsʰu2	
險	ɕiæ̃3	
陪	pʰei2	
陵	nin2	
陶	tʰaɤ2	
陷	ɕiæ̃5	
隆	noŋ2	
隨	suei2	
隱	in3	
隔	kæ7	
隘	ie7	
隙	ɕie7	
障	tsaɣ̃5	
難	naɹ̃5	
雀	tɕʰio7	
雁	iæ̃5	
雄	ɕioŋ2	
雅	ia3	
集	tɕie7	
雇	ku5	
雉	tsɿ5	
雌	tsʰɿ2	
雍	ioŋ1	
雕	tiaɤ1	
雨	y3	
雪	ɕio7	
雪	ɕye7	
零	nin2	
雷	nei2	
雹	paɤ1	
霧	vuᶹ5	
需	ɕy1	
霄	ɕiaɤ1	
震	tsən3	
黴	mei2	
霍	xɤ7	
霜	suaɣ̃1	
霞	ɕia2	
露	nəu5-	
露	nu5=	
青	tɕʰin1	
靖	tɕin5	
靜	tɕin5	
非	fei1	
靠	kʰaɤ5	
靡	mi2	
面	miæ̃5	
革	kæ7	
靴	ɕy1	
鞋	xae2	
鞍	ŋaɹ̃1	
鞭	piæ̃1	
韌	zən3	
韓	xaɹ̃2	
韭	tɕiəu3	
音	in1	
韻	yn5	
韶	saɤ5	
頁	ie7	
頂	tin3	
頃	tɕʰyn1	
頃	tɕʰyn3	
項	xaɣ̃5	
順	suən5	
须	ɕy1	
頑	uaɹ̃3	
顧	ku5	
頓	tən5	
頒	paɹ̃1	
頌	soŋ5	
預	y5	
領	nin3	
頸	tɕin3	
頻	pʰin2	
穎	in3	
顆	kʰo3	
顆	kʰɤ3	
題	tʰi2	
顔	iæ̃2	
額	ŋæ7	
顛	tiæ̃1	
顫	tsaɹ̃5	
風	foŋ1	
颼	səu1	
飄	pʰiaɤ1	
飛	fei1	
食	sɘ7	
餐	tsʰaɹ̃1	
饥	tɕi1	
飯	faɹ̃5	
飲	in3	
飾	sɿ5	
飽	paɤ3	
飼	sɿ5	
餌	ɚ3	
饒	zaɤ2	
餉	ɕiaɣ̃3	
餃	tɕiaɤ3	
餅	pin3	
餓	o5	
餛	xuən5	
餡	ɕiæ̃5	
館	kuaɹ̃3	
餿	səu1	
餾	niəu2	
饅	maɹ̃2	
首	səu3	
香	ɕiaɣ̃1	
馨	ɕin1	
馬	ma3	
馱	tʰo2	
馴	ɕyn5	
馳	tsʰɿ2	
驅	tɕʰy1	
駁	pɵ7	
驢	ny2	
駛	sɿ5	
駒	tɕy1	
駐	tsu5	
駝	tʰo2	
駕	tɕia3	
駡	ma5	
驕	tɕiaɤ1	
駱	nuɵ7	
駭	xae5	
騎	tɕʰi2	
騙	pʰiæ̃5	
騷	saɤ1	
騾	no2	
驟	tsʰəu5	
骨	kuɵ7	
骼	kæ7	
髓	suei5	
高	kaɤ1	
髻	tɕi5	
鬃	tsoŋ1	
鬢	pin5	
鬼	kuei3	
魂	xuən2	
魄	pʰæ7	
魘	iæ̃3	
魏	uei5	
魔	mo2	
魚	y2	
魯	nu3	
鮑	paɤ5	
鮮	ɕyæ̃1	
鯉	ni3	
鯽	tɕie7	
鯨	tɕin1	
鰓	sae1	
鰍	tɕʰiəu1	
鰾	pʰiaɤ5	
鱉	pie7	
鰻	maɹ̃5	
鱖	kuei5	
鱗	nin2	
鳥	ȵiaɤ3	
鳩	tɕiəu1	
雞	tɕi1	
鳴	min2	
鴉	ia1	
鴨	iæ7	
鴿	kɤ7	
鴻	xoŋ2	
鵝	o2	
鵡	vuᶹ3	
鵲	tɕʰio7	
鶴	xɤ7	
鸚	ŋən1-	
鸚	in1	
鷺	nu5	
鷹	in1	
鹿	nuɵ7	
麥	mæ7	
麩	fuᶹ1	
麻	ma2	
麾	xuei1	
黃	xuaɣ̃2	
黎	ni2	
黏	ȵiæ̃2	
黑	xæ7	
默	mæ7	
鼎	tin3	
鼓	ku3	
鼠	su3	
鼻	pie7	
齊	tɕʰi2	
齒	tsʰɿ3	
齡	nin5	
龍	noŋ2	
龔	koŋ1	
龕	kʰaɹ̃1	
龜	kuei1	
𤆵	pʰa1	软,糖~
