#漢字	音標	解釋
□	tsiɛ1	撕
冗	leŋ2	
寫	sia3	
軍	kuin1	
農	neŋ2	
冠	kuon5a	
冢	tʂeŋ3	
冤	uiɛn1	
冬	teŋ1	
馮	xeŋ2	
冰	pin1	
冲	deŋ1	
决	kuɛ7	
冷	laŋ2-	
冷	leŋ3=	
凍	teŋ5a	
淨	dziŋ3	
准	tsen3	
凉	diɔŋ2	
凌	liŋ2	
減	kan3	
湊	dzɛu5b	
凝	ȵiŋ2	
几	tɕi1	
几	tɕi3	
鳳	xeŋ6	
凱	ɡai7	
凳	deŋ5a	
凶	ɕiŋ1	
出	du5b	
擊	tɕi7	
函	xon2	
鑿	dzau7	
刀	tau1	
刁	tiau1	
刃	len6	
分	fen1	
切	dziɛ5b	
刊	ɡon1	
刎	uen3	
刑	ɕiŋ2	
划	fa2	～船
划	fa6	计～
列	diɛ5b	
劉	diu2	
則	tsɛ7	
剛	kɔŋ1	
創	dzɔŋ5b	
初	dzu1	
刪	san1	
判	bon5b	
刨	bau2	
利	di6	
别	iɛ6	
刮	kua7	
到	tau5a	
制	tʂʅ5a	
刷	so7	
券	ɡuiɛn5b	
刺	dzɿ5a	
刻	ɡɛ5b	
劊	kuai5b	
剁	to5a	
劑	dʑi5a	
剃	di5a	
削	sio7	
前	dziɛn2	
剮	kua3	
劍	tɕiɛn7	
剔	di5b	
剖	bo1	
剜	uon3	
剝	po7	
劇	kuei5a	
剩	ʂeŋ6	
剪	tsiɛn3	
副	fu5a	
割	ko7	
剿	tɕiau3	
劈	bi5b	
力	di7	
勸	ɡuiɛn5b	
辦	ban6	
功	keŋ1	
加	ka1	
務	u5a	
劣	diɛ5b	
動	deŋ6	
助	dʐu2	
努	nu3	
劫	tɕiɛ7	
勵	di5a	
勁	tɕin5a	
勞	lau2	
勢	ʂʅ5a	
勃	bo7	
勇	iŋ3	
勉	miɛn3	
勋	fin1	
勒	dia7	
勘	ɡan1	
募	mu5a	
勤	dʑin2	
勺	ʂo7	
勾	kɛu1	
勿	uɛ7	
勻	uin1	
包	pau1	
化	fa5a	
北	pɛ7	
匙	ʂʅ2	
匠	dʑiɔŋ5a	
匡	ɡuɔŋ1	
匣	ɡa7	
匪	fei3	
匹	pi5b	
區	ɡuei1	
医	i1	
匾	piɛn3	
匿	ȵi7	
十	ʂɛ6	
千	dʑiɛn1	
升	ʂeŋ1	
午	u3	
半	pon5a	
華	xua2	中～
華	fa6	～山
協	ɕiɛ6	
卑	pi1	
卒	tsu7	
卓	tso7	
單	tan1	
賣	mai6	
南	non2	
博	po7	
卜	pu3	
占	tʂɛn1	～卜
占	tʂɛn5a	～领
盧	lu2	
卤	lu3	
卦	kua5a	
臥	uo6	
衛	uei6	
卯	mau3	
印	in5a	
危	uei2	
即	tɕi5a	
卵	lon3	
卷	kuiɛn3	～起
卷	kuiɛn5a	～子
卸	ɕia2	
卿	dʑiŋ1	
厂	dɔŋ3	
廳	diaŋ1	
历	li7	
厲	di6	
壓	ŋa7	
厭	iɛn5a	
廁	dzɛ5b	
厘	di2	
厚	xɛu6	
原	ȵiɛn2	
廂	ɕiɔŋ1	
厦	xa3	～门
厦	sa5a	
廚	du2	
厮	sɿ1	
去	dʑiɛ5a	
縣	ɕiɛn6	
参	sen1	人～
参	dzon1	～加
又	iu6	
叉	dza1	
及	dʑi6	
友	iu3	
雙	sɔŋ1	
反	fan3	
发	fa1	头～
发	fa7	～现
叔	ʂu7	
取	dzi3	
受	ʂeu6	
變	piɛn5a	
敘	sei5a	
叛	bon2	
叟	sɛu3	
疊	diɛ2	
口	ɡɛu3	
古	ku3	
句	kuei5a	
另	diaŋ6-	
另	diŋ6=	
叨	tau1	
叩	ɡo5b	
只	tʂʅ3	
只	tʂa7	
叫	tɕiau5a	
召	dʐau1	
可	ɡo3	
台	dai2	
史	sɿ3	
右	iu6	
叶	iɛ6	
号	xau6	
司	sɿ1	
叹	dan5b	
吁	uei1	
吃	dʑia5b	
各	ko7	
吆	iau1	
合	xo6	
吉	tɕi7	
吊	tiau5a	
同	deŋ2	
名	miaŋ2-	
名	miŋ2=	
名	kɛ5a	
后	xɛu6	
吏	di2	
吐	du3	
向	ɕiɔŋ5a	
吓	xɛ7	恐～
吓	xa5a	
吕	di3	
君	kuin1	
吝	din6	
吞	den1	
吟	in2	
吠	fei5a	
含	xon2	
听	diaŋ1	
启	dzi3	
吴	u2	
吵	dzau3	
吸	ɕi7	
吹	du1	
吻	uen3	
吾	u2	
呆	tai1	
呈	dzeŋ2	
告	kau5a	
嘔	ɛu1	
員	uiɛn2	
周	tʂeu1	
味	uei6	
呼	fu1	
命	miaŋ6-	
命	miŋ6=	
和	xo2	
咎	dʑiu6	
咏	iŋ3	
咒	tʂeu5a	
咨	tsɿ1	
咬	ŋau3	
咳	ɡo5b	
咸	xan2	
咽	iɛn5a	
哀	ŋai1	
品	bin3	
哄	xeŋ3	～骗
哄	xeŋ5a	～哄
響	ɕiɔŋ3	
啞	ŋa3	
哥	ko1	
哪	na3	
哭	ɡu5b	
哲	tʂɛ7	
哽	keŋ3	
唆	so1	
唇	ʂen2	
唐	dɔŋ2	
嘮	lau1	
喚	fuon6	
售	ʂeu5a	
唯	uei2	
唱	dʐɔŋ5b	
唾	do5b	
啃	ɡen3	
啄	tso7	
商	ʂɔŋ1	
囉	lo1	
啼	di2	
喂	uei5a	
善	sɛn6	
喉	xɛu2	
喊	xan3	
喘	dʐɛn3	
喜	ɕi3	
喝	xo7	
喧	ɕiɛn1	
噴	ben1	～水
噴	ben5b	～香
喻	uei6	
嗅	ɕiu5a	
嗅	ɕiŋ5a	
嗓	sɔŋ3	
嗜	ʂʅ5a	
嗣	dzɿ6	
嗤	dʐʅ1	
嗽	sɛu5a	
嘉	tɕia1	
噓	ɕi1	
囑	tʂu7	
嘴	tsei3	
噎	iɛ7	
器	dʑi5a	
囂	ɕiau1	
嚷	lɔŋ3	
嚼	dʑio7	
囊	nɔŋ2	
囚	dʑiu2	
四	sɿ5a	
回	fei2	
因	in1	
团	don2	
囤	den2	
园	uiɛn2	
困	ɡuen5b	
囱	dzeŋ1	
圍	uei2	
固	ku5a	
國	kuɛ7	
圖	du2	
圓	uiɛn2	
圈	ɡuiɛn1	～圆
圈	ɡuiɛn3	猪～
土	du3	
圣	ʂeŋ5a	
在	dzai6	
圭	kuei1	
地	di6	
場	dʐɔŋ2	
址	tʂʅ3	
均	kuin1	
坍	dan1	
坎	ɡon3	
坏	fai6	
坐	dzo6	
坑	ɡaŋ1	
块	ɡuai5b	
堅	tɕiɛn1	
坛	dan2	
壩	pa7	
塢	u1	
墳	fen2	
墜	tʂuei5a	
坡	bo1	
坤	ɡuen1	
坦	dan3	
坪	biaŋ2	
坯	bi1	
坳	ŋau5a	
垂	dʐʅ2	
壠	leŋ2	
型	ɕiŋ2	
垒	di3	
垦	ɡen3	
墊	diɛn6	
垮	ɡua3	
埂	keŋ3	
埃	ŋai1	
埋	mai2	
城	deŋ7	
域	uei7	
埠	fu5a	
培	bi2	
基	tɕi1	
堂	dɔŋ2	
堆	ti1	
堡	pau3	
堤	ti1	
堪	ɡon1	
堰	iɛn5a	
堵	tu3	
塌	da5b	
塍	ɡeŋ3	
塑	so5a	
塔	da5b	
塘	dɔŋ2	
塞	sɛ7	
填	diɛn2	
境	tsiaŋ3	
墓	mu5a	
牆	dʑiɔŋ2	
增	tseŋ1	
墟	ɕi1	
墨	mɛ7	
墩	ten1	
壁	pia7	
壤	lɔŋ3	
壩	pa7	
士	sɿ6	
壬	len1	
壯	tsɔŋ5a	
聲	saŋ1	
殼	ɡo5b	
壺	fu2	
處	dzu3	
備	bi6	
复	fu5a	
夏	xa6	姓氏
夏	xa6	春～
夕	si1	
外	ŋai6-	
外	uai6=	
多	to1	
夜	ia6	
够	kɛu5a	
大	dai6	～小
大	dai6	～夫
天	diɛn1	
太	dai5b	
夫	fu1	
央	iɔŋ1	
失	ʂʅ7	
頭	dɛu2	
夷	i2	
夾	ka7	
奪	do6	
奇	dʑi2	
奈	nai6	
奋	fen5a	
奏	tsɛu5a	
契	dʑi5a	
奔	pen1	～跑
奔	pen5a	～着
獎	tsiɔŋ3	
套	dau5b	
奚	si1	
奠	diɛn6	
奢	ʂa1	
奧	ŋau5a	
女	ȵi3	
奴	nu2	
奶	nai1	
奸	kan1	
好	xau3	～坏
好	xau5a	喜～
如	lu2	
妃	fei1	
妄	uɔŋ6	
婦	fu6	
媽	ma1	
妒	tu5a	
妓	dʑi5a	
妖	iau1	
妗	dʑiu6	
妙	miau6	
妥	do3	
妹	mi6	
妻	dzi1	
妾	dʑiɛ5b	
姆	m̩1	
姊	tsɿ3	
始	ʂʅ3	
姐	tsia3	
姑	ku1	
姓	siŋ5a	
委	uei3	
姘	biŋ1	
姚	iau2	
姜	tɕiɔŋ1	
姨	i2	
姻	in1	
威	uei1	
嬌	tɕiau1	
娘	ȵiɔŋ2	
娠	ʂen2	
娩	miɛn3	
娛	uei2	
娶	dziɛ3	
婆	bo2	
婚	fuen1	
婢	bi2	
嬰	iŋ1	
嬸	ʂen3	
婿	si5a	
媒	mi2	
媚	mi5a	
媳	ɕi7	
嫁	ka5a	
嫂	sau3	
嫌	ɕiɛn2	
嫖	biau2	
嫡	di7	
嫩	nen6	
嬉	si1	
孀	sɔŋ1	
子	tsɿ3	
孔	ɡeŋ3	
孕	uin6	
字	dzɿ6	
存	dzen2	
孫	sen1	
孝	ɕiau5a	
孟	meŋ3	
季	tɕi5a	
孤	ku1	
學	xo6-	
學	ɕio6=	
孩	xai2	
孵	fu1	
孽	ȵiɛ7	
宁	ȵiŋ6	～可
宁	ȵiŋ7	～宁
宅	dzɛ7	
宇	uei3	
守	ʂeu3	
安	ŋon1	
宋	seŋ5a	
完	uon2	
宏	xeŋ2	
宕	dɔŋ5a	
宗	tseŋ1	
官	kuon1	
宙	dʐeu5a	
定	diaŋ6	
宛	uan3	
宜	i2	
寶	pau3	
實	ʂɛ6	
寵	dzeŋ3	
審	ʂen3	
客	ɡɛ5b	
宣	siɛn1	
室	ʂʅ7	
宦	fan6	
宪	ɕiɛn5a	
宮	keŋ1	
宰	tsai3	
害	xai6	
宴	iɛn5a	
宵	siau1	
家	ka1	
容	iŋ2	
寬	ɡuon1	
賓	pin1	
宿	siu7	～舍
宿	siu5a	星～
寂	dʑi7	
寄	tɕi5a	
寅	in2	
密	mi7	
寇	ɡɛu5b	
富	fu5a	
寐	mi5a	
寒	xon2	
寓	uei6	
寢	dzin3	
寞	mo7	
察	dza5b	
寡	kua3	
寥	diau3	
寨	tsai5a	
寸	dzen5b	
對	ti5a	
寺	dzɿ6	
尋	sin2	
壽	ʂeu6	
封	xeŋ1	
射	ʂa6	
將	tsiɔŋ1	～来
將	tsiɔŋ5a	大～
尊	tsen1	
小	siau3	
少	ʂau3	多～
少	ʂau5a	～年
尔	ɛ3	
尖	tsiɛn1	
尘	dʐen2	
尚	ʂɔŋ3	
尝	ʂɔŋ2	
尤	iu2	
堯	iau2	
尬	ka5a	
就	dʐiu6	
尷	kon1	
尸	ʂʅ1	
尹	in3	
尺	da5b	
尼	ȵi2	
尽	tsin3	～管
尽	dzin5a	～头
尾	mi3	
尾	uei5a=	
尿	ȵiau6	
局	dʑio6	
屁	bi5a	
層	dzeŋ2	
居	kuei1	
屈	ɡuei1	
屉	di5a	
屆	kai5a	
屋	u7	
屎	ʂʅ3	
屏	biŋ2	
屐	dʑi1	
屑	ɕiɛ7	
展	tʂɛn3	
屬	ʂo6	
屠	du2	
屢	di3	
履	di3	
屯	den2	
山	san1	
歲	si5a	
豈	dʑi3	
岔	dza2	
崗	kɔŋ3	
島	tau3	
岭	diaŋ3	
岳	uɛ7	
岸	ŋon6	
峽	sia7	
峯	xeŋ1	
崇	dzeŋ2	
崔	dzi1	
崖	ŋa2	
崩	peŋ1	
嵌	dʑiɛn2	
嵩	seŋ1	
川	dʐɛn1	
州	tʂeu1	
巡	sin2	
巢	dzau2	
工	keŋ1	
左	tso3	
巧	dʑiau3	
巨	ɡuei5a	
巩	keŋ3	
巫	u1	
差	dzɿ1	参～
差	dza1	～别
差	dzai1	～事
己	tɕi3	
已	i3	
巳	sɿ6	
巴	pa1	
巷	xɔŋ6	
巾	tɕin1	
幣	bi6	
市	ʂʅ6	
布	pu5a	
帥	sai5a	
帆	fan1	
師	sɿ1	
希	ɕi1	
帳	tʂɔŋ5a	
帕	ba5b	
帖	diɛ5b	
帘	diɛn2	
帚	tʂeu3	
帛	bɛ6	
帝	ti2	
帶	tai5a	
席	si6	
幫	pɔŋ1	
常	dʐɔŋ2	
帽	mau6	
幅	fu5a	
幔	mon6	
幕	mu7	
干	kon1	～湿
干	kon5a	～活
平	biaŋ2-	
平	biŋ2=	
年	ȵiɛn2	
幸	siŋ6	
幺	iau1	
幻	fon6	
幼	iu5a	
幽	iu1	
广	kuɔŋ3	
庄	tsɔŋ1	
慶	dʑiŋ5b	
庇	pi5a	
牀	dzɔŋ2	
序	sei5a	
廬	lu2	
庫	ɡu5a	
應	iŋ1	～该
應	iŋ5a	～对
底	ti3	
店	tiɛn5a	
廟	miau6	
庚	keŋ1	
府	fu3	
龐	bɔŋ2	
廢	fei5a	
度	du6	
座	dzo6	
庭	diŋ2	
庵	ŋon1	
庶	ʂu5a	
康	ɡɔŋ1	
庸	iŋ1	
廉	diɛn2	
廊	lɔŋ2	
廓	ɡuo5a	
廖	diau6	
延	ŋan2-	
延	iɛn2=	
廷	diŋ2	
建	tɕiɛn5a	
開	ɡai1	
异	i5a	
弃	dʑi5a	
弄	leŋ6	
式	ʂʅ7	
弓	keŋ1	
引	in3	
弘	xeŋ2	
弟	di6	
張	tʂɔŋ1	
弥	mi2	
弦	fiɛn2	
彎	uan1	
弱	lo7	
彈	dan2	
彈	dan6	
强	dʑiɔŋ2	～大
强	dʑiɔŋ5a	倔～
弼	bi5a	
歸	kuei1	
當	tɔŋ1	～时
當	tɔŋ5a	典～
录	lu7	
形	ɕiŋ2	
彩	dzai3	
彪	biau1	
彬	pin1	
彭	beŋ2	
影	iaŋ3-	
影	iŋ3=	
役	i7	
彼	pi3	
往	uɔŋ3	
征	tʂeŋ1	
徑	tɕiaŋ5a	
待	dai6	
很	xen3	
律	di5b	
徐	dzi2	
徒	du2	
得	tɛ7	
徙	ɕi3	
徛	dʑi6	
御	uei6	
循	sin2	
微	uei1	
德	tɛ7	
徹	dɛ5b	
徽	fei1	
心	sin1	
必	pi5a	
憶	i7	
忌	tɕi5a	
忍	ȵin3	
忖	dzen5b	
志	tʂʅ5a	
忘	uɔŋ6	
忙	mɔŋ2	
忠	tʂeŋ1	
忧	iu1	
快	ɡuai5b	
念	ȵiɛn6	
忽	fu1	
忿	fen5a	
怀	fuai2	
態	dai5b	
慫	seŋ2	
慪	ɛu5a	
怒	nu5a	
怕	ba5b	
怖	bu5b	
怜	diɛn2	
思	sɿ1	
怠	dai6	
急	tɕi3	
性	siŋ5a	
怨	uan3	
怪	kuai5a	
怯	dʑiɛ5b	
怱	dzeŋ1	
恃	ʂʅ5a	
戀	diɛn6	
恐	ɡeŋ3	
恆	xeŋ2	
恕	ʂu5a	
恢	fei1	
恤	si7	
恨	xen6	
恩	ŋen1	
恭	keŋ1	
息	si7	
恰	dʑia5b	
懇	ɡen3	
恶	ŋo7	
恶	u5a	
惱	nau3	
悄	dziau1	
悉	si1	
悔	fei3	
悟	u5a	
悠	iu1	
患	fan6	
悅	uɛ7	
懸	fiɛn2	
憫	min3	
悲	pi1	
情	dziŋ2	
惑	fɛ6	
惜	si7	
惟	uei2	
惠	fei5a	
慘	dzan3	
懲	dʐen3	
慚	dzan2	
慣	kuan5a	
惰	do6	
想	siɔŋ3	
惹	la3	
愁	dzɛu2	
愈	uei3	
愉	uei2	
意	i5a	
愚	uei2	
感	kon3	
憤	fen5a	
愧	kuei5a	
愿	ȵiɛn3	
慈	dzɿ2	
慌	fɔŋ1	
慎	ʂen5a	
慕	mu5a	
慢	man6	
慧	fei5a	
慨	ɡai7	
慰	uei6	
慷	ɡɔŋ1	
憋	iɛ1	
憎	tseŋ5a	
憨	xon1	
憾	xon5a	
懂	teŋ3	
懈	siɛ5a	
懊	ŋau5a	
懶	lan3	
懵	meŋ1	
戈	ko1	
戊	u5a	
戌	si1	
戍	ʂu1	
戎	leŋ2	
戲	ɕi5a	
成	dʐeŋ2	
我	ŋo3	
戒	kai5a	
或	fɛ6	
戰	tʂɛn5a	
戚	dzi5b	
截	dziɛ6	
戳	dzo1	
戴	tai5a	
戶	fu6	
房	fɔŋ2	
所	so3	
扁	piɛn3	
扇	sɛn1	名
扇	sɛn5a	动
手	ʂeu3	
才	dzai2	
扎	tsa7	
扑	bu1	
打	ta3	
扔	leŋ1	
托	do5b	
扣	ɡɛu5b	
執	tʂʅ7	
擴	ɡuo5b	
掃	sau3	～地
掃	sau5a	～帚
揚	iɔŋ2	
扭	ȵiu3	
扮	pan6	
扯	da3	
扰	lau3	
扳	pan1	
扶	fu7	
批	bi1	
扼	ŋo7	
扽	tsen1	
找	tsau3	
承	dʐeŋ2	
技	dʑi5a	
抄	tsau1	
把	pa3	
抑	i7	
抓	tsa1	
投	dɛu2	
抖	tɛu3	
抗	ɡɔŋ5b	
折	ʂɛ6	
折	tsɛ7	
撫	fu3	
抛	bau1	
摳	ɡɛu1	
搶	dziɔŋ3	
護	fu5a	
報	pau5a	
披	bi1	
抬	dai2	
抱	bau6	
抵	ti3	
抹	mo7	
押	ŋa7	
抽	dʐeu1	
抿	min3	
拄	tʂu3	
拆	dzɛ5b	
拇	mu3	
拈	ȵiɛn1	
拉	la1	
拌	bon6	
拍	ba5b	
拎	diaŋ1	
拐	kuai3	
拒	ɡuei5a	
拓	da5b	
拔	ba6	
拖	do1	
拘	kuei1	
招	tʂau1	
拜	pai5a	
擬	ȵi3	
攏	leŋ3	
揀	kan3	
擁	iŋ1	
攔	lan2	
撥	po7	
擇	dzɛ7	
括	kuo7	
拯	tʂen3	
拱	keŋ3	
拳	ɡuiɛn2	
拼	biaŋ1-	
拼	biŋ1=	
拾	ʂɛ6	
拿	la2	
持	dʐʅ2	
挂	kua5a	
指	tsɿ3	
按	ŋon5a	
挑	diau1	
挖	ua7	
撓	nau2	
擋	tɔŋ3	
擠	tsi3	
揮	fei1	
挨	ŋai1	
挪	no7	
振	tʂen5a	
挺	diŋ3	
挽	uan3	
捅	deŋ3	
捆	ɡuen3	
捉	tso7	
捎	sau1	
捏	ȵiɛ7	
捐	ɡuiɛn1	
捕	bu3	
撈	lau1	
損	sen3	
換	uon6	
捧	beŋ3	
据	kuei5a	
捱	ŋai2	
捷	dʑiɛ7	
捺	na5b	
掀	siɛn1	
掂	tiɛn1	
授	ʂeu6	
掉	diau5a	
掌	tʂɔŋ3	
掏	dau1	
掐	ɡa5b	
排	bai2	
掘	dʑuɛ7	
掠	diɛ5b	
探	dan5b	
接	tsiɛ7	
控	ɡeŋ5b	
推	di1	
掩	iɛn3	
措	dzo5a	
掭	diɛn1	
擲	dʐʅ7	
撣	tan3	
揉	lɛu2	
描	miau2	
提	dia2	
插	dza5b	
揖	i7	
揞	ŋon5a	
握	uo7	
揢	ɡa1	
揩	ɡai1	
揫	tɕiu1	
揭	tɕiɛ7	
援	uiɛn2	
攬	lan3	
攙	dzan1	
擱	ko7	
摟	lɛu3	
攪	tɕiau3	
搊	dzɛu1	
搓	dzo1	
搛	ka1	
搜	sɛu1	
搞	kau3	
搡	dzeŋ3	
搬	pon1	
搭	ta7	
携	siɛ2	
搽	dza2	
攝	ʂɛ7	
摆	pai3	
摇	iau2	
攤	dan1	
摔	sai1	
摘	tsa7	
摞	lɔ6	
摩	mo2	
摸	mo7	
摹	mo2	
撅	dʑuɛ7	
撇	iɛ5b	
撑	dzaŋ1	
撒	sa7	
撚	ȵiɛn3	
撞	dzɔŋ6	
撤	dɛ5b	
撩	diau2	
撮	dzo5b	
撰	dzon2	
攆	ȵiɛn3	
撼	xon5a	
擀	kon3	
操	dzau1	
擎	dziŋ2	
擒	dʑin2	
擦	dza5b	
攀	ban1	
攋	lai6	
攢	tsan3	
攘	lɔŋ3	
支	tʂʅ1	
收	ʂeu1	
改	kai3	
攻	keŋ1	
放	fɔŋ5a	
政	tʂeŋ5a	
故	ku5a	
效	ɕiau6	
敌	di6	
敏	min3	
救	tɕiu5a	
教	kau5a-	
教	tɕiau5a=	
斂	diɛn3	
敝	bi5a	
敢	kon3	
散	san3	鞋带～了
散	san5a	分～
敦	ten1	
敬	tɕiŋ5a	
數	ʂu3	
數	ʂu5a	
敲	ɡau1	
整	tʂeŋ3	
敷	fu1	
文	uen2	
斋	tsai1	
斑	pan1	
斗	tɛu5a	
料	diau6	
斜	dʑia2	
斟	tʂen1	
斤	tɕin1	
斥	dʐʅ5b	
斧	fu3	
斬	tsan3	
斷	don6	
斯	sɿ1	
新	sin1	
方	fɔŋ1	
於	uei1	
施	ʂʅ1	
旁	bɔŋ2	
旅	di3	
旋	fiɛn2	
族	dzu6	
旗	dʑi2	
无	u2	
既	tɕi5a	
日	ɛ7-	
日	ȵi6=	
旦	tan5a	
舊	dʑiu6	
旨	tʂʅ3	
早	tsau3	
旬	sin2	
旱	xon6	
時	ʂʅ2	
曠	ɡuɔŋ5b	
旺	uɔŋ6	
昂	ŋɔŋ2	
昆	kuen1	
昌	dʐɔŋ1	
明	miaŋ2-	
明	miŋ2=	
昏	fuen1	
易	i7	
易	i5a	
昔	si1	
星	siŋ1	
映	iŋ5a	
春	den1	
昧	mi6	
昨	dzo7	
昭	tʂau1	
是	ʂʅ6	
顯	ɕiɛn3	
晃	fɔŋ3	
晉	tsin5a	
晌	ʂɔŋ3	
晏	ŋan5a	
曬	sai5a	
曉	ɕiau3	
暈	uin1	
晚	uan3	
晦	fei5a	
晨	ʂen2	
普	bu3	
景	tsiaŋ3	
晴	dʑiaŋ2	
晶	tsiŋ1	
智	tʂʅ5a	
暫	dzan6	
暇	ɕia2	
暑	ʂu3	
暖	non3	
暗	ŋon5a	
暮	mu6	
暴	bau6	
曝	bu7	
曩	nɔŋ2	
曰	uɛ1	
曲	dʑiu7	
更	keŋ1	三～
更	keŋ5a	～加
曹	dzau2	
曾	tseŋ1	姓氏
曾	dzeŋ2	～经
替	di5a	
最	tsi5a	
月	uɛ7	
有	iu3	
朋	beŋ2	
服	fu6	
朔	so7	
朗	lɔŋ3	
