#漢字	音標	解釋
淨	tɕiŋ5	
準	tʂuŋ2	
涼	liaŋ2	
凌	liŋ2	
減	tɕian2	
湊	tsʰou5	
凝	niŋ2	
凝	niŋ2	汤凝成冻了
几	tɕi1	几乎
几	tɕi2	几个
几	tɕi1	茶几
凡	fan2	
鳳	fɤŋ5	
凭	pʰiŋ2	
凱	kʰai2	
凳	tɤŋ5	
凶	ɕyŋ1	凶吉
凶	ɕyŋ1	凶恶
出	tʂʰu5	
擊	tɕi5	
函	xan2	
鑿	tsuo2	
刀	tau1	
刁	tiau1	
刃	ʐɤŋ5	
分	fɤŋ1	分开
切	tɕʰiɤ5	切开
刈	i5	
刊	kʰan1	
刎	vɤŋ1	
刑	ɕiŋ2	
划	xua5	
列	liɤ5	
劉	liou2	
則	tsɤ2	
剛	kaŋ1	
創	tʂʰuaŋ1	
初	tʂʰu1	
删	ʂan1	
判	pʰan5	
刨	pau5	
刨	pʰau2	刨地
利	li5	
别	piɤ2	区别
别	piɤ2	离别
刮	kua2	
到	tau5	
制	tʂʅ5	
刷	ʂua5	
券	tɕʰyan1	
刺	tsʰɿ5	
刻	kʰɤ5	时刻
刻	kʰɤ5	用刀刻
劊	kʰuai5	
刴	tuo5	
劑	tɕi2	一剂药，面剂子
剃	tʰi5	
削	ɕiau1	
前	tɕʰian2	
剮	kua2	
劍	tɕian5	
剔	tʰi5	
剖	pʰɤ5	
剜	van1	
剝	pɤ5	
劇	tɕy5	剧烈
劇	tɕy5	戏剧
剩	ʂɤŋ5	
剪	tɕian2	
副	fu5	
割	kɤ5	
剿	tɕiau2	
劈	pʰi5	
劐	xuo5	用刀劐开
力	li5	
勸	tɕʰyan5	
辦	pan5	
功	kuŋ1	
加	tɕia1	
務	vu5	
劣	liɤ5	
動	tuŋ5	
助	tʂu5	
努	nu2	
劫	tɕiɤ2	
勵	li5	
勁	tɕiŋ5	劲敌
勁	tɕiŋ5	有劲
勞	lau2	
勢	ʂʅ5	
勃	pɤ2	
勇	yŋ2	
勉	mian2	
勳	ɕyŋ1	
勒	lɤ5	
勘	kʰan1	勘误，勘探
募	mu5	
勤	tɕʰiŋ2	
勺	ʂuo2	勺子
勾	kou1	
勾	kou1	勾当
勿	vɤ5	
匀	yŋ2	
包	pau1	
化	xua5	
北	pei5	
匙	sɿ1	汤匙，钥匙
匠	tɕiaŋ5	
匡	kʰuaŋ1	
匣	ɕia2	箱匣
匪	fei1	
匹	pʰi1	一匹布，一匹马
區	tɕʰy1	区域
醫	i1	
匾	pian2	
匿	ni5	
十	ʂʅ2	
千	tɕʰian1	
