#漢字	音標	解釋
网	vaŋ2	
罕	xan2	
羅	luo2	
罰	fa2	
罷	pai5	
罩	tsau5	
罪	tsuei5	
置	tʂʅ5	
署	ʂu2	专署
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mei2	
羔	kau1	
羞	ɕiou1	
羡	ɕian5	
群	tɕʰyŋ2	
羹	kɤŋ1	
羽	y5	
翁	vɤŋ1	
翅	tʂʰʅ5	
翎	liŋ2	
翠	tsʰuei5	
翡	fei1	翡翠
翰	xan5	
翻	fan1	
翼	i5	
耀	iau2	
老	lau2	
考	kʰau2	
者	tʂɤ2	
而	ɚ2	
耍	ʂua2	
耐	nai5	
耕	kɤŋ1	
耗	xau5	
耙	pa5	犁耙，耙地
耬	lou2	播种用的农具
耩	kaŋ5	耩地
耳	ɚ2	
耶	iɤ1	
耻	tʂʰʅ2	
耽	tan1	
耿	kɤŋ2	
聶	ȵiɤ5	姓
聊	liau2	
聾	luŋ2	
職	tʂʅ2	
聒	kʰuo1	聒耳朵
聯	lian2	
聘	pʰiŋ1	
聚	tɕy5	
聰	tsʰuŋ1	
肅	ɕy5	
肆	sɿ5	
肉	ʐou5	
肋	lei5	
肌	tɕi1	
肘	tʂou2	
肚	tu5	腹肚
肚	tu5	鱼肚，猪肚
肝	kan1	
腸	tʂʰaŋ2	
股	ku2	
肢	tsɿ1	
膚	fu5	
肥	fei2	
肨	pʰaŋ5	肿
肩	tɕian1	
肪	faŋ2	脂肪
肯	kʰɤŋ2	
育	y5	
肴	iau2	
肺	fei5	
腎	ʂɤŋ5	
腫	tʂuŋ2	
脹	tʂaŋ5	
脅	ɕiɤ2	
胃	vei5	
膽	tan2	
背	pei1	
背	pei1	背诵
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰei1	胚胎
胛	tɕia2	肩胛
勝	ʂɤŋ5	胜任
勝	ʂɤŋ5	胜败
胞	pau1	
胡	xu2	
胳	kɤ5	胳臂
膠	tɕiau1	
胸	ɕyŋ1	
能	nɤŋ2	
脂	tsɿ1	
脆	tsʰuei5	
脉	mai5	
脊	tɕi5	
脏	tsaŋ1	不干净
臍	tɕʰi2	
腦	nau2	
膿	nuŋ2	
脚	tɕyɤ5	
脯	pʰu2	杏脯
脯	pʰu2	胸脯
脱	tʰuo1	
臉	lian2	
脾	pʰi2	
腆	tʰian2	腆肚子
臘	la5	
腋	iɤ5	
腌	a1	
腌	ian1	
腐	fu2	
腑	fu2	
腔	tɕʰiaŋ1	
腕	van1	
腥	ɕiŋ1	
腮	sai1	
腰	iau1	
腱	tɕian5	
腹	fu5	
膩	ȵi5	
騰	tʰɤŋ2	
腿	tʰuei2	
膏	kau1	
膏	kau5	膏车，膏油
膜	mɤ2	
膝	ɕi1	
膨	pʰɤŋ2	膨胀
膳	ʂan5	
膻	ʂan1	
臀	tʰuŋ2	
臂	pi5	
臊	sau5	臊气
臟	tsaŋ5	
臕	piau1	肥臕
臣	tʂʰɤŋ2	
自	tsɿ5	
臭	tʂʰou5	香臭
至	tʂʅ2	
致	tʂʅ5	
臻	tʂɤŋ1	
臼	tɕiou1	
舀	iau2	舀水
舂	tʂʰuɤŋ1	舂米
舅	tɕiou5	
舌	ʂɤ2	
舍	ʂɤ2	
舐	ʂʅ1	以舌取物
舒	ʂu1	
舔	tʰian2	以舌取物
舜	ʂuɤŋ5	
舞	vu2	
舟	tʂou1	
航	xaŋ2	
般	pan1	
艦	tɕian5	
舵	tʰuo2	
船	tʂʰuan2	
艇	tʰiŋ2	
良	liaŋ2	
艱	tɕian1	
色	sɤ5	
豔	ian5	
藝	i5	
艾	ai5	
節	tɕiɤ2	
芋	y5	
芍	ʂuo2	芍药花
芒	maŋ2	
芒	maŋ2	麦芒儿
芙	fu2	芙蓉
芝	tsɿ1	
芥	tɕiɤ1	
蘆	lu2	芦苇
芬	fɤŋ1	
芭	pa1	
芮	ʐuei5	姓
花	xua1	
芳	faŋ1	
芹	tɕʰiŋ2	
芽	ia2	
葦	vei2	芦苇
莧	ɕian5	苋菜
蒼	tsʰaŋ1	
苧	tʂu5	苎麻
苏	su1	
苔	tʰai1	舌苔，青苔
苗	miau2	
苟	kou1	
若	ʐuo5	
苦	kʰu2	
英	iŋ1	
苶	niɤ2	发苶
茂	mau5	
范	fan5	
茄	tɕʰiɤ2	茄子
茅	mau2	
莖	tɕiŋ1	
繭	tɕian2	
茫	maŋ2	
茬	tsʰa2	
茴	xuei2	茴香
茶	tsʰa2	
茸	ʐuŋ2	参茸
荀	ɕyŋ2	
荆	tɕiŋ1	
草	tsʰau2	
薦	tɕian5	
荒	xuaŋ1	
荔	li2	荔支
蕎	tɕʰiau2	
薺	tɕiɤ5	
蕩	taŋ5	放荡
榮	yŋ2	
葷	xuɤŋ1	
蔭	iŋ1	屋子很荫
藥	yɤ5	
荷	xɤ2	荷花
荷	xɤ2	薄荷
莠	iou5	
莫	mɤ5	
蓮	lian2	
获	xuo5	
鶯	iŋ1	
莽	maŋ2	
菊	tɕy2	
菌	tɕyŋ1	
菖	tʂʰaŋ1	菖蒲
菜	tsʰai5	
菠	pɤ1	菠菜
菢	pau5	菢小鸡
菩	pʰu2	菩萨
菱	liŋ2	
萄	tʰau2	
萌	mɤŋ2	
萍	pʰiŋ2	
萎	vei1	气萎，买卖萎
螢	iŋ2	
營	iŋ2	
蕭	ɕiau1	
薩	sa1	
落	luo5	
葚	ʂɤŋ5	桑葚
葛	kɤ5	
董	tuŋ2	
葬	tsaŋ5	
葱	tsʰuŋ1	
葵	kʰuei2	
蔣	tɕiaŋ2	
蒙	mɤŋ2	
蒜	suan5	
蒲	pʰu2	
蒸	tʂɤŋ1	
蒿	xau1	蓬蒿
蓄	ɕy5	储蓄
蓉	ʐuŋ2	芙蓉
蓑	suo1	
蓖	pi5	蓖麻
藍	lan2	
蓬	pʰɤŋ2	
蔓	van5	瓜蔓子
蔗	tʂɤ1	
蔡	tsʰai5	
蔫	ian1	食物不新鲜
蔬	ʂu1	
藹	ai2	和蔼
蔽	pi5	
蕉	tɕiau1	芭蕉，香蕉
薄	pɤ2	
薄	pɤ2	薄荷
薅	xau1	除田草
薛	ɕyɤ5	
薪	ɕiŋ1	
薯	ʂu2	白薯
藉	tɕiɤ5	借故
藉	tɕi5	狼藉
藏	tsaŋ5	西藏
藏	tsʰaŋ2	隐藏
藐	miau2	
藕	ou2	
藤	tʰɤŋ2	
藩	fan1	
藿	xuo5	藿香
蘂	ʐuei5	
蘸	tsan5	蘸酱油
虎	xu2	
虜	lu2	
虐	nyɤ5	
慮	ly5	
虔	tɕʰian1	
虚	ɕy1	
虞	y2	
蟲	tʂʰuŋ2	
虱	sei1	
虹	xuɤŋ2	
虹	kaŋ5	天上的虹
虻	maŋ2	牛虻
雖	suei2	
蝦	xɤ2	虾蟆
蝦	ɕia1	鱼虾
蝕	ʂʅ2	
蟻	i2	
蚊	vɤŋ2	
蚌	paŋ5	
蚌	pɤŋ5	
蠶	tsʰan2	
蚣	kuŋ1	蜈蚣
蚤	tsau5	
蛀	tʂu5	
蛆	tɕʰy1	生蛆
蛇	ʂɤ2	
蛋	tan5	
蟶	tʂʰɤŋ1	蛏子
蛙	va1	
蛛	tʂu1	
蠻	man2	
蟄	tʂɤ1	惊蛰
蛾	ŋɤ2	
蜀	ʂu2	
蜂	fɤŋ1	
蜇	tʂɤ5	蝎子蜇人
蜈	vu2	蜈蚣
蜋	laŋ2	
蜓	tʰiŋ2	蜻蜓
蜕	tʰuo5	蛇蜕皮，蝉蜕
蝸	vuo1	
蜘	tʂʅ1	蜘蛛
蜜	mi5	
蠟	la5	
蜻	tɕʰiŋ1	蜻蜓
蠅	iŋ2	
蟬	tʂʰan2	
蠍	ɕiɤ5	
蝗	xuaŋ2	
蝙	pian2	
蝠	fu5	蝙蝠
蝶	tiɤ2	
螃	pʰaŋ2	螃蟹
融	ʐuŋ2	
螳	tʰaŋ2	螳螂
螺	luo2	螺蛳
蟀	ʂuai5	
蟆	ma2	虾蟆
蟒	maŋ2	
蟹	ɕiɤ5	
蟾	tʂʰan2	蟾酥
蠢	tʂʰuŋ2	
血	ɕyɤ5	
衅	ɕiŋ5	挑衅
行	ɕiŋ2	品行
行	xaŋ2	行列，银行
行	ɕiŋ2	行为
銜	ɕian2	
街	tɕiɤ1	
衙	ia2	
衡	xɤŋ2	
衣	i1	
補	pu2	
表	piau2	
衫	ʂan1	
襯	tʂʰɤŋ5	
衰	ʂuai1	
袁	yan2	
襖	au2	
袋	tai5	
袍	pʰau2	
袖	ɕiou5	
袜	va5	
被	pi5	被卧，被子
被	pi5	被打，被迫
襲	ɕi2	
裁	tsʰai2	
裂	liɤ5	
裝	tʂuaŋ1	
裕	y5	
裙	tɕʰyŋ2	
褲	kʰu5	
裳	ʂaŋ2	衣裳
裴	pʰei2	
裸	luo5	裸体
裹	kuo2	
褒	pau1	褒奖
褚	tʂʰu2	姓
褥	ʐu1	
褪	tʰuei5	
褶	tʂɤ5	褶子，皱纹
襄	ɕiaŋ1	
襟	tɕiŋ5	
襻	pʰan5	纽襻
西	ɕi1	
要	iau5	想要，重要
要	iau1	要求
覆	fu5	反复
見	tɕian5	
觀	kuan1	参观
觀	kuan5	寺观
規	kuei1	
覓	mi2	
視	ʂʅ5	
覽	lan2	
覺	tɕiau5	睡觉
覺	tɕyɤ5	知觉
角	tɕiau2	
解	ɕiɤ2	姓
解	ɕiɤ2	晓也
解	tɕiɤ2	讲解，解开
觸	tʂʰu5	
言	ian2	
譽	y2	荣誉
謄	tʰɤŋ2	
誓	ʂʅ5	
謡	iau2	
警	tɕiŋ2	
譬	pʰi2	譬喻
計	tɕi5	
訂	tiŋ5	订约
訃	pʰu2	
認	ʐɤŋ5	
譏	tɕi1	
討	tʰau2	
讓	ʐaŋ5	
訖	tɕʰi1	
訓	ɕyŋ5	
議	i5	
訊	ɕyŋ5	
記	tɕi5	
講	tɕiaŋ2	
諱	xuei5	
許	ɕy2	
訛	ŋɤ2	
論	lyŋ5	议论
論	luŋ2	论语
訟	suŋ5	
諷	fɤŋ2	
設	ʂɤ5	
訪	faŋ2	
訣	tɕyɤ2	
证	tʂɤŋ5	
評	pʰiŋ2	
識	ʂʅ5	
詐	tsa5	
訴	su5	
診	tʂɤŋ1	
詞	tsʰɿ2	
詔	tʂau1	
譯	i1	
試	ʂʅ5	
詩	sɿ1	
誠	tʂʰɤŋ2	
誅	tʂu1	
話	xua5	
誕	tan5	
詭	kuei2	
該	kai1	
詳	ɕiaŋ2	
誣	vu1	
語	y2	
誤	vu5	
誘	iou5	
說	ʂuo5	说话
誦	suŋ5	
請	tɕʰiŋ2	
諸	tʂu5	
諾	nuo5	
讀	tu2	
課	kʰuo5	
誰	ʂuei2	
調	tʰiau2	调和
調	tiau5	调动
調	tiau5	音调
諒	liaŋ5	
談	tʰan2	
誼	i2	
謀	mu2	
諜	tiɤ2	
謊	xuaŋ2	
諫	tɕian5	
諧	ɕiɤ2	
謂	vei5	
讒	tsʰan2	
諺	ian5	
謎	mi2	
謝	ɕiɤ5	
謗	paŋ2	
謙	tɕʰian1	
謹	tɕiŋ2	
謬	ȵiou2	
譚	tʰan2	
譜	pʰu2	
谷	ku2	
豁	xuo1	豁然，豁嘴，豁口
豆	tou5	
豇	tɕiaŋ1	豇豆
豉	tʂʰʅ5	豆豉
豌	van2	豌豆
豚	tʰuŋ2	
象	ɕiaŋ5	
豪	xau2	
豫	y5	
豹	pau5	
豺	tsʰai2	
貂	tiau1	
貌	mau5	
貝	pei5	
貞	tʂɤŋ1	
負	fu5	
貢	kuŋ5	
財	tsʰai2	
責	tsɤ2	
賢	ɕian2	
敗	pai5	
賬	tʂaŋ5	
貨	xuo5	
質	tʂʅ5	
販	fan5	
貪	tʰan1	
貧	pʰiŋ2	
貶	pian2	
購	kou5	
貫	kuan5	
貳	ɚ5	贰心
賤	tɕian5	
貼	tʰiɤ5	
貴	kuei5	
貸	tai5	
貿	mau5	
費	fei5	费用
賀	xɤ5	
賊	tsei2	
賈	tɕia2	姓
賄	xuei5	
賃	liŋ5	租赁
賂	lu5	
贓	tsaŋ1	
資	tsɿ1	
賒	ʂɤ1	
賦	fu5	
賭	tu2	
贖	ʂu2	
賞	ʂaŋ2	
賜	tsʰɿ5	
賠	pʰei2	
賴	lai5	
贅	tʂuei5	
賺	tʂuan5	
賽	sai5	
贊	tsan5	
贈	tsɤŋ1	
贏	iŋ2	
赤	tʂʰʅ5	
赦	ʂɤ2	
赫	xɤ5	
走	tsou2	
赴	fu5	
趙	tʂau5	
趕	kan2	
起	tɕʰi2	
趁	tʂʰɤŋ5	
超	tʂʰau2	
越	yɤ5	
趨	tɕʰy1	
趟	tʰaŋ5	一趟
趣	tɕʰy5	
足	tsu2	
趼	tɕian2	
趾	tsɿ2	
躍	yɤ5	
跌	tiɤ5	
跑	pʰau2	
跛	pɤ1	跛足
距	tɕy5	
跟	kɤŋ1	
跨	kʰua5	
跪	kuei5	
路	lu5	
跳	tʰiau5	
踐	tɕian5	
踏	tʰa2	
踒	vuo2	踒了脚
踢	tʰi5	
蹤	tsuŋ1	
踱	tuo5	
蹄	tʰi2	
躡	ȵiɤ5	蹑脚走
蹭	tsʰɤŋ5	磨蹭
蹲	tuŋ1	
躁	tsau5	
身	ʂɤŋ1	
躬	kuŋ1	
躱	tuo2	
躺	tʰaŋ2	
車	tɕy1	车马炮
車	tʂʰɤ1	马车
軋	ia5	被车轧，轧棉花
軌	kuei1	
軒	ɕyan1	
轉	tʂuan2	转眼，转送
轉	tʂuan5	转螺丝，转圆圈
輪	lyŋ2	
軟	ʐuan2	
轟	xuɤŋ1	
軸	tʂu2	
輕	tɕʰiŋ1	轻重，年轻
載	tsai2	年载
載	tsai2	满载
載	tsai2	载重
轎	tɕiau5	
較	tɕiau2	
輔	fu2	
輛	liaŋ2	
輦	nian2	
輩	pei5	
輝	xuei1	
輜	tsɿ1	辎重
輯	tɕi5	编辑
輸	ʂu1	
輸	ʂu1	运输
轅	yan2	
轄	ɕia2	管辖
轍	tʂɤ2	
辛	ɕiŋ1	
辭	tsʰɿ2	
辟	pʰi5	
辣	la5	
辨	pian5	
辯	pian5	
辮	pian5	
辰	tʂʰɤŋ2	
辱	ʐu1	
邊	pian1	
遼	liau2	
達	ta2	
遷	tɕʰian1	
迂	y5	
迅	ɕyŋ5	
過	kuo5	
邁	mai5	
迎	iŋ2	
運	yŋ5	
近	tɕiŋ5	
還	xai2	还有
還	xuan2	还原
進	tɕiŋ5	
遠	yan2	
違	vei2	
連	lian2	
遲	tʂʰʅ2	
迥	tɕyŋ5	迥然不同
迫	pʰɤ5	
迭	tiɤ2	
述	ʂu5	
迷	mi2	
迸	pɤŋ5	迸裂
迹	tɕi5	
追	tʂuei1	
退	tʰuei5	
送	suŋ5	
適	ʂʅ5	
逃	tʰau2	
逆	ȵi5	顺逆，逆风
選	ɕyan2	
遜	ɕyŋ2	
透	tʰou5	
逐	tʂu2	
遞	ti5	
途	tʰu2	
逗	tou5	
通	tʰuŋ1	
逛	kuaŋ5	
逝	ʂʅ5	
逞	tʂʰɤŋ2	逞能
速	su5	
造	tsau5	建造
逢	fɤŋ2	
逩	pɤŋ5	
逵	kʰuei2	
逸	i5	
逼	pi5	
逾	y5	
遁	tuŋ5	
遂	suei2	
遇	y5	
遍	pian5	一遍
遍	pian5	遍地
遐	ɕia1	
道	tau5	
遺	i2	
遣	tɕʰian2	
遭	tsau1	
遮	tʂɤ1	
遵	tsuŋ1	
避	pi5	
邀	iau2	
鄧	tɤŋ5	
那	na5	
邦	paŋ1	
邪	ɕiɤ2	
郵	iou2	
邵	ʂau5	
鄒	tʂou5	
鄰	liŋ2	
郁	y5	
郊	tɕiau1	
郎	laŋ2	
鄭	tʂɤŋ5	
郝	xɤ5	姓
郡	tɕyŋ5	
部	pu5	
郭	kuo1	
都	tu1	都城
都	tou2	都是
鄂	ɤ1	
鄙	pi5	
酉	iou5	
酌	tʂuo2	
配	pʰei5	
酒	tɕiou2	
酣	xan1	
酥	su1	
酪	lau5	
酬	tʂʰou2	
醬	tɕiaŋ5	
酵	ɕiau5	
酷	kʰu5	
酸	suan1	
釅	ian5	酽茶
釀	ȵiaŋ5	
醇	tʂʰuŋ2	酒味醇
醉	tsuei5	
醋	tsʰu5	
醒	ɕiŋ2	
采	tsʰai2	
釉	iou5	
釋	ʂʅ5	
里	li2	
重	tʂuŋ5	轻重
重	tʂʰuŋ2	重复
野	iɤ2	
量	liaŋ5	数量
量	liaŋ2	量长短
金	tɕiŋ1	
釜	fu2	
鑑	tɕian1	
鋭	ʐuei5	
錄	lu5	
鏨	tsan1	錾花
鏊	au5	烙饼用具
針	tʂɤŋ1	
釘	tiŋ5	钉住
釘	tiŋ1	铁钉
釤	ʂan5	大鎌
釣	tiau5	
釵	tsʰai1	
鈍	tuŋ5	
鈔	tsʰau2	钱钞
钟	tʂuŋ1	
鋼	kaŋ1	
鋼	kaŋ5	刀钝了，钢钢
鑰	yɤ5	钥匙
欽	tɕʰiŋ1	
鈞	tɕyŋ1	
鉤	kou1	
鈀	pʰa2	钯子
錢	tɕʰian2	
鉗	tɕʰian2	
鉢	pɤ1	
鈸	pɤ1	
鑽	tsuan1	动词
鑽	tsuan5	木工用具
鐵	tʰiɤ5	
鈴	liŋ2	
鉛	tɕʰian1	
鐸	tuo2	
鐺	taŋ1	烙饼用具
銅	tʰuŋ2	
鍘	tsa2	铡刀
鏵	xua5	
銘	miŋ2	
鉸	tɕiau2	
鏟	tʂʰan2	
銃	tʂʰuŋ2	放铳
銀	iŋ2	
鑄	tʂu5	
鋪	pʰu5	店铺
鋪	pʰu1	铺设
銷	ɕiau1	
鎖	suo2	
鋥	tsɤŋ2	锃光
鋤	tʂʰu2	
鍋	kuo1	
鏽	ɕiou5	铁锈
銼	tsʰuo5	
鋒	fɤŋ1	
鐧	tɕian2	车锏
錯	tsʰuo5	错误
錯	tsʰuo5	错杂
錨	mau2	
錛	pɤŋ1	
錫	ɕi5	
錮	ku2	锢露锅
鑼	luo2	
錘	tʂʰuei2	
錐	tʂuei1	
錦	tɕiŋ2	
錠	tiŋ5	
鍵	tɕian5	
鋸	tɕy5	锯子，锯木头
鍬	tɕʰiau2	
鍛	tuan5	锻炼
鍍	tu5	
鎮	tʂɤŋ5	
鑷	ȵiɤ5	镊子
鎔	ʐuŋ2	
鏡	tɕiŋ5	
镢	tɕyɤ5	镢头，大锄
鐙	tɤŋ1	鞍镫
鐲	tʂuo2	镯子
鐮	lian2	
鑲	ɕiaŋ1	
長	tʂaŋ2	生长
長	tʂʰaŋ2	长短
閧	xuɤŋ2	
門	mɤŋ2	
閂	ʂuan1	
閃	ʂan2	
閉	pi5	
問	vɤŋ5	
闖	tʂʰuaŋ2	
閏	ʐuŋ5	
闲	ɕian2	
間	tɕian1	空间，中间
間	tɕian1	间断，间或
悶	mɤŋ1	
閘	tsa2	
鬧	nau5	
閨	kuei5	
聞	vɤŋ2	
閩	miŋ2	闽越
閣	kɤ2	
鬮	tɕʰiou1	拈阄
閲	yɤ5	
閹	ian1	
閻	ian2	
闊	kʰuo5	
阜	fu5	
隊	tuei5	
阮	ʐuan2	
防	faŋ2	
陽	iaŋ2	
陰	iŋ1	
陣	tʂɤŋ5	
階	tɕiɤ1	
阻	tsu2	
阿	ɤ1	阿胶，阿哥
附	fu5	
際	tɕi5	
陸	lu5	
隴	luŋ2	
陳	tʂʰɤŋ2	
陘	tɕiŋ1	井陉
陋	lou5	
陌	mɤ5	陌生
降	tɕiaŋ5	下降
降	ɕiaŋ2	降伏，投降
限	ɕian5	
陝	ʂan2	陕西
陛	pi5	陛下
陡	tou2	
院	yan5	
除	tʂʰu2	
險	ɕian2	
陪	pʰei2	
陵	liŋ2	
陶	tʰau2	
陷	ɕian5	
隆	luŋ2	
隨	suei2	
隱	iŋ2	
隔	kɤ5	
隘	ai2	
障	tʂaŋ1	保障
隧	suei2	隧道
隶	li5	
難	nan5	患难
難	nan2	难易
雀	tɕʰyɤ5	麻雀
雁	ian5	
雄	ɕyŋ2	
雅	ia2	
集	tɕi5	
雇	ku5	
雉	tʂʅ5	雉鸡
雌	tsʰɿ2	
雍	yŋ1	
雛	tʂʰu2	
雕	tiau1	
雨	y2	
雪	ɕyɤ5	
零	liŋ2	
雷	luei2	
雹	pau2	
霧	vu5	
需	ɕy2	
霄	ɕiau1	
震	tʂɤŋ5	
黴	mei2	
霍	xuo5	
霜	ʂuaŋ1	
霞	ɕia1	
露	lu5	
霸	pa5	
青	tɕʰiŋ1	
靖	tɕiŋ5	
靜	tɕiŋ5	
非	fei1	
靠	kʰau5	
靡	mi2	
面	mian5	
靨	ian1	酒靥
革	kɤ2	
靪	tiŋ5	
靴	ɕyɤ1	
靿	iau5	靴靿
鞋	xai2	
鞍	an1	
鞘	tɕʰiau5	刀鞘
鞭	pian1	
韌	ʐɤŋ5	
韓	xan2	
韭	tɕiou2	
音	iŋ1	
韻	yŋ5	
韶	ʂau1	韶关
頁	iɤ5	
頂	tiŋ2	
頃	tɕʰiŋ2	
項	ɕiaŋ5	
順	ʂuɤŋ5	
须	ɕy1	
頑	van2	顽皮，顽固
顧	ku5	
頓	tuŋ5	
頒	pan1	
頌	suŋ5	
預	y5	
領	liŋ2	
頗	pʰɤ1	
頸	tɕiŋ1	
頻	pʰiŋ2	频繁
穎	iŋ2	
顆	kʰuo1	一颗珠
題	tʰi2	
顔	ian2	
額	ŋɤ1	
顛	tian1	
顫	tʂʰan5	
顴	tɕʰyan2	颧骨
風	fɤŋ1	
颼	sou1	
飄	pʰiau1	
飛	fei1	
食	ʂʅ2	
餈	tsʰɿ2	餈巴
餐	tsʰan1	
餧	vei5	
饥	tɕi1	饥饿
饥	tɕi1	饥荒
飩	tuŋ5	馄饨
飭	tʂʰʅ5	
飯	fan5	
飲	iŋ5	米汤
飲	iŋ5	饮酒
飲	iŋ5	饮马
餞	tɕian5	饯行
飾	ʂʅ5	
飽	pau2	
飼	sɿ1	
飴	i5	高粱饴
餌	ɚ2	
饒	ʐau2	
餃	tɕiau2	饺子
餅	piŋ2	
餑	pɤ1	面饽
餓	ŋɤ5	
餜	kʰɤ1	
餛	xuɤŋ2	馄饨
餡	ɕyan5	
館	kuan2	
餿	sou1	饭馊了
饞	tsʰan2	
饃	mɤ2	
餾	liou2	
饅	man2	馒头
首	ʂou2	
香	ɕiaŋ1	
馨	ɕiŋ1	
騲	tsʰau2	
馬	ma2	
馱	tʰuo2	拿，驮起来
馱	tuo5	驮子
馳	tʂʰʅ2	
驅	tɕʰy1	
駁	pɤ2	
驢	ly2	
駛	ʂʅ2	
駒	tɕy1	
駐	tʂu5	
駝	tʰuo2	
駕	tɕia5	
駡	ma5	
驕	tɕiau1	
駱	luo5	
駭	xai2	惊骇
驗	ian5	
騎	tɕʰi2	
騙	pʰian5	欺骗
騷	sau1	
騾	luo2	
驟	tsou5	
骨	ku2	筋骨，骨头
骯	aŋ1	肮脏
髓	suei2	
高	kau1	
髻	tɕi5	
鬃	tsuŋ1	马鬃，猪鬃
鬢	piŋ5	
鬼	kuei2	
魁	kʰuei2	
魂	xuɤŋ2	
魄	pʰɤ5	
魘	ian2	
魏	vei5	
魔	mɤ5	
魚	y2	
魯	lu2	
鮎	nian2	鲇鱼
鮑	pau5	姓，鲍鱼
鮮	ɕian1	新鲜
鮮	ɕian2	鲜少
鯉	li2	
鯽	tɕi5	
鯨	tɕiŋ1	
鰓	sai1	
鰭	tɕʰi2	
鰾	piau1	
鱉	piɤ5	
鱖	kuei5	鳜鱼
鱗	liŋ2	
鳥	ȵiau2	
鳩	tɕiou1	
雞	tɕi1	
鳴	miŋ2	
鴉	ia1	
鸕	lu2	鸬鹚
鴨	ia5	
鴿	kɤ5	
鸞	luan2	
鴻	xuɤŋ2	
鵝	ŋɤ2	
鵡	vu2	鹦鹉
鵲	tɕʰyɤ5	喜鹊
鷂	iau5	鹞鹰
鶴	xɤ5	
鸚	iŋ1	鹦鹉，鹦哥
鷺	lu5	鹭鸶
鷹	iŋ1	
鹻	tɕian2	
鹿	lu5	
麝	ʂɤ5	麝香
麥	mei1	
麩	fu1	麦麸子
麻	ma2	
麾	xuei1	
黃	xuaŋ2	
黍	ʂu2	
黎	li2	
黏	ȵian2	黏米，黏起来
黑	xei1	
默	mɤ5	
黢	tɕʰy1	黢黑
鼎	tiŋ2	
鼓	ku2	
鼠	tʂʰu2	
鼬	iou5	黄鼬
鼻	pi2	
鼾	xan1	睡时鼾声
齊	tɕʰi2	
齒	tʂʰʅ2	
齦	iŋ2	老鼠龈
龍	luŋ2	
龕	kʰan2	
龜	kuei1	
𢶀	tʂuei5	拉
𥱼	pʰai2	筏
𨉣	ɕa1	𨉣下腰
𩮈	tɕiou1	梳个鬏儿
