#漢字	音標	解釋
㐄	kʰɑ2	指抬脚越过沟渠。～一脚过来
戰	tʂɑ̃5	
戚	tɕʰɪ7	
戟	tɕɪ7	
截	tɕiɛ7	
戳	tʂʰuo7	
戴	tɛ5	
戶	fʊ5	
戽	fʊ5	
房	xuɑŋ2	
扁	piɛ̃3	
扇	ʂɑ̃5	
才	tsʰɛ2	
扎	tʂɑ7	
扑	pʰʊ7	
打	tɑ3	
扔	ʐẽ2	
托	tʰuo7	
扛	kʰɑŋ1	
扣	kʰəʊ5	
執	tʂʅ7	
擴	kʰuo7	
掃	sʌ5	
揚	iɑŋ2	
扭	niəʊ3	
扮	pɑ̃5	
扯	tʂʰɛ3	
擾	ʐʌ3	
扳	pɑ̃1	
扶	fʊ2	
批	pʰɪ1	
扼	ŋɛ7	
扼	uo7	
找	tʂʌ3	
承	tʂʰẽ2	
技	tɕɪ5	
抄	tʂʰʌ1	
把	pɑ3	～握，刀～
抑	ɪ7	
抓	tʂʰuɑ1	
投	tʰəʊ2	
抖	təʊ3	
抗	kʰɑŋ5	
折	tʂɛ7	
折	ʂɛ7	
撫	fʊ3	
抛	pʰʌ1	
摳	kʰəʊ1	
搶	tɕʰiɑŋ3	
護	fʊ5	
報	pʌ5	
披	pʰɪ1	
抬	tʰɛ2	
抱	pʌ5	
抵	tɪ3	
抹	mɑ7	
抹	mo7	
押	n̩7	
抽	tʂʰəʊ1	
抿	miɪ̃3	
拄	tʂʊ3	
擔	tɑ̃1	
擔	tɑ̃5	
拆	tʂʰɛ7	
拇	mʊ3	
拈	tiɛ̃2	
拉	nɑ7	
拌	pɑ̃5	
拍	pʰɛ7	
拎	niɪ̃2	
拒	tɕʏ5	
拔	pɑ7	
拖	tʰv1	
拘	tɕʏ1	
拙	tʂuo7	
拚	pʰiɪ̃1	
招	tʂʌ1	
拜	pɛ5	
擬	nɪ3	
攏	noŋ3	
揀	tɕiɛ̃3	
擁	ioŋ3	
攔	nɑ̃2	
撥	po7	
擇	tsɛ7	
括	kʰuo7	
拯	tʂẽ3	
拱	koŋ3	
拳	tɕʰyɛ̃2	
拴	ʂuɑ̃1	
拸	nʌ2	指书本或碗筷堆叠在一起
拼	pʰiɪ̃1	
拽	tʂuɛ5	拖～
拾	ʂʅ7	
拿	nɑ2	
持	tʂʰʅ2	
挂	kuɑ5	
指	tʂʅ3	
按	ŋɑ̃5	
挑	tʰiʌ1	
挖	uɑ7	
挾	kɑ7	
撓	nʌ2	
擋	tɑŋ3	
擠	tɕɪ3	
揮	xuei1	
挨	ŋɛ1	
挪	nuo2	
振	tʂẽ5	
挺	tʰiɪ̃5	
挽	uɑ̃3	
捅	tʰoŋ3	
捆	kʰuẽ3	
捉	tʂuo7	
捋	nʏ7	
捎	ʂʌ1	
捏	niɛ7	
捐	tɕyɛ̃2	
捕	pʊ5	
撈	nʌ2	
換	xuɑ̃5	
捧	pʰoŋ3	
捭	pʰɛ3	指两手平伸后的长度。
据	tɕʏ5	
捱	ŋɛ2	
捷	tɕiɛ7	
捺	nɑ7	
捻	niɛ̃3	
掀	ɕiɛ̃1	
掂	tiɛ̃1	
掇	tuo7	
授	ʂəʊ5	
掉	tiʌ5	
掌	tʂɑŋ3	
掏	tʰʌ1	
掐	kʰɑ3	
掐	tɕʰiɑ7	
排	pʰɛ2	
掘	tɕyɛ7	
掠	nyɛ7	
探	tʰɑ̃5	
接	tɕiɛ7	
控	kʰoŋ5	
推	tʰei1	
掩	iɛ̃3	
措	tsʰəʊ5	
掫	tsəʊ1	
掬	tɕʏ7	
掭	tʰiɛ̃5	
掮	tɕʰiɛ̃2	
擲	tʂʅ7	
撣	tɑ̃3	
揈	xoŋ1	
揉	ʐəʊ2	
描	miʌ2	
提	tʰɪ2	
插	tʂʰɑ7	
揖	ɪ7	
握	uo7	
揣	tʂʰuɛ3	
揩	kʰɛ1	
揫	tɕiəʊ1	
揭	tɕiɛ7	
援	yɛ̃2	
攬	nɑ̃3	
攙	tʂʰɑ̃1	
擱	kuo7	
摟	nəʊ2	
摟	nəʊ3	
攪	tɕiʌ3	
搉	kʰʌ7	指敲打、敲击
搊	tʂəʊ3	指用手撑住或扶住
搓	tsʰuo1	
搛	tɕiɛ̃1	
搜	səʊ1	
搞	tɕiʌ3	
搣	miɛ7	指用手掰开、剥开或掰断物体
搧	ʂɑ̃1	
搨	tʰɑ7	
搬	pɑ̃1	
搭	tɑ7	
携	ɕiɛ2	
搽	tsʰɑ7	
攝	ʂɛ7	
摆	pɛ3	
摇	iʌ2	
攤	tʰɑ̃1	
摔	ʂuɛ1	
摘	tsɛ7	
摞	nuo5	
摩	mo2	
摸	mo7	
摹	mʊ2	
摺	tʂɛ7	
撇	pʰiɛ7	
撑	tʂʰẽ1	
撒	sɑ7	
撕	sɿ1	
撙	tsẽ3	
撞	tʂuɑŋ5	
撤	tʂʰɛ7	
撩	niʌ2	
撮	tsʰuo7	
撰	tʂuɑ̃5	
攆	niɛ̃2	
撼	xɑ̃5	
擀	kɑ̃3	
操	tsʰʌ1	
擎	tɕʰiɪ̃2	
擒	tɕʰiɪ̃2	
擖	kɑ7	
擘	pɛ7	
擦	tsʰɑ7	
擩	ʐuɑ3	指把某类食材或调料放进菜肴中，或揉制食物。～糍粑
攀	pʰɑ̃1	
攎	nʌ1	
攢	tsɑ̃3	
攘	ʐɑŋ3	
攮	nɑŋ3	
支	tʂʅ1	
收	ʂəʊ1	
改	kɛ3	
攻	koŋ1	
放	xuɑŋ5	
故	kʊ5	
效	ɕiʌ5	
敵	tɪ7	
敏	miɪ̃3	
救	tɕiəʊ5	
教	kʌ1	
教	tɕiʌ5	
斂	niɛ̃3	
斂	niɛ̃5	
敝	pʰɪ5	
敢	kɑ̃3	
散	sɑ̃5	
敦	tẽ1	
敨	tʰəʊ3	指把包着或卷着的东西打开
敬	tɕiɪ̃5	
數	səʊ5	
敲	kʰʌ1	
整	tʂẽ3	
敷	fʊ1	
文	uẽ2	
斋	tʂɛ1	
斑	pɑ̃1	
斗	təʊ3	
斗	təʊ5	
料	niʌ5	
斛	fʊ7	
斜	ɕiɛ2	
斟	tʂẽ1	
斢	tʰiʌ3	指交换物品
斤	tɕiɪ̃1	
斥	tʂʰʅ7	
斧	fʊ3	
斬	tʂɑ̃3	
斷	tuɑ̃5	
斯	sɿ1	
新	ɕiɪ̃1	
方	xuɑŋ1	
施	ʂʅ1	
旁	pʰɑŋ2	
旅	nʏ3	
旋	ɕyɛ̃2	
旋	ɕyɛ̃5	
族	tsəʊ7	
旗	tɕʰɪ2	
无	vʊ2	
既	tɕɪ5	
日	ʐʅ7	
日	ɚ7	
旦	tɑ̃5	
舊	tɕiəʊ5	
旨	tʂʅ3	
早	tsʌ3	
旬	ɕyɪ̃2	
旱	xɑ̃5	
時	ʂʅ2	
曠	kʰuɑŋ5	
旺	uɑŋ5	
昂	ŋɑŋ2	
昆	kʰuẽ1	
昌	tʂʰɑŋ1	
明	miɪ̃2	
昏	xuẽ1	
易	ɪ5	
易	ɪ7	
昔	ɕɪ7	
星	ɕiɪ̃1	
映	iɪ̃5	
春	tʂʰuẽ1	
昧	mei5	
昨	tsuo7	
昭	tʂʌ1	
是	ʂʅ5	
晝	tʂəʊ5	
晃	xuɑŋ5	
晉	tɕiɪ̃5	
晏	iɛ̃5	
曬	ʂɛ5	
暈	yɪ̃5	
晚	uɑ̃3	
晦	xuei5	
晨	tʂʰẽ2	
普	pʰʊ3	
景	tɕiɪ̃3	
晴	tɕʰiɪ̃2	
晶	tɕiɪ̃1	
智	tʂʅ5	
暫	tsɑ̃5	
暇	ɕiɑ7	
暖	nuɑ̃3	
暗	ɑ̃5	
暝	miɪ̃2	
暮	mʊ5	
暴	pʌ5	
曝	pʌ7	
曩	nɑŋ3	
曰	yɛ7	
曲	tɕʏ7	
曲	tɕʰʏ7	
更	kẽ1	三～半夜
更	kẽ5	～加
曹	tsʰʌ2	
曾	tsẽ1	
曾	tsẽ2	
替	tʰɪ5	
最	tsuei5	
月	yɛ7	
有	iəʊ3	
朋	pʰoŋ2	
服	fʊ7	
朔	ʂuo7	
朗	nɑŋ3	
望	uɑŋ5	
朝	tʂʌ1	
朝	tʂʰʌ2	
期	tɕʰɪ2	
木	mʊ7	
未	uei5	
末	mo7	
本	pẽ3	
札	tʂɑ7	
术	tʂʊ7	
术	ʂʊ7	
朱	tʂʯ1	
朴	pʰʊ7	
朵	tv3	
機	tɕɪ1	
雜	tsɑ7	
權	tɕʰyɛ̃2	
杆	kɑ̃3	
杈	tʂʰɑ1	
杉	ʂɑ̃1	
李	nɪ3	
杏	ɕiɪ̃5	
材	tsʰɛ2	
村	tsʰẽ1	
杖	tʂɑŋ5	
杜	təʊ5	
杞	tɕʰɪ3	
束	ʂʯ7	
杠	kɑŋ5	
條	tʰiʌ2	
來	nɛ2	
楊	iɑŋ2	
杭	xɑŋ2	
杰	tɕiɛ7	
杳	niʌ3	
杴	tɕʰiɛ̃1	
杵	tʂʰʊ3	
杷	pʰɑ2	
松	soŋ1	
松	soŋ2	
板	pɑ̃3	
極	tɕɪ7	
構	kəʊ5	
枇	pʰɪ2	
枉	uɑŋ3	
析	ɕɪ7	
枕	tʂẽ3	～头
枕	tʂẽ5	～戈待旦
林	niɪ̃2	
枚	mei2	
果	kuo3	
枝	tʂʅ1	
樞	ʂʊ1	
棗	tsʌ3	
槍	tɕʰiɑŋ1	
楓	xoŋ1	
枯	kᶠʊ1	
枴	kuɛ3	
架	tɕiɑ5	
柄	iɪ̃5	
柏	pɛ7	
某	məʊ3	
柑	kɑ̃1	
染	ʐɑ̃3	
柔	ʐəʊ2	
柚	iəʊ5	
櫃	kuei5	
查	tʂʰɑ2	
柩	tɕiəʊ5	
柬	tɕiɛ̃3	
柱	tʂʊ5	
柳	niəʊ3	
柴	tʂʰɛ2	
柿	ʂʅ5	
梔	tʂʅ1	
柵	ʂɑ̃7	
標	piʌ1	
棧	tʂɑ̃5	
棟	toŋ5	
欄	nɑ̃2	
樹	ʂʯ5	
栖	ɕɪ1	
栗	nɪ7	
校	tɕiʌ5	
校	ɕiʌ5	
株	tʂʊ1	
樣	iɑŋ5	
核	fʊ7	
核	xuo7	审～，果～
根	kẽ1	
格	kɛ7	
栽	tsɛ1	
栿	fʊ7	
桂	kuei5	
桃	tʰʌ2	
桅	kʰuei2	
案	ŋɑ̃5	
桌	tʂuo7	
桐	tʰoŋ2	
桑	sɑŋ1	
桓	xuɑ̃1	
椏	n̩1	
橈	ʐʌ2	
橋	tɕʰiʌ2	
樺	xuɑ5	
檜	xuei5	
槳	tɕiɑŋ3	
樁	tʂuɑŋ1	
桶	tʰoŋ3	
梁	niɑŋ2	
梅	mei2	
梓	tsɿ3	
梗	kẽ3	
梢	ʂʌ1	
夢	moŋ5	
梧	vʊ2	
梨	nɪ2	
梭	suo1	
梯	tʰɪ1	
梯	tʰiɛ1	
械	kɛ1	
械	ɕiɛ5	
梳	səʊ1	
檢	tɕiɛ̃3	
棉	miɛ̃2	
棋	tɕʰɪ2	
棌	tsʰɛ5	
棍	kuẽ5	
棒	pɑŋ5	
棕	tsoŋ1	
棚	pʰoŋ1	
棠	tʰɑŋ2	
森	sẽ1	
棵	kʰuo1	
棺	kuɑ̃1	
椅	ɪ3	
植	tʂʅ7	
椒	tɕiʌ1	
橢	tʰuo3	
椴	tuɑ̃5	
椽	tʂʰuɑ̃2	
椿	tʂʰuẽ1	
楂	tʂʰɑ1	
楔	ɕiɛ7	
楚	tsʰəʊ3	
楝	niɛ̃5	
楞	nẽ2	
楣	mei2	
楦	ɕyɛ̃5	
楷	kʰɛ3	
樓	nəʊ2	
概	kɛ5	
欖	nɑ̃3	
榆	ʏ2	
榛	tʂẽ1	
榜	pɑŋ3	
榧	xuei3	
榨	tʂɑ5	
榴	niəʊ2	
榻	tʰɑ7	
槌	tʂuei2	
槐	xuɛ2	
檳	piɪ̃1	
槽	tsʰʌ2	
樟	tʂɑŋ1	
模	mo2	～子，～仿
橫	xuẽ2	
橫	xuẽ5	
櫻	iɪ̃1	
樵	tɕʰiʌ2	
橄	kɑ̃3	
橘	tɕʏ7	
橙	tʂʰẽ2	
橙	tʂʰẽ2	～子
橛	tɕyɛ7	
橡	ɕiɑŋ5	
櫓	nəʊ3	
檀	tʰɑ̃2	
檐	iɛ̃2	
檁	niɪ̃3	
櫂	tʂʌ5	
欠	tɕʰiɛ̃3	指非常羡慕，想要得到。我～他的衣服
欠	tɕʰiɛ̃5	不够；缺乏
次	tsʰɿ5	
歡	xuɑ̃1	
欣	ɕiɪ̃1	
歐	əʊ1	
欲	ʏ7	
款	kʰuɑ̃3	
歇	ɕiɛ7	
歉	tɕʰiɛ̃5	
歌	kv1	
止	tʂʅ3	
正	tʂẽ1	
正	tʂẽ5	
此	tsʰɿ3	
步	pʊ5	
武	vʊ3	
歪	uɛ1	
死	sɿ3	
殲	tɕiɛ̃1	
殃	iɑŋ1	
殆	tɛ5	
殉	ɕyɪ̃5	
殊	ʂʊ2	
殘	tsʰɑ̃2	
殮	niɛ̃5	
殖	tʂʅ7	
殯	piɪ̃5	
毆	əʊ3	
段	tuɑ̃5	
殷	iɪ̃1	
殺	ʂɑ7	
殼	kʰv7	
殿	tiɛ̃5	
毅	ɪ5	
母	mʊ3	
每	mei3	
毒	təʊ7	
比	pɪ3	
畢	pɪ7	
斃	pɪ5	
毛	mʌ2	
毡	tʂɑ̃1	
毫	xʌ2	
毯	tʰɑ̃3	
氏	ʂʅ5	
民	miɪ̃2	
气	tɕʰɪ5	
永	ioŋ3	
汀	tiɪ̃1	
汁	tʂʅ1	
汁	tʂʅ7	
求	tɕʰiəʊ2	
汆	tsʰuɑ̃1	
汇	xuei5	
漢	xɑ̃5	
汗	xɑ̃5	
汝	ʐʊ3	
汞	koŋ5	
江	tɕiɑŋ1	
池	tʂʰʅ2	
污	vʊ1	
湯	tʰɑŋ1	
汪	uɑŋ1	
汴	piɛ̃5	
汽	tɕʰɪ5	
沂	ɪ2	
沃	uo7	
沉	tʂẽ2	
沌	tẽ5	
沓	tʰɑ7	
沙	ʂɑ1	
沛	pʰei5	
溝	kəʊ1	
沒	mo7	
漚	əʊ5	
淪	nẽ2	
滬	fʊ5	
沫	mo7	
河	xuo2	
油	iəʊ2	
治	tʂʅ5	
沼	tʂʌ3	
沾	tʂɑ̃1	
沿	iɛ̃2	
泄	ɕiɛ7	
泅	tɕʰiəʊ2	
泉	tɕʰyɛ̃2	
泊	po7	
泌	mɪ5	
泔	kɑ̃1	
法	xuɑ7	
泛	xuɑ̃5	
泡	pʰʌ1	
泡	pʰʌ5	
波	po1	
泣	tɕʰɪ3	
泣	tɕʰɪ7	
泥	nɪ2	
注	tʂʊ5	
淚	nei5	
泰	tʰɛ5	
泳	yɪ̃5	
泳	ioŋ5	
瀉	ɕiɛ5	
潑	pʰo7	
澤	tsɛ7	
潔	tɕiɛ7	
洇	iɪ̃1	
洋	iɑŋ2	
洒	sɑ3	
洛	nuo7	
洞	toŋ5	
津	tɕiɪ̃1	
洪	xoŋ2	
洲	tʂəʊ1	
活	xuo7	
洼	uɑ1	
洽	tɕʰiɑ7	
派	pʰɛ5	
流	niəʊ2	
淺	tɕʰiɛ̃3	
漿	tɕiɑŋ1	
澆	tɕiʌ1	
濁	tʂuo7	
測	tsɛ7	
濟	tɕɪ5	
渾	xuẽ2	
濃	noŋ2	
浙	tʂɛ7	
浚	tɕyɪ̃5	
浜	piɪ̃1	
浞	tʂuo7	
浦	pʰʊ3	
浩	xʌ5	
浪	nɑŋ5	
浮	fʊ2	
浴	ʏ7	
浸	tɕiɪ̃5	
涂	tʰəʊ2	
消	ɕiʌ1	
涉	ʂɛ7	
涌	ioŋ3	
涎	ɕiɛ̃2	
涕	tʰɪ5	
濤	tʰʌ2	
澇	nʌ5	
潤	ʐuẽ5	
澗	tɕiɛ̃5	
漲	tʂɑŋ3	
澀	sɛ7	
涮	ʂuɑ̃5	
涯	n̩2	
液	iɛ7	
涴	uo5	
涿	tʂuo7	
淆	ɕiʌ2	
淋	niɪ̃2	
淑	ʂʯ7	
淘	tʰʌ2	
淡	tɑ̃5	
淤	ʏ1	
淫	iɪ̃2	
淮	xuɛ2	
深	ʂẽ1	
混	xuẽ5	
淹	ŋɑ̃1	
添	tʰiɛ̃1	
清	tɕʰiɪ̃1	
淵	yɛ̃1	
漸	tɕiɛ̃5	
澠	miɛ̃3	
漁	ʏ2	
渠	tɕʰʏ2	
渡	təʊ5	
渣	tʂɑ1	
溫	uẽ1	
港	kɑŋ3	
渴	kʰv7	
游	iəʊ2	
渺	miʌ3	
湖	fʊ2	
湘	ɕiɑŋ1	
灣	uɑ̃1	
溼	ʂʅ7	
潰	kʰuei5	
濺	tɕiɛ̃5	
溉	kɛ5	
源	yɛ̃2	
溜	niəʊ5	
溪	tɕʰɪ1	
溺	nɪ7	
滂	pɑŋ1	
滑	xuɑ7	
滓	tsɿ3	
滔	tʰʌ1	
滗	pɪ2	指滤出水分。～米汤
滾	kuẽ3	
滯	tʂʅ5	
滿	mɑ̃3	
濾	nʏ5	
濫	nɑ̃5	
灘	tʰɑ̃1	
滴	tɪ7	
漂	piʌ3	
漂	pʰiʌ5	
漆	tɕʰɪ7	
漏	nəʊ5	
演	iɛ̃3	
漫	mɑ̃5	
漱	səʊ5	
潘	pʰɑ̃1	
潛	tɕʰiɛ̃2	
潭	tʰɑ̃2	
潮	tʂʰʌ2	
潲	sʌ5	
澄	tʂʰẽ2	
澄	tʂʰẽ5	
澡	tsʌ3	
激	tɕɪ7	
瀑	pʰʊ7	
灌	kuɑ̃5	
灒	tsɑ̃5	指油汁或汤汁因受热或摇晃溅出
火	xuo3	
滅	miɛ7	
燈	tẽ1	
灰	xuei1	
靈	niɪ̃2	
竈	tsʌ5	
灸	tɕiəʊ3	
災	nɛ1	
燦	tsʰɑ̃5	
爐	nəʊ2	
炊	tʂʰuei1	
炎	iɛ̃2	
炒	tʂʰʌ3	
炕	kʰɑŋ5	
炙	tʂʅ7	
炭	tʰɑ̃5	
炮	pʰʌ5	
炸	tʂɑ5	～蛋
炸	tʂɑ7	油～
點	tiɛ̃3	
爛	nɑ̃5	
烈	niɛ7	
烊	iɑŋ2	
烘	xoŋ1	
烙	nuo7	
燭	tʂʯ7	
烟	iɛ̃1	
烤	kʰʌ3	
煩	xuɑ̃2	
燒	ʂʌ1	
燙	tʰɑŋ5	
熱	ʐɛ7	
烹	pʰoŋ1	
焉	iɛ̃2	
焊	xɑ̃5	
焌	tɕʰʏ7	一种烹调方法，指用微量油热锅后再进行烹饪。给锅～油
煥	xuɑ̃5	
焙	pei5	
焚	xuẽ2	
焦	tɕiʌ1	
焯	tʂʰʌ7	
焰	iɛ̃5	
然	ʐɑ̃2	
煎	tɕiɛ̃1	
煤	mei2	
照	tʂʌ5	
煨	uei1	
煮	tʂʯ3	
熄	ɕɪ7	
熊	ɕioŋ2	
熏	ɕyɪ̃1	
熙	ɕɪ1	
熟	ʂʯ7	
熥	tʰoŋ1	
熨	yɪ̃5	
熬	ŋʌ2	
燃	ʐɑ̃2	
燎	pʰiʌ2	
燎	niʌ2	
燎	niʌ3	
燐	niɪ̃2	
燕	iɛ̃1	
燕	iɛ̃5	
爆	pʌ5	
爊	ŋʌ1	在锅中煨熟食物，～排骨
爪	tʂʌ3	
爬	pʰɑ2	
愛	ŋɛ5	
爵	tɕyɛ7	
父	fʊ5	
爺	iɛ2	
爸	pɑ5	
爹	tiɑ1	
片	pʰiɛ̃5	
版	pɑ̃3	
牌	pʰɛ2	
牘	təʊ7	
牒	tiɛ7	
牙	n̩2	
牚	tʂʰẽ5	
牛	niəʊ2	
牡	mʊ3	
牢	nʌ2	
牧	mʊ7	
物	vʊ7	
牲	ʂẽ1	
牽	tɕʰiɛ̃1	
特	tʰɛ7	
犧	ɕɪ1	
犀	ɕɪ1	
犁	nɪ2	
犢	təʊ7	
犍	tɕiɛ̃1	
犍	tɕiɛ̃2	
犒	kʰʌ5	
犬	tɕʰyɛ̃3	
犯	xuɑ̃5	
狀	tʂuɑŋ5	
猶	iəʊ2	
狂	kʰuɑŋ2	
狄	tɪ7	
狍	pʰʌ2	
狐	fʊ2	
狗	kəʊ3	
狠	xẽ5	
狡	tɕiʌ3	
獨	təʊ7	
狹	ɕiɑ7	
獅	sɿ1	
獄	ʏ7	
狸	nɪ2	
狼	nɑŋ2	
獵	niɛ7	
猛	moŋ3	
猜	tsʰɛ1	
猝	tsʰəʊ5	
豬	tʂʯ1	
貓	mʌ2	
猬	uei3	
猬	uei5	
獻	ɕiɛ̃5	
猴	xəʊ2	
猾	xuɑ2	
獺	tʰɑ7	
玄	ɕyɛ̃2	
率	ʂuɛ7	
率	nʏ7	
玉	ʏ7	
王	uɑŋ2	
玩	uɑ̃2	
環	xuɑ̃2	
現	ɕiɛ̃5	
玻	pʰo1	
珊	ʂɑ̃1	
珍	tʂẽ1	
珠	tʂʊ1	
班	pɑ̃1	
球	tɕʰiəʊ2	
理	nɪ3	
琉	niəʊ2	
瑣	suo3	
琢	tʂuo7	
琴	tɕʰiɪ̃2	
琵	pʰɪ2	
琶	pʰɑ2	
瓊	tɕʰioŋ2	
瑕	ɕiɑ2	
瑞	ʂuei5	
瑟	sɛ7	
璃	nɪ1	
璃	nɪ2	
璧	pɪ7	
璺	uẽ5	
瓜	kuɑ1	
瓠	fʊ2	
瓢	pʰiʌ2	
瓣	pɑ̃5	
瓤	ʐɑŋ2	
瓦	uɑ3	砖～
瓦	uɑ5	～刀
瓮	tsʰɿ5	
甌	əʊ1	
瓶	pʰiɪ̃2	
瓷	tsʰɿ2	
甘	kɑ̃1	
甚	ʂẽ5	
甜	tʰiɛ̃2	
生	ʂẽ1	
甥	ʂẽ1	
用	ioŋ5	
甫	fʊ3	
甬	ioŋ3	
田	tʰiɛ̃2	
由	iəʊ2	
甲	tɕiɑ7	
申	ʂẽ1	
電	tiɛ̃5	
男	nɑ̃2	
畫	xuɑ5	
暢	tʂʰɑŋ5	
界	kɛ5	
畏	uei5	
留	niəʊ2	
畜	ɕiəʊ2	
畜	tʂʰəʊ7	
略	nyɛ7	
畦	kuei2	
番	xuɑ̃1	
疆	tɕiɑŋ1	
疏	səʊ1	～远
疏	səʊ5	注～
疑	ɪ2	
疔	tiɪ̃1	
療	niʌ5	
疝	ʂɑ̃5	
瘧	nyɛ7	
瘍	iɑŋ2	
疤	pɑ1	
疥	kɛ5	
疫	ɪ7	
瘡	tʂʰuɑŋ1	
瘋	xoŋ1	
疲	pʰɪ2	
疵	tsʰɿ1	
疵	tsʰɿ5	
疹	tʂẽ3	
疼	tʰẽ2	
疾	tɕɪ7	
疿	xuei5	
痂	tɕiɑ1	
病	piɪ̃5	
症	tʂẽ5	
癰	ioŋ1	
痒	iɑŋ3	
痔	tʂʅ5	
痕	xẽ2	
痛	tʰoŋ5	
痢	nɪ5	
痣	tʂʅ5	
癆	nʌ2	指毒，毒害
痰	tʰɑ̃2	
痲	mɑ2	
癡	tʂʰʅ1	
痹	pɪ5	
瘊	xəʊ2	
瘌	nɑ7	
瘟	uẽ1	
瘦	ʂəʊ5	
瘴	tʂɑŋ5	
瘸	tɕʰyɛ2	
癩	nɛ5	
癸	kʰuei3	
登	tẽ1	
白	pɛ7	
百	pɛ7	
皂	tsʌ5	
的	tɪ7	
皆	tɕiɛ1	
皇	xuɑŋ2	
皖	uɑ̃5	
皮	pʰɪ2	
皺	tʂəʊ5	
皴	tsʰẽ1	
皿	miɪ̃3	
盂	ʏ2	
盆	pʰẽ2	
盈	iɪ̃2	
益	ɪ7	
盞	tʂɑ̃3	
鹽	iɛ̃2	
鹽	iɛ̃5	
監	tɕiɛ̃1	
監	tɕiɛ̃5	
盒	xuo7	
盔	kʰuei1	
盖	kɛ5	
盜	tʌ5	
盤	pʰɑ̃2	
盛	tʂʰẽ2	～饭
盛	ʂẽ5	～大
盟	moŋ2	
目	mʊ7	
盲	mɑŋ2	
直	tʂʅ7	
相	ɕiɑŋ1	
相	ɕiɑŋ5	
盼	pʰɑ̃5	
盾	tẽ5	
盾	tuẽ5	
眉	mei2	
眉	mɪ2	
看	kʰɑ̃1	
看	kʰɑ̃5	
瞘	kʰəʊ1	
真	tʂẽ1	
眠	miɛ̃2	
眨	tʂɑ7	
眩	ɕyɛ̃5	
眵	tʂʰʅ1	
眶	kʰuɑŋ1	
眷	tɕyɛ̃5	
眼	ŋɑ̃3	
着	tʂʊ5	
着	tʂuo7	
睜	tʂẽ1	
睏	kʰuẽ5	
睛	tɕiɪ̃1	
睡	ʂuei5	
督	təʊ7	
睬	tsʰɛ3	
瞅	tʂʰəʊ3	
瞎	xŋ7	
瞒	mɑ̃2	
瞖	ɪ5	指白内障，～子
瞧	tɕʰiʌ2	
瞪	tẽ5	
瞭	niʌ3	
瞳	tʰoŋ2	
瞻	tʂɑ̃1	
瞿	tɕʰʏ2	
矛	mʌ2	
矣	ɪ3	
知	tʂʅ1	
矩	tɕʏ3	
矯	tɕiʌ3	
矬	tsʰuo2	
短	tuɑ̃3	
矮	ŋɛ3	
石	ʂʅ7	
礬	xuɑ̃2	
礦	kʰuɑŋ5	
碼	mɑ3	
砌	tɕʰɪ5	
砍	kʰɑ̃3	
砑	n̩5	
研	niɛ̃2	
研	iɛ̃2	
磚	tʂuɑ̃1	
硯	iɛ̃3	
破	pʰo5	
礎	tsʰəʊ3	
硃	tʂʯ1	
硝	ɕiʌ1	
硫	niəʊ2	
硬	ŋẽ5	
確	tɕʰio7	
礙	ŋɛ5	
碎	sei5	
碑	pei1	
碓	tei5	
碗	uɑ̃3	
碟	tiɛ7	
碧	pɪ7	
鹼	tɕiɛ̃3	
碾	niɛ̃3	
磁	tsʰɿ2	
磅	pɑŋ5	
磑	ŋɛ2	
磕	kʰuo7	
磨	mo2	石～
磨	mo5	～刀
磬	tɕʰiɪ̃5	
礓	tɕiɑŋ1	
示	ʂʅ5	
禮	nɪ3	
社	ʂɛ5	
祀	sɿ5	
祁	tɕʰɪ2	
祈	tɕʰɪ2	
祈	tɕʰɪ3	
祐	iəʊ5	
祖	tsəʊ3	
祝	tʂəʊ7	
神	ʂẽ2	
祠	sɿ2	
祥	ɕiɑŋ2	
票	pʰiʌ5	
祭	tɕɪ5	
禱	tʌ3	
禍	xuo5	
禀	piɪ̃3	
禁	tɕiɪ̃1	
禁	tɕiɪ̃5	
禄	nəʊ7	
禪	tʂʰɑ̃2	
禪	ʂɑ̃5	
福	fʊ7	
禹	ʏ3	
离	nɪ2	
离	nɪ5	
禽	tɕʰiɪ̃2	
禾	xuo2	
秀	ɕiəʊ5	
私	sɿ1	
禿	tʰəʊ7	
秆	kɑ̃3	
秉	iɪ̃3	
秋	tɕʰiəʊ1	
科	kʰuo1	
秒	miʌ3	
秕	pɪ3	
租	tsəʊ1	
秤	tʂʰẽ5	
秦	tɕʰiɪ̃2	
秧	iɑŋ1	
秩	tʂʅ5	
秩	tʂʰʅ7	
積	tɕɪ7	
稱	tʂʰẽ1	
稱	tʂʰẽ5	
移	ɪ2	
穢	xuei5	
稀	ɕɪ1	
稆	nʏ3	
程	tʂʰẽ2	
稍	ʂʌ1	
稅	ʂuei5	
稗	pɛ5	
稚	tʂʅ5	
稠	tʂʰəʊ2	
稭	tɕiɛ1	
穩	uẽ3	
稻	tʌ5	
稼	tɕiɑ5	
稽	tɕɪ1	
稿	kʌ3	
穄	tɕɪ5	
穆	mʊ7	
穗	suei5	
穰	ʐɑŋ2	
穴	ɕyɛ7	
究	tɕiəʊ5	
窮	tɕʰioŋ2	
空	kʰoŋ1	
空	kʰoŋ3	
空	kʰoŋ5	
穿	tʂʰuɑ̃1	
突	tʰəʊ7	
窄	tʂɛ7	
竅	tɕʰiʌ5	
窖	tɕiʌ5	
